tock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
SKFIND,SKF INDIA LIMITED,INE640A01023,2,1693.46,1908.50,+ 0.11,3386.92,3817.00,(284.35),430.08,12.70,
TATMOT,TATA MOTORS LIMITED,INE155A01022,17,283.66,169.40,- 2.33,4822.22,2879.80,5165.54,-1942.42,(40.28),
TUBINV,TI FINANCIAL HOLDINGS LIMITED,INE149A01033,4,671.81,509.75,- 1.19,2687.24,2039.00,0.00,-648.24,(24.12),
TVSMOT,TVS MOTOR COMPANY LIMITED,INE494B01023,6,588.08,545.00,- 3.57,3528.48,3270.00,0.00,-258.48,(7.33),
TVSSRI,TVS SRICHAKRA LIMITED,INE421C01016,1,2361.41,2490.00,- 0.70,2361.41,2490.00,0.00,128.59,5.45,
VSTTIL,VSTTILLERS TRACTORS LTD,INE764D01017,1,2074.77,1564.95,- 1.49,2074.77,1564.95,0.00,-509.82,(24.57),
WABIND,WABCO INDIA LIMITED,INE342J01019,1,6926.00,6825.00,- 0.59,6926.00,6825.00,0.00,-101.00,(1.46),
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,3,1131.77,1159.45,- 0.59,3395.31,3478.35,0.00,83.04,2.45,
AXIBAN,AXIS BANK LIMITED,INE238A01034,4,517.23,621.70,- 0.92,2068.92,2486.80,0.00,417.88,20.20,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,1,5668.89,6407.90,- 1.61,5668.89,6407.90,0.00,739.01,13.04,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,1,2973.91,2625.60,- 1.15,2973.91,2625.60,0.00,-348.31,(11.71),
BANBAN,BANDHAN BANK LIMITED,INE545U01014,2,697.92,556.00,- 0.13,1395.84,1112.00,0.00,-283.84,(20.33),
BANBAR,BANK OF BARODA,INE028A01039,10,126.30,119.95,- 2.72,1263.00,1199.50,326.38,-63.50,(5.03),
BSE,BSE LIMITED,INE118H01025,5,818.30,599.95,- 0.19,4091.50,2999.75,0.00,-1091.75,(26.68),
CARE,CARE RATINGS LIMITED,INE752H01013,2,1461.12,977.60,- 0.24,2922.24,1955.20,0.00,-967.04,(33.09),
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,7,309.19,230.05,+ 1.28,2164.33,1610.35,0.00,-553.98,(25.60),
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01016,1,1515.25,1235.10,- 1.71,1515.25,1235.10,0.00,-280.15,(18.49),
CRISIL,CRISIL LIMITED,INE007A01025,2,1903.67,1626.75,+ 0.33,3807.34,3253.50,0.00,-553.84,(14.55),
DEWHOU,DEWAN HOUSING FINANCE CORPN L,INE202B01012,2,674.40,244.20,- 0.89,1348.80,488.40,0.00,-860.40,(63.79),
GIC,GENERAL INSURANCE CORP INDIA,INE481Y01014,8,348.25,259.60,+ 0.31,2786.00,2076.80,0.00,-709.20,(25.46),
HDFAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,13,1100.00,1507.00,- 0.63,14300.00,19591.00,0.00,5291.00,37.00,
HDFBAN,HDFC BANK LIMITED,INE040A01026,19,1057.37,2125.00,- 1.05,20090.03,40375.00,2110.56,20284.97,100.97,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,9,1459.38,1978.65,- 1.54,13134.42,17807.85,0.00,4673.43,35.58,
HDFSTA,HDFC STANDARD LIFE INS CO LTD,INE795G01014,6,382.60,389.35,+ 0.76,2295.60,2336.10,0.00,40.50,1.76,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,32,69.58,43.20,- 0.92,2226.56,1382.40,0.00,-844.16,(37.91),
ICIBAN,ICICI BANK LIMITED,INE090A01021,19,273.17,364.30,+ 0.15,5190.23,6921.70,(1409.47),1731.47,33.36,
ICILOM,ICICI LOMBARD GEN INSURANCE CO,INE765G01017,4,707.97,872.05,+ 0.03,2831.88,3488.20,0.00,656.32,23.18,
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,INE726G01019,9,387.88,320.00,- 1.80,3490.92,2880.00,0.00,-610.92,(17.50),
ICISEC,ICICI SECURITIES LTD ISEC,INE763G01038,4,319.42,262.00,- 0.51,1277.68,1048.00,0.00,-229.68,(17.98),
ICRLIM,ICRA LIMITED,INE725G01011,1,4180.65,3161.00, 0.00,4180.65,3161.00,0.00,-1019.65,(24.39),
IIFHOL,IIFL HOLDINGS LIMITED,INE530B01024,2,709.62,497.45,- 0.50,1419.24,994.90,0.00,-424.34,(29.90),
INDBA,INDUSIND BANK LIMITED,INE095A01012,1,2003.46,1574.80,- 1.23,2003.46,1574.80,0.00,-428.66,(21.40),
INDHO,INDIABULLS HOUSING FINANCE LTD,INE148I01020,2,1052.61,847.95,+ 0.43,2105.22,1695.90,0.00,-409.32,(19.44),
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,2,1055.12,1232.25,- 1.53,2110.24,2464.50,0.00,354.26,16.79,
LICHF,LIC HOUSING FINANCE LIMITED,INE115A01026,5,607.15,478.40,- 1.64,3035.75,2392.00,0.00,-643.75,(21.21),
LTFINA,LT FINANCE HOLDINGS LIMITED,INE498L01015,6,176.87,152.30,- 0.56,1061.22,913.80,0.00,-147.42,(13.89),
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,5,444.46,463.50,- 1.83,2222.30,2317.50,0.00,95.20,4.28,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,10,124.66,92.20,- 0.22,1246.60,922.00,0.00,-324.60,(26.04),
MCX,MULTI COMMODITY EXCHANGE,INE745G01035,1,842.72,723.95,- 1.50,842.72,723.95,0.00,-118.77,(14.09),
MUTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,6,450.78,503.00,- 1.99,2704.68,3018.00,0.00,313.32,11.58,
NEWIN,THE NEW INDIA ASSURANCE CO LTD,INE470Y01017,9,282.17,184.50,+ 2.64,2539.53,1660.50,0.00,-879.03,(34.61),
POWFIN,POWER FINANCE CORPORATION LTD,INE134E01011,27,123.03,104.20,- 2.98,3321.81,2813.40,0.00,-508.41,(15.31),
RURELE,REC LIMITED,INE020B01018,20,159.99,119.10,- 1.20,3199.80,2382.00,(2497.62),-817.80,(25.56),
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,4,670.16,602.80,+ 0.66,2680.64,2411.20,0.00,-269.44,(10.05),
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,INE721A01013,2,1182.97,1199.95,- 2.37,2365.94,2399.90,0.00,33.96,1.44,
STABAN,STATE BANK OF INDIA,INE062A01020,24,255.35,296.00,- 1.12,6128.40,7104.00,2583.25,975.60,15.92,
SUNFIN,SUNDARAM FINANCE LTD,INE660A01013,1,1612.76,1454.00,+ 2.37,1612.76,1454.00,0.00,-158.76,(9.84),
TATINV,TATA INVESTMENT CORPORATION LT,INE672A01018,2,847.68,904.70,+ 0.66,1695.36,1809.40,0.00,114.04,6.73,
ACC,ACC LIMITED,INE012A01025,3,1684.45,1487.50,- 0.03,5053.35,4462.50,(691.30),-590.85,(11.69),
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,9,260.25,221.20,- 0.65,2342.25,1990.80,115.32,-351.45,(15.00),
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,2,1032.77,827.00,- 0.69,2065.54,1654.00,(659.44),-411.54,(19.92),
HEICEM,HEIDELBERG CEMENT INDIA LTD,INE578A01017,8,137.80,150.30,- 1.67,1102.40,1202.40,0.00,100.00,9.07,
ULTCEM,ULTRATECH CEMENT LIMITED,INE481G01011,4,3776.16,3994.75,- 0.41,15104.64,15979.00,(1184.37),874.36,5.79,
BASF,BASF INDIA LIMITED,INE373A01013,2,1729.70,1532.85,- 0.93,3459.40,3065.70,0.00,-393.70,(11.38),
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,1,4757.80,4196.60, 0.00,4757.80,4196.60,0.00,-561.20,(11.80),
CHAFER,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,13,148.01,151.60,+ 3.16,1924.13,1970.80,0.00,46.67,2.43,
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,7,459.83,450.00,- 0.11,3218.81,3150.00,0.00,-68.81,(2.14),
KAVSEE,KAVERI SEED COMPANY LTD,INE455I01029,2,514.56,568.40,- 1.34,1029.12,1136.80,0.00,107.68,10.46,
MONSIN,MONSANTO INDIA LIMITED,INE274B01011,2,2790.47,2621.00,+ 0.37,5580.94,5242.00,0.00,-338.94,(6.07),
PIIND,P I INDUSTRIES LTD,INE603J01030,1,909.96,872.05,+ 0.59,909.96,872.05,0.00,-37.91,(4.17),
RALIND,RALLIS INDIA LTD,INE613A01020,10,248.05,177.60,- 1.61,2480.50,1776.00,0.00,-704.50,(28.40),
TATCHE,TATA CHEMICALS LTD,INE092A01019,4,695.15,702.60,- 0.35,2780.60,2810.40,(89.37),29.80,1.07,
UNIP,UPL LIMITED,INE628A01036,7,743.28,749.00,- 0.51,5202.96,5243.00,0.00,40.04,0.77,
ASIGRA,ASIAN GRANITO INDIA LIMITED,INE022I01019,2,547.97,168.50,- 3.41,1095.94,337.00,0.00,-758.94,(69.25),
BRIENT,BRIGADE ENTERPRISES LIMITED,INE791I01019,12,230.27,216.25,- 1.82,2763.24,2595.00,0.00,-168.24,(6.09),
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,INE348B01021,7,303.49,175.20,- 1.02,2124.43,1226.40,0.00,-898.03,(42.27),
CERSAN,CERA SANITARYWARE LIMITED,INE739E01017,1,3078.11,2383.90,+ 1.66,3078.11,2383.90,0.00,-694.21,(22.55),
DLFLIM,DLF LIMITED,INE271C01023,10,214.27,173.50,- 3.90,2142.70,1735.00,(6746.96),-407.70,(19.03),
GODPRO,GODREJ PROPERTIES LIMITED,INE484J01027,3,601.61,669.00,+ 1.12,1804.83,2007.00,0.00,202.17,11.20,
GREIN,GREENPLY INDUSTRIES LIMITED,INE461C01038,5,236.07,138.50,- 0.04,1180.35,692.50,0.00,-487.85,(41.33),
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,5,605.64,491.85,- 0.38,3028.20,2459.25,0.00,-568.95,(18.79),
NAGCON,NCC LIMITED,INE868B01028,21,109.90,90.05,+ 1.35,2307.90,1891.05,0.00,-416.85,(18.06),
NBCC,NBCC (INDIA) LIMITED,INE095N01031,20,106.25,57.90,+ 0.78,2125.00,1158.00,0.00,-967.00,(45.51),
PREEST,PRESTIGE ESTATES PROJECTS LIMI,INE811K01011,9,271.18,235.85,- 0.23,2440.62,2122.65,0.00,-317.97,(13.03),
PURPRO,PURAVANKARA LIMITED,INE323I01011,23,94.25,74.85,+ 0.67,2167.75,1721.55,(2598.07),-446.20,(20.58),
SOBDEV,SOBHA LIMITED,INE671H01015,6,425.41,465.00,+ 1.52,2552.46,2790.00,0.00,237.54,9.31,
SOMCER,SOMANY CERAMICS LIMITED,INE355A01028,4,479.55,336.50,+ 2.03,1918.20,1346.00,0.00,-572.20,(29.83),
BLUSTA,BLUE STAR LTD,INE472A01039,3,646.98,619.20,- 0.98,1940.94,1857.60,0.00,-83.34,(4.29),
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,9,240.36,232.55,- 0.77,2163.24,2092.95,0.00,-70.29,(3.25),
EVEIND,EVEREADY INDUSTRIES INDIA LTD,INE128A01029,11,274.41,183.80,- 1.13,3018.51,2021.80,0.00,-996.71,(33.02),
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,5,515.02,698.20,+ 0.49,2575.10,3491.00,0.00,915.90,35.57,
HITHOM,JOHNSON CONTROLS HITACHI AIR I,INE782A01015,1,2106.33,1795.00,- 0.77,2106.33,1795.00,0.00,-311.33,(14.78),
IFBIND,IFB INDUSTRIES LIMITED,INE559A01017,2,1157.60,847.30,- 1.12,2315.20,1694.60,0.00,-620.60,(26.81),
SHEFOA,SHEELA FOAM LIMITED,INE916U01025,1,1649.36,1452.00,- 0.07,1649.36,1452.00,0.00,-197.36,(11.97),
TTKPRE,TTK PRESTIGE LTD,INE690A01010,1,6420.67,7494.50,+ 0.26,6420.67,7494.50,0.00,1073.83,16.72,
VGUARD,V-GUARD INDUSTRIES LIMITED,INE951I01027,4,253.42,222.30,- 2.56,1013.68,889.20,0.00,-124.48,(12.28),
VIPIND,VIP INDUSTRIES LTD,INE054A01027,9,255.40,508.95,- 1.20,2298.60,4580.55,0.00,2281.95,99.28,
VOLTAS,VOLTAS LTD,INE226A01021,6,544.16,545.70,- 1.60,3264.96,3274.20,0.00,9.24,0.28,
WHIIND,WHIRLPOOL OF INDIA LTD,INE716A01013,2,1386.24,1396.75,- 0.68,2772.48,2793.50,0.00,21.02,0.76,
BHA22,ICICI PRUD MF BHARAT 22 ETF,INF109KB15Y7,278,35.97,35.43,- 1.36,9999.66,9849.54,0.00,-150.12,(1.50),
ICIMID,ICICI PRU MIDCAP SELECT ETF,INF109KB1XT3,66,74.53,67.53,- 0.25,4918.98,4456.98,0.00,-462.00,(9.39),
ZEELEA,ZEE LEARN LIMITED,INE565L01011,72,44.05,35.75,+ 0.14,3171.60,2574.00,0.00,-597.60,(18.84),
ABB,ABB INDIA LIMITED,INE117A01022,2,1458.82,1316.75,- 0.28,2917.64,2633.50,(262.11),-284.14,(9.74),
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,3,362.01,281.90,+ 2.45,1086.03,845.70,0.00,-240.33,(22.13),
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,13,168.77,87.45,- 0.40,2194.01,1136.85,(5344.85),-1057.16,(48.18),
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,27,87.82,72.95,- 1.02,2371.14,1969.65,(496.84),-401.49,(16.93),
CARUNI,CARBORUNDUM UNIVERSAL LTD,INE120A01034,7,351.20,359.85,- 0.14,2458.40,2518.95,0.00,60.55,2.46,
CUMIND,CUMMINS INDIA LTD,INE298A01020,4,886.39,843.45,- 0.59,3545.56,3373.80,0.00,-171.76,(4.84),
ENGIND,ENGINEERS INDIA LTD,INE510A01028,17,141.32,126.30,- 0.36,2402.44,2147.10,0.00,-255.34,(10.63),
GRINOR,GRINDWELL NORTON LTD,INE536A01023,5,467.87,557.00,- 0.40,2339.35,2785.00,0.00,445.65,19.05,
HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,1,934.97,807.95,+ 1.23,934.97,807.95,0.00,-127.02,(13.59),
KSBPUM,KSB LIMITED,INE999A01015,3,753.41,766.00,- 1.79,2260.23,2298.00,0.00,37.77,1.67,
LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,8,1111.69,1425.50,- 1.13,8893.52,11404.00,322.53,2510.48,28.23,
SIEMEN,SIEMENS LTD,INE003A01024,2,1360.07,1056.45,- 0.79,2720.14,2112.90,(187.10),-607.24,(22.32),
AVAFEE,AVANTI FEEDS LTD,INE871C01038,9,591.14,380.60,- 2.16,5320.26,3425.40,0.00,-1894.86,(35.62),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,4,2198.49,3123.00,+ 0.64,8793.96,12492.00,0.00,3698.04,42.05,
COFDAY,COFFEE DAY ENTERPRISES LTD,INE335K01011,8,284.73,276.40,- 0.99,2277.84,2211.20,0.00,-66.64,(2.93),
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,2,1114.49,1306.95,- 1.28,2228.98,2613.90,0.00,384.92,17.27,
DABIND,DABUR INDIA LTD,INE016A01026,7,320.50,413.10,- 2.24,2243.50,2891.70,0.00,648.20,28.89,
EMALIM,EMAMI LIMITED,INE548C01032,4,621.07,419.05,+ 0.04,2484.28,1676.20,0.00,-808.08,(32.53),
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,20,59.49,45.20,- 1.42,1189.80,904.00,0.00,-285.80,(24.02),
GILIND,GILLETTE INDIA LTD,INE322A01010,1,4905.17,6451.35,- 0.38,4905.17,6451.35,0.00,1546.18,31.52,
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,INE264A01014,1,5114.50,7499.95,- 0.95,5114.50,7499.95,0.00,2385.45,46.64,
GODCON,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,3,746.99,810.55,+ 0.30,2240.97,2431.65,0.00,190.68,8.51,
GODPHI,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,2,747.76,869.70,- 1.38,1495.52,1739.40,0.00,243.88,16.31,
HATAGR,HATSUN AGRO PRODUCTS LTD,INE473B01035,2,762.28,623.05,+ 0.02,1524.56,1246.10,0.00,-278.46,(18.26),
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,8,1003.78,1780.70,- 1.24,8030.24,14245.60,3488.20,6215.36,77.40,
ITC,ITC LIMITED,INE154A01025,44,252.59,279.20,- 1.24,11113.96,12284.80,3948.82,1170.84,10.53,
KRBL,KRBL LIMITED,INE001B01026,5,402.98,287.35,+ 2.53,2014.90,1436.75,0.00,-578.15,(28.69),
MARLIM,MARICO LIMITED,INE196A01026,7,327.93,370.50,- 0.75,2295.51,2593.50,0.00,297.99,12.98,
NESIND,NESTLE INDIA LIMITED,INE239A01016,1,6693.11,11004.10,- 0.52,6693.11,11004.10,0.00,4310.99,64.41,
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,3,866.03,1104.20,+ 0.29,2598.09,3312.60,0.00,714.51,27.50,
PROGAM,PROCTER & GAMBLE HYGIENE & HEA,INE179A01014,1,8018.86,9844.00,- 0.47,8018.86,9844.00,0.00,1825.14,22.76,
TATCO,TATA COFFEE LTD,INE493A01027,26,130.02,97.35,- 1.32,3380.52,2531.10,0.00,-849.42,(25.13),
TATGLO,TATA GLOBAL BEVERAGES LIMITED,INE192A01025,17,199.45,216.05,- 1.39,3390.65,3672.85,(179.40),282.20,8.32,
VARBEV,VARUN BEVERAGES LIMITED,INE200M01013,4,635.41,797.60,- 2.03,2541.64,3190.40,0.00,648.76,25.53,
VENIND,VENKYS INDIA LIMITED,INE398A01010,1,2130.48,2403.25,+ 0.49,2130.48,2403.25,0.00,272.77,12.80,
VSTIND,VST INDUSTRIES LTD,INE710A01016,1,3001.91,3186.35,- 2.86,3001.91,3186.35,0.00,184.44,6.14,
GOLDEX,RELIANCE ETF GOLD BEES,INF732E01102,60,2600.26,2824.00,+ 0.22,156015.60,169440.00,0.00,13424.40,8.60,
HDFGOL,HDFC GOLD ETF,INF179K01CN1,50,2820.83,2896.60,+ 0.64,141041.50,144830.00,0.00,3788.50,2.69,
KOTGOL,KOTAK  GOLD ETF,INF373I01049,500,259.69,277.65,+ 0.23,129845.00,138825.00,0.00,8980.00,6.92,
SBIGOL,SBI-ETF GOLD,INF200K01099,49,2767.48,2855.00,+ 0.48,135606.52,139895.00,0.00,4288.48,3.16,
UTGOLD,UTI GOLD ETF,INF789F01059,51,2584.06,2829.95,+ 0.53,131787.06,144327.45,0.00,12540.39,9.52,
PCJEW,PC JEWELLER LIMITED,INE785M01013,34,106.47,83.80,- 2.44,3619.98,2849.20,0.00,-770.78,(21.29),
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,5,728.50,572.65,+ 0.32,3642.50,2863.25,(818.42),-779.25,(21.39),
TITIND,TITAN COMPANY LIMITED,INE280A01028,6,647.41,933.00,+ 0.58,3884.46,5598.00,0.00,1713.54,44.11,
CNKLIM,COX & KINGS LIMITED,INE008I01026,8,265.96,160.80,- 1.86,2127.68,1286.40,0.00,-841.28,(39.54),
EIHLIM,EIH LIMITED,INE230A01023,15,143.82,192.50,- 1.58,2157.30,2887.50,0.00,730.20,33.85,
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,64,116.82,149.00,+ 1.81,7476.48,9536.00,(3735.83),2059.52,27.55,
JUBFOO,JUBILANT FOODWORKS LIMITED,INE797F01012,4,771.59,1255.00,+ 0.21,3086.36,5020.00,0.00,1933.64,62.65,
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,INE998I01010,6,375.17,209.00,- 1.97,2251.02,1254.00,0.00,-997.02,(44.29),
THOCOO,THOMAS COOK (INDIA) LTD,INE332A01027,10,234.68,231.15,- 1.58,2346.80,2311.50,0.00,-35.30,(1.50),
WESDEV,WESTLIFE DEVELOPMENT LTD,INE274F01020,7,284.76,385.30,+ 0.18,1993.32,2697.10,0.00,703.78,35.31,
WONHOL,WONDERLA HOLIDAYS LTD,INE066O01014,3,376.76,268.75,- 1.23,1130.28,806.25,0.00,-324.03,(28.67),
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KA1962,50,115.69,117.30,- 0.16,5784.50,5865.00,0.00,80.50,1.39,
KOTNIF,KOTAK MAHINDRA MF - NIFTY ETF,INF174K014P6,104,103.25,111.50,- 0.06,10738.00,11596.00,0.00,858.00,7.99,
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,7,843.25,949.70,- 1.28,5902.75,6647.90,3330.73,745.15,12.62,
INFEDG,INFO EDGE (INDIA) LIMITED,INE663F01024,3,1156.62,1419.50,- 1.45,3469.86,4258.50,0.00,788.64,22.73,
INFTEC,INFOSYS LTD,INE009A01021,24,493.60,669.05,+ 0.66,11846.40,16057.20,944.68,4210.80,35.54,
LTINFO,LARSEN & TOUBRO INFOTECH LTD,INE214T01019,1,1699.31,1730.00,+ 0.57,1699.31,1730.00,0.00,30.69,1.81,
LTTEC,L&T TECHNOLOGIES LIMITED,INE010V01017,1,1342.52,1706.00,- 0.91,1342.52,1706.00,0.00,363.48,27.07,
TATELX,TATA ELXSI LIMITED,INE670A01012,1,993.14,1032.65,+ 0.58,993.14,1032.65,(2464.63),39.51,3.98,
TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,17,1213.42,1919.75,+ 0.91,20628.14,32635.75,1304.38,12007.61,58.21,
TECMAH,TECH MAHINDRA LIMITED,INE669C01036,6,474.11,716.00,- 0.51,2844.66,4296.00,0.00,1451.34,51.02,
WIPRO,WIPRO LTD,INE075A01022,25,264.77,325.10,- 0.78,6619.25,8127.50,(1006.96),1508.25,22.79,
DISHTV,DISH TV INDIA LIMITED,INE836F01026,28,78.33,38.05,+ 0.26,2193.24,1065.40,0.00,-1127.84,(51.42),
PVRLIM,PVR LIMITED,INE191H01014,2,1465.08,1596.40,+ 0.16,2930.16,3192.80,0.00,262.64,8.96,
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,13,497.70,474.10,- 1.19,6470.10,6163.30,(1136.35),-306.80,(4.74),
COALIN,COAL INDIA LIMITED,INE522F01014,31,328.84,238.75,- 0.97,10194.04,7401.25,(208.26),-2792.79,(27.40),
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,14,226.47,216.50,- 2.83,3170.58,3031.00,176.55,-139.58,(4.40),
HINZIN,HINDUSTAN ZINC LTD,INE267A01025,8,271.94,274.00,- 1.42,2175.52,2192.00,(73.73),16.48,0.76,
JSWSTE,JSW STEEL LIMITED,INE019A01038,13,256.54,292.00,- 3.80,3335.02,3796.00,0.00,460.98,13.82,
NATALU,NATIONAL ALUMINIUM CO LTD,INE139A01034,48,73.61,64.00,- 2.14,3533.28,3072.00,(514.62),-461.28,(13.06),
NATMIN,NMDC LIMITED,INE584A01023,17,136.73,97.75,+ 2.09,2324.41,1661.75,0.00,-662.66,(28.51),
NEYLIG,NLC INDIA LIMITED,INE589A01014,24,89.97,68.35,- 1.30,2159.28,1640.40,0.00,-518.88,(24.03),
TATSTE,TATA STEEL LIMITED,INE081A01012,14,493.83,499.75,- 3.06,6913.62,6996.50,619.92,82.88,1.20,
VEDLIM,VEDANTA LIMITED,INE205A01025,25,249.86,195.05,- 3.51,6246.50,4876.25,0.00,-1370.25,(21.94),
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,23,142.25,154.35,- 1.81,3271.75,3550.05,0.00,278.30,8.51,
ADAGRE,ADANI GREEN ENERGY LTD,INE364U01010,12,28.90,41.50,+ 0.24,346.80,498.00,0.00,151.20,43.60,
ADATRA,ADANI TRANSMISSION LIMITED,INE931S01010,7,172.18,198.35,- 1.15,1205.26,1388.45,0.00,183.19,15.20,
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,3,410.36,341.50,- 0.45,1231.08,1024.50,0.00,-206.58,(16.78),
GODAGR,GODREJ AGROVET LIMITED,INE850D01014,4,574.13,499.40,- 0.94,2296.52,1997.60,0.00,-298.92,(13.02),
GODIND,GODREJ INDUSTRIES LIMITED,INE233A01035,4,558.94,535.95,- 1.34,2235.76,2143.80,0.00,-91.96,(4.11),
