Sr. No.,Company name,ISIN,BSE Symbol,BSE avg,NSE Symbol,NSE avg,MSE Symbol,MSE,Avg,"Categorization",,
44,"GRASIM INDUSTRIES LTD.,",INE047A01021,GRASIM," 72,355.11 ",GRASIM," 72,366.76 ",,," 72,360.93 ", Large Cap ,,
45,GAIL (INDIA) LTD.,INE129A01019,GAIL," 66,865.47 ",GAIL," 76,885.46 ",,," 71,875.47 ", Large Cap ,,
46,"MOTHERSON SUMI SYSTEMS LTD.,",INE775A01035,MOTHERSUMI," 70,543.92 ",MOTHERSUMI," 70,578.05 ",,," 70,560.98 ", Large Cap ,,
47,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE," 69,104.11 ",SBILIFE," 69,200.97 ",,," 69,152.54 ", Large Cap ,,
48,TATA STEEL LIMITED,INE081A01012,TATASTEEL," 68,583.85 ",TATASTEEL," 69,236.46 ",,," 68,910.15 ", Large Cap ,,
49,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE," 64,101.00 ",GICRE," 64,106.41 ",,," 64,103.71 ", Large Cap ,,
50,DABUR INDIA LTD.,INE016A01026,DABUR," 62,560.98 ",DABUR," 62,586.97 ",DABUR," 62,786.78 "," 62,644.91 ", Large Cap ,,
51,"BRITANNIA INDUSTRIES LTD.,",INE216A01022,BRITANNIA," 62,383.06 ",BRITANNIA," 62,416.80 ",,," 62,399.93 ", Large Cap ,,
52,TECH MAHINDRA LIMITED,INE669C01036,TECHM," 62,240.85 ",TECHM," 62,201.74 ",,," 62,221.29 ", Large Cap ,,
53,BHARTI INFRATEL LIMITED,INE121J01017,INFRATEL," 61,008.58 ",INFRATEL," 61,053.26 ",,," 61,030.92 ", Large Cap ,,
54,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK," 59,846.73 ",BANDHANBNK," 59,909.89 ",,," 59,878.31 ", Large Cap ,,
55,"SHREE CEMENTS LTD.,",INE070A01015,SHREECEM," 58,791.94 ",SHREECEM," 58,828.07 ",,," 58,810.00 ", Large Cap ,,
56,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI," 58,320.68 ",ICICIPRULI," 58,343.96 ",,," 58,332.32 ", Large Cap ,,
57,BOSCH LTD,INE323A01026,BOSCHLTD," 57,556.51 ",BOSCHLTD," 57,585.17 ",,," 57,570.84 ", Large Cap ,,
58,ZEE ENTERTAINMENT ENTERPRISES LTD.,INE256A01028,ZEEL," 55,268.47 ",ZEEL," 55,283.56 ",,," 55,276.01 ", Large Cap ,,
59,THE NEW INDIA ASSURANCE COMPANY LIMITED,INE470Y01017,NIACL," 54,955.45 ",NIACL," 54,983.26 ",,," 54,969.36 ", Large Cap ,,
60,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO," 53,814.62 ",HINDALCO," 53,805.11 ",,," 53,809.86 ", Large Cap ,,
61,INDIABULLS HOUSING FINANCE LIMITED,INE148I01020,IBULHSGFIN," 53,286.97 ",IBULHSGFIN," 53,257.89 ",,," 53,272.43 ", Large Cap ,,
62,HINDUSTAN PETROLEUM CORPORATION LTD,INE094A01015,HINDPETRO," 53,080.52 ",HINDPETRO," 53,085.49 ",,," 53,083.01 ", Large Cap ,,
63,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND," 50,460.06 ",PIDILITIND," 50,472.67 ",,," 50,466.36 ", Large Cap ,,
64,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO," 48,482.86 ",INDIGO," 48,503.94 ",,," 48,493.40 ", Large Cap ,,
65,UNITED SPIRITS LIMITED,INE854D01024,UNITDSPR," 48,685.91 ",MCDOWELL-N," 48,252.45 ",,," 48,469.18 ", Large Cap ,,
66,AMBUJA CEMENTS LTD.,INE079A01024,AMBUJACEM," 47,231.61 ",AMBUJACEM," 47,243.54 ",,," 47,237.58 ", Large Cap ,,
67,"CIPLA LTD.,",INE059A01026,CIPLA," 46,787.85 ",CIPLA," 46,825.42 ",,," 46,806.64 ", Large Cap ,,
68,PIRAMAL ENTERPRISES LIMITED,INE140A01024,PEL," 45,787.27 ",PEL," 45,954.21 ",,," 45,870.74 ", Large Cap ,,
69,"ASHOK LEYLAND LTD.,",INE208A01029,ASHOKLEY," 41,385.08 ",ASHOKLEY," 41,358.20 ",,," 41,371.64 ", Large Cap ,,
70,MARICO LIMITED,INE196A01026,MARICO," 41,076.50 ",MARICO," 41,097.14 ",,," 41,086.82 ", Large Cap ,,
71,CADILA HEALTHCARE LTD.,INE010B01027,CADILAHC," 40,723.57 ",CADILAHC," 40,742.68 ",,," 40,733.13 ", Large Cap ,,
72,"SIEMENS LTD.,",INE003A01024,SIEMENS," 40,190.08 ",SIEMENS," 40,212.35 ",,," 40,201.22 ", Large Cap ,,
73,NMDC LTD,INE584A01023,NMDC," 39,848.56 ",NMDC," 39,859.53 ",,," 39,854.05 ", Large Cap ,,
74,DLF LIMITED,INE271C01023,DLF," 39,275.88 ",DLF," 39,287.99 ",,," 39,281.94 ", Large Cap ,,
75,LUPIN LTD,INE326A01037,LUPIN$," 37,104.53 ",LUPIN," 37,108.71 ",,," 37,106.62 ", Large Cap ,,
76,UPL LIMITED,INE628A01036,UPL," 36,887.42 ",UPL," 36,887.36 ",,," 36,887.39 ", Large Cap ,,
77,BIOCON LTD.,INE376G01013,BIOCON," 36,645.44 ",BIOCON," 36,665.25 ",,," 36,655.35 ", Large Cap ,,
78,SUN TV NETWORK LIMITED,INE424H01027,SUNTV," 36,462.87 ",SUNTV," 36,466.02 ",,," 36,464.44 ", Large Cap ,,
79,"DR. REDDY'S LABORATORIES LTD.,",INE089A01023,DRREDDY," 36,137.68 ",DRREDDY," 36,158.91 ",,," 36,148.29 ", Large Cap ,,
80,AUROBINDO PHARMA LTD.,INE406A01037,AUROPHARMA," 35,547.93 ",AUROPHARMA," 35,553.60 ",,," 35,550.77 ", Large Cap ,,
81,BANK OF BARODA,INE028A01039,BANKBARODA," 35,384.18 ",BANKBARODA," 35,018.61 ",,," 35,201.40 ", Large Cap ,,
82,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,INE765G01017,ICICIGI," 35,072.41 ",ICICIGI," 35,134.14 ",,," 35,103.27 ", Large Cap ,,
83,"BHARAT ELECTRONICS LTD.,",INE263A01024,BEL," 34,916.40 ",BEL," 35,044.21 ",,," 34,980.31 ", Large Cap ,,
84,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,HAL," 34,927.88 ",HAL," 34,940.92 ",,," 34,934.40 ", Large Cap ,,
85,PETRONET LNG LTD.,INE347G01014,PETRONET," 34,789.66 ",PETRONET," 34,795.34 ",,," 34,792.50 ", Large Cap ,,
86,ADITYA BIRLA CAPITAL LTD,INE674K01013,ABCAPITAL," 34,589.00 ",ABCAPITAL," 34,576.55 ",,," 34,582.77 ", Large Cap ,,
87,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,INE881D01027,OFSS," 34,340.06 ",OFSS," 34,339.84 ",,," 34,339.95 ", Large Cap ,,
88,"STEEL AUTHORITY OF INDIA LTD.,",INE114A01011,SAIL," 33,638.77 ",SAIL," 33,655.79 ",,," 33,647.28 ", Large Cap ,,
89,HAVELLS INDIA LIMITED,INE176B01034,HAVELLS," 33,327.94 ",HAVELLS," 33,340.65 ",,," 33,334.29 ", Large Cap ,,
90,BHARAT FORGE LTD,INE465A01025,BHARATFORG," 33,213.99 ",BHARATFORG," 33,227.37 ",,," 33,220.68 ", Large Cap ,,
91,"SHRIRAM TRANSPORT FINANCE CO. LTD.,",INE721A01013,SRTRANSFIN," 32,933.10 ",SRTRANSFIN," 32,940.86 ",,," 32,936.98 ", Large Cap ,,
92,CONTAINER CORPORATION OF INDIA LTD.,INE111A01025,CONCOR," 32,318.14 ",CONCOR," 32,319.64 ",,," 32,318.89 ", Large Cap ,,
93,L&T FINANCE HOLDINGS LIMITED,INE498L01015,L&TFH," 32,223.10 ",L&TFH," 31,987.83 ",,," 32,105.46 ", Large Cap ,,
94,"BHARAT HEAVY ELECTRICALS LTD.,",INE257A01026,BHEL," 32,008.83 ",BHEL," 32,018.31 ",,," 32,013.57 ", Large Cap ,,
95,"M.R.F. LTD.,",INE883A01011,MRF," 31,139.31 ",MRF," 31,143.89 ",,," 31,141.60 ", Large Cap ,,
96,IDEA CELLULAR LTD,INE669E01016,IDEA," 31,082.04 ",IDEA," 30,767.71 ",,," 30,924.87 ", Large Cap ,,
97,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,INE179A01014,PGHH," 30,636.99 ",PGHH," 30,686.73 ",,," 30,661.86 ", Large Cap ,,
98,BAJAJ HOLDINGS & INVESTMENT LIMITED,INE118A01012,BAJAJHLDNG," 30,629.88 ",BAJAJHLDNG," 30,657.61 ",,," 30,643.75 ", Large Cap ,,
99,TVS MOTOR COMPANY LTD.,INE494B01023,TVSMOTOR," 30,629.94 ",TVSMOTOR," 30,637.85 ",,," 30,633.90 ", Large Cap ,,
100,"COLGATE-PALMOLIVE (INDIA) LTD.,",INE259A01022,COLPAL," 30,596.04 ",COLPAL," 30,621.46 ",,," 30,608.75 ", Large Cap ,,
101,UNITED BREWERIES LTD.,INE686F01025,UBL," 29,338.46 ",UBL," 29,336.77 ",,," 29,337.62 ", Mid Cap ,,
102,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,INE774D01024,M&MFIN," 29,119.82 ",M&MFIN," 29,128.19 ",,," 29,124.01 ", Mid Cap ,,
103,ACC LTD,INE012A01025,ACC," 29,023.08 ",ACC," 29,023.66 ",,," 29,023.37 ", Mid Cap ,,
104,DIVI'S LABORATORIES LTD.,INE361B01024,DIVISLAB," 28,908.82 ",DIVISLAB," 28,927.00 ",,," 28,917.91 ", Mid Cap ,,
105,ABB INDIA LIMITED,INE117A01022,ABB," 28,904.52 ",ABB," 28,910.55 ",,," 28,907.53 ", Mid Cap ,,
106,PUNJAB NATIONAL BANK,INE160A01022,PNB," 28,743.35 ",PNB," 28,476.85 ",,," 28,610.10 ", Mid Cap ,,
107,NHPC LIMITED,INE848E01016,NHPC," 28,575.10 ",NHPC," 28,589.58 ",,," 28,582.34 ", Mid Cap ,,
108,FUTURE RETAIL LTD.,INE752P01024,FRETAIL," 27,897.70 ",FRETAIL," 27,911.50 ",,," 27,904.60 ", Mid Cap ,,
109,KANSAI NEROLAC PAINTS,INE531A01024,KANSAINER," 26,853.33 ",KANSAINER," 26,879.90 ",,," 26,866.62 ", Mid Cap ,,
110,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,INE264A01014,GSKCONS," 26,555.59 ",GSKCONS," 26,584.42 ",,," 26,570.00 ", Mid Cap ,,
111,LIC HOUSING FINANCE LTD.,INE115A01026,LICHSGFIN," 26,346.40 ",LICHSGFIN," 26,343.63 ",,," 26,345.02 ", Mid Cap ,,
112,OIL INDIA LIMITED,INE274J01014,OIL," 26,074.97 ",OIL," 26,090.37 ",,," 26,082.67 ", Mid Cap ,,
113,PAGE INDUSTRIES LTD.,INE761H01022,PAGEIND," 26,067.96 ",PAGEIND," 26,089.54 ",,," 26,078.75 ", Mid Cap ,,
114,RURAL ELECTRIFICATION CORPORATION LIMITED,INE020B01018,RECLTD," 26,025.12 ",RECLTD," 26,018.75 ",,," 26,021.93 ", Mid Cap ,,
115,BERGER PAINTS INDIA LTD,INE463A01038,BERGEPAINT," 25,783.90 ",BERGEPAINT," 25,794.75 ",,," 25,789.32 ", Mid Cap ,,
116,EDELWEISS FINANCIAL SERVICES LTD.,INE532F01054,EDELWEISS," 25,725.85 ",EDELWEISS," 25,673.88 ",,," 25,699.87 ", Mid Cap ,,
117,EMAMI LTD,INE548C01032,EMAMILTD," 25,177.98 ",EMAMILTD," 25,174.41 ",,," 25,176.19 ", Mid Cap ,,
118,POWER FINANCE CORPORATION LTD,INE134E01011,PFC," 25,051.50 ",PFC," 25,044.79 ",,," 25,048.15 ", Mid Cap ,,
119,DALMIA BHARAT LIMITED,INE439L01019,DALMIABHA," 24,988.92 ",DALMIABHA," 25,003.43 ",,," 24,996.18 ", Mid Cap ,,
120,LARSEN & TOUBRO INFOTECH LIMITED,INE214T01019,LTI," 24,712.24 ",LTI," 24,709.31 ",,," 24,710.77 ", Mid Cap ,,
121,ALKEM LABORATORIES LIMITED,INE540L01014,ALKEM," 24,581.71 ",ALKEM," 24,619.67 ",,," 24,600.69 ", Mid Cap ,,
122,IIFL HOLDINGS LIMITED,INE530B01024,IIFL," 23,282.28 ",IIFL," 23,270.02 ",,," 23,276.15 ", Mid Cap ,,
123,TORRENT PHARMACEUTICALS LTD.,INE685A01028,TORNTPHARM," 23,171.49 ",TORNTPHARM," 23,191.03 ",,," 23,181.26 ", Mid Cap ,,
124,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,INE121A01016,CHOLAINV," 23,109.01 ",CHOLAFIN," 23,115.34 ",,," 23,112.17 ", Mid Cap ,,
125,JINDAL STEEL & POWER LTD,INE749A01030,JINDALSTEL," 23,036.10 ",JINDALSTEL," 22,946.35 ",,," 22,991.22 ", Mid Cap ,,
126,TATA POWER CO. LTD,INE245A01021,TATAPOWER," 22,803.09 ",TATAPOWER," 22,819.13 ",,," 22,811.11 ", Mid Cap ,,
127,3M INDIA LTD.,INE470A01017,3MINDIA," 22,225.90 ",3MINDIA," 22,223.84 ",,," 22,224.87 ", Mid Cap ,,
128,"BALKRISHNA INDUSTRIES LTD.,",INE787D01026,BALKRISIND," 22,137.36 ",BALKRISIND," 22,146.43 ",,," 22,141.89 ", Mid Cap ,,
129,GRUH FINANCE LTD,INE580B01029,GRUH," 21,964.67 ",GRUH," 21,962.10 ",,," 21,963.39 ", Mid Cap ,,
130,"CUMMINS INDIA LTD.,",INE298A01020,CUMMINSIND," 21,617.98 ",CUMMINSIND," 21,619.29 ",,," 21,618.63 ", Mid Cap ,,
131,GILLETTE INDIA LTD.,INE322A01010,GILLETTE," 21,376.60 ",GILLETTE," 21,412.81 ",,," 21,394.71 ", Mid Cap ,,
132,RAJESH EXPORTS LTD.,INE343B01030,RAJESHEXPO," 21,306.65 ",RAJESHEXPO," 21,289.45 ",,," 21,298.05 ", Mid Cap ,,
133,RBL BANK LIMITED,INE976G01028,RBLBANK," 21,237.37 ",RBLBANK," 21,208.42 ",,," 21,222.89 ", Mid Cap ,,
134,PNB HOUSING FINANCE LIMITED,INE572E01012,PNBHOUSING," 20,758.75 ",PNBHOUSING," 20,740.22 ",,," 20,749.48 ", Mid Cap ,,
135,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,INE159A01016,GLAXO," 20,572.97 ",GLAXO," 20,618.27 ",,," 20,595.62 ", Mid Cap ,,
136,INDRAPRASHTHA GAS LTD.,INE203G01027,IGL," 20,207.33 ",IGL," 20,200.75 ",,," 20,204.04 ", Mid Cap ,,
137,VAKRANGEE LIMITED,INE051B01021,VAKRANG," 19,906.78 ",VAKRANGEE," 19,913.87 ",,," 19,910.32 ", Mid Cap ,,
138,"EXIDE INDUSTRIES LTD.,",INE302A01020,EXIDEIND," 19,856.21 ",EXIDEIND," 19,868.65 ",,," 19,862.43 ", Mid Cap ,,
139,"VOLTAS LTD.,",INE226A01021,VOLTAS," 19,759.28 ",VOLTAS," 19,766.20 ",,," 19,762.74 ", Mid Cap ,,
140,ADANI TRANSMISSION LIMITED,INE931S01010,ADANITRANS," 19,718.75 ",ADANITRANS," 19,738.66 ",,," 19,728.71 ", Mid Cap ,,
141,GODREJ INDUSTRIES LTD.,INE233A01035,GODREJIND," 19,507.11 ",GODREJIND," 19,517.32 ",,," 19,512.21 ", Mid Cap ,,
142,MANGALORE REFINERY & PETROCHEMICALS,INE103A01014,MRPL," 19,390.17 ",MRPL," 19,406.57 ",,," 19,398.37 ", Mid Cap ,,
143,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN," 19,357.41 ",SUNDARMFIN," 19,365.60 ",,," 19,361.50 ", Mid Cap ,,
144,WHIRLPOOL OF INDIA LTD,INE716A01013,WHIRLPOOL," 19,349.42 ",WHIRLPOOL," 19,350.49 ",,," 19,349.96 ", Mid Cap ,,
145,AU SMALL FINANCE BANK LIMITED,INE949L01017,AUBANK," 18,824.63 ",AUBANK," 18,838.88 ",,," 18,831.75 ", Mid Cap ,,
146,CASTROL INDIA LTD,INE172A01027,CASTROLIND," 18,662.14 ",CASTROLIND," 18,683.76 ",,," 18,672.95 ", Mid Cap ,,
147,IDBI BANK LTD,INE008A01015,IDBI," 18,918.27 ",IDBI," 18,259.82 ",,," 18,589.05 ", Mid Cap ,,
148,FEDERAL BANK LTD.,INE171A01029,FEDERALBNK," 18,521.06 ",FEDERALBNK," 18,516.37 ",,," 18,518.72 ", Mid Cap ,,
149,CANARA BANK,INE476A01014,CANBK," 18,554.92 ",CANBK," 18,472.87 ",,," 18,513.90 ", Mid Cap ,,
150,TATA CHEMICALS LTD,INE092A01019,TATACHEM," 18,396.72 ",TATACHEM," 18,406.11 ",,," 18,401.42 ", Mid Cap ,,
151,NBCC (INDIA) LIMITED,INE095N01031,NBCC," 18,244.34 ",NBCC," 18,246.63 ",,," 18,245.48 ", Mid Cap ,,
152,"DEWAN HOUSING FINANCE CORPN. LTD.,",INE202B01012,DHFL," 18,197.94 ",DHFL," 18,200.48 ",,," 18,199.21 ", Mid Cap ,,
153,THE RAMCO CEMENTS LIMITED,INE331A01037,RAMCOCEM," 18,117.55 ",RAMCOCEM," 18,221.52 ",,," 18,169.53 ", Mid Cap ,,
154,TATA COMMUNICATIONS LIMITED,INE151A01013,TATACOMM," 17,897.28 ",TATACOMM," 17,906.00 ",,," 17,901.64 ", Mid Cap ,,
155,MPHASIS LIMITED,INE356A01018,MPHASIS," 17,876.20 ",MPHASIS," 17,874.02 ",,," 17,875.11 ", Mid Cap ,,
156,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,ENDURANCE," 17,753.05 ",ENDURANCE," 17,767.55 ",,," 17,760.30 ", Mid Cap ,,
157,TATA GLOBAL BEVERAGES LIMITED,INE192A01025,TATATEA," 17,549.07 ",TATAGLOBAL," 17,558.41 ",,," 17,553.74 ", Mid Cap ,,
158,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT," 17,534.96 ",ADANIENT," 17,544.37 ",,," 17,539.66 ", Mid Cap ,,
159,OBEROI REALTY LIMITED,INE093I01010,OBEROIREAL," 17,308.59 ",OBEROIRLTY," 17,265.24 ",,," 17,286.92 ", Mid Cap ,,
160,KIOCL LIMITED ,INE880L01014,KIOCL," 16,794.45 ",KIOCL," 16,781.97 ",KIOCL," 16,832.01 "," 16,802.81 ", Mid Cap ,,
161,IDFC BANK LIMITED,INE092T01019,IDFCBANK," 16,715.73 ",IDFCBANK," 16,713.78 ",,," 16,714.76 ", Mid Cap ,,
162,GODREJ PROPERTIES LIMITED,INE484J01027,GODREJPROP," 16,685.30 ",GODREJPROP," 16,695.97 ",,," 16,690.64 ", Mid Cap ,,
163,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN," 16,504.01 ",MUTHOOTFIN," 16,502.31 ",,," 16,503.16 ", Mid Cap ,,
164,INDIAN HOTELS CO. LTD,INE053A01029,INDHOTEL," 16,302.29 ",INDHOTEL," 16,296.26 ",,," 16,299.28 ", Mid Cap ,,
165,CENTRAL BANK OF INDIA,INE483A01010,CENTRALBK," 16,301.24 ",CENTRALBK," 16,088.01 ",,," 16,194.62 ", Mid Cap ,,
166,BANK OF INDIA,INE084A01016,BANKINDIA," 16,330.87 ",BANKINDIA," 15,912.07 ",,," 16,121.47 ", Mid Cap ,,
167,"SUPREME INDUSTRIES LTD.,",INE195A01028,SUPREMEIND," 16,024.37 ",SUPREMEIND," 16,045.43 ",,," 16,034.90 ", Mid Cap ,,
168,INDIAN BANK,INE562A01011,INDIANB," 15,940.18 ",INDIANB," 15,943.32 ",,," 15,941.75 ", Mid Cap ,,
169,GLENMARK PHARMACEUTICALS LTD,INE935A01035,GLENMARK," 15,858.53 ",GLENMARK," 15,865.99 ",,," 15,862.26 ", Mid Cap ,,
170,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,INE338I01027,MOTILALOFS," 15,754.48 ",MOTILALOFS," 15,721.03 ",,," 15,737.75 ", Mid Cap ,,
171,HONEYWELL AUTOMATION INDIA LTD.,INE671A01010,HONAUT," 15,713.06 ",HONAUT," 15,724.63 ",,," 15,718.84 ", Mid Cap ,,
172,RELIANCE NIPPON LIFE ASSET MANAGEMENT LIMITED,INE298J01013,RNAM," 15,710.11 ",RNAM," 15,716.36 ",,," 15,713.23 ", Mid Cap ,,
173,APOLLO TYRES LTD,INE438A01022,APOLLOTYRE," 15,657.98 ",APOLLOTYRE," 15,658.92 ",,," 15,658.45 ", Mid Cap ,,
174,QUESS CORP LIMITED,INE615P01015,QUESS," 15,635.00 ",QUESS," 15,591.80 ",,," 15,613.40 ", Mid Cap ,,
