,Comp #,EQ Collection ,SURI 250,Prepared By : @surinder432,Weight Multiplier,1000,Last Updated : 8-Oct-2019
Information Technology,4,IT Services  - 1,INFY,TCS,HCLTECH,WIPRO,TECHM
,1,IT Services  - 2,,,,,LTI
,3,IT Products,,,NAUKRI,LTTS,TATAELXSI
Metals,2,Aluminium,,,HINDALCO,,NATIONALUM
,1,Zinc,,,HINDZINC,,
,2,Steel,,JSWSTEEL,TATASTEEL,,
,1,Iron,,,,NMDC,
,1,Diversified,,VEDL,,,
,1,Coal,,,,COALINDIA,
Glass,3,Glass & Glass Products,,,ASAHIINDIA,LAOPALA,BOROSIL
Fitness,2,Gym,,,,TALWALKARS,TALWGYM
Retail,3,Large format,,DMART,TRENT,FRETAIL,
Textile -1 ,3,Brand Ownership,,,ABFRL,FLFL,ARVINDFASN
Textile - 2,1,,,,,,PAGEIND
Footwear,2,Focussed groups only,,,,BATAINDIA,RELAXO
Bags / Luggage,1,Luggage & Bags,,,,VIPIND,
Paper,0,paper packaging,,,,,
Plastic & Packaging Products,3,home & retail & agri,,,SUPREMEIND,NILKAMAL,JISLJALEQS
,3,packaging : fmcg,,,ESSELPACK,PAPERPROD,UFLEX
Batteries (Dry cell),1,Toy battery,,,,,EVEREADY
Pump,1,water pump,,,,,KSB
Hospitals,3,Multi-city players,,,APOLLOHOSP,FORTIS,NH
Pharma,4,Domestic - 1,,SUNPHARMA,DRREDDY,CIPLA,GLENMARK
,4,Domestic -2,,LUPIN,CADILAHC,AUROPHARMA,BIOCON
,4,International - 1,,ABBOTINDIA,SANOFI,PFIZER,GLAXO
,3,International - 2,,,PGHL,ASTRAZEN,NOVARTIND 
,2,Diagnostic,,,LALPATHLAB,THYROCARE,
POWER,4,Power Generation,NTPC,TATAPOWER,NLCINDIA,NHPC,
,1,Power Plant (Equipments),,,,BHEL,
,1,Transmission & Distribution,,,,POWERGRID,
Oil & Gas,3,Explorers and Refineries,RELIANCE,ONGC,,OIL,
,1,Gas Terminals,,,,PETRONET,
,3,Piped gas & city gas,,,GAIL,IGL,ADANIGAS
,3,Oil & gas marketing companies,,,BPCL,HINDPETRO,IOC
,1,Lubricant,,,,CASTROLIND,
Logistics,1,Bus,,,,,VRLLOG
,1,Courier,,,,BLUEDART,
,1,Railway (cargo),,,,CONCOR,
,2,Ship (Vessels),,,,SCI,ALLCARGO
,1,Ports,,,,ADANIPORTS,
,1,Liquid Transportation,,,,,AEGISCHEM
,1,Automobile Transportation,,,,,MAHLOG
,1,Retail transportation,,,,,FSC
Telecom,2,Telcom,,BHARTIARTL,IDEA,,
,1,Tower Infrastructure,,,,INFRATEL,
Diversified,4,Multiple sectors,,PEL,ADANIENT,3MINDIA,DCMSHRIRAM
,4,Holding companies,,TATAINVEST,BAJAJHLDNG,GRASIM,GODREJIND
Defense,1,Aerospace,,,,HAL,
,2,Defense Arms & Equipments,,,,BEL,BDL
Abrasives,2,Abrasives and related,,,,CARBORUNIV,GRINDWELL
Sugar,2,Sugar Mills,,,EIDPARRY,BALRAMCHIN,
Rice,1,Rice mills etc (FMCG),,,,,KRBL
Feed,3,Animal feed and meat (FMCG),,,AVANTIFEED,GODREJAGRO,VENKEYS 
FMCG Companies (cover all),1,Biscuits & Cookies,,BRITANNIA,,,
,1,Dental,,,COLPAL,,
,1,Shaving,,,GILLETTE,,
,1,Consumer Wellness,,,,ZYDUSWELL,
,1,"Milk, Dairy",,,,,HATSUN
,3,"Tea, Coffee, Cold Drink",,TATAGLOBAL,TATACOFFEE,VBL,
,4,MNC - Diversified,HINDUNILVR,PGHH,NESTLEIND,GSKCONS,
,4,Domestic - Diversified,,GODREJCP,DABUR,MARICO,EMAMILTD
