comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
RALLIS,-,-,-,-,-,18,-,-,-,-,-,-,18
RECLTD,-,88,-,-,-,-,-,-,-,16,-,-,104
RELAXO FOOTWEARS,-,-,-,-,-,-,-,-,2,-,-,-,2
RELIANCE INDUSTRIES,-,-,-,-,-,-,77,-,-,-,-,-,77
SHOPPERS STOP,-,-,-,-,-,-,2,-,-,-,-,-,2
SIEMENS,-,14,-,-,-,-,-,-,-,-,-,-,14
SKF,-,-,-,-,-,-,-,10,-,-,-,-,10
SOBHA,-,-,-,-,-,-,-,7,-,-,-,-,7
SRTRANSFIN,-,-,-,-,-,-,-,-,-,-,5,-,5
SUNPHARMA,-,-,-,-,-,-,-,-,52,-,-,-,52
SUPREME INDUSTRIES,-,-,-,-,-,-,12,-,-,-,3,-,15
TALWALKARS,-,-,-,-,-,-,-,-,-,6,-,-,6
TATA POWER,-,-,-,-,-,-,-,16,-,-,-,-,16
TATACHEM,-,-,-,-,-,-,-,22,-,-,-,-,22
TATACOFFEE,-,-,-,-,-,-,14,-,-,-,-,-,14
TATACONSUM,-,-,-,-,-,-,-,16,-,-,-,-,16
TCS,56,-,-,-,-,220,-,56,-,-,56,-,388
THOMASCOOK,-,-,-,-,-,-,-,1,-,-,-,-,1
TIINDIA,-,-,-,-,-,-,-,-,-,-,4,-,4
TITAN,-,-,-,-,-,-,-,5,-,-,-,-,5
TRENT,-,-,-,-,-,-,-,4,-,-,-,-,4
TTK PRESTIGE,-,-,-,-,-,-,-,12,-,-,-,-,12
TUBE INVESTMENTS,-,2,-,-,-,-,-,-,-,-,-,-,2
TVS MOTOR COMPANY,-,-,5,-,-,-,-,-,-,-,8,-,13
UBL,-,-,-,-,-,-,-,-,-,1,-,-,1
ULTRATECH CEMENT,-,-,-,-,-,-,30,-,-,-,-,-,30
UPL,-,-,-,-,-,-,49,-,-,-,-,-,49
VARUN BEVERAGES,-,-,-,-,-,-,-,5,-,-,-,-,5
VEDANTA,-,-,424,354,-,-,-,-,-,-,-,-,778
VIP INDUSTRIES,-,9,-,-,-,-,-,9,-,-,-,-,18
VOLTAS,-,-,-,-,-,-,-,-,7,-,-,-,7
VSTTILLERS,-,-,-,-,-,-,-,15,-,-,-,-,15
WHIRLPOOL,-,-,-,-,-,-,-,-,3,-,-,-,3
WIPRO,-,22,-,-,-,-,-,-,-,-,-,-,22
ZEEL,-,-,-,-,-,-,22,-,-,-,-,-,22
ZEELEARN,-,-,-,-,-,-,-,-,-,1,-,-,1
Total,94,987,1398,354,-,523,890,836,535,237,581,70,-
