3MINDIA 3m
ABB Abb
ABBOTINDIA Abbott
ABFRL Aditya birla fashion retail
ACC Acc
JKTYRE Jk tyre industries
JSWSTEEL Jsw steel
JUBLFOOD Jubilant foodworks
KAJARIACER Kajaria ceramics
KANSAINER Kansai nerolac paints
KOTAKBANK Kotak mahindra bank
KRBL Krbl
KSBPUMPS Ksb pumps
KSCL Kaveri seed company
L&TFH L&t finance holdings
LALPATHLAB Dr lal pathlabs
LEMONTREE Lemon tree hotels
LICHSGFIN Lic housing finance
LT Larsen toubro
LTI Larsen toubro infotech
LTTS L&t technology services
LUPIN$ Lupin
M&MFIN Mahindra mahindra financial services
MAHFORG Mahindra cie automotive
MAHLOG Mahindra logistics
MANAPPURAM Manappuram finance
MARICO Marico
MARUTI Maruti suzuki
MCX Multi commodity exchange
MHRIL Mahindra holidays resorts
MONSANTO Monsanto
MOTHERSUMI Motherson sumi systems
MRF Mrf
MUTHOOTFIN Muthoot finance
NATIONALUM National aluminium co
NAUKRI Info edge
NBCC Nbcc
NESTLEIND Nestle
NETWORK18 Network 18 media investments
NH Narayana hrudayalaya
NHPC Nhpc
NIACL The new assurance company
NILKAMAL Nilkamal
NLCINDIA Nlc
NMDC Nmdc
NTPC Ntpc
ONGC Oil natural gas corporation
PAGEIND Page industries
PAPERPROD Huhtamaki ppl
PCJEWELLER Pc jeweller
PEL Piramal enterprises
PETRONET Petronet lng
PFC Power finance corporation
PFIZER Pfizer
PGHH Procter gamble hygiene health care
PIDILITIND Pidilite industries
PIIND Pi industries
POWERGRID Power grid corporation
PRESTIGE Prestige estates projects
PURVA Puravankara
PVR Pvr
QUESS Quess corp
RAJESHEXPO Rajesh exports
RALLIS Rallis
RECLTD Rural electrification corporation
RELAXO Relaxo footwears
RELIANCE Reliance industries
RENUKA Shree renuka sugars
SANOFI Sanofi
SBILIFE Sbi life insurance company
SCHAEFFLER Schaeffler
SCI Shipping corporation
SFL Sheela foam
SHOPERSTOP Shoppers stop
SHREECEM Shree cements
SIEMENS Siemens
SKFINDIA Skf
SOBHA Sobha
SOMANYCERA Somany ceramics
SRTRANSFIN Shriram transport finance co
SUNDARMHLD Sundaram finance holdings
SUNPHARMA Sun pharmaceutical industries
SUPREMEIND Supreme industries
TALWALKARS Talwalkars better value fitness
TATACHEM Tata chemicals
TATACOFFEE Tata coffee
TATAELXSI Tata elxsi
TATAINVEST Tata investment corporation
TATAMOTORS Tata motors
TATAPOWER Tata power co
TATASTEEL Tata steel
TATATEA Tata global beverages
TCS Tata consultancy services
TECHM Tech mahindra
THOMASCOOK Thomas cook
THYROCARE Thyrocare technologies
TIFHL Ti financial holdings
TIINDIA Tube investments
TITAN Titan company
TRENT Trent [lakme ]
TTKPRESTIG Ttk prestige
TVSMOTOR Tvs motor company
TVSSRICHAK Tvs srichakra
UBL United breweries
UFLEX Uflex
ULTRACEMCO Ultratech cement
UNITDSPR United spirits
UNK_TICKER UNK_COMP
UPL Upl
VBL Varun beverages
VEDL Vedanta
VENKYS Venkys
VGUARD V guard industries
VIPIND Vip industries
VOLTAS Voltas
VRLLOG Vrl logistics
VSTIND Vst industries
VSTTILLERS Vsttillers tractors
WABCOINDIA Wabco
WESTLIFE Westlife development
WHIRLPOOL Whirlpool
WIPRO Wipro
WONDERLA Wonderla holidays
ZEEL Zee entertainment enterprises
ZEELEARN Zee learn
ZYDUSWELL Zydus wellness
