,,Investment Multiplier,1000,,Month Name,Jan,Feb,Mar,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
IT,Computer Software,HCL Tech,5,5000,5000,0,0.00,0.00,27-Feb-2017,,,,,,,,,,
IT,Computer Software,Infosys,10,10000,10000,0,0.00,0.00,17-Mar-2017,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,Godrej Properties,2,2000,2000,0,0.00,0.00,8-Jun-2017,,,,,,,,,,
Logistics,Couriers,Blue Dart,4,4000,4000,0,0.00,0.00,30-May-2017,,,,,,,,,,
Metals,Mining & Minerals,Vedanta,5,5000,5000,0,0.00,0.00,25-Jan-2017,,,,,,,,,,
Paints,Paints & Varnishes,Akzo Nobel,2,2000,2000,0,0.00,0.00,17-Jul-2017,,,,,,,,,,
Pulp & Paper,Paper,J K Paper,2,2000,2000,0,0.00,0.00,2-Jun-2017,,,,,,,,,,
Telecom,Telecommunication - Service,Bharti Airtel,10,10000,10000,0,0.00,0.00,27-Nov-2017,,,,,,,,,,
Trading,Trading,Adani Enterprises,2,2000,2000,0,0.00,0.00,6-Dec-2017,,,,,,,,,,
FMCG,Personal Care,Gillette India,2,2000,2000,0,0.00,0.00,12-June-2017,,,,,,,,,,
Agro Chemicals,Pesticides & Agro Chemicals,Bayer,5,5000,5000,0,0.00,0.00,9-Jun-2017,,,,,,,,,,
Retail,Retail,Shoppers Stop,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Retail,Retail,Future Retail,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Retail,Retail,Future Lifestyle & Fashion,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Sugar,Sugar,EID Parry,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Logistics,Transport & Logistics,VRL Logistics,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Tyres,Tyres,Apollo Tyres,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Tyres,Tyres,J K Tyre,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
BFSI,Z Misc : Credit Rating,CARE,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Tourism & Hospitality,Z Misc : Hospitality,Thomas Cook,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Tourism & Hospitality,Z Misc : Hospitality,Cox & Kings,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Retail,Z Misc: Fitness,Talvalkar Better Value Fitness,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Real Estate,Z Misc: Woodwork,Century Plyboard,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Real Estate,Z Misc: Woodwork,Greenlam,2,2000,2000,0,0.00,0.00,1-Feb-2018,,,,,,,,,,
Plastic & Rubber,Plastics,Nilkamal,2,2000,2000,0,0.00,0.00,14-Jun-2017,,,,,,,,,,
BFSI,Banks-Private,ICICI Bank,5,5000,4000,1000,1.00,0.20,6-Dec-2017,,,,,,,,,,
Power,Power - Generation & Distribution,Power Grid Corp,5,5000,5000,0,0.00,0.00,27-Jan-2017,,,,,,,,,,
Steel,Steel - Large,Tata Steel,5,5000,5000,0,0.00,0.00,25-Jan-2017,,,,,,,,,,
Paints,Paints & Varnishes,Asian Paints,10,10000,8000,2000,2.00,0.20,6-Dec-2017,,,,,,,,,,
Oil & Gas,Refineries,Reliance Industries,10,10000,8000,2000,2.00,0.20,27-Nov-2017,,,,,,,,,,
Tyres,Tyres,Balakrishna Industries ,2,2000,2000,0,0.00,0.00,11-Jul-2017,,,,,,,,,,
Retail,Home Furnishing - Mattresses,Sheela Foam,2,2000,1600,400,0.40,0.20,2-Feb-2018,,,,,,,,,,
Tyres,Tyres,CEAT,2,2000,2000,0,0.00,0.00,17-Jul-2017,,,,,,,,,,
Automobiles,Auto -2&3,Bajaj Auto,5,5000,5000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Agro Chemicals,Pesticides & Agro Chemicals,Monsanto,5,5000,5000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Piramal Enterprises,5,5000,5000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Dr Reddy Labs,5,5000,5000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Pharma & Healthcare,Hospitals & Medical Services,Apollo Hospital,10,10000,7000,3000,3.00,0.30,6-Dec-2017,,,,,,,,,,
Automobiles,Auto -2&3,Tube Investment,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Cement,Cement : Major,Ambuja,3,3000,2000,1000,1.00,0.33,2-Jan-2018,,,,,,,,,,
Pharma & Healthcare,Hospitals & Medical Services,Narayana Hrudayalya,3,3000,2000,1000,1.00,0.33,2-Jan-2018,,,,,,,,,,
Tourism & Hospitality,Hotels,EIH,3,3000,2000,1000,1.00,0.33,2-Jan-2018,,,,,,,,,,
Oil & Gas,Refineries,HPCL,3,3000,2000,1000,1.00,0.33,2-Jan-2018,,,,,,,,,,
Oil & Gas,Oil Drilling & Exploration,Oil India,3,3000,2000,1000,1.00,0.33,1-Feb-2018,,,,,,,,,,
Paints,Paints & Varnishes,Berger Paints,3,3000,2000,1000,1.00,0.33,1-Feb-2018,,,,,,,,,,
Agro Chemicals,Pesticides & Agro Chemicals,P I Industries,3,3000,3000,1000,1.00,0.33,2-Feb-2018,,,,,,,,,,
Agriculture,Agriculture Products,Kaveri Seeds,3,3000,3000,1000,1.00,0.33,2-Feb-2018,,,,,,,,,,
BFSI,Banks-Private,AXIS Bank,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Automobiles,Auto -LCV&HCV,Tata Motors,5,5000,3000,2000,2.00,0.40,8-Sep-2017,,,,,,,,,,
BFSI,Banks-Private,Kotak Mahindra Bank,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Tourism & Hospitality,Hotels,Indian Hotels,10,10000,6000,4000,4.00,0.40,6-Dec-2017,,,,,,,,,,
Ceramics,Ceramics & Granite,HSIL (Hindware),2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Chemicals,Chemicals,Tata Chemicals,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Real Estate,Construction & Contracting : Civil,NCC,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,Puravankra Limited (PURPRO),2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Power,Power - Generation & Distribution,NTPC,10,10000,6000,4000,4.00,0.40,6-Dec-2017,,,,,,,,,,
Infrastructure,Infrastructure - General,Siemens India,5,5000,3000,2000,2.00,0.40,2-Jan-2018,,,,,,,,,,
Infrastructure,Infrastructure - General,ABB India,5,5000,3000,2000,2.00,0.40,2-Jan-2018,,,,,,,,,,
Media,Media & Entertainment,PVR India,5,5000,3000,2000,2.00,0.40,2-Jan-2018,,,,,,,,,,
IT,Computer Software,Tech Mahindra,5,5000,3000,2000,2.00,0.40,1-Feb-2018,,,,,,,,,,
Engineering,Abrsavies,CUMI,2,2000,1000,1000,1.00,0.50,17-Oct-2017,,,,,,,,,,
Engineering,Abrsavies,Grindwell Norton,2,2000,1000,1000,1.00,0.50,17-Oct-2017,,,,,,,,,,
FMCG,Aquaculture,Godrej Agrovet,2,2000,1000,1000,1.00,0.50,16-Oct-2017,,,,,,,,,,
Consumer Durables,Consumer Goods : White Goods,Whirlpool,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,Rajesh Exports,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Tourism & Hospitality,Food Processing,Cafe Coffe Day,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Pharma & Healthcare,Hospitals & Medical Services,Fortis Healthcare,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Ceramics,Ceramics & Granite,Somany Ceramics,2,2000,1000,1000,1.00,0.50,13-Nov-2017,,,,,,,,,,
FMCG,Personal Care,Colgate Palmolive,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Agro Chemicals,Pesticides & Agro Chemicals,Rallis,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Plastic & Rubber,Plastics,Supreme Industries,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Power,Power - Generation & Distribution,Tata Power,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Consumer Durables,Consumer Goods : White Goods,Blue Star,2,2000,1000,1000,1.00,0.50,28-Nov-2017,,,,,,,,,,
Consumer Durables,Consumer Goods : White Goods,IFB Industries,2,2000,1000,1000,1.00,0.50,28-Nov-2017,,,,,,,,,,
Retail,Retail,Aditya Birla Fashion & Retail,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,PC Jewellers,2,2000,1000,1000,1.00,0.50,01-Nov-2017,,,,,,,,,,
Engineering,Electrical,Crompton Greaves Consumer,2,2000,1000,1000,1.00,0.50,28-Nov-2017,,,,,,,,,,
Fertilizers,Fertilizers,Chambal Fertilizers,2,2000,1000,1000,1.00,0.50,16-Oct-2017,,,,,,,,,,
BFSI,Finance - Investments,CDSL,2,2000,1000,1000,1.00,0.50,28-Sep-2017,,,,,,,,,,
BFSI,Finance - Investments,BSE,2,2000,1000,1000,1.00,0.50,28-Sep-2017,,,,,,,,,,
Retail,Retail,Trent,2,2000,2000,0,0.00,0.00,5-Apr-2018,,,,,,,,,,
FMCG,Food Processing,KRBL,2,2000,1000,1000,1.00,0.50,22-Sep-2017,,,,,,,,,,
Automobiles,Auto -2&3,Hero Motocop,5,5000,4000,1000,1.00,0.20,9-Jun-2017,,,,,,,,,,
Tourism & Hospitality,Hotels,West Life Development,2,2000,1000,1000,1.00,0.50,8-Sep-2017,,,,,,,,,,
Leather,Leather Products,Bata,5,5000,2500,2500,2.50,0.50,6-Dec-2017,,,,,,,,,,
Auto components,Bearings,SKF India,2,2000,1600,400,0.40,0.20,20-Jun-2017,,,,,,,,,,
BFSI,Z Misc : Credit Rating,ICRA,5,5000,4000,1000,1.00,0.20,22-Jun-2017,,,,,,,,,,
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,Titan,5,5000,4000,1000,1.00,0.20,5-Apr-2018,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Pfizer,2,2000,1000,1000,1.00,0.50,19-Sep-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Dr Lal Path Labs,2,2000,1000,1000,1.00,0.50,19-Sep-2017,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,Brigade Enterprise,2,2000,1500,500,0.50,0.25,8-Jun-2017,,,,,,,,,,
Plastic & Rubber,Plastics,Jain irrigation Systems,2,2000,1000,1000,1.00,0.50,29-Nov-2017,,,,,,,,,,
Engineering,Electric Equipments,Havells,2,2000,1500,500,0.50,0.25,31-Jul-2017,,,,,,,,,,
Infrastructure,Infrastructure - General,L & T,10,10000,7000,3000,3.00,0.30,5-Apr-2018,,,,,,,,,,
Logistics,Shipping,Shipping corporation,3,3000,2000,1000,1.00,0.33,5-Apr-2018,,,,,,,,,,
Retail,Retail,Avenue Supermarket,2,2000,1000,1000,1.00,0.50,16-Oct-2017,,,,,,,,,,
Sugar,Sugar,Balarampur Chini Mills,2,2000,1000,1000,1.00,0.50,21-Nov-2017,,,,,,,,,,
Oil & Gas,Oil Drilling & Exploration,GAIL,4,4000,2000,2000,2.00,0.50,2-Jan-2018,,,,,,,,,,
Oil & Gas,Refineries,BPCL,4,4000,2000,2000,2.00,0.50,2-Jan-2018,,,,,,,,,,
Oil & Gas,Oil Drilling & Exploration,Petronet LNG,4,4000,2000,2000,2.00,0.50,1-Feb-2018,,,,,,,,,,
Ceramics,Ceramics & Granite,Asian Granito Limited,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
Logistics,Transport & Logistics,Allcargo Logistics,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
Logistics,Transport & Logistics,Aegis Logistics,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
Logistics,Transport & Logistics,Mahindra Logistics,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
Logistics,Transport & Logistics,Future supply chain,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
FMCG,Food Processing,Future consumer limited,2,2000,1000,1000,1.00,0.50,2-Feb-2018,,,,,,,,,,
Automobiles,Auto -2&3,TVS Motors,5,5000,2000,3000,3.00,0.60,1-Sep-2017,,,,,,,,,,
Automobiles,Auto -Cars,Mahindra & Mahindra,5,5000,2000,3000,3.00,0.60,1-Sep-2017,,,,,,,,,,
Alcoholic Beverages,Breweries & Distillaries,United Breweries,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
IT,Computer Software,Info Edge,5,5000,2000,3000,3.00,0.60,18-Sep-2017,,,,,,,,,,
BFSI,Finance - Insurance,ICICI Prudential,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
BFSI,Finance - Housing,LIC Housing Finance,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
BFSI,Finance - Investments,Muthoot Finance,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
BFSI,Finance - Term Lending Institutions,Power Finance Corp (PFC),5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
BFSI,Finance - Term Lending Institutions,Rural Electrification Corp (REC),5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
Plantations,Plantations - Tea & Coffee,Tata Global Beverages,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
Plantations,Plantations - Tea & Coffee,Tata Coffee,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
Steel,Steel - Large,JSW Steel,5,5000,2000,3000,3.00,0.60,6-Dec-2017,,,,,,,,,,
Logistics,Transport & Logistics,Interglobe Aviation,5,5000,2000,3000,3.00,0.60,1-Nov-2017,,,,,,,,,,
Real Estate,Construction & Contracting : Real Estate,DLF,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
FMCG,Food Processing,Varun Beverages,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Tourism & Hospitality,Hotels,Mahindra Holidays,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Leather,Leather Products,Relaxo,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Metals,Metals - Non Ferrous,Hindustan Zinc,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Paints,Paints & Varnishes,Kansai Nerolac,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
FMCG,Personal Care,Dabur,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
FMCG,Personal Care,Marico,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
FMCG,Personal Care,Emami,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Cipla,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Aurobindo Pharma,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Plastic & Rubber,Plastics,VIP Industries,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Oil & Gas,Refineries,IOCL,5,5000,2000,3000,3.00,0.60,2-Jan-2018,,,,,,,,,,
Media,Media & Entertainment,Dish TV,5,5000,2000,3000,3.00,0.60,1-Feb-2018,,,,,,,,,,
Metals,Mining & Minerals,NMDC,5,5000,2000,3000,3.00,0.60,1-Feb-2018,,,,,,,,,,
Telecom,Telecommunication - Service,Idea,5,5000,1800,3200,3.20,0.64,1-Nov-2017,,,,,,,,,,
Diversified,Diversified,Grasim,3,3000,1000,2000,2.00,0.67,16-Oct-2017,,,,,,,,,,
Diversified,Diversified,Godrej Industries,3,3000,1000,2000,2.00,0.67,16-Oct-2017,,,,,,,,,,
BFSI,Finance - Housing,Indiabulls Housing Finance,3,3000,1000,2000,2.00,0.67,3-Oct-2017,,,,,,,,,,
BFSI,Finance - Leasing & Hire Purchase,Shriram Transport Finance,3,3000,1000,2000,2.00,0.67,3-Oct-2017,,,,,,,,,,
BFSI,Finance - Leasing & Hire Purchase,Mahindra & Mahindra Finance,3,3000,1000,2000,2.00,0.67,3-Oct-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Glenmark Pharma,3,3000,1000,2000,2.00,0.67,19-Sep-2017,,,,,,,,,,
Pharma & Healthcare,Pharmaceuticals,Cadila Healthcare,3,3000,1000,2000,2.00,0.67,19-Sep-2017,,,,,,,,,,
Power,Power - Generation & Distribution,NHPC,3,3000,1000,2000,2.00,0.67,3-Oct-2017,,,,,,,,,,
Power,Power - Generation & Distribution,NLC,3,3000,1000,2000,2.00,0.67,3-Oct-2017,,,,,,,,,,
Logistics,Transport & Logistics,Container corporation,3,3000,2000,1000,1.00,0.33,5-Apr-2018,,,,,,,,,,
Telecom,Telecommunication - Equipment,Bharati Infratel,3,3000,1000,2000,2.00,0.67,03-Oct-2017,,,,,,,,,,
Textiles,Textiles - Denim,Arvind Limited,3,3000,1000,2000,2.00,0.67,18-Sep-2017,,,,,,,,,,
FMCG,Personal Care,HUL (HINLEV),10,10000,6000,4000,4.00,0.40,5-Apr-2018,,,,,,,,,,
Engineering,Engineering,Quess corp,3,3000,1000,2000,2.00,0.67,1-Feb-2018,,,,,,,,,,
BFSI,Finance - Insurance,ICICI Lombard,5,5000,1500,3500,3.50,0.70,27-Sep-2017,,,,,,,,,,
Engineering,Electrical,Bharat Electronics,5,5000,2000,3000,3.00,0.60,5-Apr-2018,,,,,,,,,,
BFSI,Finance - Insurance,SBI Life,5,5000,1000,4000,4.00,0.80,03-Oct-2017,,,,,,,,,,
BFSI,Finance - Insurance,GIC Re,5,5000,1000,4000,4.00,0.80,25-Oct-2017,,,,,,,,,,
BFSI,Finance - Insurance,New India Assurance,5,5000,1000,4000,4.00,0.80,13-Nov-2017,,,,,,,,,,
BFSI,Finance - Insurance,HDFC Standard Life,5,5000,1000,4000,4.00,0.80,17-Nov-2017,,,,,,,,,,
Infrastructure,Infrastructure - General,NBCC,5,5000,2000,3000,3.00,0.60,5-Apr-2018,,,,,,,,,,
Infrastructure,Infrastructure - General,BHEL,5,5000,2000,3000,3.00,0.60,5-Apr-2018,,,,,,,,,,
Infrastructure,Infrastructure - General,Engineers India,5,5000,1000,4000,4.00,0.80,8-Sep-2017,,,,,,,,,,
Infrastructure,Infrastructure - General,Adani Ports,5,5000,1000,4000,4.00,0.80,29-Sep-2017,,,,,,,,,,
FMCG,Personal Care,Godrej Consumer,5,5000,1000,4000,4.00,0.80,25-Sep-2017,,,,,,,,,,
