"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"Balkrishna Industries Ltd.","Automobile","Tyres & Tubes","17.71","29.21","173.2","0.19","871.14","4653.66"
"Balmer Lawrie & Co. Ltd.","Diversified","Diversified","10.42","15.48","15.04","0.05","79.15","1519.53"
"Balrampur Chini Mills Ltd.","FMCG","Sugar","30.47","17.08","-573.8","0.82","1734","2117.79"
"Bandhan Bank Ltd.","Financial","Banking","18.96","8.1","2062.71","0.05","521.35","11201.75"
"Bank Of Baroda","Financial","Banking","2.25","2.62","-15493.76","1.38","68867.53","54996.12"
"Bank of India","Financial","Banking","-16.21","2.34","-20786.96","1.21","44265.19","47651.95"
"Bank of Maharashtra","Financial","Banking","-71.14","2.46","-18260.37","2.25","10149.17","5883.08"
"BASF India Ltd.","Chemicals","Misc.Chem.","5.94","4.29","-24.05","0.65","912.21","1412.89"
"Bata India Ltd.","FMCG","Footwear","20.46","18.97","316.07","0","0","1741.84"
"Bayer CropScience Ltd.","Healthcare","Drugs & Pharma","12.98","15.28","348.34","0","0","1883.4"
"BEML Ltd","Engineering","Other Machinery","2.88","7.72","81.74","0.18","403.62","2187.37"
"Berger Paints India Ltd.","Chemicals","Paints & Varnishes","21.38","15.53","225.4","0.21","520.05","2472.7"
"Bharat Dynamics Ltd.","Engineering","Electronic Equipts.","20.24","24.73","131.34","0","5.39","2268.55"
"Bharat Electronics Ltd.","Engineering","Electronic Equipts.","21.45","24.52","631.31","0","33.34","9211.5"
"Bharat Forge Ltd.","Automobile","Auto Ancillaries","20.82","22.18","-294.63","0.75","4029.31","5376.06"
"Bharat Heavy Electricals Ltd.","Engineering","Electrical Machinery","3.78","9.51","-6051.79","0.08","2624.01","30872.38"
"Bharat Petroleum Corpn. Ltd.","Energy","Crude Oil & Natural Gas","20.14","5.75","-3379.8","1.16","44839.1","38764.72"
"Bharti Airtel Ltd.","Communication","Telecom.Services","1.89","33.85","-12617.7","1.76","125428.3","71422.2"
"Bharti Infratel Ltd.","Communication","Telecom.Services","9.38","53.53","1321.21","0","5.7","14531.6"
"Biocon Ltd.","Healthcare","Drugs & Pharma","18","27.89","-71.6","0.4","2423","6098"
"Birla Corporation Ltd.","Construction","Cement","7.17","15.68","305.97","1.1","4049.2","4495.22"
"Bliss GVS Pharma Ltd.","Healthcare","Drugs & Pharma","21.43","21.74","-91.23","0.16","101.94","646"
"Blue Dart Express Ltd.","Services","Courier Services","16.18","9.6","-41.05","0.99","571.18","577.72"
"Blue Star Ltd.","Cons Durable","ACs & Refrigerators","25.16","7.09","138.11","0.4","347.56","873.06"
"Bombay Burmah Trdg. Corpn. Ltd.","FMCG","Tea & Coffee","23.49","16.7","748.79","0.2","956.47","4763.75"
"Bombay Dyeing & Mfg. Co. Ltd.","Textiles","Textile Processing","290.37","39.49","-1296.46","19","3971.41","209"
"Bosch Ltd.","Automobile","Auto Ancillaries","16.74","22.51","740.94","0","0","9117.8"
"Britannia Industries Ltd.","FMCG","Bakery & Milling Prod.","30.32","17.55","914.68","0.04","156.02","4253.25"
"Cadila Healthcare Ltd.","Healthcare","Drugs & Pharma","19.36","24.11","2030.29","0.76","7899.4","10386.3"
"Can Fin Homes Ltd.","Financial","Housing Finance","18.15","95.07","-2549.38","9.22","16433.34","1782.19"
"Canara Bank","Financial","Banking","1.78","2.19","8082.3","1.31","41042.64","37689.24"
"Caplin Point Laboratories Ltd.","Healthcare","Drugs & Pharma","35.79","38.68","14.74","0","0.54","632.91"
"Carborundum Universal Ltd.","Metals","Abrasives","13.9","17.32","100.16","0.06","96.74","1724.1"
"CARE Ratings Ltd.","Financial","Credit Ratings & Information","24.73","64.29","100.65","0","0","549.97"
"Castrol India Ltd.","Energy","Lubricants, etc.","65.56","29.58","536.94","0","0","1165.66"
"CCL Products (India) Ltd.","FMCG","Tea & Coffee","19.62","23.01","-90.64","0.5","416.38","838.92"
"Ceat Ltd.","Automobile","Tyres & Tubes","8.6","9.83","-660.26","0.54","1498.02","2766.11"
"Central Bank of India","Financial","Banking","-36.09","2.24","-23741.92","0.35","5639.67","19396.04"
"Centrum Capital Limited","Financial","Misc. Fin.services","16.44","-26.26","-847.02","2.89","1812.91","675.39"
"Century Plyboards (India) Ltd.","FMCG","Wood","16.3","13.54","39.3","0.55","531.92","974.92"
"Century Textiles & Inds. Ltd.","Diversified","Diversified","22.14","14.91","744.3","0.91","3001.02","3293.15"
"Cera Sanitaryware Ltd.","Construction","Ceramic tiles","17.62","16.04","64.16","0.13","90.6","700.91"
"CG Power & Industrial Solutions Ltd.","Engineering","Electrical Machinery","-34.19","-3.68","-670.41","0.93","2517.33","2707.71"
"Chalet Hotel Ltd.","Services","Hotels & Restaurants","-0.8","37.16","97.84","1.09","1546.03","1422.67"
"Chambal Fertilisers & Chemicals Ltd.","Chemicals","Nitrogenous Fertilizer.","17.47","12.89","-2584.67","3.14","9045.22","2883.24"
"Chennai Petroleum Corpn. Ltd.","Energy","Crude Oil & Natural Gas","-5.92","1.38","-1729.25","1.94","6667.97","3456.54"
"Cholamandalam Financial Holdings Ltd.","Financial","Misc. Fin.services","39.14","53.08","-9304.78","12.85","50447.28","3943.6"
"Cholamandalam Investment & Finance Co. Ltd.","Financial","Hire Purchase","21.12","77.27","-9427.77","8.14","50566.74","6208.71"
"Cipla Ltd.","Healthcare","Drugs & Pharma","10.37","20.44","1016.08","0.29","4316.23","15012.28"
"City Union Bank Ltd.","Financial","Banking","15.17","3.72","31.57","0.1","480.91","4840.76"
"Coal India Ltd.","Energy","Coal & Lignite","74.9","30.88","8682.28","0.08","2209.94","26453.92"
"Cochin Shipyard Ltd.","Services","Shipping","14.51","26.91","-397.14","0.04","123","3328.64"
"Coffee Day Enterprises Ltd. ","FMCG","Tea & Coffee","2.17","17.36","-163.16","2.12","5049.9","2377.61"
"Colgate-Palmolive (India) Ltd.","FMCG","Cosmetics & Toiletries","52.37","28.54","945.35","0.06","83.14","1446.75"
"Container Corpn. Of India Ltd.","Services","Transport Support Services","11.95","30.31","-2400.27","0.07","770.65","10329.9"
"Coromandel International Ltd.","Chemicals","Other Fertilisers","23.1","11.19","100.39","0.88","2954.47","3358.39"
"Corporation Bank","Financial","Banking","-48.74","2.84","-16379.92","0.53","8394.26","16614.51"
"CreditAccess Grameen Ltd.","Financial","Misc. Fin.services","16.99","72.02","-1479.29","2.07","4866.57","2365.06"
"Crisil Ltd.","Financial","Credit Ratings & Information","35.42","31.15","349.13","0","2.59","1136.25"
"Crompton Greaves Consumer Electricals Ltd.","Cons Durable","Consumer Electronics","47.83","14.12","277.55","0.66","649.26","1097.34"
"Cummins India Ltd.","Engineering","Electrical Machinery","15.47","19.38","239.17","0.07","312.59","4282.98"
"Cyient Limited","Technology","Computer Software","19.29","16.61","267.52","0.14","368.4","2564.1"
"Dabur India Ltd.","FMCG","Cosmetics & Toiletries","25.88","23.91","1369.75","0.13","699.37","5631.68"
"Dalmia Bharat Ltd.","Construction","Cement","4.88","23.08","456.17","0.55","5878","10639"
"DB Corporation Ltd.","FMCG","Books & Newspapers","14.65","21.15","173.54","0.03","50.81","1826.93"
"DCB Bank Ltd.","Financial","Banking","11.99","3.36","-487.57","0.95","2723.2","3115.6"
"DCM Shriram Ltd.","Diversified","Diversified","27.5","18.74","-177.25","0.46","1610.05","3525.68"
"Deepak Fertilisers & Petrochemicals Corpn. Ltd.","Chemicals","Inorganic Chem.","3.74","7.62","382.55","1.48","3032.11","2097.85"
"Deepak Nitrite Ltd.","Chemicals","Organic Chemicals","17.42","16.01","-316.37","1.11","1186.52","1071.58"
"Delta Corp Ltd.","Services","Media & Entertainment","10.91","43.03","48.82","0","0.19","1942.27"
"Dewan Housing Finance Corpn. Ltd.","Financial","Housing Finance","-11.67","64.93","-3166.06","11.91","93998.92","7937.37"
"Dhanuka Agritech Ltd.","Chemicals","Pesticides","17.65","16.64","21.98","0.03","22.21","642.22"
"Dilip Buildcon Ltd.","Construction","Construction","21.4","19.25","-4873.44","2.64","7406.09","2805.97"
"Dish TV India Ltd.","Services","Media & Entertainment","-19.01","34","-1403.18","0.5","2758.24","5489.98"
"Dishman Carbogen Amcis Ltd.","Healthcare","Drugs & Pharma","4.01","29.42","-31.87","0.19","1042.17","5379.09"
"Divi's Laboratories Ltd.","Healthcare","Drugs & Pharma","21","41.01","288.75","0.02","105.6","6957.15"
"DLF Ltd.","Construction","Real Estate","1.09","33.53","-35.35","0.52","17222.46","33576.54"
"Dr. Lal Pathlabs Ltd.","Healthcare","Health Services","23.76","28.22","205.95","0","0","945.5"
"Dr. Reddy's Laboratories Ltd.","Healthcare","Drugs & Pharma","14.42","22.76","1626.95","0.28","3838.1","14023.6"
"eClerx Services Ltd","Services","Misc.Other Services","17.94","24.99","195.51","0","1.67","1381.3"
"Edelweiss Financial Services Ltd.","Financial","Invest.Services","14.38","61.05","4154.04","6.1","46537.64","7676.98"
"Eicher Motors Ltd.","Automobile","Two & Three Wheelers","24.79","34.16","1017.6","0.02","186.76","8918.72"
"EID-Parry (India) Ltd.","FMCG","Sugar","14.39","9.4","-701.56","1.64","5124.62","3127.9"
"EIH Ltd.","Services","Hotels & Restaurants","4.65","26.21","26.1","0.18","550.08","2993.39"
"Emami Ltd.","FMCG","Cosmetics & Toiletries","14.9","28.3","416.9","0.05","109.87","2076.06"
"Endurance Technologies Ltd.","Automobile","Auto Ancillaries","20.9","15.39","187.94","0.28","730.5","2564.68"
"Engineers India Ltd.","Construction","Construction","15.91","24.2","706.14","0","0","2347.32"
"Equitas Holdings Ltd.","Financial","Misc. Fin.services","7.66","58.15","1216.04","1.65","3971.42","2443.7"
"Eris Lifesciences Ltd","Healthcare","Drugs & Pharma","28.96","38.36","236.26","0.15","176.42","1150.52"
"Escorts Ltd.","Automobile","Auto Ancillaries","19.57","13.04","-343.69","0.11","280.96","2673.49"
"Essel Propack Ltd.","Chemicals","Plastic Packaging goods","14.43","19.49","31.71","0.46","632.5","1387.96"
"Eveready Industries (India) Ltd.","FMCG","Dry Cells","13.55","10.65","-26.83","1.09","408.03","375.9"
"Exide Industries Ltd.","Engineering","Storage Batteries","14.69","10.88","269.95","0.01","89.03","6106.86"
"FDC Ltd.","Healthcare","Drugs & Pharma","12.63","25.17","114.05","0","0.6","1445.24"
"Federal Bank Ltd.","Financial","Banking","9.96","2.82","6877.43","0.65","8706.29","13498.25"
"Fine Organic Industries Ltd.","Chemicals","Misc.Chem.","30.42","23.98","22.5","0.26","128.27","500.24"
"Finolex Cables Ltd.","Engineering","Wires & cables","11.89","17.91","154.38","0","0.55","2737.08"
"Finolex Industries Ltd.","Chemicals","Other Plastic Prod.","13.15","20.86","317.74","0.04","90.56","2576.2"
"Firstsource Solutions Ltd.","Services","Misc.Other Services","14.97","14.1","278.78","0.21","557.68","2720.73"
"Force Motors Ltd.","Automobile","Commercial Vehicles","7.9","9.87","-179.13","0.15","285.9","1933.21"
"Fortis Healthcare (India) Ltd","Healthcare","Health Services","-11.09","7.11","-685.74","0.31","2010.27","6600.8"
"Future Consumer Ltd.","FMCG","Food Processing","2.3","3.41","-171.13","0.84","813.67","990.21"
"Future Lifestyle Fashion Ltd.","Services","Trading","11.66","10.53","3.79","0.5","903.55","1827.04"
"Future Retail Ltd.","Services","Retailing","18.99","5.21","-1335.99","0.69","2657.04","3846.37"
"GAIL (India) Ltd.","Energy","Crude Oil & Natural Gas","13.18","14.43","-851.93","0.05","2223.73","46004.1"
"Galaxy Surfactants Ltd.","FMCG","Personal Care","23.94","12.96","74.37","0.34","297.8","876.73"
"Gateway Distriparks Ltd.","Services","Transport Support Services","25.77","22.06","313.51","0.63","831.69","1321.8"
"Gayatri Projects Ltd.","Construction","Construction","16.33","16.88","125.26","1.9","2217.66","1166.12"
"GE Power India Ltd.","Construction","Construction","8.82","17.01","-238.3","0","0","881.92"
"GE T&D India Ltd.","Engineering","Switching Equipment","16.25","11.92","-441.21","0.06","80.53","1427.99"
"General Insurance Corporation of India Ltd.","Financial","Reinsurance","10.15","-","7042.64","0","0","25492.38"
"GHCL Ltd.","Chemicals","Soda Ash","19.83","23.19","28.62","0.68","1302.17","1925.51"
"GIC Housing Finance Ltd.","Financial","Housing Finance","14.48","90.88","180.12","9.3","11658.63","1254"
"Gillette India Ltd.","FMCG","Cosmetics & Toiletries","38.56","23.52","135.11","0","0","694.18"
"Glaxosmithkline Consumer Healthcare Ltd.","FMCG","Dairy products","25.93","32.91","1010.72","0","0","4094.71"
"Glaxosmithkline Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","21.22","22.48","198.51","0","0.58","2139.83"
"Glenmark Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","17.21","18.18","150.07","0.8","4448.67","5605.18"
"GMR Infrastructure Ltd","Construction","Construction","-218.02","31.71","-4702.82","-33.63","27579.89","-820.06"
"Godfrey Phillips India Ltd.","FMCG","Tobacco Prod.","13.56","19.31","303.67","0.02","42","2038.72"
"Godrej Agrovet Ltd.","FMCG","Oil cakes & Animal Feed","22.07","8.67","222.94","0.24","397.95","1648.98"
"Godrej Consumer Products Ltd.","FMCG","Cosmetics & Toiletries","34.62","21.72","2303.64","0.47","3382.05","7266.92"
"Godrej Industries Ltd.","FMCG","Cosmetics & Toiletries","7.61","10.01","672.46","1.66","7207.44","4346.44"
"Godrej Properties Ltd.","Construction","Real Estate","13.04","20.68","477.59","1.43","3515.84","2469.01"
"Granules India Ltd.","Healthcare","Drugs & Pharma","13.32","18.02","-62.19","0.65","991.18","1529.47"
"Graphite India Ltd.","Engineering","Welding machinery","84.1","66.59","2194.71","0.07","359.59","5350.58"
"Grasim Industries Ltd.","Construction","Cement","4.87","23.12","-12411.35","1.48","81968.82","55773.23"
"Great Eastern Shipping Company Ltd.","Services","Shipping","-0.31","37.66","-173.8","0.88","5998.94","6809.67"
"Greaves Cotton Ltd.","Engineering","Industrial Machinery","16.82","15.58","94.64","0.01","11.13","969.12"
"Grindwell Norton Ltd.","Metals","Abrasives","16.28","19.22","33.28","0","0","1097.92"
"Gruh Finance Ltd.","Financial","Housing Finance","26.13","94.74","-1322.84","7.98","15012.9","1891.44"
"Gujarat Alkalies & Chemicals Ltd.","Chemicals","Caustic Soda","16.98","37.2","466.51","0.06","247.45","4295.58"
"Gujarat Gas Ltd.","Chemicals","Indl.Gases","20.48","14.29","138.51","1","2213.11","2205.27"
"Gujarat Mineral Devp. Corpn. Ltd.","Energy","Coal & Lignite","5.07","37.28","-63.56","0","0","4317.11"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd.","Chemicals","Nitrogenous Fertilizer.","15.47","18.46","455.22","0.04","207.93","5064.73"
"Gujarat Pipavav Port Ltd","Services","Shipping","9.44","61.84","257.83","0","0","2197.43"
"Gujarat State Fertilizers & Chemicals Ltd.","Chemicals","Nitrogenous Fertilizer.","6.74","10.08","111.22","0.15","1068.69","7320.68"
"Gujarat State Petronet Ltd.","Energy","Crude Oil & Natural Gas","41.11","28.66","765.25","1.39","4579.09","3295.23"
"Gulf Oil Lubricants India Ltd.","Energy","Lubricants, etc.","34.66","18.33","-21.14","0.49","283.11","586.74"
"Hathway Cable & Datacom Ltd.","Communication","Telecom.Services","-8.77","23.97","-198.25","0.54","1973.06","3639.51"
"Havells India Ltd.","Engineering","Switching Equipment","19.77","13.42","-38.4","0.02","94.5","4217.99"
"HCL Technologies Ltd.","Technology","Computer Software","26.04","24.61","6267.91","0.1","4195","41366"
"HDFC Asset Management Company Ltd.","Financial","Misc. Fin.services","35.08","72.45","995","0","0","3070.72"
"HDFC Bank Ltd.","Financial","Banking","17.05","4.16","-72824.35","1.03","157732.78","153672.66"
"HDFC Life Insurance Co Ltd.","Financial","Life Insurance","24.7","-","1194.74","0","0","-"
"HEG Ltd.","Engineering","Welding machinery","107.01","72.31","1490.98","0.18","666.36","3793.69"
"Heidelberg Cement India Ltd.","Construction","Cement","19.9","24.29","262.11","0.44","516.82","1171.19"
"Heritage Foods Ltd.","FMCG","Dairy products","10.58","7.78","-7.31","0.37","299.37","802.56"
"Hero Motocorp Ltd.","Automobile","Two & Three Wheelers","27.16","16.79","1104.57","0.02","311.5","13120.41"
"Hexaware Technologies Ltd.","Technology","Computer Software","27.6","17.08","470.85","0","0","2391.86"
"Himachal Futuristic Communications Ltd.","Communication","Communication Equipt.","17.94","9.67","-328.71","0.41","590.31","1441.66"
"Himadri Speciality Chemical Ltd.","Energy","Coal & Lignite","21.31","23.43","189.85","0.29","476.47","1631.79"
"Himatsingka Seide Ltd.","Textiles","Silk Textiles","14.86","22.27","-717.23","1.96","2790.33","1421.06"
"Hindalco Industries Ltd.","Metals","Aluminium","9.77","12.74","2604.95","0.91","52415.01","57501.73"
"Hindustan Aeronautics Ltd.","Services","Air Transport","22.23","24.21","-10794.95","0.39","4198.47","10855.71"
"Hindustan Copper Ltd.","Metals","Other Non-Ferrous Metal","12.45","17.81","-452.9","0.92","1070.11","1630.87"
"Hindustan Petroleum Corpn. Ltd.","Energy","Crude Oil & Natural Gas","20.6","4.71","-4917.2","0.93","28191.54","30400.66"
"Hindustan Unilever Ltd.","FMCG","Cosmetics & Toiletries","80.29","23.99","5528.01","0.01","99","7867"
"Hindustan Zinc Ltd.","Metals","Other Non-Ferrous Metal","22.88","58.96","7110.54","0.08","2538","33605"
"Honeywell Automation India Ltd.","Engineering","Electronic Equipts.","22.73","18.18","381.29","0","0","1747.46"
"Housing & Urban Development Corpn. Ltd.","Financial","Housing Finance","11.29","89.03","-23798.96","5.46","59847.96","10954.76"
"Housing Development Finance Corpn. Ltd.","Financial","Housing Finance","10.12","46.43","1612.5","2.53","279683.11","111733.14"
"ICICI Bank Ltd.","Financial","Banking","5.2","2.9","35476.36","1.89","210324.12","114253.41"
"ICICI Lombard General Insurance Comapny Ltd.","Financial","General Insurance","21.28","-","918.48","0.09","485","-"
"ICICI Prudential Life Insurance Company Ltd.","Financial","Life Insurance","17","-","1028.57","0","0","-"
"ICICI Securities Ltd.","Financial","Invest.Services","53.13","47.75","2238.55","0.44","451.83","1047.27"
"IDBI Bank Ltd.","Financial","Banking","-61.94","2.27","-52162.1","1.43","45287.72","38346.71"
"IDFC First Bank Ltd.","Financial","Banking","-11.23","2.25","16710.35","3.85","69983.39","18199.36"
"IDFC Ltd.","Financial","SIDCs/SFCs","0.23","-19.66","4103.67","0","0","10384.81"
"IFB Industries Ltd.","Cons Durable","Domestic Electrical Applns.","12.2","5.29","71.11","0.05","30.64","618.39"
"IFCI Ltd.","Financial","DFIs","-8.47","41.55","-98.03","3.06","16394.25","5356.67"
"India Cements Ltd.","Construction","Cement","0.48","11.52","-343.1","0.66","3452.93","5245.98"
"India Tourism Devp. Corpn. Ltd.","Services","Tourism","12.58","11.52","-21.42","0","1.15","331.43"
"Indiabulls Housing Finance Ltd.","Financial","Housing Finance","26.32","90.32","21338.27","6.42","105756.2","16482.12"
"Indiabulls Integrated Services Ltd.","Services","Misc.Other Services","8.83","103.36","-133.11","0.25","342.12","1433.1"
"Indiabulls Real Estate Ltd.","Construction","Real Estate","16.97","26.73","-2342.01","1.38","5534.36","3998.4"
"Indiabulls Ventures Ltd.","Financial","Hire Purchase","11.26","62.38","-7697.89","1.3","8239.56","6425.97"
"Indian Bank","Financial","Banking","1.96","2.63","10090.11","0.73","12137.54","19715.46"
"Indian Energy Exchange Ltd.","Financial","Misc. Fin.services","50.52","95.6","167.19","0","0","370.27"
"Indian Hotels Co. Ltd.","Services","Hotels & Restaurants","5.74","20.32","65.6","0.53","2325.98","4348"
"Indian Oil Corpn. Ltd.","Energy","Crude Oil & Natural Gas","14.04","7.19","-1021.35","0.86","96765.04","112469.24"
"Indian Overseas Bank","Financial","Banking","-29.85","2.29","-10340.64","0.44","6146.04","16359.88"
"Indostar Capital Finance Pvt Ltd.","Financial","Misc. Fin.services","9.71","79.71","-2455.52","3.04","8935.74","3006.28"
"Indraprastha Gas Ltd.","Energy","Crude Oil & Natural Gas","18.97","24.22","539.66","0","0","4315.71"
"Indusind Bank Ltd.","Financial","Banking","13.28","3.4","-9791.23","1.8","47321.12","26687.25"
"Infibeam Avenues Ltd.","Services","E-Commerce","4.48","16.16","185.67","0.01","40.3","2737.65"
"Info Edge (India) Ltd.","Services","E-Commerce","40.22","38.14","977","0","0.83","2542.59"
"Infosys Ltd.","Technology","Computer Software","23.8","27.88","14609.19","0","0","64948"
"INOX Leisure Ltd.","Services","Media & Entertainment","15.75","19.1","-11.85","0.11","110","963.81"
"Inox Wind Ltd.","Engineering","Power Projects","-2","12.02","-122.34","0.66","1305.16","1964.87"
"Intellect Design Arena Ltd.","Technology","Computer Software","14.53","13.44","-137.82","0.13","133.27","1019.73"
"Interglobe Aviation Ltd.","Services","Air Transport","2.26","4.13","2099.29","0.35","2429.17","6945.81"
"Ipca Laboratories Ltd.","Healthcare","Drugs & Pharma","15.28","20.1","323.95","0.15","464.95","3122.39"
"IRB Infrastructure Developers Ltd.","Construction","Construction","14.19","46.8","-2714.96","2.63","16599.48","6315.15"
"Ircon International Ltd.","Construction","Construction","11.09","13.94","-2308.79","0.78","3076.53","3964.22"
"ITC Ltd.","FMCG","Tobacco Prod.","23.8","42.62","10557.66","0","13.44","59140.87"
"ITD Cementation India Ltd.","Construction","Construction","10.17","10.79","-390.2","0.52","532.29","1020.87"
"ITI Ltd.","Communication","Communication Equipt.","0","27.71","-229.24","-1.51","1226.32","1665.11"
"Jagran Prakashan Ltd.","FMCG","Books & Newspapers","13.98","24.32","135.4","0.22","406.36","1875.71"
"Jai Corp Ltd.","Metals","Finished Steel","-7.79","16.64","-77.73","0.28","348.88","1264.81"
"Jai Prakash Associates Ltd.","Construction","Cement","-90.78","11.39","-2260.99","27.16","28677.89","1055.86"
"Jain Irrigation Systems Ltd.","Chemicals","Plastic tubes & pipes","5.72","13.96","-694.88","1.19","5247.42","4413.09"
"Jammu & Kashmir Bank Ltd.","Financial","Banking","8.03","3.55","-4605","0.44","2623.96","6621.76"
"Jamna Auto Inds. Ltd.","Automobile","Auto Ancillaries","29.45","13.56","131.15","0.01","3.62","509.55"
"JB Chemicals & Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","13.28","21.11","149.31","0.02","25.8","1480.12"
"Jindal Saw Ltd.","Metals","Steel Tubes & Pipes","12.97","13.29","928.78","0.91","5729.51","6282.36"
"Jindal Stainless (Hisar) Ltd.","Metals","Stainless Steel","20.71","11.09","649.1","1.28","2366.89","1852.78"
"Jindal Stainless Ltd.","Metals","Stainless Steel","5.39","8.83","592.96","1.74","4387.72","2590.82"
