Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
Ambuja Cem.,500425,AMBUJACEM,Cement - North India,199.85,0,0,6.11,188.35,244.00,26645.75,2380.36,39683.12,0.00,8.25,14.15,37.04,15.95,31.20,1.15,15.75,22.97,33277.83,23110.54,22713.41,6.60,1.72,22.98,1.49,6.95,13.68,0.75,1.59,23.24,13.86,0.00,63.11,7.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,1369.25,0,0,32.29,1035.00,1579.70,8655.47,321.91,19049.01,0.83,7.59,9.62,28.89,59.17,55.01,-55.30,12.91,2.60,22009.11,3883.41,3813.85,4.26,4.91,20.99,2.20,19.44,27.57,0.44,1.37,16.80,-1.07,71.26,34.40,7.00
Apollo Tyres,500877,APOLLOTYRE,Tyres,169.10,0,0,17.39,144.05,244.90,17580.86,569.60,9673.37,0.49,10.46,10.98,21.65,13.29,12.57,-2.97,10.77,5.70,14041.16,10039.82,9982.61,7.30,0.96,9.03,0.55,6.97,27.35,1.92,1.33,5.52,-4.47,15.02,40.90,7.00
Arvind Ltd,500101,ARVIND,Textiles - Cotton/Blended,46.75,0,0,4.94,44.55,120.30,7229.01,191.03,1209.74,0.98,8.95,9.72,20.88,5.46,21.82,-0.78,9.26,2.23,3829.02,2750.59,2491.82,4.39,0.44,0.51,0.17,5.00,22.86,4.28,1.89,0.80,-7.03,9.87,43.07,6.00
Asahi India Glas,515030,ASAHIINDIA,Glass & Glass Products,178.35,0,0,4.91,170.00,341.95,2884.76,184.20,4335.69,1.35,18.39,17.02,16.53,23.40,48.33,0.54,17.55,2.96,5957.01,1215.69,1191.38,7.04,3.57,10.23,1.50,11.17,12.78,0.56,1.41,5.62,43.44,6.21,54.28,6.00
Ashok Leyland,500477,ASHOKLEY,Automobiles - LCVs / HCVs,65.95,1,0,15.80,56.95,123.10,28476.09,1791.79,19359.80,0.08,25.45,27.38,41.20,10.51,70.01,0.24,10.54,35.61,18618.57,8332.43,8038.88,19.54,2.32,-53.43,0.68,6.04,45.89,4.70,0.94,23.05,43.55,9.26,51.13,6.00
Asian Granito,532888,ASIANTILES,Ceramics - Tiles / Sanitaryware,228.90,0,0,76.08,130.00,274.85,1259.99,26.12,688.70,0.80,9.50,13.19,8.25,26.37,20.51,2.13,7.97,2.11,1016.10,451.11,421.02,5.02,1.53,7.87,0.55,9.68,8.67,0.26,1.73,8.89,12.36,0.00,34.11,5.00
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,1766.10,1,0,57.97,1118.00,1820.00,20081.88,2255.45,169403.92,0.07,25.49,37.21,46.17,75.11,54.66,6.19,19.26,42.78,169586.07,9519.69,9423.77,22.68,17.80,76.51,8.44,40.88,46.64,0.59,1.30,9.62,12.14,11.95,52.80,5.00
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,2267.95,0,0,73.65,1306.05,2398.55,771.41,69.56,5669.88,0.00,13.76,20.67,0.00,81.51,211.83,2.08,12.65,324.83,5496.58,300.80,295.80,12.79,18.85,103.13,7.35,48.45,0.00,0.00,1.65,8.98,39.13,0.00,75.00,8.00
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,576.20,0,0,7.38,536.60,838.00,20757.87,2544.86,33761.78,0.50,22.63,21.61,6.20,12.88,17.95,0.82,20.60,20.04,38771.36,13890.78,13832.19,15.96,2.43,20.81,1.63,8.77,6.19,0.43,2.68,19.32,15.65,3.82,51.87,4.00
Avanti Feeds,512573,AVANTIFEED,Food - Processing - Indian,360.35,1,0,42.43,253.00,487.50,3541.03,280.92,4909.61,0.01,36.91,57.80,17.02,17.48,15.00,0.59,11.63,162.16,4732.04,1205.96,1192.34,33.69,4.07,26.71,1.39,9.95,19.91,1.11,2.75,26.11,29.73,0.00,43.76,5.00
Avenue Super.,540376,DMART,Trading,1896.00,0,0,68.42,1125.75,1945.05,21137.36,1021.05,118326.42,0.12,18.11,24.06,0.00,115.89,95.33,2.74,8.59,30.27,118808.02,5594.48,4970.40,14.37,21.15,138.76,5.60,63.72,0.00,0.00,2.86,36.11,42.29,0.00,81.20,5.00
Axis Bank,532215,AXISBANK,Banks - Private Sector,679.15,0,0,27.15,534.15,827.75,57463.70,5345.60,191452.69,10.52,4.71,5.28,12.68,35.82,106.65,-6.50,50.51,1.23,825495.17,66685.87,66161.97,0.45,2.87,5.10,3.33,19.15,5.50,0.13,3.84,12.41,-5.51,0.00,16.22,7.00
B H E L,500103,BHEL,Electric Equipment,46.85,0,0,1.74,46.05,78.85,28945.14,843.57,16313.47,0.08,2.57,5.42,72.71,19.34,39.07,-1.01,5.49,5.50,11421.30,31399.86,30703.45,1.95,0.52,-4.20,0.56,5.12,57.30,4.27,2.01,-4.94,-19.07,0.00,63.17,6.00
B P C L,500547,BPCL,Refineries,493.90,1,0,107.04,238.55,511.55,301809.40,5913.88,107139.39,0.78,23.93,21.40,52.40,18.12,10.47,1.54,3.37,6.72,136143.28,37194.42,35227.54,13.91,2.92,14.01,0.35,10.28,52.40,3.49,0.87,2.71,11.77,0.00,53.29,6.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,2910.00,1,0,21.25,2400.00,3149.95,30597.56,4898.00,84205.80,0.01,22.80,31.65,38.47,18.09,19.40,2.66,16.14,1388.85,83397.25,23233.81,22944.44,22.72,3.62,33.86,2.75,12.27,35.23,2.06,1.01,8.48,6.81,0.00,53.52,6.00
Bajaj Fin.,500034,BAJFINANCE,Finance & Investments,3992.40,0,0,108.81,1912.00,4112.00,18887.56,4181.33,231516.96,4.41,21.12,12.75,9.63,55.37,31.01,1.38,69.03,2.01,317626.99,19563.75,19448.26,3.74,13.33,-14.68,12.26,24.25,8.90,0.15,0.99,33.88,40.14,0.00,58.26,4.00
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,8458.35,0,0,70.70,4955.00,8668.80,46104.99,3238.61,134602.89,4.20,14.82,14.35,1.17,41.56,21.79,2.63,34.61,2.16,232768.35,23765.92,23686.35,2.71,5.66,-4.97,2.92,14.58,1.24,0.03,0.10,47.89,15.82,0.00,60.71,5.00
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,3588.65,0,0,62.85,2203.65,3800.00,400.62,3006.41,39938.09,0.00,12.75,10.20,14.42,13.28,9.02,1.49,74.09,1208.86,39927.90,26952.30,26841.01,12.97,1.48,63.64,99.69,12.76,11.86,0.91,3.08,0.17,8.93,0.00,49.56,5.00
Balkrishna Inds,502355,BALKRISIND,Tyres,757.80,1,0,11.11,682.00,1189.65,5075.59,727.75,14649.58,0.18,18.30,21.25,17.17,20.13,18.06,2.33,24.06,132.25,15423.57,4678.71,4640.05,13.85,3.13,18.02,2.89,10.82,19.77,1.06,1.88,7.96,8.64,0.00,58.30,8.00
Balrampur Chini,500038,BALRAMCHIN,Sugar,159.65,1,0,121.74,72.00,173.90,4231.74,603.73,3512.30,0.83,29.15,19.69,16.57,5.82,83.59,0.04,17.38,14.46,5241.37,2081.86,2059.86,14.85,1.69,-6.72,0.83,6.74,10.01,1.63,3.16,9.97,153.61,0.00,41.10,6.00
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,470.35,0,0,27.78,368.10,636.30,7208.44,2170.93,56118.28,3.91,,,9.07,25.85,36.87,,62.83,2.43,94068.59,11201.76,10008.66,335.56,5.01,19.13,7.79,16.52,18.34,0.64,4.32,,,0.00,82.26,5.00
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,91.30,0,0,6.60,85.65,144.00,52906.25,1100.10,35120.62,14.70,0.62,4.38,5.09,32.38,17.26,-1.23,51.21,1.05,671692.00,49954.12,49423.76,0.04,0.70,-24.24,0.66,19.21,0.00,0.00,4.10,5.51,-26.34,0.00,69.23,5.00
BASF India,500042,BASF,Chemicals,979.10,0,0,0.94,970.00,1849.00,6012.31,65.48,4238.52,0.65,1.55,5.13,0.37,,47.32,,1.81,0.16,5137.52,1412.89,1369.60,0.80,3.00,-54.95,0.70,30.46,26.48,0.51,1.80,6.35,,0.00,73.33,4.00
Bata India,500043,BATAINDIA,Leather / Leather Products,1736.95,0,0,108.49,833.10,1789.75,3013.30,347.84,22324.59,0.00,17.05,26.29,25.23,64.18,41.03,6.36,19.53,15.88,21485.59,1746.53,1682.27,15.65,12.78,64.77,7.41,32.46,24.37,0.36,3.09,7.23,10.09,0.00,52.96,9.00
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,3372.15,0,0,14.23,2952.00,4480.00,2517.50,149.70,11577.80,0.00,14.55,21.88,22.41,69.68,42.18,-18.58,10.62,25.40,11249.50,1883.40,1849.10,13.89,6.15,28.79,4.60,37.42,25.98,0.53,2.32,-3.37,-3.75,0.00,68.69,6.00
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,433.45,1,0,66.71,260.00,444.80,6295.38,537.93,42093.62,0.21,22.33,29.14,36.95,78.25,50.82,5.39,15.44,20.62,42375.19,2472.70,2375.59,18.50,17.02,74.94,6.69,40.85,37.06,0.44,1.73,10.19,14.51,0.00,75.00,5.00
Bharat Dynamics,541143,BDL,Engineering,290.05,,0,29.49,224.00,345.00,3012.49,406.32,5316.07,0.00,23.66,36.22,30.00,13.08,13.02,,20.26,139.05,4950.14,2268.54,2085.26,18.60,2.34,63.66,1.76,6.60,30.01,2.39,1.48,,,0.00,87.75,6.00
Bharat Electron,500049,BEL,Electronics - Components,107.15,1,0,47.79,72.50,117.75,12084.06,1952.29,26108.09,0.00,20.07,27.51,36.76,13.37,19.28,0.85,24.00,224.77,25257.74,9018.91,8775.25,17.95,2.89,17.43,2.16,8.19,42.98,3.17,1.49,14.00,15.77,0.00,58.83,7.00
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,350.95,0,0,38.06,254.20,378.75,81993.70,-2553.80,180106.20,1.75,2.64,7.16,149.60,,102.96,,33.10,0.45,297429.00,72044.40,69478.90,0.99,2.52,9.10,2.20,10.74,244.04,0.55,0.71,-1.21,,0.00,62.71,3.00
Bharti Infra.,534816,INFRATEL,Transmisson Line Towers / Equipment,249.00,0,0,4.32,238.70,335.00,6854.60,2742.80,46055.25,0.00,14.66,20.32,107.61,16.79,31.70,1.71,47.69,-9.78,46059.25,14531.60,12682.00,14.04,3.17,14.58,6.72,10.54,111.25,6.02,0.71,-8.81,9.82,0.00,53.51,7.00
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,222.15,0,0,5.26,211.05,345.00,5856.50,991.90,26658.00,0.40,11.00,11.54,10.85,32.16,38.71,2.69,26.31,17.35,28025.80,6398.00,5798.00,6.67,4.37,23.09,4.55,16.63,6.63,0.23,1.95,13.89,11.95,0.00,60.67,8.00
Blue Dart Exp.,526612,BLUEDART,Couriers,2481.65,0,0,15.49,2148.85,3700.00,3219.23,70.11,5888.96,0.22,21.60,25.72,26.78,84.00,124.85,-12.86,5.39,6.14,5768.19,664.74,641.01,14.76,8.86,37.46,1.83,30.13,33.90,0.50,1.50,10.37,-6.53,0.00,75.00,6.00
Blue Star,500067,BLUESTARCO,Air-conditioners,798.70,1,0,57.44,507.30,835.00,5302.46,175.29,7692.59,0.40,20.42,22.52,58.53,41.67,44.01,2.10,6.12,6.56,7939.21,873.06,853.80,13.56,8.81,29.21,1.45,21.59,50.67,1.25,1.31,12.27,19.84,0.00,38.76,7.00
Borosil Glass,502219,BOROSIL,Glass & Glass Products,170.35,0,0,51.35,112.55,298.10,376.90,48.87,1574.03,0.04,5.21,6.67,18.03,32.21,20.81,1.56,7.77,24.04,1601.53,869.87,860.63,5.10,1.81,52.63,4.18,20.38,12.46,0.37,2.83,17.09,20.68,0.00,72.85,6.00
Bosch,500530,BOSCHLTD,Auto Ancillaries,13247.50,0,0,4.32,12698.80,20500.00,11824.58,1447.01,39071.70,0.00,16.97,24.55,23.51,26.00,45.41,1.88,17.07,146.75,37819.00,9126.19,9096.70,16.30,4.28,64.55,3.30,14.56,19.38,0.79,2.06,6.96,13.80,0.00,70.54,7.00
Brigade Enterpr.,532929,BRIGADE,Construction,204.45,0,0,95.95,104.34,223.00,2982.39,218.03,4177.01,1.74,9.20,11.09,16.49,19.16,15.69,0.85,26.57,2.37,7740.17,2169.40,2033.22,3.35,1.93,8.94,1.40,9.13,11.35,0.65,1.30,25.71,22.54,0.00,46.83,6.00
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,2919.55,1,0,26.94,2300.00,3583.75,11211.34,1151.98,70162.13,0.04,32.85,47.32,30.28,60.39,45.90,2.45,15.49,107.38,70208.33,4253.25,4229.22,31.30,16.50,60.70,6.26,35.64,31.10,0.51,1.56,9.84,24.66,0.00,50.66,5.00
BSE,,BSE,Finance & Investments,564.45,0,0,26.50,446.20,689.10,659.87,189.10,2923.23,0.00,8.49,9.46,58.04,14.49,15.19,7.10,32.82,196.49,1375.15,2935.68,2925.32,7.39,1.00,-9.19,4.43,4.89,77.98,5.32,1.48,2.21,2.04,0.00,0.00,4.00
Cadila Health.,532321,CADILAHC,Pharmaceuticals - Indian - Bulk Drugs & Formln,234.15,1,0,13.42,206.45,404.00,13768.20,1691.90,23970.93,0.76,21.13,16.46,20.53,14.17,24.80,0.84,21.50,9.91,31221.03,10386.30,10283.90,12.48,2.31,8.32,1.74,10.13,19.39,1.50,1.99,12.75,16.84,0.00,74.79,4.00
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels,294.20,0,0,11.02,265.00,418.85,2725.96,238.08,5568.14,0.05,14.44,20.13,19.87,23.39,29.15,1.05,15.63,42.35,5562.60,1724.11,1705.19,12.42,3.23,27.59,2.04,11.91,21.01,0.93,3.41,4.89,22.37,0.10,42.10,6.00
CARE Ratings,534804,CARERATING,Miscellaneous,510.75,1,0,13.25,451.00,1280.00,308.89,125.66,1504.73,0.00,27.92,40.37,73.30,11.97,27.82,3.56,51.40,782.96,1474.54,528.59,499.13,27.46,2.76,13.88,4.87,7.66,64.29,5.87,1.57,6.25,3.36,0.00,0.00,5.00
Castrol India,500870,CASTROLIND,Chemicals,135.35,1,0,20.04,112.75,172.90,3976.10,730.00,13387.77,0.00,71.48,110.90,83.68,18.34,35.62,2.45,27.97,1617.71,12643.92,1207.80,713.20,71.54,11.08,24.36,3.37,10.60,69.82,3.69,1.95,4.19,7.50,0.00,51.00,5.00
CEAT,500878,CEATLTD,Tyres,972.20,0,0,33.00,731.00,1373.00,6997.12,262.79,3932.56,0.54,12.33,15.45,17.22,13.20,14.14,28.09,9.02,4.78,5357.04,2766.11,2725.66,8.88,1.42,7.12,0.56,7.63,19.25,1.23,0.97,5.03,0.47,0.00,51.08,4.00
Central Dep. Ser,,CDSL,Finance & Investments,202.50,0,0,12.00,180.80,254.90,208.28,119.08,2116.13,0.00,17.72,23.79,36.27,17.77,25.49,0.96,50.88,,2060.63,668.14,563.64,17.08,3.17,24.77,10.16,12.49,36.82,1.98,1.17,14.43,18.42,0.00,24.00,6.00
Century Ply.,532548,CENTURYPLY,Miscellaneous,156.95,1,0,40.13,112.00,222.40,2300.28,161.53,3487.01,0.54,21.79,19.06,13.40,21.59,29.33,1.17,13.32,6.41,3983.31,969.12,946.87,12.87,3.60,15.44,1.52,12.72,14.01,0.64,3.20,12.01,18.53,0.00,72.75,6.00
Cera Sanitary.,532443,CERA,Ceramics - Tiles / Sanitaryware,2658.05,1,0,23.97,2144.05,3195.00,1330.25,113.62,3457.03,0.03,18.60,28.13,15.08,30.43,36.29,1.77,14.32,48.04,3464.84,700.15,693.65,17.02,4.94,30.19,2.60,16.73,14.69,0.49,1.57,15.31,17.17,0.00,54.75,7.00
Chambal Fert.,500085,CHAMBLFERT,Fertilizers,154.75,0,0,20.80,128.10,196.25,10758.84,625.80,6440.82,2.63,18.72,11.75,16.78,8.06,10.61,0.46,13.29,4.28,14923.91,3251.82,2835.61,6.19,1.99,-5.58,0.60,9.25,15.27,1.29,2.07,4.82,17.41,11.80,58.76,5.00
Chola Financial,504973,CHOLAHLDNG,Finance & Investments,483.30,0,0,16.68,414.20,550.00,10945.92,696.70,9072.21,12.79,17.53,14.04,2.72,13.02,15.89,0.73,52.98,1.60,55574.02,3943.30,3924.53,3.59,2.30,-0.99,0.83,9.58,3.37,0.26,1.04,4.44,17.93,0.08,48.42,4.00
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,293.55,0,0,41.40,207.60,322.45,7412.26,1215.14,22951.07,8.19,19.74,11.30,10.54,18.89,19.51,0.71,78.49,1.48,69842.96,6175.74,6019.31,2.49,3.72,-2.47,3.10,12.00,8.57,0.44,6.96,16.47,26.65,0.00,52.94,4.00
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,412.65,0,0,2.47,402.70,663.95,16412.44,1554.64,33262.79,0.29,9.15,9.38,16.31,21.40,34.85,107.00,19.96,12.44,36960.21,15012.31,14851.14,6.61,2.22,19.67,2.03,10.10,15.82,0.73,2.44,9.97,0.20,0.00,36.67,6.00
Coal India,533278,COALINDIA,Mining / Minerals / Metals,194.10,1,1,9.23,177.70,289.20,100415.08,18305.34,119618.56,0.08,44.83,65.50,108.29,6.53,18.91,2.21,25.82,155.72,90704.27,26453.92,20291.19,13.98,4.52,7.16,1.19,2.86,46.23,6.75,1.58,15.84,2.95,0.00,70.96,7.00
Coffee Day Enter,539436,COFFEEDAY,Hotels,45.65,0,0,0.00,45.65,318.00,4264.48,143.17,964.36,2.59,1.30,7.41,0.00,13.31,81.27,0.31,13.31,1.25,5844.72,2529.08,2317.83,0.29,0.38,1.81,0.23,6.77,0.00,0.00,1.01,7.94,42.75,75.70,53.93,6.00
Colgate-Palm.,500830,COLPAL,Personal Care - Multinational,1495.85,1,0,46.90,1018.30,1589.55,4505.99,755.17,40684.97,0.06,49.89,72.59,74.90,53.70,45.15,5.99,27.84,234.58,40368.76,1446.75,1419.55,48.60,28.12,41.39,9.03,31.10,80.66,1.54,0.94,4.51,8.96,0.00,51.00,8.00
Container Corpn.,531344,CONCOR,Miscellaneous,640.20,0,0,47.80,433.16,666.00,6952.57,1190.87,39007.02,0.07,11.29,15.23,40.54,32.76,26.42,7.65,25.79,140.23,39537.25,10367.87,10063.22,11.00,3.76,-19.61,5.61,18.62,42.86,1.34,3.11,7.36,4.28,0.00,54.80,5.00
Coromandel Inter,506395,COROMANDEL,Fertilizers,413.70,1,0,22.94,336.50,519.90,12826.85,692.70,12103.04,0.88,21.74,21.31,28.15,17.15,19.53,1.14,11.07,5.04,14898.19,3358.39,3329.14,11.42,3.60,23.00,0.94,10.21,26.39,1.57,2.05,5.64,15.07,0.01,61.72,4.00
Cox & Kings,533144,COX&KINGS,Travel Agencies,3.65,0,0,17.74,3.10,214.65,6189.14,1062.13,64.45,0.76,7.22,11.97,16.70,,28.98,,12.27,3.31,1369.17,3861.20,3772.92,2.57,0.02,-0.09,0.01,1.51,4.69,27.39,2.18,28.96,6.67,69.30,39.73,6.00
CRISIL,500092,CRISIL,Miscellaneous,1348.85,1,0,18.79,1135.45,1706.00,1724.04,347.25,9752.21,0.00,30.73,43.81,63.64,28.08,51.71,3.77,25.71,436.40,9548.27,1148.64,1141.41,30.07,8.49,25.76,5.66,18.34,59.57,2.22,1.84,9.50,7.44,0.00,67.45,6.00
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,246.50,,0,29.74,190.00,276.45,4621.86,419.56,15456.36,0.59,,,,36.84,40.65,,13.18,10.94,15962.57,1097.34,971.94,,14.09,51.70,3.34,23.99,31.24,0.81,1.37,,,48.85,34.37,6.00
Cummins India,500480,CUMMINSIND,Engines,563.25,1,1,1.59,554.45,885.00,5674.09,681.08,15613.29,0.07,18.27,23.11,58.91,22.92,31.74,5.94,14.11,55.45,15184.52,4130.45,4075.01,17.00,3.78,28.60,2.75,13.79,65.22,3.02,2.38,7.31,3.86,0.00,51.00,7.00
Dabur India,500096,DABUR,Personal Care - Indian,439.65,1,0,23.12,357.10,469.20,8725.66,1476.23,77688.96,0.12,26.79,29.15,48.67,50.46,41.04,4.72,20.76,32.04,78060.17,5631.76,5455.05,22.56,13.79,51.82,8.90,37.03,33.68,0.63,1.40,3.82,10.69,0.00,67.88,7.00
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega,396.15,1,0,44.05,275.00,638.50,7605.69,908.23,6294.63,0.46,24.98,25.20,18.04,6.93,8.16,0.23,18.16,10.91,7488.77,3532.99,3501.80,17.07,1.79,8.12,0.83,5.05,16.97,2.44,2.00,4.68,30.51,0.00,66.53,6.00
Delta Corp,532848,DELTACORP,Miscellaneous,164.65,0,0,41.88,116.05,277.75,797.96,197.83,4461.00,0.00,9.79,14.55,12.38,22.86,48.10,0.63,39.51,119.08,4387.41,1942.27,1915.18,8.59,2.30,43.99,5.59,12.66,8.95,0.39,2.60,7.39,36.50,6.08,32.77,6.00
Dewan Hsg. Fin.,511072,DHFL,Finance - Housing,31.00,0,0,0.00,31.00,333.70,12883.88,-1036.05,972.85,11.57,7.19,9.40,6.08,,8.41,,64.52,0.88,91679.75,8102.06,7788.24,0.73,0.12,-0.11,0.08,11.00,0.00,0.00,1.11,21.01,,0.00,39.21,2.00
Dish TV,532839,DISHTV,Entertainment / Electronic Media Software,16.30,0,0,13.99,14.30,59.50,5436.79,-1204.74,3001.30,0.50,4.09,7.91,-2.68,8.39,956.67,0.14,36.96,1.04,5588.86,5481.73,5297.60,2.83,0.55,2.75,0.55,2.73,-8.04,3.07,0.50,19.70,59.97,94.47,63.44,8.00
DLF,532868,DLF,Construction,144.20,0,0,8.79,132.55,209.65,8189.93,1561.17,35693.99,0.52,2.35,5.75,30.46,30.55,44.67,1.54,25.31,1.23,48061.08,32880.06,32385.00,1.28,1.18,17.47,4.36,17.19,33.46,1.24,2.15,0.16,19.80,0.00,74.95,7.00
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,1335.60,1,0,64.19,813.45,1475.00,1246.30,209.00,11131.11,0.00,24.23,37.00,21.06,53.26,49.05,2.71,25.17,72.50,10640.87,973.22,889.92,24.61,12.73,50.91,8.93,29.18,25.10,0.45,4.61,16.62,19.68,0.00,56.91,6.00
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,2689.35,0,0,43.59,1872.95,2965.20,15569.90,2150.50,44682.41,0.27,10.37,9.90,25.92,20.78,27.88,-14.84,20.07,27.62,48297.71,14077.20,13994.10,7.48,3.19,15.56,2.87,12.43,17.03,0.74,2.16,2.86,-1.40,0.00,26.76,9.00
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,17826.85,1,0,17.31,15196.95,25350.00,9631.23,2078.32,48648.98,0.02,31.25,46.59,15.70,23.41,43.36,0.55,27.93,295.31,45870.45,8918.73,8891.44,31.18,5.45,30.94,5.05,13.45,15.48,0.70,1.80,7.55,42.52,0.00,49.31,4.00
EID Parry,500125,EIDPARRY,Sugar,162.45,0,0,20.29,135.05,248.00,16329.21,320.89,2875.28,1.64,11.65,17.77,22.95,8.58,38.36,0.43,9.64,3.12,7718.60,3127.90,3110.20,3.92,0.92,-54.86,0.18,4.64,34.60,1.85,1.77,6.46,19.81,0.08,44.75,5.00
EIH,500840,EIHOTEL,Hotels,177.85,0,0,29.30,137.55,214.95,1497.91,96.04,10165.02,0.17,4.70,6.99,48.16,72.51,73.08,6.35,19.72,5.34,10635.77,2855.09,2740.78,4.10,3.56,45.96,6.79,27.68,45.39,0.51,0.75,4.50,11.42,0.00,35.25,8.00
