ticker	industry	bat	cmp	low_52w	high_52w	up_52w_low	mos	txn_gap	plan_oku	cur_oku	tbd_oku
BEL	INDUSTRIAL MANUFACTURING	130	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A19),"high52"))	=IFERROR(ROUND((D19-E19)*100/E19),"-")	=IFERROR(ROUND((C19-D19)*100/D19),"-")	8	10	3	7
BERGEPAINT	CONSUMER GOODS	362	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A20),"high52"))	=IFERROR(ROUND((D20-E20)*100/E20),"-")	=IFERROR(ROUND((C20-D20)*100/D20),"-")	11	10	3	7
BLUEDART	SERVICES	2500	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A21),"high52"))	=IFERROR(ROUND((D21-E21)*100/E21),"-")	=IFERROR(ROUND((C21-D21)*100/D21),"-")	6	10	10	0
BLUESTARCO	CONSUMER GOODS	873	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A22),"high52"))	=IFERROR(ROUND((D22-E22)*100/E22),"-")	=IFERROR(ROUND((C22-D22)*100/D22),"-")	13	10	2	8
BOSCHLTD	AUTOMOBILE	13190	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A23),"high52"))	=IFERROR(ROUND((D23-E23)*100/E23),"-")	=IFERROR(ROUND((C23-D23)*100/D23),"-")	9	0	19	-19
BRITANNIA	-	3446	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A24),"high52"))	=IFERROR(ROUND((D24-E24)*100/E24),"-")	=IFERROR(ROUND((C24-D24)*100/D24),"-")	21	20	9	11
CARBORUNIV	INDUSTRIAL MANUFACTURING	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A25),"high52"))	=IFERROR(ROUND((D25-E25)*100/E25),"-")	=IFERROR(ROUND((C25-D25)*100/D25),"-")	13	10	2	8
CASTROLIND	ENERGY	154	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A26),"high52"))	=IFERROR(ROUND((D26-E26)*100/E26),"-")	=IFERROR(ROUND((C26-D26)*100/D26),"-")	6	10	11	-1
COALINDIA	METALS	243	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A27),"high52"))	=IFERROR(ROUND((D27-E27)*100/E27),"-")	=IFERROR(ROUND((C27-D27)*100/D27),"-")	0	50	15	35
COCHINSHIP	INDUSTRIAL MANUFACTURING	440	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A28),"high52"))	=IFERROR(ROUND((D28-E28)*100/E28),"-")	=IFERROR(ROUND((C28-D28)*100/D28),"-")	-	-	0	-
COLPAL	CONSUMER GOODS	1430	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A29),"high52"))	=IFERROR(ROUND((D29-E29)*100/E29),"-")	=IFERROR(ROUND((C29-D29)*100/D29),"-")	21	10	2	8
CONCOR	SERVICES	642	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A30),"high52"))	=IFERROR(ROUND((D30-E30)*100/E30),"-")	=IFERROR(ROUND((C30-D30)*100/D30),"-")	10	10	3	7
CRISIL	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A31),"high52"))	=IFERROR(ROUND((D31-E31)*100/E31),"-")	=IFERROR(ROUND((C31-D31)*100/D31),"-")	6	20	11	9
CUMMINSIND	INDUSTRIAL MANUFACTURING	775	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A32),"high52"))	=IFERROR(ROUND((D32-E32)*100/E32),"-")	=IFERROR(ROUND((C32-D32)*100/D32),"-")	2	10	11	-1
CYIENT	IT	554	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A33),"high52"))	=IFERROR(ROUND((D33-E33)*100/E33),"-")	=IFERROR(ROUND((C33-D33)*100/D33),"-")	-	-	0	-
DABUR	CONSUMER GOODS	483	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A34),"high52"))	=IFERROR(ROUND((D34-E34)*100/E34),"-")	=IFERROR(ROUND((C34-D34)*100/D34),"-")	11	10	4	6
DCMSHRIRAM	CONSUMER GOODS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A35),"high52"))	=IFERROR(ROUND((D35-E35)*100/E35),"-")	=IFERROR(ROUND((C35-D35)*100/D35),"-")	14	5	1	4
DIVISLAB	PHARMA	1699	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A36),"high52"))	=IFERROR(ROUND((D36-E36)*100/E36),"-")	=IFERROR(ROUND((C36-D36)*100/D36),"-")	-	-	0	-
EICHERMOT	AUTOMOBILE	21988	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A37),"high52"))	=IFERROR(ROUND((D37-E37)*100/E37),"-")	=IFERROR(ROUND((C37-D37)*100/D37),"-")	9	0	23	-23
ENDURANCE	AUTOMOBILE	1060	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A38),"high52"))	=IFERROR(ROUND((D38-E38)*100/E38),"-")	=IFERROR(ROUND((C38-D38)*100/D38),"-")	15	5	2	3
ENGINERSIN	CONSTRUCTION	130	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A39),"high52"))	=IFERROR(ROUND((D39-E39)*100/E39),"-")	=IFERROR(ROUND((C39-D39)*100/D39),"-")	0	10	10	0
ESSELPACK	-	122	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A40),"high52"))	=IFERROR(ROUND((D40-E40)*100/E40),"-")	=IFERROR(ROUND((C40-D40)*100/D40),"-")	14	5	2	3
EXIDEIND	AUTOMOBILE	247	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A41),"high52"))	=IFERROR(ROUND((D41-E41)*100/E41),"-")	=IFERROR(ROUND((C41-D41)*100/D41),"-")	2	10	10	0
FINCABLES	INDUSTRIAL MANUFACTURING	400	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A42),"high52"))	=IFERROR(ROUND((D42-E42)*100/E42),"-")	=IFERROR(ROUND((C42-D42)*100/D42),"-")	0	-	4	-4
FINPIPE	INDUSTRIAL MANUFACTURING	605	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A43),"high52"))	=IFERROR(ROUND((D43-E43)*100/E43),"-")	=IFERROR(ROUND((C43-D43)*100/D43),"-")	-	-	0	-
GAIL	ENERGY	157	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A44),"high52"))	=IFERROR(ROUND((D44-E44)*100/E44),"-")	=IFERROR(ROUND((C44-D44)*100/D44),"-")	2	20	11	9
GALAXYSURF	-	1834	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A45),"high52"))	=IFERROR(ROUND((D45-E45)*100/E45),"-")	=IFERROR(ROUND((C45-D45)*100/D45),"-")	-	-	0	-
GEPIL	INDUSTRIAL MANUFACTURING	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A46),"high52"))	=IFERROR(ROUND((D46-E46)*100/E46),"-")	=IFERROR(ROUND((C46-D46)*100/D46),"-")	-	-	0	-
GILLETTE	CONSUMER GOODS	7750	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A47),"high52"))	=IFERROR(ROUND((D47-E47)*100/E47),"-")	=IFERROR(ROUND((C47-D47)*100/D47),"-")	0	10	12	-2
GLAXO	PHARMA	1590	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A48),"high52"))	=IFERROR(ROUND((D48-E48)*100/E48),"-")	=IFERROR(ROUND((C48-D48)*100/D48),"-")	15	5	3	2
GNFC	CHEMICALS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A49),"high52"))	=IFERROR(ROUND((D49-E49)*100/E49),"-")	=IFERROR(ROUND((C49-D49)*100/D49),"-")	-	-	0	-
GODFRYPHLP	CONSUMER GOODS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A50),"high52"))	=IFERROR(ROUND((D50-E50)*100/E50),"-")	=IFERROR(ROUND((C50-D50)*100/D50),"-")	18	5	1	4
GODREJAGRO	CONSUMER GOODS	570	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A51),"high52"))	=IFERROR(ROUND((D51-E51)*100/E51),"-")	=IFERROR(ROUND((C51-D51)*100/D51),"-")	13	10	2	8
GODREJCP	CONSUMER GOODS	741	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A52),"high52"))	=IFERROR(ROUND((D52-E52)*100/E52),"-")	=IFERROR(ROUND((C52-D52)*100/D52),"-")	15	20	2	18
GPPL	SERVICES	90	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A53),"high52"))	=IFERROR(ROUND((D53-E53)*100/E53),"-")	=IFERROR(ROUND((C53-D53)*100/D53),"-")	-	-	0	-
GRAPHITE	INDUSTRIAL MANUFACTURING	519	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A54),"high52"))	=IFERROR(ROUND((D54-E54)*100/E54),"-")	=IFERROR(ROUND((C54-D54)*100/D54),"-")	-	-	0	-
GRINDWELL	-	635	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A55),"high52"))	=IFERROR(ROUND((D55-E55)*100/E55),"-")	=IFERROR(ROUND((C55-D55)*100/D55),"-")	13	10	2	8
GRUH	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A56),"high52"))	=IFERROR(ROUND((D56-E56)*100/E56),"-")	=IFERROR(ROUND((C56-D56)*100/D56),"-")	-	-	0	-
GSKCONS	CONSUMER GOODS	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A57),"high52"))	=IFERROR(ROUND((D57-E57)*100/E57),"-")	=IFERROR(ROUND((C57-D57)*100/D57),"-")	27	10	5	5
GSPL	ENERGY	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A58),"high52"))	=IFERROR(ROUND((D58-E58)*100/E58),"-")	=IFERROR(ROUND((C58-D58)*100/D58),"-")	-	-	0	-
GULFOILLUB	ENERGY	997	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A59),"high52"))	=IFERROR(ROUND((D59-E59)*100/E59),"-")	=IFERROR(ROUND((C59-D59)*100/D59),"-")	-	-	0	-
HAL	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A60),"high52"))	=IFERROR(ROUND((D60-E60)*100/E60),"-")	=IFERROR(ROUND((C60-D60)*100/D60),"-")	15	5	1	4
HAVELLS	CONSUMER GOODS	700	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A61),"high52"))	=IFERROR(ROUND((D61-E61)*100/E61),"-")	=IFERROR(ROUND((C61-D61)*100/D61),"-")	1	20	11	9
HCLTECH	IT	1202	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A62),"high52"))	=IFERROR(ROUND((D62-E62)*100/E62),"-")	=IFERROR(ROUND((C62-D62)*100/D62),"-")	0	15	6	9
HDFC	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A63),"high52"))	=IFERROR(ROUND((D63-E63)*100/E63),"-")	=IFERROR(ROUND((C63-D63)*100/D63),"-")	2	30	21	9
HDFCAMC	-	2655	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A64),"high52"))	=IFERROR(ROUND((D64-E64)*100/E64),"-")	=IFERROR(ROUND((C64-D64)*100/D64),"-")	17	5	14	-9
HDFCBANK	FINANCIAL SERVICES	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A65),"high52"))	=IFERROR(ROUND((D65-E65)*100/E65),"-")	=IFERROR(ROUND((C65-D65)*100/D65),"-")	-	5	0	5
HDFCLIFE	-	-	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A66),"high52"))	=IFERROR(ROUND((D66-E66)*100/E66),"-")	=IFERROR(ROUND((C66-D66)*100/D66),"-")	12	10	2	8
HEG	INDUSTRIAL MANUFACTURING	900	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A67),"high52"))	=IFERROR(ROUND((D67-E67)*100/E67),"-")	=IFERROR(ROUND((C67-D67)*100/D67),"-")	-	-	0	-
HEIDELBERG	CEMENT & CEMENT PRODUCTS	224	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A68),"high52"))	=IFERROR(ROUND((D68-E68)*100/E68),"-")	=IFERROR(ROUND((C68-D68)*100/D68),"-")	14	5	1	4
HEROMOTOCO	AUTOMOBILE	2906	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A69),"high52"))	=IFERROR(ROUND((D69-E69)*100/E69),"-")	=IFERROR(ROUND((C69-D69)*100/D69),"-")	2	20	21	-1
