sr_no,name,isin,bse_symbol,nse_symbol,avg_mcap,captype
31,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,DMART,87494,Large Cap
32,BAJAJ AUTO LTD.,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO,83342,Large Cap
33,MAHINDRA & MAHINDRA LTD.,INE101A01026,M&M,M&M,82795,Large Cap
34,BHARAT PETROLEUM CORPORATION L,INE029A01011,BPCL,BPCL,79498,Large Cap
35,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,HDFCLIFE,HDFCLIFE,79407,Large Cap
36,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,ADANIPORTS,ADANIPORTS,78098,Large Cap
37,GAIL (INDIA) LTD.,INE129A01019,GAIL,GAIL,76099,Large Cap
38,TECH MAHINDRA LTD.,INE669C01036,TECHM,TECHM,75279,Large Cap
39,DABUR INDIA LTD.,INE016A01026,DABUR,DABUR,72898,Large Cap
40,BRITANNIA INDUSTRIES LTD.,INE216A01030,BRITANNIA,BRITANNIA,71867,Large Cap
41,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,GODREJCP,GODREJCP,71031,Large Cap
42,JSW STEEL LTD.,INE019A01038,JSWSTEEL,JSWSTEEL,68162,Large Cap
43,VEDANTA LIMITED,INE205A01025,VEDL,VEDL,64741,Large Cap
44,SHREE CEMENT LTD.,INE070A01015,SHREECEM,SHREECEM,63840,Large Cap
45,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,SBILIFE,62815,Large Cap
46,BANDHAN BANK LIMITED,INE545U01014,BANDHANBNK,BANDHANBNK,61887,Large Cap
47,PIDILITE INDUSTRIES LTD.,INE318A01026,PIDILITIND,PIDILITIND,60189,Large Cap
48,TATA MOTORS LTD.,INE155A01022,TATAMOTORS,TATAMOTORS,57049,Large Cap
49,TATA STEEL LTD.,INE081A01012,TATASTEEL,TATASTEEL,56791,Large Cap
50,EICHER MOTORS LTD.,INE066A01013,EICHERMOT,EICHERMOT,55972,Large Cap
51,GRASIM INDUSTRIES LTD.,INE047A01021,GRASIM,GRASIM,54621,Large Cap
52,BOSCH LTD.,INE323A01026,BOSCHLTD,BOSCHLTD,54100,Large Cap
53,HERO MOTOCORP LTD.,INE158A01026,HEROMOTOCO,HEROMOTOCO,54044,Large Cap
54,BHARTI INFRATEL LTD.,INE121J01017,INFRATEL,INFRATEL,53783,Large Cap
55,INTERGLOBE AVIATION LIMITED,INE646L01027,INDIGO,INDIGO,52610,Large Cap
56,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,INE726G01019,ICICIPRULI,ICICIPRULI,49413,Large Cap
57,MARICO LTD.,INE196A01026,MARICO,MARICO,46444,Large Cap
58,HAVELLS INDIA LTD.,INE176B01034,HAVELLS,HAVELLS,46112,Large Cap
59,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,INE765G01017,ICICIGI,ICICIGI,45798,Large Cap
60,UPL LIMITED,INE628A01036,UPL,UPL,45601,Large Cap
61,HINDALCO INDUSTRIES LTD.,INE038A01020,HINDALCO,HINDALCO,45397,Large Cap
62,YES BANK LTD.,INE528G01027,YESBANK,YESBANK,45077,Large Cap
63,MOTHERSON SUMI SYSTEMS LTD.,INE775A01035,MOTHERSUMI,MOTHERSUMI,44775,Large Cap
64,DR.REDDYS LABORATORIES LTD.,INE089A01023,DRREDDY,DRREDDY,44660,Large Cap
65,CIPLA LTD.,INE059A01026,CIPLA,CIPLA,43524,Large Cap
66,AMBUJA CEMENTS LTD.,INE079A01024,AMBUJACEM,AMBUJACEM,43501,Large Cap
67,PIRAMAL ENTERPRISES LTD.,INE140A01024,PEL,PEL,43276,Large Cap
68,DIVIS LABORATORIES LTD.,INE361B01024,DIVISLAB,DIVISLAB,42947,Large Cap
69,AUROBINDO PHARMA LTD.,INE406A01037,AUROPHARMA,AUROPHARMA,42921,Large Cap
70,GENERAL INSURANCE CORPORATION OF INDIA,INE481Y01014,GICRE,GICRE,41711,Large Cap
71,UNITED SPIRITS LTD.,INE854D01024,UNITDSPR,MCDOWELL-N,40316,Large Cap
72,HINDUSTAN PETROLEUM CORPORATIO,INE094A01015,HINDPETRO,HINDPETRO,40308,Large Cap
73,SIEMENS LTD.,INE003A01024,SIEMENS,SIEMENS,39595,Large Cap
74,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,ZEEL,ZEEL,38856,Large Cap
75,UNITED BREWERIES LTD.,INE686F01025,UBL,UBL,36577,Large Cap
76,BAJAJ HOLDINGS & INVESTMENT LT,INE118A01012,BAJAJHLDNG,BAJAJHLDNG,36110,Large Cap
77,LUPIN LTD.,INE326A01037,LUPIN,LUPIN,35978,Large Cap
78,BIOCON LTD.,INE376G01013,BIOCON,BIOCON,35643,Large Cap
79,BANK OF BARODA,INE028A01039,BANKBARODA,BANKBARODA,35432,Large Cap
80,DLF LTD.,INE271C01023,DLF,DLF,35019,Large Cap
81,VODAFONE IDEA  LIMITED,INE669E01016,IDEA,IDEA,34836,Large Cap
82,PETRONET LNG LTD.,INE347G01014,PETRONET,PETRONET,34831,Large Cap
83,PROCTER & GAMBLE HYGIENE & HEA,INE179A01014,PGHH,PGHH,33817,Large Cap
84,PUNJAB NATIONAL BANK,INE160A01022,PNB,PNB,33444,Large Cap
85,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,COLPAL,COLPAL,33405,Large Cap
86,HDFC ASSET MANAGEMENT COMPANY LIMITED,INE127D01025,HDFCAMC,HDFCAMC,33352,Large Cap
87,IDBI BANK LTD.,INE008A01015,IDBI,IDBI,31636,Large Cap
88,CADILA HEALTHCARE LTD.,INE010B01027,CADILAHC,CADILAHC,31495,Large Cap
89,NMDC LTD.,INE584A01023,NMDC,NMDC,31485,Large Cap
90,CONTAINER CORPORATION OF INDIA,INE111A01025,CONCOR,CONCOR,31389,Large Cap
91,INDIABULLS HOUSING FINANCE LTD,INE148I01020,IBULHSGFIN,IBULHSGFIN,31172,Large Cap
92,GLAXOSMITHKLINE CONSUMER HEALT,INE264A01014,GSKCONS,GSKCONS,30781,Large Cap
93,BERGER PAINTS INDIA LTD.,INE463A01038,BERGEPAINT,BERGEPAINT,30580,Large Cap
94,POWER FINANCE CORPORATION LTD.,INE134E01011,PFC,PFC,30231,Large Cap
95,ORACLE FINANCIAL SERVICES SOFT,INE881D01027,OFSS,OFSS,29982,Large Cap
96,LARSEN & TOUBRO INFOTECH LIMITED,INE214T01019,LTI,LTI,29945,Large Cap
97,TORRENT PHARMACEUTICALS LTD.,INE685A01028,TORNTPHARM,TORNTPHARM,29565,Large Cap
98,ABB INDIA LIMITED,INE117A01022,ABB,ABB,29154,Large Cap
99,THE NEW INDIA ASSURANCE COMPANY LIMITED,INE470Y01017,NIACL,NIACL,29004,Large Cap
100,ACC LTD.,INE012A01025,ACC,ACC,28919,Large Cap
101,REC LIMITED,INE020B01018,RECLTD,RECLTD,27454,Mid Cap
102,RBL Bank Limited,INE976G01028,RBLBANK,RBLBANK,26670,Mid Cap
103,L&T FINANCE HOLDINGS LTD.,INE498L01015,L&TFH,L&TFH,26670,Mid Cap
104,ASHOK LEYLAND LTD.,INE208A01029,ASHOKLEY,ASHOKLEY,25970,Mid Cap
105,SHRIRAM TRANSPORT FINANCE CO.L,INE721A01013,SRTRANSFIN,SRTRANSFIN,25642,Mid Cap
106,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,M&MFIN,M&MFIN,25559,Mid Cap
107,3M INDIA LTD.,INE470A01017,3MINDIA,3MINDIA,25480,Mid Cap
108,LIC HOUSING FINANCE LTD.,INE115A01026,LICHSGFIN,LICHSGFIN,25357,Mid Cap
109,PAGE INDUSTRIES LTD.,INE761H01022,PAGEIND,PAGEIND,25164,Mid Cap
110,NHPC LTD.,INE848E01016,NHPC,NHPC,24803,Mid Cap
111,MRF LTD.,INE883A01011,MRF,MRF,24588,Mid Cap
112,KANSAI NEROLAC PAINTS LTD.,INE531A01024,KANSAINER,KANSAINER,24140,Mid Cap
113,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,BHEL,BHEL,24098,Mid Cap
114,Adani Transmission Limited,INE931S01010,ADANITRANS,ADANITRANS,23872,Mid Cap
115,Hindustan Aeronautics Limited,INE066F01012,HAL,HAL,23346,Mid Cap
116,TVS MOTOR COMPANY LTD.,INE494B01023,TVSMOTOR,TVSMOTOR,23264,Mid Cap
117,MUTHOOT FINANCE LTD.,INE414G01012,MUTHOOTFIN,MUTHOOTFIN,23054,Mid Cap
118,INFO EDGE (INDIA) LTD.,INE663F01024,NAUKRI,NAUKRI,22744,Mid Cap
119,BHARAT ELECTRONICS LTD.,INE263A01024,BEL,BEL,22663,Mid Cap
120,BHARAT FORGE LTD.,INE465A01025,BHARATFORG,BHARATFORG,22473,Mid Cap
121,BANK OF INDIA,INE084A01016,BANKINDIA,BANKINDIA,22471,Mid Cap
122,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,GLAXO,GLAXO,22457,Mid Cap
123,GILLETTE INDIA LTD.,INE322A01010,GILLETTE,GILLETTE,22338,Mid Cap
124,SUN TV NETWORK LTD.,INE424H01027,SUNTV,SUNTV,22332,Mid Cap
125,Future Retail Ltd.,INE752P01024,FRETAIL,FRETAIL,22211,Mid Cap
126,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,IDFCFIRSTB,21748,Mid Cap
127,Alkem Laboratories Limited,INE540L01014,ALKEM,ALKEM,21377,Mid Cap
128,STEEL AUTHORITY OF INDIA LTD.,INE114A01011,SAIL,SAIL,21218,Mid Cap
129,INDRAPRASTHA GAS LTD.,INE203G01027,IGL,IGL,21127,Mid Cap
130,CUMMINS INDIA LTD.,INE298A01020,CUMMINSIND,CUMMINSIND,20934,Mid Cap
131,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,CHOLAFIN,CHOLAFIN,20838,Mid Cap
132,Aditya Birla Capital Ltd,INE674K01013,ABCAPITAL,ABCAPITAL,20799,Mid Cap
133,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,HONAUT,HONAUT,20407,Mid Cap
134,GRUH FINANCE LTD.,INE580B01029,GRUH,GRUH,20158,Mid Cap
135,OIL INDIA LTD.,INE274J01014,OIL,OIL,20065,Mid Cap
136,CANARA BANK,INE476A01014,CANBK,CANBK,19517,Mid Cap
137,VOLTAS LTD.,INE226A01021,VOLTAS,VOLTAS,19204,Mid Cap
138,EXIDE INDUSTRIES LTD.,INE302A01020,EXIDEIND,EXIDEIND,18783,Mid Cap
139,TATA POWER CO.LTD.,INE245A01021,TATAPOWER,TATAPOWER,18775,Mid Cap
140,FEDERAL BANK LTD.,INE171A01029,FEDERALBNK,FEDERALBNK,18757,Mid Cap
141,RAJESH EXPORTS LTD.,INE343B01030,RAJESHEXPO,RAJESHEXPO,18713,Mid Cap
142,DALMIA BHARAT LIMITED,INE00R701025,DALBHARAT,DALBHARAT,18705,Mid Cap
143,GODREJ PROPERTIES LTD,INE484J01027,GODREJPROP,GODREJPROP,18557,Mid Cap
144,WHIRLPOOL OF INDIA LTD.,INE716A01013,WHIRLPOOL,WHIRLPOOL,18491,Mid Cap
145,OBEROI REALTY LTD.,INE093I01010,OBEROIRLTY,OBEROIRLTY,18405,Mid Cap
146,MPHASIS LTD.,INE356A01018,MPHASIS,MPHASIS,18302,Mid Cap
147,AU Small Finance Bank Limited,INE949L01017,AUBANK,AUBANK,18254,Mid Cap
148,ADANI POWER LTD.,INE814H01011,ADANIPOWER,ADANIPOWER,18116,Mid Cap
149,INDIAN HOTELS CO.LTD.,INE053A01029,INDHOTEL,INDHOTEL,17403,Mid Cap
150,EMAMI LTD.,INE548C01032,EMAMILTD,EMAMILTD,17383,Mid Cap
151,INDIABULLS VENTURES LTD.,INE274G01010,IBVENTURES,IBVENTURES,17347,Mid Cap
152,JUBILANT FOODWORKS LTD,INE797F01012,JUBLFOOD,JUBLFOOD,17258,Mid Cap
153,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,APOLLOHOSP,APOLLOHOSP,17239,Mid Cap
154,GLENMARK PHARMACEUTICALS LTD.,INE935A01035,GLENMARK,GLENMARK,17093,Mid Cap
155,L&T Technology Services Limite,INE010V01017,LTTS,LTTS,16984,Mid Cap
156,GODREJ INDUSTRIES LTD.,INE233A01035,GODREJIND,GODREJIND,16915,Mid Cap
157,BATA INDIA LTD.,INE176A01028,BATAINDIA,BATAINDIA,16881,Mid Cap
158,THE RAMCO CEMENTS LIMITED,INE331A01037,RAMCOCEM,RAMCOCEM,16768,Mid Cap
159,SUNDARAM FINANCE LTD.,INE660A01013,SUNDARMFIN,SUNDARMFIN,16684,Mid Cap
160,Endurance Technologies Limited,INE913H01037,ENDURANCE,ENDURANCE,16671,Mid Cap
161,BALKRISHNA INDUSTRIES LTD.,INE787D01026,BALKRISIND,BALKRISIND,16648,Mid Cap
162,Aditya Birla Fashion and Retai,INE647O01011,ABFRL,ABFRL,16456,Mid Cap
163,ABBOTT INDIA LTD.,INE358A01014,ABBOTINDIA,,16441,Mid Cap
164,AIA ENGINEERING LTD.,INE212H01026,AIAENG,AIAENG,16204,Mid Cap
165,EDELWEISS FINANCIAL SERVICES L,INE532F01054,EDELWEISS,EDELWEISS,15717,Mid Cap
166,TATA CHEMICALS LTD.,INE092A01019,TATACHEM,TATACHEM,15678,Mid Cap
167,Varun Beverages Limited,INE200M01013,VBL,VBL,15580,Mid Cap
168,TATA COMMUNICATIONS LTD.,INE151A01013,TATACOMM,TATACOMM,15514,Mid Cap
169,ADANI ENTERPRISES LTD.,INE423A01024,ADANIENT,ADANIENT,15425,Mid Cap
170,JINDAL STEEL & POWER LTD.,INE749A01030,JINDALSTEL,JINDALSTEL,15337,Mid Cap
171,MINDTREE LTD.,INE018I01017,MINDTREE,MINDTREE,15323,Mid Cap
172,CASTROL INDIA LTD.,INE172A01027,CASTROLIND,CASTROLIND,15215,Mid Cap
173,CITY UNION BANK LTD.,INE491A01021,CUB,CUB,14498,Mid Cap
174,PNB Housing Finance Limited,INE572E01012,PNBHOUSING,PNBHOUSING,14260,Mid Cap
175,ASTRAL POLY TECHNIK LTD.,INE006I01046,ASTRAL,ASTRAL,14201,Mid Cap
176,BAYER CROPSCIENCE LTD.,INE462A01022,BAYERCROP,,14128,Mid Cap
177,PFIZER LTD.,INE182A01018,PFIZER,PFIZER,14086,Mid Cap
178,Crompton Greaves Consumer Elec,INE299U01018,CROMPTON,CROMPTON,14076,Mid Cap
179,SRF LTD.,INE647A01010,SRF,SRF,14070,Mid Cap
180,Bharat Financial Inclusion Lim,INE180K01011,BHARATFIN,BHARATFIN,13780,Mid Cap
181,P.I.INDUSTRIES LTD.,INE603J01030,PIIND,PIIND,13713,Mid Cap
182,Adani Gas Limited,INE399L01023,ADANIGAS,ADANIGAS,13672,Mid Cap
183,SUPREME INDUSTRIES LTD.,INE195A01028,SUPREMEIND,SUPREMEIND,13628,Mid Cap
184,TATA GLOBAL BEVERAGES LIMITED,INE192A01025,TATAGLOBAL,TATAGLOBAL,13526,Mid Cap
185,SANOFI INDIA LTD,INE058A01010,SANOFI,SANOFI,13429,Mid Cap
186,AARTI INDUSTRIES LTD.,INE769A01020,AARTIIND,AARTIIND,13316,Mid Cap
187,COROMANDEL INTERNATIONAL LTD.,INE169A01031,COROMANDEL,COROMANDEL,12940,Mid Cap
188,THERMAX LTD.,INE152A01029,THERMAX,THERMAX,12237,Mid Cap
189,TRENT LTD.,INE849A01020,TRENT,TRENT,12135,Mid Cap
190,TORRENT POWER LTD.,INE813H01021,TORNTPOWER,TORNTPOWER,12102,Mid Cap
191,INDIAN BANK,INE562A01011,INDIANB,INDIANB,12063,Mid Cap
192,IIFL FINANCE LIMITED,INE530B01024,IIFL,IIFL,12042,Mid Cap
193,Syngene International Limited,INE398R01022,SYNGENE,SYNGENE,12007,Mid Cap
194,WABCO INDIA LTD.,INE342J01019,WABCOINDIA,WABCOINDIA,11918,Mid Cap
195,AMARA RAJA BATTERIES LTD.,INE885A01032,AMARAJABAT,AMARAJABAT,11887,Mid Cap
196,APOLLO TYRES LTD.,INE438A01022,APOLLOTYRE,APOLLOTYRE,11877,Mid Cap
197,MANGALORE REFINERY & PETROCHEM,INE103A01014,MRPL,MRPL,11791,Mid Cap
198,Reliance Nippon Life Asset Man,INE298J01013,RNAM,RNAM,11485,Mid Cap
199,Max Financial Services Limited,INE180A01020,MFSL,MFSL,11389,Mid Cap
200,JSW ENERGY LTD,INE121E01018,JSWENERGY,JSWENERGY,11301,Mid Cap
201,SUNDRAM FASTENERS LTD.,INE387A01021,SUNDRMFAST,SUNDRMFAST,11206,Mid Cap
202,IPCA LABORATORIES LTD.,INE571A01020,IPCALAB,IPCALAB,11090,Mid Cap
203,CRISIL LTD.,INE007A01025,CRISIL,CRISIL,10915,Mid Cap
204,NATCO PHARMA LTD.,INE987B01026,NATCOPHARM,NATCOPHARM,10801,Mid Cap
205,GUJARAT FLUOROCHEMICALS LTD.,INE538A01037,GUJFLUORO,GUJFLUORO,10771,Mid Cap
206,UNION BANK OF INDIA,INE692A01016,UNIONBANK,UNIONBANK,10770,Mid Cap
207,SHRIRAM CITY UNION FINANCE LTD,INE722A01011,SHRIRAMCIT,SHRIRAMCIT,10690,Mid Cap
208,HATSUN AGRO PRODUCT LTD.,INE473B01035,HATSUN,HATSUN,10673,Mid Cap
209,EIH LTD.,INE230A01023,EIHOTEL,EIHOTEL,10644,Mid Cap
210,ATUL LTD.,INE100A01010,ATUL,ATUL,10619,Mid Cap
211,NBCC (India) Limited,INE095N01031,NBCC,NBCC,10563,Mid Cap
212,JUBILANT LIFE SCIENCES LIMITED,INE700A01033,JUBILANT,JUBILANT,10559,Mid Cap
213,HEXAWARE TECHNOLOGIES LTD.,INE093A01033,HEXAWARE,HEXAWARE,10351,Mid Cap
214,CENTRAL BANK OF INDIA,INE483A01010,CENTRALBK,CENTRALBK,10306,Mid Cap
215,Gujarat Gas Limited,INE844O01030,GUJGAS,GUJGASLTD,10266,Mid Cap
216, CORPORATION BANK,INE112A01023,CORPBANK,CORPBANK,10245,Mid Cap
217,ALEMBIC PHARMACEUTICALS LTD.,INE901L01018,APLLTD,APLLTD,10243,Mid Cap
218,NATIONAL ALUMINIUM CO.LTD.,INE139A01034,NATIONALUM,NATIONALUM,10177,Mid Cap
219,ALLAHABAD BANK,INE428A01015,ALBK,ALBK,10175,Mid Cap
220,GUJARAT STATE PETRONET LTD.,INE246F01010,GSPL,GSPL,10083,Mid Cap
221,CENTURY TEXTILES & INDUSTRIES,INE055A01016,CENTURYTEX,CENTURYTEX,9981,Mid Cap
222,Quess Corp Limited,INE615P01015,QUESS,QUESS,9960,Mid Cap
223,FORTIS HEALTHCARE LTD.,INE061F01013,FORTIS,FORTIS,9932,Mid Cap
224,ORIENTAL BANK OF COMMERCE,INE141A01014,ORIENTBANK,ORIENTBANK,9909,Mid Cap
225,GMR INFRASTRUCTURE LTD.,INE776C01039,GMRINFRA,GMRINFRA,9874,Mid Cap
226,SKF INDIA LTD.,INE640A01023,SKFINDIA,SKFINDIA,9862,Mid Cap
227,MANAPPURAM FINANCE LTD.,INE522D01027,MANAPPURAM,MANAPPURAM,9855,Mid Cap
228,RELAXO FOOTWEARS LTD.,INE131B01039,RELAXO,RELAXO,9749,Mid Cap
229,SJVN LTD,INE002L01015,SJVN,SJVN,9710,Mid Cap
230,INDIAN OVERSEAS BANK,INE565A01014,IOB,IOB,9704,Mid Cap
231,MOTILAL OSWAL FINANCIAL SERVIC,INE338I01027,MOTILALOFS,MOTILALOFS,9703,Mid Cap
232,SOLAR INDUSTRIES INDIA LTD.,INE343H01029,SOLARINDS,SOLARINDS,9617,Mid Cap
233,Godrej Agrovet Limited,INE850D01014,GODREJAGRO,GODREJAGRO,9615,Mid Cap
234,THE PHOENIX MILLS LTD,INE211B01039,PHOENIXLTD,PHOENIXLTD,9459,Mid Cap
235,TTK PRESTIGE LTD.,INE690A01010,TTKPRESTIG,TTKPRESTIG,9447,Mid Cap
236,NLC India Limited,INE589A01014,NLCINDIA,NLCINDIA,9391,Mid Cap
237,UCO BANK,INE691A01018,UCOBANK,UCOBANK,9182,Mid Cap
238,Polycab India Limited,INE455K01017,POLYCAB,POLYCAB,9178,Mid Cap
239,V-GUARD INDUSTRIES LTD.,INE951I01027,VGUARD,VGUARD,9169,Mid Cap
240,GRAPHITE INDIA LTD.,INE371A01025,GRAPHITE,GRAPHITE,9130,Mid Cap
241,CESC LTD.,INE486A01013,CESC,CESC,9119,Mid Cap
242,KAJARIA CERAMICS LTD.,INE217B01036,KAJARIACER,KAJARIACER,9094,Mid Cap
243,AJANTA PHARMA LTD.,INE031B01049,AJANTPHARM,AJANTPHARM,9079,Mid Cap
244,Mahanagar Gas Limited,INE002S01010,MGL,MGL,9043,Mid Cap
245,CHOLAMANDALAM FINANCIAL HOLDIN,INE149A01033,CHOLAHLDNG,CHOLAHLDNG,9027,Mid Cap
246,PRESTIGE ESTATES PROJECTS LTD.,INE811K01011,PRESTIGE,PRESTIGE,9025,Mid Cap
247,VINATI ORGANICS LTD.,INE410B01029,VINATIORGA,VINATIORGA,8971,Mid Cap
248,AAVAS Financiers Limited,INE216P01012,AAVAS,AAVAS,8957,Mid Cap
249,SYMPHONY LIMITED,INE225D01027,SYMPHONY,SYMPHONY,8881,Mid Cap
250,STERLITE TECHNOLOGIES LTD.,INE089C01029,STRTECH,STRTECH,8857,Mid Cap
251,Schaeffler India Limited,INE513A01014,SCHAEFFLER,SCHAEFFLER,8800,Small Cap
252,MAHINDRA CIE AUTOMOTIVE LIMITE,INE536H01010,MAHINDCIE,MAHINDCIE,8788,Small Cap
253,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,FLFL,FLFL,8695,Small Cap
254,HEG LTD.,INE545A01016,HEG,HEG,8669,Small Cap
255,Dr. Lal Pathlabs Limited,INE600L01024,LALPATHLAB,LALPATHLAB,8668,Small Cap
256,MINDA INDUSTRIES LTD.,INE405E01023,MINDAIND,MINDAIND,8605,Small Cap
257,THOMAS COOK (INDIA) LTD.,INE332A01027,THOMASCOOK,THOMASCOOK,8516,Small Cap
258,KIOCL Limited,INE880L01014,KIOCL,KIOCL,8496,Small Cap
259,Housing &Urban Development Cor,INE031A01017,HUDCO,HUDCO,8431,Small Cap
260,BOMBAY BURMAH TRADING CORP.LTD,INE050A01025,BBTC,BBTC,8427,Small Cap
261,Eris Lifesciences Limited,INE406M01024,ERIS,ERIS,8419,Small Cap
262,ITI LTD.,INE248A01017,ITI,ITI,8415,Small Cap
263,ESCORTS LTD.,INE042A01014,ESCORTS,ESCORTS,8341,Small Cap
264,Future Consumer Limited,INE220J01025,FCONSUMER,FCONSUMER,8289,Small Cap
265,AKZO NOBEL INDIA LIMITED,INE133A01011,AKZOINDIA,AKZOINDIA,8181,Small Cap
266,NIIT TECHNOLOGIES LTD.,INE591G01017,NIITTECH,NIITTECH,7950,Small Cap
267,KRBL LTD.,INE001B01026,KRBL,KRBL,7880,Small Cap
268,Varroc Engineering Limited,INE665L01035,VARROC,VARROC,7870,Small Cap
269,PVR LTD.,INE191H01014,PVR,PVR,7675,Small Cap
270,SYNDICATE BANK,INE667A01018,SYNDIBANK,SYNDIBANK,7661,Small Cap
271,Aster DM Healthcare Limited,INE914M01019,ASTERDM,ASTERDM,7561,Small Cap
272,KEC INTERNATIONAL LTD.,INE389H01022,KEC,KEC,7341,Small Cap
273,BLUE DART EXPRESS LTD.,INE233B01017,BLUEDART,BLUEDART,7302,Small Cap
274,ENGINEERS INDIA LTD.,INE510A01028,ENGINERSIN,ENGINERSIN,7300,Small Cap
275,ICICI Securities Limited,INE763G01038,ISEC,ISEC,7190,Small Cap
276,JM FINANCIAL LTD.,INE780C01023,JMFINANCIL,JMFINANCIL,7166,Small Cap
277,GE T&D India Limited,INE200A01026,GET&D,GET&D,7015,Small Cap
278,DCM SHRIRAM LIMITED,INE499A01024,DCMSHRIRAM,DCMSHRIRAM,7002,Small Cap
279,Tube Investments of India Ltd,INE974X01010,TIINDIA,TIINDIA,6911,Small Cap
280,CARBORUNDUM UNIVERSAL LTD.,INE120A01034,CARBORUNIV,CARBORUNIV,6886,Small Cap
281,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,CHAMBLFERT,CHAMBLFERT,6866,Small Cap
282,AEGIS LOGISTICS LTD.,INE208C01025,AEGISLOG,AEGISCHEM,6806,Small Cap
283,Dilip Buildcon Limited,INE917M01012,DBL,DBL,6764,Small Cap
284,CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,CREDITACC,6757,Small Cap
285,CYIENT LIMITED,INE136B01020,CYIENT,CYIENT,6750,Small Cap
286,FINOLEX CABLES LTD.,INE235A01022,FINCABLES,FINCABLES,6744,Small Cap
287,KALPATARU POWER TRANSMISSION L,INE220B01022,KALPATPOWR,KALPATPOWR,6724,Small Cap
