comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
CHOLAMANDALAM INVEST,-,4,3,-,-,-,-,2,-,-,-,5,14
CIPLA,-,-,24,-,-,-,-,22,12,-,-,-,58
CMS,-,-,-,-,-,-,-,409,-,-,-,-,409
COAL,225,-,2670,-,-,-,-,-,-,-,-,-,2895
COCHIN SHIPYARD,-,-,-,-,-,-,-,-,-,225,-,-,225
COLPAL,-,-,-,19,-,150,-,-,-,-,44,4,217
CONTAINER,-,16,-,-,-,-,-,-,42,50,-,-,108
COROMANDEL,-,21,-,15,-,-,24,152,-,-,-,-,212
COX AND KINGS,-,-,-,-,-,-,-,-,-,4,-,-,4
COX&KINGS,-,-,-,-,-,-,-,-,-,-,8,-,8
CRISIL,-,-,-,32,66,-,-,102,91,-,69,-,360
CROMPTON,-,-,-,-,-,-,18,-,-,-,-,-,18
CROMPTON GREAVES,-,-,-,-,-,-,7,-,-,-,-,-,7
CUMMINS,-,119,43,-,-,-,-,-,198,-,-,-,360
DABUR,-,-,-,-,-,-,-,48,37,-,28,-,113
DCM SHRIRAM,-,75,-,-,-,-,-,4,-,-,24,-,103
DELTA,3,-,21,-,-,-,2,-,-,-,-,-,26
DISH TV,-,-,-,-,-,-,-,-,-,-,14,-,14
DLF,-,12,12,-,-,-,-,20,52,20,-,-,116
DRREDDY,-,-,-,-,-,-,-,130,-,-,-,-,130
EICHER MOTORS,-,-,125,-,-,-,-,235,-,-,-,-,360
EID PARRY,-,22,-,11,-,-,-,18,-,-,-,-,51
EIH,-,-,-,-,-,-,-,38,-,-,-,-,38
EMAMI,-,-,78,-,-,-,-,47,-,-,14,-,139
ENDURANCE TECHNOLOGI,-,-,-,-,-,-,-,5,-,-,-,-,5
ENGINERSIN,-,389,18,-,-,-,-,-,29,377,-,-,813
ENTERTAINMENT NETWOR,-,-,-,-,-,-,-,2,17,-,-,-,19
ESSEL PROPACK,-,-,-,-,-,-,17,28,-,-,17,-,62
EVEREADY INDUSTRIES,-,-,-,-,-,-,-,9,-,-,-,-,9
EXIDE INDUSTRIES,-,-,135,-,-,-,4,11,-,-,102,-,252
FINOLEX CABLES,-,-,-,-,-,-,-,-,-,55,-,-,55
FLFL,-,-,-,-,-,-,-,8,9,-,-,-,17
FUTURE SUPPLY CHAIN,-,-,-,-,-,-,-,4,-,-,-,-,4
GAIL,38,536,-,-,221,-,-,-,23,8,-,-,826
GENERAL INSURANCE,-,-,-,-,-,-,-,-,81,-,-,-,81
GILLETTE,-,-,19,-,-,-,-,-,-,-,10,48,77
GLAXO,-,-,-,-,-,-,120,-,-,-,-,-,120
GLENMARK,-,-,-,-,-,-,-,-,-,45,-,-,45
GODFREY PHILLIPS IND,-,-,48,-,-,-,-,-,20,16,-,-,84
GODREJ AGROVET,-,-,-,-,-,-,-,104,-,-,-,-,104
GODREJ CONSUMER PROD,-,13,-,-,13,-,-,10,-,-,13,-,49
GODREJ INDUSTRIES,-,-,-,-,-,-,-,7,-,-,-,-,7
GOODYEAR,-,-,-,-,-,-,-,91,-,-,-,-,91
GRASIM INDUSTRIES,-,-,-,-,-,-,-,14,22,-,-,-,36
GREENLAM INDUSTRIES,-,-,8,-,-,-,-,7,5,-,-,-,20
GREENPLY INDUSTRIES,-,-,-,-,-,-,-,3,-,20,-,-,23
GRINDWELL,-,-,-,-,-,-,127,-,-,-,-,-,127
GSKCONS,-,-,-,-,-,-,-,180,-,-,-,-,180
HAL,-,-,698,19,-,-,-,-,-,-,-,-,717
HAT,-,4,4,-,4,-,4,16,-,-,-,-,32
HAVELLS,-,-,68,-,-,-,42,-,-,-,-,-,110
HCL TECHNOLOGIES,-,84,-,-,26,36,-,68,-,28,52,-,294
HDFC,-,-,77,-,-,-,552,157,-,310,-,-,1096
HDFC BANK,-,-,-,-,-,-,831,95,-,-,-,-,926
HDFCAMC,-,-,156,-,-,-,520,-,-,-,-,-,676
HDFCLIFE,-,-,9,-,-,-,-,-,-,-,-,4,13
HEIDELBERG,-,-,-,-,-,-,-,-,222,-,8,12,242
HERO MOTOCORP,-,620,-,-,-,-,110,421,-,-,-,-,1151
HINDALCO INDUSTRIES,-,-,-,-,-,-,-,-,75,-,-,-,75
HINDUNILVR,-,-,-,-,799,-,543,181,-,-,220,-,1743
HINDUSTAN PETROLEUM,-,78,87,-,-,-,-,112,621,-,-,-,898
HINDUSTAN ZINC,-,-,-,48,1683,-,-,-,-,-,2182,-,3913
HONEYWELL,-,-,-,-,-,-,-,77,75,-,-,-,152
HSIL,-,-,-,-,-,-,-,12,42,-,-,-,54
HUDCO,-,-,126,-,-,-,-,-,-,4,-,-,130
IBULHSGFIN,-,34,-,-,30,-,-,26,-,10,23,-,123
ICICI BANK,-,-,-,-,-,25,50,19,24,-,-,-,118
ICICI LOMBARD,-,-,-,-,-,14,10,-,-,-,26,-,50
ICICI SECURITIES,-,-,-,-,-,-,-,82,15,-,31,-,128
ICICIPRULI,-,-,-,-,-,-,19,24,-,-,36,-,79
ICRA,-,-,-,-,-,-,-,57,-,171,-,-,228
IIFL,-,10,-,-,-,-,-,-,-,-,-,-,10
IIFLSEC,-,4,-,-,-,-,-,-,-,-,-,-,4
IIFLWAM,317,-,-,-,-,-,-,-,-,-,-,-,317
INDHOTEL,-,-,-,-,-,32,22,73,-,-,-,-,127
INDIAN OIL,-,114,863,-,-,-,-,-,47,-,-,81,1105
INDRAPRASTHA GAS,-,-,-,-,-,-,-,-,-,28,-,-,28
INDUSIND BANK,-,-,-,-,-,-,-,7,-,-,-,-,7
INFY,96,-,-,-,-,806,522,-,-,546,143,-,2113
INTERGLOBE AVIATION,-,-,-,-,-,-,-,27,34,-,-,-,61
ITC,-,-,-,-,-,-,817,125,1898,-,-,-,2840
ITDC,-,-,-,-,-,-,-,-,-,2,-,-,2
JAIN IRRIGATION SYST,-,-,-,-,-,-,-,-,-,10,-,-,10
JCHAC,-,-,-,-,-,-,-,2,-,-,-,-,2
JK TYRE AND INDUSTRI,-,-,-,-,-,-,-,77,-,-,-,-,77
JSW STEEL,-,-,-,-,-,-,162,-,-,-,-,-,162
JUBLFOOD,-,-,24,-,-,-,-,-,22,10,-,-,56
KAJARIA CERAMICS,-,54,-,-,-,-,-,6,24,-,-,-,84
KANSAINER,-,-,-,-,-,77,-,-,-,-,-,-,77
KAVERI SEED COMPANY,-,-,-,-,-,-,-,-,12,-,-,6,18
KOTAK MAHINDRA BANK,-,-,-,-,-,-,3,-,-,-,-,-,3
KRBL,-,-,14,-,-,-,-,11,12,-,-,-,37
KSB,-,-,-,-,36,-,-,-,-,24,-,-,60
L&TFH,-,-,50,-,-,-,-,12,-,-,-,-,62
LA OPALA RG,-,-,14,-,-,-,-,-,-,-,-,-,14
LALPATHLAB,-,-,12,-,-,-,-,13,-,-,17,1,43
LICHSGFIN,-,-,-,-,-,-,-,70,-,400,-,-,470
LT,-,-,280,-,-,-,-,600,-,-,-,-,880
LTI,-,-,-,-,-,-,78,14,-,-,26,-,118
LTTS,-,-,-,-,-,-,67,12,-,-,14,-,93
LUPIN,-,-,-,-,-,-,-,152,-,-,-,-,152
M&M,-,-,-,-,-,-,44,183,-,-,-,-,227
MAHINDRA LOGISTICS,-,-,-,-,-,-,-,21,-,-,-,-,21
MANAPPURAM,-,9,14,-,-,14,-,-,14,-,-,14,65
MARICO,-,98,69,-,-,-,-,-,-,-,49,-,216
MARUTI SUZUKI ,-,-,-,-,-,-,-,560,75,-,-,-,635
MCX,-,-,-,-,-,-,-,-,67,-,-,-,67
MHRIL,-,-,-,-,-,-,-,24,-,-,-,-,24
MINDTREE,-,-,-,-,-,-,100,-,-,-,-,-,100
MONSANTO,-,-,-,-,-,-,50,45,-,-,50,15,160
MOTHERSUMI,-,-,22,-,-,-,-,43,153,-,-,-,218
MRF,-,3,-,-,-,-,-,108,-,-,6,-,117
MUTHOOTFIN,-,40,90,72,-,-,-,-,-,-,-,-,202
NARAYANA HRUDAYALAYA,-,-,12,-,-,-,-,12,-,-,-,-,24
NATIONALUM,-,160,528,-,-,-,-,-,34,60,-,-,782
NAUKRI,-,17,-,-,-,-,5,6,-,-,19,-,47
NBCC,-,-,2,-,-,-,-,-,-,40,-,-,42
NCC,-,-,-,-,-,-,-,21,35,4,-,-,60
NESTLE,-,-,-,-,48,43,61,238,-,-,-,138,528
NHPC,-,-,195,-,-,-,-,-,-,256,-,-,451
NIACL,-,-,-,-,-,-,-,10,13,-,-,7,30
NILKAMAL,-,-,70,-,-,-,27,7,-,-,47,-,151
NIPPON LIFE AS,-,-,-,-,-,-,20,-,-,-,-,-,20
NLC,-,-,327,-,-,-,-,3,-,-,-,-,330
NMDC,-,-,148,228,-,-,-,-,-,10,-,-,386
NOVARTIS,-,-,-,-,-,-,-,30,-,-,-,-,30
NTPC,-,330,170,-,105,-,-,-,251,664,-,-,1520
OIL,-,188,85,-,-,113,-,17,-,237,-,-,640
ONGC,-,20,1189,32,-,-,-,-,44,49,84,-,1418
PAGE INDUSTRIES,-,93,-,-,-,76,-,117,-,-,203,-,489
PAPERPROD,-,-,-,-,9,-,9,-,-,-,-,-,18
PC JEWELLER,-,-,-,-,-,-,-,-,-,7,-,-,7
PETRONET LNG,-,-,-,-,-,-,-,-,551,13,126,-,690
PFIZER,-,-,-,-,640,-,-,45,40,-,-,-,725
PGHH,-,-,40,-,-,-,-,-,-,-,27,88,155
PI INDUSTRIES,-,-,6,-,-,-,-,2,3,4,2,-,17
PIDILITIND,-,-,21,-,-,-,-,19,27,-,-,-,67
PIRAMAL ENTERPRISES,-,-,-,-,-,-,50,217,-,-,-,-,267
POWER FINANCE,-,-,286,-,-,-,-,-,-,-,102,-,388
POWERGRID,-,71,919,-,-,-,-,-,168,565,-,-,1723
PRAXIS,-,-,-,31,-,-,-,-,-,-,-,-,31
PRESTIGE,-,-,13,-,-,-,-,-,10,17,-,-,40
PURVA,-,-,-,-,-,-,-,-,36,59,-,-,95
PVR,-,-,12,-,-,-,6,2,-,4,-,-,24
QUESS,302,-,-,-,-,-,-,-,-,-,-,-,302
RAJESHEXPO,-,-,-,-,-,-,-,-,-,11,-,-,11
RALLIS,-,-,-,-,-,18,109,-,-,-,-,-,127
RECLTD,-,473,220,-,-,-,-,-,-,37,-,-,730
RELAXO FOOTWEARS,-,-,12,-,-,-,-,-,17,-,-,-,29
RELIANCE INDUSTRIES,-,-,-,-,-,-,303,104,-,-,-,-,407
SANOFI,-,-,-,-,119,-,349,18,-,-,-,-,486
SBILIFE,-,-,-,12,-,-,-,-,-,-,-,-,12
SCHAEFFLER,-,-,-,-,30,-,70,-,-,-,-,-,100
SHOPPERS STOP,-,-,-,-,-,-,6,-,-,-,-,-,6
SHREE CEMENT,-,110,-,-,-,-,-,35,-,-,-,-,145
SIEMENS,-,56,-,-,-,-,-,-,-,-,-,-,56
SIS,-,-,4,-,-,-,3,-,-,-,-,-,7
SKF,-,-,-,-,-,-,48,660,-,-,-,-,708
SOBHA,-,-,-,-,-,-,-,91,-,-,-,-,91
SOLAR INDUSTRIES IND,-,-,-,-,-,-,-,-,12,-,-,-,12
SOMANY CERAMICS,-,-,-,-,-,-,-,8,2,-,-,-,10
SOMANY HOME INNOVATI,-,-,-,-,-,-,-,-,0,-,-,-,0
SRTRANSFIN,-,-,-,-,-,-,14,6,-,-,20,-,40
STATE BANK ,-,-,-,-,-,26,-,-,-,-,-,-,26
STERLITE TECHNOLOGIE,-,-,-,-,-,-,-,-,245,-,-,-,245
SUMITOMO CHEMICAL IN,-,-,-,-,-,-,-,-,13,-,-,-,13
SUNDARMFIN,-,5,21,-,-,-,16,-,-,-,-,-,42
SUNPHARMA,-,87,-,-,-,-,-,46,100,30,-,-,263
SUPREME INDUSTRIES,-,-,20,-,-,-,48,-,-,-,19,-,87
SYMPHONY,-,100,-,-,-,-,-,-,-,-,-,-,100
TALWALKARS,-,-,-,-,-,-,-,-,-,10,-,-,10
TALWGYM,-,-,-,-,-,-,-,-,-,11,-,-,11
TATA POWER,-,-,-,-,-,-,-,16,-,-,-,-,16
TATACHEM,-,-,-,-,-,-,402,22,-,-,-,-,424
TATACOFFEE,-,-,-,-,-,39,210,-,-,-,-,-,249
TATACONSUM,-,-,-,-,202,42,113,16,-,-,-,-,373
TATAELXSI,-,-,-,-,-,-,29,-,-,-,-,-,29
TATAINVEST,-,-,-,-,-,-,-,40,-,-,-,-,40
TATAMOTORS,-,-,-,-,-,-,-,1,-,-,-,-,1
TATAPOWER,-,-,-,-,-,32,32,348,-,-,-,-,412
TATASTEEL,-,-,-,-,-,-,322,490,-,-,-,-,812
TCS,209,39,264,-,-,917,259,62,-,829,339,-,2918
TECH MAHINDRA,-,-,70,-,-,-,-,282,-,-,-,-,352
THE ANUP ENGINEERING,-,-,-,-,-,-,-,-,-,88,-,-,88
THOMASCOOK,-,-,-,-,-,-,-,6,-,3,-,-,9
THYROCARE TECHNOLOGI,-,-,-,-,-,-,-,-,40,-,10,-,50
TIINDIA,-,17,35,-,-,-,7,3,-,-,4,-,66
TITAN,-,-,-,-,-,-,-,102,-,-,-,-,102
TRENT,-,-,-,-,-,-,-,34,-,-,-,-,34
TTK PRESTIGE,-,-,-,-,-,-,1383,112,-,-,-,-,1495
TUBE INVESTMENTS,-,2,-,-,-,-,-,-,-,-,-,-,2
TVS MOTOR COMPANY,-,-,13,-,-,-,-,-,-,-,21,-,34
TVSSRICHAK,-,-,60,-,-,-,-,-,40,-,-,-,100
UBL,-,-,-,-,-,-,-,-,29,5,-,-,34
UFLEX,-,-,-,-,-,-,-,24,16,-,-,-,40
ULTRATECH CEMENT,-,-,-,-,-,-,107,65,-,-,-,-,172
UPL,-,-,-,-,-,-,49,327,176,-,-,-,552
V GUARD INDUSTRIES,-,-,-,-,-,-,7,-,-,-,-,-,7
VARUN BEVERAGES,-,-,-,-,-,-,-,22,-,-,-,-,22
VEDANTA,-,-,685,354,-,-,-,-,-,-,340,-,1379
VENKEYS,-,-,-,-,-,-,-,-,-,24,-,-,24
VGUARD INDUSTRIES,-,-,44,-,-,-,-,2,-,-,-,-,46
VIP INDUSTRIES,-,57,-,-,-,-,18,31,-,-,-,-,106
VOLTAS,-,-,-,-,-,-,-,80,7,-,-,-,87
VRLLOG,-,30,-,-,-,-,-,20,-,-,61,-,111
VSTIND,-,-,-,-,-,-,-,412,95,77,-,-,584
VSTTILLERS,-,-,75,-,-,-,-,95,-,-,-,-,170
WABCO,-,-,-,-,-,-,-,9,-,-,-,-,9
WHIRLPOOL,-,-,-,-,-,-,-,20,11,-,-,-,31
WIPRO,-,98,87,-,-,-,4,-,-,-,-,-,189
WONDERLA,-,-,37,-,-,-,-,41,-,-,-,-,78
ZEEL,-,-,-,-,-,-,107,-,10,-,-,-,117
ZEELEARN,-,-,-,-,-,-,-,-,-,39,-,-,39
ZYDUS WELLNESS,-,-,5,-,-,-,-,5,-,-,-,-,10
Total,1197,4804,13203,922,4603,2677,10215,12184,7462,6380,5049,1713,-
