amfi_rank, amfi_ticker, amfi_cname, plan_sku, cur_sku, tbd_sku
156, GODREJIND, Godrej industries, 5, 3, 2
157, BATAINDIA, Bata, 5, 4, 1
158, RAMCOCEM, The ramco cements, 5, 0, 5
159, SUNDARMFIN, Sundaram finance, 5, 2, 3
160, ENDURANCE, Endurance technologies, 5, 0, 5
161, BALKRISIND, Balkrishna industries, 5, 5, 0
162, ABFRL, Aditya birla fashion retai, 5, 0, 5
163, ABBOTINDIA, Abbott, 5, 0, 5
164, AIAENG, Aia engineering, 5, 0, 5
165, EDELWEISS, Edelweiss financial services l, 5, 0, 5
166, TATACHEM, Tata chemicals, 5, 8, 0
167, VBL, Varun beverages, 5, 3, 2
168, TATACOMM, Tata communications, 5, 0, 5
169, ADANIENT, Adani enterprises, 5, 3, 2
170, JINDALSTEL, Jindal steel power, 5, 0, 5
171, MINDTREE, Mindtree, 5, 7, 0
172, CASTROLIND, Castrol, 5, 11, 0
173, CUB, City union bank, 5, 0, 5
174, PNBHOUSING, Pnb housing finance, 5, 0, 5
175, ASTRAL, Astral poly technik, 5, 0, 5
176, BAYERCROP, Bayer cropscience, 5, 0, 5
177, PFIZER, Pfizer, 5, 5, 0
178, CROMPTON, Crompton greaves consumer elec, 5, 0, 5
179, SRF, Srf, 5, 0, 5
180, BHARATFIN, Bharat financial inclusion lim, 5, 0, 5
181, PIIND, Piindustries, 5, 2, 3
182, ADANIGAS, Adani gas, 5, 1, 4
183, SUPREMEIND, Supreme industries, 5, 2, 3
184, TATAGLOBAL, Tata global beverages, 5, 3, 2
185, SANOFI, Sanofi, 5, 4, 1
186, AARTIIND, Aarti industries, 5, 0, 5
187, COROMANDEL, Coromandel international, 5, 3, 2
188, THERMAX, Thermax, 5, 0, 5
189, TRENT, Trent, 5, 2, 3
190, TORNTPOWER, Torrent power, 5, 0, 5
191, INDIANB, Indian bank, 5, 0, 5
192, IIFL, Iifl finance, 5, 0, 5
193, SYNGENE, Syngene international, 5, 0, 5
194, WABCOINDIA, Wabco, 5, 0, 5
195, AMARAJABAT, Amara raja batteries, 5, 10, 0
196, APOLLOTYRE, Apollo tyres, 5, 17, 0
197, MRPL, Mangalore refinery petrochem, 5, 0, 5
198, RNAM, Reliance nippon life asset man, 5, 2, 3
199, MFSL, Max financial services, 5, 0, 5
200, JSWENERGY, Jsw energy, 5, 0, 5
201, SUNDRMFAST, Sundram fasteners, 5, 3, 2
202, IPCALAB, Ipca laboratories, 5, 0, 5
203, CRISIL, Crisil, 5, 11, 0
204, NATCOPHARM, Natco pharma, 5, 0, 5
205, GUJFLUORO, Gujarat fluorochemicals, 5, 0, 5
206, UNIONBANK, Union bank, 5, 0, 5
207, SHRIRAMCIT, Shriram city union finance, 5, 0, 5
208, HATSUN, Hatsun agro product, 5, 2, 3
209, EIHOTEL, Eih, 5, 5, 0
210, ATUL, Atul, 5, 0, 5
211, NBCC, Nbcc, 5, 19, 0
212, JUBILANT, Jubilant life sciences, 5, 0, 5
213, HEXAWARE, Hexaware technologies, 5, 0, 5
214, CENTRALBK, Central bank, 5, 0, 5
215, GUJGASLTD, Gujarat gas, 5, 0, 5
216, CORPBANK, corporation bank, 5, 0, 5
217, APLLTD, Alembic pharmaceuticals, 5, 0, 5
218, NATIONALUM, National aluminium co, 5, 20, 0
219, ALBK, Allahabad bank, 5, 0, 5
220, GSPL, Gujarat state petronet, 5, 0, 5
221, CENTURYTEX, Century textiles industries, 5, 0, 5
222, QUESS, Quess corp, 5, 13, 0
223, FORTIS, Fortis healthcare, 5, 0, 5
224, ORIENTBANK, Oriental bankcommerce, 5, 0, 5
225, GMRINFRA, Gmr infrastructure, 5, 0, 5
226, SKFINDIA, Skf, 5, 8, 0
227, MANAPPURAM, Manappuram finance, 5, 2, 3
228, RELAXO, Relaxo footwears, 5, 3, 2
229, SJVN, Sjvn, 5, 0, 5
230, IOB, Indian overseas bank, 5, 0, 5
231, MOTILALOFS, Motilal oswal financial servic, 5, 0, 5
232, SOLARINDS, Solar industries, 5, 2, 3
233, GODREJAGRO, Godrej agrovet, 5, 6, 0
234, PHOENIXLTD, The phoenix mills, 5, 0, 5
235, TTKPRESTIG, Ttk prestige, 5, 12, 0
236, NLCINDIA, Nlc, 5, 12, 0
237, UCOBANK, Uco bank, 5, 0, 5
238, POLYCAB, Polycab, 5, 0, 5
239, VGUARD, V guard industries, 5, 11, 0
240, GRAPHITE, Graphite, 5, 0, 5
241, CESC, Cesc, 5, 0, 5
242, KAJARIACER, Kajaria ceramics, 5, 14, 0
243, AJANTPHARM, Ajanta pharma, 5, 0, 5
244, MGL, Mahanagar gas, 5, 0, 5
245, CHOLAHLDNG, Cholamandalam financial holdin, 5, 4, 1
246, PRESTIGE, Prestige estates projects, 5, 2, 3
247, VINATIORGA, Vinati organics, 5, 0, 5
248, AAVAS, Aavas financiers, 5, 0, 5
249, SYMPHONY, Symphony, 5, 6, 0
250, STRTECH, Sterlite technologies, 5, 6, 0
251, SCHAEFFLER, Schaeffler, 5, 10, 0
252, MAHINDCIE, Mahindra cie automotive limite, 5, 3, 2
253, FLFL, Future lifestyle fashions, 5, 3, 2
255, LALPATHLAB, Dr lal pathlabs, 5, 2, 3
257, THOMASCOOK, Thomas cook, 5, 10, 0
259, HUDCO, Housing &urban development cor, 5, 5, 0
267, KRBL, Krbl, 5, 7, 0
269, PVR, Pvr, 5, 5, 0
273, BLUEDART, Blue dart express, 5, 10, 0
274, ENGINERSIN, Engineers, 5, 20, 0
275, ISEC, Icici securities, 5, 2, 3
278, DCMSHRIRAM, Dcm shriram, 5, 6, 0
279, TIINDIA, Tube investments, 5, 2, 3
280, CARBORUNIV, Carborundum universal, 5, 7, 0
282, AEGISCHEM, Aegis logistics, 5, 2, 3
286, FINCABLES, Finolex cables, 5, 4, 1
288, ZYDUSWELL, Zydus wellness, 5, 1, 4
290, BLUESTARCO, Blue star, 5, 2, 3
292, VIPIND, Vipindustries, 5, 6, 0
294, SFL, Sheela foam, 5, 2, 3
296, GRINDWELL, Grindwell norton, 5, 2, 3
300, DELTACORP, Delta corp, 5, 6, 0
301, DISHTV, Dish tv, 5, 4, 1
308, ASAHIINDIA, Asahi glass, 5, 3, 2
309, BASF, Basf, 5, 3, 2
310, PGHL, Procter gamble health limite, 5, 5, 0
311, LEMONTREE, Lemon tree hotels, 5, 4, 1
313, NCC, Ncc, 5, 2, 3
314, TATAELXSI, Tata elxsi, 5, 1, 4
324, VSTIND, Vst industries, 5, 12, 0
326, BDL, Bharat dynamics, 5, 6, 0
327, GODFRYPHLP, Godfrey phillips, 5, 1, 4
329, ARVINDFASN, Arvind fashions, 5, 3, 2
332, AVANTIFEED, Avanti feeds, 5, 11, 0
334, JCHAC, Johnson controls hitachi air c, 5, 2, 3
335, COCHINSHIP, Cochin shipyard, 5, 6, 0
339, ASTRAZEN, Astrazeneca pharma, 5, 2, 3
355, CEATLTD, Ceat, 5, 7, 0
364, NH, Narayana hrudayalaya, 5, 3, 2
385, HEIDELBERG, Heidelbergcement, 5, 1, 4
387, CENTURYPLY, Century plyboards, 5, 11, 0
393, ESSELPACK, Essel propack, 5, 2, 3
406, NETWORK18, Network18 media investments, 5, 5, 0
409, MAHLOG, Mahindra logistics, 5, 3, 2
412, CERA, Cera sanitaryware, 5, 8, 0
413, EIDPARRY, Eid parry, 5, 6, 0
436, KSCL, Kaveri seed company, 5, 2, 3
437, BSE, Bse, 5, 14, 0
439, BRIGADE, Brigade enterprises, 5, 3, 2
444, RALLIS, Rallis, 5, 4, 1
446, BALRAMCHIN, Balrampur chini mills, 5, 2, 3
453, ICRA, Icra, 5, 10, 0
455, MHRIL, Mahindra holidays resorts in, 5, 11, 0
456, VENKEYS, Venkys, 5, 7, 0
458, CARERATING, Care ratings, 5, 14, 0
462, JISLJALEQS, Jain irrigation systems, 5, 2, 3
470, THYROCARE, Thyrocare technologies, 5, 6, 0
475, ALLCARGO, Allcargo logistics, 5, 5, 0
490, ENIL, Entertainment network, 5, 4, 1
493, VRLLOG, Vrl logistics, 5, 6, 0
494, FSC, Future supply chain solutions, 5, 1, 4
498, KSB, Ksb, 5, 2, 3
501, CDSL, Central depository services, 5, 2, 3
510, LAOPALA, La opala rg, 5, 2, 3
535, GREENLAM, Greenlam industries, 5, 3, 2
540, RENUKA, Shree renuka sugars, 5, 5, 0
548, NILKAMAL, Nilkamal, 5, 9, 0
554, BOROSIL, Borosil glass works, 5, 2, 3
561, GREENPLY, Greenply industries, 5, 5, 0
583, UFLEX, Uflex, 5, 2, 3
592, TVSSRICHAK, Tvs srichakra, 5, 5, 0
595, TATACOFFEE, Tata coffee, 5, 9, 0
599, WONDERLA, Wonderla holidays, 5, 9, 0
609, PAPERPROD, Huhtamaki ppl, 5, 1, 4
688, VSTTILLERS, Vsttillers tractors, 5, 6, 0
694, EVEREADY, Eveready industries, 5, 5, 0
763, ZEELEARN, Zee learn, 5, 12, 0
