Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
TATMOT,TATA MOTORS LIMITED,INE155A01022,17,283.66,168.10,- 0.27,4822.22,2857.70,5165.54,-1964.52,(40.74),
TUBINV,TI FINANCIAL HOLDINGS LIMITED,INE149A01033,4,671.81,501.30,- 1.28,2687.24,2005.20,0.00,-682.04,(25.38),
TVSMOT,TVS MOTOR COMPANY LIMITED,INE494B01023,6,588.08,540.00,+ 0.93,3528.48,3240.00,0.00,-288.48,(8.18),
TVSSRI,TVS SRICHAKRA LIMITED,INE421C01016,1,2361.41,2505.40, 0.00,2361.41,2505.40,0.00,143.99,6.10,
VSTTIL,VSTTILLERS TRACTORS LTD,INE764D01017,1,2074.77,1555.60,- 0.70,2074.77,1555.60,0.00,-519.17,(25.02),
WABIND,WABCO INDIA LIMITED,INE342J01019,1,6926.00,6798.10,- 0.33,6926.00,6798.10,0.00,-127.90,(1.85),
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,3,1131.77,1160.65,- 0.13,3395.31,3481.95,0.00,86.64,2.55,
AXIBAN,AXIS BANK LIMITED,INE238A01034,4,517.23,610.00,- 1.62,2068.92,2440.00,0.00,371.08,17.94,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,1,5668.89,6394.00,+ 0.05,5668.89,6394.00,0.00,725.11,12.79,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,1,2973.91,2626.65,+ 0.39,2973.91,2626.65,0.00,-347.26,(11.68),
BANBAN,BANDHAN BANK LIMITED,INE545U01014,2,697.92,537.65,- 2.53,1395.84,1075.30,0.00,-320.54,(22.96),
BANBAR,BANK OF BARODA,INE028A01039,10,126.30,121.15,+ 1.51,1263.00,1211.50,326.38,-51.50,(4.08),
BSE,BSE LIMITED,INE118H01025,5,818.30,597.40,- 0.20,4091.50,2987.00,0.00,-1104.50,(26.99),
CARE,CARE RATINGS LIMITED,INE752H01013,2,1461.12,979.20,+ 0.48,2922.24,1958.40,0.00,-963.84,(32.98),
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,7,309.19,229.55,- 0.56,2164.33,1606.85,0.00,-557.48,(25.76),
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01016,1,1515.25,1220.25,- 1.05,1515.25,1220.25,0.00,-295.00,(19.47),
CRISIL,CRISIL LIMITED,INE007A01025,2,1903.67,1654.25,+ 1.64,3807.34,3308.50,0.00,-498.84,(13.10),
DEWHOU,DEWAN HOUSING FINANCE CORPN L,INE202B01012,2,674.40,239.50,- 1.01,1348.80,479.00,0.00,-869.80,(64.49),
GIC,GENERAL INSURANCE CORP INDIA,INE481Y01014,8,348.25,260.70,+ 1.28,2786.00,2085.60,0.00,-700.40,(25.14),
HDFAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,13,1100.00,1512.50,+ 0.52,14300.00,19662.50,0.00,5362.50,37.50,
HDFBAN,HDFC BANK LIMITED,INE040A01026,19,1057.37,2112.50,- 0.63,20090.03,40137.50,2110.56,20047.47,99.79,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,9,1459.38,1942.85,- 1.83,13134.42,17485.65,0.00,4351.23,33.13,
HDFSTA,HDFC STANDARD LIFE INS CO LTD,INE795G01014,6,382.60,393.25,+ 0.70,2295.60,2359.50,0.00,63.90,2.78,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,32,69.58,43.35,+ 0.35,2226.56,1387.20,0.00,-839.36,(37.70),
ICIBAN,ICICI BANK LIMITED,INE090A01021,19,273.17,366.75,+ 0.66,5190.23,6968.25,(1409.47),1778.02,34.26,
ICILOM,ICICI LOMBARD GEN INSURANCE CO,INE765G01017,4,707.97,869.80,- 0.24,2831.88,3479.20,0.00,647.32,22.86,
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,INE726G01019,9,387.88,318.25,- 0.41,3490.92,2864.25,0.00,-626.67,(17.95),
ICISEC,ICICI SECURITIES LTD ISEC,INE763G01038,4,319.42,262.75,- 0.08,1277.68,1051.00,0.00,-226.68,(17.74),
ICRLIM,ICRA LIMITED,INE725G01011,1,4180.65,3150.00,- 0.35,4180.65,3150.00,0.00,-1030.65,(24.65),
IIFHOL,IIFL HOLDINGS LIMITED,INE530B01024,2,709.62,504.60,+ 0.87,1419.24,1009.20,0.00,-410.04,(28.89),
INDBA,INDUSIND BANK LIMITED,INE095A01012,1,2003.46,1564.45,- 0.82,2003.46,1564.45,0.00,-439.01,(21.91),
INDHO,INDIABULLS HOUSING FINANCE LTD,INE148I01020,2,1052.61,824.50,- 2.15,2105.22,1649.00,0.00,-456.22,(21.67),
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,2,1055.12,1237.05,- 0.29,2110.24,2474.10,0.00,363.86,17.24,
LICHF,LIC HOUSING FINANCE LIMITED,INE115A01026,5,607.15,473.70,- 0.42,3035.75,2368.50,0.00,-667.25,(21.98),
LTFINA,LT FINANCE HOLDINGS LIMITED,INE498L01015,6,176.87,147.05,- 2.42,1061.22,882.30,0.00,-178.92,(16.86),
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,5,444.46,459.65,- 1.32,2222.30,2298.25,0.00,75.95,3.42,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,10,124.66,93.50,+ 1.30,1246.60,935.00,0.00,-311.60,(25.00),
MCX,MULTI COMMODITY EXCHANGE,INE745G01035,1,842.72,730.65,+ 0.72,842.72,730.65,0.00,-112.07,(13.30),
MUTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,6,450.78,498.50,- 0.84,2704.68,2991.00,0.00,286.32,10.59,
NEWIN,THE NEW INDIA ASSURANCE CO LTD,INE470Y01017,9,282.17,184.65,+ 0.27,2539.53,1661.85,0.00,-877.68,(34.56),
POWFIN,POWER FINANCE CORPORATION LTD,INE134E01011,27,123.03,107.35,+ 3.17,3321.81,2898.45,0.00,-423.36,(12.74),
RURELE,REC LIMITED,INE020B01018,20,159.99,122.50,+ 2.90,3199.80,2450.00,(2497.62),-749.80,(23.43),
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,4,670.16,596.55,- 0.47,2680.64,2386.20,0.00,-294.44,(10.98),
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,INE721A01013,2,1182.97,1177.00,- 1.65,2365.94,2354.00,0.00,-11.94,(0.50),
STABAN,STATE BANK OF INDIA,INE062A01020,24,255.35,293.30,- 0.19,6128.40,7039.20,2583.25,910.80,14.86,
SUNFIN,SUNDARAM FINANCE LTD,INE660A01013,1,1612.76,1490.05,+ 3.39,1612.76,1490.05,0.00,-122.71,(7.61),
TATINV,TATA INVESTMENT CORPORATION LT,INE672A01018,2,847.68,901.35,+ 0.17,1695.36,1802.70,0.00,107.34,6.33,
ACC,ACC LIMITED,INE012A01025,3,1684.45,1470.00,- 0.89,5053.35,4410.00,(691.30),-643.35,(12.73),
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,14,248.30,215.60,- 1.60,3476.20,3018.40,115.32,-457.80,(13.17),
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,2,1032.77,804.15,- 1.39,2065.54,1608.30,(659.44),-457.24,(22.14),
HEICEM,HEIDELBERG CEMENT INDIA LTD,INE578A01017,8,137.80,150.50,+ 0.13,1102.40,1204.00,0.00,101.60,9.22,
ULTCEM,ULTRATECH CEMENT LIMITED,INE481G01011,4,3776.16,3950.50,- 1.23,15104.64,15802.00,(1184.37),697.36,4.62,
BASF,BASF INDIA LIMITED,INE373A01013,2,1729.70,1523.10,- 1.15,3459.40,3046.20,0.00,-413.20,(11.94),
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,1,4757.80,4225.60,+ 0.69,4757.80,4225.60,0.00,-532.20,(11.19),
CHAFER,CHAMBAL FERTILISERS & CHEMICAL,INE085A01013,13,148.01,153.00,- 1.16,1924.13,1989.00,0.00,64.87,3.37,
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,7,459.83,450.95,+ 0.54,3218.81,3156.65,0.00,-62.16,(1.93),
KAVSEE,KAVERI SEED COMPANY LTD,INE455I01029,4,549.33,563.75,- 0.82,2197.32,2255.00,0.00,57.68,2.63,
MONSIN,MONSANTO INDIA LIMITED,INE274B01011,2,2790.47,2586.95,+ 0.04,5580.94,5173.90,0.00,-407.04,(7.29),
PIIND,P I INDUSTRIES LTD,INE603J01030,2,902.20,868.00,+ 0.98,1804.40,1736.00,0.00,-68.40,(3.79),
RALIND,RALLIS INDIA LTD,INE613A01020,10,248.05,176.25,- 0.84,2480.50,1762.50,0.00,-718.00,(28.95),
TATCHE,TATA CHEMICALS LTD,INE092A01019,4,695.15,698.00,- 0.41,2780.60,2792.00,(89.37),11.40,0.41,
UNIP,UPL LIMITED,INE628A01036,7,743.28,751.60,- 0.47,5202.96,5261.20,0.00,58.24,1.12,
ASIGRA,ASIAN GRANITO INDIA LIMITED,INE022I01019,8,267.80,163.75,- 0.67,2142.40,1310.00,0.00,-832.40,(38.85),
BRIENT,BRIGADE ENTERPRISES LIMITED,INE791I01019,12,230.27,213.55,- 0.67,2763.24,2562.60,0.00,-200.64,(7.26),
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,INE348B01021,13,246.52,172.90,- 1.14,3204.76,2247.70,0.00,-957.06,(29.86),
CERSAN,CERA SANITARYWARE LIMITED,INE739E01017,1,3078.11,2371.95, 0.00,3078.11,2371.95,0.00,-706.16,(22.94),
DLFLIM,DLF LIMITED,INE271C01023,10,214.27,173.85,+ 0.55,2142.70,1738.50,(6746.96),-404.20,(18.86),
GODPRO,GODREJ PROPERTIES LIMITED,INE484J01027,3,601.61,679.50,+ 1.61,1804.83,2038.50,0.00,233.67,12.95,
GREIN,GREENPLY INDUSTRIES LIMITED,INE461C01038,5,236.07,137.10,- 0.51,1180.35,685.50,0.00,-494.85,(41.92),
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,5,605.64,499.90,+ 1.29,3028.20,2499.50,0.00,-528.70,(17.46),
NAGCON,NCC LIMITED,INE868B01028,21,109.90,90.20,+ 0.89,2307.90,1894.20,0.00,-413.70,(17.93),
NBCC,NBCC (INDIA) LIMITED,INE095N01031,38,84.26,58.60,+ 1.30,3201.88,2226.80,0.00,-975.08,(30.45),
PREEST,PRESTIGE ESTATES PROJECTS LIMI,INE811K01011,9,271.18,234.85,+ 1.29,2440.62,2113.65,0.00,-326.97,(13.40),
PURPRO,PURAVANKARA LIMITED,INE323I01011,23,94.25,74.00,- 0.07,2167.75,1702.00,(2598.07),-465.75,(21.49),
SOBDEV,SOBHA LIMITED,INE671H01015,6,425.41,465.60,- 1.46,2552.46,2793.60,0.00,241.14,9.45,
SOMCER,SOMANY CERAMICS LIMITED,INE355A01028,4,479.55,347.00,+ 3.29,1918.20,1388.00,0.00,-530.20,(27.64),
BLUSTA,BLUE STAR LTD,INE472A01039,3,646.98,621.00,- 0.42,1940.94,1863.00,0.00,-77.94,(4.02),
CROGR,CROMPTON GREAVES CONS ELEC LTD,INE299U01018,9,240.36,234.10,+ 1.04,2163.24,2106.90,0.00,-56.34,(2.60),
EVEIND,EVEREADY INDUSTRIES INDIA LTD,INE128A01029,11,274.41,182.50,- 0.57,3018.51,2007.50,0.00,-1011.01,(33.49),
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,5,515.02,684.60,- 1.04,2575.10,3423.00,0.00,847.90,32.93,
HITHOM,JOHNSON CONTROLS HITACHI AIR I,INE782A01015,1,2106.33,1719.50,- 1.42,2106.33,1719.50,0.00,-386.83,(18.37),
IFBIND,IFB INDUSTRIES LIMITED,INE559A01017,2,1157.60,848.90,- 0.19,2315.20,1697.80,0.00,-617.40,(26.67),
SHEFOA,SHEELA FOAM LIMITED,INE916U01025,1,1649.36,1439.90,- 1.78,1649.36,1439.90,0.00,-209.46,(12.70),
TTKPRE,TTK PRESTIGE LTD,INE690A01010,1,6420.67,7490.05, 0.00,6420.67,7490.05,0.00,1069.38,16.66,
VGUARD,V-GUARD INDUSTRIES LIMITED,INE951I01027,4,253.42,220.85,- 0.79,1013.68,883.40,0.00,-130.28,(12.85),
VIPIND,VIP INDUSTRIES LTD,INE054A01027,11,303.39,513.55,+ 1.84,3337.29,5649.05,0.00,2311.76,69.27,
VOLTAS,VOLTAS LTD,INE226A01021,6,544.16,539.55,+ 0.29,3264.96,3237.30,0.00,-27.66,(0.85),
WHIIND,WHIRLPOOL OF INDIA LTD,INE716A01013,2,1386.24,1401.00,+ 0.31,2772.48,2802.00,0.00,29.52,1.06,
BHA22,ICICI PRUD MF BHARAT 22 ETF,INF109KB15Y7,278,35.97,35.12,- 0.82,9999.66,9763.36,0.00,-236.30,(2.36),
ICIMID,ICICI PRU MIDCAP SELECT ETF,INF109KB1XT3,66,74.53,66.58,- 0.69,4918.98,4394.28,0.00,-524.70,(10.67),
ZEELEA,ZEE LEARN LIMITED,INE565L01011,72,44.05,35.75,- 0.14,3171.60,2574.00,0.00,-597.60,(18.84),
ABB,ABB INDIA LIMITED,INE117A01022,3,1424.66,1321.55,+ 0.17,4273.98,3964.65,(262.11),-309.33,(7.24),
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,3,362.01,278.75,- 1.34,1086.03,836.25,0.00,-249.78,(23.00),
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,13,168.77,90.00,+ 0.33,2194.01,1170.00,(5344.85),-1024.01,(46.67),
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,41,83.42,71.85,- 1.37,3420.22,2945.85,(496.84),-474.37,(13.87),
CARUNI,CARBORUNDUM UNIVERSAL LTD,INE120A01034,7,351.20,365.00,+ 1.28,2458.40,2555.00,0.00,96.60,3.93,
CUMIND,CUMMINS INDIA LTD,INE298A01020,4,886.39,842.00,- 0.31,3545.56,3368.00,0.00,-177.56,(5.01),
ENGIND,ENGINEERS INDIA LTD,INE510A01028,17,141.32,125.70,+ 0.52,2402.44,2136.90,0.00,-265.54,(11.05),
GRINOR,GRINDWELL NORTON LTD,INE536A01023,5,467.87,554.45,+ 0.02,2339.35,2772.25,0.00,432.90,18.51,
HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,1,934.97,796.05,- 0.53,934.97,796.05,0.00,-138.92,(14.86),
KSBPUM,KSB LIMITED,INE999A01015,3,753.41,778.00,+ 1.44,2260.23,2334.00,0.00,73.77,3.26,
LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,8,1111.69,1404.50,- 1.54,8893.52,11236.00,322.53,2342.48,26.34,
SIEMEN,SIEMENS LTD,INE003A01024,3,1269.46,1056.00,- 0.06,3808.38,3168.00,(187.10),-640.38,(16.82),
AVAFEE,AVANTI FEEDS LTD,INE871C01038,9,591.14,378.20,- 0.08,5320.26,3403.80,0.00,-1916.46,(36.02),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,4,2198.49,3160.80,+ 1.44,8793.96,12643.20,0.00,3849.24,43.77,
COFDAY,COFFEE DAY ENTERPRISES LTD,INE335K01011,8,284.73,279.35,+ 1.53,2277.84,2234.80,0.00,-43.04,(1.89),
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,2,1114.49,1306.00,+ 0.18,2228.98,2612.00,0.00,383.02,17.18,
DABIND,DABUR INDIA LTD,INE016A01026,10,353.08,423.25,+ 1.65,3530.80,4232.50,0.00,701.70,19.87,
EMALIM,EMAMI LIMITED,INE548C01032,4,621.07,424.70,+ 0.62,2484.28,1698.80,0.00,-785.48,(31.62),
FUTVEN,FUTURE CONSUMER LIMITED,INE220J01025,20,59.49,45.00,- 0.77,1189.80,900.00,0.00,-289.80,(24.36),
GILIND,GILLETTE INDIA LTD,INE322A01010,1,4905.17,6466.85,- 0.28,4905.17,6466.85,0.00,1561.68,31.84,
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,INE264A01014,1,5114.50,7526.00,+ 0.30,5114.50,7526.00,0.00,2411.50,47.15,
GODCON,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,3,746.99,814.00,+ 0.79,2240.97,2442.00,0.00,201.03,8.97,
GODPHI,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,2,747.76,871.80,+ 0.42,1495.52,1743.60,0.00,248.08,16.59,
HATAGR,HATSUN AGRO PRODUCTS LTD,INE473B01035,2,762.28,689.00,+ 9.96,1524.56,1378.00,0.00,-146.56,(9.61),
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,8,1003.78,1789.40,+ 0.30,8030.24,14315.20,3488.20,6284.96,78.27,
ITC,ITC LIMITED,INE154A01025,44,252.59,278.60,- 0.68,11113.96,12258.40,3948.82,1144.44,10.30,
KRBL,KRBL LIMITED,INE001B01026,5,402.98,287.90,- 1.30,2014.90,1439.50,0.00,-575.40,(28.56),
MARLIM,MARICO LIMITED,INE196A01026,10,344.50,378.95,+ 1.64,3445.00,3789.50,0.00,344.50,10.00,
NESIND,NESTLE INDIA LIMITED,INE239A01016,1,6693.11,11349.00,+ 2.79,6693.11,11349.00,0.00,4655.89,69.56,
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,3,866.03,1109.00,+ 0.15,2598.09,3327.00,0.00,728.91,28.06,
PROGAM,PROCTER & GAMBLE HYGIENE & HEA,INE179A01014,1,8018.86,9852.00,- 0.16,8018.86,9852.00,0.00,1833.14,22.86,
TATCO,TATA COFFEE LTD,INE493A01027,26,130.02,95.80,- 1.59,3380.52,2490.80,0.00,-889.72,(26.32),
TATGLO,TATA GLOBAL BEVERAGES LIMITED,INE192A01025,17,199.45,213.55,- 0.58,3390.65,3630.35,(179.40),239.70,7.07,
VARBEV,VARUN BEVERAGES LIMITED,INE200M01013,5,672.43,804.50,+ 1.40,3362.15,4022.50,0.00,660.35,19.64,
VENIND,VENKYS INDIA LIMITED,INE398A01010,1,2130.48,2392.50,- 0.44,2130.48,2392.50,0.00,262.02,12.30,
VSTIND,VST INDUSTRIES LTD,INE710A01016,1,3001.91,3071.00,- 4.45,3001.91,3071.00,0.00,69.09,2.30,
GOLDEX,RELIANCE ETF GOLD BEES,INF732E01102,60,2600.26,2845.00,+ 0.57,156015.60,170700.00,0.00,14684.40,9.41,
HDFGOL,HDFC GOLD ETF,INF179K01CN1,50,2820.83,2915.00,+ 0.68,141041.50,145750.00,0.00,4708.50,3.34,
KOTGOL,KOTAK  GOLD ETF,INF373I01049,500,259.69,280.25,+ 0.66,129845.00,140125.00,0.00,10280.00,7.92,
SBIGOL,SBI-ETF GOLD,INF200K01099,49,2767.48,2889.99,+ 1.22,135606.52,141609.51,0.00,6002.99,4.43,
UTGOLD,UTI GOLD ETF,INF789F01059,51,2584.06,2855.00,+ 0.74,131787.06,145605.00,0.00,13817.94,10.49,
PCJEW,PC JEWELLER LIMITED,INE785M01013,34,106.47,83.70,+ 1.09,3619.98,2845.80,0.00,-774.18,(21.39),
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,5,728.50,571.95,- 0.14,3642.50,2859.75,(818.42),-782.75,(21.49),
TITIND,TITAN COMPANY LIMITED,INE280A01028,7,692.00,933.60,+ 0.20,4844.00,6535.20,0.00,1691.20,34.91,
CNKLIM,COX & KINGS LIMITED,INE008I01026,8,265.96,163.30,+ 1.62,2127.68,1306.40,0.00,-821.28,(38.60),
EIHLIM,EIH LIMITED,INE230A01023,21,158.33,185.65,- 1.77,3324.93,3898.65,0.00,573.72,17.26,
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,64,116.82,145.60,+ 2.64,7476.48,9318.40,(3735.83),1841.92,24.64,
JUBFOO,JUBILANT FOODWORKS LIMITED,INE797F01012,4,771.59,1248.00,+ 0.71,3086.36,4992.00,0.00,1905.64,61.74,
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,INE998I01010,11,303.41,207.70,- 1.12,3337.51,2284.70,0.00,-1052.81,(31.54),
THOCOO,THOMAS COOK (INDIA) LTD,INE332A01027,10,234.68,230.05,- 0.82,2346.80,2300.50,0.00,-46.30,(1.97),
WESDEV,WESTLIFE DEVELOPMENT LTD,INE274F01020,7,284.76,397.25,+ 0.08,1993.32,2780.75,0.00,787.43,39.50,
WONHOL,WONDERLA HOLIDAYS LTD,INE066O01014,3,376.76,267.00,- 1.09,1130.28,801.00,0.00,-329.28,(29.13),
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,INF109KA1962,50,115.69,116.54,- 0.56,5784.50,5827.00,0.00,42.50,0.73,
KOTNIF,KOTAK MAHINDRA MF - NIFTY ETF,INF174K014P6,104,103.25,110.00,- 0.57,10738.00,11440.00,0.00,702.00,6.54,
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,7,843.25,950.25,+ 0.47,5902.75,6651.75,3330.73,749.00,12.69,
INFEDG,INFO EDGE (INDIA) LIMITED,INE663F01024,3,1156.62,1493.20,+ 4.06,3469.86,4479.60,0.00,1009.74,29.10,
INFTEC,INFOSYS LTD,INE009A01021,24,493.60,664.50,- 0.72,11846.40,15948.00,944.68,4101.60,34.62,
LTINFO,LARSEN & TOUBRO INFOTECH LTD,INE214T01019,1,1699.31,1748.80,+ 0.88,1699.31,1748.80,0.00,49.49,2.91,
LTTEC,L&T TECHNOLOGIES LIMITED,INE010V01017,1,1342.52,1661.05,- 2.51,1342.52,1661.05,0.00,318.53,23.73,
TATELX,TATA ELXSI LIMITED,INE670A01012,1,993.14,1035.25,+ 0.99,993.14,1035.25,(2464.63),42.11,4.24,
TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,17,1213.42,1904.75,- 0.96,20628.14,32380.75,1304.38,11752.61,56.97,
TECMAH,TECH MAHINDRA LIMITED,INE669C01036,7,511.10,694.60,- 2.42,3577.70,4862.20,0.00,1284.50,35.90,
WIPRO,WIPRO LTD,INE075A01022,25,264.77,326.05,+ 0.29,6619.25,8151.25,(1006.96),1532.00,23.14,
DISHTV,DISH TV INDIA LIMITED,INE836F01026,53,59.99,38.40,+ 0.26,3179.47,2035.20,0.00,-1144.27,(35.99),
PVRLIM,PVR LIMITED,INE191H01014,3,1518.76,1545.50,- 2.73,4556.28,4636.50,0.00,80.22,1.76,
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,13,497.70,462.35,- 1.44,6470.10,6010.55,(1136.35),-459.55,(7.10),
COALIN,COAL INDIA LIMITED,INE522F01014,31,328.84,235.00,- 0.84,10194.04,7285.00,(208.26),-2909.04,(28.54),
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,14,226.47,211.85,- 1.19,3170.58,2965.90,176.55,-204.68,(6.46),
HINZIN,HINDUSTAN ZINC LTD,INE267A01025,12,274.98,272.00,- 0.55,3299.76,3264.00,(73.73),-35.76,(1.08),
JSWSTE,JSW STEEL LIMITED,INE019A01038,13,256.54,286.10,- 0.90,3335.02,3719.30,0.00,384.28,11.52,
NATALU,NATIONAL ALUMINIUM CO LTD,INE139A01034,48,73.61,63.25,- 1.48,3533.28,3036.00,(514.62),-497.28,(14.07),
NATMIN,NMDC LIMITED,INE584A01023,28,122.39,94.00,- 2.99,3426.92,2632.00,0.00,-794.92,(23.20),
NEYLIG,NLC INDIA LIMITED,INE589A01014,24,89.97,68.00,- 0.29,2159.28,1632.00,0.00,-527.28,(24.42),
TATSTE,TATA STEEL LIMITED,INE081A01012,14,493.83,487.00,- 1.39,6913.62,6818.00,619.92,-95.62,(1.38),
VEDLIM,VEDANTA LIMITED,INE205A01025,25,249.86,192.05,- 0.54,6246.50,4801.25,0.00,-1445.25,(23.14),
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,23,142.25,153.35,- 0.90,3271.75,3527.05,0.00,255.30,7.80,
ADAGRE,ADANI GREEN ENERGY LTD,INE364U01010,12,28.90,41.10, 0.00,346.80,493.20,0.00,146.40,42.21,
ADATRA,ADANI TRANSMISSION LIMITED,INE931S01010,7,172.18,201.75,+ 0.98,1205.26,1412.25,0.00,206.99,17.17,
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,3,410.36,344.80,+ 0.17,1231.08,1034.40,0.00,-196.68,(15.98),
GODAGR,GODREJ AGROVET LIMITED,INE850D01014,4,574.13,499.90,+ 0.09,2296.52,1999.60,0.00,-296.92,(12.93),
