Date, Company, Dividend
10/08/2017,JK TYRE AND,17
03/07/2017,JSW STEEL,11
01/09/2017,Jubliant Foodworks,2
30/08/2017,KAJARIA CERAMICS,6
24/07/2017,KOTAK MAHINDRA,1
24/08/2017,LARSEN & TOUBRO,84
22/08/2017,,12
05/08/2017,LUPIN,45
07/08/2017,MAHINDRA AND,13
11/09/2017,MARUTI SUZUKI,75
28/09/2017,MOTHERSON SUMI,153
24/08/2017,MOTHERSON SUMI,8
23/02/2018,MRF,3
28/02/2018,MUTHOOT FIN,40
09/03/2018,Marico,18
29/11/2017,Marico,7
11/08/2017,Monsanto India,15
20/12/2017,Monsanto India,15
28/02/2018,NATIONAL ALUMINIUM,160
19/03/2018,NBCC (INDIA),2
16/10/2017,NBCC (INDIA),5
06/09/2017,NCC,4
27/06/2017,NEROLAC,9
16/08/2017,NESTLE INDIA,15
22/12/2017,NESTLE INDIA,33
08/03/2018,NHPC,45
31/03/2018,NLC INDIA,50
20/10/2017,NMDC,10
15/02/2018,NTPC,114
26/03/2018,NTPC,16
29/09/2017,NTPC,78
22/11/2017,Nilkamal,4
14/08/2017,Nilkamal,7
03/10/2017,OIL AND NATURAL,15
17/03/2018,OIL AND NATURAL,56
10/11/2017,OIL AND NATURAL,57
27/02/2018,OIL INDIA,98
10/10/2017,OIL INDIA,19
03/10/2017,PETRONET LNG,13
04/09/2017,PIDILITE FIN,9
23/11/2017,POWER FINANCE,102
19/03/2018,POWER FINANCE,30
04/10/2017,POWER GRID,97
15/02/2018,POWERGRID,71
02/08/2017,PVR,2
17/08/2017,Page Industries,25
21/02/2018,Page Industries,35
02/08/2017,Piramal,21
07/10/2017,Prestige Estates,4
28/11/2017,Procter & Gamble,27
04/09/2017,Puravankara,36
13/10/2017,RAJESH EXPO,2
28/06/2017,RALLIS,18
26/09/2017,RELAXO FOOTWEARS,2
24/07/2017,RELIANCE,77
09/10/2017,RURAL,16
27/02/2018,RURAL,88
31/07/2017,SHOPPERS STOP,2
09/02/2018,SIEMENS,14
02/08/2017,SKF,10
20/11/2017,,5
10/07/2017,SUPREME INDUSTRIES,12
10/11/2017,SUPREME INDUSTRIES,3
14/08/2017,Sobha,7
29/09/2017,Sun Pharmaceutical,52
24/08/2017,TATA,16
11/08/2017,TCL FINAL,22
20/07/2017,TCOFFEE,14
01/08/2017,,56
31/01/2018,,56
23/06/2017,TCS,220
01/11/2017,TCS INTDIV,56
21/08/2017,TGBL,16
28/08/2017,THE INDIAN HOTELS,16
18/08/2017,THOMAS COOK,1
26/02/2018,TI FINANCIAL,1
11/08/2017,TITAN FINDIV,5
07/08/2017,,4
23/08/2017,TTK PRESTIGE,12
10/11/2017,TUBE INVESTMENTS,4
28/02/2018,TUBE,2
12/03/2018,TVS MOTOR COMPANY,5
14/11/2017,TVS MOTOR COMPANY,8
04/10/2017,Talwalkars Better,6
07/12/2017,The New India,7
17/10/2017,UBL FIN DIV,1
19/07/2017,ULTRATECH CEMENT,30
13/07/2017,UPL,49
28/08/2017,VARUN BEVERAGES,5
27/03/2018,VEDANTA,424
21/04/2017,VEDANTA,354
03/08/2017,VIP Industries,9
09/02/2018,VIP Industries,9
01/09/2017,VOLTAS FIN,7
14/08/2017,VST FIN DIV,15
05/02/2018,WIPRO,22
22/09/2017,Whirlpool Of India,3
18/07/2017,Zee Entertainment,22
06/10/2017,Zee Learn,0
