bhav_ticker,bhav_last,bhav_isin
BASF,1549.0,INE373A01013
BASML,89.0,INE186H01014
BATAINDIA,1342.15,INE176A01028
BAYERCROP,5850.0,INE462A01022
BBL,698.5,INE464A01028
BBTC,1318.0,INE050A01025
BCG,5.35,INE425B01027
BCP,4.7,INE905P01028
BDL,325.0,INE171Z01018
BEL,96.0,INE263A01024
BEML,613.75,INE258A01016
BEPL,78.65,INE922A01025
BERGEPAINT,589.15,INE463A01038
BFINVEST,277.0,INE878K01010
BFUTILITIE,237.65,INE243D01012
BGRENERGY,34.15,INE661I01014
BHAGERIA,128.25,INE354C01027
BHAGYANGR,18.5,INE458B01036
BHAGYAPROP,22.95,INE363W01018
BHANDARI,1.05,INE474E01029
BHARATFORG,448.0,INE465A01025
BHARATGEAR,47.85,INE561C01019
BHARATRAS,9084.5,INE838B01013
BHARATWIRE,24.55,INE316L01019
BHARTIARTL,430.2,INE397D01024
BHEL,29.65,INE257A01026
BILENERGY,0.75,INE607L01029
BINDALAGRO,12.3,INE143A01010
BIOCON,454.0,INE376G01013
BIRLACABLE,51.35,INE800A01015
BIRLACORPN,665.0,INE340A01012
BIRLAMONEY,43.0,INE865C01022
BIRLATYRE,21.0,INE0AEJ01013
BKMINDST,0.95,INE831Q01016
BLISSGVS,176.0,INE416D01022
BLS,85.25,INE153T01027
BLUEDART,3240.0,INE233B01017
BLUESTARCO,639.9,INE472A01039
BODALCHEM,66.4,INE338D01028
BOMDYEING,63.75,INE032A01023
BORORENEW,72.85,INE666D01022
BOSCHLTD,13598.0,INE323A01026
BPCL,352.4,INE029A01011
BPL,19.2,INE110A01019
BRIGADE,168.5,INE791I01019
BRITANNIA,3810.0,INE216A01030
BRNL,30.9,INE727S01012
BROOKS,61.95,INE650L01011
BSE,541.25,INE118H01025
BSELINFRA,1.1,INE395A01016
BSL,25.55,INE594B01012
BSLGOLDETF,4629.0,INF209K01HT2
BSLNIFTY,124.6,INF209K01IR4
BSOFT,194.65,INE836A01035
BURNPUR,1.45,INE817H01014
BYKE,13.7,INE319B01014
CADILAHC,398.7,INE010B01027
CAMLINFINE,113.4,INE052I01032
CANBK,89.5,INE476A01014
CANFINHOME,415.5,INE477A01020
CANTABIL,321.2,INE068L01016
CAPACITE,119.1,INE264T01014
CAPLIPOINT,555.1,INE475E01026
CAPTRUST,58.5,INE707C01018
CARBORUNIV,263.5,INE120A01034
CAREERP,169.7,INE521J01018
CARERATING,353.0,INE752H01013
CASTROLIND,109.85,INE172A01027
CCHHL,2.95,INE652F01027
CCL,269.5,INE421D01022
CDSL,484.0,INE736A01011
CEATLTD,1000.6,INE482A01020
CEBBCO,15.7,INE209L01016
CELEBRITY,4.85,INE185H01016
CENTENKA,178.0,INE485A01015
CENTEXT,3.3,INE281A01026
CENTRALBK,14.0,INE483A01010
CENTRUM,15.95,INE660C01027
CENTUM,301.85,INE320B01020
CENTURYPLY,163.35,INE348B01021
CENTURYTEX,334.0,INE055A01016
CERA,2370.0,INE739E01017
CEREBRAINT,28.05,INE345B01019
CESC,618.2,INE486A01013
CESCVENT,231.25,INE425Y01011
CGCL,234.95,INE180C01026
CGPOWER,24.75,INE067A01029
CHALET,145.4,INE427F01016
CHAMBLFERT,161.2,INE085A01013
CHEMBOND,152.7,INE995D01025
CHEMCON,584.8,INE03YM01018
CHEMFAB,144.0,INE783X01023
CHENNPETRO,69.65,INE178A01016
CHOLAFIN,256.8,INE121A01024
CHOLAHLDNG,399.45,INE149A01033
CIGNITITEC,421.2,INE675C01017
CIMMCO,20.35,INE184C01028
CINELINE,30.55,INE704H01022
CIPLA,775.8,INE059A01026
CLNINDIA,331.05,INE492A01029
CMICABLES,34.45,INE981B01011
CNOVAPETRO,5.8,INE672K01025
COALINDIA,117.0,INE522F01014
COCHINSHIP,339.1,INE704P01017
COFORGE,2335.7,INE591G01017
COLPAL,1441.0,INE259A01022
COMPINFO,15.5,INE070C01037
COMPUSOFT,7.6,INE453B01029
CONCOR,356.2,INE111A01025
CONFIPET,21.0,INE552D01024
CONSOFINVT,33.0,INE025A01027
CONTROLPR,228.0,INE663B01015
CORALFINAC,20.4,INE558D01021
CORDSCABLE,41.3,INE792I01017
COROMANDEL,793.35,INE169A01031
COSMOFILMS,414.0,INE757A01017
COUNCODOS,1.15,INE695B01025
CPSEETF,16.5,INF457M01133
CREATIVE,121.0,INE985W01018
CREDITACC,739.95,INE741K01010
CREST,86.85,INE559D01011
CRISIL,1800.0,INE007A01025
CROMPTON,290.05,INE299U01018
CSBBANK,230.8,INE679A01013
CTE,25.3,INE627H01017
CUB,141.0,INE491A01021
CUBEXTUB,11.85,INE144D01012
CUMMINSIND,449.0,INE298A01020
CUPID,219.0,INE509F01011
CYBERTECH,61.0,INE214A01019
CYIENT,380.4,INE136B01020
DAAWAT,54.3,INE818H01020
DABUR,513.7,INE016A01026
DALBHARAT,769.1,INE00R701025
DALMIASUG,128.25,INE495A01022
DAMODARIND,23.6,INE497D01022
DATAMATICS,77.35,INE365B01017
DBCORP,79.8,INE950I01011
DBL,333.45,INE917M01012
DBREALTY,6.6,INE879I01012
DBSTOCKBRO,8.75,INE921B01025
DCAL,164.7,INE385W01011
DCBBANK,79.75,INE503A01015
DCM,20.25,INE498A01018
DCMNVL,25.5,INE08KP01019
DCMSHRIRAM,365.0,INE499A01024
DCW,15.35,INE500A01029
DECCANCE,286.5,INE583C01021
DEEPAKFERT,153.5,INE501A01019
DEEPAKNTR,820.0,INE288B01029
DEEPENR,68.0,INE677H01012
DELTACORP,114.55,INE124G01033
DELTAMAGNT,18.6,INE393A01011
DEN,72.0,INE947J01015
DENORA,215.4,INE244A01016
DFMFOODS,347.1,INE456C01020
DHAMPURSUG,140.05,INE041A01016
DHANBANK,12.4,INE680A01011
DHANUKA,760.75,INE435G01025
DHARSUGAR,4.25,INE988C01014
DHFL,12.8,INE202B01012
DHUNINV,214.9,INE320L01011
DIAMONDYD,605.95,INE393P01035
DICIND,374.0,INE303A01010
DIGISPICE,7.5,INE927C01020
DISHTV,14.05,INE836F01026
DIVISLAB,3068.05,INE361B01024
DIXON,8805.0,INE935N01012
DLF,155.65,INE271C01023
DLINKINDIA,103.55,INE250K01012
DMART,2175.0,INE192R01011
DNAMEDIA,0.55,INE016M01021
DOLAT,51.15,INE966A01022
DOLLAR,143.65,INE325C01035
DONEAR,26.25,INE668D01028
DPSCLTD,14.05,INE360C01024
DPWIRES,58.85,INE864X01013
DQE,1.3,INE656K01010
DREDGECORP,261.0,INE506A01018
DRREDDY,5120.0,INE089A01023
DSSL,29.7,INE417B01040
DTIL,259.0,INE341R01014
DUCON,3.7,INE741L01018
DWARKESH,27.65,INE366A01041
DYNAMATECH,710.0,INE221B01012
DYNPRO,273.4,INE256H01015
EASTSILK,1.2,INE962C01027
EBANK,2378.79,INF754K01EL1
EBBETF0423,1084.5,INF754K01KN4
EBBETF0425,996.0,INF754K01LD3
EBBETF0430,1101.89,INF754K01KO2
EBBETF0431,991.31,INF754K01LE1
EBIXFOREX,359.15,INE726L01019
ECLERX,698.0,INE738I01010
EDELWEISS,58.7,INE532F01054
EICHERMOT,2200.0,INE066A01021
EIDPARRY,280.5,INE126A01031
EIHAHOTELS,237.05,INE276C01014
EIHOTEL,83.15,INE230A01023
EIMCOELECO,333.0,INE158B01016
ELECON,25.1,INE205B01023
ELECTCAST,24.4,INE086A01029
ELECTHERM,102.5,INE822G01016
ELGIEQUIP,119.85,INE285A01027
ELGIRUBCO,17.35,INE819L01012
EMAMILTD,351.05,INE548C01032
EMAMIPAP,67.9,INE830C01026
EMKAY,60.0,INE296H01011
EMMBI,80.2,INE753K01015
ENDURANCE,1135.1,INE913H01037
ENERGYDEV,5.75,INE306C01019
ENGINERSIN,64.5,INE510A01028
ENIL,155.2,INE265F01028
EQ30,329.05,INF754K01EM9
EQUITAS,54.0,INE988K01017
ERIS,539.5,INE406M01024
ESABINDIA,1398.0,INE284A01012
ESCORTS,1283.2,INE042A01014
ESSELPACK,251.0,INE255A01020
ESTER,77.6,INE778B01029
EVEREADY,148.5,INE128A01029
EVERESTIND,203.4,INE295A01018
EXCEL,1.15,INE688J01015
EXCELINDUS,992.0,INE369A01029
EXIDEIND,163.05,INE302A01020
EXPLEOSOL,504.1,INE201K01015
FACT,45.9,INE188A01015
FAIRCHEM,564.7,INE959A01019
FCL,32.6,INE045J01026
FCONSUMER,8.65,INE220J01025
FCSSOFT,0.45,INE512B01022
FDC,349.5,INE258B01022
FEDERALBNK,50.35,INE171A01029
FEL,12.9,INE623B01027
FELDVR,14.7,IN9623B01058
FIEMIND,568.0,INE737H01014
FILATEX,25.25,INE816B01027
FINCABLES,280.4,INE235A01022
FINEORG,2630.0,INE686Y01026
FINPIPE,517.1,INE183A01016
FLFL,89.25,INE452O01016
FLUOROCHEM,498.0,INE09N301011
FMGOETZE,433.55,INE529A01010
FMNL,15.3,INE360L01017
FORCEMOT,1066.3,INE451A01017
FORTIS,135.5,INE061F01013
FOSECOIND,1235.0,INE519A01011
FRETAIL,89.8,INE752P01024
FSC,105.0,INE935Q01015
FSL,72.05,INE684F01012
GABRIEL,105.5,INE524A01029
GAEL,121.5,INE036B01022
GAIL,88.55,INE129A01019
GALAXYSURF,1871.0,INE600K01018
GALLANTT,31.5,INE297H01019
GALLISPAT,27.5,INE528K01029
GAMMNINFRA,0.65,INE181G01025
GANDHITUBE,209.15,INE524B01027
GANECOS,256.95,INE845D01014
GANESHHOUC,27.45,INE460C01014
GANGESSECU,42.15,INE335W01016
GARFIBRES,2096.7,INE276A01018
GATI,57.65,INE152B01027
GAYAPROJ,18.4,INE336H01023
GDL,93.4,INE852F01015
GEECEE,66.1,INE916G01016
GENUSPAPER,5.1,INE949P01018
GENUSPOWER,29.25,INE955D01029
GEOJITFSL,38.9,INE007B01023
GEPIL,429.95,INE878A01011
GESHIP,235.9,INE017A01032
GET&D,90.6,INE200A01026
GFLLIMITED,97.8,INE538A01037
GFSTEELS,2.7,INE534A01028
GHCL,158.2,INE539A01019
GICHSGFIN,95.3,INE289B01019
GICRE,121.7,INE481Y01014
GILLANDERS,28.25,INE047B01011
GILLETTE,5387.95,INE322A01010
GINNIFILA,11.4,INE424C01010
GIPCL,69.5,INE162A01010
GKWLIMITED,510.0,INE528A01020
GLAXO,1565.0,INE159A01016
GLENMARK,490.0,INE935A01035
GLFL,2.6,INE540A01017
GLOBALVECT,49.5,INE792H01019
GLOBUSSPR,282.65,INE615I01010
GMBREW,401.95,INE075D01018
GMDCLTD,42.6,INE131A01031
GMMPFAUDLR,3845.0,INE541A01023
GMRINFRA,23.8,INE776C01039
GNA,226.45,INE934S01014
GNFC,212.55,INE113A01013
GOACARBON,205.0,INE426D01013
GOCLCORP,184.0,INE077F01035
GODFRYPHLP,918.95,INE260B01028
GODREJAGRO,509.5,INE850D01014
GODREJCP,735.5,INE102D01028
GODREJIND,408.5,INE233A01035
GODREJPROP,868.15,INE484J01027
GOKEX,71.8,INE887G01027
GOKUL,12.3,INE020J01029
GOKULAGRO,13.45,INE314T01025
GOLDBEES,44.13,INF204KB17I5
GOLDENTOBC,20.75,INE973A01010
GOLDIAM,126.5,INE025B01017
GOLDSHARE,4565.05,INF789F01059
GOODLUCK,38.55,INE127I01024
GPIL,309.0,INE177H01013
GPPL,82.5,INE517F01014
GPTINFRA,27.35,INE390G01014
GRANULES,386.0,INE101D01020
GRAPHITE,193.1,INE371A01025
GRASIM,751.7,INE047A01021
GRAVITA,51.2,INE024L01027
GREAVESCOT,74.05,INE224A01026
GREENLAM,742.0,INE544R01013
GREENPANEL,51.1,INE08ZM01014
GREENPLY,84.3,INE461C01038
GREENPOWER,1.85,INE999K01014
GRINDWELL,560.25,INE536A01023
GRPLTD,707.0,INE137I01015
GRSE,219.0,INE382Z01011
GSCLCEMENT,27.6,INE542A01039
GSFC,64.45,INE026A01025
GSPL,204.0,INE246F01010
GSS,32.2,INE871H01011
GTL,3.35,INE043A01012
GTLINFRA,0.65,INE221H01019
GTNIND,7.95,INE537A01013
GTNTEX,5.2,INE302H01017
GTPL,87.6,INE869I01013
GUFICBIO,88.5,INE742B01025
GUJALKALI,333.1,INE186A01019
GUJAPOLLO,228.8,INE826C01016
GUJGASLTD,311.05,INE844O01030
GULFOILLUB,642.9,INE635Q01029
GULFPETRO,38.5,INE586G01017
GULPOLY,57.6,INE255D01024
GVKPIL,3.25,INE251H01024
HAL,799.0,INE066F01012
HAPPSTMNDS,342.5,INE419U01012
HARITASEAT,416.05,INE939D01015
HARRMALAYA,94.65,INE544A01019
HATSUN,780.6,INE473B01035
HAVELLS,667.4,INE176B01034
HBANKETF,220.23,INF179KC1AN8
HBLPOWER,16.3,INE292B01021
HBSL,5.55,INE550B01022
HCC,5.25,INE549A01026
HCG,120.25,INE075I01017
HCL-INSYS,8.0,INE236A01020
HCLTECH,813.7,INE860A01027
HDFC,1787.8,INE001A01036
HDFCAMC,2280.0,INE127D01025
HDFCBANK,1108.0,INE040A01034
HDFCLIFE,571.35,INE795G01014
HDFCMFGETF,4511.0,INF179K01CN1
HDFCNIFETF,1200.0,INF179KB1KP3
HDFCSENETF,4101.1,INF179KB1KQ1
HEG,742.55,INE545A01016
HEIDELBERG,187.75,INE578A01017
HERCULES,89.3,INE688E01024
HERITGFOOD,325.0,INE978A01027
HEROMOTOCO,3155.05,INE158A01026
HESTERBIO,1698.0,INE782E01017
HEXAWARE,465.9,INE093A01033
HFCL,15.9,INE548A01028
HGINFRA,185.15,INE926X01010
HGS,705.0,INE170I01016
HIKAL,190.95,INE475B01022
HIL,1720.0,INE557A01011
HILTON,10.1,INE788H01017
HIMATSEIDE,109.8,INE049A01027
HINDALCO,174.55,INE038A01020
HINDCOMPOS,179.4,INE310C01029
HINDCOPPER,33.25,INE531E01026
HINDMOTORS,5.3,INE253A01025
HINDNATGLS,27.0,INE952A01022
HINDOILEXP,70.0,INE345A01011
HINDPETRO,175.3,INE094A01015
HINDUNILVR,2094.0,INE030A01027
HINDZINC,208.2,INE267A01025
HIRECT,124.95,INE835D01023
HISARMETAL,78.05,INE598C01011
HITECH,120.5,INE106T01017
HITECHGEAR,132.05,INE127B01011
HLVLTD,4.9,INE102A01024
HMVL,48.8,INE871K01015
HNDFDS,945.5,INE254N01018
HNGSNGBEES,318.0,INF204KB19I1
HONAUT,32570.0,INE671A01010
HONDAPOWER,1006.5,INE634A01018
HOTELRUGBY,1.55,INE275F01019
HOVS,32.35,INE596H01014
HPL,32.3,INE495S01016
HSCL,53.95,INE019C01026
HSIL,79.4,INE415A01038
HUBTOWN,10.8,INE703H01016
HUDCO,32.85,INE031A01017
IBMFNIFTY,122.49,INF666M01FS5
IBREALEST,52.0,INE069I01010
IBULHSGFIN,156.25,INE148I01020
IBULISL,41.8,INE126M01010
IBVENTURES,265.0,INE274G01010
ICICI500,154.85,INF109KC1CZ3
ICICIALPLV,121.7,INF109KC1N59
ICICIB22,24.5,INF109KB15Y7
ICICIBANK,368.5,INE090A01021
ICICIBANKN,221.63,INF109KC1E27
ICICIBANKP,125.0,INF109KC1E35
ICICIGI,1301.85,INE765G01017
ICICIGOLD,45.07,INF109KC1NT3
ICICILIQ,1000.0,INF109KC1KT9
ICICILOVOL,96.8,INF109KB10T8
ICICIM150,65.3,INF109KC1G82
ICICIMCAP,65.45,INF109KB1XT3
ICICINF100,123.5,INF109KA1962
ICICINIFTY,120.7,INF109K012R6
ICICINV20,58.5,INF109KB1WY5
ICICINXT50,27.68,INF109KC1NS5
ICICIPRULI,424.95,INE726G01019
ICICISENSX,415.0,INF346A01034
ICICITECH,201.0,INF109KC1N67
ICIL,111.75,INE483B01026
ICRA,2811.0,INE725G01011
IDBI,34.7,INE008A01015
IDBIGOLD,4588.95,INF397L01554
IDEA,9.2,INE669E01016
IDFC,31.6,INE043D01016
IDFCFIRSTB,30.25,INE092T01019
IDFNIFTYET,113.4,INF194KA1U07
IEX,205.85,INE022Q01020
IFBAGRO,326.95,INE076C01018
IFBIND,603.0,INE559A01017
IFCI,6.0,INE039A01010
IFGLEXPOR,154.05,INE133Y01011
IGARASHI,290.15,INE188B01013
IGL,400.2,INE203G01027
IGPL,323.0,INE204A01010
IIFL,80.7,INE530B01024
IIFLSEC,39.0,INE489L01022
IIFLWAM,991.0,INE466L01020
IMAGICAA,3.9,INE172N01012
IMFA,226.5,INE919H01018
IMPAL,552.1,INE547E01014
INDBANK,10.0,INE841B01017
INDHOTEL,97.0,INE053A01029
INDIACEM,119.05,INE383A01012
INDIAGLYCO,279.3,INE560A01015
INDIAMART,4985.0,INE933S01016
INDIANB,57.05,INE562A01011
INDIANCARD,98.0,INE061A01014
INDIANHUME,170.4,INE323C01030
INDIGO,1270.6,INE646L01027
INDLMETER,15.2,INE065B01013
INDNIPPON,349.0,INE092B01025
INDOCO,270.4,INE873D01024
INDORAMA,24.35,INE156A01020
INDOSTAR,290.95,INE896L01010
INDOTECH,95.0,INE332H01014
INDOTHAI,17.65,INE337M01013
INDOWIND,2.8,INE227G01018
INDRAMEDCO,49.9,INE681B01017
INDSWFTLAB,51.0,INE915B01019
INDTERRAIN,31.2,INE611L01021
INDUSINDBK,593.0,INE095A01012
INEOSSTYRO,533.35,INE189B01011
INFIBEAM,75.0,INE483S01020
INFOBEAN,171.05,INE344S01016
INFRABEES,319.4,INF732E01268
INFRATEL,178.55,INE121J01017
INFY,1018.7,INE009A01021
INGERRAND,590.05,INE177A01018
INOXLEISUR,287.1,INE312H01016
INOXWIND,39.85,INE066P01011
INSECTICID,481.15,INE070I01018
INSPIRISYS,28.8,INE020G01017
INTELLECT,234.4,INE306R01017
INTENTECH,33.8,INE781A01025
INVENTURE,17.05,INE878H01016
IOB,9.35,INE565A01014
IOC,73.95,INE242A01010
IOLCP,727.05,INE485C01011
IPCALAB,2264.9,INE571A01020
IRB,112.3,INE821I01014
IRCON,80.45,INE962Y01021
IRCTC,1382.0,INE335Y01012
ISEC,462.6,INE763G01038
ISFT,77.5,INE566K01011
ITC,170.9,INE154A01025
ITDC,238.0,INE353K01014
ITDCEM,50.5,INE686A01026
ITI,124.7,INE248A01017
IVP,47.45,INE043C01018
IVZINGOLD,4595.0,INF205K01361
IVZINNIFTY,1239.45,INF205K01DA9
IZMO,35.8,INE848A01014
J&KBANK,15.2,INE168A01041
JAGRAN,37.25,INE199G01027
JAGSNPHARM,37.85,INE048B01027
JAIBALAJI,15.25,INE091G01018
JAICORPLTD,81.8,INE070D01027
JAMNAAUTO,44.5,INE039C01032
JASH,208.0,INE039O01011
JAYAGROGN,93.9,INE785A01026
JAYBARMARU,220.0,INE571B01028
JAYSREETEA,59.5,INE364A01020
JBCHEPHARM,991.0,INE572A01028
JBFIND,7.95,INE187A01017
JBMA,236.0,INE927D01028
JCHAC,2180.0,INE782A01015
JINDALPHOT,12.7,INE796G01012
JINDALPOLY,435.35,INE197D01010
JINDALSAW,63.55,INE324A01024
JINDALSTEL,190.0,INE749A01030
JINDRILL,77.65,INE742C01031
JINDWORLD,48.0,INE247D01039
JISLDVREQS,11.05,IN9175A01010
JISLJALEQS,14.4,INE175A01038
JIYAECO,8.4,INE023S01016
JKCEMENT,1530.0,INE823G01014
JKIL,107.05,INE576I01022
JKLAKSHMI,261.0,INE786A01032
JKPAPER,90.4,INE789E01012
JKTYRE,58.9,INE573A01042
JMA,25.95,INE412C01023
JMCPROJECT,51.15,INE890A01024
JMFINANCIL,76.9,INE780C01023
JMTAUTOLTD,2.85,INE988E01036
JOCIL,164.75,INE839G01010
JPASSOCIAT,3.05,INE455F01025
JPINFRATEC,1.2,INE099J01015
JPOLYINVST,14.0,INE147P01019
JPPOWER,2.4,INE351F01018
JSL,44.5,INE220G01021
JSLHISAR,85.0,INE455T01018
JSWENERGY,56.2,INE121E01018
JSWHL,2303.0,INE824G01012
JSWSTEEL,282.2,INE019A01038
JTEKTINDIA,75.65,INE643A01035
JUBILANT,737.4,INE700A01033
JUBLFOOD,2370.45,INE797F01012
JUBLINDS,128.85,INE645L01011
JUMPNET,95.1,INE974C01022
JUNIORBEES,283.12,INF732E01045
JUSTDIAL,393.9,INE599M01018
JYOTHYLAB,147.75,INE668F01031
KABRAEXTRU,76.5,INE900B01029
KAJARIACER,545.3,INE217B01036
KAKATCEM,149.5,INE437B01014
KALPATPOWR,243.7,INE220B01022
KAMATHOTEL,32.75,INE967C01018
KAMDHENU,68.5,INE390H01012
KANANIIND,3.15,INE879E01037
KANORICHEM,39.55,INE138C01024
KANSAINER,490.0,INE531A01024
KAPSTON,109.5,INE542Z01010
KARMAENG,9.0,INE725L01011
KARURVYSYA,32.75,INE036D01028
KAYA,211.0,INE587G01015
KCP,59.05,INE805C01028
KCPSUGIND,13.95,INE790B01024
KDDL,154.0,INE291D01011
KEC,349.0,INE389H01022
KECL,10.75,INE134B01017
KEI,344.95,INE878B01027
KELLTONTEC,41.0,INE164B01022
KENNAMET,747.0,INE717A01029
KESORAMIND,43.0,INE087A01019
KEYFINSERV,37.15,INE681C01015
KHADIM,114.05,INE834I01025
KHANDSE,9.1,INE060B01014
KICL,1282.1,INE029L01018
KILITCH,82.9,INE729D01010
KINGFA,497.0,INE473D01015
KIOCL,119.9,INE880L01014
KIRIINDUS,512.9,INE415I01015
KIRLFER,90.0,INE884B01025
