+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
|    ALLSEC   |   249.9   | INE835G01018 |
|   ALMONDZ   |   11.45   | INE326B01027 |
|   ALOKINDS  |   22.15   | INE270A01029 |
|     ALPA    |   27.75   | INE385I01010 |
|   ALPHAGEO  |   152.0   | INE137C01018 |
|  ALPSINDUS  |    1.2    | INE093B01015 |
|  AMARAJABAT |   734.65  | INE885A01032 |
|    AMBER    |   1944.0  | INE371P01015 |
|   AMBIKCO   |   649.0   | INE540G01014 |
|  AMBUJACEM  |   206.25  | INE079A01024 |
|    AMDIND   |   15.35   | INE005I01014 |
|   AMJLAND   |    18.0   | INE606A01024 |
|  AMRUTANJAN |   423.35  | INE098F01031 |
|   ANANTRAJ  |    30.3   | INE242C01024 |
|  ANDHRACEMT |    4.8    | INE666E01012 |
|  ANDHRAPAP  |   193.0   | INE435A01028 |
|  ANDHRSUGAR |   303.5   | INE715B01013 |
|   ANIKINDS  |    12.8   | INE087B01017 |
|   ANSALAPI  |    3.65   | INE436A01026 |
|   ANSALHSG  |    3.9    | INE880B01015 |
|     ANUP    |   595.25  | INE294Z01018 |
|   APARINDS  |   289.65  | INE372A01015 |
|     APCL    |   186.0   | INE071F01012 |
|  APCOTEXIND |   140.4   | INE116A01032 |
|     APEX    |   245.0   | INE346W01013 |
|  APLAPOLLO  |   2682.0  | INE702C01019 |
|    APLLTD   |   956.75  | INE901L01018 |
|    APOLLO   |   114.7   | INE713T01010 |
|  APOLLOHOSP |   2035.0  | INE437A01024 |
|  APOLLOPIPE |   385.0   | INE126J01016 |
|  APOLLOTYRE |   119.85  | INE438A01022 |
|  APOLSINHOT |   533.5   | INE451F01024 |
|   APTECHT   |   113.0   | INE266F01018 |
|  ARCHIDPLY  |   24.95   | INE877I01016 |
|   ARCHIES   |   11.75   | INE731A01020 |
|   ARENTERP  |   10.45   | INE610C01014 |
|    ARIES    |    77.2   | INE298I01015 |
|   ARIHANT   |   16.25   | INE413D01011 |
|  ARIHANTSUP |    19.5   | INE643K01018 |
|   ARMANFIN  |   514.05  | INE109C01017 |
|  AROGRANITE |    25.5   | INE210C01013 |
|  ARROWGREEN |    48.9   | INE570D01018 |
|   ARSHIYA   |   12.25   | INE968D01022 |
|  ARSSINFRA  |   12.55   | INE267I01010 |
|  ARTEMISMED |   162.45  | INE025R01013 |
|    ARVIND   |    33.0   | INE034A01011 |
|  ARVINDFASN |   128.5   | INE955V01021 |
|   ARVSMART  |    89.0   | INE034S01021 |
|  ASAHIINDIA |   204.8   | INE439A01020 |
|  ASAHISONG  |   213.0   | INE228I01012 |
|     ASAL    |    20.4   | INE900C01027 |
|   ASALCBR   |   254.85  | INE073G01016 |
|  ASHAPURMIN |    81.8   | INE348A01023 |
|   ASHIANA   |    71.2   | INE365D01021 |
|    ASHOKA   |    65.1   | INE442H01029 |
|   ASHOKLEY  |   76.45   | INE208A01029 |
|  ASIANHOTNR |    56.3   | INE363A01022 |
|  ASIANPAINT |   1924.7  | INE021A01026 |
|  ASIANTILES |   297.95  | INE022I01019 |
|  ASPINWALL  |   129.0   | INE991I01015 |
|    ASTEC    |   1078.0  | INE563J01010 |
|   ASTERDM   |   133.05  | INE914M01019 |
|    ASTRAL   |  1085.15  | INE006I01046 |
|  ASTRAMICRO |   118.0   | INE386C01029 |
|   ASTRAZEN  |   4309.0  | INE203A01020 |
|    ASTRON   |    44.1   | INE646X01014 |
|     ATFL    |   686.95  | INE209A01019 |
|   ATLANTA   |    6.55   | INE285H01022 |
|     ATUL    |   6071.7  | INE100A01010 |
|   ATULAUTO  |   166.3   | INE951D01028 |
|    AUBANK   |   655.05  | INE949L01017 |
|  AURIONPRO  |   69.05   | INE132H01018 |
|  AUROPHARMA |   771.9   | INE406A01037 |
|   AUSOMENT  |    42.8   | INE218C01016 |
|  AUTOAXLES  |   750.0   | INE449A01011 |
|   AUTOIND   |    28.1   | INE718H01014 |
|  AUTOLITIND |    18.9   | INE448A01013 |
|  AVADHSUGAR |   179.05  | INE349W01017 |
|  AVANTIFEED |   496.5   | INE871C01038 |
|    AVTNPL   |    46.0   | INE488D01021 |
|   AXISBANK  |   413.25  | INE238A01034 |
|  AXISCADES  |    51.6   | INE555B01013 |
|   AXISGOLD  |   43.55   | INF846K01W80 |
|  AXISNIFTY  |   114.0   | INF846K01W98 |
|  AYMSYNTEX  |    24.8   | INE193B01039 |
|   BAFNAPH   |   36.15   | INE878I01022 |
|   BAGFILMS  |    2.6    | INE116D01028 |
|  BAJAJ-AUTO |   2961.0  | INE917I01010 |
|   BAJAJCON  |   183.0   | INE933K01021 |
|  BAJAJELEC  |   493.9   | INE193E01025 |
|  BAJAJFINSV |   5783.6  | INE918I01018 |
|  BAJAJHIND  |    4.95   | INE306A01021 |
|  BAJAJHLDNG |   2440.0  | INE118A01012 |
|  BAJFINANCE |   3132.0  | INE296A01024 |
|  BALAJITELE |    70.0   | INE794B01026 |
|  BALAMINES  |   810.0   | INE050E01027 |
|  BALKRISHNA |    13.2   | INE875R01011 |
|  BALKRISIND |   1352.0  | INE787D01026 |
|  BALMLAWRIE |    99.2   | INE164A01016 |
|  BALPHARMA  |   44.95   | INE083D01012 |
|  BALRAMCHIN |   145.0   | INE119A01028 |
|  BANARBEADS |    52.0   | INE655B01011 |
|  BANARISUG  |   1300.5  | INE459A01010 |
|  BANCOINDIA |    87.6   | INE213C01025 |
|  BANDHANBNK |   265.0   | INE545U01014 |
|     BANG    |    17.8   | INE863I01016 |
|  BANKBARODA |   41.75   | INE028A01039 |
|   BANKBEES  |   210.8   | INF204KB15I9 |
|  BANKINDIA  |    40.4   | INE084A01016 |
|   BANSWRAS  |    69.9   | INE629D01012 |
|     BASF    |  1391.95  | INE373A01013 |
|    BASML    |    83.5   | INE186H01014 |
|  BATAINDIA  |   1301.1  | INE176A01028 |
|  BAYERCROP  |  5989.95  | INE462A01022 |
|     BBL     |   688.0   | INE464A01028 |
|     BBTC    |   1300.0  | INE050A01025 |
|     BCG     |    6.45   | INE425B01027 |
|     BCP     |    4.75   | INE905P01028 |
|     BDL     |   297.3   | INE171Z01018 |
|     BEL     |    93.4   | INE263A01024 |
|     BEML    |   600.0   | INE258A01016 |
|     BEPL    |   72.65   | INE922A01025 |
|  BERGEPAINT |   580.1   | INE463A01038 |
|   BFINVEST  |   266.1   | INE878K01010 |
|  BFUTILITIE |   225.9   | INE243D01012 |
|  BGRENERGY  |   33.45   | INE661I01014 |
|   BHAGERIA  |   131.1   | INE354C01027 |
|  BHAGYANGR  |   18.05   | INE458B01036 |
|  BHAGYAPROP |    22.0   | INE363W01018 |
|   BHANDARI  |    1.05   | INE474E01029 |
|  BHARATFORG |   443.3   | INE465A01025 |
|  BHARATGEAR |    45.3   | INE561C01019 |
|  BHARATRAS  |  9124.95  | INE838B01013 |
|  BHARATWIRE |   23.05   | INE316L01019 |
|  BHARTIARTL |   440.0   | INE397D01024 |
|     BHEL    |    30.3   | INE257A01026 |
|  BILENERGY  |    0.8    | INE607L01029 |
|  BINDALAGRO |    12.0   | INE143A01010 |
|    BIOCON   |   428.05  | INE376G01013 |
|  BIRLACABLE |    50.0   | INE800A01015 |
|  BIRLACORPN |   627.0   | INE340A01012 |
|  BIRLAMONEY |   39.05   | INE865C01022 |
|  BIRLATYRE  |   20.45   | INE0AEJ01013 |
|   BKMINDST  |    0.95   | INE831Q01016 |
|   BLISSGVS  |   146.5   | INE416D01022 |
|     BLS     |    82.8   | INE153T01027 |
|   BLUEDART  |   2870.0  | INE233B01017 |
|  BLUESTARCO |   635.45  | INE472A01039 |
|  BODALCHEM  |    67.8   | INE338D01028 |
|  BOMDYEING  |    63.4   | INE032A01023 |
|  BORORENEW  |    71.2   | INE666D01022 |
|   BOSCHLTD  |  12930.0  | INE323A01026 |
|     BPCL    |   374.0   | INE029A01011 |
|     BPL     |    16.7   | INE110A01019 |
|   BRIGADE   |   157.05  | INE791I01019 |
|  BRITANNIA  |  3703.75  | INE216A01030 |
|     BRNL    |   30.25   | INE727S01012 |
|    BROOKS   |   62.25   | INE650L01011 |
|     BSE     |   538.5   | INE118H01025 |
|  BSELINFRA  |    1.05   | INE395A01016 |
|     BSL     |    25.1   | INE594B01012 |
|  BSLGOLDETF |   4585.0  | INF209K01HT2 |
|   BSLNIFTY  |   121.36  | INF209K01IR4 |
|    BSOFT    |   190.9   | INE836A01035 |
|   BURNPUR   |    1.4    | INE817H01014 |
|     BYKE    |    13.6   | INE319B01014 |
|   CADILAHC  |   385.5   | INE010B01027 |
|  CAMLINFINE |   102.15  | INE052I01032 |
|    CANBK    |    87.3   | INE476A01014 |
|  CANFINHOME |   415.75  | INE477A01020 |
|   CANTABIL  |   324.15  | INE068L01016 |
|   CAPACITE  |   118.25  | INE264T01014 |
|  CAPLIPOINT |   552.45  | INE475E01026 |
|   CAPTRUST  |    60.0   | INE707C01018 |
|  CARBORUNIV |   247.85  | INE120A01034 |
|   CAREERP   |   169.0   | INE521J01018 |
|  CARERATING |   357.45  | INE752H01013 |
|  CASTROLIND |   110.0   | INE172A01027 |
|    CCHHL    |    2.9    | INE652F01027 |
|     CCL     |   255.8   | INE421D01022 |
|     CDSL    |   472.9   | INE736A01011 |
|   CEATLTD   |   899.0   | INE482A01020 |
|    CEBBCO   |    16.0   | INE209L01016 |
|  CELEBRITY  |    4.7    | INE185H01016 |
|   CENTENKA  |   171.9   | INE485A01015 |
|   CENTEXT   |    3.4    | INE281A01026 |
|  CENTRALBK  |   16.15   | INE483A01010 |
|   CENTRUM   |    16.1   | INE660C01027 |
|    CENTUM   |   305.2   | INE320B01020 |
|  CENTURYPLY |   165.05  | INE348B01021 |
|  CENTURYTEX |   328.95  | INE055A01016 |
|     CERA    |   2243.0  | INE739E01017 |
|  CEREBRAINT |   29.15   | INE345B01019 |
|     CESC    |   627.55  | INE486A01013 |
|   CESCVENT  |   230.55  | INE425Y01011 |
|     CGCL    |   222.35  | INE180C01026 |
|   CGPOWER   |    22.0   | INE067A01029 |
|    CHALET   |   139.1   | INE427F01016 |
|  CHAMBLFERT |   150.5   | INE085A01013 |
|   CHEMBOND  |   152.9   | INE995D01025 |
|   CHEMFAB   |   138.4   | INE783X01023 |
|  CHENNPETRO |    66.7   | INE178A01016 |
|   CHOLAFIN  |   237.25  | INE121A01024 |
|  CHOLAHLDNG |   398.6   | INE149A01033 |
|  CIGNITITEC |   383.0   | INE675C01017 |
|    CIMMCO   |    19.4   | INE184C01028 |
|   CINELINE  |    26.2   | INE704H01022 |
|    CIPLA    |   771.0   | INE059A01026 |
|   CLNINDIA  |   330.0   | INE492A01029 |
|  CMICABLES  |    33.8   | INE981B01011 |
|  CNOVAPETRO |    5.75   | INE672K01025 |
|  COALINDIA  |   117.4   | INE522F01014 |
|  COCHINSHIP |   317.0   | INE704P01017 |
|   COFORGE   |   2305.0  | INE591G01017 |
|    COLPAL   |   1415.0  | INE259A01022 |
|   COMPINFO  |   14.45   | INE070C01037 |
|  COMPUSOFT  |    7.35   | INE453B01029 |
|    CONCOR   |   376.0   | INE111A01025 |
|   CONFIPET  |   20.75   | INE552D01024 |
|  CONSOFINVT |   31.85   | INE025A01027 |
|  CONTROLPR  |   221.35  | INE663B01015 |
|  CORALFINAC |   20.75   | INE558D01021 |
|  CORDSCABLE |    39.0   | INE792I01017 |
|  COROMANDEL |   779.7   | INE169A01031 |
|  COSMOFILMS |   411.0   | INE757A01017 |
|  COUNCODOS  |    1.1    | INE695B01025 |
|   CPSEETF   |    16.3   | INF457M01133 |
|   CREATIVE  |   116.55  | INE985W01018 |
|  CREDITACC  |   695.45  | INE741K01010 |
|    CREST    |   78.35   | INE559D01011 |
|    CRISIL   |   1719.8  | INE007A01025 |
|   CROMPTON  |   260.7   | INE299U01018 |
|   CSBBANK   |   219.6   | INE679A01013 |
|     CTE     |    23.9   | INE627H01017 |
|     CUB     |   133.3   | INE491A01021 |
|   CUBEXTUB  |    10.9   | INE144D01012 |
|  CUMMINSIND |   446.15  | INE298A01020 |
|    CUPID    |   211.55  | INE509F01011 |
|  CYBERTECH  |    63.0   | INE214A01019 |
|    CYIENT   |   384.1   | INE136B01020 |
|    DAAWAT   |   50.65   | INE818H01020 |
|    DABUR    |   492.8   | INE016A01026 |
|  DALBHARAT  |   752.0   | INE00R701025 |
|  DALMIASUG  |   124.1   | INE495A01022 |
|  DAMODARIND |    24.0   | INE497D01022 |
|  DATAMATICS |    75.8   | INE365B01017 |
|    DBCORP   |    76.2   | INE950I01011 |
|     DBL     |   341.0   | INE917M01012 |
|   DBREALTY  |    6.7    | INE879I01012 |
|  DBSTOCKBRO |    9.3    | INE921B01025 |
|     DCAL    |   152.55  | INE385W01011 |
|   DCBBANK   |   81.35   | INE503A01015 |
|     DCM     |    19.4   | INE498A01018 |
|    DCMNVL   |    25.0   | INE08KP01019 |
|  DCMSHRIRAM |   364.0   | INE499A01024 |
|     DCW     |    15.3   | INE500A01029 |
|   DECCANCE  |   273.0   | INE583C01021 |
|  DEEPAKFERT |   149.25  | INE501A01019 |
|  DEEPAKNTR  |   799.65  | INE288B01029 |
|   DEEPIND   |    69.9   | INE677H01012 |
|  DELTACORP  |   104.3   | INE124G01033 |
|  DELTAMAGNT |    18.0   | INE393A01011 |
|     DEN     |    67.0   | INE947J01015 |
|    DENORA   |   208.1   | INE244A01016 |
|   DFMFOODS  |   344.4   | INE456C01020 |
|  DHAMPURSUG |   132.95  | INE041A01016 |
|   DHANBANK  |   12.55   | INE680A01011 |
|   DHANUKA   |   746.0   | INE435G01025 |
|  DHARSUGAR  |    4.7    | INE988C01014 |
|     DHFL    |    12.9   | INE202B01012 |
|   DHUNINV   |   213.0   | INE320L01011 |
|  DIAMONDYD  |   625.0   | INE393P01035 |
|    DICIND   |   379.7   | INE303A01010 |
|  DIGISPICE  |    7.9    | INE927C01020 |
|    DISHTV   |   12.65   | INE836F01026 |
|   DIVISLAB  |   3051.0  | INE361B01024 |
|    DIXON    |   8870.0  | INE935N01012 |
|     DLF     |   151.0   | INE271C01023 |
|  DLINKINDIA |   102.25  | INE250K01012 |
|    DMART    |   2110.9  | INE192R01011 |
|   DNAMEDIA  |    0.55   | INE016M01021 |
|    DOLAT    |   47.95   | INE966A01022 |
|    DOLLAR   |   133.95  | INE325C01035 |
|    DONEAR   |   26.15   | INE668D01028 |
|   DPSCLTD   |    13.2   | INE360C01024 |
|   DPWIRES   |    57.7   | INE864X01013 |
|     DQE     |    1.3    | INE656K01010 |
|  DREDGECORP |   259.7   | INE506A01018 |
|   DRREDDY   |   5118.0  | INE089A01023 |
|     DSSL    |    29.2   | INE417B01040 |
|     DTIL    |   237.5   | INE341R01014 |
|    DUCON    |    3.95   | INE741L01018 |
|   DWARKESH  |   26.25   | INE366A01041 |
|  DYNAMATECH |   710.25  | INE221B01012 |
|    DYNPRO   |   260.0   | INE256H01015 |
|   EASTSILK  |    1.15   | INE962C01027 |
|    EBANK    |  2349.85  | INF754K01EL1 |
|  EBBETF0423 |   1082.8  | INF754K01KN4 |
|  EBBETF0425 |   994.1   | INF754K01LD3 |
|  EBBETF0430 |  1100.99  | INF754K01KO2 |
|  EBBETF0431 |   990.55  | INF754K01LE1 |
|  EBIXFOREX  |   438.0   | INE726L01019 |
|    ECLERX   |   709.6   | INE738I01010 |
|  EDELWEISS  |    58.7   | INE532F01054 |
|  EICHERMOT  |   2113.8  | INE066A01021 |
|   EIDPARRY  |   278.3   | INE126A01031 |
|  EIHAHOTELS |   225.5   | INE276C01014 |
|   EIHOTEL   |    77.9   | INE230A01023 |
|  EIMCOELECO |   326.0   | INE158B01016 |
|    ELECON   |    26.0   | INE205B01023 |
|  ELECTCAST  |   17.85   | INE086A01029 |
|  ELECTHERM  |   101.35  | INE822G01016 |
|  ELGIEQUIP  |   124.0   | INE285A01027 |
|  ELGIRUBCO  |    17.3   | INE819L01012 |
|   EMAMILTD  |   352.0   | INE548C01032 |
|   EMAMIPAP  |    66.2   | INE830C01026 |
|    EMKAY    |   53.15   | INE296H01011 |
|    EMMBI    |    81.4   | INE753K01015 |
|  ENDURANCE  |   1051.0  | INE913H01037 |
|  ENERGYDEV  |    5.35   | INE306C01019 |
|  ENGINERSIN |    64.3   | INE510A01028 |
|     ENIL    |   152.35  | INE265F01028 |
|     EQ30    |   340.0   | INF754K01EM9 |
|   EQUITAS   |   52.25   | INE988K01017 |
|     ERIS    |   537.0   | INE406M01024 |
|  ESABINDIA  |   1355.0  | INE284A01012 |
|   ESCORTS   |   1200.0  | INE042A01014 |
|  ESSELPACK  |   248.6   | INE255A01020 |
|    ESTER    |    73.7   | INE778B01029 |
|  EUROTEXIND |    8.4    | INE022C01012 |
|   EVEREADY  |   137.0   | INE128A01029 |
|  EVERESTIND |   202.0   | INE295A01018 |
|    EXCEL    |    1.15   | INE688J01015 |
|  EXCELINDUS |   941.5   | INE369A01029 |
|   EXIDEIND  |   163.8   | INE302A01020 |
|  EXPLEOSOL  |   503.15  | INE201K01015 |
|     FACT    |    42.9   | INE188A01015 |
|   FAIRCHEM  |   542.0   | INE959A01019 |
|     FCL     |   31.85   | INE045J01026 |
|  FCONSUMER  |    8.25   | INE220J01025 |
|   FCSSOFT   |    0.45   | INE512B01022 |
|     FDC     |   334.0   | INE258B01022 |
|  FEDERALBNK |    47.7   | INE171A01029 |
|     FEL     |   12.25   | INE623B01027 |
|    FELDVR   |   14.05   | IN9623B01058 |
|   FIEMIND   |   572.0   | INE737H01014 |
|   FILATEX   |    25.3   | INE816B01027 |
|  FINCABLES  |   278.0   | INE235A01022 |
|   FINEORG   |   2653.0  | INE686Y01026 |
|   FINPIPE   |   500.0   | INE183A01016 |
|     FLFL    |    88.5   | INE452O01016 |
|  FLUOROCHEM |   496.2   | INE09N301011 |
|   FMGOETZE  |   345.05  | INE529A01010 |
|     FMNL    |    18.0   | INE360L01017 |
|   FORCEMOT  |   1058.8  | INE451A01017 |
|    FORTIS   |   137.1   | INE061F01013 |
|  FOSECOIND  |   1225.0  | INE519A01011 |
|   FRETAIL   |    86.5   | INE752P01024 |
|     FSC     |   104.7   | INE935Q01015 |
|     FSL     |   72.25   | INE684F01012 |
|   GABRIEL   |   105.05  | INE524A01029 |
|     GAEL    |   214.6   | INE036B01022 |
|     GAIL    |    85.4   | INE129A01019 |
|  GALAXYSURF |   1820.0  | INE600K01018 |
|   GALLANTT  |    33.0   | INE297H01019 |
|  GALLISPAT  |   27.15   | INE528K01029 |
|  GAMMNINFRA |    0.65   | INE181G01025 |
|  GANDHITUBE |   200.0   | INE524B01027 |
|   GANECOS   |   256.1   | INE845D01014 |
|  GANESHHOUC |    27.4   | INE460C01014 |
|  GANGESSECU |   39.25   | INE335W01016 |
|  GARFIBRES  |   1980.0  | INE276A01018 |
|     GATI    |    47.8   | INE152B01027 |
|   GAYAPROJ  |    17.5   | INE336H01023 |
|     GDL     |   87.65   | INE852F01015 |
|    GEECEE   |    64.1   | INE916G01016 |
|  GENUSPAPER |    5.0    | INE949P01018 |
|  GENUSPOWER |    26.2   | INE955D01029 |
|  GEOJITFSL  |    39.1   | INE007B01023 |
|    GEPIL    |   424.3   | INE878A01011 |
|    GESHIP   |   242.0   | INE017A01032 |
|    GET&D    |   84.35   | INE200A01026 |
|  GFLLIMITED |    80.5   | INE538A01037 |
|   GFSTEELS  |    2.65   | INE534A01028 |
|     GHCL    |   159.0   | INE539A01019 |
|  GICHSGFIN  |    93.4   | INE289B01019 |
|    GICRE    |   124.45  | INE481Y01014 |
|  GILLANDERS |   27.45   | INE047B01011 |
|   GILLETTE  |   5399.0  | INE322A01010 |
|  GINNIFILA  |   10.95   | INE424C01010 |
|    GIPCL    |    69.9   | INE162A01010 |
|  GKWLIMITED |   495.0   | INE528A01020 |
|    GLAXO    |   1542.0  | INE159A01016 |
|   GLENMARK  |   481.85  | INE935A01035 |
|     GLFL    |    2.8    | INE540A01017 |
|  GLOBALVECT |    50.4   | INE792H01019 |
|  GLOBUSSPR  |   284.95  | INE615I01010 |
|    GMBREW   |   381.1   | INE075D01018 |
|   GMDCLTD   |    42.4   | INE131A01031 |
|  GMMPFAUDLR |   3803.6  | INE541A01023 |
|   GMRINFRA  |    23.4   | INE776C01039 |
|     GNA     |   218.5   | INE934S01014 |
|     GNFC    |   209.9   | INE113A01013 |
|  GOACARBON  |   199.95  | INE426D01013 |
|   GOCLCORP  |   184.0   | INE077F01035 |
|  GODFRYPHLP |   923.0   | INE260B01028 |
|  GODREJAGRO |   497.0   | INE850D01014 |
|   GODREJCP  |   699.5   | INE102D01028 |
|  GODREJIND  |   401.0   | INE233A01035 |
|  GODREJPROP |   851.5   | INE484J01027 |
|    GOKEX    |    58.0   | INE887G01027 |
|    GOKUL    |    14.1   | INE020J01029 |
|  GOKULAGRO  |    14.1   | INE314T01025 |
|   GOLDBEES  |   43.59   | INF204KB17I5 |
|  GOLDENTOBC |   20.85   | INE973A01010 |
|   GOLDIAM   |   128.15  | INE025B01017 |
|  GOLDSHARE  |   4535.0  | INF789F01059 |
|   GOODLUCK  |   38.05   | INE127I01024 |
|     GPIL    |   282.1   | INE177H01013 |
|     GPPL    |    83.6   | INE517F01014 |
|   GPTINFRA  |    27.9   | INE390G01014 |
|   GRANULES  |   378.0   | INE101D01020 |
|   GRAPHITE  |   183.7   | INE371A01025 |
|    GRASIM   |   706.95  | INE047A01021 |
|   GRAVITA   |    48.3   | INE024L01027 |
|  GREAVESCOT |    72.6   | INE224A01026 |
|   GREENLAM  |   720.0   | INE544R01013 |
|  GREENPANEL |    45.2   | INE08ZM01014 |
|   GREENPLY  |    84.8   | INE461C01038 |
|  GREENPOWER |    1.75   | INE999K01014 |
|  GRINDWELL  |   525.0   | INE536A01023 |
|    GRPLTD   |   707.5   | INE137I01015 |
|     GRSE    |   173.1   | INE382Z01011 |
|  GSCLCEMENT |   26.85   | INE542A01039 |
|     GSFC    |    60.0   | INE026A01025 |
|     GSPL    |   195.55  | INE246F01010 |
|     GSS     |   29.05   | INE871H01011 |
|     GTL     |    2.85   | INE043A01012 |
|   GTLINFRA  |    0.7    | INE221H01019 |
|    GTNIND   |    7.7    | INE537A01013 |
|    GTNTEX   |    5.0    | INE302H01017 |
|     GTPL    |   86.95   | INE869I01013 |
|   GUFICBIO  |    80.9   | INE742B01025 |
|  GUJALKALI  |   326.9   | INE186A01019 |
|  GUJAPOLLO  |   202.55  | INE826C01016 |
|  GUJGASLTD  |   296.65  | INE844O01030 |
|  GULFOILLUB |   640.05  | INE635Q01029 |
|  GULFPETRO  |   37.45   | INE586G01017 |
|   GULPOLY   |    52.9   | INE255D01024 |
|    GVKPIL   |    3.0    | INE251H01024 |
|     HAL     |   764.05  | INE066F01012 |
|  HAPPSTMNDS |   363.4   | INE419U01012 |
|  HARITASEAT |   413.65  | INE939D01015 |
|  HARRMALAYA |   86.25   | INE544A01019 |
|    HATSUN   |   757.0   | INE473B01035 |
|   HAVELLS   |   657.5   | INE176B01034 |
|   HBANKETF  |   209.95  | INF179KC1AN8 |
|   HBLPOWER  |   16.55   | INE292B01021 |
|     HBSL    |    5.55   | INE550B01022 |
|     HCC     |    5.45   | INE549A01026 |
|     HCG     |   118.0   | INE075I01017 |
|  HCL-INSYS  |    7.6    | INE236A01020 |
|   HCLTECH   |   830.1   | INE860A01027 |
|     HDFC    |  1652.75  | INE001A01036 |
|   HDFCAMC   |   2111.0  | INE127D01025 |
|   HDFCBANK  |  1042.55  | INE040A01034 |
|   HDFCLIFE  |   578.0   | INE795G01014 |
|  HDFCMFGETF |   4565.0  | INF179K01CN1 |
|  HDFCNIFETF |  1162.15  | INF179KB1KP3 |
|  HDFCSENETF |   3989.0  | INF179KB1KQ1 |
|     HEG     |   768.8   | INE545A01016 |
|  HEIDELBERG |   177.6   | INE578A01017 |
|   HERCULES  |    90.7   | INE688E01024 |
|  HERITGFOOD |   320.5   | INE978A01027 |
|  HEROMOTOCO |   2999.9  | INE158A01026 |
|  HESTERBIO  |   1736.0  | INE782E01017 |
|   HEXAWARE  |   468.1   | INE093A01033 |
|     HFCL    |   14.85   | INE548A01028 |
|   HGINFRA   |   187.7   | INE926X01010 |
|     HGS     |   702.0   | INE170I01016 |
|    HIKAL    |   173.6   | INE475B01022 |
|     HIL     |   1600.0  | INE557A01011 |
|    HILTON   |    9.75   | INE788H01017 |
|  HIMATSEIDE |    80.5   | INE049A01027 |
|   HINDALCO  |   161.6   | INE038A01020 |
|  HINDCOMPOS |   181.15  | INE310C01029 |
|  HINDCOPPER |    34.0   | INE531E01026 |
|  HINDMOTORS |    5.1    | INE253A01025 |
