ftwhl_ticker,ftwhl_high,ftwhl_high_dt,ftwhl_low,ftwhl_low_dt
FORTIS,169.0,07-FEB-2020,113.1,26-MAY-2020
FOSECOIND,1630.0,29-JAN-2020,820.0,23-MAR-2020
FRETAIL,404.0,27-OCT-2019,60.7,09-APR-2020
FSC,541.0,30-SEP-2019,81.0,09-APR-2020
FSL,78.4,23-SEP-2020,20.1,24-MAR-2020
GABRIEL,137.0,06-NOV-2019,39.5,25-MAR-2020
GAEL,222.0,16-SEP-2020,84.95,23-MAR-2020
GAIL,139.75,04-NOV-2019,65.0,13-MAR-2020
GALAXYSURF,2039.85,14-SEP-2020,1027.55,19-MAR-2020
GALLANTT,40.8,24-JUN-2020,17.2,23-MAR-2020
GALLISPAT,35.8,25-JUN-2020,16.25,13-MAR-2020
GAMMNINFRA,1.15,02-JUL-2020,0.2,08-APR-2020
GANDHITUBE,338.0,27-SEP-2019,140.0,24-MAR-2020
GANECOS,383.0,20-FEB-2020,141.1,25-MAR-2020
GANESHHOUC,49.85,13-JAN-2020,17.35,31-MAR-2020
GANGESSECU,47.0,20-JAN-2020,19.45,03-APR-2020
GARFIBRES,2047.0,08-SEP-2020,885.0,23-MAR-2020
GATI,71.9,28-JAN-2020,35.25,12-MAY-2020
GAYAPROJ,133.1,29-OCT-2019,7.75,31-MAR-2020
GDL,139.12,29-JAN-2020,69.61,24-MAR-2020
GEECEE,101.85,01-NOV-2019,40.1,23-MAR-2020
GENUSPAPER,7.25,01-OCT-2019,2.7,24-MAR-2020
GENUSPOWER,31.5,04-FEB-2020,12.5,25-MAR-2020
GEOJITFSL,45.75,31-AUG-2020,14.9,24-MAR-2020
GEPIL,851.25,27-SEP-2019,365.15,18-MAY-2020
GESHIP,369.4,17-JAN-2020,162.0,13-MAR-2020
GET&D,214.4,30-OCT-2019,58.0,01-JUN-2020
GFLLIMITED,163.5,10-FEB-2020,59.0,25-NOV-2019
GFSTEELS,7.6,23-OCT-2019,1.2,09-APR-2020
GHCL,227.0,27-SEP-2019,69.05,25-MAR-2020
GICHSGFIN,182.0,01-NOV-2019,51.1,25-MAR-2020
GICRE,334.05,31-OCT-2019,81.5,25-MAR-2020
GILLANDERS,36.0,24-JAN-2020,15.95,24-MAR-2020
GILLETTE,8140.0,31-OCT-2019,4450.0,24-MAR-2020
GINNIFILA,16.65,29-JUN-2020,5.05,19-MAR-2020
GIPCL,86.9,27-JAN-2020,44.25,23-MAR-2020
GKWLIMITED,815.95,04-OCT-2019,368.75,26-MAR-2020
GLAXO,1807.5,15-SEP-2020,962.65,13-MAR-2020
GLENMARK,573.05,22-JUN-2020,161.65,13-MAR-2020
GLFL,2.8,25-SEP-2020,0.4,13-FEB-2020
GLOBALVECT,69.6,27-JAN-2020,28.95,26-MAR-2020
GLOBUSSPR,300.0,24-SEP-2020,60.75,24-MAR-2020
GMBREW,470.0,12-FEB-2020,221.05,23-MAR-2020
GMDCLTD,72.5,16-JAN-2020,29.1,23-MAR-2020
GMMPFAUDLR,6900.0,12-AUG-2020,1316.2,07-OCT-2019
GMRINFRA,28.25,28-AUG-2020,14.1,13-MAR-2020
GNA,324.85,17-JAN-2020,126.15,23-MAR-2020
GNFC,232.5,25-AUG-2020,95.55,25-MAR-2020
GOACARBON,375.15,27-JAN-2020,108.6,26-MAR-2020
GOCLCORP,319.9,27-SEP-2019,107.95,25-MAR-2020
GODFRYPHLP,1481.75,21-JAN-2020,732.0,25-MAR-2020
GODREJAGRO,598.0,28-JAN-2020,265.05,24-MAR-2020
GODREJCP,772.0,16-JAN-2020,425.1,23-MAR-2020
GODREJIND,479.0,02-SEP-2020,233.4,07-MAY-2020
GODREJPROP,1189.25,05-FEB-2020,505.0,24-MAR-2020
GOKEX,94.5,04-NOV-2019,27.8,28-APR-2020
GOKUL,19.6,06-JUL-2020,7.5,30-MAR-2020
GOKULAGRO,19.15,24-JUN-2020,7.6,24-MAR-2020
GOLDBEES,51.5,27-AUG-2020,30.1,19-DEC-2019
GOLDENTOBC,40.95,15-NOV-2019,18.6,27-MAR-2020
GOLDIAM,184.8,27-FEB-2020,72.2,25-MAR-2020
GOLDSHARE,5374.8,07-AUG-2020,3292.3,01-OCT-2019
GOODLUCK,68.0,20-JAN-2020,20.65,24-MAR-2020
GPIL,355.0,27-AUG-2020,80.5,25-MAR-2020
GPPL,99.4,06-FEB-2020,45.5,24-MAR-2020
GPTINFRA,48.75,23-OCT-2019,11.75,25-MAR-2020
GRANULES,395.0,25-SEP-2020,95.0,17-OCT-2019
GRAPHITE,348.8,26-SEP-2019,103.0,25-MAR-2020
GRASIM,836.9,27-JAN-2020,385.05,25-MAR-2020
GRAVITA,69.7,19-FEB-2020,30.2,22-APR-2020
GREAVESCOT,149.3,27-SEP-2019,66.05,03-APR-2020
GREENLAM,1049.0,11-NOV-2019,441.9,25-MAR-2020
GREENPANEL,61.1,05-FEB-2020,24.0,20-MAY-2020
GREENPLY,194.9,27-SEP-2019,72.9,25-MAR-2020
GREENPOWER,3.45,16-JUN-2020,1.2,25-MAR-2020
GRINDWELL,698.0,05-FEB-2020,373.55,23-MAR-2020
GRPLTD,1099.0,17-JAN-2020,462.5,23-MAR-2020
GRSE,249.0,04-NOV-2019,102.0,13-MAR-2020
GSCLCEMENT,35.0,07-JUL-2020,12.5,25-MAR-2020
GSFC,97.8,28-JAN-2020,29.8,24-MAR-2020
GSPL,263.8,29-JAN-2020,146.15,25-MAR-2020
GSS,50.95,31-JAN-2020,18.5,03-APR-2020
GTL,2.85,25-SEP-2020,0.9,26-MAR-2020
GTLINFRA,1.35,02-JUL-2020,0.15,24-MAR-2020
GTNIND,12.5,01-JUL-2020,4.9,31-MAR-2020
GTPL,110.95,18-AUG-2020,32.35,25-MAR-2020
GUFICBIO,104.9,03-AUG-2020,37.0,23-MAR-2020
GUJALKALI,481.0,31-OCT-2019,180.1,23-MAR-2020
GUJAPOLLO,248.7,18-SEP-2020,95.0,13-MAR-2020
GUJGASLTD,334.4,14-AUG-2020,167.6,03-OCT-2019
GULFOILLUB,904.85,05-NOV-2019,455.0,23-MAR-2020
GULFPETRO,59.8,27-JAN-2020,24.45,13-MAR-2020
GULPOLY,69.8,11-SEP-2020,19.6,31-MAR-2020
GVKPIL,5.55,06-NOV-2019,2.0,25-MAR-2020
HAL,1423.0,14-AUG-2020,470.0,25-MAR-2020
HAPPSTMNDS,394.95,17-SEP-2020,330.3,21-SEP-2020
HARITASEAT,533.85,31-JAN-2020,285.6,25-MAR-2020
HARRMALAYA,108.35,21-AUG-2020,44.0,13-MAR-2020
HATSUN,878.0,15-SEP-2020,380.0,24-MAR-2020
HAVELLS,738.6,26-SEP-2019,447.05,20-MAY-2020
HBANKETF,250.1,31-AUG-2020,205.15,25-SEP-2020
HBLPOWER,20.4,27-SEP-2019,9.3,25-MAR-2020
HCC,13.3,27-NOV-2019,3.6,26-MAR-2020
HCG,139.5,10-AUG-2020,62.05,15-APR-2020
HCL-INSYS,12.25,03-JUL-2020,3.2,26-MAR-2020
HCLTECH,849.9,21-SEP-2020,375.25,19-MAR-2020
HDFC,2499.9,14-JAN-2020,1473.45,24-MAR-2020
HDFCAMC,3844.0,22-NOV-2019,1962.0,25-MAR-2020
HDFCBANK,1305.5,19-DEC-2019,738.75,24-MAR-2020
HDFCLIFE,647.6,28-JUL-2020,340.0,23-MAR-2020
HDFCMFGETF,5338.5,28-JUL-2020,3337.05,01-OCT-2019
HDFCNIFETF,1349.0,05-FEB-2020,850.0,23-MAR-2020
HDFCSENETF,4966.0,01-FEB-2020,2940.0,19-MAR-2020
HEG,1299.95,10-FEB-2020,409.6,25-MAR-2020
HEIDELBERG,217.75,27-FEB-2020,122.0,25-MAR-2020
HERCULES,110.7,04-NOV-2019,46.0,30-MAR-2020
HERITGFOOD,407.95,20-FEB-2020,145.5,25-MAR-2020
HEROMOTOCO,3181.35,26-AUG-2020,1475.0,24-MAR-2020
HESTERBIO,1900.0,24-SEP-2020,864.0,23-MAR-2020
HEXAWARE,468.9,23-SEP-2020,202.25,23-MAR-2020
HFCL,20.05,02-DEC-2019,8.1,24-MAR-2020
HGINFRA,294.9,23-JAN-2020,126.35,24-MAR-2020
HGS,1009.9,11-FEB-2020,412.0,24-MAR-2020
HIKAL,195.0,18-SEP-2020,56.9,25-MAR-2020
HIL,1879.0,27-AUG-2020,518.3,24-MAR-2020
HILTON,18.75,19-NOV-2019,6.2,18-OCT-2019
HIMATSEIDE,165.5,24-OCT-2019,42.95,25-MAR-2020
HINDALCO,221.2,02-JAN-2020,84.9,23-MAR-2020
HINDCOMPOS,253.8,20-JAN-2020,94.95,24-MAR-2020
HINDCOPPER,51.0,03-JAN-2020,18.25,24-MAR-2020
HINDMOTORS,8.2,09-JUN-2020,2.6,24-MAR-2020
HINDNATGLS,48.3,10-JUN-2020,23.5,13-DEC-2019
HINDOILEXP,109.5,17-JAN-2020,31.0,25-MAR-2020
HINDPETRO,328.75,04-OCT-2019,150.0,13-MAR-2020
HINDUNILVR,2614.3,08-APR-2020,1757.3,19-MAR-2020
HINDZINC,258.95,11-AUG-2020,116.05,13-MAR-2020
HIRECT,269.0,06-FEB-2020,89.0,25-MAR-2020
HISARMETAL,87.0,17-SEP-2020,35.2,23-MAR-2020
HITECH,201.0,10-FEB-2020,65.3,26-MAR-2020
HITECHGEAR,220.05,04-NOV-2019,63.1,25-MAR-2020
HLVLTD,6.3,17-JUN-2020,2.9,26-MAR-2020
HMVL,91.0,04-NOV-2019,35.0,31-MAR-2020
HNDFDS,990.0,17-SEP-2020,380.0,20-MAR-2020
HNGSNGBEES,391.6,24-JAN-2020,278.9,19-MAR-2020
HONAUT,39524.9,12-FEB-2020,20148.6,23-MAR-2020
HONDAPOWER,1358.9,08-NOV-2019,726.0,23-MAR-2020
HOTELRUGBY,1.95,03-JUL-2020,0.9,05-JUN-2020
HOVS,80.0,26-SEP-2019,22.15,31-MAR-2020
HPL,49.5,15-JAN-2020,18.35,13-MAR-2020
HSCL,90.15,27-SEP-2019,27.2,24-MAR-2020
HSIL,83.5,25-SEP-2020,32.7,25-MAR-2020
HUBTOWN,18.75,02-DEC-2019,7.0,20-MAR-2020
HUDCO,45.8,14-NOV-2019,18.0,24-MAR-2020
IBMFNIFTY,141.0,03-SEP-2020,68.09,23-MAR-2020
IBREALEST,113.0,29-JAN-2020,36.8,26-MAR-2020
IBULHSGFIN,436.65,26-SEP-2019,81.0,20-MAR-2020
IBULISL,150.5,27-SEP-2019,31.0,27-MAY-2020
IBVENTURES,240.95,27-AUG-2020,63.5,27-MAY-2020
ICICI500,179.0,28-FEB-2020,88.02,25-MAR-2020
ICICIALPLV,140.0,19-AUG-2020,99.9,18-SEP-2020
ICICIB22,36.8,04-NOV-2019,20.7,21-APR-2020
ICICIBANK,552.2,30-DEC-2019,268.3,24-MAR-2020
ICICIBANKN,374.2,16-DEC-2019,164.32,24-MAR-2020
ICICIBANKP,188.0,03-MAR-2020,85.95,23-MAR-2020
ICICIGI,1440.4,26-DEC-2019,805.0,19-MAR-2020
ICICIGOLD,54.1,10-AUG-2020,30.2,30-SEP-2019
ICICILIQ,1200.0,13-NOV-2019,805.95,20-MAY-2020
ICICILOVOL,114.0,25-AUG-2020,61.0,18-MAR-2020
ICICIM150,75.0,27-FEB-2020,45.1,03-APR-2020
ICICIMCAP,73.6,27-AUG-2020,37.6,23-MAR-2020
ICICINF100,150.0,04-DEC-2019,90.1,30-APR-2020
ICICINIFTY,141.0,30-DEC-2019,81.31,23-MAR-2020
ICICINV20,63.36,31-AUG-2020,32.89,23-MAR-2020
ICICINXT50,32.77,10-FEB-2020,17.0,23-MAR-2020
ICICIPRULI,537.3,13-NOV-2019,226.1,24-MAR-2020
ICICISENSX,515.0,05-DEC-2019,290.0,23-MAR-2020
ICICITECH,234.5,18-SEP-2020,176.05,08-SEP-2020
ICIL,105.0,21-SEP-2020,22.1,26-MAR-2020
ICRA,3224.0,31-DEC-2019,1950.0,23-MAR-2020
IDBI,56.2,07-JUL-2020,17.25,13-MAR-2020
IDBIGOLD,5899.0,04-AUG-2020,3420.0,01-OCT-2019
IDEA,13.5,04-SEP-2020,2.4,15-NOV-2019
IDFC,40.5,16-JAN-2020,13.25,24-MAR-2020
IDFCFIRSTB,47.95,29-NOV-2019,17.65,24-MAR-2020
IDFNIFTYET,133.0,01-FEB-2020,86.0,30-MAR-2020
IEX,219.3,16-SEP-2020,116.0,25-MAR-2020
IFBAGRO,477.7,03-JAN-2020,144.0,24-MAR-2020
IFBIND,805.0,31-OCT-2019,219.15,24-MAR-2020
IFCI,9.35,04-NOV-2019,3.1,23-MAR-2020
IFGLEXPOR,192.8,25-AUG-2020,69.05,24-MAR-2020
IGARASHI,416.4,27-DEC-2019,149.55,03-APR-2020
IGL,534.2,07-FEB-2020,284.05,19-MAR-2020
IGPL,310.0,24-SEP-2020,81.2,24-MAR-2020
IIFL,212.9,14-FEB-2020,58.15,03-JUN-2020
IIFLSEC,62.6,14-FEB-2020,19.05,15-OCT-2019
IIFLWAM,1663.95,19-FEB-2020,720.0,24-MAR-2020
IMAGICAA,6.45,29-JUN-2020,1.85,23-OCT-2019
IMFA,283.4,03-SEP-2020,91.95,25-MAR-2020
IMPAL,752.33,22-OCT-2019,366.75,16-MAR-2020
INDBANK,16.0,24-AUG-2020,4.35,31-MAR-2020
INDHOTEL,161.9,30-SEP-2019,62.1,18-MAY-2020
INDIACEM,140.0,26-MAY-2020,69.5,31-DEC-2019
INDIAGLYCO,396.4,24-FEB-2020,175.3,24-MAR-2020
INDIAMART,5299.45,25-SEP-2020,1641.05,25-MAR-2020
INDIANB,148.7,23-OCT-2019,41.55,25-MAR-2020
INDIANCARD,136.3,27-JAN-2020,79.0,21-MAY-2020
INDIANHUME,296.4,26-SEP-2019,112.3,25-MAR-2020
INDIGO,1898.85,30-SEP-2019,771.3,24-MAR-2020
INDLMETER,26.7,13-JAN-2020,9.25,03-APR-2020
INDNIPPON,471.8,10-JAN-2020,167.15,31-MAR-2020
INDOCO,296.0,17-SEP-2020,132.45,11-OCT-2019
INDORAMA,33.2,01-NOV-2019,8.25,25-MAR-2020
INDOSTAR,331.2,26-AUG-2020,166.0,11-DEC-2019
INDOTECH,145.0,15-NOV-2019,68.3,27-MAY-2020
INDOTHAI,34.05,24-JAN-2020,12.4,20-MAY-2020
INDOWIND,4.6,10-JAN-2020,1.75,01-APR-2020
INDRAMEDCO,65.0,24-JUN-2020,28.0,24-MAR-2020
INDSWFTLAB,47.3,23-SEP-2020,15.0,06-MAR-2020
INDTERRAIN,88.3,26-SEP-2019,23.15,31-MAR-2020
INDUSINDBK,1596.55,02-DEC-2019,235.55,24-MAR-2020
INEOSSTYRO,909.0,08-JUL-2020,463.0,24-MAR-2020
INFIBEAM,83.95,16-SEP-2020,26.4,25-MAR-2020
INFOBEAN,154.8,25-SEP-2020,55.5,25-MAR-2020
INFRABEES,374.2,02-SEP-2020,210.0,25-MAR-2020
INFRATEL,296.5,02-DEC-2019,120.05,19-MAR-2020
INFY,1037.0,23-SEP-2020,509.25,19-MAR-2020
INGERRAND,729.85,20-NOV-2019,585.85,25-SEP-2020
INOXLEISUR,511.8,25-FEB-2020,158.4,19-MAY-2020
INOXWIND,52.0,04-SEP-2020,16.0,30-MAR-2020
INSECTICID,629.4,26-SEP-2019,206.4,24-MAR-2020
INSPIRISYS,51.8,26-SEP-2019,16.45,24-MAR-2020
INTELLECT,223.7,18-SEP-2020,43.8,25-MAR-2020
INTENTECH,52.25,21-AUG-2020,10.15,26-MAR-2020
INVENTURE,20.25,31-AUG-2020,7.95,13-MAR-2020
IOB,13.75,29-JUN-2020,6.05,19-MAR-2020
IOC,156.0,01-OCT-2019,71.15,18-MAY-2020
IOLCP,898.9,25-AUG-2020,146.3,25-MAR-2020
IPCALAB,2236.1,17-SEP-2020,844.65,10-OCT-2019
IRB,139.0,19-AUG-2020,45.6,25-MAR-2020
IRCON,119.8,19-FEB-2020,58.0,24-MAR-2020
IRCTC,1994.0,25-FEB-2020,625.0,14-OCT-2019
ISEC,568.9,16-JUL-2020,203.6,24-MAR-2020
ISFT,101.35,31-AUG-2020,20.6,09-APR-2020
ITC,266.3,07-NOV-2019,134.6,13-MAR-2020
ITDC,416.6,20-NOV-2019,104.7,24-MAR-2020
ITDCEM,70.1,27-NOV-2019,26.15,24-MAR-2020
ITI,151.65,19-AUG-2020,44.8,13-MAR-2020
IVP,76.55,27-OCT-2019,25.5,13-MAR-2020
IVZINGOLD,5599.9,31-JUL-2020,3322.0,01-OCT-2019
IVZINNIFTY,1449.0,01-SEP-2020,778.0,23-MAR-2020
IZMO,37.25,18-SEP-2020,10.3,31-MAR-2020
J&KBANK,36.2,26-SEP-2019,11.0,03-APR-2020
JAGRAN,74.35,24-FEB-2020,32.1,26-MAR-2020
JAGSNPHARM,49.45,09-JUL-2020,16.25,23-MAR-2020
JAIBALAJI,31.0,29-JAN-2020,13.1,23-MAR-2020
JAICORPLTD,122.0,17-JAN-2020,43.0,25-MAR-2020
JAMNAAUTO,52.15,18-SEP-2020,21.0,24-MAR-2020
JASH,189.0,20-FEB-2020,91.6,25-MAR-2020
JAYAGROGN,174.0,26-SEP-2019,50.15,25-MAR-2020
JAYBARMARU,272.0,21-JAN-2020,90.0,25-MAR-2020
JAYSREETEA,75.0,31-AUG-2020,22.65,23-MAR-2020
JBCHEPHARM,1149.9,18-SEP-2020,315.05,21-NOV-2019
JBFIND,22.05,27-FEB-2020,6.25,14-MAY-2020
JBMA,296.0,23-DEC-2019,95.0,25-MAR-2020
JCHAC,3484.4,13-MAR-2020,1811.05,25-MAR-2020
JINDALPHOT,19.0,21-APR-2020,7.25,25-MAR-2020
JINDALPOLY,525.0,21-AUG-2020,150.0,25-MAR-2020
JINDALSAW,102.6,16-JAN-2020,39.85,30-MAR-2020
JINDALSTEL,238.75,20-AUG-2020,62.0,03-APR-2020
JINDRILL,127.7,28-JAN-2020,40.55,24-MAR-2020
JINDWORLD,71.8,28-NOV-2019,23.25,21-MAY-2020
JISLDVREQS,16.9,26-SEP-2019,3.1,27-MAR-2020
JISLJALEQS,21.8,27-SEP-2019,3.05,31-MAR-2020
JIYAECO,49.8,26-SEP-2019,6.7,09-APR-2020
JKCEMENT,1615.0,07-AUG-2020,795.25,23-MAR-2020
JKIL,179.5,21-NOV-2019,65.05,24-MAR-2020
JKLAKSHMI,388.0,29-JAN-2020,179.75,07-APR-2020
JKPAPER,151.85,30-SEP-2019,62.0,24-MAR-2020
JKTYRE,87.55,17-JAN-2020,31.65,24-MAR-2020
JMA,33.95,27-AUG-2020,14.5,24-MAR-2020
JMCPROJECT,120.9,05-NOV-2019,29.5,26-MAR-2020
JMFINANCIL,124.7,07-FEB-2020,55.45,05-MAY-2020
JMTAUTOLTD,6.9,02-JUL-2020,0.8,01-APR-2020
JOCIL,230.0,04-MAY-2020,70.95,24-MAR-2020
JPASSOCIAT,4.65,14-AUG-2020,1.05,01-APR-2020
JPINFRATEC,2.1,06-JUL-2020,0.4,26-MAR-2020
JPOLYINVST,22.4,29-JUN-2020,7.15,09-APR-2020
JPPOWER,3.3,14-AUG-2020,0.35,26-MAR-2020
JSL,53.0,21-AUG-2020,21.4,27-MAR-2020
JSLHISAR,109.75,21-AUG-2020,30.4,25-MAR-2020
JSWENERGY,80.0,08-NOV-2019,34.75,18-MAR-2020
JSWHL,2850.0,26-SEP-2019,1300.0,25-MAR-2020
JSWSTEEL,296.75,14-FEB-2020,132.5,03-APR-2020
JTEKTINDIA,99.0,05-NOV-2019,35.1,24-MAR-2020
JUBILANT,909.0,04-AUG-2020,234.35,30-MAR-2020
JUBLFOOD,2423.6,18-SEP-2020,1138.25,19-MAR-2020
JUBLINDS,187.9,13-AUG-2020,76.1,24-MAR-2020
JUMPNET,105.9,21-AUG-2020,40.05,23-MAR-2020
JUNIORBEES,336.8,31-AUG-2020,180.4,25-MAR-2020
JUSTDIAL,718.0,27-SEP-2019,250.0,26-MAR-2020
JYOTHYLAB,185.0,19-NOV-2019,85.0,23-MAR-2020
KABRAEXTRU,83.8,21-AUG-2020,35.05,24-MAR-2020
KAJARIACER,595.95,01-FEB-2020,295.55,19-MAY-2020
KAKATCEM,297.85,10-JAN-2020,92.0,25-MAR-2020
KALPATPOWR,501.15,26-SEP-2019,169.5,27-MAR-2020
KAMATHOTEL,44.0,21-JAN-2020,14.05,25-MAR-2020
KAMDHENU,119.95,27-SEP-2019,40.95,25-MAR-2020
KANANIIND,5.3,02-JAN-2020,1.15,31-MAR-2020
KANORICHEM,48.85,24-FEB-2020,22.0,25-MAR-2020
KANSAINER,573.0,01-NOV-2019,293.7,24-MAR-2020
KAPSTON,131.35,24-SEP-2020,73.15,13-AUG-2020
KARMAENG,15.55,06-DEC-2019,7.6,11-OCT-2019
KARURVYSYA,64.6,04-DEC-2019,18.75,24-MAR-2020
KAYA,448.2,22-JAN-2020,93.7,26-MAR-2020
KCP,73.9,26-SEP-2019,35.0,25-MAR-2020
KCPSUGIND,19.5,15-JUL-2020,8.55,25-MAR-2020
KDDL,424.4,04-NOV-2019,102.3,27-MAY-2020
KEC,359.5,15-SEP-2020,154.05,13-APR-2020
KECL,19.7,30-JAN-2020,6.95,30-MAR-2020
KEI,614.65,30-OCT-2019,208.3,24-MAR-2020
KELLTONTEC,51.9,22-SEP-2020,6.55,27-MAR-2020
KENNAMET,1227.0,30-OCT-2019,590.05,24-MAR-2020
KESORAMIND,67.7,26-NOV-2019,16.8,25-MAR-2020
KEYFINSERV,44.5,25-AUG-2020,24.0,17-DEC-2019
KHADIM,274.0,23-OCT-2019,65.2,23-MAR-2020
KHANDSE,14.9,30-SEP-2019,8.45,01-SEP-2020
KICL,1881.5,01-JAN-2020,761.25,24-MAR-2020
KILITCH,142.5,05-NOV-2019,61.0,13-MAR-2020
KINGFA,710.0,01-NOV-2019,301.55,24-MAR-2020
KIOCL,169.5,20-AUG-2020,44.7,25-MAR-2020
KIRIINDUS,612.25,28-AUG-2020,190.0,25-MAR-2020
KIRLFER,99.0,21-AUG-2020,37.0,25-MAR-2020
KIRLOSBROS,181.0,19-FEB-2020,76.25,25-MAR-2020
KIRLOSENG,192.0,27-SEP-2019,76.05,24-MAR-2020
KIRLOSIND,802.9,23-JUN-2020,398.0,25-MAR-2020
KITEX,171.1,20-FEB-2020,74.2,13-MAR-2020
KKCL,1100.0,22-OCT-2019,566.2,31-MAR-2020
KMSUGAR,14.5,21-AUG-2020,4.8,24-MAR-2020
KNRCON,311.8,30-JAN-2020,171.0,26-MAR-2020
KOKUYOCMLN,93.0,23-JAN-2020,34.1,24-MAR-2020
KOLTEPATIL,287.7,27-SEP-2019,103.0,26-MAR-2020
KOPRAN,92.85,21-SEP-2020,15.1,13-MAR-2020
KOTAKBANK,1740.0,19-FEB-2020,1001.0,19-MAR-2020
KOTAKBKETF,365.7,02-JAN-2020,167.0,24-MAR-2020
KOTAKGOLD,499.95,07-AUG-2020,285.0,23-MAR-2020
KOTAKNIFTY,149.3,23-DEC-2019,81.01,23-MAR-2020
KOTAKNV20,70.0,14-FEB-2020,38.5,19-MAR-2020
KOTAKPSUBK,270.0,29-NOV-2019,105.5,26-MAY-2020
KOTARISUG,17.8,15-SEP-2020,7.25,23-MAR-2020
KOTHARIPET,21.8,29-MAY-2020,9.2,23-MAR-2020
KOTHARIPRO,104.95,24-JAN-2020,28.75,23-MAR-2020
KPITTECH,118.5,21-SEP-2020,34.35,26-MAR-2020
KPRMILL,715.0,09-JAN-2020,312.35,25-MAR-2020
KRBL,339.0,11-AUG-2020,92.0,26-MAR-2020
KREBSBIO,111.35,04-AUG-2020,60.65,24-MAR-2020
KRIDHANINF,9.2,26-SEP-2019,1.1,03-APR-2020
KSB,764.0,01-FEB-2020,386.0,30-MAR-2020
KSCL,682.5,07-AUG-2020,273.75,24-MAR-2020
KSK,0.85,30-JUN-2020,0.25,30-MAR-2020
KSL,269.0,14-JAN-2020,91.75,24-MAR-2020
KTKBANK,75.0,14-FEB-2020,34.2,29-MAY-2020
KUANTUM,699.8,13-JUL-2020,38.5,25-SEP-2020
KWALITY,5.6,03-JUL-2020,1.25,31-MAR-2020
L&TFH,134.0,11-FEB-2020,45.9,24-MAR-2020
LAKSHVILAS,39.45,26-SEP-2019,10.4,31-MAR-2020
LALPATHLAB,2029.0,21-JUL-2020,1179.55,24-MAR-2020
LAMBODHARA,40.9,20-JAN-2020,16.2,25-MAR-2020
LAOPALA,251.85,26-AUG-2020,130.5,11-DEC-2019
LASA,76.0,16-SEP-2020,16.75,01-OCT-2019
LAURUSLABS,1550.0,21-SEP-2020,295.0,13-MAR-2020
LAXMIMACH,3980.0,30-OCT-2019,2000.0,25-MAR-2020
LEMONTREE,65.95,27-DEC-2019,14.05,21-MAY-2020
LFIC,92.05,13-JUL-2020,32.25,19-MAR-2020
LGBBROSLTD,369.9,02-JAN-2020,145.2,25-MAR-2020
LGBFORGE,4.25,07-JAN-2020,1.65,07-APR-2020
LIBAS,66.0,29-OCT-2019,28.0,24-SEP-2020
LIBERTSHOE,181.8,27-AUG-2020,63.55,23-MAR-2020
LICHSGFIN,486.75,21-JAN-2020,185.25,25-MAR-2020
LICNETFGSC,25.5,08-JUN-2020,17.6,30-JAN-2020
LICNETFN50,148.0,24-JAN-2020,86.1,03-APR-2020
LICNETFSEN,588.0,04-FEB-2020,305.02,13-MAR-2020
LICNFNHGP,164.95,04-FEB-2020,77.0,24-MAR-2020
LINCOLN,283.45,21-SEP-2020,85.05,19-MAR-2020
LINCPEN,247.9,17-JAN-2020,103.0,25-MAR-2020
LINDEINDIA,860.0,17-SEP-2020,401.0,24-MAR-2020
LIQUIDBEES,1010.0,27-OCT-2019,995.55,03-DEC-2019
LIQUIDETF,1096.0,02-JUN-2020,810.9,23-SEP-2020
LOKESHMACH,38.0,15-NOV-2019,13.0,23-MAR-2020
LOTUSEYE,39.95,27-AUG-2020,18.6,01-NOV-2019
LOVABLE,87.45,17-JAN-2020,31.85,24-MAR-2020
LSIL,1.5,02-JUL-2020,0.3,07-APR-2020
LT,1496.45,01-OCT-2019,661.0,25-MAR-2020
LTI,2794.35,18-SEP-2020,1210.0,19-MAR-2020
LTTS,1780.0,27-JAN-2020,995.0,23-MAR-2020
LUMAXIND,1674.9,24-AUG-2020,677.8,25-MAR-2020
LUMAXTECH,122.0,17-JAN-2020,47.9,31-MAR-2020
LUPIN,1122.3,18-SEP-2020,504.75,13-MAR-2020
LUXIND,1648.9,14-FEB-2020,814.2,23-MAR-2020
LYKALABS,24.7,26-JUN-2020,9.6,23-MAR-2020
LYPSAGEMS,7.05,22-JAN-2020,2.5,07-APR-2020
M&M,666.6,21-SEP-2020,245.4,25-MAR-2020
M&MFIN,245.91,11-FEB-2020,76.46,22-MAY-2020
M100,20.0,15-SEP-2020,11.8,03-APR-2020
M50,122.95,20-JAN-2020,75.3,23-MAR-2020
MAANALU,80.2,28-AUG-2020,23.15,25-MAR-2020
MACPOWER,100.6,18-SEP-2020,53.1,19-AUG-2020
MADHAV,42.0,04-FEB-2020,17.1,03-APR-2020
MADHUCON,5.35,14-NOV-2019,1.5,03-APR-2020
MADRASFERT,24.4,26-SEP-2019,9.0,23-MAR-2020
MAGADSUGAR,148.7,07-FEB-2020,49.6,25-MAR-2020
MAGMA,70.8,17-JAN-2020,12.9,27-MAY-2020
MAGNUM,6.9,14-JUL-2020,2.45,26-MAY-2020
MAHABANK,15.35,25-AUG-2020,8.0,19-MAR-2020
MAHASTEEL,169.0,14-NOV-2019,61.0,19-MAY-2020
MAHEPC,194.5,21-JUL-2020,70.8,26-MAR-2020
MAHESHWARI,340.0,27-JAN-2020,127.0,30-MAR-2020
MAHINDCIE,179.5,26-DEC-2019,58.6,25-MAR-2020
