isin_code, comp_name, hold_qty, hold_price, hold_units_1k, last_txn_type, last_txn_date
Ine230a01023,Eih ,15,2086,2,Buy,02-Jan-2018
Ine233a01035,Godrej industries ,2,1218,1,Buy,16-Oct-2017
Ine233b01017,Blue dart express ,1,4426,4,Buy,30-May-2017
Ine237a01028,Kotak mahindra bank ,2,2049,2,Buy,04-Apr-2018
Ine238a01034,Axis bank ,4,2010,2,Buy,04-Apr-2018
Ine239a01016,Nestle ,1,6634,6,Buy,09-Jun-2017
Ine242a01010,Indian oil corporation ,12,2037,2,Buy,23-Mar-2018
Ine245a01021,Tata power co ,25,2127,2,Buy,04-Apr-2018
Ine255a01020,Essel propack ,4,1051,1,Buy,28-May-2018
Ine256a01028,Zee entertainment enterprises,10,6052,6,Buy,06-Dec-2017
Ine257a01026,Bharat heavy electricals ,27,2743,2,Buy,04-Apr-2018
Ine259a01022,Colgate palmolive ,2,2164,2,Buy,04-Apr-2018
Ine263a01024,Bharat electronics ,13,7336,7,Buy,04-Apr-2018
Ine264a01014,Glaxosmithkline consumer healt,1,5069,5,Buy,19-Sep-2017
Ine267a01025,Hindustan zinc ,8,2090,2,Buy,02-Jan-2018
Ine271c01023,Dlf ,10,8597,8,Buy,02-Jan-2018
Ine274b01011,Monsanto ,2,5498,5,Buy,04-Apr-2018
Ine274f01020,Westlife development ,4,952,0,Buy,08-Sep-2017
Ine274j01014,Oil ,10,2192,2,Buy,06-Apr-2018
Ine275b01026,Huhtamaki ppl ,3,945,0,Buy,28-May-2018
Ine280a01028,Titan company ,6,3771,3,Buy,04-Apr-2018
Ine298a01020,Cummins ,3,2678,2,Buy,06-Dec-2017
Ine299u01018,Crompton greaves cons elec ,4,1024,1,Buy,28-Nov-2017
Ine302a01020,Exide industries ,5,1105,1,Buy,16-Jun-2017
Ine310a01015,Nilkamal ,1,1968,1,Buy,14-Jun-2017
Ine318a01026,Pidilite industries ,3,2528,2,Buy,04-Apr-2018
Ine322a01010,Gillette ,1,4863,4,Buy,12-Jun-2017
Ine323i01011,Puravankara ,23,4659,4,Buy,04-Apr-2018
Ine326a01037,Lupin ,6,8943,8,Buy,28-Feb-2017
Ine332a01027,Thomas cook ,10,2275,2,Buy,01-Feb-2018
Ine335k01011,Coffee day enterprises ,8,2208,2,Buy,04-Apr-2018
Ine343b01030,Rajesh exports ,4,3638,3,Buy,04-Apr-2018
Ine347g01014,Petronet lng ,9,2038,2,Buy,01-Feb-2018
Ine348b01021,Century plyboards ,7,2063,2,Buy,01-Feb-2018
Ine355a01028,Somany ceramics ,1,857,0,Buy,13-Nov-2017
Ine358a01014,Abbott ,1,4088,4,Buy,19-Sep-2017
Ine366i01010,Vrl logistics ,6,2298,2,Buy,01-Feb-2018
Ine373a01013,Basf ,2,3376,3,Buy,04-Apr-2018
Ine397d01024,Bharti airtel ,27,9349,9,Buy,27-Nov-2017
Ine398a01010,Venkys ,1,2089,2,Buy,22-Sep-2017
Ine406a01037,Aurobindo pharma ,3,2145,2,Buy,02-Jan-2018
Ine410p01011,Narayana hrudayalaya ,7,2198,2,Buy,02-Jan-2018
Ine414g01012,Muthoot finance ,4,1737,1,Buy,01-Nov-2017
Ine415a01038,Hsil ,6,2379,2,Buy,04-Apr-2018
Ine418h01029,Allcargo logistics ,5,945,0,Buy,02-Feb-2018
Ine423a01024,Adani enterprises ,17,2181,2,Buy,06-Dec-2017
Ine437a01024,Apollo hospitals enterprises l,6,7209,7,Buy,06-Dec-2017
Ine438a01022,Apollo tyres ,9,2255,2,Buy,01-Feb-2018
Ine439a01020,Asahi glass ,7,3306,3,Buy,06-Dec-2017
Ine452o01016,Future lifestyle fashions ,6,2160,2,Buy,01-Feb-2018
Ine455i01029,Kaveri seed company ,2,998,0,Buy,02-Feb-2018
Ine462a01022,Bayer cropscience ,1,4716,4,Buy,09-Jun-2017
Ine463a01038,Berger paints ,8,2032,2,Buy,01-Feb-2018
Ine467b01029,Tata consultancy services ,16,16987,16,Buy,05-Jun-2018
Ine470y01017,The new assurance co ,2,1478,1,Buy,13-Nov-2017
Ine472a01039,Blue star ,1,731,0,Buy,28-Nov-2017
Ine481g01011,Ultratech cement ,3,12123,12,Buy,25-Jan-2017
Ine481y01014,General insurance corp ,2,1598,1,Buy,25-Oct-2017
Ine482a01020,Ceat ,1,1891,1,Buy,11-Jul-2017
Ine484j01027,Godrej properties ,2,1040,1,Buy,08-Jun-2017
Ine493a01027,Tata coffee ,15,2206,2,Buy,01-Nov-2017
Ine494b01023,Tvs motor company ,4,2318,2,Buy,01-Sep-2017
Ine498b01024,Shoppers stop ,5,2055,2,Buy,01-Feb-2018
Ine498l01015,Lt finance holdings ,6,1026,1,Buy,28-May-2018
Ine502k01016,Talwalkars better value fitnes,8,2348,2,Buy,01-Feb-2018
Ine510a01028,Engineers ,7,1113,1,Buy,08-Sep-2017
Ine516a01017,Uflex ,4,1136,1,Buy,28-May-2018
Ine522d01027,Manappuram finance ,10,1210,1,Buy,18-Apr-2018
Ine522f01014,Coal ,31,10064,10,Buy,27-Nov-2017
Ine531a01024,Kansai nerolac paints,5,2353,2,Buy,02-Jan-2018
Ine536a01023,Grindwell norton ,3,1290,1,Buy,17-Oct-2017
Ine536h01010,Mahindra cie automotive ,4,944,0,Buy,28-May-2018
Ine544r01013,Greenlam industries ,2,2221,2,Buy,01-Feb-2018
Ine548c01032,Emami ,2,2412,2,Buy,02-Jan-2018
Ine559a01017,Ifb industries ,1,1359,1,Buy,28-Nov-2017
Ine565l01011,Zee learn ,47,2065,2,Buy,01-Nov-2017
Ine573a01042,Jk tyre industries ,14,2387,2,Buy,01-Feb-2018
Ine584a01023,Nmdc ,17,2247,2,Buy,01-Feb-2018
Ine585b01010,Maruti suzuki ,1,11300,11,Buy,09-Jun-2017
Ine589a01014,Nlc ,12,1116,1,Buy,03-Oct-2017
Ine600l01024,Dr lal pathlabs ,1,805,0,Buy,19-Sep-2017
Ine603j01030,P i industries ,1,883,0,Buy,02-Feb-2018
Ine613a01020,Rallis ,10,2405,2,Buy,04-Apr-2018
Ine615p01015,Quess corp ,1,1006,1,Buy,01-Feb-2018
Ine628a01036,Upl ,7,5152,5,Buy,25-Jan-2017
Ine640a01023,Skf ,1,1814,1,Buy,02-Jun-2017
Ine646l01027,Interglobe aviation ,2,2308,2,Buy,01-Nov-2017
Ine647o01011,Aditya birla fashion rtl ,13,2081,2,Buy,04-Apr-2018
Ine663f01024,Info edge ,2,2190,2,Buy,18-Sep-2017
Ine669c01036,Tech mahindra ,6,2764,2,Buy,01-Feb-2018
Ine669e01016,Idea cellular ,21,2368,2,Buy,01-Nov-2017
Ine671h01015,Sobha ,3,1161,1,Buy,08-Jun-2017
Ine686f01025,United breweries ,2,1856,1,Buy,01-Nov-2017
Ine690a01010,Ttk prestige ,1,6364,6,Buy,18-Jul-2017
Ine716a01013,Whirlpool of ,2,2696,2,Buy,04-Apr-2018
Ine721a01013,Shriram transport finance co,1,1062,1,Buy,03-Oct-2017
Ine725g01011,Icra ,1,4139,4,Buy,22-Jun-2017
Ine726g01019,Icici prudential life ins co,6,2436,2,Buy,01-Nov-2017
Ine733e01010,Ntpc ,42,7043,7,Buy,06-Dec-2017
Ine736a01011,Central depository ser ind ,3,1020,1,Buy,28-Sep-2017
Ine739e01017,Cera sanitaryware ,1,3037,3,Buy,14-Jun-2017
Ine742f01042,Adani port special econo,3,1128,1,Buy,29-Sep-2017
Ine752e01010,Power grid corporation of indi,29,5092,5,Buy,27-Feb-2017
Ine752h01013,Care ratings ,2,2841,2,Buy,01-Feb-2018
Ine752p01024,Future retail ,5,2286,2,Buy,01-Feb-2018
Ine764d01017,Vsttillers tractors ,1,2034,2,Buy,12-Jun-2017
Ine765g01017,Icici lombard gen insurance co,2,1354,1,Buy,27-Sep-2017
Ine766p01016,Mahindra logistics ,2,950,0,Buy,02-Feb-2018
Ine774d01024,Mahindra mahindra financial,3,1272,1,Buy,03-Oct-2017
Ine775a01035,Motherson sumi systems ,6,2082,2,Buy,06-Dec-2017
Ine782a01015,Johnson controls hitachi air i,1,2064,2,Buy,17-Oct-2017
Ine785m01013,Pc jeweller ,4,1020,1,Buy,02-Aug-2017
Ine787d01026,Balkrishna industries ,2,1702,1,Buy,02-Jan-2018
Ine789e01012,Jk paper ,10,1050,1,Buy,02-Jun-2017
Ine791i01019,Brigade enterprises ,4,1072,1,Buy,08-Jun-2017
Ine795g01014,Hdfc standard life ins co ,3,1035,1,Buy,17-Nov-2017
Ine797f01012,Jubilant foodworks ,2,3017,3,Buy,01-Feb-2018
Ine811k01011,Prestige estates projects limi,4,1008,1,Buy,08-Jun-2017
Ine836f01026,Dish tv ,28,2111,2,Buy,01-Feb-2018
Ine848e01016,Nhpc ,40,1080,1,Buy,03-Oct-2017
Ine849a01020,Trent ,7,2035,2,Buy,04-Apr-2018
Ine850d01014,Godrej agrovet ,2,1180,1,Buy,16-Oct-2017
Ine854d01016,United spirits ,25,12580,12,Buy,06-Dec-2017
Ine860a01027,Hcl technologies ,6,1432,1,Buy,27-Feb-2017
Ine868b01028,Ncc ,21,2232,2,Buy,04-Apr-2018
Ine871c01020,Avanti feeds ,2,4049,4,Buy,06-Dec-2017
Ine885a01032,Amara raja batteries ,1,879,0,Buy,05-Jun-2017
Ine916u01025,Sheela foam ,1,1608,1,Buy,02-Feb-2018
Ine917i01010,Bajaj auto ,2,5594,5,Buy,04-Apr-2018
Ine918i01018,Bajaj finserv ,1,5618,5,Buy,19-Sep-2017
Ine935a01035,Glenmark pharmaceuticals ,2,1228,1,Buy,19-Sep-2017
Ine935q01015,Future supply chain sol ,2,1344,1,Buy,02-Feb-2018
Ine951i01027,V guard industries ,4,984,0,Buy,19-Apr-2018
Ine974x01010,Tube investments of ,5,1195,1,Buy,04-Apr-2018
Ine998i01010,Mahindra holidays resorts in,6,2184,2,Buy,02-Jan-2018
Ine999a01015,Ksb pumps ,3,2194,2,Buy,04-Apr-2018
Inf109ka1962,Icici prudential nifty 100 etf,50,5645,5,Buy,21-Mar-2018
Inf109kb15y7,Icici prud mf bharat 22 etf,278,9730,9,Buy,27-Nov-2017
Inf109kb1xt3,Icici pru midcap select etf,66,4805,4,Buy,07-Mar-2018
Inf174k014p6,Kotak mahindra mf nifty etf,104,10488,10,Buy,15-Mar-2018
Inf179k01cn1,Hdfc gold etf,50,139773,139,Buy,19-Apr-2018
Inf200k01099,Sbi etf gold,43,117714,117,Buy,07-Jun-2018
Inf373i01049,Kotak gold etf,330,80172,80,Buy,20-Dec-2017
Inf457m01133,Cpse etf,680,11638,11,Buy,09-Oct-2017
Inf732e01102,Reliance etf gold bees,60,154724,154,Buy,17-Oct-2017
Inf789f01059,Uti gold etf,45,113994,113,Buy,11-Jun-2018
