isin_code, isin_name
INE112A01023, Corp bank
INE113A01013, Gujarat narmada valley fertilizers chemicals 
INE114A01011, Steel authority of 
INE115A01026, Lic housing finance 
INE117A01022, Abb 
INE118A01012, Bajaj holdings investment 
INE118H01025, Bse 
INE119A01028, Balrampur chini mills 
INE120A01034, Carborundum universal 
INE121A01016, Cholamandalam investment finance company 
INE121E01018, Jsw energy 
INE121J01017, Bharti infratel 
INE122R01018, Manpasand beverages 
INE123F01029, Mmtc 
INE123W01016, Sbi life insurance company 
INE124G01033, Delta corp 
INE126A01031, Eid parry 
INE128A01029, Eveready industries 
INE129A01019, Gail 
INE131A01031, Gujarat mineral development corporation 
INE131B01039, Relaxo footwears 
INE133A01011, Akzo nobel 
INE134E01011, Power finance corporation 
INE136B01020, Cyient 
INE139A01034, National aluminium co 
INE140A01024, Piramal enterprises 
INE141A01014, Oriental bank of commerce
INE142I01023, Take solutions 
INE146L01010, Kirloskar oil engines 
INE148I01020, Indiabulls housing finance 
INE149A01033, Ti financial holdings 
INE151A01013, Tata communications 
INE152A01029, Thermax 
INE152B01027, Gati 
INE152M01016, Triveni turbine 
INE153A01019, Mahanagar telephone nigam 
INE153U01017, Max 
INE154A01025, I t c 
INE155A01022, Tata motors 
INE158A01026, Hero motocorp 
INE159A01016, Glaxosmithkline pharmaceuticals 
INE160A01022, Punjab national bank
INE161A01038, Niit 
INE163A01018, Nocil 
INE164A01016, Balmer lawrie co 
INE168A01041, Jammu kashmir bank 
INE169A01031, Coromandel international 
INE171A01029, Federal bank 
INE172A01027, Castrol 
INE175A01038, Jain irrigation systems 
INE176A01028, Bata 
INE176B01034, Havells 
INE178A01016, Chennai petroleum corporation 
INE179A01014, Procter gamble hygiene health care 
INE180A01020, Max financial services 
INE180K01011, Bharat financial inclusion 
INE182A01018, Pfizer 
INE183A01016, Finolex industries 
INE186A01019, Gujarat alkalies chemicals 
INE187A01017, Jbf industries 
INE191B01025, Welspun corp 
INE191H01014, Pvr 
INE191I01012, Housing development infrastructure 
INE192A01025, Tata global beverages 
INE192B01031, Welspun 
INE192R01011, Avenue supermarts 
INE193E01025, Bajaj electricals 
INE195A01028, Supreme industries 
INE195J01029, Pnc infratech 
INE196A01026, Marico 
INE197D01010, Jindal poly films 
INE199A01012, Merck 
INE199G01027, Jagran prakashan 
INE200A01026, Ge t&d 
INE200M01013, Varun beverages 
INE202B01012, Dewan housing finance corporation 
INE203G01027, Indraprastha gas 
INE205A01025, Vedanta 
INE208A01029, Ashok leyland 
INE208C01025, Aegis logistics 
INE211B01039, Phoenix mills 
INE212H01026, Aia engineering 
INE213A01029, Oil natural gas corporation 
INE214T01019, Larsen toubro infotech 
INE216A01022, Britannia industries 
INE217B01036, Kajaria ceramics 
INE217K01011, Reliance home finance 
INE220B01022, Kalpataru power transmission 
INE220G01021, Jindal stainless 
INE220J01025, Future consumer 
INE221J01015, Sharda cropchem 
INE224A01026, Greaves cotton 
INE225D01027, Symphony 
INE226A01021, Voltas 
INE226H01026, Sadbhav engineering 
INE230A01023, Eih 
INE232I01014, Sun pharma advanced research company 
INE233A01035, Godrej industries 
INE233B01017, Blue dart express 
INE235A01022, Finolex cables 
INE236A01020, Hcl infosystems 
INE237A01028, Kotak mahindra bank 
INE238A01034, Axis bank 
INE239A01016, Nestle 
INE242A01010, Indian oil corporation 
INE243D01012, Bf utilities 
INE245A01021, Tata power co 
INE246B01019, Ramco systems 
INE246F01010, Gujarat state petronet 
INE248A01017, Iti 
INE251H01024, Gvk power infrastructures 
INE255A01020, Essel propack 
INE256A01028, Zee entertainment enterprises 
INE257A01026, Bharat heavy electricals 
INE258A01016, Beml 
INE258B01022, Fdc 
INE259A01022, Colgate palmolive 
INE260B01028, Godfrey phillips 
INE262H01013, Persistent systems 
INE263A01024, Bharat electronics 
INE264A01014, Glaxosmithkline consumer healthcare 
INE265F01028, Entertainment network 
INE267A01025, Hindustan zinc 
INE269A01021, Sonata software 
INE269B01029, Lakshmi machine works 
INE271C01023, Dlf 
INE274B01011, Monsanto 
INE274G01010, Indiabulls ventures 
INE274J01014, Oil 
INE274V01019, Shankara building products 
INE278M01019, Navkar corporation 
INE280A01028, Titan company 
INE285A01027, Elgi equipments 
INE285B01017, Spicejet 
INE285J01010, Security intelligence services 
INE286K01024, Techno elt eng co 
INE288B01029, Deepak nitrite 
INE289B01019, Gic housing finance 
INE294A01037, Ballarpur industries 
INE294B01019, Sml isuzu 
INE296A01024, Bajaj finance 
INE298A01020, Cummins 
INE299U01018, Crompton greaves consumer electricals 
INE301A01014, Raymond 
INE302A01020, Exide industries 
INE306A01021, Bajaj hindusthan sugar 
INE306R01017, Intellect design arena 
INE310A01015, Nilkamal 
INE312H01016, Inox leisure 
INE317F01035, Nesco 
INE318A01026, Pidilite industries 
INE322A01010, Gillette 
INE323A01026, Bosch 
INE324A01024, Jindal saw 
INE325A01013, Timken 
INE326A01037, Lupin 
INE330H01018, Reliance communications 
INE331A01037, The ramco cements 
INE332A01027, Thomas cook 
INE334L01012, Ujjivan financial services 
INE335K01011, Coffee day enterprises 
INE338I01027, Motilal oswal financial services 
INE340A01012, Birla corporation 
INE342J01019, Wabco 
INE343B01030, Rajesh exports 
INE343H01029, Solar industries 
INE347G01014, Petronet lng 
INE348B01021, Century plyboards 
INE348L01012, Mas financial services 
INE351A01035, Unichem laboratories 
INE351F01018, Jaiprakash power ventures 
INE353K01014, India tourism development corporation 
INE355A01028, Somany ceramics 
INE356A01018, Mphasis 
INE358A01014, Abbott 
INE361B01024, Divis laboratories 
INE366I01010, Vrl logistics 
INE371A01025, Graphite 
INE372A01015, Apar industries 
INE373A01013, Basf 
INE376G01013, Biocon 
INE383A01012, India cements 
INE385W01011, Dishman carbogen amcis 
INE386C01029, Astra microwave products 
INE387A01021, Sundram fasteners 
INE389H01022, Kec international 
INE397D01024, Bharti airtel 
INE398A01010, Venkys 
INE398R01022, Syngene international 
INE399C01030, Suprajit engineering 
INE399G01015, Ramkrishna forgings 
INE399K01017, Rattan power 
INE405E01023, Minda industries 
INE406A01037, Aurobindo pharma 
INE406M01024, Eris lifesciences 
INE410B01029, Vinati organics 
INE410P01011, Narayana hrudayalaya 
INE414G01012, Muthoot finance 
INE415A01038, Hsil 
INE416D01022, Bliss gvs pharma 
INE416L01017, Eros intl media 
INE418H01029, Allcargo logistics 
INE421A01028, Aban offshore 
INE421C01016, Tvs srichakra 
INE421D01022, Ccl products 
INE424H01027, Sun tv network 
INE428A01015, Allahabad bank
INE429C01035, Sintex industries 
INE434A01013, Andhra bank
INE435G01025, Dhanuka agritech 
INE437A01024, Apollo hospitals enterprise 
INE438A01022, Apollo tyres 
INE439A01020, Asahi glass 
INE439L01019, Dalmia bharat 
INE442H01029, Ashoka buildcon 
INE451A01017, Force motors 
INE452O01016, Future lifestyle fashions 
INE455F01025, Jaiprakash associates 
INE455I01029, Kaveri seed company 
INE455T01018, Jindal stainless 
INE457A01014, Bank of maharashtra
INE460H01021, Star cement 
INE461C01038, Greenply industries 
INE462A01022, Bayer cropscience /
INE463A01038, Berger paints 
INE465A01025, Bharat forge 
INE467B01029, Tata consultancy services 
INE470A01017, 3m 
INE472A01039, Blue star 
INE473A01011, Linde 
INE473B01035, Hatsun agro product 
INE475E01026, Caplin point laboratories 
INE476A01014, Canara bank
INE477A01020, Can fin homes 
INE481G01011, Ultratech cement 
INE481Y01014, General insurance corporation of 
INE482A01020, Ceat 
INE483A01010, Central bank of 
INE483B01026, Indo count industries 
INE483S01020, Infibeam incorporation 
INE484J01027, Godrej properties 
INE486A01013, Cesc 
INE490G01020, Moil 
INE491A01021, City union bank 
INE493A01027, Tata coffee 
INE494B01023, Tvs motor company 
INE495B01038, Suven life sciences 
INE498B01024, Shoppers stop 
INE498L01015, L&t finance holdings 
INE499A01024, Dcm shriram 
INE500L01026, S h kelkar company 
INE501A01019, Deepak fertilisers petrochemicals corp 
INE501G01024, Ht media 
INE501W01021, Sintex plastics technology 
INE503A01015, Dcb bank 
INE506A01018, Dredging corporation of 
INE508G01029, Time technoplast 
INE510A01028, Engineers 
INE511C01022, Magma fincorp 
INE513A01014, Schaeffler 
INE516A01017, Uflex 
INE517F01014, Gujarat pipavav port 
INE520A01019, Zensar technologies 
INE522D01027, Manappuram finance 
INE522F01014, Coal 
INE528G01027, Yes bank 
INE530B01024, Iifl holdings 
INE531A01024, Kansai nerolac paints 
INE531E01026, Hindustan copper 
INE532F01054, Edelweiss financial services 
INE536A01023, Grindwell norton 
INE536H01010, Mahindra cie automotive 
INE538A01037, Gujarat fluorochemicals 
INE539A01019, Ghcl 
INE540L01014, Alkem laboratories 
INE542F01012, Reliance naval engineering 
INE545A01016, Heg 
INE548A01028, Himachal fut com 
INE548C01032, Emami 
INE549A01026, Hindustan construction co 
INE559A01017, Ifb industries 
INE560K01014, Ptc fin serv 
INE562A01011, Indian bank
INE565A01014, Indian overseas bank 
INE565L01011, Zee learn 
INE571A01020, Ipca laboratories 
INE572A01028, Jb chemicals pharmaceuticals 
INE572E01012, Pnb housing finance 
INE573A01042, Jk tyre industries 
INE576I01022, Jkumar infraprojects 
INE578A01017, Heidelbergcement 
INE580B01029, Gruh finance 
INE584A01023, Nmdc 
INE585B01010, Maruti suzuki 
INE589A01014, Nlc 
INE589G01011, Bombay rayon fashions 
INE591G01017, Niit technologies 
INE594H01019, Thyrocare technologies 
INE599M01018, Justdial 
INE600L01024, Dr lal path labs 
INE602A01023, Phillips carbon black 
INE602G01020, Kitex garments 
INE603J01030, Pi industries 
INE612J01015, Repco home finance 
INE613A01020, Rallis 
INE614B01018, Karnataka bank 
INE614G01033, Reliance power 
INE615H01020, Titagarh wagons 
INE615P01015, Quess corp 
INE621H01010, Religare enterprises 
INE621L01012, Texmaco rail eng 
INE628A01036, Upl 
INE634I01029, Knr constructions 
INE635Q01029, Gulf oil lubricants 
INE640A01023, Skf 
INE646L01027, Interglobe aviation 
INE647A01010, Srf 
INE647O01011, Aditya birla fashion retail 
INE650K01021, 8k miles soft services 
INE659A01023, Sudarshan chemical industries 
INE660C01027, Centrum capital 
INE661I01014, Bgr energy systems 
INE663A01017, Supreme petrochem 
INE663F01024, Info edge 
INE665A01038, Swan energy 
INE665J01013, V mart retail 
INE667A01018, Syndicate bank
INE668F01031, Jyothy laboratories 
INE669C01036, Tech mahindra 
INE669E01016, Idea cellular 
INE670A01012, Tata elxsi 
INE671A01010, Honeywell automation 
INE671H01015, Sobha 
INE672A01018, Tata investment corporation 
INE674A01014, Tata sponge iron 
INE674K01013, Aditya birla capital 
INE683A01023, South n bank 
INE684F01012, Firstsource solutions 
INE685A01028, Torrent pharmaceuticals 
INE686A01026, Itd cementation 
INE686F01025, United breweries 
INE688I01017, Capital first 
INE690A01010, Ttk prestige 
INE691A01018, Uco bank
INE692A01016, Union bank of 
INE694A01020, Unitech 
INE694C01018, Lakshmi vilas bank 
INE700A01033, Jubilant life sciences 
INE702C01019, Apl apollo tubes 
INE703B01027, Ratnamani metals tubes 
INE704P01017, Cochin shipyard 
INE705A01016, Vijaya bank
INE710A01016, Vst industries 
INE716A01013, Whirlpool of 
INE721A01013, Shriram transport finance co 
INE722A01011, Shriram city union finance 
INE725A01022, Nava bharat ventures 
INE725G01011, Icra 
INE726G01019, Icici prudential life insurance company 
INE733E01010, Ntpc 
INE736A01011, Central depository services 
INE738I01010, Eclerx services 
INE739E01017, Cera sanitaryware 
INE742F01042, Adani ports special economic zone 
INE745G01035, Multi commodity exchange of 
INE749A01030, Jindal steel power 
INE750C01026, Marksans pharma 
INE752E01010, Power grid corporation of 
INE752H01013, Care ratings 
INE752P01024, Future retail 
INE761H01022, Page industries 
INE764L01010, Sadbhav infrastructure project 
INE765G01017, Icici lombard general insurance company 
INE769A01020, Aarti industries 
INE774D01024, Mahindra mahindra financial services 
INE775A01035, Motherson sumi systems 
INE775B01025, Kwality 
INE776C01039, Gmr infrastructure 
INE780C01023, Jm financial 
INE782A01015, Johnson controls hitachi air conditioning 
INE785M01013, Pc jeweller 
INE786A01032, Jk lakshmi cement 
INE787D01026, Balkrishna industries 
INE790G01031, Shilpa medicare 
INE791I01019, Brigade enterprises 
INE797F01012, Jubilant foodworks 
INE800H01010, Omaxe 
INE802G01018, Jet airways 
INE805D01034, Sunteck realty 
INE811K01011, Prestige estates projects 
INE813A01018, Mahindra lifespace developers 
INE813H01021, Torrent power 
INE814H01011, Adani power 
INE821I01014, Irb infrastructure developers 
INE823G01014, Jk cement 
INE824B01021, Bhushan steel 
INE825A01012, Vardhman textiles 
INE836A01035, Kpit technologies 
INE836F01026, Dish tv 
INE837H01020, Advanced enzyme tech 
INE839M01018, Schneider electric infrastructure 
INE842C01021, Minda corporation 
INE844O01022, Gujarat gas 
INE848E01016, Nhpc 
INE849A01020, Trent 
INE850D01014, Godrej agrovet 
INE852F01015, Gateway distriparks 
INE854D01016, United spirits 
INE855B01025, Rain industries 
INE858B01011, Isgec heavy engineering 
INE860A01027, Hcl technologies 
INE868B01028, Ncc 
INE870D01012, National fertilizers 
INE870H01013, Network18 media investments 
INE871C01020, Avanti feeds 
INE872A01014, Srei infrastructure finance 
INE873D01024, Indoco remedies 
INE876N01018, Orient cement 
INE877F01012, Ptc 
INE878A01011, Ge power 
INE878B01027, Kei industries 
INE879I01012, D b realty 
INE881D01027, Oracle financial services software 
INE883A01011, Mrf 
INE883N01014, Parag milk foods 
INE885A01032, Amara raja batteries 
INE886H01027, Tv18 broadcast 
INE891D01026, Redington 
INE895B01021, Rupa company 
INE901L01018, Alembic pharmaceuticals 
INE913H01037, Endurance technologies 
INE916U01025, Sheela foam 
INE917I01010, Bajaj auto 
INE917M01012, Dilip buildcon 
INE918I01018, Bajaj finserv 
INE930H01023, Kpr mill 
INE931S01010, Adani transmission 
INE933K01021, Bajaj corp 
INE935A01035, Glenmark pharmaceuticals 
INE935N01012, Dixon technologies 
INE942G01012, Mcleod russel 
INE944F01028, Radico khaitan 
INE947J01015, Den networks 
INE947Q01010, Laurus labs 
INE949L01017, Au small finance bank 
INE950I01011, Dbcorp 
INE951I01027, V guard industries 
INE956G01038, Va tech wabag 
INE965H01011, Siti networks 
INE974H01013, Meghmani organics 
INE975G01012, Il&fs transportation networks 
INE976G01028, Rbl bank 
INE978A01027, Heritage foods 
INE982F01036, Hathway cable datacom 
INE987B01026, Natco pharma 
INE988K01017, Equitas holdings 
INE998I01010, Mahindra holidays resorts 
