comp_name, plan_units_1k, demat_units_1k, tbd_units, tbd_pct, demat_last_txn_date, demat_last_txn_type, top_500, sc_score
Nlc,3,1,2,66.67,03-Oct-2017,Buy,yes,27
Nmdc,5,2,3,60.00,01-Feb-2018,Buy,yes,27
Ntpc,10,7,3,30.00,06-Dec-2017,Buy,yes,25
Oil natural gas corporation,3,3,0,0.00,06-Dec-2017,Buy,yes,27
Oil natural gas corporation,5,3,2,40.00,06-Dec-2017,Buy,yes,27
Pc jeweller,2,1,1,50.00,02-Aug-2017,Buy,yes,19
Petronet lng,4,2,2,50.00,01-Feb-2018,Buy,yes,21
Pfizer,2,2,0,0.00,19-Sep-2017,Buy,yes,20
Pi industries,3,0,3,100.00,02-Feb-2018,Buy,yes,0
Pidilite industries,2,2,0,0.00,04-Apr-2018,Buy,yes,0
Piramal enterprises,5,5,0,0.00,04-Apr-2018,Buy,yes,17
Power finance corporation,5,2,3,60.00,01-Nov-2017,Buy,yes,0
Power grid corporation of,5,5,0,0.00,27-Feb-2017,Buy,yes,0
Prestige estates projects,5,1,4,80.00,08-Jun-2017,Buy,yes,16
Procter gamble hygiene health care,6,7,-1,-16.67,09-Jun-2017,Buy,yes,0
-,2,0,2,100.00,,,-,0
Pvr,5,2,3,60.00,02-Jan-2018,Buy,yes,14
Quess corp,3,1,2,66.67,01-Feb-2018,Buy,yes,9
Rajesh exports,2,3,-1,-50.00,04-Apr-2018,Buy,yes,11
Rallis,2,2,0,0.00,04-Apr-2018,Buy,yes,19
Relaxo footwears,5,2,3,60.00,02-Jan-2018,Buy,yes,11
Reliance industries,10,6,4,40.00,27-Nov-2017,Buy,yes,0
Rural electrification corporation,5,4,1,20.00,01-Nov-2017,Buy,yes,0
Sanofi,2,4,-2,-100.00,19-Sep-2017,Buy,yes,20
Sbi life insurance company,5,1,4,80.00,03-Oct-2017,Buy,yes,9
Sbi life insurance company,5,1,4,80.00,03-Oct-2017,Buy,yes,9
Sheela foam,2,1,1,50.00,02-Feb-2018,Buy,yes,10
Shipping corporation of,3,2,1,33.33,04-Apr-2018,Buy,yes,0
Shoppers stop,2,2,0,0.00,01-Feb-2018,Buy,yes,9
Shriram transport finance co,3,1,2,66.67,03-Oct-2017,Buy,yes,17
Siemens,5,2,3,60.00,02-Jan-2018,Buy,yes,18
Skf,2,1,1,50.00,02-Jun-2017,Buy,yes,19
Sobha,2,1,1,50.00,08-Jun-2017,Buy,yes,17
Somany ceramics,2,0,2,100.00,13-Nov-2017,Buy,yes,13
Sun pharmaceutical industries,5,10,-5,-100.00,10-Mar-2017,Buy,yes,0
