comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, t500, sc_score, sc_cmp, sc_iv, sc_graham
Basf,INE373A01013,2,3,-1,-50.0,04-Apr-2018,90,Buy,yes,11,1869,0,631
Supreme industries,INE195A01028,2,2,0,0.0,04-Apr-2018,90,Buy,yes,18,1131,2217,337
Hindustan unilever,INE030A01027,10,2,8,80.0,04-Apr-2018,90,Buy,yes,0,0,0,0
Axis bank,INE238A01034,2,2,0,0.0,04-Apr-2018,90,Buy,yes,11,504,-223,100
Pidilite industries,INE318A01026,2,3,-1,-50.0,04-Apr-2018,90,Buy,yes,19,1028,737,193
Rajesh exports,INE343B01030,2,4,-2,-100.0,04-Apr-2018,90,Buy,yes,11,601,0,474
Shipping corporation of,INE109A01011,3,2,1,33.0,04-Apr-2018,90,Buy,yes,15,56,0,136
Tata power co,INE245A01021,2,2,0,0.0,04-Apr-2018,90,Buy,yes,22,71,0,109
Piramal enterprises,INE140A01024,5,5,0,0.0,04-Apr-2018,90,Buy,yes,16,759,290,292
Titan company,INE280A01028,5,4,1,20.0,04-Apr-2018,90,Buy,yes,17,836,2407,129
Britannia industries,INE216A01022,5,9,-4,-80.0,04-Apr-2018,90,Buy,yes,19,6129,2619,761
Dr reddys laboratories,INE089A01023,5,4,1,20.0,04-Apr-2018,90,Buy,yes,0,0,0,0
Rallis,INE613A01020,2,2,0,0.0,04-Apr-2018,90,Buy,yes,19,188,377,108
Trent,INE849A01020,2,2,0,0.0,04-Apr-2018,90,Buy,yes,16,300,295,62
Ncc,INE868B01028,2,2,0,0.0,04-Apr-2018,90,Buy,yes,14,90,-169,26
Nbcc,INE095N01031,5,2,3,60.0,04-Apr-2018,90,Buy,yes,17,72,83,21
Crisil,INE007A01025,3,4,-1,-33.0,04-Apr-2018,90,Buy,yes,20,1789,4685,393
Larsen toubro,INE018A01030,10,7,3,30.0,04-Apr-2018,90,Buy,yes,18,1234,4014,730
Bharat heavy electricals,INE257A01026,5,3,2,40.0,04-Apr-2018,90,Buy,yes,17,69,-27,66
Colgate palmolive,INE259A01022,2,2,0,0.0,04-Apr-2018,90,Buy,yes,17,1155,3453,199
Fortis healthcare,INE061F01013,2,2,0,0.0,04-Apr-2018,90,Buy,yes,6,134,-110,0
Hsil,INE415A01038,2,2,0,0.0,04-Apr-2018,90,Buy,yes,17,329,-6550,221
Whirlpool of,INE716A01013,2,3,-1,-50.0,04-Apr-2018,90,Buy,yes,11,1498,1206,299
Kotak mahindra bank,INE237A01028,2,2,0,0.0,04-Apr-2018,90,Buy,yes,0,0,0,0
Tata chemicals,INE092A01019,2,3,-1,-50.0,04-Apr-2018,90,Buy,yes,26,689,-12081,996
Monsanto,INE274B01011,5,5,0,0.0,04-Apr-2018,90,Buy,yes,20,2857,1793,928
Bharat electronics,INE263A01024,5,7,-2,-40.0,04-Apr-2018,90,Buy,yes,23,103,124,68
Gail,INE129A01019,4,2,2,50.0,10-Apr-2018,84,Buy,yes,23,319,21381,295
Manappuram finance,INE522D01027,2,1,1,50.0,18-Apr-2018,76,Buy,yes,20,96,14,92
V guard industries,INE951I01027,2,1,1,50.0,19-Apr-2018,75,Buy,yes,14,195,129,35
Uflex,INE516A01017,2,1,1,50.0,28-May-2018,36,Buy,yes,18,249,649,726
Mahindra cie automotive,INE536H01010,2,1,1,50.0,28-May-2018,36,Buy,yes,10,245,0,144
L&t finance holdings,INE498L01015,2,1,1,50.0,28-May-2018,36,Buy,yes,0,0,0,0
Larsen toubro infotech,INE214T01019,2,2,0,0.0,28-May-2018,36,Buy,yes,0,0,0,0
L&t technology services,INE010V01017,2,1,1,50.0,28-May-2018,36,Buy,yes,18,1176,0,464
Tata consultancy services,INE467B01029,10,17,-7,-70.0,05-Jun-2018,28,Buy,yes,20,1842,2257,581
Essel propack,INE255A01020,2,1,1,50.0,26-Jun-2018,7,Buy,yes,19,118,105,70
Shree renuka sugars,INE087H01022,0,1,-1,0.0,28-Jun-2018,5,Buy,yes,0,0,0,0
Greenply industries,INE461C01038,0,1,-1,0.0,28-Jun-2018,5,Buy,yes,14,230,183,136
Idea cellular,INE669E01016,5,3,2,40.0,28-Jun-2018,5,Buy,yes,11,56,0,0
Emami,INE548C01032,5,2,3,60.0,29-Jun-2018,4,Buy,yes,20,501,943,83
Sun tv network,INE424H01027,0,0,0,0.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Skf,INE640A01023,2,4,-2,-100.0,03-Jul-2018,0,Buy,yes,19,1721,8799,729
Container corporation of,INE111A01017,3,0,3,100.0,,0,,yes,0,0,0,0
Pc jeweller,INE785M01013,2,2,0,0.0,03-Jul-2018,0,Buy,yes,19,135,164,179
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Brigade enterprises,INE791I01019,2,2,0,0.0,03-Jul-2018,0,Buy,yes,16,211,151,172
Iifl holdings,INE530B01024,0,0,0,0.0,,0,,yes,0,0,0,0
La opala rg,INE059D01020,0,0,0,0.0,,0,,yes,0,0,0,0
Akzo nobel,INE133A01011,2,4,-2,-100.0,03-Jul-2018,0,Buy,yes,18,1840,4695,763
Havells,INE176B01034,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,18,522,763,119
Tata steel,INE081A01012,5,6,-1,-20.0,03-Jul-2018,0,Buy,yes,19,548,-891,1295
Ge power,INE878A01011,0,0,0,0.0,,0,,yes,0,0,0,0
Cadila healthcare,INE010B01027,3,2,1,33.0,03-Jul-2018,0,Buy,yes,20,378,335,182
Godrej consumer products,INE102D01028,5,2,3,60.0,03-Jul-2018,0,Buy,yes,19,1217,1200,234
-,,2,0,2,100.0,,0,,-,0,0,0,0
Sundaram clayton,INE105A01035,0,0,0,0.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Krbl,INE001B01026,2,2,0,0.0,03-Jul-2018,0,Buy,yes,18,323,154,203
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Ashok leyland,INE208A01029,0,0,0,0.0,,0,,yes,0,0,0,0
Aia engineering,INE212H01026,0,0,0,0.0,,0,,yes,0,0,0,0
Info edge,INE663F01024,5,3,2,40.0,03-Jul-2018,0,Buy,yes,15,1147,0,0
Engineers,INE510A01028,5,2,3,60.0,03-Jul-2018,0,Buy,yes,22,120,-163,81
Hero motocorp,INE158A01026,5,7,-2,-40.0,03-Jul-2018,0,Buy,yes,21,3516,6465,1697
-,,0,0,0,0.0,,0,,-,0,0,0,0
Cochin shipyard,INE704P01017,0,0,0,0.0,,0,,yes,0,0,0,0
Infosys,INE009A01021,10,11,-1,-10.0,03-Jul-2018,0,Buy,yes,20,1289,1907,700
-,,2,0,2,100.0,,0,,-,0,0,0,0
Amara raja batteries,INE885A01032,1,2,-1,-100.0,03-Jul-2018,0,Buy,yes,14,728,688,333
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Schneider electric infrastructure,INE839M01018,0,0,0,0.0,,0,,yes,0,0,0,0
Sobha,INE671H01015,2,2,0,0.0,03-Jul-2018,0,Buy,yes,17,445,-1476,394
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Hindustan construction co,INE549A01026,0,0,0,0.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Arvind,INE034A01011,3,2,1,33.0,03-Jul-2018,0,Buy,yes,14,386,442,203
Tata motors dvr,IN9155A01020,5,0,5,100.0,,0,,yes,15,263,-358,367
-,,0,0,0,0.0,,0,,-,0,0,0,0
Bajaj finance,INE296A01024,0,0,0,0.0,,0,,yes,0,0,0,0
Gulf oil lubricants,INE635Q01029,0,0,0,0.0,,0,,yes,0,0,0,0
Yes bank,INE528G01027,2,0,2,100.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Icici lombard general insurance company,INE765G01017,5,3,2,40.0,03-Jul-2018,0,Buy,yes,15,696,0,207
Bajaj electricals,INE193E01025,0,0,0,0.0,,0,,yes,0,0,0,0
-,,5,0,5,100.0,,0,,-,0,0,0,0
Bharat forge,INE465A01025,2,0,2,100.0,,0,,yes,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
Prestige estates projects,INE811K01011,5,2,3,60.0,03-Jul-2018,0,Buy,yes,16,269,159,176
Jubilant foodworks,INE797F01012,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,14,1364,-3214,168
Glenmark pharmaceuticals,INE935A01035,3,2,1,33.0,03-Jul-2018,0,Buy,yes,13,572,453,346
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Ceat,INE482A01020,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,16,1249,232,920
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Dr lal path labs,INE600L01024,2,2,0,0.0,03-Jul-2018,0,Buy,yes,17,934,532,215
Radico khaitan,INE944F01028,0,0,0,0.0,,0,,yes,0,0,0,0
Wabco,INE342J01019,0,0,0,0.0,,0,,yes,0,0,0,0
-,,5,0,5,100.0,,0,,-,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Apar industries,INE372A01015,0,0,0,0.0,,0,,yes,0,0,0,0
Indusind bank,INE095A01012,2,0,2,100.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Housing urban development corporation,INE031A01017,2,2,0,0.0,03-Jul-2018,0,Buy,yes,18,55,164,66
Great eastern shipping co,INE017A01032,0,0,0,0.0,,0,,yes,0,0,0,0
Adani ports special economic zone,INE742F01042,5,2,3,60.0,03-Jul-2018,0,Buy,yes,15,361,198,201
Tvs srichakra,INE421C01016,0,0,0,0.0,,0,,yes,0,0,0,0
Niit technologies,INE591G01017,0,0,0,0.0,,0,,yes,0,0,0,0
Ge t&d,INE200A01026,0,0,0,0.0,,0,,yes,0,0,0,0
United spirits,INE854D01016,10,0,10,100.0,,0,,yes,8,657,-4278,77
-,,2,0,2,100.0,,0,,-,0,0,0,0
Dewan housing finance corporation,INE202B01012,0,0,0,0.0,,0,,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Aditya birla capital,INE674K01013,2,0,2,100.0,,0,,yes,0,0,0,0
Hindalco industries,INE038A01020,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,15,221,-270,176
Schaeffler,INE513A01014,0,0,0,0.0,,0,,yes,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
Hcl technologies,INE860A01027,5,2,3,60.0,03-Jul-2018,0,Buy,yes,23,909,506,649
Tata investment corporation,INE672A01018,2,0,2,100.0,,0,,yes,0,0,0,0
Avanti feeds,INE871C01020,2,0,2,100.0,,0,,yes,21,548,176,250
Ti financial holdings,INE149A01033,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,14,609,761,358
Raymond,INE301A01014,0,0,0,0.0,,0,,yes,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Central depository services,INE736A01011,2,2,0,0.0,03-Jul-2018,0,Buy,yes,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
Bse,INE118H01025,2,3,-1,-50.0,03-Jul-2018,0,Buy,yes,25,837,12144,1381
Sml isuzu,INE294B01019,0,0,0,0.0,,0,,yes,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
Nilkamal,INE310A01015,2,4,-2,-100.0,03-Jul-2018,0,Buy,yes,16,1608,993,1027
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,0,0,0,0.0,,0,,-,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
-,,2,0,2,100.0,,0,,-,0,0,0,0
National fertilizers,INE870D01012,0,0,0,0.0,,0,,yes,0,0,0,0
Godrej properties,INE484J01027,2,2,0,0.0,03-Jul-2018,0,Buy,yes,11,711,533,150
-,,5,0,5,100.0,,0,,-,0,0,0,0
Tvs motor company,INE494B01023,5,3,2,40.0,03-Jul-2018,0,Buy,yes,17,557,601,142
