comp_id, comp_name, hold_qty, hold_price, hold_units, last_txn_type, last_txn_date
MARLIM,MARICO LIMITED,7,2229,2,Buy,02-Jan-2018
MARUTI,MARUTI SUZUKI INDIA LTD,1,11300,11,Buy,09-Jun-2017
MONSIN,MONSANTO INDIA LIMITED,2,5498,5,Buy,04-Apr-2018
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,6,2082,2,Buy,06-Dec-2017
MUTFIN,MUTHOOT FINANCE LIMITED,4,1737,1,Buy,01-Nov-2017
NAGCON,NCC LIMITED,21,2232,2,Buy,04-Apr-2018
NARHRU,NARAYANA HRUDAYALAYA LIMITED,7,2198,2,Buy,02-Jan-2018
NATALU,NATIONAL ALUMINIUM CO LTD,34,2916,2,Buy,01-Sep-2017
NATMIN,NMDC LIMITED,17,2247,2,Buy,01-Feb-2018
NBCC,NBCC (INDIA) LIMITED,10,2055,2,Buy,04-Apr-2018
NESIND,NESTLE INDIA LIMITED,1,6634,6,Buy,09-Jun-2017
NEWIN,THE NEW INDIA ASSURANCE CO LTD,2,1478,1,Buy,13-Nov-2017
NEYLIG,NLC INDIA LIMITED,12,1116,1,Buy,03-Oct-2017
NHPC,NHPC LIMITED,40,1080,1,Buy,03-Oct-2017
NILLIM,NILKAMAL LIMITED,1,1968,1,Buy,14-Jun-2017
NTPC,NTPC LIMITED,42,7043,7,Buy,06-Dec-2017
OILIND,OIL INDIA LIMITED,10,2192,2,Buy,06-Apr-2018
ONGC,OIL AND NATURAL GAS CORPORATIO,25,3130,3,Buy,06-Dec-2017
PCJEW,PC JEWELLER LIMITED,4,1020,1,Buy,02-Aug-2017
PETLNG,PETRONET LNG LIMITED,9,2038,2,Buy,01-Feb-2018
PFIZER,PFIZER LTD,1,2506,2,Buy,19-Sep-2017
PIDIND,PIDILITE INDUSTRIES LTD,3,2528,2,Buy,04-Apr-2018
PIIND,P I INDUSTRIES LTD,1,883,0,Buy,02-Feb-2018
PIRENT,PIRAMAL ENTERPRISES LIMITED,2,5399,5,Buy,04-Apr-2018
POWFIN,POWER FINANCE CORPORATION LTD,17,2211,2,Buy,01-Nov-2017
POWGRI,POWER GRID CORPORATION OF INDI,29,5092,5,Buy,27-Feb-2017
PREEST,PRESTIGE ESTATES PROJECTS LIMI,4,1008,1,Buy,08-Jun-2017
PROGAM,PROCTER & GAMBLE HYGIENE & HEA,1,7950,7,Buy,09-Jun-2017
PURPRO,PURAVANKARA LIMITED,23,4659,4,Buy,04-Apr-2018
PVRLIM,PVR LIMITED,2,2848,2,Buy,02-Jan-2018
QUECOR,QUESS CORP LIMITED,1,1006,1,Buy,01-Feb-2018
RAJEXP,RAJESH EXPORTS LIMITED,4,3638,3,Buy,04-Apr-2018
RALIND,RALLIS INDIA LTD,10,2405,2,Buy,04-Apr-2018
RELFOO,RELAXO FOOTWEARS LIMITED,4,2298,2,Buy,02-Jan-2018
RELIND,RELIANCE INDUSTRIES,15,6869,6,Buy,27-Nov-2017
RURELE,RURAL ELECTRIFICATION CORPORAT,12,4612,4,Buy,01-Nov-2017
SANOFI,SANOFI INDIA LTD,1,4052,4,Buy,19-Sep-2017
SBIGOL,SBI-ETF GOLD,41,112076,112,Buy,09-Apr-2018
SBILIF,SBI LIFE INSURANCE COMPANY LTD,2,1436,1,Buy,03-Oct-2017
SCI,SHIPPING CORP OF INDIA LT,27,2133,2,Buy,04-Apr-2018
SHEFOA,SHEELA FOAM LIMITED,1,1608,1,Buy,02-Feb-2018
SHOSTO,SHOPPERS STOP LIMITED,5,2055,2,Buy,01-Feb-2018
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,1,1062,1,Buy,03-Oct-2017
SIEMEN,SIEMENS LTD,2,2789,2,Buy,02-Jan-2018
SKFIND,SKF INDIA LIMITED,1,1814,1,Buy,02-Jun-2017
SOBDEV,SOBHA LIMITED,3,1161,1,Buy,08-Jun-2017
SOMCER,SOMANY CERAMICS LIMITED,1,857,0,Buy,13-Nov-2017
STABAN,STATE BANK OF INDIA,20,2112,2,Buy,05-May-2017
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,15,10790,10,Buy,10-Mar-2017
SUPIND,SUPREME INDUSTRIES LTD,2,2343,2,Buy,04-Apr-2018
TALWAL,TALWALKARS BETTER VALUE FITNES,8,2348,2,Buy,01-Feb-2018
TATCHE,TATA CHEMICALS LTD,4,2762,2,Buy,04-Apr-2018
TATCO,TATA COFFEE LTD,15,2206,2,Buy,01-Nov-2017
TATGLO,TATA GLOBAL BEVERAGES LIMITED,12,2372,2,Buy,01-Nov-2017
TATMOT,TATA MOTORS LIMITED,8,-2231,-3,Buy,08-Sep-2017
TATPOW,TATA POWER CO LTD,25,2127,2,Buy,04-Apr-2018
TATSTE,TATA STEEL LIMITED,11,4464,4,Buy,25-Jan-2017
TCS,TATA CONSULTANCY SERVICES LTD,8,16987,16,Buy,20-Mar-2017
TECMAH,TECH MAHINDRA LIMITED,6,2764,2,Buy,01-Feb-2018
THOCOO,THOMAS COOK (INDIA) LTD,10,2275,2,Buy,01-Feb-2018
TITIND,TITAN COMPANY LIMITED,6,3771,3,Buy,04-Apr-2018
TRENT,TRENT LTD (LAKME LTD),7,2035,2,Buy,04-Apr-2018
TTKPRE,TTK PRESTIGE LTD,1,6364,6,Buy,18-Jul-2017
TUBIN,TUBE INVESTMENTS OF INDIA LTD,5,1195,1,Buy,04-Apr-2018
TUBINV,TI FINANCIAL HOLDINGS LIMITED,2,1366,1,Buy,02-Jun-2017
TVSMOT,TVS MOTOR COMPANY LIMITED,4,2318,2,Buy,01-Sep-2017
ULTCEM,ULTRATECH CEMENT LIMITED,3,12123,12,Buy,25-Jan-2017
UNIBR,UNITED BREWERIES LTD,2,1856,1,Buy,01-Nov-2017
UNIP,UPL LIMITED,7,5152,5,Buy,25-Jan-2017
UNISPI,UNITED SPIRITS LIMITED,5,12586,12,Buy,06-Dec-2017
UTGOLD,UTI GOLD ETF,43,108370,108,Buy,10-Apr-2018
VARBEV,VARUN BEVERAGES LIMITED,4,2466,2,Buy,02-Jan-2018
VEDLIM,VEDANTA LIMITED,20,5100,5,Buy,25-Jan-2017
VENIND,VENKYS INDIA LIMITED,1,2089,2,Buy,22-Sep-2017
VIPIND,VIP INDUSTRIES LTD,9,2231,2,Buy,02-Jan-2018
VOLTAS,VOLTAS LTD,4,2126,2,Buy,01-Nov-2017
VRLLOG,VRL LOGISTICS LIMITED,6,2298,2,Buy,01-Feb-2018
VSTTIL,VSTTILLERS TRACTORS LTD,1,2034,2,Buy,12-Jun-2017
WESDEV,WESTLIFE DEVELOPMENT LTD,4,952,0,Buy,08-Sep-2017
WHIIND,WHIRLPOOL OF INDIA LTD,2,2696,2,Buy,04-Apr-2018
WIPRO,WIPRO LTD,22,6380,6,Buy,21-Jun-2017
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,10,6052,6,Buy,06-Dec-2017
ZEELEA,ZEE LEARN LIMITED,47,2065,2,Buy,01-Nov-2017
