comp_id, comp_name, buy_qty, sale_qty, buy_price, sale_price, last_txn_type, last_txn_date
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,43,0,2063,0,Buy,01-Feb-2018
CERSAN,CERA SANITARYWARE LIMITED,1,0,3037,0,Buy,14-Jun-2017
CHAFER,CHAMBAL FERTILISERS & CHEMICAL,7,0,1008,0,Buy,16-Oct-2017
CIPLA,CIPLA LIMITED,1022,541,4012,3201,Buy,02-Jan-2018
CNKLIM,COX & KINGS LIMITED,44,0,2060,0,Buy,01-Feb-2018
COALIN,COAL INDIA LIMITED,4273322222224,6,12086,2022,Buy,27-Nov-2017
COFDAY,COFFEE DAY ENTERPRISES LTD,44,0,2208,0,Buy,04-Apr-2018
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,11,0,2164,0,Buy,04-Apr-2018
CONCOR,CONTAINER CORPORATION OF INDIA,5511,10,11124,6650,Buy,04-Apr-2018
CORINT,COROMANDEL INTERNATIONAL LIMIT,32,0,2275,0,Buy,01-Nov-2017
CPSETF,CPSE ETF,573383534,0,11638,0,Buy,09-Oct-2017
CRISIL,CRISIL LIMITED,11,0,3725,0,Buy,04-Apr-2018
CROGR,CROMPTON GREAVES CONS ELEC LTD,4,0,1024,0,Buy,28-Nov-2017
CUMIND,CUMMINS INDIA LTD,12,0,2678,0,Buy,06-Dec-2017
DABIND,DABUR INDIA LTD,43,0,2179,0,Buy,02-Jan-2018
DISHTV,DISH TV INDIA LIMITED,1315,0,2111,0,Buy,01-Feb-2018
DLFLIM,DLF LIMITED,55432264,165,14469,5872,Buy,02-Jan-2018
DRLAL,DR. LAL PATHLABS LIMITED,1,0,805,0,Buy,19-Sep-2017
DRREDD,DR REDDY'S LABORATORIES LTD,10311511,182,15562,11442,Buy,04-Apr-2018
EICMOT,EICHER MOTORS LTD,1,1,32544,31200,Sell,08-Nov-2017
EIDPAR,EID PARRY (INDIA) LTD,33,0,1977,0,Buy,01-Feb-2018
EIHLIM,EIH LIMITED,87,0,2086,0,Buy,02-Jan-2018
EMALIM,EMAMI LIMITED,11,0,2412,0,Buy,02-Jan-2018
ENGIND,ENGINEERS INDIA LTD,7,0,1113,0,Buy,08-Sep-2017
EVEIND,EVEREADY INDUSTRIES INDIA LTD,33,0,1959,0,Buy,01-Nov-2017
EXIIND,EXIDE INDUSTRIES LTD,5,0,1105,0,Buy,16-Jun-2017
FORHEA,FORTIS HEALTHCARE LIMITED,571,0,2040,0,Buy,04-Apr-2018
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,33,0,2160,0,Buy,01-Feb-2018
FUTRE,FUTURE RETAIL LIMITED,32,0,2286,0,Buy,01-Feb-2018
FUTRET,FUTURE ENTERPRISES LIMITED,3,3,726,759,Sell,11-Nov-2008
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,2,0,1344,0,Buy,02-Feb-2018
FUTVEN,FUTURE CONSUMER LIMITED,20,0,1140,0,Buy,02-Feb-2018
GAIL,GAIL (INDIA) LIMITED,215321,125,4615,2303,Buy,10-Apr-2018
GIC,GENERAL INSURANCE CORP INDIA,2,0,1598,0,Buy,25-Oct-2017
GILIND,GILLETTE INDIA LTD,1,0,4863,0,Buy,12-Jun-2017
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,1,0,5069,0,Buy,19-Sep-2017
GLEPHA,GLENMARK PHARMACEUTICALS LTD,2,0,1228,0,Buy,19-Sep-2017
GODAGR,GODREJ AGROVET LIMITED,2,0,1180,0,Buy,16-Oct-2017
GODCON,GODREJ CONSUMER PRODUCTS LTD,1,0,935,0,Buy,25-Sep-2017
GODIND,GODREJ INDUSTRIES LIMITED,2,0,1218,0,Buy,16-Oct-2017
GODPRO,GODREJ PROPERTIES LIMITED,2,0,1040,0,Buy,08-Jun-2017
GOLDEX,RELIANCE ETF GOLD BEES,12282111111111611111510511111,0,154724,0,Buy,17-Oct-2017
GRASIM,GRASIM INDUSTRIES LIMITED,11,1,2796,1050,Buy,16-Oct-2017
GREEIN,GREENLAM INDUSTRIES LIMITED,11,0,2221,0,Buy,01-Feb-2018
GRINOR,GRINDWELL NORTON LTD,3,0,1290,0,Buy,17-Oct-2017
HAVIND,HAVELLS INDIA LIMITED,3,0,1431,0,Buy,31-Jul-2017
HCLTEC,HCL TECHNOLOGIES LIMITED,34111111,7,6038,4606,Buy,27-Feb-2017
HDFBAN,HDFC BANK LIMITED,1413111111111111111,6,19387,3936,Buy,14-Mar-2017
HDFC,HOUSING DEVELOPMENT FINANCE CO,11111111,0,10973,0,Buy,06-Dec-2017
HDFGOL,HDFC GOLD ETF,11111111111111111110211,0,87941,0,Buy,15-Dec-2017
HDFSTA,HDFC STANDARD LIFE INS CO LTD,3,0,1035,0,Buy,17-Nov-2017
HERHON,HERO MOTOCORP LIMITED,11,1,4636,720,Buy,09-Jun-2017
HINDAL,HINDALCO INDUSTRIES LIMITED,61054,16,3481,1776,Buy,01-Sep-2017
HINLEV,HINDUSTAN UNILEVER LIMITED,5533331,5101,9354,6961,Buy,04-Apr-2018
HINPET,HINDUSTAN PETROLEUM CORP,12105213,423,8912,5772,Buy,02-Jan-2018
HINZIN,HINDUSTAN ZINC LTD,102753,730,8321,6231,Buy,02-Jan-2018
HITHOM,JOHNSON CONTROLS HITACHI AIR I,1,0,2064,0,Buy,17-Oct-2017
HONAUT,HONEYWELL AUTOMATION INDIA LTD,1,1,12398,14951,Sell,08-Nov-2017
HOTLEE,HOTEL LEELA VENTURE LIMITED,25,25,950,575,Sell,11-Nov-2008
HSILIM,HSIL LIMITED,33,0,2379,0,Buy,04-Apr-2018
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,12,0,1056,0,Buy,19-Sep-2017
ICI100,ICICI PRUDENTIAL NIFTY 100 ETF,988889,0,5645,0,Buy,21-Mar-2018
ICIBAN,ICICI BANK LIMITED,421015,411,9289,4038,Buy,06-Dec-2017
ICILOM,ICICI LOMBARD GEN INSURANCE CO,2,0,1354,0,Buy,27-Sep-2017
ICIMID,ICICI PRU MIDCAP SELECT ETF,1313121414,0,4805,0,Buy,07-Mar-2018
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,33,0,2436,0,Buy,01-Nov-2017
ICRLIM,ICRA LIMITED,1,0,4139,0,Buy,22-Jun-2017
IDBI,IDBI BANK LIMITED,25,25,1975,2200,Sell,05-Aug-2008
IDECEL,IDEA CELLULAR LTD,10101051011,2096,5041,2673,Buy,01-Nov-2017
IFBIND,IFB INDUSTRIES LIMITED,1,0,1359,0,Buy,28-Nov-2017
INDCEM,INDIA CEMENTS LTD,12,12,1956,1032,Sell,11-Nov-2008
INDHO,INDIABULLS HOUSING FINANCE LTD,1,0,1242,0,Buy,03-Oct-2017
INDHOT,INDIAN HOTELS CO LTD,25254646,146111,12269,2400,Buy,06-Dec-2017
INDIBA,INDIAN BANK,2010,921,4080,4110,Sell,11-Nov-2008
INDOIL,INDIAN OIL CORPORATION LIMITED,52136,32,4147,2110,Buy,23-Mar-2018
INDTOU,INDIA TOURISM DEVELOPMENT CORP,11,2,1020,1032,Sell,27-Dec-2017
INFEDG,INFO EDGE (INDIA) LIMITED,11,0,2190,0,Buy,18-Sep-2017
INFTEC,INFOSYS LTD,11121111111,1,11588,2313,Buy,17-Mar-2017
INTAVI,INTERGLOBE AVIATION LIMITED,11,0,2308,0,Buy,01-Nov-2017
ITC,ITC LIMITED,522211215222222222116,3193,13086,7475,Buy,02-Nov-2017
IVRPRI,IVRCL Assets & Holdings Limite,1013,1310,3020,828,Sell,20-Nov-2008
JAIASS,JAIPRAKASH ASSOCIATES LIMITED,586,19,1422,1368,Sell,11-Feb-2013
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,10,0,1140,0,Buy,29-Nov-2017
JINSP,JINDAL STEEL & POWER LIMITED,4,4,1848,1644,Sell,11-Feb-2013
JKPAP,JK PAPER LIMITED,10,0,1050,0,Buy,02-Jun-2017
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,1652,0,2387,0,Buy,01-Feb-2018
JSWSTE,JSW STEEL LIMITED,55,0,2200,0,Buy,06-Dec-2017
JUBFOO,JUBILANT FOODWORKS LIMITED,11,0,3017,0,Buy,01-Feb-2018
KAJCER,KAJARIA CERAMICS LTD,111,0,2089,0,Buy,01-Nov-2017
KANNER,KANSAI NEROLAC PAINTS,32,0,2353,0,Buy,02-Jan-2018
KAVSEE,KAVERI SEED COMPANY LTD,2,0,998,0,Buy,02-Feb-2018
KOTGOL,KOTAK  GOLD ETF,11121518055101010102840101046,0,80172,0,Buy,20-Dec-2017
KOTMAH,KOTAK MAHINDRA BANK LTD,11,0,2049,0,Buy,04-Apr-2018
KOTNIF,KOTAK MAHINDRA MF - NIFTY ETF,1010101019999999,0,10488,0,Buy,15-Mar-2018
KRBL,KRBL LIMITED,2,0,970,0,Buy,22-Sep-2017
KSBPUM,KSB PUMPS LIMITED,21,0,2194,0,Buy,04-Apr-2018
LARTOU,LARSEN AND TOUBRO LIMITED,121121,1,8384,1492,Buy,04-Apr-2018
LICHF,LIC HOUSING FINANCE LIMITED,21,0,2060,0,Buy,01-Nov-2017
LUPIN,LUPIN LIMITED,111111,0,8943,0,Buy,28-Feb-2017
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,3,0,1272,0,Buy,03-Oct-2017
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,213,0,2184,0,Buy,02-Jan-2018
MAHLO,MAHINDRA LOGISTICS LIMITED,2,0,950,0,Buy,02-Feb-2018
MAHMAH,MAHINDRA & MAHINDRA LIMITED,105553112,2206,18010,13508,Buy,28-Dec-2017
MARLIM,MARICO LIMITED,43,0,2229,0,Buy,02-Jan-2018
MARUTI,MARUTI SUZUKI INDIA LTD,10201,2811,30667,19367,Buy,09-Jun-2017
MONSIN,MONSANTO INDIA LIMITED,11,0,5498,0,Buy,04-Apr-2018
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,312,0,2082,0,Buy,06-Dec-2017
MRFTYR,MRF LTD,1,1,62615,65059,Sell,08-Nov-2017
MTNL,MAHANAGAR TELEPHONE NIGAM LTD,2510,35,3830,2485,Sell,11-Nov-2008
MUTFIN,MUTHOOT FINANCE LIMITED,211,0,1737,0,Buy,01-Nov-2017
NAGCON,NCC LIMITED,129,0,2232,0,Buy,04-Apr-2018
NARHRU,NARAYANA HRUDAYALAYA LIMITED,43,0,2198,0,Buy,02-Jan-2018
NATALU,NATIONAL ALUMINIUM CO LTD,262014,8,3292,376,Buy,01-Sep-2017
NATMIN,NMDC LIMITED,107,0,2247,0,Buy,01-Feb-2018
NBCC,NBCC (INDIA) LIMITED,55,0,2055,0,Buy,04-Apr-2018
NESIND,NESTLE INDIA LIMITED,1,0,6634,0,Buy,09-Jun-2017
NEWIN,THE NEW INDIA ASSURANCE CO LTD,2,0,1478,0,Buy,13-Nov-2017
NEYLIG,NLC INDIA LIMITED,12,0,1116,0,Buy,03-Oct-2017
NHPC,NHPC LIMITED,40,0,1080,0,Buy,03-Oct-2017
NILLIM,NILKAMAL LIMITED,1,0,1968,0,Buy,14-Jun-2017
NTPC,NTPC LIMITED,74533316206,25,10718,3675,Buy,06-Dec-2017
OILIND,OIL INDIA LIMITED,433,0,2192,0,Buy,06-Apr-2018
OMALIM,OMAXE LIMITED,25510101010,70,18140,4480,Sell,11-Nov-2008
ONGC,OIL AND NATURAL GAS CORPORATIO,52111263106,516,13078,9948,Buy,06-Dec-2017
ORIBAN,ORIENTAL BANK OF COMMERCE,1467,27,4933,4023,Sell,11-Nov-2008
PAGIND,PAGE INDUSTRIES LTD,1,1,17060,20997,Sell,08-Nov-2017
PARDE,PARSVNATH DEVELOPERS LIMITED,2461010111107310,1847,23026,4416,Sell,11-Nov-2008
PCJEW,PC JEWELLER LIMITED,4,0,1020,0,Buy,02-Aug-2017
PETLNG,PETRONET LNG LIMITED,54,0,2038,0,Buy,01-Feb-2018
PFIZER,PFIZER LTD,51,5,4976,2470,Buy,19-Sep-2017
PIDIND,PIDILITE INDUSTRIES LTD,21,0,2528,0,Buy,04-Apr-2018
PIIND,P I INDUSTRIES LTD,1,0,883,0,Buy,02-Feb-2018
PIRENT,PIRAMAL ENTERPRISES LIMITED,11,0,5399,0,Buy,04-Apr-2018
POWFIN,POWER FINANCE CORPORATION LTD,98,0,2211,0,Buy,01-Nov-2017
POWGRI,POWER GRID CORPORATION OF INDI,1055555545,20,7352,2260,Buy,27-Feb-2017
PREEST,PRESTIGE ESTATES PROJECTS LIMI,4,0,1008,0,Buy,08-Jun-2017
PROGAM,PROCTER & GAMBLE HYGIENE & HEA,1,0,7950,0,Buy,09-Jun-2017
PUNBAN,PUNJAB NATIONAL BANK,621,621,4746,4865,Sell,11-Feb-2013
PURPRO,PURAVANKARA LIMITED,1010157,10,5219,560,Buy,04-Apr-2018
PVRLIM,PVR LIMITED,11,0,2848,0,Buy,02-Jan-2018
QUECOR,QUESS CORP LIMITED,1,0,1006,0,Buy,01-Feb-2018
RAJEXP,RAJESH EXPORTS LIMITED,142022,34,4420,782,Buy,04-Apr-2018
RALIND,RALLIS INDIA LTD,55,0,2405,0,Buy,04-Apr-2018
RELCOM,RELIANCE COMMUNICATIONS LIMITE,125313,1311,10293,4008,Sell,01-Jan-2013
RELFOO,RELAXO FOOTWEARS LIMITED,112,0,2298,0,Buy,02-Jan-2018
RELGOL,RELIANCE SHARES GOLD ETF,111111,6,16150,16278,Sell,04-Nov-2016
RELIND,RELIANCE INDUSTRIES,1111321111171,7,12945,6076,Buy,27-Nov-2017
RELINF,RELIANCE INFRASTRUCTURE LTD,1,1,633,606,Sell,11-Nov-2008
RELPOW,RELIANCE POWER LIMITED,17355108072,10182,44502,22606,Sell,11-Nov-2008
RURELE,RURAL ELECTRIFICATION CORPORAT,6566,2441,8967,4355,Buy,01-Nov-2017
SAIL,STEEL AUTHORITY OF INDIA LTD,520,520,1985,2280,Sell,29-Dec-2017
SANOFI,SANOFI INDIA LTD,1,0,4052,0,Buy,19-Sep-2017
SATCOM,SATYAM COMPUTER SERVICES LTD,54294,51621324,52371,37029,Sell,01-Jan-2013
SBIGOL,SBI-ETF GOLD,111111111111111111112211411111231,0,112076,0,Buy,09-Apr-2018
SBILIF,SBI LIFE INSURANCE COMPANY LTD,2,0,1436,0,Buy,03-Oct-2017
SCI,SHIPPING CORP OF INDIA LT,1215,0,2133,0,Buy,04-Apr-2018
SHEFOA,SHEELA FOAM LIMITED,1,0,1608,0,Buy,02-Feb-2018
SHOSTO,SHOPPERS STOP LIMITED,32,0,2055,0,Buy,01-Feb-2018
SHRCEM,SHREE CEMENTS LTD,1,1,18418,18424,Sell,08-Nov-2017
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,1,0,1062,0,Buy,03-Oct-2017
SIEMEN,SIEMENS LTD,211,2,3413,624,Buy,02-Jan-2018
SKFIND,SKF INDIA LIMITED,131,4,2482,668,Buy,02-Jun-2017
SOBDEV,SOBHA LIMITED,3,0,1161,0,Buy,08-Jun-2017
SOMCER,SOMANY CERAMICS LIMITED,1,0,857,0,Buy,13-Nov-2017
STABAN,STATE BANK OF INDIA,1111010,21,9254,7142,Buy,05-May-2017
STEIND,STERLITE INDUSTRIES (INDIA) LT,13,4,765,412,Sell,11-Feb-2013
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,111111111111111,0,10790,0,Buy,10-Mar-2017
SUPIND,SUPREME INDUSTRIES LTD,11,0,2343,0,Buy,04-Apr-2018
SUZENE,SUZLON ENERGY LIMITED,410148,1422,2588,1040,Sell,01-Jan-2013
TALWAL,TALWALKARS BETTER VALUE FITNES,44,0,2348,0,Buy,01-Feb-2018
TATCHE,TATA CHEMICALS LTD,322,3,3278,516,Buy,04-Apr-2018
TATCO,TATA COFFEE LTD,87,0,2206,0,Buy,01-Nov-2017
TATELX,TATA ELXSI LIMITED,6910,25,4955,2575,Sell,11-Nov-2008
TATGLO,TATA GLOBAL BEVERAGES LIMITED,175,1,2909,537,Buy,01-Nov-2017
TATMOT,TATA MOTORS LIMITED,1221653,10119,11079,13310,Buy,08-Sep-2017
TATPOW,TATA POWER CO LTD,11312,1,2870,743,Buy,04-Apr-2018
TATSTE,TATA STEEL LIMITED,2311,5,6394,1930,Buy,25-Jan-2017
TCS,TATA CONSULTANCY SERVICES LTD,10211111111,81111,26733,9746,Buy,20-Mar-2017
TECMAH,TECH MAHINDRA LIMITED,42,0,2764,0,Buy,01-Feb-2018
THOCOO,THOMAS COOK (INDIA) LTD,523,0,2275,0,Buy,01-Feb-2018
TITIND,TITAN COMPANY LIMITED,2211,0,3771,0,Buy,04-Apr-2018
TRENT,TRENT LTD (LAKME LTD),43,0,2035,0,Buy,04-Apr-2018
TTKPRE,TTK PRESTIGE LTD,1,0,6364,0,Buy,18-Jul-2017
TUBIN,TUBE INVESTMENTS OF INDIA LTD,5,0,1195,0,Buy,04-Apr-2018
TUBINV,TI FINANCIAL HOLDINGS LIMITED,2,0,1366,0,Buy,02-Jun-2017
TVSMOT,TVS MOTOR COMPANY LIMITED,22,0,2318,0,Buy,01-Sep-2017
ULTCEM,ULTRATECH CEMENT LIMITED,43,4,13511,1388,Buy,25-Jan-2017
UNIBAN,UNION BANK OF INDIA,21,21,2898,3129,Sell,05-Aug-2008
UNIBR,UNITED BREWERIES LTD,11,0,1856,0,Buy,01-Nov-2017
UNIP,UPL LIMITED,7,0,5152,0,Buy,25-Jan-2017
UNISPI,UNITED SPIRITS LIMITED,141,1,13368,782,Buy,06-Dec-2017
UNITEC,UNITECH LTD,1086519,82119,8006,4988,Sell,01-Jan-2013
UTGOLD,UTI GOLD ETF,12111814141511111113111,0,108370,0,Buy,10-Apr-2018
VARBEV,VARUN BEVERAGES LIMITED,22,0,2466,0,Buy,02-Jan-2018
VEDLIM,VEDANTA LIMITED,20,0,5100,0,Buy,25-Jan-2017
VENIND,VENKYS INDIA LIMITED,1,0,2089,0,Buy,22-Sep-2017
VIJBAN,VIJAYA BANK,55012,67,3431,1943,Sell,11-Nov-2008
VIPIND,VIP INDUSTRIES LTD,513,0,2231,0,Buy,02-Jan-2018
VOLTAS,VOLTAS LTD,22,0,2126,0,Buy,01-Nov-2017
VRLLOG,VRL LOGISTICS LIMITED,33,0,2298,0,Buy,01-Feb-2018
VSTTIL,VSTTILLERS TRACTORS LTD,1,0,2034,0,Buy,12-Jun-2017
WESDEV,WESTLIFE DEVELOPMENT LTD,4,0,952,0,Buy,08-Sep-2017
WHIIND,WHIRLPOOL OF INDIA LTD,11,0,2696,0,Buy,04-Apr-2018
WIPRO,WIPRO LTD,1014111111111,551,10211,3831,Buy,21-Jun-2017
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,101122121,10,7342,1290,Buy,06-Dec-2017
ZEELEA,ZEE LEARN LIMITED,2522,0,2065,0,Buy,01-Nov-2017
