Sector,Industry,Company,Investment Multiplier,Planned Units,Planned Value,Present Value,TBD Value,TBD Units,TBD %,Last Date
Sugar,Sugar,EID Parry,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Tourism & Hospitality,Hotels,EIH,1000,3,3000,2000,1000,1.00,0.33,2-Jan-2018
FMCG,Personal Care,Emami,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Infrastructure,Infrastructure - General,Engineers India,1000,5,5000,1000,4000,4.00,0.80,8-Sep-2017
FMCG,Dry Cells,Eveready,1000,2,2000,2000,0,0.00,0.00,1-Nov-2017
Auto components,Auto Ancilliary,Exide,1000,1,1000,1000,0,0.00,0.00,16-Jun-2017
Pharma & Healthcare,Hospitals & Medical Services,Fortis Healthcare,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
FMCG,Food Processing,Future consumer Ltd,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
Retail,Retail,Future Lifestyle Fashions,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Retail,Retail,Future Retail,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Logistics,Transport & Logistics,Future supply chain,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
Oil & Gas,Oil Drilling & Exploration,GAIL,1000,4,4000,2000,2000,2.00,0.50,2-Jan-2018
BFSI,Finance - Insurance,GIC Re,1000,5,5000,1000,4000,4.00,0.80,25-Oct-2017
FMCG,Personal Care,Gillette India,1000,2,2000,2000,0,0.00,0.00,12-June-2017
Pharma & Healthcare,Pharmaceuticals,Glenmark Pharma,1000,3,3000,1000,2000,2.00,0.67,19-Sep-2017
FMCG,Aquaculture,Godrej Agrovet,1000,2,2000,1000,1000,1.00,0.50,16-Oct-2017
FMCG,Personal Care,Godrej Consumer,1000,5,5000,1000,4000,4.00,0.80,25-Sep-2017
Diversified,Diversified,Godrej Industries,1000,3,3000,1000,2000,2.00,0.67,16-Oct-2017
Real Estate,Construction & Contracting : Real Estate,Godrej Properties,1000,2,2000,2000,0,0.00,0.00,8-Jun-2017
Diversified,Diversified,Grasim,1000,3,3000,1000,2000,2.00,0.67,16-Oct-2017
Real Estate,Z Misc: Woodwork,Greenlam,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Engineering,Abrsavies,Grindwell Norton,1000,2,2000,1000,1000,1.00,0.50,17-Oct-2017
FMCG,Food Processing,GSK Consumer,1000,5,5000,5000,0,0.00,0.00,19-Sep-2017
Engineering,Electric Equipments,Havells,1000,2,2000,1500,500,0.50,0.25,31-Jul-2017
IT,Computer Software,HCL Tech,1000,5,5000,5000,0,0.00,0.00,27-Feb-2017
BFSI,Finance - Housing,HDFC,1000,10,10000,11000,-1000,-1.00,-0.10,6-Dec-2017
BFSI,Banks-Private,HDFC Bank,1000,10,10000,17000,-7000,-7.00,-0.70,14-Mar-2017
BFSI,Finance - Insurance,HDFC Standard Life,1000,5,5000,1000,4000,4.00,0.80,17-Nov-2017
Automobiles,Auto -2&3,Hero Motocorp,1000,5,5000,4000,1000,1.00,0.20,9-Jun-2017
Metals,Aluminium,Hindalco,1000,2,2000,2000,0,0.00,0.00,1-Sep-2017
Metals,Metals - Non Ferrous,Hindustan Zinc,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Oil & Gas,Refineries,Hindustan Petroleum,1000,3,3000,2000,1000,1.00,0.33,2-Jan-2018
Ceramics,Ceramics & Granite,HSIL Ltd,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Real Estate,Construction & Contracting : Real Estate,HUDCO,1000,2,2000,5600,-3600,-3.60,-1.80,19-Sep-2017
FMCG,Personal Care,Hindustan Unilever,1000,10,10000,6000,4000,4.00,0.40,5-Apr-2018
BFSI,Banks-Private,ICICI Bank,1000,5,5000,4000,1000,1.00,0.20,6-Dec-2017
BFSI,Finance - Insurance,ICICI Lombard,1000,5,5000,1500,3500,3.50,0.70,27-Sep-2017
BFSI,Finance - Insurance,ICICI Prudential,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
BFSI,Z Misc : Credit Rating,ICRA,1000,5,5000,4000,1000,1.00,0.20,22-Jun-2017
Telecom,Telecommunication - Service,Idea,1000,5,5000,1800,3200,3.20,0.64,1-Nov-2017
Consumer Durables,Consumer Goods : White Goods,IFB Industries,1000,2,2000,1000,1000,1.00,0.50,28-Nov-2017
BFSI,Finance - Housing,Indiabulls Housing Finance,1000,3,3000,1000,2000,2.00,0.67,3-Oct-2017
Tourism & Hospitality,Hotels,Indian Hotels,1000,10,10000,6000,4000,4.00,0.40,6-Dec-2017
IT,Computer Software,InfoEdge,1000,5,5000,2000,3000,3.00,0.60,18-Sep-2017
IT,Computer Software,Infosys,1000,10,10000,10000,0,0.00,0.00,17-Mar-2017
Logistics,Transport & Logistics,Interglobe Aviation,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Oil & Gas,Refineries,Indian Oil ,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Tobacco,Cigarettes,ITC,1000,10,10000,10000,0,0.00,0.00,2-Nov-2017
Pulp & Paper,Paper,JK Paper,1000,2,2000,2000,0,0.00,0.00,2-Jun-2017
Tyres,Tyres,JK Tyre,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Plastic & Rubber,Plastics,Jain irrigation Systems,1000,2,2000,1000,1000,1.00,0.50,29-Nov-2017
Consumer Durables,Consumer Goods : White Goods,Johnson Control,1000,2,2000,2000,0,0.00,0.00,17-Oct-2017
Steel,Steel - Large,JSW Steel,1000,5,5000,2000,3000,3.00,0.60,6-Dec-2017
Tourism & Hospitality,Z Misc : Hospitality,Jubilant Foodworks,1000,2,2000,3000,-1000,-1.00,-0.50,1-Feb-2018
Ceramics,Ceramics & Granite,Kajaria Ceramics,1000,2,2000,2000,0,0.00,0.00,1-Nov-2017
Paints,Paints & Varnishes,Kansai Nerolac,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Agriculture,Agriculture Products,Kaveri Seeds,1000,3,3000,3000,1000,1.00,0.33,2-Feb-2018
BFSI,Banks-Private,Kotak Mahindra Bank,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
FMCG,Food Processing,KRBL,1000,2,2000,1000,1000,1.00,0.50,22-Sep-2017
Engineering,Pumps,KSB Pumps,1000,2,2000,2300,-300,-0.30,-0.15,5-Apr-2018
Infrastructure,Infrastructure - General,Larsen & Toubro Ltd,1000,10,10000,7000,3000,3.00,0.30,5-Apr-2018
BFSI,Finance - Housing,LIC Housing Finance,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Pharma & Healthcare,Pharmaceuticals,Lupin,1000,5,5000,10000,-5000,-5.00,-1.00,28-Feb-2017
Automobiles,Auto -Cars,Mahindra & Mahindra,1000,5,5000,2000,3000,3.00,0.60,1-Sep-2017
BFSI,Finance - Leasing & Hire Purchase,Mahindra & Mahindra Finance,1000,3,3000,1000,2000,2.00,0.67,3-Oct-2017
Tourism & Hospitality,Hotels,Mahindra Holidays,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Logistics,Transport & Logistics,Mahindra Logistics,1000,2,2000,1000,1000,1.00,0.50,2-Feb-2018
BFSI,Finance - Leasing & Hire Purchase,Manappuram Finance,1000,2,2000,1000,1000,1.00,0.50,18-Apr-2018
FMCG,Personal Care,Marico,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Automobiles,Auto -Cars,Maruti,1000,5,5000,5000,0,0.00,0.00,9-Jun-2017
Agro Chemicals,Pesticides & Agro Chemicals,Monsanto,1000,5,5000,5000,0,0.00,0.00,5-Apr-2018
Auto components,Auto Ancilliary,Motherson Sumi,1000,2,2000,2000,0,0.00,0.00,6-Dec-2017
BFSI,Finance - Investments,Muthoot Finance,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Metals,Aluminium,National aluminium company,1000,2,2000,2000,0,0.00,0.00,1-Sep-2017
Pharma & Healthcare,Hospitals & Medical Services,Narayana Hrudayalya,1000,3,3000,2000,1000,1.00,0.33,2-Jan-2018
Infrastructure,Infrastructure - General,NBCC,1000,5,5000,2000,3000,3.00,0.60,5-Apr-2018
Real Estate,Construction & Contracting : Civil,NCC,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
FMCG,Food Processing,Nestle,1000,5,5000,6500,-1500,-1.50,-0.30,9-Jun-2017
BFSI,Finance - Insurance,New India Assurance,1000,5,5000,1000,4000,4.00,0.80,13-Nov-2017
Power,Power - Generation & Distribution,NHPC,1000,3,3000,1000,2000,2.00,0.67,3-Oct-2017
Plastic & Rubber,Plastics,Nilkamal,1000,2,2000,2000,0,0.00,0.00,14-Jun-2017
Power,Power - Generation & Distribution,NLC,1000,3,3000,1000,2000,2.00,0.67,3-Oct-2017
Metals,Mining & Minerals,NMDC,1000,5,5000,2000,3000,3.00,0.60,1-Feb-2018
Power,Power - Generation & Distribution,NTPC,1000,10,10000,6000,4000,4.00,0.40,6-Dec-2017
Oil & Gas,Oil Drilling & Exploration,Oil India,1000,3,3000,2000,1000,1.00,0.33,1-Feb-2018
Oil & Gas,Oil Drilling & Exploration,Oil & Natural Gas,1000,5,5000,5000,0,0.00,0.00,6-Dec-2017
FMCG,Personal Care,Procter & Gamble,1000,6,6000,7000,-1000,-1.00,-0.17,9-Jun-2017
Agro Chemicals,Pesticides & Agro Chemicals,P I Industries,1000,3,3000,3000,1000,1.00,0.33,2-Feb-2018
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,PC Jewellers,1000,2,2000,1000,1000,1.00,0.50,01-Nov-2017
Oil & Gas,Oil Drilling & Exploration,Petronet LNG,1000,4,4000,2000,2000,2.00,0.50,1-Feb-2018
Pharma & Healthcare,Pharmaceuticals,Pfizer,1000,2,2000,1000,1000,1.00,0.50,19-Sep-2017
Chemicals,Chemicals,Pidilite,1000,2,2000,2600,-600,-0.60,-0.30,5-Apr-2018
Pharma & Healthcare,Pharmaceuticals,Piramal Enterprises,1000,5,5000,5000,0,0.00,0.00,5-Apr-2018
BFSI,Finance - Term Lending Institutions,Power Finance Corp,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Power,Power - Generation & Distribution,Power Grid Corp,1000,5,5000,5000,0,0.00,0.00,27-Jan-2017
Real Estate,Construction & Contracting : Real Estate,Prestige Estates,1000,5,5000,10000,-5000,-5.00,-1.00,8-Jun-2017
Real Estate,Construction & Contracting : Real Estate,Puravankara,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Media,Media & Entertainment,PVR,1000,5,5000,3000,2000,2.00,0.40,2-Jan-2018
Engineering,Engineering,Quess corp,1000,3,3000,1000,2000,2.00,0.67,1-Feb-2018
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,Rajesh Exports,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Agro Chemicals,Pesticides & Agro Chemicals,Rallis,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Leather,Leather Products,Relaxo,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Oil & Gas,Refineries,Reliance Industries,1000,10,10000,8000,2000,2.00,0.20,27-Nov-2017
BFSI,Finance - Term Lending Institutions,Rural Electrification,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Pharma & Healthcare,Pharmaceuticals,Sanofi India,1000,2,2000,4000,-2000,-2.00,-1.00,19-Sep-2017
BFSI,Banks-Public,State Bank of India,1000,5,5000,5000,0,0.00,0.00,5-May-2017
BFSI,Finance - Insurance,SBI Life,1000,5,5000,1000,4000,4.00,0.80,03-Oct-2017
Retail,Home Furnishing - Mattresses,Sheela Foam,1000,2,2000,1600,400,0.40,0.20,2-Feb-2018
Logistics,Shipping,Shipping corporation,1000,3,3000,2000,1000,1.00,0.33,5-Apr-2018
Retail,Retail,Shoppers Stop,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
BFSI,Finance - Leasing & Hire Purchase,Shriram Transport Finance,1000,3,3000,1000,2000,2.00,0.67,3-Oct-2017
Infrastructure,Infrastructure - General,Siemens,1000,5,5000,3000,2000,2.00,0.40,2-Jan-2018
Auto components,Bearings,SKF,1000,2,2000,1600,400,0.40,0.20,20-Jun-2017
Real Estate,Construction & Contracting : Real Estate,Sobha,1000,2,2000,5000,-3000,-3.00,-1.50,8-Jun-2017
Ceramics,Ceramics & Granite,Somany Ceramics,1000,2,2000,1000,1000,1.00,0.50,13-Nov-2017
Pharma & Healthcare,Pharmaceuticals,Sun Pharma,1000,5,5000,11000,-6000,-6.00,-1.20,10-Mar-2017
Plastic & Rubber,Plastics,Supreme Industries,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Retail,Z Misc: Fitness,Talwalkars Better Value Fitness,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Chemicals,Chemicals,Tata Chemicals,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Plantations,Plantations - Tea & Coffee,Tata Coffee,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Plantations,Plantations - Tea & Coffee,Tata Global Beverages,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Automobiles,Auto -LCV&HCV,Tata Motors,1000,5,5000,3000,2000,2.00,0.40,8-Sep-2017
Power,Power - Generation & Distribution,Tata Power,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Steel,Steel - Large,Tata Steel,1000,5,5000,5000,0,0.00,0.00,25-Jan-2017
IT,Computer Software,TCS,1000,10,10000,18000,-8000,-8.00,-0.80,20-Mar-2017
IT,Computer Software,Tech Mahindra,1000,5,5000,3000,2000,2.00,0.40,1-Feb-2018
Tourism & Hospitality,Z Misc : Hospitality,Thomas Cook,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
BFSI,Finance - Investments,TI Financial holdings,1000,2,2000,1000,1000,1.00,0.50,19-Sep-2017
Gems & Jewellery,Diamong Cutting & Jewellery & Precious Metals,Titan,1000,5,5000,4000,1000,1.00,0.20,5-Apr-2018
Retail,Retail,Trent,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Consumer Durables,Domestic Appliances,TTK Prestige,1000,5,5000,6500,-1500,-1.50,-0.30,18-Jul-2017
Automobiles,Auto -2&3,Tube Investments,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
Automobiles,Auto -2&3,TVS Motor company,1000,5,5000,2000,3000,3.00,0.60,1-Sep-2017
Cement,Cement : Major,UltraTech,1000,10,10000,12000,-2000,-2.00,-0.20,25-Jan-2017
Alcoholic Beverages,Breweries & Distillaries,United Breweries,1000,5,5000,2000,3000,3.00,0.60,1-Nov-2017
Alcoholic Beverages,Breweries & Distillaries,United Spirits,1000,10,10000,12000,-2000,-2.00,-0.20,6-Dec-2017
Agro Chemicals,Chemicals,UPL,1000,2,2000,5000,-3000,-3.00,-1.50,25-Jan-2017
Engineering,Electric Equipments,V-Guard Industries,1000,2,2000,1500,500,0.50,0.25,19-Apr-2018
FMCG,Food Processing,Varun Beverages,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Metals,Mining & Minerals,Vedanta,1000,5,5000,5000,0,0.00,0.00,25-Jan-2017
FMCG,Food Processing,Venky's,1000,2,2000,2000,0,0.00,0.00,22-Sep-2017
Plastic & Rubber,Plastics,VIP Industries,1000,5,5000,2000,3000,3.00,0.60,2-Jan-2018
Consumer Durables,Consumer Goods : Electronic,Voltas,1000,2,2000,2000,0,0.00,0.00,1-Nov-2017
Logistics,Transport & Logistics,VRL Logistics,1000,2,2000,2000,0,0.00,0.00,1-Feb-2018
Automobiles,Auto -Tractors,VST Tillers Tractors,1000,2,2000,2000,0,0.00,0.00,12-Jun-2017
Tourism & Hospitality,Hotels,West Life Development,1000,2,2000,1000,1000,1.00,0.50,8-Sep-2017
Consumer Durables,Consumer Goods : White Goods,Whirlpool,1000,2,2000,2000,0,0.00,0.00,5-Apr-2018
IT,Computer Software,Wipro,1000,5,5000,5600,-600,-0.60,-0.12,21-Jun-2017
Tourism & Hospitality,Z Misc : Hospitality,Wonderla,1000,2,2000,1000,1000,1.00,0.50,18-Apr-2018
Media,Media & Entertainment,Zee Entertainment,1000,5,5000,5000,0,0.00,0.00,06-Dec-2017
Education,Computer Education,Zee Learn,1000,2,2000,2000,0,0.00,0.00,1-Nov-2017
