+-------------+-----------+--------------+
| bhav_ticker | bhav_last |  bhav_isin   |
|  CENTURYTEX |   308.5   | INE055A01016 |
|     CERA    |   2700.0  | INE739E01017 |
|  CEREBRAINT |    27.9   | INE345B01019 |
|     CESC    |   585.0   | INE486A01013 |
|   CESCVENT  |   245.7   | INE425Y01011 |
|     CGCL    |   247.1   | INE180C01026 |
|   CGPOWER   |   33.25   | INE067A01029 |
|    CHALET   |   142.0   | INE427F01016 |
|  CHAMBLFERT |   167.8   | INE085A01013 |
|   CHEMBOND  |   153.9   | INE995D01025 |
|   CHEMCON   |   413.95  | INE03YM01018 |
|   CHEMFAB   |   117.0   | INE783X01023 |
|  CHENNPETRO |   76.95   | INE178A01016 |
|   CHOLAFIN  |   304.65  | INE121A01024 |
|  CHOLAHLDNG |   421.0   | INE149A01033 |
|  CIGNITITEC |   448.0   | INE675C01017 |
|   CINELINE  |   31.75   | INE704H01022 |
|  CINEVISTA  |    6.4    | INE039B01026 |
|    CIPLA    |   741.5   | INE059A01026 |
|  CLEDUCATE  |   60.35   | INE201M01011 |
|   CLNINDIA  |   307.0   | INE492A01029 |
|  CMICABLES  |    33.9   | INE981B01011 |
|  CNOVAPETRO |    6.5    | INE672K01025 |
|  COALINDIA  |   126.05  | INE522F01014 |
|  COCHINSHIP |   334.95  | INE704P01017 |
|   COFORGE   |  2291.25  | INE591G01017 |
|    COLPAL   |   1500.0  | INE259A01022 |
|   COMPINFO  |    13.9   | INE070C01037 |
|  COMPUSOFT  |    7.1    | INE453B01029 |
|    CONCOR   |   400.2   | INE111A01025 |
|   CONFIPET  |   25.75   | INE552D01024 |
|  CONSOFINVT |    33.3   | INE025A01027 |
|  CONTROLPR  |   212.0   | INE663B01015 |
|  CORALFINAC |    19.5   | INE558D01021 |
|  CORDSCABLE |    39.2   | INE792I01017 |
|  COROMANDEL |   712.1   | INE169A01031 |
|  COSMOFILMS |   438.05  | INE757A01017 |
|   CPSEETF   |   17.77   | INF457M01133 |
|   CREATIVE  |   118.0   | INE985W01018 |
|  CREATIVEYE |    2.9    | INE230B01021 |
|  CREDITACC  |   684.25  | INE741K01010 |
