"Stock","ISIN","Broker Average Target Rs","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","ROE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Revenue Annual 2Yr Growth %","Net Profit 5Yr Growth %","Interest Coverage Ratio Annual","Promoter holding pledge percentage % Qtr","3Yr Low Rs","5Yr Low Rs","My Notes"
"NHPC Ltd.","INE848E01016","25","0.6","6.9","8.4","47.7","22.7","18.7","5.8","0","15.1","15.1","Notes"
"Gujarat Gas Ltd.","INE844O01030","320.4","0.9","14.1","17.9","7.7","67.2","170.3","7.3","0","115","90.6","Notes"
"Minda Corporation Ltd.","INE842C01021","88","0.4","19.4","16.7","11.6","48.9","80.2","4.9","0","52.8","52.8","Notes"
"Advanced Enzyme Tech..","INE837H01020","222","0.0","22.7","16.3","7.6","14.6","156.8","60.0","0","98.1","98.1","Notes"
"Dish TV India Ltd.","INE836F01026","21","0.4","14.4","0.2","-7.4","102.2","-638.2","1.0","93.5","3.9","3.9","Notes"
"Vardhman Textiles Ltd.","INE825A01012","700","0.4","15.2","12.6","14.1","7.3","29.9","5.8","0","601.1","601.1","Notes"
"JK Cement Ltd.","INE823G01014","1,412.6","1.0","12.2","11.4","27.7","18.2","240.6","3.7","0","649.6","425","Notes"
"IRB Infrastructure D..","INE821I01014","108.6","2.5","7.3","14.4","5.5","20.2","35.8","1.7","17.6","45.6","45.6","Notes"
"Torrent Power Ltd.","INE813H01021","4","1.0","10.5","10.7","38.3","17.3","225.1","2.5","48.5","176.7","139.2","Notes"
"Mahindra Lifespace D..","INE813A01018","380","0.1","4.7","5.8","-49.7","0.3","-160.0","-3.9","0","171.6","171.6","Notes"
"Prestige Estates Pro..","INE811K01011","311","1.9","13.0","9.2","17.6","48.1","48.4","1.8","0","133.7","129.6","Notes"
"Sunteck Realty Ltd.","INE805D01034","495.5","0.2","15.3","9.2","10.5","-7.2","31.8","10.0","0","145","86","Notes"
"Jubilant Foodworks L..","INE797F01012","1,516.3","0","34.7","23.7","29.9","31.4","151.0","3.6","3.6","542.6","380.3","Notes"
"HDFC Life Insurance ..","INE795G01014","580.5","0","1.0","22.9","12.8","28.9","65.2","0","0","307","307","Notes"
"Brigade Enterprises ..","INE791I01019","203.6","1.6","10.9","9.5","19.1","37.8","-2.2","1.5","0","90.5","80.7","Notes"
"JK Paper Ltd.","INE789E01012","155","0.6","20.4","19.3","20.0","10.4","2,642.9","6.4","0","62","34.2","Notes"
"Balkrishna Industrie..","INE787D01026","1,276.3","0.2","24.2","17.1","32.0","5.8","103.1","129.0","0","679","274.5","Notes"
"JK Lakshmi Cement Ltd.","INE786A01032","307.5","1.2","8.4","3.6","16.0","15.5","140.0","2.8","0","179.8","179.8","Notes"
"JM Financial Ltd.","INE780C01023","65","2.7","14.4","12.2","6.3","6.8","115.7","1.8","0","55.5","33.3","Notes"
"TCNS Clothing Co. Ltd.","INE778U01029","653.3","0","28.0","22.2","0","38.4","164.1","2.7","0","295.1","295.1","Notes"
"Motherson Sumi Syste..","INE775A01035","118.7","1.0","15.2","15.2","44.1","12.9","-4.2","4.4","13.1","48.7","48.7","Notes"
"Mahindra & Mahindra ..","INE774D01024","190","5.2","10.0","14.8","22.6","51.6","12.4","1.3","0","125.4","125.4","Notes"
"Aarti Industries Ltd.","INE769A01020","1,004.8","0.8","20.5","19.5","14.2","10.0","182.2","6.4","0","410.5","173.8","Notes"
"Zydus Wellness Ltd.","INE768C01010","1,525","0.5","9.9","9.8","33.2","224.6","27.5","2.2","0","846.5","632.3","Notes"
"Mahindra Logistics L..","INE766P01016","307.5","0.1","24.9","16.5","16.6","1.8","43.9","5.6","0","195","195","Notes"
"ICICI Lombard Genera..","INE765G01017","1,172.7","0.1","24.9","19.0","19.2","51.3","103.9","0","0","638.7","638.7","Notes"
"ICICI Securities Ltd.","INE763G01038","507.3","0.4","39.7","53.0","54.7","-7.3","84.4","9.7","0","188","188","Notes"
"Page Industries Ltd.","INE761H01022","20,597","0.1","70.5","47.5","76.4","15.4","75.1","14.6","0","15,116.2","9,752.4","Notes"
"Future Retail Ltd.","INE752P01024","419.7","0.7","0","0","0","-","-","4.2","80.3","60.7","60.7","Notes"
"CARE Ratings Ltd.","INE752H01013","360","0","36.5","25.7","111.7","-23.2","-39.4","113.2","0","235","235","Notes"
"Power Grid Corporati..","INE752E01010","218.8","2.3","9.6","16.3","43.0","27.1","116.1","2.3","0","122.2","120.6","Notes"
"Jindal Steel & Power..","INE749A01030","176.7","1.1","4.1","-4.9","0","34.9","72.5","1.0","74.8","62","48.1","Notes"
"Multi Commodity Exch..","INE745G01035","1,436.7","0","10.3","10.4","49.4","43.0","88.6","1,659.3","0","643.5","643.5","Notes"
"Orient Refractories ..","INE743M01012","230","-","-","-","34.0","-","-","0","0","108","70.5","Notes"
"Adani Ports & Specia..","INE742F01042","380","1.1","14.8","16.7","14.0","11.4","63.0","3.4","58.3","203","169.2","Notes"
"CreditAccess Grameen..","INE741K01010","577","2.1","12.9","14.0","0","93.3","572.0","1.8","0","242.1","242.1","Notes"
"eClerx Services Ltd.","INE738I01010","448.3","0.0","23.7","19.0","1.7","5.6","-9.0","15.9","0","320","320","Notes"
"NTPC Ltd.","INE733E01010","128","1.4","7.1","11.0","35.0","25.4","15.1","3.0","0","73.2","73.2","Notes"
"ICICI Prudential Lif..","INE726G01019","438.4","0","0.9","18.7","25.7","44.5","-34.7","0","0","226.1","226.1","Notes"
"Shriram City Union F..","INE722A01011","775.5","3.7","11.2","14.4","12.9","14.7","79.6","1.6","0","625","625","Notes"
"Shriram Transport Fi..","INE721A01013","1,038.5","5.5","10.7","17.0","10.3","22.8","143.3","1.4","0","440","440","Notes"
"Whirlpool of India L..","INE716A01013","2,185","0","27.3","19.2","12.9","24.4","-","33.9","0","1,122","555.6","Notes"
"VST Industries Ltd.","INE710A01016","4,000","0","49.9","33.2","50.2","32.5","99.8","0","0","2,470","1,388.0","Notes"
"Cochin Shipyard Ltd.","INE704P01017","370.7","0.0","20.6","13.6","31.6","44.1","-","20.1","0","209.1","209.1","Notes"
"Ratnamani Metals & T..","INE703B01027","1,363.8","0.0","22.3","14.9","22.5","47.0","77.3","20.4","0","719.1","396.4","Notes"
"APL Apollo Tubes Ltd.","INE702C01019","2,103","0.7","27.5","16.5","17.2","45.0","301.5","3.8","0","1,003.3","383.1","Notes"
"Jubilant Life Scienc..","INE700A01033","606.4","1.0","15.0","13.2","13.5","21.8","2,336.7","5.3","0","234.4","194.3","Notes"
"TTK Prestige Ltd.","INE690A01010","6,382.3","0.0","22.0","19.6","20.2","11.4","-","46.1","0","3,901.1","2,868.3","Notes"
"Fine Organic Industr..","INE686Y01026","2,022","0.2","39.0","26.2","18.0","21.4","219.4","46.9","0","735","735","Notes"
"United Breweries Ltd.","INE686F01025","1,192.2","0.0","25.9","16.7","12.0","15.7","64.6","19.3","18.2","749.5","690","Notes"
"Torrent Pharmaceutic..","INE685A01028","2,046.8","1.0","15.2","11.0","56.8","28.3","36.5","3.6","36.5","1,147.3","1,142.0","Notes"
"Firstsource Solution..","INE684F01012","38","0.2","16.0","13.9","58.0","16.0","44.9","7.8","0","20.1","20.1","Notes"
"South Indian Bank Ltd.","INE683A01023","13.4","1.3","7.1","5.5","11.0","25.3","-66.0","1.3","0","4.8","4.8","Notes"
"Aditya Birla Capital..","INE674K01013","84","5.8","4.7","8.8","0","45.8","-","1.2","0","37.4","37.4","Notes"
"Sobha Ltd.","INE671H01015","447.2","1.1","25.5","11.5","22.9","35.1","15.4","1.6","20.4","120.7","120.7","Notes"
"Tata Elxsi Ltd.","INE670A01012","898.5","0","41.3","28.9","27.9","16.7","148.9","64.4","0","500.0","500.0","Notes"
"Vodafone Idea Ltd.","INE669E01016","6.1","1.8","-4.5","-21.4","0","60.6","-2,424.9","-0.5","0","2.4","2.4","Notes"
"Tech Mahindra Ltd.","INE669C01036","654.5","0.1","24.0","20.8","40.1","18.2","46.8","27.4","0","374.3","356.7","Notes"
"Jyothy Labs Ltd.","INE668F01031","124.4","0.2","22.0","15.7","66.3","-0.2","34.4","6.6","8.5","85","85","Notes"
"V Mart Retail Ltd.","INE665J01013","1,945.3","0","28.3","17.5","2.8","35.9","32.1","2.3","0","1,015.1","425","Notes"
"Info Edge (India) Ltd.","INE663F01024","2,510.4","0.0","15.9","24.2","11.9","31.5","3,446.7","52.4","0","922","688.1","Notes"
"Aditya Birla Fashion..","INE647O01011","151.3","-","0","0","0","-","-","0.9","0","97","97","Notes"
"SRF Ltd.","INE647A01010","4,073.5","0.8","14.3","14.7","9.0","27.2","236.5","5.6","0","1,415.3","1,017.9","Notes"
"InterGlobe Aviation ..","INE646L01027","855.3","0.3","9.1","12.1","-553.8","55.6","-","0.9","0","691","691","Notes"
"SKF India Ltd.","INE640A01023","1,390","0.1","28.7","18.6","19.0","4.4","42.5","41.8","0","1,230","1,057.6","Notes"
"Gulf Oil Lubricants ..","INE635Q01029","814.3","0.5","49.0","31.5","32.9","23.6","161.6","11.7","0","455","441","Notes"
"KNR Constructions Ltd.","INE634I01029","291.5","0.5","17.7","21.6","3.6","18.4","255.7","3.9","0","165","82","Notes"
"UPL Ltd.","INE628A01036","555.2","2.0","11.3","13.9","23.8","101.6","87.2","3.3","8.0","240.2","240.2","Notes"
"Quess Corp Ltd.","INE615P01015","560","0.3","12.2","10.5","0","77.4","-706.8","2.8","0","165","165","Notes"
"Karnataka Bank Ltd.","INE614B01018","39.5","0.7","7.3","8.1","10.5","23.4","-4.4","1.4","0","34.2","34.2","Notes"
"Rallis India Ltd.","INE613A01020","255","0.1","17.0","12.7","28.5","26.7","14.9","38","0","125","125","Notes"
"Repco Home Finance L..","INE612J01015","395.4","6.0","11.1","16.1","10.3","14.3","-","1.5","0","90.4","90.4","Notes"
"PI Industries Ltd.","INE603J01030","1,727.3","0.0","23.2","18.3","15.1","46.1","85.4","37.1","0","675","497.6","Notes"
"Phillips Carbon Blac..","INE602A01023","140","0.4","23.9","21.0","30.1","27.1","2,672.6","8.7","0","54.1","16","Notes"
"Dr. Lal Pathlabs Ltd.","INE600L01024","1,314","0","32.0","21.3","40.9","27.3","136.0","21.3","0","723.1","696.5","Notes"
"Galaxy Surfactants L..","INE600K01018","1,790","0.3","30.3","21.8","24.4","6.5","241.6","13.1","0","871.8","871.8","Notes"
"Just Dial Ltd.","INE599M01018","750","0.0","24.7","18.7","0","28.9","96.1","40.5","1.7","250","250","Notes"
"Thyrocare Technologi..","INE594H01019","416.5","0.0","31.0","20.1","92.0","16.2","99.6","80.2","0","407.2","407.2","Notes"
"NIIT Technologies Ltd.","INE591G01017","1,383.5","0.0","23.6","18.2","32.3","40.3","283.5","39.9","0","462.6","366.6","Notes"
"TCI Express Ltd.","INE586V01016","850","0.0","39.2","27.3","17.8","16.8","30,717,141.4","131.0","0","425","280","Notes"
"Maruti Suzuki India ..","INE585B01010","5,671.5","0.0","22.6","17.0","37.0","-3.5","46.7","53.0","0","4,001.1","3,193.3","Notes"
"NMDC Ltd.","INE584A01023","103.7","0.0","26.0","17.0","40.2","0.6","-43.7","629.7","0","61.6","61.6","Notes"
"Heidelberg Cement In..","INE578A01017","212.8","0.3","21.2","16.8","37.1","16.4","350.3","6.4","0","109","59.7","Notes"
"JK Tyre & Industries..","INE573A01042","78.7","2.3","12.0","6.3","22.7","4.0","-54.0","1.2","0","31.7","31.7","Notes"
"Spandana Sphoorty Fi..","INE572J01011","800","1.6","15.9","36.5","0","150.1","-","2.7","0","405","405","Notes"
"PNB Housing Finance ..","INE572E01012","460.4","9.5","11.5","14.8","16.5","54.7","-","1.1","0","145.7","145.7","Notes"
"Ipca Laboratories Ltd.","INE571A01020","1,721.9","0.1","14.4","12.5","10.8","42.9","135.9","46.3","0","400","400","Notes"
"Indian Bank","INE562A01011","172.2","0.9","6.4","4.2","0","26.6","-25.2","1.5","0","41.6","41.6","Notes"
"IFB Industries Ltd.","INE559A01017","845","0.0","14.2","12.8","0","18.5","-","2.6","0","219.2","219.2","Notes"
"Ujjivan Small Financ..","INE551W01018","31","1.2","9.1","8.4","0","91.6","-","1.6","0","23.1","23.1","Notes"
"Emami Ltd.","INE548C01032","250.9","0.1","20.4","14.8","59.1","6.3","-36.5","19.6","89.2","131.0","131.0","Notes"
"Bandhan Bank Ltd.","INE545U01014","449.1","1.1","10.6","16.4","12.9","125.7","524,854.4","2.2","0","152.2","152.2","Notes"
"HEG Ltd.","INE545A01016","900","0.2","107.0","72.4","19.3","-17.0","36.9","1.8","0","387.3","115","Notes"
"GMM Pfaudler Ltd.","INE541A01023","2,539","0","25.5","18.8","11.3","43.8","277.0","27.4","0","1,010","1,010","Notes"
"Alkem Laboratories L..","INE540L01014","2,494.7","0.2","17.4","13.6","28.0","29.6","193.5","20.4","0","1,578.3","1,152.5","Notes"
"Mahindra CIE Automot..","INE536H01010","130.5","0.3","11.9","9.6","0","23.0","552.7","13.1","0","58.6","58.6","Notes"
"Grindwell Norton Ltd.","INE536A01023","597.5","0","22.3","15.2","34.5","11.1","76.5","55.3","0","361.3","286.3","Notes"
"Kansai Nerolac Paint..","INE531A01024","450.5","0.0","21.3","14.3","32.2","12.2","87.4","32.9","0","293.7","206.4","Notes"
"Coal India Ltd.","INE522F01014","222.7","0.1","25.9","55.8","45.3","12.9","21.7","48.9","0","119.2","119.2","Notes"
"Manappuram Finance L..","INE522D01027","149.1","3.4","24.8","19.5","13.5","59.6","445.3","2.1","2.2","66.3","19.8","Notes"
"Zensar Technologies ..","INE520A01027","141","0.1","22.1","15.6","26.7","34.2","2.6","7.2","0","63.8","63.8","Notes"
"Gujarat Pipavav Port..","INE517F01014","85","0","13.8","10.6","71.4","14.1","-","49.1","0","45.5","45.5","Notes"
"Uflex Ltd.","INE516A01017","249","0.4","11.3","7.5","4.2","9.2","47.7","3.1","5.6","118.3","118.3","Notes"
"Engineers India Ltd.","INE510A01028","108","0","24.4","16.0","71.3","74.6","38.7","392.5","0","49.2","49.2","Notes"
"Time Technoplast Ltd.","INE508G01029","50","0.4","17.9","12.2","10.0","15.3","54.7","3.2","34.8","22.4","22.4","Notes"
"DCB Bank Ltd.","INE503A01015","137.8","1.0","7.4","10.8","4.7","44.2","76.8","1.3","0","58","58","Notes"
"S H Kelkar & Company..","INE500L01026","163","0.4","14.7","10.5","31.1","7.2","-50.7","4.6","0.0","47.5","47.5","Notes"
"L&T Finance Holdings..","INE498L01015","62.3","6.8","8.9","14.7","14.8","41.7","99.9","1.4","0","45.9","45.9","Notes"
"Shoppers Stop Ltd.","INE498B01024","395","0.0","13.0","13.7","-17.1","-5.8","-389.8","0.7","12.6","131","131","Notes"
"TVS Motor Company Ltd.","INE494B01023","363.8","2.6","21.5","22.9","24.1","15.0","104.7","2.1","0","240.1","201","Notes"
"City Union Bank Ltd.","INE491A01021","200.3","0.4","8.0","14.1","8.3","23.2","20.6","1.5","0","110","64.3","Notes"
"MOIL Ltd.","INE490G01020","153","0","23.3","15.3","37.5","-18.5","-42.0","0","0","85.6","85.6","Notes"
"CESC Ltd.","INE486A01013","754","1.6","9.1","12.4","21.1","6.6","313.9","1.7","0","365.3","365.3","Notes"
"Ceat Ltd.","INE482A01020","931.7","0.5","12.4","9.1","21.9","7.7","-32.2","3.1","0","600","600","Notes"
"General Insurance Co..","INE481Y01014","185","0","6.8","8.6","100.3","-74.9","-109.9","0","0","81.5","81.5","Notes"
"UltraTech Cement Ltd.","INE481G01011","4,366.9","0.8","10.1","8.5","4.1","35.5","176.5","3.6","0","2,910","2,579","Notes"
"Can Fin Homes Ltd.","INE477A01020","455.7","9.4","8.9","17.5","3.9","33.4","336.1","1.4","0","216.5","136","Notes"
"Canara Bank","INE476A01014","114","1.0","6.4","-3.1","0","26.3","-170.8","1.3","0","73.7","73.7","Notes"
"Caplin Point Laborat..","INE475E01026","500","0.0","39.1","33.0","12.2","63.7","729.4","843.9","0","176.2","167.6","Notes"
"Blue Star Ltd.","INE472A01039","639","0.4","30.6","20.6","82.6","16.1","178.3","8.1","0","408.9","305.6","Notes"
"The New India Assura..","INE470Y01017","111","0","3.5","4.6","12.1","2.8","4.2","0","0","74.1","74.1","Notes"
"Tata Consultancy Ser..","INE467B01029","2,098.1","0.0","42.8","33.6","60.6","27.5","61.8","46.7","2.9","1,187.5","1,026.0","Notes"
"Bharat Forge Ltd.","INE465A01025","394.7","0.7","22.8","18.3","35.7","-3.0","-48.4","4.4","0","207.5","207.5","Notes"
"Berger Paints (India..","INE463A01038","490","0.2","28.5","20.4","46.8","23.5","151.0","20.0","0","230.6","139.3","Notes"
"Bayer Cropscience Ltd.","INE462A01022","5,717.5","0","19.9","14.0","76.8","33.7","23.9","52.7","0","2,925","2,925","Notes"
"Star Cement Ltd.","INE460H01021","108","0.0","19.5","19.0","13.9","15.7","136.8","35.4","0","60","60","Notes"
"Polycab India Ltd.","INE455K01017","927.3","0.1","27.9","16.8","11.7","30.5","370.5","21.5","0","525.2","525.2","Notes"
"Ashoka Buildcon Ltd.","INE442H01029","126.6","20.0","12.8","-19.5","0","41.1","11,115.8","1.3","0","37.1","37.1","Notes"
"Apollo Tyres Ltd.","INE438A01022","145.7","0.5","7.9","7.0","30.9","9.5","-51.3","2.9","16.3","73.4","73.4","Notes"
"Apollo Hospitals Ent..","INE437A01024","1,407","1.0","8.7","5.9","31.3","36.2","33.6","1.9","36.7","910.1","910.1","Notes"
"Dhanuka Agritech Ltd.","INE435G01025","618","0.0","23.7","18.3","30.2","17.0","33.2","117.0","14","275","275","Notes"
"Sun TV Network Ltd.","INE424H01027","528.7","0","37.4","25.4","52.6","21.7","77.6","144.0","4.7","259.6","255.8","Notes"
"Adani Enterprises Ltd.","INE423A01024","140","0.7","10.1","4.9","17.8","20.7","-65.3","1.6","49.8","100.9","58.2","Notes"
"CCL Products India L..","INE421D01022","311.3","0.4","20.7","19.0","35.2","0.2","76.6","13.5","0","137","137","Notes"
"Allcargo Logistics L..","INE418H01029","125","0.3","12.7","11.0","44.3","21.3","-7.7","4.6","0","48.6","48.6","Notes"
"Muthoot Finance Ltd.","INE414G01012","1,106.8","3.0","14.8","21.7","20.6","43.1","371.8","2.3","0","356","151","Notes"
"Narayana Hrudayalaya..","INE410P01011","340","0.7","7.4","5.3","22.2","37.0","1,966.2","3.1","0","182.8","182.8","Notes"
"Vinati Organics Ltd.","INE410B01037","896.6","0.0","32.7","23.9","17.9","41.2","188.3","389.8","0","378","180.5","Notes"
"Eris Lifesciences Ltd.","INE406M01024","459","0.0","26.9","28.2","6.6","24.6","231.9","154.3","0","321","321","Notes"
"Aurobindo Pharma Ltd.","INE406A01037","775.8","0.5","24.8","18.3","6.2","40.0","81.0","24.7","6.2","288.9","288.9","Notes"
"Minda Industries Ltd.","INE405E01023","316.4","0.6","19.2","18.6","7.9","22.2","167.5","4.0","0","206.3","31.4","Notes"
"Adani Gas Ltd.","INE399L01023","130","0.3","22.6","19.1","8.3","32.0","-","14.3","0","72","72","Notes"
"Suprajit Engineering..","INE399C01030","165.5","0.4","25.1","18.6","24.1","9.2","106.7","8.1","0","99.3","99.3","Notes"
"Syngene Internationa..","INE398R01022","345","0.3","17.1","17.1","5.4","41.0","-","13.9","0","212.6","147.5","Notes"
"Bharti Airtel Ltd.","INE397D01024","656.9","1.8","3.8","0.9","-9.3","4.7","-693.9","0.8","0","276.9","276.9","Notes"
"KEC International Ltd.","INE389H01022","300.1","0.7","33.2","21.3","20.6","18.6","251.3","3.6","0","154.1","97.5","Notes"
"Dishman Carbogen Amc..","INE385W01011","184.4","0.2","5.5","3.6","0.8","20.0","-","4.6","0","46.1","46.1","Notes"
"India Cements Ltd.","INE383A01012","100","0.6","4.7","0.7","63.0","-4.2","4,593.9","1.1","27.2","67.8","63.7","Notes"
"Garden Reach Shipbui..","INE382Z01011","233","0","15.2","10.1","55.9","8.6","216.0","176.6","0","77.7","77.7","Notes"
"Biocon Ltd.","INE376G01013","332.3","0.3","10.7","12.3","6.3","50.8","70.3","18.7","0","159.0","65.9","Notes"
"BASF India Ltd.","INE373A01013","1,115","0.6","5.2","10.0","34.5","35.2","127.7","1.4","0","809.2","697.5","Notes"
"Amber Enterprises In..","INE371P01015","1,427.8","0.2","13.5","8.7","3.9","85.8","470.5","5.6","0","622","622","Notes"
"Graphite India Ltd.","INE371A01025","200","0.1","80.5","54.9","39.0","-2.6","-9.7","2.4","0","103","64","Notes"
"VRL Logistics Ltd.","INE366I01010","205","0.2","19.0","14.7","62.0","9.9","-1.2","3.8","0","130","130","Notes"
"Divi's Laboratories ..","INE361B01024","2,059","0.0","23.9","17.9","40.8","39.4","61.7","299.3","0","611","532.7","Notes"
"Abbott India Ltd.","INE358A01014","17,158","0","34.4","22.8","13.2","23.2","159.0","95.1","0","4,001","3,950","Notes"
