"Stock","ISIN","Broker Average Target Rs","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","ROE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Revenue Annual 2Yr Growth %","Net Profit 5Yr Growth %","Interest Coverage Ratio Annual","Promoter holding pledge percentage % Qtr","3Yr Low Rs","5Yr Low Rs","My Notes"
"JK Lakshmi Cement Ltd.","INE786A01032","358.89","0.87080","11.57333","7.32333","8.697900246592162683385190661","15.52613448526079473564260211","139.9639537089736292923543920","2.77460","0.00000","179.75000","179.75000","Notes"
"Johnson Controls-Hit..","INE782A01015","2500.00","0.23050","20.67667","14.95000","5.360100484017073706741755719","0.5809976377019126405749778820","7.416261482017774542873272473","24.71710","0.00000","1470.00000","930.50000","Notes"
"JM Financial Ltd.","INE780C01023","65.00","2.08470","16.27667","11.68667","7.631354692647189753634432672","6.759426131955027837113472174","115.6718073893265283479418618","1.78900","0.00000","55.45000","33.25000","Notes"
"TCNS Clothing Co. Ltd.","INE778U01029","572.50","0.00000","23.02000","18.61000","0","38.40254608267669955751165377","164.1147597123397131007191507","2.72980","0.00000","295.10000","295.10000","Notes"
"Motherson Sumi Syste..","INE775A01035","125.33","1.03620","13.78667","13.75000","66.44856770112320228937465253","12.93599039377720789042105151","-4.219899341850561362756484708","4.43360","10.69000","48.65000","48.65000","Notes"
"Mahindra & Mahindra ..","INE774D01024","198.29","5.48360","13.62667","12.40333","27.47696373632598331598761930","51.62020683314006578469257821","12.43993328774121698513570863","1.28860","0.00000","112.70000","112.70000","Notes"
"Aarti Industries Ltd.","INE769A01020","1130.83","0.60790","19.69000","19.26000","15.07440222457978428865403342","9.998348117246966959722903223","182.2451799806006769630715973","6.41890","0.01000","437.50000","209.10000","Notes"
"Zydus Wellness Ltd.","INE768C01010","2290.00","0.43890","10.60667","9.48333","27.87000426689765326203071442","224.5563102541630148992112182","27.50337381916329284750337382","2.18260","0.00000","880.10000","632.25000","Notes"
"Aarti Drugs Ltd.","INE767A01016","812.00","0.51800","20.88333","18.75000","34.57270267050193181624768097","45.22395790526080598670451420","83.02994137543152937765276496","6.36150","0.00000","105.25000","105.25000","Notes"
"Mahindra Logistics L..","INE766P01016","427.33","0.05380","21.09000","14.18333","24.34120168824674012300420586","1.844535359438924605493863238","43.93624753400477624338074966","5.60520","0.00000","195.00000","195.00000","Notes"
"ICICI Lombard Genera..","INE765G01017","1359.25","0.08500","25.39000","19.23000","12.85729740710556704446916719","51.30591794820043318924838488","103.9494635413107360076539329","43.37110","0.00000","638.80000","638.65000","Notes"
"ICICI Securities Ltd.","INE763G01038","671.67","1.23990","35.43667","52.31667","64.38750538300399254669006514","-7.311621108967711081616971429","84.43529451798414264810970837","9.71540","0.00000","188.00000","188.00000","Notes"
"Page Industries Ltd.","INE761H01022","21339.60","0.03270","62.37333","44.54667","87.50911160334986387995409544","15.43913163629749082628178444","75.09196941340111672826868858","14.64660","0.00000","16254.00000","9752.35000","Notes"
"Future Retail Ltd.","INE752P01024","373.50","0.66390","14.38000","12.60000","0","-","-","1.01730","69.07000","60.70000","60.70000","Notes"
"CARE Ratings Ltd.","INE752H01013","360.00","0.00000","30.89000","22.54667","65.23454593606774555107894940","-23.18653746330140477485688075","-39.42842009218562651579327346","113.22920","-","235.00000","235.00000","Notes"
"Power Grid Corporati..","INE752E01010","211.33","2.13950","9.74000","16.38000","45.04875366343690286746499383","27.07944058830372382481546499","116.0865989596234827842457270","2.34100","0.00000","122.15000","122.15000","Notes"
"Jindal Steel & Power..","INE749A01030","235.33","0.95450","4.68333","-3.35000","-0","34.89824861719483713790368636","72.52146653008751606982036175","0.96710","50.37000","62.00000","48.10000","Notes"
"Multi Commodity Exch..","INE745G01035","1678.25","0.00000","11.54667","12.30667","56.18048858373145636568194630","42.98584664355141249360541124","88.55106092864148506088079803","1659.31250","-","643.50000","643.50000","Notes"
"Orient Refractories ..","INE743M01012","230.00","0.00000","21.27333","14.74667","36.90050516791574876660061476","-","-","0.00000","0.00000","108.00000","70.50000","Notes"
"Adani Ports & Specia..","INE742F01042","380.00","1.11310","13.78000","16.15667","7.960521432884492599875862692","11.35513613304480581552129944","63.00005592624618733571665182","3.37540","30.86000","203.00000","169.15000","Notes"
"CreditAccess Grameen..","INE741K01010","695.00","3.45930","19.46333","8.59667","0","-","-","1.79580","0.00000","242.05000","242.05000","Notes"
"Cera Sanitaryware Ltd.","INE739E01017","2440.00","0.08260","20.60000","16.04667","17.08967332826514969962269945","3.510426895875399673643268321","-","14.41980","0.00000","1986.00000","1509.95000","Notes"
"eClerx Services Ltd.","INE738I01010","585.00","0.00060","23.20333","18.86333","1.659796354605864342686202802","5.620393754185070302065120939","-9.014437729671363137637367422","15.91320","0.00000","320.00000","320.00000","Notes"
"Central Depository S..","INE736A01011","505.00","-","-","-","0","25.95492030828280733565258851","145.7846031958064828164368923","4642.08160","0.00000","179.80000","179.80000","Notes"
"NTPC Ltd.","INE733E01010","120.83","1.62040","7.46333","10.75667","35.91961925699528731093804023","25.35763812310781189847257283","15.05358588603104168480550660","2.96770","0.00000","73.20000","73.20000","Notes"
"ICICI Prudential Lif..","INE726G01019","482.78","0.00000","0.88333","18.20333","15.24275547506804106592913351","44.46028434152287358050217109","-34.71702864845854567534488063","8982.32490","0.00000","226.10000","226.10000","Notes"
"Shriram City Union F..","INE722A01011","913.00","3.38040","19.03333","13.96333","10.45632582224951904168819472","14.71478477969637760586276098","79.57834018244046977621460706","1.61070","0.00000","625.00000","625.00000","Notes"
"Shriram Transport Fi..","INE721A01013","1007.63","5.20170","14.66000","16.19333","9.318998642532531071094640644","22.77790122313373851857926976","143.2644639550311173816379980","1.41570","0.00000","440.00000","440.00000","Notes"
"Whirlpool of India L..","INE716A01013","2355.00","0.00000","26.33667","19.24333","16.13896292638131366316531866","24.44989763409729945126996745","-","33.89110","0.00000","1251.70000","555.55000","Notes"
"VST Industries Ltd.","INE710A01016","3850.00","0.00000","50.10000","34.67667","53.00046755513474017096291223","32.46282619825087352862119448","99.78733035538891213925164200","0.00000","0.00000","2470.00000","1465.05000","Notes"
"Cochin Shipyard Ltd.","INE704P01017","404.75","0.03300","20.38000","14.50000","38.78438760198081802464817861","44.14598507326710601435857158","-","20.09260","0.00000","209.10000","209.10000","Notes"
"Ratnamani Metals & T..","INE703B01027","1357.33","0.12870","21.45333","15.39333","18.17487396374008787811202525","47.01028108677437329001724399","77.30886532796005788378273979","20.38520","0.00000","719.10000","396.40000","Notes"
"APL Apollo Tubes Ltd.","INE702C01019","2715.33","0.50090","25.51000","16.87667","7.669252318565621930073619892","44.96965998974316741471668308","301.5308363134450090971830102","3.76250","0.77000","1003.30000","521.00000","Notes"
"TTK Prestige Ltd.","INE690A01010","6369.67","0.01420","20.41333","18.86000","19.51343179758982579032520929","11.35323657751966790177196913","-","46.07140","0.00000","3901.10000","3291.65000","Notes"
"Fine Organic Industr..","INE686Y01026","2246.00","0.14770","36.66667","25.97667","14.75063783338417035300910378","21.39027410110579661702079336","219.3765159349440631757074363","46.87790","0.00000","735.00000","735.00000","Notes"
"United Breweries Ltd.","INE686F01025","1023.50","0.04800","22.31667","14.82667","26.66666666666666666666666667","15.73803964738155056239624300","64.58765659826300822381062178","19.28140","18.20000","749.50000","690.00000","Notes"
"Torrent Pharmaceutic..","INE685A01028","2855.57","0.76720","14.57333","14.58333","44.44137285023928504896078838","39.83844734802589208719476919","50.60014762989826374402259379","3.59410","0.00000","1204.20000","1141.95000","Notes"
"Firstsource Solution..","INE684F01012","84.50","0.30260","15.07333","13.34667","42.83071019028256847202869087","16.00764034458936960661206695","44.86879310124233933392187720","7.75930","0.00000","20.10000","20.10000","Notes"
"South Indian Bank Ltd.","INE683A01023","9.40","1.33687","7.05898","4.52000","11.15195203768467632574405824","25.31265082118630905183090243","-65.95437102198246832152847018","1.30216","-","4.80000","4.80000","Notes"
"Aditya Birla Capital..","INE674K01013","83.00","4.41980","6.01000","8.19000","0","45.82901033009816542730935122","-","1.22540","0.00000","37.35000","37.35000","Notes"
"Sobha Ltd.","INE671H01015","450.80","1.27520","28.95000","10.90667","27.23020218425121806529413481","35.05754755148424741246071650","15.46603481989497460451502617","1.63540","20.28000","120.65000","120.65000","Notes"
"Honeywell Automation..","INE671A01010","36310.00","0.00000","29.40000","20.23000","12.24857390619546035392315545","24.40453894458521537953068194","330.3677758318739054290718039","100.93440","0.00000","14751.00000","7577.90000","Notes"
"Tata Elxsi Ltd.","INE670A01012","1057.00","0.00000","41.30000","28.91333","34.52514518111258201016673459","16.69968652932306506776008790","148.8827491571906289510485433","64.35890","0.00000","499.95000","499.95000","Notes"
"Vodafone Idea Ltd.","INE669E01016","6.00","16.10600","-4.74667","-425.06667","-0","60.64896077863446497327855195","-2424.947868806660766085816494","-0.54600","0.00000","2.40000","2.40000","Notes"
"Tech Mahindra Ltd.","INE669C01036","882.69","0.11130","22.36333","19.94000","46.27614299706809082197893825","18.23799138846949616954649667","46.80282855638305875272699917","27.38500","0.00000","462.65000","356.65000","Notes"
"Jyothy Labs Ltd.","INE668F01031","147.50","0.18000","20.70667","15.19333","56.39108344188616895896420858","-0.2118628191848397180388610190","34.38222976039039776235428894","6.63430","0.00000","85.00000","85.00000","Notes"
"V Mart Retail Ltd.","INE665J01013","1976.00","0.00220","24.08000","16.05333","8.232529241217465165505315066","35.87323575045678276544969356","32.05561261710180035571436447","2.26910","0.27000","1200.00000","432.00000","Notes"
"Info Edge (India) Ltd.","INE663F01024","3117.20","0.00010","16.89667","12.65000","7.067454313371519408940612405","31.51019059017309751045242302","3446.745152354570637119113573","52.37850","0.00000","1126.15000","688.10000","Notes"
"Supreme Petrochem Ltd.","INE663A01017","212.00","0.04340","18.20000","13.62333","47.41262209342846833998453400","-9.834829026002947579819741825","187.5331921616080131760276965","19.15320","0.00000","113.35000","96.00000","Notes"
"Sundaram Finance Ltd.","INE660A01013","1774.67","3.99610","8.16667","16.66667","16.68015024385559321258982739","-25.55942653048852247297826802","40.53755773421163678780511045","1.41170","0.00000","982.05000","982.05000","Notes"
"Sudarshan Chemical I..","INE659A01023","567.33","0.75100","19.98333","22.36333","35.95845658118688633093356924","27.96156236739718986630648506","165.7876773290924899115689993","12.47610","0.00000","290.10000","78.00000","Notes"
"Aditya Birla Fashion..","INE647O01011","173.25","2.21770","7.63000","2.40667","-0","-","-","0.92250","0.00000","97.00000","97.00000","Notes"
"SRF Ltd.","INE647A01010","5128.57","0.66220","13.76000","16.37667","7.692801925243689502267099499","27.24853440296204875038568343","236.5475908589990129029339140","5.55800","0.00000","1530.05000","1023.00000","Notes"
"InterGlobe Aviation ..","INE646L01027","1376.00","0.05900","10.50667","9.99000","-5.509988562365742241192255733","55.59041166287539047794362615","-","0.86370","0.00000","691.00000","691.00000","Notes"
"SKF India Ltd.","INE640A01023","1615.00","0.00000","25.24000","17.01333","133.8483541506798789445322052","4.384836467890721072234802978","42.52108300044385264092321349","41.79850","0.00000","1230.00000","1057.55000","Notes"
"Gulf Oil Lubricants ..","INE635Q01029","750.00","0.46460","45.36667","30.27000","34.01328332091292719516728600","23.60848038275609862933827852","161.6233645439325354994729336","11.65330","0.00000","455.00000","447.40000","Notes"
"KNR Constructions Ltd.","INE634I01029","315.83","0.53450","17.51667","20.39667","2.658348988055151880338850884","18.44291763202045218502836143","240.7933614307376683614307377","3.93710","0.00000","165.00000","82.00000","Notes"
"UPL Ltd.","INE628A01036","633.71","1.75920","12.31000","14.35667","22.58994130748412296287378458","101.5456384892086330935251799","87.18694596967141160473002048","3.28490","1.92000","240.15000","240.15000","Notes"
"Solara Active Pharma..","INE624Z01016","1371.00","0.59240","9.29667","6.19667","9.575597219739026673373232567","157.7741860913854930258238431","-","2.47520","4.75000","134.50000","134.50000","Notes"
"Quess Corp Ltd.","INE615P01015","480.00","0.43830","13.03333","0.83667","-0","77.41400344266908763260356304","-706.8079719017187219445027882","2.75940","0.00000","165.00000","165.00000","Notes"
"Karnataka Bank Ltd.","INE614B01018","50.00","0.73906","7.25905","7.74667","10.41510570359131981780717217","23.40392416575201261129009613","-4.357889308721094818431800451","1.37277","-","34.20000","34.20000","Notes"
"Rallis India Ltd.","INE613A01020","267.75","0.04390","16.79000","13.08667","25.86781340408007847259874262","26.71812808214345161488256420","14.94796653337588625853405173","37.98650","0.00000","125.00000","125.00000","Notes"
"PI Industries Ltd.","INE603J01030","2265.44","0.19380","22.23333","18.15333","7.980145398249156099624135152","46.12375236589004249670960576","85.36480224162086431727556849","37.05880","0.00000","675.60000","497.55000","Notes"
"Phillips Carbon Blac..","INE602A01023","165.50","0.32050","21.01667","18.90667","34.47130214851418838796432844","27.05105399462197211256922135","2672.595328562886955850868903","8.73020","0.00000","54.10000","16.00000","Notes"
"Dr. Lal Pathlabs Ltd.","INE600L01024","1500.50","0.00000","30.94333","21.53000","34.34264457824084382167238376","27.31840998108695772043619467","136.0122066840606418640235788","21.29410","0.00000","798.40000","696.50000","Notes"
"Galaxy Surfactants L..","INE600K01018","1860.00","0.29930","28.58000","21.77667","16.67914190667004191847432553","6.474908451136433379022524089","241.5708017077798861480075901","13.13610","0.00000","871.80000","871.80000","Notes"
"Just Dial Ltd.","INE599M01018","750.00","0.00000","24.16333","18.82000","0","28.92957846179256969596866483","96.12999246119264407732582146","40.46680","1.63000","250.00000","250.00000","Notes"
"Thyrocare Technologi..","INE594H01019","307.00","0.00680","33.60667","21.57000","110.2671299986452895457309293","16.24498103139640031530854629","99.60034515645578818293292157","80.18370","0.00000","407.15000","407.15000","Notes"
"Coforge Ltd.","INE591G01017","2529.00","0.00200","22.90667","17.92333","21.16255614733344283249481825","40.29368091074080184787988781","283.5209354367603012197704550","39.87090","0.00000","603.65000","366.55000","Notes"
"TCI Express Ltd.","INE586V01016","922.00","0.00270","39.16667","27.30000","17.48408511152723233676545924","16.81426303357735156152691649","30717141.37931034482758620690","130.97770","0.00000","425.00000","280.00000","Notes"
"Maruti Suzuki India ..","INE585B01010","6630.47","0.00220","20.03000","15.41000","42.48050850139659223181395018","-3.494952061689422296934098261","46.65752123674352345275154329","53.04470","0.00000","4001.10000","3193.25000","Notes"
"NMDC Ltd.","INE584A01023","115.00","0.02040","24.30000","15.41000","41.72321107390373324317105667","0.6216778216066408966133140882","-43.73653566457382009851324055","629.69120","0.00000","61.55000","61.55000","Notes"
"Heidelberg Cement In..","INE578A01017","212.80","0.21300","21.83667","17.31667","47.69895689195413995146517567","16.38996543416780140358227716","350.2939694271795733243742651","6.39010","0.00000","121.50000","59.65000","Notes"
"JK Tyre & Industries..","INE573A01042","80.67","2.19790","10.82667","5.84333","46.54607003067809161112874220","3.980295121771585917212902490","-53.99363981598690913581771589","1.16230","0.00000","31.65000","31.65000","Notes"
"PNB Housing Finance ..","INE572E01012","368.00","8.46920","12.23000","12.22333","7.969201339038336994148304003","54.65520445080829389325492682","-","1.13800","0.00000","145.65000","145.65000","Notes"
"J B Chemicals & Phar..","INE572A01028","1130.00","0.02230","18.72333","13.87000","21.97999051563409250388908457","26.28222813608878806352108860","171.2930916855817084988710733","119.46190","0.00000","239.95000","228.00000","Notes"
"Ipca Laboratories Ltd.","INE571A01020","2062.29","0.11410","15.35667","13.28333","6.384335904172394945553186346","42.91935894482900750403084048","135.9135635732201427744549489","46.25450","0.00000","506.40000","400.00000","Notes"
"Indian Bank","INE562A01011","94.50","1.05311","6.44320","4.92333","0","26.59683563973006224173672723","-25.19808574670679362573387932","1.47085","0.00000","41.55000","41.55000","Notes"
"IFB Industries Ltd.","INE559A01017","925.00","0.44700","11.63000","10.26667","0","18.48514390998694166681573440","-","2.57050","0.00000","219.15000","219.15000","Notes"
"Ujjivan Small Financ..","INE551W01018","34.50","1.32317","9.08545","8.16000","0","91.58537610792049818812132951","-","1.59554","0.00000","23.10000","23.10000","Notes"
"Emami Ltd.","INE548C01032","370.13","0.11520","20.89667","15.48333","80.40518854681692609624099043","6.348988923883472819738817199","-36.48646449498450392474541426","19.57440","46.50000","130.95000","130.95000","Notes"
"Bandhan Bank Ltd.","INE545U01014","349.80","1.07790","10.55513","17.21667","8.822714608121485251067989603","125.7372042444587581305764353","524854.4357638888888888888889","2.19401","0.00000","152.20000","152.20000","Notes"
"HEG Ltd.","INE545A01016","750.00","0.16870","67.70333","46.43667","12.34926019616256454155602621","-17.00141067608377147648362171","36.85526366398707642601638525","1.80210","0.00000","409.60000","115.00000","Notes"
"GMM Pfaudler Ltd.","INE541A01023","3437.00","0.03270","25.37000","19.42333","9.739984450883770304919953219","43.78199584189567157239462000","277.0127736259076694758043144","27.44350","0.00000","1010.00000","1010.00000","Notes"
"Alkem Laboratories L..","INE540L01014","3095.60","0.26980","18.39333","15.08000","20.17131944388754656684389057","29.62318573751879468532326859","193.4983017952450266860747210","20.36350","0.00000","1660.00000","1152.50000","Notes"
"Grindwell Norton Ltd.","INE536A01023","622.50","0.00000","21.36000","15.23667","41.40498460808035143324120980","11.11330144409705488924162853","76.48584837753016037545708445","55.29520","0.00000","373.55000","286.30000","Notes"
