isin_code, comp_name, demat_summary_qty, demat_summary_acp, demat_summary_hold_units_1k, demat_txn_last_type, demat_txn_last_date
INE559A01017,Ifb industries,2,1157.60,2,Buy,09-Nov-2018
INE565L01011,Zee learn,112,37.49,4,Buy,28-Jan-2019
INE573A01042,Jk tyre industries,26,137.47,4,Buy,05-Feb-2019
INE578A01017,Heidelberg cement,8,137.80,1,Buy,26-Oct-2018
INE584A01023,Nmdc,28,122.39,3,Buy,02-Jan-2019
INE585B01010,Maruti suzuki,2,7563.02,15,Buy,05-Dec-2018
INE589A01014,Nlc,24,89.97,2,Buy,26-Oct-2018
INE594H01019,Thyrocare technologies,2,548.21,1,Buy,12-Mar-2019
INE600L01024,Dr lal pathlabs,2,888.61,2,Buy,03-Jul-2018
INE603J01030,P i industries,2,902.20,2,Buy,02-Jan-2019
INE613A01020,Rallis,10,248.05,2,Buy,04-Apr-2018
INE615P01015,Quess corp,2,873.32,2,Buy,02-Jan-2019
INE627Z01019,Talwalkars healthclubs,11,150.50,2,Buy,04-Jul-2018
INE628A01036,Upl,7,743.28,5,Buy,25-Jan-2017
INE640A01023,Skf,2,1693.46,3,Buy,03-Jul-2018
INE646L01027,Interglobe aviation,3,1131.77,3,Buy,09-Nov-2018
INE647O01011,Aditya birla fashion rtl,13,165.44,2,Buy,04-Apr-2018
INE660A01013,Sundaram finance,1,1612.76,2,Buy,07-Sep-2018
INE663F01024,Info edge,3,1156.62,3,Buy,03-Jul-2018
INE669C01036,Tech mahindra,7,511.10,4,Buy,02-Jan-2019
INE669E01016,Vodafone idea,76,57.05,4,Buy,25-Mar-2019
INE670A01012,Tata elxsi,1,993.14,1,Buy,29-Oct-2018
INE671A01010,Honeywell automation,1,22891.60,23,Buy,12-Mar-2019
INE671H01015,Sobha,6,425.41,3,Buy,03-Jul-2018
INE672A01018,Tata investment corporation lt,2,847.68,2,Buy,24-Aug-2018
INE686F01025,United breweries,3,1069.37,3,Buy,09-Nov-2018
INE690A01010,Ttk prestige,1,6420.67,6,Buy,18-Jul-2017
INE710A01016,Vst industries,1,3001.91,3,Buy,29-Jun-2018
INE716A01013,Whirlpool,2,1386.24,3,Buy,04-Apr-2018
INE721A01013,Shriram transport finance co,2,1182.97,2,Buy,09-Nov-2018
INE725G01011,Icra,1,4180.65,4,Buy,22-Jun-2017
INE726G01019,Icici prudential life ins co,9,387.88,3,Buy,04-Dec-2018
INE733E01010,Ntpc,58,127.72,7,Buy,28-Mar-2019
INE736A01011,Central depository ser ind,7,309.19,2,Buy,03-Jul-2018
INE739E01017,Cera sanitaryware,1,3078.11,3,Buy,14-Jun-2017
INE742F01042,Adani port special econo,6,380.72,2,Buy,03-Jul-2018
INE745G01035,Multi commodity exchange,1,842.72,1,Buy,26-Jul-2018
INE752E01010,Power grid corporationindi,35,191.93,7,Buy,09-Nov-2018
INE752H01013,Care ratings,2,1461.12,3,Buy,01-Feb-2018
INE752P01024,Future retail,5,470.57,2,Buy,01-Feb-2018
INE761H01022,Page industries,1,24465.35,24,Buy,12-Mar-2019
INE763G01038,Icici securities isec,4,319.42,1,Buy,26-Jul-2018
INE764D01017,Vsttillers tractors,2,1711.74,3,Buy,22-Apr-2019
INE765G01017,Icici lombard gen insurance co,4,707.97,3,Buy,03-Jul-2018
INE766P01016,Mahindra logistics,2,489.55,1,Buy,02-Feb-2018
INE768C01010,Zydus wellness,1,1338.42,1,Buy,22-Apr-2019
INE774D01024,Mahindra mahindra financial,5,444.46,2,Buy,04-Dec-2018
INE775A01035,Motherson sumi systems,15,204.72,3,Buy,06-Nov-2018
INE782A01015,Johnson controls hitachi air i,1,2106.33,2,Buy,17-Oct-2017
INE785M01013,Pc jeweller,34,106.47,4,Buy,09-Oct-2018
INE787D01026,Balkrishna industries,3,904.07,3,Buy,05-Dec-2018
INE791I01019,Brigade enterprises,12,230.27,3,Buy,09-Oct-2018
INE795G01014,Hdfc life insurance com,6,382.60,2,Buy,04-Dec-2018
INE797F01012,Jubilant foodworks,4,771.59,3,Buy,03-Jul-2018
INE811K01011,Prestige estates projects limi,9,271.18,2,Buy,03-Jul-2018
INE836F01026,Dish tv,93,44.36,4,Buy,28-Jan-2019
INE848E01016,Nhpc,80,26.92,2,Buy,09-Nov-2018
INE849A01020,Trent,7,299.79,2,Buy,04-Apr-2018
INE850D01014,Godrej agrovet,4,574.13,2,Buy,09-Nov-2018
INE854D01024,United spirits,27,507.45,14,Buy,05-Dec-2018
INE860A01027,Hcl technologies,7,843.25,6,Buy,03-Jul-2018
INE868B01028,Ncc,21,109.90,2,Buy,04-Apr-2018
INE870H01013,Network 18 media investments,30,36.20,1,Buy,13-Mar-2019
INE871C01038,Avanti feeds,9,591.14,5,Buy,29-Oct-2018
INE883A01011,Mrf,1,57914.45,58,Buy,12-Mar-2019
INE885A01032,Amara raja batteries,3,817.16,2,Buy,03-Jul-2018
INE913H01037,Endurance technologies,1,1510.35,2,Buy,07-Sep-2018
INE916U01025,Sheela foam,1,1649.36,2,Buy,02-Feb-2018
INE917I01010,Bajaj auto,2,2837.95,6,Buy,04-Apr-2018
INE918I01018,Bajaj finserv,1,5668.89,6,Buy,19-Sep-2017
INE931S01010,Adani transmission,7,172.18,1,Buy,26-Jul-2018
INE935A01035,Glenmark pharmaceuticals,4,613.85,2,Buy,03-Jul-2018
INE935Q01015,Future supply chain sol,2,691.85,1,Buy,02-Feb-2018
INE951I01027,V guard industries,9,240.32,2,Buy,22-Apr-2019
INE955V01021,Arvind fashions,1,590.00,1,Buy,08-Mar-2019
INE970X01018,Lemon tree hotels,15,72.91,1,Buy,05-Feb-2019
INE974X01010,Tube investments,8,290.39,2,Buy,02-Jan-2019
INE998I01010,Mahindra holidays resorts in,11,303.41,3,Buy,02-Jan-2019
INE999A01015,Ksb,3,753.41,2,Buy,04-Apr-2018
INF109KA1962,Icici prudential nifty 100 etf,50,115.69,6,Buy,21-Mar-2018
INF109KB15Y7,Icici prud mf bharat 22 etf,278,35.97,10,Buy,27-Nov-2017
INF109KB1XT3,Icici pru midcap select etf,66,74.53,5,Buy,07-Mar-2018
INF174K014P6,Kotak mahindra mf nifty etf,104,103.25,11,Buy,15-Mar-2018
INF179K01CN1,Hdfc gold etf,50,2820.83,141,Buy,19-Apr-2018
INF200K01099,Sbi etf gold,52,2777.14,144,Buy,07-Mar-2019
INF373I01049,Kotak gold etf,500,259.69,130,Buy,05-Nov-2018
INF732E01102,Reliance etf gold bees,60,2600.26,156,Buy,17-Oct-2017
INF789F01059,Uti gold etf,54,2603.11,141,Buy,11-Mar-2019
