stock_symbol, isin_code, comp_name, demat_summary_qty, demat_summary_acp, demat_summary_hold_units_1k, demat_txn_last_type, demat_txn_last_date
CARERATING,INE752H01013,Care ratings,2,1461.12,0,Buy,01-Feb-2018
CASTROLIND,INE172A01027,Castrol,19,186.88,0,Buy,09-Nov-2018
CDSL,INE736A01011,Central depository ser ind,7,309.19,0,Buy,03-Jul-2018
CEATLTD,INE482A01020,Ceat,3,1445.64,0,Buy,09-Oct-2018
CENTURYPLY,INE348B01021,Century plyboards,13,246.52,0,Buy,02-Jan-2019
CERA,INE739E01017,Cera sanitaryware,1,3078.11,0,Buy,14-Jun-2017
CHAMBLFERT,INE085A01013,Chambal fertilisers chemical,13,148.01,0,Buy,09-Nov-2018
CHOLAHLDNG,INE149A01033,Cholamandalam fin holdings,4,671.81,0,Buy,03-Jul-2018
CIPLA,INE059A01026,Cipla,6,566.81,0,Buy,02-Jan-2019
COALINDIA,INE522F01014,Coal,31,328.84,0,Buy,27-Nov-2017
COFFEEDAY,INE335K01011,Coffee day enterprises,8,284.73,0,Buy,04-Apr-2018
COLPAL,INE259A01022,Colgate palmolive,2,1114.49,0,Buy,04-Apr-2018
CONCOR,INE111A01025,Container corporation,5,515.65,0,Buy,18-Feb-2019
COROMANDEL,INE169A01031,Coromandel international limit,7,459.83,0,Buy,09-Nov-2018
COX&KINGS,INE008I01026,Cox kings,8,265.96,0,Buy,01-Feb-2018
CRISIL,INE007A01025,Crisil,2,1903.67,0,Buy,04-Apr-2018
CROMPTON,INE299U01018,Crompton greaves cons elec,9,240.36,0,Buy,09-Nov-2018
CUMMINSIND,INE298A01020,Cummins,4,886.39,0,Buy,09-Nov-2018
DABUR,INE016A01026,Dabur,10,353.08,0,Buy,02-Jan-2019
DCMSHRIRAM,INE499A01024,Dcm shriram,3,410.36,0,Buy,24-Oct-2018
DELTACORP,INE124G01033,Delta corp,4,261.55,0,Buy,18-Apr-2019
DHFL,INE202B01012,Dewan housing finance  l,12,211.43,0,Buy,04-Feb-2019
DISHTV,INE836F01026,Dish tv,93,44.36,0,Buy,28-Jan-2019
DLF,INE271C01023,Dlf,10,214.27,0,Buy,02-Jan-2018
DMART,INE192R01011,Avenue supermarts dmart,2,1368.09,0,Buy,09-Nov-2018
DRREDDY,INE089A01023,Dr reddys laboratories,2,2453.52,0,Buy,04-Apr-2018
EICHERMOT,INE066A01013,Eicher motors,1,22863.59,0,Buy,12-Mar-2019
EIDPARRY,INE126A01031,Eid parry,11,281.37,0,Buy,02-Jan-2019
EIHOTEL,INE230A01023,Eih,21,158.33,0,Buy,02-Jan-2019
EMAMILTD,INE548C01032,Emami,7,518.93,0,Buy,19-Feb-2019
ENDURANCE,INE913H01037,Endurance technologies,1,1510.35,0,Buy,07-Sep-2018
ENGINERSIN,INE510A01028,Engineers,17,141.32,0,Buy,03-Jul-2018
ENIL,INE265F01028,Entertainment network,2,555.95,0,Buy,13-Mar-2019
ESSELPACK,INE255A01020,Essel propack,14,121.08,0,Buy,09-Oct-2018
EVEREADY,INE128A01029,Eveready industries,11,274.41,0,Buy,09-Nov-2018
EXIDEIND,INE302A01020,Exide industries,9,243.47,0,Buy,05-Dec-2018
FCONSUMER,INE220J01025,Future consumer,42,52.06,0,Buy,22-Apr-2019
FLFL,INE452O01016,Future lifestyle fashions,6,370.76,0,Buy,01-Feb-2018
FORTIS,INE061F01013,Fortis healthcare,13,162.21,0,Buy,04-Apr-2018
FRETAIL,INE752P01024,Future retail,5,470.57,0,Buy,01-Feb-2018
FSC,INE935Q01015,Future supply chain sol,2,691.85,0,Buy,02-Feb-2018
GAIL,INE129A01019,Gail,9,357.86,0,Buy,22-Apr-2019
GICRE,INE481Y01014,General insurance corp,8,348.25,0,Buy,04-Dec-2018
GILLETTE,INE322A01010,Gillette,1,4905.17,0,Buy,12-Jun-2017
GLAXO,INE159A01016,Glaxosmithkline pharmaceutical,2,1685.31,0,Buy,21-Sep-2018
GLENMARK,INE935A01035,Glenmark pharmaceuticals,4,613.85,0,Buy,03-Jul-2018
GODFRYPHLP,INE260B01028,Godfrey phillips,2,747.76,0,Buy,29-Jun-2018
GODREJAGRO,INE850D01014,Godrej agrovet,4,574.13,0,Buy,09-Nov-2018
GODREJCP,INE102D01028,Godrej consumer products,3,746.99,0,Buy,25-Sep-2018
GODREJIND,INE233A01035,Godrej industries,4,558.94,0,Buy,09-Nov-2018
GODREJPROP,INE484J01027,Godrej properties,3,601.61,0,Buy,03-Jul-2018
GRASIM,INE047A01021,Grasim industries,2,1032.77,0,Buy,09-Nov-2018
GREENLAM,INE544R01013,Greenlam industries,2,1143.30,0,Buy,01-Feb-2018
GREENPLY,INE461C01038,Greenply industries,5,236.07,0,Buy,28-Jun-2018
GRINDWELL,INE536A01023,Grindwell norton,5,467.87,0,Buy,09-Nov-2018
GSKCONS,INE264A01014,Glaxosmithkline consumer healt,1,5114.50,0,Buy,19-Sep-2017
HAL,INE066F01012,Hindustan aeronautics,1,934.97,0,Buy,12-Sep-2018
HATSUN,INE473B01035,Hatsun agro products,2,762.28,0,Buy,05-Sep-2018
HAVELLS,INE176B01034,Havells,5,515.02,0,Buy,03-Jul-2018
HCLTECH,INE860A01027,Hcl technologies,7,843.25,0,Buy,03-Jul-2018
HDFC,INE001A01036,Housing development finance co,9,1459.38,0,Buy,04-Dec-2018
HDFCAMC,INE127D01025,Hdfc asset management co,13,1100.00,0,Buy,02-Aug-2018
HDFCBANK,INE040A01026,Hdfc bank,19,1057.37,0,Buy,04-Dec-2018
HDFCLIFE,INE795G01014,Hdfc life insurance com,6,382.60,0,Buy,04-Dec-2018
HEIDELBERG,INE578A01017,Heidelberg cement,8,137.80,0,Buy,26-Oct-2018
HEROMOTOCO,INE158A01026,Hero motocorp,2,3661.38,0,Buy,03-Jul-2018
HINDALCO,INE038A01020,Hindalco industries,14,226.47,0,Buy,03-Jul-2018
HINDPETRO,INE094A01015,Hindustan petroleum corp,12,285.64,0,Buy,09-Oct-2018
HINDUNILVR,INE030A01027,Hindustan unilever,8,1003.78,0,Buy,05-Dec-2018
HINDZINC,INE267A01025,Hindustan zinc,12,274.98,0,Buy,02-Jan-2019
HONAUT,INE671A01010,Honeywell automation,1,22891.60,0,Buy,12-Mar-2019
HSIL,INE415A01038,Hsil,6,408.49,0,Buy,04-Apr-2018
HUDCO,INE031A01017,Housing urban dev co hudco,32,69.58,0,Buy,03-Jul-2018
IBULHSGFIN,INE148I01020,Indiabulls housing finance,2,1052.61,0,Buy,04-Dec-2018
ICICIBANK,INE090A01021,Icici bank,19,273.17,0,Buy,04-Dec-2018
ICICIGI,INE765G01017,Icici lombard gen insurance co,4,707.97,0,Buy,03-Jul-2018
ICICIPRULI,INE726G01019,Icici prudential life ins co,9,387.88,0,Buy,04-Dec-2018
ICRA,INE725G01011,Icra,1,4180.65,0,Buy,22-Jun-2017
IDEA,INE669E01016,Vodafone idea,76,57.05,0,Buy,25-Mar-2019
IFBIND,INE559A01017,Ifb industries,2,1157.60,0,Buy,09-Nov-2018
IGL,INE203G01027,Indraprashtha gas,4,285.08,0,Buy,07-Sep-2018
IIFL,INE530B01024,Iifl holdings,2,709.62,0,Buy,07-Sep-2018
INDHOTEL,INE053A01029,Indian hotels co,64,116.82,0,Buy,09-Nov-2018
INDIGO,INE646L01027,Interglobe aviation,3,1131.77,0,Buy,09-Nov-2018
INDUSINDBK,INE095A01012,Indusind bank,1,2003.46,0,Buy,23-Aug-2018
INFRATEL,INE121J01017,Bharti infratel,7,338.08,0,Buy,09-Nov-2018
INFY,INE009A01021,Infosys,24,493.60,0,Buy,11-Sep-2018
INOXLEISUR,INE312H01016,Inox leisure,3,318.34,0,Buy,13-Mar-2019
IOC,INE242A01010,Indian oil corporation,20,177.17,0,Buy,02-Jan-2019
ISEC,INE763G01038,Icici securities isec,4,319.42,0,Buy,26-Jul-2018
ITC,INE154A01025,Itc,44,252.59,0,Buy,09-Nov-2018
JCHAC,INE782A01015,Johnson controls hitachi air i,1,2106.33,0,Buy,17-Oct-2017
JISLJALEQS,INE175A01038,Jain irrigation systems,24,94.01,0,Buy,09-Nov-2018
JKTYRE,INE573A01042,Jk tyre industries,26,137.47,0,Buy,05-Feb-2019
JSWSTEEL,INE019A01038,Jsw steel,13,256.54,0,Buy,09-Nov-2018
JUBLFOOD,INE797F01012,Jubilant foodworks,4,771.59,0,Buy,03-Jul-2018
KAJARIACER,INE217B01036,Kajaria ceramics,5,605.64,0,Buy,09-Nov-2018
KANSAINER,INE531A01024,Kansai nerolac paints,7,488.92,0,Buy,02-Jan-2019
KOTAKBANK,INE237A01028,Kotak mahindra bank,2,1055.12,0,Buy,04-Apr-2018
KRBL,INE001B01026,Krbl,5,402.98,0,Buy,03-Jul-2018
KSB,INE999A01015,Ksb,3,753.41,0,Buy,04-Apr-2018
KSCL,INE455I01029,Kaveri seed company,4,549.33,0,Buy,02-Jan-2019
L&TFH,INE498L01015,Lt finance holdings,6,176.87,0,Buy,28-May-2018
LALPATHLAB,INE600L01024,Dr lal pathlabs,2,888.61,0,Buy,03-Jul-2018
LEMONTREE,INE970X01018,Lemon tree hotels,15,72.91,0,Buy,05-Feb-2019
LICHSGFIN,INE115A01026,Lic housing finance,5,607.15,0,Buy,04-Dec-2018
LT,INE018A01030,Larsen toubro,8,1111.69,0,Buy,05-Dec-2018
LTI,INE214T01019,Larsen toubro infotech,1,1699.31,0,Buy,28-May-2018
LTTS,INE010V01017,L&t technologies,1,1342.52,0,Buy,28-May-2018
LUPIN,INE326A01037,Lupin,7,1419.15,0,Buy,09-Nov-2018
M&M,INE101A01026,Mahindra mahindra,6,715.01,0,Buy,05-Dec-2018
M&MFIN,INE774D01024,Mahindra mahindra financial,5,444.46,0,Buy,04-Dec-2018
MAHINDCIE,INE536H01010,Mahindra cie automotive,4,243.74,0,Buy,28-May-2018
MAHLOG,INE766P01016,Mahindra logistics,2,489.55,0,Buy,02-Feb-2018
MANAPPURAM,INE522D01027,Manappuram finance,18,125.92,0,Buy,22-Apr-2019
MARICO,INE196A01026,Marico,10,344.50,0,Buy,02-Jan-2019
MARUTI,INE585B01010,Maruti suzuki,2,7563.02,0,Buy,05-Dec-2018
MCDOWELL-N,INE854D01024,United spirits,27,507.45,0,Buy,05-Dec-2018
METROPOLIS,INE112L01020,Metropolis healthcare,1,980.06,0,Buy,15-Apr-2019
MHRIL,INE998I01010,Mahindra holidays resorts in,11,303.41,0,Buy,02-Jan-2019
MONSANTO,INE274B01011,Monsanto,2,2790.47,0,Buy,04-Apr-2018
MOTHERSUMI,INE775A01035,Motherson sumi systems,15,204.72,0,Buy,06-Nov-2018
MRF,INE883A01011,Mrf,1,57914.45,0,Buy,12-Mar-2019
MUTHOOTFIN,INE414G01012,Muthoot finance,6,450.78,0,Buy,04-Dec-2018
NATIONALUM,INE139A01034,National aluminium co,48,73.61,0,Buy,09-Nov-2018
NAUKRI,INE663F01024,Info edge,3,1156.62,0,Buy,03-Jul-2018
NBCC,INE095N01031,Nbcc,38,84.26,0,Buy,02-Jan-2019
NCC,INE868B01028,Ncc,21,109.90,0,Buy,04-Apr-2018
NETWORK18,INE870H01013,Network 18 media investments,30,36.20,0,Buy,13-Mar-2019
NH,INE410P01011,Narayana hrudayalaya,12,271.65,0,Buy,02-Jan-2019
NHPC,INE848E01016,Nhpc,80,26.92,0,Buy,09-Nov-2018
NIACL,INE470Y01017,The new assurance co,9,282.17,0,Buy,04-Dec-2018
NILKAMAL,INE310A01015,Nilkamal,2,1815.04,0,Buy,03-Jul-2018
NLCINDIA,INE589A01014,Nlc,24,89.97,0,Buy,26-Oct-2018
NMDC,INE584A01023,Nmdc,28,122.39,0,Buy,02-Jan-2019
NTPC,INE733E01010,Ntpc,58,127.72,0,Buy,28-Mar-2019
OIL,INE274J01014,Oil,10,226.03,0,Buy,06-Apr-2018
ONGC,INE213A01029,Oil natural gas corporatio,32,189.45,0,Buy,09-Nov-2018
PAGEIND,INE761H01022,Page industries,1,24465.35,0,Buy,12-Mar-2019
PAPERPROD,INE275B01026,Huhtamaki ppl,3,325.26,0,Buy,28-May-2018
PCJEWELLER,INE785M01013,Pc jeweller,34,106.47,0,Buy,09-Oct-2018
PEL,INE140A01024,Piramal enterprises,2,2741.20,0,Buy,04-Apr-2018
PETRONET,INE347G01014,Petronet lng,14,233.96,0,Buy,02-Jan-2019
PFC,INE134E01011,Power finance corporation,27,123.03,0,Buy,09-Nov-2018
PFIZER,INE182A01018,Pfizer,1,1818.32,0,Buy,19-Sep-2017
PGHH,INE179A01014,Procter gamble hygiene hea,1,8018.86,0,Buy,09-Jun-2017
PIDILITIND,INE318A01026,Pidilite industries,3,866.03,0,Buy,04-Apr-2018
PIIND,INE603J01030,P i industries,2,902.20,0,Buy,02-Jan-2019
POWERGRID,INE752E01010,Power grid corporationindi,35,191.93,0,Buy,09-Nov-2018
PRESTIGE,INE811K01011,Prestige estates projects limi,9,271.18,0,Buy,03-Jul-2018
PURVA,INE323I01011,Puravankara,23,94.25,0,Buy,04-Apr-2018
PVR,INE191H01014,Pvr,3,1518.76,0,Buy,02-Jan-2019
QUESS,INE615P01015,Quess corp,2,873.32,0,Buy,02-Jan-2019
RAJESHEXPO,INE343B01030,Rajesh exports,5,728.50,0,Buy,09-Oct-2018
RALLIS,INE613A01020,Rallis,10,248.05,0,Buy,04-Apr-2018
RECLTD,INE020B01018,Rec,20,159.99,0,Buy,09-Nov-2018
RELAXO,INE131B01039,Relaxo footwears,5,625.65,0,Buy,02-Jan-2019
RELIANCE,INE002A01018,Reliance industries,16,550.64,0,Buy,09-Nov-2018
RENUKA,INE087H01022,Shree renuka sugars,100,12.88,0,Buy,28-Jun-2018
SANOFI,INE058A01010,Sanofi,1,4094.35,0,Buy,19-Sep-2017
SBILIFE,INE123W01016,Sbi life insurance company,4,670.16,0,Buy,09-Nov-2018
SBIN,INE062A01020,State bank,24,255.35,0,Buy,09-Nov-2018
SCHAEFFLER,INE513A01014,Schaeffler,1,5587.21,0,Buy,07-Sep-2018
SCI,INE109A01011,Shipping corp lt,57,57.70,0,Buy,18-Apr-2019
SFL,INE916U01025,Sheela foam,1,1649.36,0,Buy,02-Feb-2018
SHOPERSTOP,INE498B01024,Shoppers stop,5,423.67,0,Buy,01-Feb-2018
SHREECEM,INE070A01015,Shree cements,1,18299.46,0,Buy,12-Mar-2019
SIEMENS,INE003A01024,Siemens,3,1269.46,0,Buy,02-Jan-2019
SKFINDIA,INE640A01023,Skf,2,1693.46,0,Buy,03-Jul-2018
SOBHA,INE671H01015,Sobha,6,425.41,0,Buy,03-Jul-2018
SOMANYCERA,INE355A01028,Somany ceramics,4,479.55,0,Buy,29-Oct-2018
SRTRANSFIN,INE721A01013,Shriram transport finance co,2,1182.97,0,Buy,09-Nov-2018
SUNDARMFIN,INE660A01013,Sundaram finance,1,1612.76,0,Buy,07-Sep-2018
SUNPHARMA,INE044A01036,Sun pharmaceutical industries,17,722.31,0,Buy,09-Nov-2018
SUPREMEIND,INE195A01028,Supreme industries,2,1205.90,0,Buy,04-Apr-2018
TATACHEM,INE092A01019,Tata chemicals,4,695.15,0,Buy,04-Apr-2018
TATACOFFEE,INE493A01027,Tata coffee,26,130.02,0,Buy,09-Nov-2018
TATAELXSI,INE670A01012,Tata elxsi,1,993.14,0,Buy,29-Oct-2018
TATAGLOBAL,INE192A01025,Tata global beverages,17,199.45,0,Buy,09-Nov-2018
TATAINVEST,INE672A01018,Tata investment corporation lt,2,847.68,0,Buy,24-Aug-2018
TATAMOTORS,INE155A01022,Tata motors,17,283.66,0,Buy,29-Oct-2018
TATAPOWER,INE245A01021,Tata power co,25,84.92,0,Buy,04-Apr-2018
TATASTEEL,INE081A01012,Tata steel,14,493.83,0,Buy,03-Jul-2018
TCS,INE467B01029,Tata consultancy services,17,1213.42,0,Buy,09-Nov-2018
TECHM,INE669C01036,Tech mahindra,7,511.10,0,Buy,02-Jan-2019
THOMASCOOK,INE332A01027,Thomas cook,10,234.68,0,Buy,01-Feb-2018
THYROCARE,INE594H01019,Thyrocare technologies,2,548.21,0,Buy,12-Mar-2019
TIINDIA,INE974X01010,Tube investments,8,290.39,0,Buy,02-Jan-2019
TITAN,INE280A01028,Titan company,7,692.00,0,Buy,02-Jan-2019
TRENT,INE849A01020,Trent,7,299.79,0,Buy,04-Apr-2018
TTKPRESTIG,INE690A01010,Ttk prestige,1,6420.67,0,Buy,18-Jul-2017
TVSMOTOR,INE494B01023,Tvs motor company,6,588.08,0,Buy,03-Jul-2018
TVSSRICHAK,INE421C01016,Tvs srichakra,1,2361.41,0,Buy,26-Oct-2018
UBL,INE686F01025,United breweries,3,1069.37,0,Buy,09-Nov-2018
UFLEX,INE516A01017,Uflex,8,292.07,0,Buy,09-Oct-2018
ULTRACEMCO,INE481G01011,Ultratech cement,4,3776.16,0,Buy,05-Dec-2018
UNK_TICKER,UNK_ISIN,Uti gold etf,8,303.04,0,Buy,11-Mar-2019
UPL,INE628A01036,Upl,7,743.28,0,Buy,25-Jan-2017
VBL,INE200M01013,Varun beverages,5,672.43,0,Buy,02-Jan-2019
VEDL,INE205A01025,Vedanta,32,231.22,0,Buy,04-Feb-2019
VENKEYS,INE398A01010,Venkys,1,2130.48,0,Buy,22-Sep-2017
VGUARD,INE951I01027,V guard industries,9,240.32,0,Buy,22-Apr-2019
VIPIND,INE054A01027,Vip industries,11,303.39,0,Buy,02-Jan-2019
VOLTAS,INE226A01021,Voltas,6,544.16,0,Buy,09-Nov-2018
VRLLOG,INE366I01010,Vrl logistics,6,395.14,0,Buy,01-Feb-2018
VSTIND,INE710A01016,Vst industries,1,3001.91,0,Buy,29-Jun-2018
VSTTILLERS,INE764D01017,Vsttillers tractors,2,1711.74,0,Buy,22-Apr-2019
WABCOINDIA,INE342J01019,Wabco,1,6926.00,0,Buy,07-Sep-2018
WHIRLPOOL,INE716A01013,Whirlpool,2,1386.24,0,Buy,04-Apr-2018
WIPRO,INE075A01022,Wipro,33,200.58,0,Buy,15-Mar-2019
WONDERLA,INE066O01014,Wonderla holidays,3,376.76,0,Buy,18-Apr-2018
ZEEL,INE256A01028,Zee entertainment enterprises,16,472.31,0,Buy,28-Jan-2019
ZEELEARN,INE565L01011,Zee learn,112,37.49,0,Buy,28-Jan-2019
ZYDUSWELL,INE768C01010,Zydus wellness,1,1338.42,0,Buy,22-Apr-2019
