security_name, bonus_count, buyback_count, dividend_count, total_count
BOMBCYC , - , - , 1 , 1
BOMDYEING , - , - , 1 , 1
BOMOXY-B1 , - , - , 1 , 1
BRAWN , - , - , 1 , 1
BRIGADE , - , - , 1 , 1
BRIGHTBR , - , - , 1 , 1
BRITANNIA , - , - , 1 , 1
BRNL , - , - , 1 , 1
BRPL , - , - , 1 , 1
BSL , - , - , 1 , 1
BSOFT , - , - , 1 , 1
CADILAHC , - , - , 1 , 1
CANFINHOME , - , - , 1 , 1
CAPACITE , - , - , 1 , 1
CAPF , - , - , 1 , 1
CAPITALT , - , - , 1 , 1
CAPPL , - , - , 1 , 1
CAPRIHANS , - , - , 1 , 1
CCL , - , - , 1 , 1
CEATLTD , - , - , 1 , 1
CEINSYSTECH , - , - , 1 , 1
CENTENKA , - , - , 1 , 1
CENTUM , - , - , 1 , 1
CENTURYPLY , - , - , 1 , 1
CENTURYTEX , - , - , 1 , 1
CERA , - , - , 1 , 1
CESC , - , - , 1 , 1
CESL , 1 , - , - , 1
CGCL , - , - , 1 , 1
CGVAK , - , - , 1 , 1
CHAMANSEQ , - , - , 1 , 1
CHAMBLFERT , - , - , 1 , 1
CHEMBOND , - , - , 1 , 1
CHEMCRUX , - , - , 1 , 1
CHEMFABALKA , - , - , 1 , 1
CHENNPETRO , - , - , 1 , 1
CHOKSI , - , - , 1 , 1
CIFL , - , - , 1 , 1
CILSEC , - , - , 1 , 1
CIPLA , - , - , 1 , 1
CITADEL , - , - , 1 , 1
CLEDUCATE , - , - , 1 , 1
CMI , - , - , 1 , 1
COMFINCAP , - , - , 1 , 1
COMFINTE , - , - , 1 , 1
COMPEAU , - , - , 1 , 1
COMPUAGE , - , - , 1 , 1
COMPUSOFT , - , - , 1 , 1
COMSYN , - , - , 1 , 1
CONFIPET , - , - , 1 , 1
CORALAB , - , - , 1 , 1
CORALFINAC , - , - , 1 , 1
COSMOFILMS , - , - , 1 , 1
COSYN , - , - , 1 , 1
COX&KINGS , - , - , 1 , 1
CPL , - , - , 1 , 1
CRAVATEX , - , - , 1 , 1
CREATIVE , - , - , 1 , 1
CREST , - , - , 1 , 1
CROMPTON , - , - , 1 , 1
CTCL , - , - , 1 , 1
CTL , - , - , 1 , 1
CYBERTECH , - , - , 1 , 1
DAAWAT , - , - , 1 , 1
DAICHI , - , - , 1 , 1
DAIKAFFI , - , - , 1 , 1
DAMOINDUS , - , - , 1 , 1
DARJEELING , - , - , 1 , 1
DATAMATICS , - , - , 1 , 1
DBL , - , - , 1 , 1
DCBBANK , - , - , 1 , 1
DCMSRMIND , - , - , 1 , 1
DECCANCE , - , - , 1 , 1
DEEPAKFERT , - , - , 1 , 1
DEEPAKNI , - , - , 1 , 1
DEEPIND , - , - , 1 , 1
DENORA , - , - , 1 , 1
DFM , - , - , 1 , 1
DHAMPURSUG , - , - , 1 , 1
DHANVARSHA , - , - , 1 , 1
DHFL , - , - , 1 , 1
DHPIND , - , - , 1 , 1
DHUNINV , - , - , 1 , 1
DHUNTEAIND , - , - , 1 , 1
DIAMONDYD , - , - , 1 , 1
DIANATEA , - , - , 1 , 1
DISAQ , - , - , 1 , 1
DISHTV , - , - , 1 , 1
DIVISLAB , - , - , 1 , 1
DIVSHKT , - , - , 1 , 1
DIXON , - , - , 1 , 1
DLF , - , - , 1 , 1
DLINKINDIA , - , - , 1 , 1
DOLAT , - , - , 1 , 1
DOLLAR , - , - , 1 , 1
DONEAR , - , - , 1 , 1
DRAGARWQ , - , - , 1 , 1
DREDGECORP , - , - , 1 , 1
DRREDDY , - , - , 1 , 1
DUKEOFS , 1 , - , - , 1
DVL , - , - , 1 , 1
DYNAMATECH , - , - , 1 , 1
DYNAMIC , - , - , 1 , 1
DYNAMIND , - , - , 1 , 1
DYNPRO , - , - , 1 , 1
EASTWEST , - , - , 1 , 1
ECLERX , - , - , 1 , 1
ECOPLAST , - , - , 1 , 1
EICHERMOT , - , - , 1 , 1
EIHAHOTELS , - , - , 1 , 1
EIHOTEL , - , - , 1 , 1
EIMCOELECO , - , - , 1 , 1
ELANTAS , - , - , 1 , 1
ELCIDIN , - , - , 1 , 1
ELDEHSG , - , - , 1 , 1
ELECON , - , - , 1 , 1
ELECTCAST , - , - , 1 , 1
ELGIEQUIP , - , - , 1 , 1
ELIXIR , - , - , 1 , 1
ELNET , - , - , 1 , 1
EMAMIPAP , - , - , 1 , 1
EMMBI , - , - , 1 , 1
EMPIND , - , - , 1 , 1
ENDURANCE , - , - , 1 , 1
ENERGYDEV , - , - , 1 , 1
ENIL , - , - , 1 , 1
ESCORTS , - , - , 1 , 1
EVEREADY , - , - , 1 , 1
EVERESTIND , - , - , 1 , 1
EXCELCROP , - , - , 1 , 1
EXCELINDUS , - , - , 1 , 1
EXPLEOSOL , - , - , 1 , 1
FAIRCHEM , - , - , 1 , 1
FAIRDSY , - , - , 1 , 1
FAZE3Q , - , - , 1 , 1
FEDERALBNK , - , - , 1 , 1
FINCABLES , - , - , 1 , 1
FINEORG , - , - , 1 , 1
FINOLEXIND , - , - , 1 , 1
FLFL , - , - , 1 , 1
FLORENCE , - , - , 1 , 1
FLUIDOM , - , - , 1 , 1
FOMEHOT , - , - , 1 , 1
FOODSIN , - , - , 1 , 1
FORBESCO , - , - , 1 , 1
FORCEMOT , - , - , 1 , 1
FREDUN , - , - , 1 , 1
FRONTSEC , - , - , 1 , 1
FSC , - , - , 1 , 1
FSL , - , - , 1 , 1
GAEL , - , - , 1 , 1
GALAXYSURF , - , - , 1 , 1
GALLANTT , - , - , 1 , 1
GANDHITUBE , - , - , 1 , 1
GANECOS , - , - , 1 , 1
GANESHHOUC , - , - , 1 , 1
GANONPRO , - , - , 1 , 1
GARFIBRES , - , - , 1 , 1
GARNETINT , - , - , 1 , 1
GARWARPOLY , - , - , 1 , 1
GATI , - , - , 1 , 1
GDL , - , - , 1 , 1
GEE , - , - , 1 , 1
GEL , - , - , 1 , 1
GENCON , - , - , 1 , 1
GENESYS , - , - , 1 , 1
GENUSPOWER , - , - , 1 , 1
GEOJITFSL , - , - , 1 , 1
GEPIL , - , - , 1 , 1
GESHIP* , - , - , 1 , 1
GET&D , - , - , 1 , 1
GFLLIMITED , - , - , 1 , 1
GGPL , 1 , - , - , 1
GHCL , - , - , 1 , 1
GICHSGFIN , - , - , 1 , 1
GINISILK , - , - , 1 , 1
GIPCL , - , - , 1 , 1
GLENMARK , - , - , 1 , 1
GMDCLTD , - , - , 1 , 1
GNA , - , - , 1 , 1
GNFC , - , - , 1 , 1
GOACARBON , - , - , 1 , 1
GOCLCORP , - , - , 1 , 1
GODFRYPHLP , - , - , 1 , 1
GODREJAGRO , - , - , 1 , 1
GODREJIND , - , - , 1 , 1
GOODRICKE , - , - , 1 , 1
GOODYEAR , - , - , 1 , 1
GOWRALE , - , - , 1 , 1
GPTINFRA , - , - , 1 , 1
GRASIM , - , - , 1 , 1
GRAUWEIL , - , - , 1 , 1
GRAVITA , - , - , 1 , 1
GREENPLY , - , - , 1 , 1
GRINDWELL , - , - , 1 , 1
GRMOVER , - , - , 1 , 1
GRNLAMIND , - , - , 1 , 1
GROVY , - , - , 1 , 1
GRPLTD , - , - , 1 , 1
GRSE , - , - , 1 , 1
GSBFIN , - , - , 1 , 1
GSFC , - , - , 1 , 1
GSKCONS , - , - , 1 , 1
GSPL , - , - , 1 , 1
GTPL , - , - , 1 , 1
GUFICBIO , - , - , 1 , 1
GUJALKALI , - , - , 1 , 1
GUJAPOLLO , - , - , 1 , 1
GUJGAS , - , - , 1 , 1
GUJHOTE , - , - , 1 , 1
GUJINTRX , - , - , 1 , 1
GULFPETRO , - , - , 1 , 1
HAL , - , - , 1 , 1
HALDYNGL , - , - , 1 , 1
HANMAN , 1 , - , - , 1
HARITASEAT , - , - , 1 , 1
HARLETH , - , - , 1 , 1
HAVELLS , - , - , 1 , 1
HAWKINCOOK , - , - , 1 , 1
HBLPOWER , - , - , 1 , 1
HDFCAMC , - , - , 1 , 1
HDFCBANK , - , - , 1 , 1
HDFCLIFE , - , - , 1 , 1
HERCULES , - , - , 1 , 1
HERITGFOOD , - , - , 1 , 1
HFCL , - , - , 1 , 1
HGINFRA , - , - , 1 , 1
HIGHGROUND , - , - , 1 , 1
HIMATSEIDE , - , - , 1 , 1
HIMTEK , - , - , 1 , 1
HINDALCO , - , - , 1 , 1
HINDALUMI , - , - , 1 , 1
HINDCOMPOS , - , - , 1 , 1
HINDCOPPER , - , - , 1 , 1
HINDTIN , - , - , 1 , 1
HINDUJAVEN , - , - , 1 , 1
HINDZINC , - , - , 1 , 1
HISARMET , - , - , 1 , 1
HITECHCORP , - , - , 1 , 1
HMVL , - , - , 1 , 1
HONAUT , - , - , 1 , 1
HONDAPOWER , - , - , 1 , 1
HPCOTTON , - , - , 1 , 1
HPL , - , - , 1 , 1
HSCL , - , - , 1 , 1
HSIL , - , - , 1 , 1
HTMEDIA , - , - , 1 , 1
HUDCO , - , - , 1 , 1
HUIL , - , - , 1 , 1
IBULISL , - , - , 1 , 1
IBVENTURES , - , - , 1 , 1
ICICIBANK , - , - , 1 , 1
ICIL , - , - , 1 , 1
ICRA , - , - , 1 , 1
IDFC , - , - , 1 , 1
IDFCFIRSTB , - , - , 1 , 1
IFGLEXPOR , - , - , 1 , 1
IFSL , - , - , 1 , 1
IGL , - , - , 1 , 1
IGPL , - , - , 1 , 1
IIFL , - , - , 1 , 1
IMFA , - , - , 1 , 1
IMPAL , - , - , 1 , 1
INANI , - , - , 1 , 1
INDAGIV , - , - , 1 , 1
INDGELA , - , - , 1 , 1
INDHOTEL , - , - , 1 , 1
INDIACEM , - , - , 1 , 1
INDIAGLYCO , - , - , 1 , 1
INDIAHOME , - , - , 1 , 1
INDIANB , - , - , 1 , 1
INDIANHUME , - , - , 1 , 1
INDIANVSH , - , - , 1 , 1
INDIGO , - , - , 1 , 1
INDLMETER , - , - , 1 , 1
INDOAMIN , - , - , 1 , 1
INDOBORAX , - , - , 1 , 1
INDOCO , - , - , 1 , 1
INDOSTAR , - , - , 1 , 1
INDOTHAI , - , - , 1 , 1
INDPRUD , - , - , 1 , 1
INDRAMEDCO , - , - , 1 , 1
INDSILHYD , - , - , 1 , 1
INDUSINDBK , - , - , 1 , 1
INEOSSTYRO , - , - , 1 , 1
INFIBEAM , - , - , 1 , 1
INFLAME , 1 , - , - , 1
INNOVTEC , - , - , 1 , 1
INSECTICID , - , - , 1 , 1
INTLCONV , - , - , 1 , 1
INVPRECQ , - , - , 1 , 1
IONEXCHANG , - , - , 1 , 1
IPCALAB , - , - , 1 , 1
IRB , - , - , 1 , 1
IRCON , - , - , 1 , 1
ISFT , - , - , 1 , 1
ISGEC , - , - , 1 , 1
ITC , - , - , 1 , 1
ITDC , - , - , 1 , 1
ITDCEM , - , - , 1 , 1
ITHL , - , - , 1 , 1
ITL , - , - , 1 , 1
IVC , - , - , 1 , 1
IVP , - , - , 1 , 1
JAICORPLTD , - , - , 1 , 1
JAYAGROGN , - , - , 1 , 1
JAYBARMARU , - , - , 1 , 1
JAYSHREETEA , - , - , 1 , 1
JAYSYN , - , - , 1 , 1
JAYUSH , - , - , 1 , 1
JBMA , - , - , 1 , 1
JCHAC , - , - , 1 , 1
JENBURPH , - , - , 1 , 1
JETINFRA , 1 , - , - , 1
JINDALPOLY , - , - , 1 , 1
JINDALSAW , - , - , 1 , 1
JINDRILL , - , - , 1 , 1
JINDWORLD , - , - , 1 , 1
JISLDVREQS , - , - , 1 , 1
JISLJALEQS , - , - , 1 , 1
JIYAECO , 1 , - , - , 1
JK AGRI , - , - , 1 , 1
JKCEMENT , - , - , 1 , 1
JKIL , - , - , 1 , 1
JKLAKSHMI , - , - , 1 , 1
JKPAPER , - , - , 1 , 1
JKTYRE , - , - , 1 , 1
JLMORI , - , - , 1 , 1
JMCPROJECT , - , - , 1 , 1
JOINDRE , - , - , 1 , 1
JOONKTOLL , - , - , 1 , 1
JOSTS , - , - , 1 , 1
JSWSTEEL , - , - , 1 , 1
JTEKTINDIA , - , - , 1 , 1
JUBILANT , - , - , 1 , 1
JUSTDIAL , - , 1 , - , 1
KABRAEXTRU , - , - , 1 , 1
KAIRA , - , - , 1 , 1
KAJARIACER , - , - , 1 , 1
KAKATCEM , - , - , 1 , 1
KALLAM , - , - , 1 , 1
KALPATPOWR , - , - , 1 , 1
KALYANIFRG , - , - , 1 , 1
KAMADGIRI , - , - , 1 , 1
KAMAHOLD , - , - , 1 , 1
KAMDHENU , - , - , 1 , 1
KANCHI , - , - , 1 , 1
KANCOTEA , - , - , 1 , 1
KANORICHEM , - , - , 1 , 1
KANPRPLA , - , - , 1 , 1
KANSAINER , - , - , 1 , 1
KAYCEEI , - , - , 1 , 1
KCP , - , - , 1 , 1
KCPSUGIND , - , - , 1 , 1
KDDL , - , - , 1 , 1
KEC , - , - , 1 , 1
KEERTHI , - , - , 1 , 1
KEI , - , - , 1 , 1
KELENRG , - , - , 1 , 1
KEMP , - , - , 1 , 1
KENNAMET , - , - , 1 , 1
KEYFINSER , - , - , 1 , 1
KHADIM , - , - , 1 , 1
KHAICHEM , - , - , 1 , 1
KIFS , - , - , 1 , 1
KILITCH , - , - , 1 , 1
KILPEST , - , - , 1 , 1
KIRANVYPAR , - , - , 1 , 1
KIRLOSBROS , - , - , 1 , 1
KIRLOSIND , - , - , 1 , 1
KITEX , - , - , 1 , 1
KKALPANAIND , - , - , 1 , 1
KLBRENG-B , - , - , 1 , 1
KMSMEDI , - , - , 1 , 1
KNRCON , - , - , 1 , 1
KOLTEPATIL , - , - , 1 , 1
KOTAKBANK , - , - , 1 , 1
KOTHARIPRO , - , - , 1 , 1
KOVAI , - , - , 1 , 1
KPEL , 1 , - , - , 1
KPRMILL , - , - , 1 , 1
KRBL , - , - , 1 , 1
KRIINFRA , - , - , 1 , 1
KRITIIND , - , - , 1 , 1
KRITINUT , - , - , 1 , 1
KRL , - , - , 1 , 1
KSB , - , - , 1 , 1
KSE , - , - , 1 , 1
KSL , - , - , 1 , 1
KTIL , - , - , 1 , 1
KTKBANK , - , - , 1 , 1
KUANTUM , - , - , 1 , 1
KUSHAL , - , - , 1 , 1
KWALITY , - , - , 1 , 1
L&TFH , - , - , 1 , 1
LAHOTIOV , - , - , 1 , 1
LAKSELEC , - , - , 1 , 1
LAKSHMIMIL , - , - , 1 , 1
LAMBODHARA , - , - , 1 , 1
LANCORHOL , - , - , 1 , 1
LAOPALA , - , - , 1 , 1
LAURUSLABS , - , - , 1 , 1
LAXMIMACH , - , - , 1 , 1
LEHIL , - , - , 1 , 1
LICHSGFIN , - , - , 1 , 1
LINCOPH , - , - , 1 , 1
LINCPENQ , - , - , 1 , 1
LINDEINDIA , - , - , 1 , 1
LKPSEC , - , - , 1 , 1
LOHIASEC , - , - , 1 , 1
LOYALTEX , - , - , 1 , 1
LUDLOWJUT , - , - , 1 , 1
LUHARUKA , - , - , 1 , 1
LUMAXIND , - , - , 1 , 1
LUMAXTECH , - , - , 1 , 1
LUPIN , - , - , 1 , 1
LUXIND , - , - , 1 , 1
M&M , - , - , 1 , 1
M&MFIN , - , - , 1 , 1
MACPLASQ , - , - , 1 , 1
MADHAV , - , - , 1 , 1
MAGADHSUGAR , - , - , 1 , 1
MAGMA , - , - , 1 , 1
MAGNAELQ , - , - , 1 , 1
MAHEPC , - , - , 1 , 1
MAHLIFE , - , - , 1 , 1
MAHLOG , - , - , 1 , 1
MAHSCOOTER , - , - , 1 , 1
MAHSEAMLES , - , - , 1 , 1
MAHSHRE , - , - , 1 , 1
MAITHANALL , - , - , 1 , 1
MAKERSL , - , - , 1 , 1
MALLCOM , - , - , 1 , 1
MANAKSIA , - , - , 1 , 1
MANALIPETC , - , - , 1 , 1
MANCREDIT , - , - , 1 , 1
MANGCHEFER , - , - , 1 , 1
MANGLMCEM , - , - , 1 , 1
MANINDS , - , - , 1 , 1
MANINFRA , - , - , 1 , 1
MANPASAND , - , - , 1 , 1
MANUGRAPH , - , - , 1 , 1
MARATHON , - , - , 1 , 1
MARBU , - , - , 1 , 1
MARKSANS , - , - , 1 , 1
MARUTI , - , - , 1 , 1
MARVINY , - , - , 1 , 1
MASTERTR , - , - , 1 , 1
MATRIMONY , - , - , 1 , 1
MAXIMUS , 1 , - , - , 1
MAZDALTD , - , - , 1 , 1
MCCHRLS-B , - , - , 1 , 1
MCLEODRUSS , - , - , 1 , 1
MCLOUD , 1 , - , - , 1
MCX , - , - , 1 , 1
MEERA , - , - , 1 , 1
MENNPIS , - , - , 1 , 1
MEP , - , - , 1 , 1
MERCURYLAB , - , - , 1 , 1
METALCO , - , - , 1 , 1
MHRIL , - , - , 1 , 1
MINDTECK , - , - , 1 , 1
MIRZAINT , - , - , 1 , 1
MITSU , - , - , 1 , 1
MODERN , - , - , 1 , 1
MODRNSH , - , - , 1 , 1
MOHOTAIND , - , - , 1 , 1
MORARKFI , - , - , 1 , 1
MPILCORPL , - , - , 1 , 1
MPSLTD , - , - , 1 , 1
MRPL , - , - , 1 , 1
MUKESHB , - , - , 1 , 1
MUL , - , - , 1 , 1
MULTIIN , - , - , 1 , 1
MUNJALAU , - , - , 1 , 1
MUNJALSHOW , - , - , 1 , 1
MYSORPETRO , - , - , 1 , 1
NACLIND , - , - , 1 , 1
NAHARCAP , - , - , 1 , 1
NAHARPOLY , - , - , 1 , 1
NAHARSPING , - , - , 1 , 1
NATCAPSUQ , - , - , 1 , 1
NATPEROX , - , - , 1 , 1
NATPLAS , - , - , 1 , 1
NAVBLDR , - , - , 1 , 1
NBCC , - , - , 1 , 1
NBVENTURES , - , - , 1 , 1
NCC , - , - , 1 , 1
NCLIND , - , - , 1 , 1
NDL , - , - , 1 , 1
NECLIFE , - , - , 1 , 1
NELCAST , - , - , 1 , 1
NESCO , - , - , 1 , 1
NETLINK , - , 1 , - , 1
NEWGEN , - , - , 1 , 1
NFL , - , - , 1 , 1
NGIND , - , - , 1 , 1
NIITTECH , - , - , 1 , 1
NIKHILAD , - , - , 1 , 1
NILA , - , - , 1 , 1
NILE , - , - , 1 , 1
NIPPOBATRY , - , - , 1 , 1
NIRLON , - , - , 1 , 1
NITINCAST , - , - , 1 , 1
NITINSPIN , - , - , 1 , 1
NITTAGELA , - , - , 1 , 1
NOCIL , - , - , 1 , 1
NOVARTIND , - , - , 1 , 1
NRAGRINDQ , - , - , 1 , 1
NRBBEARING , - , - , 1 , 1
NUCLEUS , - , - , 1 , 1
OBEROIRLTY , - , - , 1 , 1
OBIL , - , - , 1 , 1
OCEANIC , - , - , 1 , 1
OFSS , - , - , 1 , 1
OMAXE , - , - , 1 , 1
ONMOBILE , - , - , 1 , 1
ONWARDTEC , - , - , 1 , 1
ORIBEVER , - , - , 1 , 1
ORICON , - , - , 1 , 1
ORIENTABRA , - , - , 1 , 1
ORIENTBELL , - , - , 1 , 1
ORIENTCEM , - , - , 1 , 1
ORIENTLTD , - , - , 1 , 1
ORIENTREF , - , - , 1 , 1
ORVENPR , - , - , 1 , 1
PAISALO , - , - , 1 , 1
PANACHE , - , - , 1 , 1
PANAENERG , - , - , 1 , 1
PANAMAPET , - , - , 1 , 1
PANCARBON , - , - , 1 , 1
PANCHSHEEL , - , - , 1 , 1
PAPERPROD , - , - , 1 , 1
PARAGMILK , - , - , 1 , 1
PATELSAI , - , - , 1 , 1
PATINTLOG , - , - , 1 , 1
PAUSHAKLTD , - , - , 1 , 1
PCCOSMA , - , - , 1 , 1
PCJEWELLER , - , - , 1 , 1
PDMJEPAPER , - , - , 1 , 1
PECOS , - , - , 1 , 1
PEL , - , - , 1 , 1
PFIZER , - , - , 1 , 1
PFS , - , - , 1 , 1
PGHL , - , - , 1 , 1
PGIL , - , - , 1 , 1
PHOENIXLTD , - , - , 1 , 1
PIDILITIND , - , - , 1 , 1
PILANIINVS , - , - , 1 , 1
PIXTRANS , - , - , 1 , 1
PLASTIBLEN , - , - , 1 , 1
PNBGILTS , - , - , 1 , 1
PNBHOUSING , - , - , 1 , 1
PNCINFRA , - , - , 1 , 1
PODARPIGQ , - , - , 1 , 1
PODDAR , - , - , 1 , 1
POEL , - , - , 1 , 1
POKARNA , - , - , 1 , 1
POLYCHMP , - , - , 1 , 1
POLYMED , - , - , 1 , 1
POLYSPIN , - , - , 1 , 1
PONDYOXIDE , - , - , 1 , 1
PONNIERODE , - , - , 1 , 1
PORWAL , - , - , 1 , 1
POWERMECH , - , - , 1 , 1
PRECAM , - , - , 1 , 1
PREMCO , - , - , 1 , 1
PREMEXPLQ , - , - , 1 , 1
PREMIERPOL , - , - , 1 , 1
PRESSMN , - , - , 1 , 1
PRESTIGE , - , - , 1 , 1
PRICOLLTD , - , - , 1 , 1
PRIMAPLA , - , - , 1 , 1
PRIMEPRO , - , - , 1 , 1
PRITIKAUTO , - , - , 1 , 1
PRIYALT , - , - , 1 , 1
PRSMJOHNSN , - , - , 1 , 1
PSPPROJECT , - , - , 1 , 1
PTC , - , - , 1 , 1
PTIL , 1 , - , - , 1
PTL , - , - , 1 , 1
PURVA , - , - , 1 , 1
PVR , - , - , 1 , 1
QUICKHEAL , - , - , 1 , 1
RADICO , - , - , 1 , 1
RADIXIND , - , - , 1 , 1
RAJESHEXPO , - , - , 1 , 1
RAJGLOWIR , - , - , 1 , 1
RAJOOENG , - , - , 1 , 1
RAJPACK , - , - , 1 , 1
RAJPALAYAM , - , - , 1 , 1
RALLIS , - , - , 1 , 1
RAMAPHO , - , - , 1 , 1
RAMCOCEM , - , - , 1 , 1
RAMCOIND , - , - , 1 , 1
RAMRAT , - , - , 1 , 1
RAPICUT , - , - , 1 , 1
RASOI , - , - , 1 , 1
RATNAMANI , - , - , 1 , 1
RAYMOND , - , - , 1 , 1
RBLBANK , - , - , 1 , 1
RCF , - , - , 1 , 1
RELAXO , - , - , 1 , 1
RELCAPITAL , - , - , 1 , 1
RELCHEMQ , - , - , 1 , 1
RELHOME , - , - , 1 , 1
RELIANCE , - , - , 1 , 1
RELINFRA , - , - , 1 , 1
REMSONSIND , - , - , 1 , 1
REPCOHOME , - , - , 1 , 1
RESPONIND , - , - , 1 , 1
RIIL , - , - , 1 , 1
RISHDIGA , - , - , 1 , 1
RISHIROOP , - , - , 1 , 1
RJSHAH , - , - , 1 , 1
