name, bse_code, nse_code, industry, cmp, mcap, sales, np, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, d2e, dp, dp3, dy, roe3, roce3, cr, sales5, profit5, pledge, piotski, 
Apar Inds., 532259, APARINDS, Electric Equipment, 553.70, 22.38, 0, 0, 2118.93, 0.21, 14.04, 14.29, 17.53, 1.69, 24.50, 28.99, 452.45, 5.87, 148.31, 2.17, 702.30, 8449.85, 2146.92, 1202.37, 1164.10, 10.75, 1.76, 
APL Apollo, 533758, APLAPOLLO, Steel - Medium / Small, 1360.65, 35.62, 1, 0, 3299.63, 0.89, 19.87, 21.56, 18.51, 1.07, 20.71, 21.53, 1003.30, 5.42, 153.02, 3.06, 1687.95, 7547.39, 4109.96, 964.46, 940.21, 10.36, 3.42, 
Alembic Pharma, 533573, APLLTD, Pharmaceuticals - Indian - Bulk Drugs & Formln, 517.15, 18.86, 1, 0, 9748.28, 0.42, 22.21, 15.18, 23.83, 0.76, 18.24, 23.90, 435.10, 23.56, 617.62, 38.36, 651.00, 4021.07, 10671.09, 2718.82, 2681.12, 18.17, 3.59, 
Apollo Hospitals, 508869, APOLLOHOSP, Healthcare, 1369.25, 32.29, 0, 0, 19049.01, 0.83, 7.59, 59.17, 55.01, -55.30, 28.89, 9.62, 1035.00, 12.91, 321.91, 2.60, 1579.70, 8655.47, 22009.11, 3883.41, 3813.85, 4.26, 4.91, 
Apollo Tyres, 500877, APOLLOTYRE, Tyres, 169.10, 17.39, 0, 0, 9673.37, 0.49, 10.46, 13.29, 12.57, -2.97, 21.65, 10.98, 144.05, 10.77, 569.60, 5.70, 244.90, 17580.86, 14041.16, 10039.82, 9982.61, 7.30, 0.96, 
Ashoka Buildcon, 533271, ASHOKA, Engineering - Turnkey Services, 97.25, 10.76, 0, 0, 2730.03, 20.88, -23.65, , 24.56, , -9.35, 16.80, 87.80, 27.98, -33.46, 1.17, 155.00, 4930.12, 8537.62, 286.89, 146.53, -1.61, 9.44, 
Ashok Leyland, 500477, ASHOKLEY, Automobiles - LCVs / HCVs, 65.95, 15.80, 1, 0, 19359.80, 0.08, 25.45, 10.51, 70.01, 0.24, 41.20, 27.38, 56.95, 10.54, 1791.79, 35.61, 123.10, 28476.09, 18618.57, 8332.43, 8038.88, 19.54, 2.32, 
Asian Paints, 500820, ASIANPAINT, Paints / Varnishes, 1766.10, 57.97, 1, 0, 169403.92, 0.07, 25.49, 75.11, 54.66, 6.19, 46.17, 37.21, 1118.00, 19.26, 2255.45, 42.78, 1820.00, 20081.88, 169586.07, 9519.69, 9423.77, 22.68, 17.80, 
Aster DM Health., 540975, ASTERDM, Healthcare, 115.95, 5.89, 0, 0, 5858.11, 0.98, 3.24, 17.17, 27.65, 1.28, 0.00, 7.73, 109.50, 11.65, 339.71, 2.64, 175.00, 8216.65, 8305.41, 2839.38, 2334.15, 0.54, 1.82, 
Astral Poly, 532830, ASTRAL, Plastics Products, 1146.30, 75.90, 0, 0, 17270.41, 0.23, 18.23, 83.55, 55.08, 4.16, 4.45, 23.09, 651.68, 15.01, 206.71, 11.87, 1267.55, 2640.69, 17447.53, 1205.52, 1193.42, 14.49, 14.76, 
Astrazeneca Phar, 506820, ASTRAZEN, Pharmaceuticals - Multinational, 2267.95, 73.65, 0, 0, 5669.88, 0.00, 13.76, 81.51, 211.83, 2.08, 0.00, 20.67, 1306.05, 12.65, 69.56, 324.83, 2398.55, 771.41, 5496.58, 300.80, 295.80, 12.79, 18.85, 
Atul, 500027, ATUL, Dyes And Pigments, 3975.60, 40.48, 0, 0, 11791.63, 0.00, 15.71, 24.87, 19.50, 1.66, 11.32, 22.56, 2830.00, 20.17, 474.18, 229.46, 4160.00, 4021.05, 11763.01, 2649.54, 2619.88, 14.56, 4.45, 
AU Small Finance, 540611, AUBANK, Banks - Private Sector, 653.90, 30.65, 0, 0, 19187.18, 9.52, 24.08, 38.74, 53.04, 0.99, 3.54, 10.54, 500.50, 60.70, 495.31, 1.39, 719.25, 3305.99, 45482.79, 2944.99, 2652.59, 4.90, 9.60, 
Aurobindo Pharma, 524804, AUROPHARMA, Pharmaceuticals - Indian - Bulk Drugs & Formln, 576.20, 7.38, 0, 0, 33761.78, 0.50, 22.63, 12.88, 17.95, 0.82, 6.20, 21.61, 536.60, 20.60, 2544.86, 20.04, 838.00, 20757.87, 38771.36, 13890.78, 13832.19, 15.96, 2.43, 
Avanti Feeds, 512573, AVANTIFEED, Food - Processing - Indian, 360.35, 42.43, 1, 0, 4909.61, 0.01, 36.91, 17.48, 15.00, 0.59, 17.02, 57.80, 253.00, 11.63, 280.92, 162.16, 487.50, 3541.03, 4732.04, 1205.96, 1192.34, 33.69, 4.07, 
Axis Bank, 532215, AXISBANK, Banks - Private Sector, 679.15, 27.15, 0, 0, 191452.69, 10.52, 4.71, 35.82, 106.65, -6.50, 12.68, 5.28, 534.15, 50.51, 5345.60, 1.23, 827.75, 57463.70, 825495.17, 66685.87, 66161.97, 0.45, 2.87, 
Bajaj Auto, 532977, BAJAJ-AUTO, Automobiles - Scooters And 3 - Wheelers, 2910.00, 21.25, 1, 0, 84205.80, 0.01, 22.80, 18.09, 19.40, 2.66, 38.47, 31.65, 2400.00, 16.14, 4898.00, 1388.85, 3149.95, 30597.56, 83397.25, 23233.81, 22944.44, 22.72, 3.62, 
Bajaj Consumer, 533229, BAJAJCON, Personal Care - Indian, 244.15, 2.18, 1, 1, 3602.05, 0.05, 44.90, 15.59, 30.99, 2.34, 83.31, 55.64, 238.95, 30.14, 231.02, 244.39, 425.65, 928.19, 3613.34, 485.12, 470.37, 43.57, 7.43, 
Bajaj Electrical, 500031, BAJAJELEC, Domestic Appliances, 382.95, 13.15, 0, 0, 3923.57, 1.47, 14.33, 27.26, 37.83, 0.27, 30.17, 17.48, 338.45, 5.29, 143.94, 2.52, 587.75, 6830.99, 5489.75, 1077.71, 1057.22, 6.94, 3.64, 
Bajaj Finserv, 532978, BAJAJFINSV, Finance & Investments, 8458.35, 70.70, 0, 0, 134602.89, 4.20, 14.82, 41.56, 21.79, 2.63, 1.17, 14.35, 4955.00, 34.61, 3238.61, 2.16, 8668.80, 46104.99, 232768.35, 23765.92, 23686.35, 2.71, 5.66, 
Bajaj Holdings, 500490, BAJAJHLDNG, Finance & Investments, 3588.65, 62.85, 0, 0, 39938.09, 0.00, 12.75, 13.28, 9.02, 1.49, 14.42, 10.20, 2203.65, 74.09, 3006.41, 1208.86, 3800.00, 400.62, 39927.90, 26952.30, 26841.01, 12.97, 1.48, 
Bajaj Fin., 500034, BAJFINANCE, Finance & Investments, 3992.40, 108.81, 0, 0, 231516.96, 4.41, 21.12, 55.37, 31.01, 1.38, 9.63, 12.75, 1912.00, 69.03, 4181.33, 2.01, 4112.00, 18887.56, 317626.99, 19563.75, 19448.26, 3.74, 13.33, 
Balkrishna Inds, 502355, BALKRISIND, Tyres, 757.80, 11.11, 1, 0, 14649.58, 0.18, 18.30, 20.13, 18.06, 2.33, 17.17, 21.25, 682.00, 24.06, 727.75, 132.25, 1189.65, 5075.59, 15423.57, 4678.71, 4640.05, 13.85, 3.13, 
Balmer Lawrie, 523319, BALMLAWRIE, Diversified - Large, 164.90, 3.55, 0, 0, 1879.90, 0.01, 14.96, 10.58, 11.29, 3.30, 58.34, 22.15, 159.25, 12.83, 177.69, 44.32, 213.00, 1717.28, 1456.72, 1300.20, 1186.20, 14.30, 1.45, 
Balrampur Chini, 500038, BALRAMCHIN, Sugar, 159.65, 121.74, 1, 0, 3512.30, 0.83, 29.15, 5.82, 83.59, 0.04, 16.57, 19.69, 72.00, 17.38, 603.73, 14.46, 173.90, 4231.74, 5241.37, 2081.86, 2059.86, 14.85, 1.69, 
Bandhan Bank, 541153, BANDHANBNK, Banks - Private Sector, 470.35, 27.78, 0, 0, 56118.28, 3.91, , 25.85, 36.87, , 9.07, , 368.10, 62.83, 2170.93, 2.43, 636.30, 7208.44, 94068.59, 11201.76, 10008.66, 335.56, 5.01, 
Bank of Baroda, 532134, BANKBARODA, Banks - Public Sector, 91.30, 6.60, 0, 0, 35120.62, 14.70, 0.62, 32.38, 17.26, -1.23, 5.09, 4.38, 85.65, 51.21, 1100.10, 1.05, 144.00, 52906.25, 671692.00, 49954.12, 49423.76, 0.04, 0.70, 
Bank of India, 532149, BANKINDIA, Banks - Public Sector, 61.10, 4.09, 0, 0, 20022.00, 13.56, -13.28, , 6.51, , 0.00, 3.42, 58.70, 34.72, -5399.40, 0.72, 110.15, 41087.12, 490314.03, 42198.79, 38921.13, -0.75, 0.48, 
BASF India, 500042, BASF, Chemicals, 979.10, 0.94, 0, 0, 4238.52, 0.65, 1.55, , 47.32, , 0.37, 5.13, 970.00, 1.81, 65.48, 0.16, 1849.00, 6012.31, 5137.52, 1412.89, 1369.60, 0.80, 3.00, 
Bata India, 500043, BATAINDIA, Leather / Leather Products, 1736.95, 108.49, 0, 0, 22324.59, 0.00, 17.05, 64.18, 41.03, 6.36, 25.23, 26.29, 833.10, 19.53, 347.84, 15.88, 1789.75, 3013.30, 21485.59, 1746.53, 1682.27, 15.65, 12.78, 
Bayer Crop Sci., 506285, BAYERCROP, Pesticides / Agrochemicals - Multinational, 3372.15, 14.23, 0, 0, 11577.80, 0.00, 14.55, 69.68, 42.18, -18.58, 22.41, 21.88, 2952.00, 10.62, 149.70, 25.40, 4480.00, 2517.50, 11249.50, 1883.40, 1849.10, 13.89, 6.15, 
Bombay Burmah, 501425, BBTC, Tea, 1129.95, 53.32, 0, 0, 7883.88, 0.20, 14.35, 8.89, 12.23, 0.25, 1.65, 34.85, 737.00, 14.73, 888.67, 35.89, 1440.00, 11423.20, 8648.47, 4763.75, 4749.79, 8.26, 1.65, 
Bharat Dynamics, 541143, BDL, Engineering, 290.05, 29.49, , 0, 5316.07, 0.00, 23.66, 13.08, 13.02, , 30.00, 36.22, 224.00, 20.26, 406.32, 139.05, 345.00, 3012.49, 4950.14, 2268.54, 2085.26, 18.60, 2.34, 
Bharat Electron, 500049, BEL, Electronics - Components, 107.15, 47.79, 1, 0, 26108.09, 0.00, 20.07, 13.37, 19.28, 0.85, 36.76, 27.51, 72.50, 24.00, 1952.29, 224.77, 117.75, 12084.06, 25257.74, 9018.91, 8775.25, 17.95, 2.89, 
BEML Ltd, 500048, BEML, Engineering, 946.25, 81.62, 0, 0, 3940.19, 0.18, 4.24, 31.03, 220.29, 0.52, 37.15, 7.02, 521.00, 8.25, 126.98, 4.24, 1034.90, 3607.45, 4310.73, 2187.11, 2145.47, 2.94, 1.80, 
Berger Paints, 509480, BERGEPAINT, Paints / Varnishes, 433.45, 66.71, 1, 0, 42093.62, 0.21, 22.33, 78.25, 50.82, 5.39, 36.95, 29.14, 260.00, 15.44, 537.93, 20.62, 444.80, 6295.38, 42375.19, 2472.70, 2375.59, 18.50, 17.02, 
Bharat Forge, 500493, BHARATFORG, Castings & Forgings, 444.85, 18.31, 0, 0, 20711.71, 0.59, 17.98, 20.49, 35.07, 0.93, 27.07, 18.48, 376.00, 28.61, 1010.96, 14.20, 637.30, 6386.90, 23530.98, 5396.92, 5303.79, 11.08, 3.84, 
Bharti Airtel, 532454, BHARTIARTL, Telecommunications - Service Provider, 350.95, 38.06, 0, 0, 180106.20, 1.75, 2.64, , 102.96, , 149.60, 7.16, 254.20, 33.10, -2553.80, 0.45, 378.75, 81993.70, 297429.00, 72044.40, 69478.90, 0.99, 2.52, 
B H E L, 500103, BHEL, Electric Equipment, 46.85, 1.74, 0, 0, 16313.47, 0.08, 2.57, 19.34, 39.07, -1.01, 72.71, 5.42, 46.05, 5.49, 843.57, 5.50, 78.85, 28945.14, 11421.30, 31399.86, 30703.45, 1.95, 0.52, 
Biocon, 532523, BIOCON, Pharmaceuticals - Indian - Bulk Drugs & Formln, 222.15, 5.26, 0, 0, 26658.00, 0.40, 11.00, 32.16, 38.71, 2.69, 10.85, 11.54, 211.05, 26.31, 991.90, 17.35, 345.00, 5856.50, 28025.80, 6398.00, 5798.00, 6.67, 4.37, 
Birla Corpn., 500335, BIRLACORPN, Cement - North India, 561.60, 27.69, 0, 0, 4324.88, 0.90, 5.13, 13.84, 21.94, 0.82, 25.97, 7.47, 439.80, 16.04, 312.45, 2.21, 688.95, 6778.06, 8235.12, 4495.22, 4418.21, 2.42, 0.96, 
Bliss GVS Pharma, 506197, BLISSGVS, Pharmaceuticals - Indian - Formulations, 101.65, 37.83, 1, 0, 1048.01, 0.16, 18.33, 8.70, 20.28, 0.35, 11.14, 28.92, 73.75, 18.35, 120.45, 45.02, 190.00, 904.44, 1043.32, 645.99, 635.68, 13.41, 1.62, 
Blue Dart Exp., 526612, BLUEDART, Couriers, 2481.65, 15.49, 0, 0, 5888.96, 0.22, 21.60, 84.00, 124.85, -12.86, 26.78, 25.72, 2148.85, 5.39, 70.11, 6.14, 3700.00, 3219.23, 5768.19, 664.74, 641.01, 14.76, 8.86, 
Blue Star, 500067, BLUESTARCO, Air-conditioners, 798.70, 57.44, 1, 0, 7692.59, 0.40, 20.42, 41.67, 44.01, 2.10, 58.53, 22.52, 507.30, 6.12, 175.29, 6.56, 835.00, 5302.46, 7939.21, 873.06, 853.80, 13.56, 8.81, 
Bombay Dyeing, 500020, BOMDYEING, Textiles - Processing, 73.70, 21.42, 0, 0, 1522.16, 21.50, 74.97, 1.12, 65.17, 0.01, 17.60, 25.39, 60.70, 39.25, 1367.88, 3.62, 151.75, 4680.87, 5415.18, 180.62, 139.31, 11.41, 8.43, 
Bosch, 500530, BOSCHLTD, Auto Ancillaries, 13247.50, 4.32, 0, 0, 39071.70, 0.00, 16.97, 26.00, 45.41, 1.88, 23.51, 24.55, 12698.80, 17.07, 1447.01, 146.75, 20500.00, 11824.58, 37819.00, 9126.19, 9096.70, 16.30, 4.28, 
B P C L, 500547, BPCL, Refineries, 493.90, 107.04, 1, 0, 107139.39, 0.78, 23.93, 18.12, 10.47, 1.54, 52.40, 21.40, 238.55, 3.37, 5913.88, 6.72, 511.55, 301809.40, 136143.28, 37194.42, 35227.54, 13.91, 2.92, 
Britannia Inds., 500825, BRITANNIA, Food - Processing - MNC, 2919.55, 26.94, 1, 0, 70162.13, 0.04, 32.85, 60.39, 45.90, 2.45, 30.28, 47.32, 2300.00, 15.49, 1151.98, 107.38, 3583.75, 11211.34, 70208.33, 4253.25, 4229.22, 31.30, 16.50, 
Cadila Health., 532321, CADILAHC, Pharmaceuticals - Indian - Bulk Drugs & Formln, 234.15, 13.42, 1, 0, 23970.93, 0.76, 21.13, 14.17, 24.80, 0.84, 20.53, 16.46, 206.45, 21.50, 1691.90, 9.91, 404.00, 13768.20, 31221.03, 10386.30, 10283.90, 12.48, 2.31, 
Canara Bank, 532483, CANBK, Banks - Public Sector, 178.10, 4.43, 0, 0, 13415.29, 16.99, -1.86, 22.18, 15.23, -0.87, 1.47, 4.85, 170.55, 49.66, 601.85, 0.93, 302.10, 46896.72, 587049.71, 37689.23, 36935.99, -0.11, 0.36, 
Can Fin Homes, 511196, CANFINHOME, Finance - Housing, 394.05, 82.01, 0, 0, 5246.94, 9.37, 21.00, 17.50, 17.76, 0.56, 9.86, 10.07, 216.50, 94.47, 299.76, 1.39, 424.70, 1810.56, 21521.13, 1782.18, 1755.55, 1.92, 2.94, 
Caplin Point Lab, 524742, CAPLIPOINT, Pharmaceuticals - Indian - Formulations, 418.35, 41.31, 1, 0, 3164.51, 0.00, 44.34, 16.71, 20.39, 0.25, 10.58, 57.04, 296.05, 35.36, 189.38, 4844.00, 490.00, 694.78, 3012.06, 529.12, 513.99, 45.48, 5.00, 
Carborundum Uni., 513375, CARBORUNIV, Abrasives And Grinding Wheels, 294.20, 11.02, 0, 0, 5568.14, 0.05, 14.44, 23.39, 29.15, 1.05, 19.87, 20.13, 265.00, 15.63, 238.08, 42.35, 418.85, 2725.96, 5562.60, 1724.11, 1705.19, 12.42, 3.23, 
CARE Ratings, 534804, CARERATING, Miscellaneous, 510.75, 13.25, 1, 0, 1504.73, 0.00, 27.92, 11.97, 27.82, 3.56, 73.30, 40.37, 451.00, 51.40, 125.66, 782.96, 1280.00, 308.89, 1474.54, 528.59, 499.13, 27.46, 2.76, 
Castrol India, 500870, CASTROLIND, Chemicals, 135.35, 20.04, 1, 0, 13387.77, 0.00, 71.48, 18.34, 35.62, 2.45, 83.68, 110.90, 112.75, 27.97, 730.00, 1617.71, 172.90, 3976.10, 12643.92, 1207.80, 713.20, 71.54, 11.08, 
CCL Products, 519600, CCL, Tea, 235.20, 4.51, 1, 1, 3128.82, 0.50, 21.42, 20.84, 23.86, 1.09, 25.75, 22.32, 225.05, 23.96, 150.10, 16.79, 306.90, 1060.14, 3448.69, 838.92, 812.31, 15.91, 3.85, 
CEAT, 500878, CEATLTD, Tyres, 972.20, 33.00, 0, 0, 3932.56, 0.54, 12.33, 13.20, 14.14, 28.09, 17.22, 15.45, 731.00, 9.02, 262.79, 4.78, 1373.00, 6997.12, 5357.04, 2766.11, 2725.66, 8.88, 1.42, 
Central Bank, 532885, CENTRALBK, Banks - Public Sector, 17.90, 14.01, 0, 0, 7385.39, 16.11, -24.60, , 29.94, , 0.00, 3.36, 15.70, 31.25, -4000.91, 0.64, 41.35, 22661.14, 281279.96, 19013.58, 14887.66, -1.38, 0.39, 
Centrum Capital, 501150, CENTRUM, Finance & Investments, 24.15, 11.55, 0, 0, 1004.72, 0.37, -8.06, , 47.07, , 3.44, 2.10, 21.65, -305.28, -194.80, -0.79, 45.25, 16.87, 1188.79, 502.14, 460.54, -2.75, 1.86, 
Century Ply., 532548, CENTURYPLY, Miscellaneous, 156.95, 40.13, 1, 0, 3487.01, 0.54, 21.79, 21.59, 29.33, 1.17, 13.40, 19.06, 112.00, 13.32, 161.53, 6.41, 222.40, 2300.28, 3983.31, 969.12, 946.87, 12.87, 3.60, 
Century Textiles, 500040, CENTURYTEX, Cement - North India, 899.05, 27.43, 0, 0, 10042.00, 0.16, 14.36, 14.11, 366.17, 0.07, 30.11, 11.50, 705.50, 23.29, 711.87, 12.66, 1066.55, 3841.08, 10503.47, 3305.55, 3193.86, 4.59, 3.04, 
Cera Sanitary., 532443, CERA, Ceramics - Tiles / Sanitaryware, 2658.05, 23.97, 1, 0, 3457.03, 0.03, 18.60, 30.43, 36.29, 1.77, 15.08, 28.13, 2144.05, 14.32, 113.62, 48.04, 3195.00, 1330.25, 3464.84, 700.15, 693.65, 17.02, 4.94, 
CG Power & Indu., 500093, CGPOWER, Electric Equipment, 13.45, 63.03, 0, 0, 842.97, 1.25, -10.18, , 416.97, , 0.00, -2.04, 8.25, 3.29, -406.96, 0.29, 47.35, 7200.48, 2879.96, 2185.37, 2060.02, -5.39, 0.39, 
Chalet Hotels, 542399, CHALET, Hotels, 320.60, 18.74, 0, 0, 6573.07, 1.01, 0.86, , 0.00, , 0.00, 6.51, 270.00, 32.31, -7.63, 0.95, 387.00, 987.17, 7984.60, 1422.67, 1217.65, 0.18, 4.46, 
Chambal Fert., 500085, CHAMBLFERT, Fertilizers, 154.75, 20.80, 0, 0, 6440.82, 2.63, 18.72, 8.06, 10.61, 0.46, 16.78, 11.75, 128.10, 13.29, 625.80, 4.28, 196.25, 10758.84, 14923.91, 3251.82, 2835.61, 6.19, 1.99, 
C P C L, 500110, CHENNPETRO, Refineries, 169.45, 5.22, 0, 0, 2523.30, 1.59, 16.04, , 4.87, , 20.19, 13.83, 161.05, -0.10, -602.80, -1.08, 301.00, 41974.41, 8634.17, 3309.51, 3160.60, 7.00, 0.76, 
Cholaman.Inv.&Fn, 511243, CHOLAFIN, Finance & Investments, 293.55, 41.40, 0, 0, 22951.07, 8.19, 19.74, 18.89, 19.51, 0.71, 10.54, 11.30, 207.60, 78.49, 1215.14, 1.48, 322.45, 7412.26, 69842.96, 6175.74, 6019.31, 2.49, 3.72, 
Chola Financial, 504973, CHOLAHLDNG, Finance & Investments, 483.30, 16.68, 0, 0, 9072.21, 12.79, 17.53, 13.02, 15.89, 0.73, 2.72, 14.04, 414.20, 52.98, 696.70, 1.60, 550.00, 10945.92, 55574.02, 3943.30, 3924.53, 3.59, 2.30, 
Cipla, 500087, CIPLA, Pharmaceuticals - Indian - Bulk Drugs & Formln, 412.65, 2.47, 0, 0, 33262.79, 0.29, 9.15, 21.40, 34.85, 107.00, 16.31, 9.38, 402.70, 19.96, 1554.64, 12.44, 663.95, 16412.44, 36960.21, 15012.31, 14851.14, 6.61, 2.22, 
