name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
HEG, 509631, HEG, Electrodes - Graphites, Small Cap, 967.25, 3733.15, 5821.95, 2514.54, 0.18, 80.96, 94.24, 13.23, 10.12, 8.27, 1.48, 11.97, 0.02, 1.00, 0.64, 0.97, 3842.19, 65.58, 4.87, 35.06, 96.11, 0.00, 7.00, 
Heidelberg Cem., 500292, HEIDELBERG, Cement - North India, Small Cap, 185.55, 4204.81, 2182.37, 248.57, 0.44, 14.09, 17.49, 47.70, 41.08, 2.16, 16.92, 33.47, 0.34, 3.59, 1.93, 7.81, 4383.96, 23.90, 0.97, 12.03, 49.40, 0.00, 9.00, 
Hero Motocorp, 500182, HEROMOTOCO, Automobiles - Motorcycles / Mopeds, Large Cap, 2688.35, 53693.58, 32870.99, 3733.04, 0.00, 30.94, 44.18, 50.97, 51.34, 3.24, 16.57, 20.36, 1.43, 4.18, 1.63, 9.73, 53557.12, 14.33, 1.06, 5.89, 11.55, 0.00, 5.00, 
Hexaware Tech., 532129, HEXAWARE, Computers - Software - Medium / Small, Mid Cap, 376.25, 11224.96, 5034.40, 585.41, 0.07, 26.53, 34.14, 35.57, 43.32, 2.25, 18.74, 18.01, 2.08, 4.42, 2.23, 13.12, 10570.31, 15.78, 1.42, 15.25, 9.01, 0.00, 5.00, 
Hind. Unilever, 500696, HINDUNILVR, Personal Care - Multinational, Large Cap, 1990.30, 430862.54, 38851.00, 6262.00, 0.00, 77.26, 108.70, 81.00, 78.73, 1.10, 67.59, 47.93, 5.64, 56.26, 11.09, 44.00, 427174.54, 23.25, 1.08, 6.41, 11.98, 0.00, 8.00, 
Hind.Zinc, 500188, HINDZINC, Mining / Minerals / Metals, Large Cap, 213.95, 90400.70, 20795.00, 7803.00, 0.08, 23.96, 29.04, 97.34, 106.21, 9.35, 11.59, 11.58, 2.38, 2.69, 4.35, 7.52, 92915.70, 50.19, 0.84, 9.14, 4.86, 0.00, 4.00, 
ICICI Lombard, 540716, ICICIGI, Miscellaneous, Large Cap, 1203.20, 54676.84, 9629.86, 1069.78, 0.09, 16.08, 21.19, 23.18, 25.98, 0.50, 51.11, 43.28, 5.83, 10.05, 5.68, 33.59, 54760.19, 6.24, 0.36, 13.99, 8.77, 0.00, 6.00, 
ICICI Pru Life, 540133, ICICIPRULI, Finance & Investments, Large Cap, 466.85, 67032.17, 41878.89, 1143.95, 0.00, 23.43, 25.87, 53.91, 39.65, 0.67, 58.60, 37.84, -9.61, 9.18, 1.60, 51.94, 66371.15, 1.27, 0.89, 13.63, -6.10, 0.00, 5.00, 
Indian Energy Ex, 540750, IEX, Finance & Investments, Small Cap, 120.85, 3620.14, 247.66, 162.73, 0.00, 46.49, 68.78, 55.33, 2.24, 0.10, 22.25, 34.05, 1.71, 9.78, 14.62, 14.82, 3552.52, 79.85, 0.35, 11.02, 13.01, 0.00, 6.00, 
Indraprastha Gas, 532514, IGL, Miscellaneous, Mid Cap, 350.15, 24510.53, 6050.55, 829.13, 0.00, 20.02, 30.58, 21.02, 21.36, 0.69, 29.56, 21.05, 1.91, 5.93, 4.05, 16.20, 23903.44, 21.77, 0.54, 8.05, 15.48, 0.00, 6.00, 
Interglobe Aviat, 539448, INDIGO, Transport - Airlines, Large Cap, 1869.90, 71926.98, 31404.86, 1328.82, 0.35, 20.83, 23.61, 69.15, 123.10, 0.27, 54.13, 103.16, , 10.36, 2.29, 17.70, 65749.79, 7.42, 1.42, 20.72, , 0.00, 7.00, 
Bharti Infra., 534816, INFRATEL, Transmisson Line Towers / Equipment, Large Cap, 249.00, 46055.25, 6854.60, 2742.80, 0.00, 14.66, 20.32, 107.61, 111.25, 6.02, 16.79, 31.70, 1.71, 3.17, 6.72, 10.54, 46059.25, 47.69, 0.71, -8.81, 9.82, 0.00, 7.00, 
Infosys, 500209, INFY, Computers - Software - Large, Large Cap, 793.55, 338787.96, 85351.00, 15591.00, 0.00, 22.95, 30.71, 53.56, 60.58, 2.76, 21.80, 19.41, 2.93, 6.00, 3.97, 13.61, 319219.96, 24.16, 2.08, 10.52, 7.45, 0.00, 4.00, 
ITC, 500875, ITC, Cigarettes, Large Cap, 255.90, 314411.28, 46005.36, 12819.58, 0.00, 22.90, 34.44, 56.37, 56.55, 2.24, 24.53, 31.26, 3.11, 5.43, 6.83, 15.25, 310653.68, 38.41, 1.45, 6.24, 7.89, 0.00, 6.00, 
Jagran Prakashan, 532705, JAGRAN, Entertainment / Electronic Media Software, Small Cap, 63.20, 1873.32, 2344.36, 239.51, 0.22, 14.24, 20.29, 33.06, 39.82, 5.54, 7.82, 16.10, 2.08, 1.00, 0.80, 3.91, 2157.78, 21.81, 1.71, 6.77, 3.76, 0.00, 6.00, 
Jamna Auto Inds., 520051, JAMNAAUTO, Auto Ancillaries, Micro Cap, 35.55, 1416.54, 1999.06, 117.85, 0.01, 32.47, 47.67, 27.04, 27.53, 2.67, 12.02, 22.26, 0.08, 2.78, 0.71, 5.45, 1395.68, 12.37, 1.14, 20.70, 146.16, 0.00, 5.00, 
J B Chem & Pharm, 506943, JBCHEPHARM, Pharmaceuticals - Indian - Bulk Drugs & Formln, Small Cap, 362.30, 2906.97, 1546.15, 199.14, 0.02, 9.65, 13.00, 13.33, 22.04, 1.38, 14.60, 16.81, 1.24, 1.96, 1.88, 8.14, 2912.00, 19.81, 2.26, 9.43, 11.82, 0.00, 9.00, 
Jubilant Food., 533155, JUBLFOOD, Food - Processing - MNC, Mid Cap, 1334.65, 17613.25, 3615.70, 322.91, 0.00, 20.78, 31.57, 20.31, 20.44, 0.37, 53.70, 76.09, 2.53, 13.31, 4.87, 23.15, 17124.19, 18.94, 1.06, 15.42, 21.21, 2.36, 8.00, 
Jyothy Labs, 532926, JYOTHYLAB, Personal Care - Indian, Small Cap, 168.20, 6176.45, 1777.95, 196.71, 0.25, 26.95, 21.64, 38.88, 57.03, 1.78, 30.93, 46.03, 2.40, 7.23, 3.47, 19.66, 6306.08, 16.48, 1.70, 7.02, 12.87, 26.66, 6.00, 
Kajaria Ceramics, 500233, KAJARIACER, Ceramics - Tiles / Sanitaryware, Mid Cap, 556.15, 8840.02, 2999.17, 233.10, 0.08, 19.05, 27.29, 20.07, 21.05, 0.54, 37.44, 35.10, 2.82, 5.61, 2.95, 18.16, 8707.97, 15.29, 1.92, 9.99, 13.30, 0.00, 7.00, 
Kalpataru Power, 522287, KALPATPOWR, Transmisson Line Towers / Equipment, Small Cap, 484.65, 7498.29, 7444.76, 412.38, 0.21, 12.54, 20.71, 11.60, 11.47, 0.61, 18.18, 17.96, 0.81, 2.38, 1.01, 9.30, 7999.46, 10.92, 1.48, 12.08, 22.31, 39.07, 8.00, 
Kansai Nerolac, 500165, KANSAINER, Paints / Varnishes, Mid Cap, 509.75, 27471.43, 5261.17, 475.41, 0.00, 15.81, 23.79, 29.69, 29.98, 0.51, 57.78, 39.74, 3.37, 8.02, 5.22, 33.20, 27399.77, 14.65, 2.26, 10.85, 17.15, 0.00, 5.00, 
K E C Intl., 532714, KEC, Transmisson Line Towers / Equipment, Small Cap, 270.50, 6954.24, 11308.70, 497.55, 0.76, 23.33, 25.05, 13.63, 14.00, 1.00, 13.98, 19.41, 0.30, 2.86, 0.61, 7.06, 8517.51, 10.48, 1.37, 6.84, 46.98, 0.00, 7.00, 
KRBL, 530813, KRBL, Food - Processing - Indian, Small Cap, 218.80, 5150.33, 4594.73, 539.09, 0.52, 21.15, 21.25, 12.18, 11.70, 1.14, 9.55, 16.50, 0.65, 1.89, 1.12, 7.13, 6572.75, 19.70, 7.47, 7.41, 14.79, 0.00, 4.00, 
Dr Lal Pathlabs, 539524, LALPATHLAB, Healthcare, Small Cap, 1335.60, 11131.11, 1246.30, 209.00, 0.00, 24.23, 37.00, 21.06, 25.10, 0.45, 53.26, 49.05, 2.71, 12.73, 8.93, 29.18, 10640.87, 25.17, 4.61, 16.62, 19.68, 0.00, 6.00, 
La Opala RG, 526947, LAOPALA, Glass & Glass Products, Micro Cap, 171.30, 1901.43, 281.05, 79.90, 0.00, 15.83, 23.03, 17.49, 17.99, 0.70, 23.80, 43.40, 1.25, 3.59, 6.77, 14.39, 1898.54, 40.07, 1.48, 9.59, 18.99, 0.00, 6.00, 
Laurus Labs, 540222, LAURUSLABS, Pharmaceuticals - Indian - Formulations, Small Cap, 360.15, 3850.53, 2303.47, 92.31, 0.67, 11.28, 12.53, 11.62, 17.03, 0.41, 41.71, 35.28, -80.21, 2.58, 1.67, 12.96, 4883.44, 15.57, 2.11, 14.60, -0.52, 31.46, 5.00, 
Lak. Mach. Works, 500252, LAXMIMACH, Textile Machinery, Small Cap, 3591.50, 3836.80, 2452.21, 153.66, 0.00, 12.30, 17.78, 20.20, 19.75, 0.97, 22.26, 25.53, 7.00, 2.27, 1.56, 10.42, 3313.36, 9.12, 1.70, 3.29, 3.18, 0.00, 4.00, 
L & T Infotech, 540005, LTI, Computers - Software - Medium / Small, Large Cap, 1505.55, 26186.12, 9775.00, 1510.30, 0.00, 34.09, 44.73, 31.52, 32.14, 1.86, 17.34, 17.75, 1.98, 5.35, 2.68, 11.62, 25771.12, 19.67, 2.08, 13.93, 8.76, 0.00, 5.00, 
L&T Technology, 540115, LTTS, Computers - Software - Medium / Small, Mid Cap, 1507.60, 15682.37, 4883.60, 753.80, 0.02, 31.17, 41.70, 30.57, 31.20, 1.39, 20.80, 22.28, 0.13, 6.44, 3.21, 13.92, 15533.37, 19.14, 2.14, 106.28, 157.29, 0.00, 7.00, 
Lupin, 500257, LUPIN, Pharmaceuticals - Indian - Bulk Drugs, Large Cap, 703.10, 31825.65, 17280.63, 706.84, 0.62, 9.05, 12.80, 46.84, 37.30, 0.71, 39.77, 50.87, -2.37, 2.32, 1.84, 11.33, 39334.60, 17.56, 2.73, 8.18, -16.81, 0.00, 5.00, 
M & M, 500520, M&M, Automobiles - Passenger Cars, Large Cap, 556.70, 69208.53, 53016.81, 5888.90, 0.08, 14.15, 17.65, 21.26, 21.12, 1.46, 14.52, 19.82, 2.73, 2.02, 1.31, 8.37, 68048.21, 12.05, 1.04, 5.77, 5.32, 3.07, 6.00, 
Mahindra Logis., 540768, MAHLOG, Miscellaneous, Small Cap, 357.20, 2552.11, 3822.18, 80.27, 0.06, 16.77, 25.07, 10.56, 15.02, 0.50, 31.79, 48.88, , 5.12, 0.67, 15.45, 2510.68, 3.95, 1.40, , , 0.00, 7.00, 
Mah. Seamless, 500265, MAHSEAMLES, Steel - Large, Small Cap, 368.45, 2468.60, 3138.73, 253.44, 0.15, 7.84, 13.23, 19.53, 15.32, 1.63, 7.63, 17.95, 0.19, 0.77, 0.79, 3.99, 2897.38, 21.49, 3.71, 20.48, 39.66, 0.00, 6.00, 
Marico, 531642, MARICO, Personal Care - Indian, Large Cap, 387.80, 50062.82, 7472.82, 1175.22, 0.12, 35.86, 42.03, 59.57, 54.81, 1.22, 42.09, 44.00, 2.28, 16.69, 6.70, 33.38, 49862.82, 18.55, 2.17, 9.37, 18.44, 0.00, 7.00, 
Maruti Suzuki, 532500, MARUTI, Automobiles - Passenger Cars, Large Cap, 6782.00, 204870.66, 83280.70, 6960.80, 0.00, 15.48, 21.80, 31.44, 32.21, 1.18, 29.43, 26.66, 1.56, 4.44, 2.46, 15.98, 204841.36, 11.62, 0.51, 14.46, 18.92, 0.00, 5.00, 
Multi Comm. Exc., 534091, MCX, Finance & Investments, Small Cap, 947.75, 4833.53, 306.62, 182.62, 0.00, 9.96, 12.52, 70.06, 69.75, 2.11, 26.47, 35.38, 4.22, 3.86, 15.76, 20.02, 4298.94, 31.55, 1.41, 3.25, 6.27, 0.00, 9.00, 
Mahanagar Gas, 539957, MGL, Miscellaneous, Mid Cap, 902.50, 8914.69, 2929.22, 588.31, 0.00, 23.63, 36.06, 41.05, 36.16, 2.22, 15.15, 20.45, 1.17, 3.72, 3.04, 8.33, 8615.85, 32.48, 0.51, 8.16, 12.94, 0.00, 8.00, 
Mahindra Holiday, 533088, MHRIL, Hotels, Small Cap, 219.95, 2937.52, 934.30, 68.28, 0.00, 17.56, 28.65, 24.43, 0.00, 0.00, 43.02, 32.14, -6.08, 9.90, 3.14, 16.77, 2910.28, 13.05, 1.89, 3.86, -7.08, 0.00, 4.00, 
Minda Corp, 538962, MINDACORP, Auto Ancillaries, Small Cap, 91.60, 2081.36, 1434.80, 116.94, 0.35, 17.01, 19.15, 13.77, 9.89, 0.76, 18.31, 38.02, 0.40, 2.40, 1.45, 9.21, 2153.26, 12.93, 2.56, 30.91, 45.97, 0.00, 7.00, 
Mindtree, 532819, MINDTREE, Computers - Software - Medium / Small, Mid Cap, 720.90, 11863.96, 7216.20, 688.60, 0.00, 21.31, 27.00, 47.87, 71.86, 4.57, 17.23, 19.50, 1.52, 3.54, 1.64, 10.54, 11607.76, 14.10, 3.05, 18.29, 11.34, 0.00, 6.00, 
MOIL, 533286, MOIL, Mining / Minerals / Metals, Small Cap, 139.20, 3585.92, 1407.20, 451.13, 0.00, 13.54, 20.65, 38.03, 32.62, 4.31, 7.95, 13.00, -5.52, 1.16, 2.55, 1.74, 1324.00, 40.49, 5.28, 7.11, -1.44, 0.00, 6.00, 
Monsanto India, 524084, MONSANTO, Pesticides / Agrochemicals - Multinational, Small Cap, 2232.65, 3854.17, 695.78, 161.65, 0.00, 27.17, 29.39, 40.85, 56.90, 2.24, 23.84, 33.30, 7.20, 5.45, 5.54, 19.60, 3835.97, 23.86, 1.61, 3.45, 3.31, 0.00, 5.00, 
Mphasis, 526299, MPHASIS, Computers - Software - Large, Mid Cap, 937.45, 17470.02, 7973.32, 1079.75, 0.10, 15.81, 20.17, 46.06, 46.85, 2.88, 16.18, 15.74, 0.57, 3.33, 2.19, 11.11, 17371.00, 17.28, 2.09, 24.41, 28.26, 0.00, 6.00, 
Natco Pharma, 524816, NATCOPHARM, Pharmaceuticals - Indian - Bulk Drugs & Formln, Mid Cap, 573.65, 10426.78, 2048.20, 606.00, 0.11, 25.42, 30.49, 21.27, 17.70, 1.09, 17.21, 32.04, 0.39, 2.99, 5.09, 11.92, 10533.58, 37.52, 6.20, 23.17, 44.11, 0.00, 5.00, 
Natl. Aluminium, 532234, NATIONALUM, Aluminium and Aluminium Products, Mid Cap, 45.75, 8535.20, 10610.09, 1143.13, 0.01, 9.67, 15.16, 74.98, 61.92, 12.57, 7.20, 13.94, 0.30, 0.81, 0.80, 2.11, 5105.64, 19.75, 1.35, 11.14, 23.79, 0.00, 9.00, 
Navin Fluo.Intl., 532504, NAVINFLUOR, Chemicals, Small Cap, 724.55, 3583.92, 953.81, 148.36, 0.00, 16.62, 23.98, 25.60, 25.98, 1.08, 24.16, 18.69, 0.86, 3.38, 3.76, 14.07, 3561.52, 22.62, 1.72, 16.29, 28.19, 5.08, 5.00, 
NBCC, 534309, NBCC, Construction, Mid Cap, 34.70, 6246.00, 9572.38, 346.68, 0.00, 21.75, 32.79, 27.79, 15.59, 1.87, 18.02, 32.50, 2.31, 4.14, 0.65, 2.18, 1153.18, 3.29, 1.13, 19.58, 7.79, 0.00, 6.00, 
NCC, 500294, NCC, Construction, Small Cap, 52.85, 3174.42, 12729.49, 549.96, 0.59, 7.81, 14.92, 40.46, 15.57, 2.84, 5.14, 133.65, 0.03, 0.69, 0.25, 3.25, 5504.11, 12.28, 1.71, 12.14, 176.55, 41.35, 7.00, 
Nestle India, 500790, NESTLEIND, Food - Processing - MNC, Large Cap, 13681.55, 131917.51, 11840.43, 1688.99, 0.01, 38.60, 60.93, 65.78, 69.00, 0.84, 78.10, 68.84, 10.12, 33.02, 11.14, 43.47, 130358.97, 22.89, 2.68, 4.41, 7.72, 0.00, 8.00, 
NIIT Tech., 532541, NIITTECH, Computers - Software - Medium / Small, Small Cap, 1349.65, 8424.23, 3814.00, 410.00, 0.01, 18.05, 25.60, 21.20, 0.00, 0.00, 20.54, 15.61, 1.65, 4.07, 2.21, 11.14, 7880.23, 17.19, 2.47, 9.79, 12.46, 0.00, 8.00, 
Nilkamal Ltd, 523385, NILKAMAL, Plastics Products, Micro Cap, 1213.10, 1809.95, 2258.05, 110.55, 0.07, 15.57, 22.30, 15.95, 17.44, 1.07, 16.37, 16.97, 0.72, 2.05, 0.80, 7.75, 1861.42, 9.86, 3.37, 6.95, 22.71, 0.00, 6.00, 
NMDC, 526371, NMDC, Mining / Minerals / Metals, Large Cap, 96.40, 29516.23, 12994.42, 4846.12, 0.01, 14.66, 23.16, 45.03, 36.41, 5.73, 6.09, 12.11, -0.97, 1.14, 2.27, 3.18, 25272.66, 56.74, 2.98, 0.16, -6.27, 0.00, 8.00, 
NOCIL, 500730, NOCIL, Chemicals, Micro Cap, 101.95, 1688.26, 1004.40, 165.95, 0.00, 16.36, 24.45, 25.75, 22.46, 2.45, 10.17, 13.50, 0.21, 1.46, 1.68, 5.96, 1649.36, 26.55, 1.83, 11.84, 49.41, 25.15, 5.00, 
Oracle Fin.Serv., 532466, OFSS, Computers - Software - Large, Large Cap, 3080.15, 26440.08, 4889.15, 1361.44, 0.00, 30.10, 46.35, 70.50, 0.00, 0.00, 19.42, 47.12, 49.79, 5.36, 5.41, 10.27, 23612.12, 43.75, 3.97, 5.80, 0.39, 0.00, 6.00, 
O N G C, 500312, ONGC, Oil Drilling / Allied Services, Large Cap, 128.20, 161279.18, 108996.46, 26476.16, 0.11, 11.46, 16.55, 43.19, 32.96, 5.46, 6.09, 12.17, 1.51, 0.79, 1.48, 3.17, 182368.69, 45.78, 0.59, 5.58, 4.03, 0.00, 9.00, 
Page Industries, 532827, PAGEIND, Textiles - Products, Mid Cap, 22022.75, 24555.37, 2871.90, 380.17, 0.11, 46.08, 64.61, 60.03, 97.37, 1.56, 64.59, 67.99, 3.17, 31.68, 8.55, 37.90, 24596.10, 21.39, 2.06, 19.15, 20.36, 0.00, 6.00, 
Parag Milk Foods, 539889, PARAGMILK, Food - Processing - Indian, Micro Cap, 155.95, 1311.77, 2475.97, 119.97, 0.29, 9.62, 14.24, 34.10, 6.95, 0.64, 10.93, 147.42, 0.22, 1.59, 0.53, 6.64, 1540.00, 8.91, 2.41, 17.10, 49.32, 21.73, 7.00, 
Persistent Sys, 533179, PERSISTENT, Computers - Software - Medium / Small, Small Cap, 561.00, 4318.29, 3363.77, 346.80, 0.00, 15.55, 20.92, 24.46, 24.75, 2.02, 12.45, 19.76, 2.17, 1.84, 1.28, 5.74, 3647.58, 15.78, 3.13, 15.06, 5.75, 0.00, 8.00, 
Petronet LNG, 532522, PETRONET, Miscellaneous, Large Cap, 258.65, 38797.50, 37839.72, 2128.73, 0.07, 22.71, 28.96, 41.35, 69.59, 3.87, 18.23, 17.21, 0.73, 3.85, 1.03, 9.53, 36570.62, 8.94, 1.61, 0.34, 25.06, 0.00, 7.00, 
Pfizer, 500680, PFIZER, Pharmaceuticals - Multinational, Mid Cap, 3259.15, 14909.87, 2113.59, 450.02, 0.00, 13.56, 20.76, 25.52, 23.99, 0.69, 33.13, 65.12, 2.31, 4.95, 7.05, 16.79, 12998.03, 28.45, 2.89, 13.37, 14.32, 0.00, 8.00, 
P & G Hygiene, 500459, PGHH, Personal Care - Multinational, Large Cap, 11989.40, 38918.47, 2946.50, 419.13, 0.00, 38.86, 60.40, 118.04, 34.66, 0.33, 92.86, 59.69, 7.25, 42.81, 13.21, 58.13, 38518.88, 20.68, 1.63, 7.93, 12.80, 0.00, 8.00, 
Proc. Gam. Heal., 500126, PGHL, Pharmaceuticals - Multinational, Small Cap, 4537.95, 7533.00, 895.20, 852.46, 0.00, 40.36, 45.42, 45.56, 87.09, 9.70, 8.84, 20.76, 0.12, 10.13, 8.41, 6.69, 6289.58, 19.91, 3.55, 1.25, 71.59, 0.00, 7.00, 
Phillips Carbon, 506590, PHILIPCARB, Chemicals, Small Cap, 115.15, 1984.47, 3658.66, 355.64, 0.48, 17.98, 18.39, 21.09, 15.53, 3.04, 5.58, 19.59, 0.12, 1.20, 0.54, 4.50, 2702.08, 15.83, 1.35, 9.15, 45.55, 0.00, 8.00, 
Pidilite Inds., 500331, PIDILITIND, Chemicals, Large Cap, 1439.25, 73111.01, 7261.48, 979.13, 0.03, 26.42, 37.37, 31.89, 35.70, 0.45, 73.76, 50.06, 4.58, 17.63, 10.07, 46.06, 73033.32, 19.66, 1.85, 10.57, 16.09, 0.00, 5.00, 
P I Inds., 523642, PIIND, Pesticides / Agrochemicals - Indian, Mid Cap, 1258.75, 17374.61, 2989.40, 426.90, 0.02, 23.27, 27.29, 13.54, 13.54, 0.32, 40.70, 29.33, 2.47, 7.64, 5.81, 25.94, 17340.91, 20.29, 1.92, 12.24, 16.47, 0.00, 5.00, 
Radico Khaitan, 532497, RADICO, Breweries & Distilleries, Small Cap, 302.80, 4039.63, 2204.14, 195.46, 0.26, 11.88, 14.38, 10.87, 8.51, 0.40, 20.67, 25.03, 0.99, 3.07, 1.83, 11.71, 4358.98, 16.26, 2.12, 8.41, 20.98, 4.55, 7.00, 
Rallis India, 500355, RALLIS, Pesticides / Agrochemicals - Indian, Small Cap, 169.75, 3301.11, 2034.10, 168.39, 0.06, 14.75, 19.62, 28.28, 31.30, 1.47, 19.60, 23.76, 46.67, 2.57, 1.62, 11.62, 3328.20, 12.42, 1.65, 3.22, 0.42, 0.00, 6.00, 
The Ramco Cement, 500260, RAMCOCEM, Cement - South India, Mid Cap, 734.75, 17309.00, 5310.29, 572.88, 0.36, 14.79, 16.06, 12.56, 13.97, 0.41, 30.21, 29.53, 0.93, 3.88, 3.26, 16.00, 18834.94, 21.57, 0.69, 6.92, 32.63, 1.96, 5.00, 
Ratnamani Metals, 520111, RATNAMANI, Steel - Medium / Small, Small Cap, 947.45, 4427.24, 2733.22, 257.99, 0.04, 14.53, 21.39, 17.64, 16.64, 0.95, 17.16, 18.14, 1.45, 2.91, 1.62, 9.57, 4350.99, 15.33, 2.63, 15.28, 11.82, 0.00, 7.00, 
Redington India, 532805, REDINGTON, Trading, Small Cap, 113.80, 4427.75, 47995.99, 520.13, 0.33, 14.84, 17.59, 25.12, 18.39, 2.11, 7.64, 10.66, 0.74, 1.13, 0.09, 4.74, 4857.96, 1.98, 1.73, 10.74, 10.28, 0.00, 8.00, 
Relaxo Footwear, 530517, RELAXO, Leather / Leather Products, Mid Cap, 498.80, 12375.32, 2378.40, 179.24, 0.10, 21.08, 26.95, 11.31, 12.72, 0.18, 69.04, 42.41, 3.22, 11.20, 5.20, 34.71, 12485.10, 14.63, 1.85, 14.21, 21.43, 0.00, 4.00, 
Rites, 541556, RITES, Engineering - Turnkey Services, Small Cap, 264.20, 6605.00, 2177.42, 456.56, 0.00, 16.66, 25.00, 38.03, 57.35, 3.86, 14.47, 11.69, , 2.77, 3.03, 4.27, 3136.38, 25.59, 1.69, , , 0.00, 7.00, 
Reliance Nip.Lif, 540767, RNAM, Finance & Investments, Mid Cap, 265.70, 16261.84, 1345.61, 488.86, 0.00, 20.94, 30.09, 53.11, 77.28, 2.26, 33.26, 30.44, 3.67, 6.42, 12.09, 21.98, 15771.37, 40.16, 4.32, 15.26, 9.07, 0.00, 6.00, 
Sanofi India, 500674, SANOFI, Pharmaceuticals - Multinational, Mid Cap, 5844.55, 13460.00, 2935.40, 388.80, 0.00, 17.36, 27.63, 50.76, 50.76, 1.44, 34.62, 33.17, 3.85, 6.03, 4.59, 17.32, 12628.10, 21.67, 2.64, 8.88, 9.00, 0.00, 8.00, 
SBI Life Insuran, 540719, SBILIFE, Finance & Investments, Large Cap, 827.65, 82765.00, 47433.84, 1344.39, 0.00, 18.82, 23.24, 16.06, 15.07, 0.24, 61.56, 51.47, 4.82, 10.42, 1.74, 57.91, 80344.37, 2.57, 1.94, 20.91, 12.76, 0.00, 6.00, 
Schaeffler India, 505790, SCHAEFFLER, Bearings, Small Cap, 4256.20, 13305.19, 4666.77, 386.47, 0.00, 17.88, 27.04, 13.28, 22.34, 0.70, 31.25, 33.38, 1.05, 4.78, 2.85, 15.81, 12467.59, 15.33, 3.02, 26.83, 29.63, 0.00, 4.00, 
Shankara Build., 540425, SHANKARA, Trading, Micro Cap, 313.80, 717.01, 2508.18, 20.04, 0.41, 13.38, 21.30, 10.41, 10.48, 0.48, 35.78, 41.45, 16.26, 1.50, 0.29, 8.54, 896.95, 4.00, 1.75, 6.61, 2.20, 0.00, 7.00, 
S H Kelkar & Co., 539450, SHK, Chemicals, Micro Cap, 137.45, 1942.45, 1081.59, 88.26, 0.40, 11.95, 15.35, 17.03, 0.00, 0.00, 22.01, 37.72, 6.47, 2.25, 1.80, 13.08, 2243.15, 13.45, 3.51, 6.53, 3.40, 6.79, 4.00, 
Shoppers St., 532638, SHOPERSTOP, Textiles - Products, Small Cap, 429.25, 3776.97, 3487.16, 71.42, 0.04, 2.88, 12.20, 11.28, 8.38, 0.17, 52.88, 155.27, 3.37, 3.86, 1.08, 10.51, 3800.24, 9.99, 0.94, 5.47, 15.69, 12.62, 8.00, 
Shree Cement, 500387, SHREECEM, Cement - North India, Large Cap, 18593.75, 64780.63, 11688.50, 1034.60, 0.29, 15.24, 16.22, 23.66, 21.98, 0.32, 54.84, 39.06, 14.82, 6.75, 5.54, 21.14, 67270.80, 25.49, 3.05, 16.69, 3.70, 0.00, 6.00, 
Siemens, 500550, SIEMENS, Electric Equipment, Large Cap, 1543.25, 54958.26, 13494.30, 1035.60, 0.00, 11.05, 16.70, 30.25, 27.88, 0.45, 53.07, 47.37, 1.38, 6.47, 4.07, 28.22, 51312.56, 11.03, 1.93, 2.31, 38.32, 0.00, 7.00, 
SJVN, 533206, SJVN, Power Generation And Supply, Mid Cap, 24.30, 9549.40, 2766.04, 1491.23, 0.19, 12.56, 14.35, 68.73, 61.93, 8.85, 6.23, 8.50, 1.30, 0.85, 3.45, 3.49, 8798.43, 75.43, 7.29, 7.24, 4.79, 0.00, 7.00, 
SKF India, 500472, SKFINDIA, Bearings, Mid Cap, 2167.90, 10717.66, 3058.96, 332.89, 0.05, 16.38, 24.68, 20.04, 17.67, 0.55, 32.20, 31.07, 2.48, 6.32, 3.50, 17.69, 10204.24, 15.54, 3.50, 5.93, 13.01, 0.00, 7.00, 
Solar Inds., 532725, SOLARINDS, Chemicals, Mid Cap, 1102.15, 9973.36, 2466.88, 263.17, 0.49, 21.97, 24.59, 24.36, 24.22, 0.64, 37.90, 36.29, 2.35, 8.05, 4.04, 20.76, 10485.00, 19.84, 2.37, 18.06, 16.10, 0.00, 6.00, 
Sonata Software, 532221, SONATSOFTW, Computers - Software - Medium / Small, Small Cap, 312.95, 3292.23, 3147.21, 258.65, 0.02, 31.02, 40.27, 56.49, 53.15, 4.02, 12.76, 12.57, 0.48, 4.29, 1.05, 8.01, 3108.64, 11.18, 1.60, 13.59, 26.80, 0.00, 5.00, 
Sudarshan Chem., 506655, SUDARSCHEM, Dyes And Pigments, Micro Cap, 372.15, 2576.29, 1488.24, 100.39, 0.52, 20.31, 18.95, 27.37, 27.41, 1.61, 29.21, 18.82, 1.51, 4.30, 1.73, 13.23, 2882.12, 14.16, 2.05, 7.15, 19.36, 0.00, 6.00, 
Sundram Fasten., 500403, SUNDRMFAST, Fasteners, Mid Cap, 470.30, 9881.00, 3972.67, 421.86, 0.42, 25.66, 26.81, 26.93, 24.51, 1.08, 23.42, 23.68, 0.84, 5.18, 2.49, 14.19, 10671.53, 18.48, 2.13, 14.63, 27.88, 0.00, 6.00, 
