name, bse_code, nse_code, industry, captype, cmp, mcap, sales, np, d2e, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, 
Adani Ports, 532921, ADANIPORTS, Miscellaneous, Large Cap, 404.05, 83676.81, 11308.88, 4321.90, 1.11, 20.28, 15.17, 6.40, 1.04, 0.05, 18.86, 21.03, 0.98, 3.41, 7.40, 12.05, 105155.23, 63.95, 5.21, 17.73, 19.25, 32.10, 5.00, 
Adani Power, 533096, ADANIPOWER, Power Generation And Supply, Mid Cap, 61.75, 23816.60, 28013.08, -422.64, , -68.87, 7.34, 0.00, 0.00, 0.00, 54.14, 20.88, , 3.09, 0.85, 7.73, 69880.42, 23.68, 1.38, 9.28, , 29.32, 7.00, 
Adani Transmissi, 539254, ADANITRANS, Power Generation And Supply, Mid Cap, 224.35, 24674.24, 9537.42, 608.99, 4.34, 19.52, 13.49, 0.00, 0.00, 0.00, 40.52, 22.15, , 3.07, 2.59, 11.88, 44109.67, 35.52, 1.32, , , 50.37, 4.00, 
Advance. Enzyme., 540025, ADVENZYMES, Chemicals, Micro Cap, 149.15, 1665.65, 425.65, 115.69, 0.05, 19.50, 27.03, 5.70, 6.03, 0.40, 14.40, 31.66, 0.35, 2.45, 3.91, 8.70, 1677.27, 43.94, 2.71, 11.94, 40.75, 0.00, 8.00, 
Aegis Logistics, 500003, AEGISCHEM, Trading, -, 175.60, 5964.55, 6554.25, 226.70, 0.17, 17.99, 19.86, 23.88, 21.12, 0.78, 26.31, 31.43, 0.90, 4.29, 0.91, 14.49, 5790.38, 5.90, 1.22, 2.23, 29.32, 0.00, 8.00, 
AIA Engg., 532683, AIAENG, Castings & Forgings, Mid Cap, 1707.45, 16101.25, 2756.24, 392.74, 0.04, 14.89, 20.16, 18.20, 20.46, 0.53, 41.00, 28.42, 10.10, 5.07, 5.84, 24.50, 16201.16, 19.23, 5.23, 9.74, 4.06, 0.00, 6.00, 
Ajanta Pharma, 532331, AJANTPHARM, Pharmaceuticals - Indian - Formulations, Mid Cap, 997.00, 8699.30, 2156.32, 395.81, 0.02, 25.63, 33.25, 22.54, 20.40, 0.91, 21.98, 26.93, 2.07, 3.87, 4.03, 14.44, 8634.75, 26.39, 2.73, 11.21, 10.61, 13.37, 5.00, 
Akzo Nobel, 500710, AKZOINDIA, Paints / Varnishes, Small Cap, 1908.90, 8693.19, 2922.35, 224.61, 0.00, 23.00, 30.37, 39.70, 51.87, 1.26, 38.78, 32.13, 2.73, 7.66, 2.97, 20.84, 8634.49, 12.77, 1.26, 4.58, 14.18, 0.00, 7.00, 
Allahabad Bank, 532480, ALBK, Banks - Public Sector, Small Cap, 27.80, 10346.38, 16587.90, -6261.59, 24.84, -36.84, 2.68, 0.00, 0.00, 0.00, , 6.91, , 1.13, 0.62, 57.11, 222935.87, 11.90, 3.76, -2.09, , 0.00, 1.00, 
Alkem Lab, 539523, ALKEM, Pharmaceuticals - Indian - Bulk Drugs & Formln, Mid Cap, 1949.70, 23311.59, 7547.65, 815.78, 0.17, 16.47, 18.39, 23.30, 25.15, 0.82, 28.58, 29.28, 2.43, 4.29, 3.09, 19.53, 23594.06, 14.97, 2.75, 18.77, 11.77, 0.00, 8.00, 
Allcargo Logist., 532749, ALLCARGO, Miscellaneous, Small Cap, 103.65, 2546.63, 7083.66, 254.62, 0.30, 11.02, 12.65, 28.47, 35.54, 3.38, 10.40, 16.21, 1.06, 1.27, 0.36, 5.63, 2904.23, 6.85, 1.37, 7.25, 9.81, 0.00, 7.00, 
Amara Raja Batt., 500008, AMARAJABAT, Auto Ancillaries, Mid Cap, 703.30, 12013.24, 6829.39, 511.37, 0.02, 17.14, 25.27, 18.41, 25.01, 1.01, 23.49, 28.51, 4.31, 3.60, 1.76, 11.39, 11999.92, 14.80, 2.22, 14.60, 5.45, 0.00, 7.00, 
Ambuja Cem., 500425, AMBUJACEM, Cement - North India, Large Cap, 199.85, 39683.12, 26645.75, 2380.36, 0.00, 8.25, 14.15, 37.04, 13.68, 0.75, 15.95, 31.20, 1.15, 1.72, 1.49, 6.95, 33277.83, 15.75, 1.59, 23.24, 13.86, 0.00, 7.00, 
Andhra Bank, 532418, ANDHRABANK, Banks - Public Sector, Small Cap, 16.70, 4984.09, 19366.85, -2194.74, 17.48, -17.58, 4.29, 0.00, 0.00, 0.00, , 11.49, , 0.38, 0.26, 20.58, 220049.36, 45.11, 4.30, 5.78, , 0.00, 5.00, 
Apar Inds., 532259, APARINDS, Electric Equipment, Small Cap, 553.70, 2118.93, 8449.85, 148.31, 0.21, 14.04, 28.99, 24.50, 26.72, 1.72, 14.29, 17.53, 1.69, 1.76, 0.25, 4.21, 2146.92, 5.87, 1.12, 11.47, 8.44, 0.00, 6.00, 
APL Apollo, 533758, APLAPOLLO, Steel - Medium / Small, Small Cap, 1360.65, 3299.63, 7547.39, 153.02, 0.89, 19.87, 21.53, 20.71, 22.52, 1.01, 21.56, 18.51, 1.07, 3.42, 0.44, 9.75, 4109.96, 5.42, 1.66, 23.43, 20.16, 0.00, 5.00, 
Alembic Pharma, 533573, APLLTD, Pharmaceuticals - Indian - Bulk Drugs & Formln, Small Cap, 517.15, 9748.28, 4021.07, 617.62, 0.42, 22.21, 23.90, 18.24, 17.74, 1.06, 15.18, 23.83, 0.76, 3.59, 2.42, 11.11, 10671.09, 23.56, 2.08, 16.13, 19.85, 0.00, 8.00, 
Apollo Hospitals, 508869, APOLLOHOSP, Healthcare, Mid Cap, 1369.25, 19049.01, 8655.47, 321.91, 0.83, 7.59, 9.62, 28.89, 27.57, 0.44, 59.17, 55.01, -55.30, 4.91, 2.20, 19.44, 22009.11, 12.91, 1.37, 16.80, -1.07, 71.26, 7.00, 
Apollo Tyres, 500877, APOLLOTYRE, Tyres, Mid Cap, 169.10, 9673.37, 17580.86, 569.60, 0.49, 10.46, 10.98, 21.65, 27.35, 1.92, 13.29, 12.57, -2.97, 0.96, 0.55, 6.97, 14041.16, 10.77, 1.33, 5.52, -4.47, 15.02, 7.00, 
Ashoka Buildcon, 533271, ASHOKA, Engineering - Turnkey Services, Small Cap, 97.25, 2730.03, 4930.12, -33.46, 20.88, -23.65, 16.80, -9.35, 0.00, 0.00, , 24.56, , 9.44, 0.55, 5.86, 8537.62, 27.98, 0.91, 22.40, , 0.00, 3.00, 
Ashok Leyland, 500477, ASHOKLEY, Automobiles - LCVs / HCVs, Large Cap, 65.95, 19359.80, 28476.09, 1791.79, 0.08, 25.45, 27.38, 41.20, 45.89, 4.70, 10.51, 70.01, 0.24, 2.32, 0.68, 6.04, 18618.57, 10.54, 0.94, 23.05, 43.55, 9.26, 6.00, 
Asian Paints, 500820, ASIANPAINT, Paints / Varnishes, Large Cap, 1766.10, 169403.92, 20081.88, 2255.45, 0.07, 25.49, 37.21, 46.17, 46.64, 0.59, 75.11, 54.66, 6.19, 17.80, 8.44, 40.88, 169586.07, 19.26, 1.30, 9.62, 12.14, 11.95, 5.00, 
Aster DM Health., 540975, ASTERDM, Healthcare, Small Cap, 115.95, 5858.11, 8216.65, 339.71, 0.98, 3.24, 7.73, 0.00, 0.00, 0.00, 17.17, 27.65, 1.28, 1.82, 0.71, 8.39, 8305.41, 11.65, 1.75, 22.63, 13.41, 0.00, 9.00, 
Astral Poly, 532830, ASTRAL, Plastics Products, Mid Cap, 1146.30, 17270.41, 2640.69, 206.71, 0.23, 18.23, 23.09, 4.45, 4.28, 0.05, 83.55, 55.08, 4.16, 14.76, 6.54, 42.00, 17447.53, 15.01, 1.62, 18.86, 20.09, 0.00, 6.00, 
Astrazeneca Phar, 506820, ASTRAZEN, Pharmaceuticals - Multinational, Micro Cap, 2267.95, 5669.88, 771.41, 69.56, 0.00, 13.76, 20.67, 0.00, 0.00, 0.00, 81.51, 211.83, 2.08, 18.85, 7.35, 48.45, 5496.58, 12.65, 1.65, 8.98, 39.13, 0.00, 8.00, 
Atul, 500027, ATUL, Dyes And Pigments, Small Cap, 3975.60, 11791.63, 4021.05, 474.18, 0.00, 15.71, 22.56, 11.32, 10.39, 0.38, 24.87, 19.50, 1.66, 4.45, 2.93, 14.03, 11763.01, 20.17, 2.08, 10.82, 14.97, 4.52, 8.00, 
AU Small Finance, 540611, AUBANK, Banks - Private Sector, Mid Cap, 653.90, 19187.18, 3305.99, 495.31, 9.52, 24.08, 10.54, 3.54, 5.74, 0.11, 38.74, 53.04, 0.99, 9.60, 5.80, 17.65, 45482.79, 60.70, 1.53, 38.96, 39.03, 7.04, 5.00, 
Aurobindo Pharma, 524804, AUROPHARMA, Pharmaceuticals - Indian - Bulk Drugs & Formln, Large Cap, 576.20, 33761.78, 20757.87, 2544.86, 0.50, 22.63, 21.61, 6.20, 6.19, 0.43, 12.88, 17.95, 0.82, 2.43, 1.63, 8.77, 38771.36, 20.60, 2.68, 19.32, 15.65, 3.82, 4.00, 
Avanti Feeds, 512573, AVANTIFEED, Food - Processing - Indian, -, 360.35, 4909.61, 3541.03, 280.92, 0.01, 36.91, 57.80, 17.02, 19.91, 1.11, 17.48, 15.00, 0.59, 4.07, 1.39, 9.95, 4732.04, 11.63, 2.75, 26.11, 29.73, 0.00, 5.00, 
Axis Bank, 532215, AXISBANK, Banks - Private Sector, Large Cap, 679.15, 191452.69, 57463.70, 5345.60, 10.52, 4.71, 5.28, 12.68, 5.50, 0.13, 35.82, 106.65, -6.50, 2.87, 3.33, 19.15, 825495.17, 50.51, 3.84, 12.41, -5.51, 0.00, 7.00, 
Bajaj Auto, 532977, BAJAJ-AUTO, Automobiles - Scooters And 3 - Wheelers, Large Cap, 2910.00, 84205.80, 30597.56, 4898.00, 0.01, 22.80, 31.65, 38.47, 35.23, 2.06, 18.09, 19.40, 2.66, 3.62, 2.75, 12.27, 83397.25, 16.14, 1.01, 8.48, 6.81, 0.00, 6.00, 
Bajaj Consumer, 533229, BAJAJCON, Personal Care - Indian, -, 244.15, 3602.05, 928.19, 231.02, 0.05, 44.90, 55.64, 83.31, 91.32, 5.73, 15.59, 30.99, 2.34, 7.43, 3.88, 11.96, 3613.34, 30.14, 1.56, 6.46, 6.65, 60.72, 8.00, 
Bajaj Electrical, 500031, BAJAJELEC, Domestic Appliances, Small Cap, 382.95, 3923.57, 6830.99, 143.94, 1.47, 14.33, 17.48, 30.17, 21.45, 0.91, 27.26, 37.83, 0.27, 3.64, 0.57, 13.15, 5489.75, 5.29, 1.66, 10.71, 100.24, 0.00, 4.00, 
Bajaj Finserv, 532978, BAJAJFINSV, Finance & Investments, Large Cap, 8458.35, 134602.89, 46104.99, 3238.61, 4.20, 14.82, 14.35, 1.17, 1.24, 0.03, 41.56, 21.79, 2.63, 5.66, 2.92, 14.58, 232768.35, 34.61, 0.10, 47.89, 15.82, 0.00, 5.00, 
Bajaj Holdings, 500490, BAJAJHLDNG, Finance & Investments, Large Cap, 3588.65, 39938.09, 400.62, 3006.41, 0.00, 12.75, 10.20, 14.42, 11.86, 0.91, 13.28, 9.02, 1.49, 1.48, 99.69, 12.76, 39927.90, 74.09, 3.08, 0.17, 8.93, 0.00, 5.00, 
Bajaj Fin., 500034, BAJFINANCE, Finance & Investments, Large Cap, 3992.40, 231516.96, 18887.56, 4181.33, 4.41, 21.12, 12.75, 9.63, 8.90, 0.15, 55.37, 31.01, 1.38, 13.33, 12.26, 24.25, 317626.99, 69.03, 0.99, 33.88, 40.14, 0.00, 4.00, 
Balkrishna Inds, 502355, BALKRISIND, Tyres, Mid Cap, 757.80, 14649.58, 5075.59, 727.75, 0.18, 18.30, 21.25, 17.17, 19.77, 1.06, 20.13, 18.06, 2.33, 3.13, 2.89, 10.82, 15423.57, 24.06, 1.88, 7.96, 8.64, 0.00, 8.00, 
Balmer Lawrie, 523319, BALMLAWRIE, Diversified - Large, Micro Cap, 164.90, 1879.90, 1717.28, 177.69, 0.01, 14.96, 22.15, 58.34, 66.53, 6.67, 10.58, 11.29, 3.30, 1.45, 1.09, 4.85, 1456.72, 12.83, 2.11, -7.54, 3.21, 0.00, 6.00, 
Balrampur Chini, 500038, BALRAMCHIN, Sugar, Micro Cap, 159.65, 3512.30, 4231.74, 603.73, 0.83, 29.15, 19.69, 16.57, 10.01, 1.63, 5.82, 83.59, 0.04, 1.69, 0.83, 6.74, 5241.37, 17.38, 3.16, 9.97, 153.61, 0.00, 6.00, 
Bandhan Bank, 541153, BANDHANBNK, Banks - Private Sector, Large Cap, 470.35, 56118.28, 7208.44, 2170.93, 3.91, , , 9.07, 18.34, 0.64, 25.85, 36.87, , 5.01, 7.79, 16.52, 94068.59, 62.83, 4.32, , , 0.00, 5.00, 
Bank of Baroda, 532134, BANKBARODA, Banks - Public Sector, Large Cap, 91.30, 35120.62, 52906.25, 1100.10, 14.70, 0.62, 4.38, 5.09, 0.00, 0.00, 32.38, 17.26, -1.23, 0.70, 0.66, 19.21, 671692.00, 51.21, 4.10, 5.51, -26.34, 0.00, 5.00, 
Bank of India, 532149, BANKINDIA, Banks - Public Sector, Mid Cap, 61.10, 20022.00, 41087.12, -5399.40, 13.56, -13.28, 3.42, 0.00, 0.00, 0.00, , 6.51, , 0.48, 0.49, 24.97, 490314.03, 34.72, 8.23, 1.46, , 0.00, 2.00, 
BASF India, 500042, BASF, Chemicals, Small Cap, 979.10, 4238.52, 6012.31, 65.48, 0.65, 1.55, 5.13, 0.37, 26.48, 0.51, , 47.32, , 3.00, 0.70, 30.46, 5137.52, 1.81, 1.80, 6.35, , 0.00, 4.00, 
Bata India, 500043, BATAINDIA, Leather / Leather Products, Small Cap, 1736.95, 22324.59, 3013.30, 347.84, 0.00, 17.05, 26.29, 25.23, 24.37, 0.36, 64.18, 41.03, 6.36, 12.78, 7.41, 32.46, 21485.59, 19.53, 3.09, 7.23, 10.09, 0.00, 9.00, 
Bayer Crop Sci., 506285, BAYERCROP, Pesticides / Agrochemicals - Multinational, Mid Cap, 3372.15, 11577.80, 2517.50, 149.70, 0.00, 14.55, 21.88, 22.41, 25.98, 0.53, 69.68, 42.18, -18.58, 6.15, 4.60, 37.42, 11249.50, 10.62, 2.32, -3.37, -3.75, 0.00, 6.00, 
Bombay Burmah, 501425, BBTC, Tea, Mid Cap, 1129.95, 7883.88, 11423.20, 888.67, 0.20, 14.35, 34.85, 1.65, 0.79, 0.09, 8.89, 12.23, 0.25, 1.65, 0.69, 3.70, 8648.47, 14.73, 1.73, 9.46, 35.70, 4.66, 8.00, 
Bharat Dynamics, 541143, BDL, Engineering, Small Cap, 290.05, 5316.07, 3012.49, 406.32, 0.00, 23.66, 36.22, 30.00, 30.01, 2.39, 13.08, 13.02, , 2.34, 1.76, 6.60, 4950.14, 20.26, 1.48, , , 0.00, 6.00, 
Bharat Electron, 500049, BEL, Electronics - Components, Large Cap, 107.15, 26108.09, 12084.06, 1952.29, 0.00, 20.07, 27.51, 36.76, 42.98, 3.17, 13.37, 19.28, 0.85, 2.89, 2.16, 8.19, 25257.74, 24.00, 1.49, 14.00, 15.77, 0.00, 7.00, 
BEML Ltd, 500048, BEML, Engineering, Small Cap, 946.25, 3940.19, 3607.45, 126.98, 0.18, 4.24, 7.02, 37.15, 46.05, 0.74, 31.03, 220.29, 0.52, 1.80, 1.09, 13.26, 4310.73, 8.25, 2.17, 3.64, 59.54, 0.00, 6.00, 
Berger Paints, 509480, BERGEPAINT, Paints / Varnishes, Mid Cap, 433.45, 42093.62, 6295.38, 537.93, 0.21, 22.33, 29.14, 36.95, 37.06, 0.44, 78.25, 50.82, 5.39, 17.02, 6.69, 40.85, 42375.19, 15.44, 1.73, 10.19, 14.51, 0.00, 5.00, 
Bharat Forge, 500493, BHARATFORG, Castings & Forgings, Large Cap, 444.85, 20711.71, 6386.90, 1010.96, 0.59, 17.98, 18.48, 27.07, 21.73, 1.12, 20.49, 35.07, 0.93, 3.84, 3.24, 11.77, 23530.98, 28.61, 2.83, 13.91, 22.11, 0.00, 7.00, 
Bharti Airtel, 532454, BHARTIARTL, Telecommunications - Service Provider, Large Cap, 350.95, 180106.20, 81993.70, -2553.80, 1.75, 2.64, 7.16, 149.60, 244.04, 0.55, , 102.96, , 2.52, 2.20, 10.74, 297429.00, 33.10, 0.71, -1.21, , 0.00, 3.00, 
B H E L, 500103, BHEL, Electric Equipment, Large Cap, 46.85, 16313.47, 28945.14, 843.57, 0.08, 2.57, 5.42, 72.71, 57.30, 4.27, 19.34, 39.07, -1.01, 0.52, 0.56, 5.12, 11421.30, 5.49, 2.01, -4.94, -19.07, 0.00, 6.00, 
Biocon, 532523, BIOCON, Pharmaceuticals - Indian - Bulk Drugs & Formln, Large Cap, 222.15, 26658.00, 5856.50, 991.90, 0.40, 11.00, 11.54, 10.85, 6.63, 0.23, 32.16, 38.71, 2.69, 4.37, 4.55, 16.63, 28025.80, 26.31, 1.95, 13.89, 11.95, 0.00, 8.00, 
Birla Corpn., 500335, BIRLACORPN, Cement - North India, Small Cap, 561.60, 4324.88, 6778.06, 312.45, 0.90, 5.13, 7.47, 25.97, 22.59, 1.34, 13.84, 21.94, 0.82, 0.96, 0.64, 7.11, 8235.12, 16.04, 0.93, 16.77, 16.85, 0.00, 8.00, 
Bliss GVS Pharma, 506197, BLISSGVS, Pharmaceuticals - Indian - Formulations, Micro Cap, 101.65, 1048.01, 904.44, 120.45, 0.16, 18.33, 28.92, 11.14, 8.33, 0.98, 8.70, 20.28, 0.35, 1.62, 1.16, 5.44, 1043.32, 18.35, 4.75, 21.12, 25.04, 0.00, 7.00, 
Blue Dart Exp., 526612, BLUEDART, Couriers, Small Cap, 2481.65, 5888.96, 3219.23, 70.11, 0.22, 21.60, 25.72, 26.78, 33.90, 0.50, 84.00, 124.85, -12.86, 8.86, 1.83, 30.13, 5768.19, 5.39, 1.50, 10.37, -6.53, 0.00, 6.00, 
Blue Star, 500067, BLUESTARCO, Air-conditioners, Small Cap, 798.70, 7692.59, 5302.46, 175.29, 0.40, 20.42, 22.52, 58.53, 50.67, 1.25, 41.67, 44.01, 2.10, 8.81, 1.45, 21.59, 7939.21, 6.12, 1.31, 12.27, 19.84, 0.00, 7.00, 
Bombay Dyeing, 500020, BOMDYEING, Textiles - Processing, Small Cap, 73.70, 1522.16, 4680.87, 1367.88, 21.50, 74.97, 25.39, 17.60, 2.52, 2.04, 1.12, 65.17, 0.01, 8.43, 0.33, 2.87, 5415.18, 39.25, 3.47, 10.78, 118.88, 0.00, 5.00, 
Bosch, 500530, BOSCHLTD, Auto Ancillaries, Large Cap, 13247.50, 39071.70, 11824.58, 1447.01, 0.00, 16.97, 24.55, 23.51, 19.38, 0.79, 26.00, 45.41, 1.88, 4.28, 3.30, 14.56, 37819.00, 17.07, 2.06, 6.96, 13.80, 0.00, 7.00, 
B P C L, 500547, BPCL, Refineries, Large Cap, 493.90, 107139.39, 301809.40, 5913.88, 0.78, 23.93, 21.40, 52.40, 52.40, 3.49, 18.12, 10.47, 1.54, 2.92, 0.35, 10.28, 136143.28, 3.37, 0.87, 2.71, 11.77, 0.00, 6.00, 
Britannia Inds., 500825, BRITANNIA, Food - Processing - MNC, Large Cap, 2919.55, 70162.13, 11211.34, 1151.98, 0.04, 32.85, 47.32, 30.28, 31.10, 0.51, 60.39, 45.90, 2.45, 16.50, 6.26, 35.64, 70208.33, 15.49, 1.56, 9.84, 24.66, 0.00, 5.00, 
Cadila Health., 532321, CADILAHC, Pharmaceuticals - Indian - Bulk Drugs & Formln, Large Cap, 234.15, 23970.93, 13768.20, 1691.90, 0.76, 21.13, 16.46, 20.53, 19.39, 1.50, 14.17, 24.80, 0.84, 2.31, 1.74, 10.13, 31221.03, 21.50, 1.99, 12.75, 16.84, 0.00, 4.00, 
Canara Bank, 532483, CANBK, Banks - Public Sector, Mid Cap, 178.10, 13415.29, 46896.72, 601.85, 16.99, -1.86, 4.85, 1.47, 0.00, 0.00, 22.18, 15.23, -0.87, 0.36, 0.29, 19.15, 587049.71, 49.66, 3.02, 3.46, -25.46, 0.00, 7.00, 
Can Fin Homes, 511196, CANFINHOME, Finance - Housing, Small Cap, 394.05, 5246.94, 1810.56, 299.76, 9.37, 21.00, 10.07, 9.86, 8.97, 0.51, 17.50, 17.76, 0.56, 2.94, 2.90, 12.56, 21521.13, 94.47, 1.97, 24.48, 31.36, 0.00, 5.00, 
Caplin Point Lab, 524742, CAPLIPOINT, Pharmaceuticals - Indian - Formulations, -, 418.35, 3164.51, 694.78, 189.38, 0.00, 44.34, 57.04, 10.58, 9.42, 0.53, 16.71, 20.39, 0.25, 5.00, 4.55, 11.26, 3012.06, 35.36, 3.96, 38.56, 65.81, 0.00, 4.00, 
Carborundum Uni., 513375, CARBORUNIV, Abrasives And Grinding Wheels, Small Cap, 294.20, 5568.14, 2725.96, 238.08, 0.05, 14.44, 20.13, 19.87, 21.01, 0.93, 23.39, 29.15, 1.05, 3.23, 2.04, 11.91, 5562.60, 15.63, 3.41, 4.89, 22.37, 0.10, 6.00, 
CARE Ratings, 534804, CARERATING, Miscellaneous, Small Cap, 510.75, 1504.73, 308.89, 125.66, 0.00, 27.92, 40.37, 73.30, 64.29, 5.87, 11.97, 27.82, 3.56, 2.76, 4.87, 7.66, 1474.54, 51.40, 1.57, 6.25, 3.36, 0.00, 5.00, 
Castrol India, 500870, CASTROLIND, Chemicals, Mid Cap, 135.35, 13387.77, 3976.10, 730.00, 0.00, 71.48, 110.90, 83.68, 69.82, 3.69, 18.34, 35.62, 2.45, 11.08, 3.37, 10.60, 12643.92, 27.97, 1.95, 4.19, 7.50, 0.00, 5.00, 
CCL Products, 519600, CCL, Tea, Small Cap, 235.20, 3128.82, 1060.14, 150.10, 0.50, 21.42, 22.32, 25.75, 30.07, 1.49, 20.84, 23.86, 1.09, 3.85, 2.95, 13.39, 3448.69, 23.96, 3.50, 8.57, 19.18, 0.00, 5.00, 
CEAT, 500878, CEATLTD, Tyres, Small Cap, 972.20, 3932.56, 6997.12, 262.79, 0.54, 12.33, 15.45, 17.22, 19.25, 1.23, 13.20, 14.14, 28.09, 1.42, 0.56, 7.63, 5357.04, 9.02, 0.97, 5.03, 0.47, 0.00, 4.00, 
Central Bank, 532885, CENTRALBK, Banks - Public Sector, Mid Cap, 17.90, 7385.39, 22661.14, -4000.91, 16.11, -24.60, 3.36, 0.00, 0.00, 0.00, , 29.94, , 0.39, 0.33, 27.96, 281279.96, 31.25, 7.70, -1.51, , 0.00, 1.00, 
Centrum Capital, 501150, CENTRUM, Finance & Investments, Micro Cap, 24.15, 1004.72, 16.87, -194.80, 0.37, -8.06, 2.10, 3.44, 1.50, 0.21, , 47.07, , 1.86, 59.56, -33.34, 1188.79, -305.28, 0.36, -13.91, , 78.45, 2.00, 
Century Ply., 532548, CENTURYPLY, Miscellaneous, Small Cap, 156.95, 3487.01, 2300.28, 161.53, 0.54, 21.79, 19.06, 13.40, 14.01, 0.64, 21.59, 29.33, 1.17, 3.60, 1.52, 12.72, 3983.31, 13.32, 3.20, 12.01, 18.53, 0.00, 6.00, 
Century Textiles, 500040, CENTURYTEX, Cement - North India, Mid Cap, 899.05, 10042.00, 3841.08, 711.87, 0.16, 14.36, 11.50, 30.11, 12.30, 0.83, 14.11, 366.17, 0.07, 3.04, 2.61, 8.49, 10503.47, 23.29, 0.98, -10.00, 203.69, 0.00, 8.00, 
Cera Sanitary., 532443, CERA, Ceramics - Tiles / Sanitaryware, Small Cap, 2658.05, 3457.03, 1330.25, 113.62, 0.03, 18.60, 28.13, 15.08, 14.69, 0.49, 30.43, 36.29, 1.77, 4.94, 2.60, 16.73, 3464.84, 14.32, 1.57, 15.31, 17.17, 0.00, 7.00, 
CG Power & Indu., 500093, CGPOWER, Electric Equipment, Small Cap, 13.45, 842.97, 7200.48, -406.96, 1.25, -10.18, -2.04, 0.00, 0.00, 0.00, , 416.97, , 0.39, 0.12, 10.19, 2879.96, 3.29, 0.65, -12.54, , 0.00, 3.00, 
Chalet Hotels, 542399, CHALET, Hotels, -, 320.60, 6573.07, 987.17, -7.63, 1.01, 0.86, 6.51, 0.00, 0.00, 0.00, , 0.00, , 4.46, 6.66, 21.78, 7984.60, 32.31, 1.23, , , 32.12, 5.00, 
Chambal Fert., 500085, CHAMBLFERT, Fertilizers, Small Cap, 154.75, 6440.82, 10758.84, 625.80, 2.63, 18.72, 11.75, 16.78, 15.27, 1.29, 8.06, 10.61, 0.46, 1.99, 0.60, 9.25, 14923.91, 13.29, 2.07, 4.82, 17.41, 11.80, 5.00, 
C P C L, 500110, CHENNPETRO, Refineries, Small Cap, 169.45, 2523.30, 41974.41, -602.80, 1.59, 16.04, 13.83, 20.19, 0.00, 0.00, , 4.87, , 0.76, 0.06, 665.19, 8634.17, -0.10, 1.31, -3.50, 5.81, 0.00, 4.00, 
