3MINDIA, SALE
INOXLEISUR, SALE
INOXWIND, SALE
INTELLECT, SALE
IOB, SALE
IOC, HOLD
IPCALAB, HOLD
IRB, HOLD
IRCON, HOLD
ISEC, HOLD
ITC, BUY
ITDC, HOLD
ITDCEM, HOLD
ITI, SALE
J&KBANK, SALE
JAGRAN, BUY
JAICORPLTD, HOLD
JAMNAAUTO, HOLD
JBCHEPHARM, BUY
JCHAC, SALE
JETAIRWAYS, HOLD
JINDALSAW, HOLD
JINDALSTEL, SALE
JISLJALEQS, SALE
JKCEMENT, HOLD
JKLAKSHMI, HOLD
JKTYRE, HOLD
JMFINANCIL, BUY
JPASSOCIAT, SALE
JSL, HOLD
JSLHISAR, HOLD
JSWENERGY, SALE
JSWHL, SALE
JSWSTEEL, HOLD
JUBILANT, HOLD
JUBLFOOD, BUY
JUSTDIAL, SALE
JYOTHYLAB, HOLD
KAJARIACER, BUY
KALPATPOWR, HOLD
KANSAINER, BUY
KEC, HOLD
KEI, HOLD
KNRCON, SALE
KOTAKBANK, SALE
KPRMILL, SALE
KRBL, HOLD
KTKBANK, HOLD
L&TFH, BUY
LALPATHLAB, BUY
LAOPALA, HOLD
LAURUSLABS, HOLD
LAXMIMACH, BUY
LEMONTREE, HOLD
LICHSGFIN, BUY
LINDEINDIA, SALE
LT, SALE
LTI, BUY
LTTS, BUY
LUPIN, HOLD
LUXIND, HOLD
M&M, BUY
M&MFIN, BUY
MAGMA, HOLD
MAHABANK, SALE
MAHINDCIE, HOLD
MAHLIFE, HOLD
MAHLOG, BUY
MAHSCOOTER, SALE
MAHSEAMLES, BUY
MANAPPURAM, BUY
MARICO, BUY
MARUTI, BUY
MASFIN, BUY
MAXINDIA, HOLD
MCX, BUY
MEGH, SALE
MFSL, SALE
MGL, BUY
MHRIL, BUY
MINDACORP, BUY
MINDAIND, HOLD
MINDTREE, BUY
MMTC, SALE
MOIL, HOLD
MONSANTO, BUY
MOTHERSUMI, SALE
MOTILALOFS, BUY
MPHASIS, BUY
MRF, SALE
MRPL, SALE
MUTHOOTFIN, BUY
NATCOPHARM, BUY
NATIONALUM, BUY
NAUKRI, HOLD
NAVINFLUOR, BUY
NBCC, BUY
NBVENTURES, HOLD
NCC, HOLD
NESCO, HOLD
NESTLEIND, BUY
NETWORK18, SALE
NH, HOLD
NHPC, HOLD
NIACL, SALE
NIITTECH, BUY
NILKAMAL, HOLD
NLCINDIA, SALE
NMDC, BUY
NOCIL, HOLD
NTPC, HOLD
OBEROIRLTY, HOLD
OFSS, BUY
OIL, HOLD
OMAXE, SALE
ONGC, BUY
ORIENTBANK, SALE
ORIENTCEM, HOLD
ORIENTELEC, HOLD
PAGEIND, BUY
PARAGMILK, HOLD
PCJEWELLER, SALE
PEL, BUY
PERSISTENT, BUY
PETRONET, BUY
PFC, HOLD
PFIZER, BUY
PGHH, BUY
PGHL, HOLD
PHILIPCARB, BUY
PHOENIXLTD, HOLD
PIDILITIND, BUY
PIIND, BUY
PNB, SALE
PNBHOUSING, BUY
PNCINFRA, HOLD
POLYCAB, SALE
POWERGRID, HOLD
PRESTIGE, HOLD
PRSMJOHNSN, HOLD
PTC, HOLD
PVR, HOLD
QUESS, SALE
RADICO, BUY
RAIN, HOLD
RAJESHEXPO, SALE
RALLIS, BUY
RAMCOCEM, BUY
RATNAMANI, BUY
RAYMOND, HOLD
RBLBANK, HOLD
RCF, SALE
RCOM, SALE
RECLTD, BUY
REDINGTON, BUY
RELAXO, BUY
RELCAPITAL, SALE
RELIANCE, HOLD
RELINFRA, SALE
REPCOHOME, HOLD
RITES, BUY
RNAM, BUY
RPOWER, SALE
SADBHAV, HOLD
SAIL, SALE
SANOFI, BUY
SBILIFE, HOLD
SBIN, SALE
SCHAEFFLER, BUY
SCHNEIDER, HOLD
SCI, HOLD
SFL, SALE
SHANKARA, SALE
SHILPAMED, HOLD
SHK, HOLD
SHOPERSTOP, SALE
SHREECEM, BUY
SHRIRAMCIT, BUY
SIEMENS, BUY
SIS, HOLD
SJVN, BUY
SKFINDIA, BUY
SOBHA, HOLD
SOLARINDS, BUY
SOMANYCERA, SALE
SONATSOFTW, BUY
SOUTHBANK, HOLD
SPARC, SALE
SPICEJET, HOLD
SREINFRA, SALE
SRF, HOLD
SRTRANSFIN, HOLD
STAR, HOLD
STARCEMENT, SALE
STRTECH, SALE
SUDARSCHEM, HOLD
SUNDRMFAST, BUY
SUNPHARMA, BUY
SUNTECK, HOLD
SUNTV, BUY
SUPRAJIT, BUY
SUPREMEIND, BUY
SUVEN, BUY
SUZLON, SALE
SWANENERGY, HOLD
SYMPHONY, BUY
SYNGENE, HOLD
TAKE, HOLD
TATACHEM, BUY
TATACOFFEE, HOLD
TATAELXSI, BUY
TATAGLOBAL, HOLD
TATAINVEST, SALE
TATAMETALI, SALE
TATAMOTORS, HOLD
TATAPOWER, HOLD
TATASTEEL, HOLD
TCNSBRANDS, SALE
TCS, BUY
TEAMLEASE, SALE
TECHM, BUY
TEJASNET, SALE
THERMAX, BUY
THOMASCOOK, SALE
THYROCARE, BUY
TIINDIA, BUY
TIMETECHNO, HOLD
TIMKEN, HOLD
TITAN, BUY
TNPL, SALE
TORNTPHARM, SALE
TORNTPOWER, HOLD
TRENT, HOLD
TRIDENT, HOLD
TRITURBINE, BUY
TTKPRESTIG, BUY
TV18BRDCST, SALE
TVSMOTOR, BUY
TVSSRICHAK, HOLD
TVTODAY, HOLD
UBL, BUY
UCOBANK, SALE
UFLEX, HOLD
UJJIVAN, HOLD
ULTRACEMCO, HOLD
UNIONBANK, SALE
UNITEDBNK, SALE
UPL, SALE
VARROC, HOLD
VBL, HOLD
VEDL, HOLD
VENKEYS, HOLD
VGUARD, BUY
VINATIORGA, BUY
VIPIND, BUY
VMART, SALE
VOLTAS, BUY
VTL, BUY
WABAG, SALE
WABCOINDIA, HOLD
WELCORP, HOLD
WELSPUNIND, SALE
WESTLIFE, SALE
WHIRLPOOL, BUY
WIPRO, HOLD
WOCKPHARMA, SALE
YESBANK, HOLD
ZEEL, SALE
ZENSARTECH, BUY
ZYDUSWELL, HOLD
