PVR,HOLD,dp3, 7.45
QUESS,SALE,dp3, 0.0
RADICO,BUY,tp, ?
RAIN,HOLD,dp3, 8.72
RAJESHEXPO,SALE,dp3, 2.41
RALLIS,BUY,tp, ?
RAMCOCEM,BUY,tp, ?
RATNAMANI,BUY,tp, ?
RAYMOND,HOLD,roce3, 9.22
RBLBANK,HOLD,roe3, 11.96
RCF,SALE,roce3, 5.97
RCOM,SALE,rank, 629.0
RECLTD,BUY,tp, ?
REDINGTON,BUY,tp, ?
RELAXO,BUY,tp, ?
RELCAPITAL,SALE,pledge, 96.5
RELIANCE,HOLD,roce3, 11.01
RELINFRA,SALE,pledge, 98.11
REPCOHOME,HOLD,dp3, 6.79
RITES,BUY,tp, ?
RNAM,BUY,tp, ?
RPOWER,SALE,pledge, 83.29
SADBHAV,HOLD,pledge, 35.9
SAIL,SALE,roce3, 2.94
SANOFI,BUY,tp, ?
SBILIFE,HOLD,icr, missing data
SBIN,SALE,roe3, -0.33
SCHAEFFLER,BUY,tp, ?
SCHNEIDER,HOLD,rank, 506.0
SCI,HOLD,rank, 590.0
SFL,SALE,dp3, 0.0
SHANKARA,SALE,rank, 718.0
SHILPAMED,HOLD,roce3, 10.66
SHK,HOLD,rank, 517.0
SHOPERSTOP,SALE,icr, 2.99
SHREECEM,BUY,tp, ?
SHRIRAMCIT,BUY,tp, ?
SIEMENS,BUY,tp, ?
SIS,HOLD,dp3, 9.23
SJVN,BUY,tp, ?
SKFINDIA,BUY,tp, ?
SOBHA,HOLD,roce3, 10.88
SOLARINDS,BUY,tp, ?
SOMANYCERA,SALE,rank, 603.0
SONATSOFTW,BUY,tp, ?
SOUTHBANK,HOLD,roe3, 6.64
SPARC,SALE,roce3, -95.45
SPICEJET,HOLD,pledge, 39.34
SREINFRA,SALE,rank, 651.0
SRF,HOLD,d2e, 0.9
SRTRANSFIN,HOLD,dp3, 9.33
STAR,HOLD,dp3, 7.01
STARCEMENT,SALE,dp3, 4.23
STRTECH,SALE,d2e, 1.2
SUDARSCHEM,HOLD,rank, 509.0
SUNDRMFAST,BUY,tp, ?
SUNPHARMA,BUY,tp, ?
SUNTECK,HOLD,dp3, 9.3
SUNTV,BUY,tp, ?
SUPRAJIT,BUY,tp, ?
SUPREMEIND,BUY,tp, ?
SUVEN,BUY,tp, ?
SUZLON,SALE,pledge, 76.34
SWANENERGY,HOLD,pledge, 25.63
SYMPHONY,BUY,tp, ?
SYNGENE,HOLD,dp3, 5.51
TAKE,HOLD,rank, 534.0
TATACHEM,BUY,tp, ?
TATACOFFEE,HOLD,rank, 595.0
TATAELXSI,BUY,tp, ?
TATAGLOBAL,HOLD,roce3, 10.03
TATAINVEST,SALE,roe3, 3.04
TATAMETALI,SALE,rank, 618.0
TATAMOTORS,HOLD,roce3, 6.25
TATAPOWER,HOLD,roce3, 7.33
TATASTEEL,HOLD,roce3, 11.33
TCNSBRANDS,SALE,dp3, 0.0
TCS,BUY,tp, ?
TEAMLEASE,SALE,dp3, 0.0
TECHM,BUY,tp, ?
TEJASNET,SALE,rank, 606.0
THERMAX,BUY,tp, ?
THOMASCOOK,SALE,roce3, 5.08
THYROCARE,BUY,tp, ?
TIINDIA,BUY,tp, ?
TIMETECHNO,HOLD,rank, 526.0
TIMKEN,HOLD,dp3, 6.48
TITAN,BUY,tp, ?
TNPL,SALE,rank, 639.0
TORNTPHARM,SALE,icr, 2.92
TORNTPOWER,HOLD,roce3, 11.91
TRENT,HOLD,roce3, 10.43
TRIDENT,HOLD,roce3, 10.38
TRITURBINE,BUY,tp, ?
TTKPRESTIG,BUY,tp, ?
TV18BRDCST,SALE,roce3, 2.82
TVSMOTOR,BUY,tp, ?
TVSSRICHAK,HOLD,rank, 592.0
TVTODAY,HOLD,rank, 556.0
UBL,BUY,tp, ?
UCOBANK,SALE,roe3, -31.12
UFLEX,HOLD,rank, 583.0
UJJIVAN,HOLD,roe3, missing data
ULTRACEMCO,HOLD,roce3, 11.75
UNIONBANK,SALE,roe3, -10.46
UNITEDBNK,SALE,roce3, 3.01
UPL,SALE,icr, 2.56
VARROC,HOLD,dp3, 8.75
VBL,HOLD,icr, 3.55
VEDL,HOLD,icr, 3.14
VENKEYS,HOLD,dp3, 6.3
VGUARD,BUY,tp, ?
VINATIORGA,BUY,tp, ?
VIPIND,BUY,tp, ?
VMART,SALE,dp3, 4.94
VOLTAS,BUY,tp, ?
VTL,BUY,tp, ?
WABAG,SALE,rank, 601.0
WABCOINDIA,HOLD,dp3, 5.94
WELCORP,HOLD,roce3, 8.02
WELSPUNIND,SALE,d2e, 1.19
WESTLIFE,SALE,roce3, 2.59
WHIRLPOOL,BUY,tp, ?
WIPRO,HOLD,dp3, 6.03
WOCKPHARMA,SALE,roce3, -0.95
YESBANK,HOLD,pledge, 40.78
ZEEL,SALE,pledge, 63.98
ZENSARTECH,BUY,tp, ?
ZYDUSWELL,HOLD,roce3, 11.31
