rank, name, bse_code, nse_code, isin, industry, captype, reco_type, reco_cause, cmp, mcap, sales, np, d2e, icr, roe3, roce3, dp3, dp, dy, pe, pe5, peg, p2bv, p2sales, ev2ebitda, ev, opm, cr, sales5, profit5, pledge, piotski, filter, nw, reserves, roa3, 
332, Avanti Feeds, 512573, AVANTIFEED, INE871C01038, CONSUMER GOODS, Small Cap, BUY, tp, ?, 360.35, 4909.61, 3541.03, 280.92, 0.01, 162.16, 36.91, 57.8, 17.02, 19.91, 1.11, 17.48, 15.00, 0.59, 4.07, 1.39, 9.95, 4732.04, 11.63, 2.75, 26.11, 29.73, 0.00, 5.00, 1, 1205.96, 1192.34, 33.69, 
32, Bajaj Auto, 532977, BAJAJ-AUTO, INE917I01010, AUTOMOBILE, Large Cap, BUY, tp, ?, 2910.00, 84205.8, 30597.56, 4898.00, 0.01, 1388.85, 22.8, 31.65, 38.47, 35.23, 2.06, 18.09, 19.4, 2.66, 3.62, 2.75, 12.27, 83397.25, 16.14, 1.01, 8.48, 6.81, 0.00, 6.00, 1, 23233.81, 22944.44, 22.72, 
161, Balkrishna Inds, 502355, BALKRISIND, INE787D01026, AUTOMOBILE, Mid Cap, BUY, tp, ?, 757.8, 14649.58, 5075.59, 727.75, 0.18, 132.25, 18.3, 21.25, 17.17, 19.77, 1.06, 20.13, 18.06, 2.33, 3.13, 2.89, 10.82, 15423.57, 24.06, 1.88, 7.96, 8.64, 0.00, 8.00, 1, 4678.71, 4640.05, 13.85, 
157, Bata India, 500043, BATAINDIA, INE176A01028, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 1736.95, 22324.59, 3013.3, 347.84, 0.00, 15.88, 17.05, 26.29, 25.23, 24.37, 0.36, 64.18, 41.03, 6.36, 12.78, 7.41, 32.46, 21485.59, 19.53, 3.09, 7.23, 10.09, 0.00, 9.00, 0, 1746.53, 1682.27, 15.65, 
119, Bharat Electron, 500049, BEL, INE263A01024, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 107.15, 26108.09, 12084.06, 1952.29, 0.00, 224.77, 20.07, 27.51, 36.76, 42.98, 3.17, 13.37, 19.28, 0.85, 2.89, 2.16, 8.19, 25257.74, 24.00, 1.49, 14.00, 15.77, 0.00, 7.00, 1, 9018.91, 8775.25, 17.95, 
93, Berger Paints, 509480, BERGEPAINT, INE463A01038, CONSUMER GOODS, Large Cap, BUY, tp, ?, 433.45, 42093.62, 6295.38, 537.93, 0.21, 20.62, 22.33, 29.14, 36.95, 37.06, 0.44, 78.25, 50.82, 5.39, 17.02, 6.69, 40.85, 42375.19, 15.44, 1.73, 10.19, 14.51, 0.00, 5.00, 1, 2472.7, 2375.59, 18.5, 
290, Blue Star, 500067, BLUESTARCO, INE472A01039, CONSUMER GOODS, Small Cap, BUY, tp, ?, 798.7, 7692.59, 5302.46, 175.29, 0.4, 6.56, 20.42, 22.52, 58.53, 50.67, 1.25, 41.67, 44.01, 2.1, 8.81, 1.45, 21.59, 7939.21, 6.12, 1.31, 12.27, 19.84, 0.00, 7.00, 1, 873.06, 853.8, 13.56, 
52, Bosch, 500530, BOSCHLTD, INE323A01026, AUTOMOBILE, Large Cap, BUY, tp, ?, 13247.5, 39071.7, 11824.58, 1447.01, 0.00, 146.75, 16.97, 24.55, 23.51, 19.38, 0.79, 26.00, 45.41, 1.88, 4.28, 3.3, 14.56, 37819.00, 17.07, 2.06, 6.96, 13.8, 0.00, 7.00, 0, 9126.19, 9096.7, 16.3, 
40, Britannia Inds., 500825, BRITANNIA, INE216A01030, -, Large Cap, BUY, tp, ?, 2919.55, 70162.13, 11211.34, 1151.98, 0.04, 107.38, 32.85, 47.32, 30.28, 31.1, 0.51, 60.39, 45.9, 2.45, 16.5, 6.26, 35.64, 70208.33, 15.49, 1.56, 9.84, 24.66, 0.00, 5.00, 1, 4253.25, 4229.22, 31.3, 
457, Caplin Point Lab, 524742, CAPLIPOINT, INE475E01026, PHARMA, Small Cap, BUY, tp, ?, 418.35, 3164.51, 694.78, 189.38, 0.00, 4844.00, 44.34, 57.04, 10.58, 9.42, 0.53, 16.71, 20.39, 0.25, 5.00, 4.55, 11.26, 3012.06, 35.36, 3.96, 38.56, 65.81, 0.00, 4.00, 1, 529.12, 513.99, 45.48, 
280, Carborundum Uni., 513375, CARBORUNIV, INE120A01034, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 294.2, 5568.14, 2725.96, 238.08, 0.05, 42.35, 14.44, 20.13, 19.87, 21.01, 0.93, 23.39, 29.15, 1.05, 3.23, 2.04, 11.91, 5562.6, 15.63, 3.41, 4.89, 22.37, 0.1, 6.00, 0, 1724.11, 1705.19, 12.42, 
458, CARE Ratings, 534804, CARERATING, INE752H01013, FINANCIAL SERVICES, Small Cap, BUY, tp, ?, 510.75, 1504.73, 308.89, 125.66, 0.00, 782.96, 27.92, 40.37, 73.3, 64.29, 5.87, 11.97, 27.82, 3.56, 2.76, 4.87, 7.66, 1474.54, 51.4, 1.57, 6.25, 3.36, 0.00, 5.00, 1, 528.59, 499.13, 27.46, 
172, Castrol India, 500870, CASTROLIND, INE172A01027, ENERGY, Mid Cap, BUY, tp, ?, 135.35, 13387.77, 3976.1, 730.00, 0.00, 1617.71, 71.48, 110.9, 83.68, 69.82, 3.69, 18.34, 35.62, 2.45, 11.08, 3.37, 10.6, 12643.92, 27.97, 1.95, 4.19, 7.5, 0.00, 5.00, 1, 1207.8, 713.2, 71.54, 
401, CCL Products, 519600, CCL, INE421D01022, CONSUMER GOODS, Small Cap, BUY, tp, ?, 235.2, 3128.82, 1060.14, 150.1, 0.5, 16.79, 21.42, 22.32, 25.75, 30.07, 1.49, 20.84, 23.86, 1.09, 3.85, 2.95, 13.39, 3448.69, 23.96, 3.5, 8.57, 19.18, 0.00, 5.00, 1, 838.92, 812.31, 15.91, 
412, Cera Sanitary., 532443, CERA, INE739E01017, CONSTRUCTION, Small Cap, BUY, tp, ?, 2658.05, 3457.03, 1330.25, 113.62, 0.03, 48.04, 18.6, 28.13, 15.08, 14.69, 0.49, 30.43, 36.29, 1.77, 4.94, 2.6, 16.73, 3464.84, 14.32, 1.57, 15.31, 17.17, 0.00, 7.00, 1, 700.15, 693.65, 17.02, 
17, Coal India, 533278, COALINDIA, INE522F01014, METALS, Large Cap, BUY, tp, ?, 194.1, 119618.56, 100415.08, 18305.34, 0.08, 155.72, 44.83, 65.5, 108.29, 46.23, 6.75, 6.53, 18.91, 2.21, 4.52, 1.19, 2.86, 90704.27, 25.82, 1.58, 15.84, 2.95, 0.00, 7.00, 1, 26453.92, 20291.19, 13.98, 
335, Cochin Shipyard, 540678, COCHINSHIP, INE704P01017, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 335.65, 4415.15, 3038.87, 495.12, 0.04, 35.97, 15.14, 22.78, 36.08, 35.54, 3.87, 8.92, 13.96, 0.8, 1.33, 1.45, 2.41, 2015.3, 19.69, 2.31, 10.5, 11.1, 0.00, 4.00, 0, 3332.08, 3200.54, 14.47, 
85, Colgate-Palm., 500830, COLPAL, INE259A01022, CONSUMER GOODS, Large Cap, BUY, tp, ?, 1495.85, 40684.97, 4505.99, 755.17, 0.06, 234.58, 49.89, 72.59, 74.9, 80.66, 1.54, 53.7, 45.15, 5.99, 28.12, 9.03, 31.1, 40368.76, 27.84, 0.94, 4.51, 8.96, 0.00, 8.00, 1, 1446.75, 1419.55, 48.6, 
90, Container Corpn., 531344, CONCOR, INE111A01025, SERVICES, Large Cap, BUY, tp, ?, 640.2, 39007.02, 6952.57, 1190.87, 0.07, 140.23, 11.29, 15.23, 40.54, 42.86, 1.34, 32.76, 26.42, 7.65, 3.76, 5.61, 18.62, 39537.25, 25.79, 3.11, 7.36, 4.28, 0.00, 5.00, 0, 10367.87, 10063.22, 11.00, 
203, CRISIL, 500092, CRISIL, INE007A01025, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 1348.85, 9752.21, 1724.04, 347.25, 0.00, 436.4, 30.73, 43.81, 63.64, 59.57, 2.22, 28.08, 51.71, 3.77, 8.49, 5.66, 18.34, 9548.27, 25.71, 1.84, 9.5, 7.44, 0.00, 6.00, 1, 1148.64, 1141.41, 30.07, 
130, Cummins India, 500480, CUMMINSIND, INE298A01020, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 563.25, 15613.29, 5674.09, 681.08, 0.07, 55.45, 18.27, 23.11, 58.91, 65.22, 3.02, 22.92, 31.74, 5.94, 3.78, 2.75, 13.79, 15184.52, 14.11, 2.38, 7.31, 3.86, 0.00, 7.00, 1, 4130.45, 4075.01, 17.00, 
285, Cyient, 532175, CYIENT, INE136B01020, IT, Small Cap, BUY, tp, ?, 463.4, 5096.07, 4626.5, 486.5, 0.14, 17.85, 18.83, 22.97, 35.03, 34.61, 3.25, 10.41, 16.05, 0.83, 1.99, 1.1, 5.68, 4493.97, 13.95, 3.27, 15.92, 12.56, 0.00, 5.00, 1, 2563.86, 2508.9, 15.95, 
39, Dabur India, 500096, DABUR, INE016A01026, CONSUMER GOODS, Large Cap, BUY, tp, ?, 439.65, 77688.96, 8725.66, 1476.23, 0.12, 32.04, 26.79, 29.15, 48.67, 33.68, 0.63, 50.46, 41.04, 4.72, 13.79, 8.9, 37.03, 78060.17, 20.76, 1.4, 3.82, 10.69, 0.00, 7.00, 1, 5631.76, 5455.05, 22.56, 
278, DCM Shriram, 523367, DCMSHRIRAM, INE499A01024, CONSUMER GOODS, Small Cap, BUY, tp, ?, 396.15, 6294.63, 7605.69, 908.23, 0.46, 10.91, 24.98, 25.2, 18.04, 16.97, 2.44, 6.93, 8.16, 0.23, 1.79, 0.83, 5.05, 7488.77, 18.16, 2.00, 4.68, 30.51, 0.00, 6.00, 1, 3532.99, 3501.8, 17.07, 
408, Deepak Nitrite, 506401, DEEPAKNTR, INE288B01029, -, Small Cap, BUY, tp, ?, 290.55, 3962.9, 1921.25, 223.53, 0.31, 9.95, 11.44, 13.69, 18.39, 19.76, 0.69, 17.73, 20.33, 0.61, 3.75, 2.06, 9.75, 4284.93, 22.3, 1.45, 7.13, 28.92, 0.00, 8.00, 0, 1057.85, 1030.57, 6.98, 
300, Delta Corp, 532848, DELTACORP, INE124G01033, SERVICES, Small Cap, BUY, tp, ?, 164.65, 4461.00, 797.96, 197.83, 0.00, 119.08, 9.79, 14.55, 12.38, 8.95, 0.39, 22.86, 48.1, 0.63, 2.3, 5.59, 12.66, 4387.41, 39.51, 2.6, 7.39, 36.5, 6.08, 6.00, 0, 1942.27, 1915.18, 8.59, 
68, Divi's Lab., 532488, DIVISLAB, INE361B01024, PHARMA, Large Cap, BUY, tp, ?, 1622.55, 43073.6, 5024.27, 1333.84, 0.02, 579.91, 19.02, 25.75, 29.2, 31.87, 0.99, 32.29, 26.78, 3.04, 6.18, 8.57, 21.38, 43074.00, 36.37, 3.4, 14.18, 10.61, 0.00, 7.00, 1, 6973.31, 6920.22, 18.85, 
165, Edelweiss.Fin., 532922, EDELWEISS, INE532F01054, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 96.85, 9043.78, 10874.88, 895.03, 6.06, 1.32, 14.62, 11.32, 14.62, 12.49, 1.37, 10.1, 17.28, 0.29, 1.18, 0.83, 7.58, 49125.99, 58.86, 2.66, 33.67, 35.05, 17.02, 6.00, 0, 7676.98, 7588.2, 1.7, 
50, Eicher Motors, 505200, EICHERMOT, INE066A01013, AUTOMOBILE, Large Cap, BUY, tp, ?, 17826.85, 48648.98, 9631.23, 2078.32, 0.02, 295.31, 31.25, 46.59, 15.7, 15.48, 0.7, 23.41, 43.36, 0.55, 5.45, 5.05, 13.45, 45870.45, 27.93, 1.8, 7.55, 42.52, 0.00, 4.00, 1, 8918.73, 8891.44, 31.18, 
160, Endurance Tech., 540153, ENDURANCE, INE913H01037, AUTOMOBILE, Mid Cap, BUY, tp, ?, 977.65, 13751.9, 7559.23, 536.01, 0.28, 32.87, 20.9, 23.02, 13.56, 15.63, 0.56, 25.03, 37.08, 1.25, 5.36, 1.82, 11.35, 13944.5, 15.86, 1.52, 12.26, 19.96, 0.00, 8.00, 1, 2564.68, 2424.02, 14.74, 
393, Essel Propack, 500135, ESSELPACK, INE255A01020, -, Small Cap, BUY, tp, ?, 115.55, 3644.51, 2701.4, 190.44, 0.46, 5.34, 15.42, 17.15, 20.76, 20.47, 1.08, 20.19, 16.62, 1.69, 2.63, 1.35, 7.88, 4142.61, 18.35, 2.34, 4.96, 11.92, 0.00, 6.00, 0, 1387.98, 1324.9, 9.26, 
138, Exide Inds., 500086, EXIDEIND, INE302A01020, AUTOMOBILE, Mid Cap, BUY, tp, ?, 193.1, 16413.5, 10595.1, 858.42, 0.00, 171.25, 13.85, 20.07, 28.03, 24.17, 1.24, 21.02, 25.11, 2.19, 2.74, 1.55, 11.05, 16339.95, 13.46, 1.5, 12.37, 9.6, 0.00, 6.00, 0, 5986.99, 5901.99, 13.55, 
286, Finolex Cables, 500144, FINCABLES, INE235A01022, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 382.25, 5846.11, 3094.35, 335.32, 0.00, 607.99, 16.77, 23.97, 17.2, 20.00, 1.18, 17.43, 20.59, 1.36, 2.4, 1.89, 10.51, 5797.86, 13.82, 2.84, 5.46, 12.8, 0.00, 5.00, 0, 2439.67, 2409.08, 16.77, 
304, Finolex Inds., 500940, FINPIPE, INE183A01016, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 589.00, 7309.49, 3207.28, 318.99, 0.04, 63.53, 14.14, 20.6, 39.19, 35.48, 1.7, 22.91, 30.07, 1.77, 2.89, 2.28, 12.99, 7370.95, 16.21, 1.41, 4.73, 12.93, 0.02, 8.00, 0, 2528.42, 2404.33, 13.29, 
418, Firstsour.Solu., 532809, FSL, INE684F01012, IT, Small Cap, BUY, tp, ?, 46.15, 3199.12, 3886.95, 380.36, 0.2, 13.09, 14.66, 14.13, 12.19, 36.58, 4.32, 8.41, 9.32, 0.57, 1.18, 0.82, 6.46, 3708.51, 14.74, 2.04, 4.26, 14.66, 0.00, 7.00, 0, 2722.67, 2029.66, 10.72, 
37, GAIL (India), 532155, GAIL, INE129A01019, ENERGY, Large Cap, BUY, tp, ?, 132.9, 59939.79, 76138.31, 6053.95, 0.02, 80.86, 12.32, 17.69, 41.72, 26.7, 2.68, 9.39, 16.02, 1.11, 1.36, 0.79, 5.36, 59726.22, 12.54, 0.72, 5.55, 8.49, 0.00, 6.00, 0, 44092.94, 41837.87, 10.58, 
123, Gillette India, 507815, GILLETTE, INE322A01010, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 7038.15, 22937.33, 1861.65, 252.92, 0.00, 44.19, 32.6, 49.58, 101.35, 32.73, 0.33, 90.69, 95.95, 4.21, 29.47, 12.32, 57.53, 22700.7, 20.47, 1.69, 3.27, 21.52, 0.00, 8.00, 1, 778.36, 745.77, 32.3, 
345, G N F C, 500670, GNFC, INE113A01013, CHEMICALS, Small Cap, BUY, tp, ?, 200.15, 3110.73, 5501.2, 622.08, 0.04, 159.08, 14.66, 16.45, 14.78, 14.68, 3.5, 5.00, 6.76, 0.24, 0.62, 0.57, 3.52, 3083.75, 11.86, 1.92, 4.00, 20.61, 0.00, 6.00, 0, 4997.1, 4841.68, 9.58, 
233, Godrej Agrovet, 540743, GODREJAGRO, INE850D01014, CONSUMER GOODS, Mid Cap, BUY, tp, ?, 478.4, 9187.28, 6088.96, 324.8, 0.24, 11.64, 18.79, 21.8, 32.48, 26.26, 0.94, 36.96, 41.55, 3.83, 5.57, 1.51, 18.07, 9555.38, 7.51, 1.06, 13.6, 9.64, 0.00, 5.00, 1, 1648.98, 1456.95, 10.43, 
41, Godrej Consumer, 532424, GODREJCP, INE102D01028, CONSUMER GOODS, Large Cap, BUY, tp, ?, 680.00, 69517.11, 10184.49, 2344.09, 0.47, 8.87, 28.29, 21.1, 44.42, 52.39, 1.76, 33.34, 42.8, 1.43, 9.57, 6.83, 32.31, 72004.44, 20.9, 1.45, 6.3, 23.34, 0.00, 6.00, 1, 7266.92, 7164.7, 16.19, 
362, Guj Pipavav Port, 533248, GPPL, INE517F01014, SERVICES, Small Cap, BUY, tp, ?, 84.25, 4072.98, 703.58, 214.96, 0.00, 171.76, 10.85, 16.19, 79.54, 82.28, 4.15, 18.95, 31.97, 5.9, 2.02, 5.79, 7.85, 3539.27, 56.59, 1.79, 6.27, 3.21, 0.00, 8.00, 0, 2021.01, 1537.57, 10.45, 
240, Graphite India, 509488, GRAPHITE, INE371A01025, INDUSTRIAL MANUFACTURING, Mid Cap, BUY, tp, ?, 283.7, 5543.5, 6860.00, 2659.00, 0.07, 270.2, 55.56, 74.55, 39.77, 31.65, 19.39, 2.04, 18.92, 0.02, 1.04, 0.81, 1.34, 5495.24, 56.53, 2.93, 31.36, 97.22, 0.00, 8.00, 1, 5350.5, 5311.5, 40.75, 
425, Greaves Cotton, 501455, GREAVESCOT, INE224A01026, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 141.8, 3462.85, 2006.5, 167.63, 0.00, 76.66, 17.67, 25.38, 66.11, 57.7, 2.82, 19.52, 23.98, 2.78, 3.57, 1.73, 10.9, 3420.49, 13.58, 1.26, 2.95, 7.01, 0.00, 5.00, 0, 969.16, 920.32, 17.56, 
296, Grindwell Norton, 506076, GRINDWELL, INE536A01023, -, Small Cap, BUY, tp, ?, 599.75, 6640.43, 1628.3, 166.7, 0.00, 114.89, 14.7, 22.53, 37.93, 39.72, 1.00, 39.83, 34.72, 2.98, 6.05, 4.08, 20.63, 6406.31, 16.74, 2.61, 10.6, 13.36, 0.00, 6.00, 0, 1097.92, 1042.56, 14.1, 
134, GRUH Finance, 511288, GRUH, INE580B01029, FINANCIAL SERVICES, Mid Cap, BUY, tp, ?, 260.35, 19111.37, 2109.67, 447.73, 8.73, 1.44, 28.44, 11.12, 27.4, 32.81, 0.77, 42.69, 43.86, 2.09, 10.1, 9.06, 17.2, 34480.4, 94.99, 5.37, 19.1, 20.42, 0.00, 5.00, 0, 1891.44, 1744.7, 2.61, 
220, Guj.St.Petronet, 532702, GSPL, INE246F01010, ENERGY, Mid Cap, BUY, tp, ?, 210.15, 11853.53, 1998.41, 856.35, 0.41, 7.07, 13.55, 16.44, 15.33, 14.19, 0.95, 13.84, 15.48, 1.01, 2.06, 5.93, 8.46, 14061.22, 80.1, 0.69, 12.31, 13.66, 0.00, 5.00, 0, 5743.91, 5179.9, 9.79, 
58, Havells India, 517354, HAVELLS, INE176B01034, CONSUMER GOODS, Large Cap, BUY, tp, ?, 709.55, 44403.84, 10173.25, 755.03, 0.02, 62.68, 19.49, 27.54, 37.08, 35.56, 0.63, 58.81, 43.35, 5.64, 10.47, 4.36, 33.41, 43213.51, 11.36, 1.36, 16.63, 10.43, 0.00, 5.00, 1, 4242.56, 4179.98, 18.61, 
19, HCL Technologies, 532281, HCLTECH, INE860A01027, IT, Large Cap, BUY, tp, ?, 1059.55, 143717.49, 62976.00, 9919.00, 0.1, 52.81, 26.21, 31.79, 23.19, 10.71, 0.75, 14.49, 15.45, 0.72, 3.47, 2.28, 9.3, 140040.49, 22.64, 2.56, 18.76, 20.01, 0.00, 5.00, 1, 41366.26, 41095.00, 24.56, 
6, H D F C, 500010, HDFC, INE001A01036, FINANCIAL SERVICES, Large Cap, BUY, tp, ?, 1995.65, 344587.91, 95693.52, 16231.76, 3.46, 1.75, 16.84, 10.76, 25.38, 22.27, 1.05, 21.23, 21.69, 1.38, 3.08, 3.6, 14.04, 726806.47, 45.85, 0.13, 18.62, 15.35, 0.00, 6.00, 0, 111733.14, 111388.85, 2.98, 
3, HDFC Bank, 500180, HDFCBANK, INE040A01026, FINANCIAL SERVICES, Large Cap, BUY, tp, ?, 1248.8, 683189.00, 103814.66, 22044.86, 6.97, 1.64, 17.32, 7.51, 19.35, 19.38, 0.6, 30.99, 25.72, 1.55, 4.58, 6.58, 18.92, 1642067.41, 65.53, 2.37, 19.2, 19.98, 0.00, 4.00, 0, 149208.25, 148661.69, 1.92, 
254, HEG, 509631, HEG, INE545A01016, INDUSTRIAL MANUFACTURING, Small Cap, BUY, tp, ?, 967.25, 3733.15, 5821.95, 2514.54, 0.18, 161.38, 80.96, 94.24, 13.23, 10.12, 8.27, 1.48, 11.97, 0.02, 1.00, 0.64, 0.97, 3842.19, 65.58, 4.87, 35.06, 96.11, 0.00, 7.00, 1, 3719.00, 3680.4, 49.52, 
385, Heidelberg Cem., 500292, HEIDELBERG, INE578A01017, CEMENT & CEMENT PRODUCTS, Small Cap, BUY, tp, ?, 185.55, 4204.81, 2182.37, 248.57, 0.44, 6.29, 14.09, 17.49, 47.7, 41.08, 2.16, 16.92, 33.47, 0.34, 3.59, 1.93, 7.81, 4383.96, 23.9, 0.97, 12.03, 49.4, 0.00, 9.00, 0, 1171.19, 944.57, 8.09, 
53, Hero Motocorp, 500182, HEROMOTOCO, INE158A01026, AUTOMOBILE, Large Cap, BUY, tp, ?, 2688.35, 53693.58, 32870.99, 3733.04, 0.00, 443.39, 30.94, 44.18, 50.97, 51.34, 3.24, 16.57, 20.36, 1.43, 4.18, 1.63, 9.73, 53557.12, 14.33, 1.06, 5.89, 11.55, 0.00, 5.00, 1, 12857.12, 12817.17, 31.02, 
213, Hexaware Tech., 532129, HEXAWARE, INE093A01033, IT, Mid Cap, BUY, tp, ?, 376.25, 11224.96, 5034.4, 585.41, 0.07, 717.2, 26.53, 34.14, 35.57, 43.32, 2.25, 18.74, 18.01, 2.08, 4.42, 2.23, 13.12, 10570.31, 15.78, 1.42, 15.25, 9.01, 0.00, 5.00, 1, 2539.82, 2480.22, 26.13, 
