isin_code, comp_name, hold_qty, hold_price, hold_units_1k, last_txn_type, last_txn_date
INE123W01016,Sbi life insurance company,2,1436,1,Buy,03-Oct-2017
INE126A01031,Eid parry,6,1980,2,Buy,01-Feb-2018
INE127D01025,Hdfc asset management co,13,14300,14,Buy,02-Aug-2018
INE128A01029,Eveready industries,6,1962,2,Buy,01-Nov-2017
INE129A01019,Gail,6,2311,2,Buy,10-Apr-2018
INE131B01039,Relaxo footwears,4,2301,2,Buy,02-Jan-2018
INE133A01011,Akzo nobel,2,3663,4,Buy,03-Jul-2018
INE134E01011,Power finance corporation,17,2219,2,Buy,01-Nov-2017
INE139A01034,National aluminium co,34,2916,3,Buy,01-Sep-2017
INE140A01024,Piramal enterprises,2,5400,5,Buy,04-Apr-2018
INE148I01020,Indiabulls housing finance,1,1243,1,Buy,03-Oct-2017
INE149A01033,Ti financial holdings,4,2610,3,Buy,03-Jul-2018
INE154A01025,Itc,40,5625,6,Buy,02-Nov-2017
INE155A01022,Tata motors,8,-2241,-2,Buy,08-Sep-2017
INE158A01026,Hero motocorp,2,7388,7,Buy,03-Jul-2018
INE159A01016,Glaxosmithkline pharmaceutical,1,3329,3,Buy,24-Aug-2018
INE169A01031,Coromandel international limit,5,2277,2,Buy,01-Nov-2017
INE172A01027,Castrol,12,2426,2,Buy,04-Jan-2018
INE175A01038,Jain irrigation systems,10,1150,1,Buy,29-Nov-2017
INE176A01028,Bata,4,2564,3,Buy,06-Dec-2017
INE176B01034,Havells,5,2504,3,Buy,03-Jul-2018
INE179A01014,Procter gamble hygiene hea,1,7950,8,Buy,09-Jun-2017
INE182A01018,Pfizer,1,2507,3,Buy,19-Sep-2017
INE191H01014,Pvr,2,2849,3,Buy,02-Jan-2018
INE192A01025,Tata global beverages,12,2372,2,Buy,01-Nov-2017
INE192R01011,Avenue supermarts dmart,1,1231,1,Buy,16-Oct-2017
INE195A01028,Supreme industries,2,2343,2,Buy,04-Apr-2018
INE196A01026,Marico,7,2229,2,Buy,02-Jan-2018
INE200M01013,Varun beverages,4,2468,2,Buy,02-Jan-2018
INE202B01012,Dewan housing finance  l,2,1310,1,Buy,24-Aug-2018
INE203G01027,Indraprashtha gas,4,1108,1,Buy,07-Sep-2018
INE205A01025,Vedanta,20,5120,5,Buy,25-Jan-2017
INE208C01025,Aegis logistics,4,1072,1,Buy,02-Feb-2018
INE213A01029,Oil natural gas corporatio,25,3147,3,Buy,06-Dec-2017
INE214T01019,Larsen toubro infotech,1,1658,2,Buy,28-May-2018
INE216A01022,Britannia industries,2,8709,9,Buy,04-Apr-2018
INE217B01036,Kajaria ceramics,3,2090,2,Buy,01-Nov-2017
INE220J01025,Future consumer,20,1160,1,Buy,02-Feb-2018
INE226A01021,Voltas,4,2126,2,Buy,01-Nov-2017
INE230A01023,Eih,15,2101,2,Buy,02-Jan-2018
INE233A01035,Godrej industries,2,1220,1,Buy,16-Oct-2017
INE233B01017,Blue dart express,1,4426,4,Buy,30-May-2017
INE237A01028,Kotak mahindra bank,2,2050,2,Buy,04-Apr-2018
INE238A01034,Axis bank,4,2010,2,Buy,04-Apr-2018
INE239A01016,Nestle,1,6634,7,Buy,09-Jun-2017
INE242A01010,Indian oil corporation,12,2040,2,Buy,23-Mar-2018
INE245A01021,Tata power co,25,2152,2,Buy,04-Apr-2018
INE255A01020,Essel propack,8,1052,1,Buy,26-Jun-2018
INE256A01028,Zee entertainment enterprises,10,6059,6,Buy,06-Dec-2017
INE257A01026,Bharat heavy electricals,27,2743,3,Buy,04-Apr-2018
INE259A01022,Colgate palmolive,2,2166,2,Buy,04-Apr-2018
INE260B01028,Godfrey phillips,2,1454,1,Buy,29-Jun-2018
INE263A01024,Bharat electronics,13,7349,7,Buy,04-Apr-2018
INE264A01014,Glaxosmithkline consumer healt,1,5069,5,Buy,19-Sep-2017
INE267A01025,Hindustan zinc,8,2063,2,Buy,02-Jan-2018
INE271C01023,Dlf,10,8598,9,Buy,02-Jan-2018
INE274B01011,Monsanto,2,5499,5,Buy,04-Apr-2018
INE274F01020,Westlife development,4,952,1,Buy,08-Sep-2017
INE274J01014,Oil,10,2196,2,Buy,06-Apr-2018
INE275B01026,Huhtamaki ppl,3,948,1,Buy,28-May-2018
INE280A01028,Titan company,6,3774,4,Buy,04-Apr-2018
INE296A01024,Bajaj finance,1,2933,3,Buy,24-Aug-2018
INE298A01020,Cummins,3,2680,3,Buy,06-Dec-2017
INE299U01018,Crompton greaves cons elec,4,1028,1,Buy,28-Nov-2017
INE302A01020,Exide industries,5,1110,1,Buy,16-Jun-2017
INE310A01015,Nilkamal,2,3549,4,Buy,03-Jul-2018
INE318A01026,Pidilite industries,3,2530,3,Buy,04-Apr-2018
INE322A01010,Gillette,1,4863,5,Buy,12-Jun-2017
INE323I01011,Puravankara,23,4656,5,Buy,04-Apr-2018
INE326A01037,Lupin,6,8947,9,Buy,28-Feb-2017
INE332A01027,Thomas cook,10,2280,2,Buy,01-Feb-2018
INE335K01011,Coffee day enterprises,8,2216,2,Buy,04-Apr-2018
INE342J01019,Wabco,1,6865,7,Buy,07-Sep-2018
INE343B01030,Rajesh exports,4,3622,4,Buy,04-Apr-2018
INE347G01014,Petronet lng,9,2038,2,Buy,01-Feb-2018
INE348B01021,Century plyboards,7,2063,2,Buy,01-Feb-2018
INE355A01028,Somany ceramics,1,858,1,Buy,13-Nov-2017
INE358A01014,Abbott,1,4089,4,Buy,19-Sep-2017
INE366I01010,Vrl logistics,6,2304,2,Buy,01-Feb-2018
INE373A01013,Basf,2,3378,3,Buy,04-Apr-2018
INE376G01013,Biocon,2,1216,1,Buy,24-Aug-2018
INE397D01024,Bharti airtel,27,9364,9,Buy,27-Nov-2017
INE398A01010,Venkys,1,2089,2,Buy,22-Sep-2017
INE406A01037,Aurobindo pharma,3,2147,2,Buy,02-Jan-2018
INE410P01011,Narayana hrudayalaya,7,2201,2,Buy,02-Jan-2018
INE414G01012,Muthoot finance,4,1738,2,Buy,01-Nov-2017
INE415A01038,Hsil,6,2379,2,Buy,04-Apr-2018
INE418H01029,Allcargo logistics,5,950,1,Buy,02-Feb-2018
INE423A01024,Adani enterprises,17,2188,2,Buy,06-Dec-2017
INE437A01024,Apollo hospitals enterprises l,6,7210,7,Buy,06-Dec-2017
INE438A01022,Apollo tyres,9,2264,2,Buy,01-Feb-2018
INE439A01020,Asahi glass,7,3348,3,Buy,06-Dec-2017
INE452O01016,Future lifestyle fashions,6,2160,2,Buy,01-Feb-2018
INE455I01029,Kaveri seed company,2,1000,1,Buy,02-Feb-2018
INE461C01038,Greenply industries,5,1145,1,Buy,28-Jun-2018
INE462A01022,Bayer cropscience,1,4717,5,Buy,09-Jun-2017
INE463A01038,Berger paints,8,2036,2,Buy,01-Feb-2018
INE467B01029,Tata consultancy services,16,16995,17,Buy,05-Jun-2018
INE470Y01017,The new assurance co,4,1478,1,Buy,09-Jul-2018
INE472A01039,Blue star,1,732,1,Buy,28-Nov-2017
INE473B01035,Hatsun agro products,2,1482,1,Buy,05-Sep-2018
INE481G01011,Ultratech cement,3,12123,12,Buy,25-Jan-2017
INE481Y01014,General insurance corp,4,1600,2,Buy,24-Jul-2018
INE482A01020,Ceat,2,3154,3,Buy,03-Jul-2018
INE484J01027,Godrej properties,3,1753,2,Buy,03-Jul-2018
INE493A01027,Tata coffee,15,2206,2,Buy,01-Nov-2017
INE494B01023,Tvs motor company,6,3426,3,Buy,03-Jul-2018
INE498B01024,Shoppers stop,5,2060,2,Buy,01-Feb-2018
INE498L01015,Lt finance holdings,6,1032,1,Buy,28-May-2018
INE502K01016,Talwalkars better value fitnes,8,2356,2,Buy,01-Feb-2018
INE510A01028,Engineers,17,2330,2,Buy,03-Jul-2018
INE513A01014,Schaeffler,1,5538,6,Buy,07-Sep-2018
INE516A01017,Uflex,4,1136,1,Buy,28-May-2018
INE522D01027,Manappuram finance,10,1210,1,Buy,18-Apr-2018
INE522F01014,Coal,31,10081,10,Buy,27-Nov-2017
INE530B01024,Iifl holdings,2,1378,1,Buy,07-Sep-2018
INE531A01024,Kansai nerolac paints,5,2358,2,Buy,02-Jan-2018
INE536A01023,Grindwell norton,3,1293,1,Buy,17-Oct-2017
INE536H01010,Mahindra cie automotive,4,948,1,Buy,28-May-2018
INE544R01013,Greenlam industries,2,2221,2,Buy,01-Feb-2018
INE545U01014,Bandhan bank,2,1356,1,Buy,23-Aug-2018
INE548C01032,Emami,4,2413,2,Buy,29-Jun-2018
INE559A01017,Ifb industries,1,1360,1,Buy,28-Nov-2017
INE565L01011,Zee learn,47,2090,2,Buy,01-Nov-2017
INE573A01042,Jk tyre industries,14,2387,2,Buy,01-Feb-2018
INE584A01023,Nmdc,17,2257,2,Buy,01-Feb-2018
INE585B01010,Maruti suzuki,1,11310,11,Buy,09-Jun-2017
INE589A01014,Nlc,12,1116,1,Buy,03-Oct-2017
INE600L01024,Dr lal pathlabs,2,1723,2,Buy,03-Jul-2018
INE603J01030,P i industries,1,884,1,Buy,02-Feb-2018
INE613A01020,Rallis,10,2410,2,Buy,04-Apr-2018
INE615P01015,Quess corp,1,1007,1,Buy,01-Feb-2018
INE627Z01019,Talwalkars lifestyles,11,435,0,Buy,04-Jul-2018
INE628A01036,Upl,7,5159,5,Buy,25-Jan-2017
INE640A01023,Skf,2,3544,4,Buy,03-Jul-2018
INE646L01027,Interglobe aviation,2,2309,2,Buy,01-Nov-2017
INE647O01011,Aditya birla fashion rtl,13,2094,2,Buy,04-Apr-2018
INE660A01013,Sundaram finance,1,1571,2,Buy,07-Sep-2018
INE663F01024,Info edge,3,3371,3,Buy,03-Jul-2018
INE669C01036,Tech mahindra,6,2768,3,Buy,01-Feb-2018
INE669E01016,Idea cellular,41,3473,3,Buy,28-Jun-2018
INE671H01015,Sobha,6,2481,2,Buy,03-Jul-2018
INE672A01018,Tata investment corporation lt,2,1654,2,Buy,24-Aug-2018
INE686F01025,United breweries,2,1856,2,Buy,01-Nov-2017
INE690A01010,Ttk prestige,1,6364,6,Buy,18-Jul-2017
INE710A01016,Vst industries,1,2960,3,Buy,29-Jun-2018
INE716A01013,Whirlpool,2,2697,3,Buy,04-Apr-2018
INE721A01013,Shriram transport finance co,1,1062,1,Buy,03-Oct-2017
INE725G01011,Icra,1,4140,4,Buy,22-Jun-2017
INE726G01019,Icici prudential life ins co,6,2436,2,Buy,01-Nov-2017
INE733E01010,Ntpc,42,7041,7,Buy,06-Dec-2017
INE736A01011,Central depository ser ind,7,2103,2,Buy,03-Jul-2018
INE739E01017,Cera sanitaryware,1,3037,3,Buy,14-Jun-2017
INE742F01042,Adani port special econo,6,2217,2,Buy,03-Jul-2018
INE745G01035,Multi commodity exchange,1,817,1,Buy,26-Jul-2018
INE752E01010,Power grid corporationindi,29,5106,5,Buy,27-Feb-2017
INE752H01013,Care ratings,2,2842,3,Buy,01-Feb-2018
INE752P01024,Future retail,5,2286,2,Buy,01-Feb-2018
INE763G01038,Icici securities isec,4,1240,1,Buy,26-Jul-2018
INE764D01017,Vsttillers tractors,1,2034,2,Buy,12-Jun-2017
INE765G01017,Icici lombard gen insurance co,4,2750,3,Buy,03-Jul-2018
INE766P01016,Mahindra logistics,2,952,1,Buy,02-Feb-2018
INE774D01024,Mahindra mahindra financial,3,1275,1,Buy,03-Oct-2017
INE775A01035,Motherson sumi systems,6,2085,2,Buy,06-Dec-2017
INE782A01015,Johnson controls hitachi air i,1,2065,2,Buy,17-Oct-2017
INE785M01013,Pc jeweller,14,2370,2,Buy,03-Jul-2018
INE787D01026,Balkrishna industries,2,1702,2,Buy,02-Jan-2018
INE791I01019,Brigade enterprises,9,2122,2,Buy,03-Jul-2018
INE795G01014,Hdfc standard life ins co,3,1038,1,Buy,17-Nov-2017
INE797F01012,Jubilant foodworks,4,3017,3,Buy,03-Jul-2018
INE811K01011,Prestige estates projects limi,9,2373,2,Buy,03-Jul-2018
INE836F01026,Dish tv,28,2139,2,Buy,01-Feb-2018
INE848E01016,Nhpc,40,1080,1,Buy,03-Oct-2017
INE849A01020,Trent,7,2039,2,Buy,04-Apr-2018
INE850D01014,Godrej agrovet,2,1182,1,Buy,16-Oct-2017
INE854D01024,United spirits,25,12580,13,Buy,06-Dec-2017
INE860A01027,Hcl technologies,7,2359,2,Buy,03-Jul-2018
INE868B01028,Ncc,21,2244,2,Buy,04-Apr-2018
INE871C01038,Avanti feeds,6,4050,4,Buy,06-Jul-2018
INE885A01032,Amara raja batteries,3,2384,2,Buy,03-Jul-2018
INE913H01037,Endurance technologies,1,1469,1,Buy,07-Sep-2018
INE916U01025,Sheela foam,1,1608,2,Buy,02-Feb-2018
INE917I01010,Bajaj auto,2,5594,6,Buy,04-Apr-2018
INE918I01018,Bajaj finserv,1,5619,6,Buy,19-Sep-2017
INE931S01010,Adani transmission,7,1169,1,Buy,26-Jul-2018
INE935A01035,Glenmark pharmaceuticals,4,2384,2,Buy,03-Jul-2018
INE935Q01015,Future supply chain sol,2,1344,1,Buy,02-Feb-2018
INE951I01027,V guard industries,4,984,1,Buy,19-Apr-2018
INE974X01010,Tube investments,5,1195,1,Buy,04-Apr-2018
INE998I01010,Mahindra holidays resorts in,6,2187,2,Buy,02-Jan-2018
INE999A01015,Ksb pumps,3,2197,2,Buy,04-Apr-2018
INF109KA1962,Icici prudential nifty 100 etf,50,5679,6,Buy,21-Mar-2018
INF109KB15Y7,Icici prud mf bharat 22 etf,278,10008,10,Buy,27-Nov-2017
INF109KB1XT3,Icici pru midcap select etf,66,4819,5,Buy,07-Mar-2018
INF174K014P6,Kotak mahindra mf nifty etf,104,10545,11,Buy,15-Mar-2018
INF179K01CN1,Hdfc gold etf,50,139805,140,Buy,19-Apr-2018
INF200K01099,Sbi etf gold,46,125955,126,Buy,07-Sep-2018
INF373I01049,Kotak gold etf,330,80299,80,Buy,20-Dec-2017
INF457M01133,Cpse etf,680,11707,12,Buy,09-Oct-2017
INF732E01102,Reliance etf gold bees,60,154763,155,Buy,17-Oct-2017
INF789F01059,Uti gold etf,48,122182,122,Buy,10-Sep-2018
