stock_name, isin, bat, der, roce3, roe3, dpr2, sales2, profit5, icr, pledge, low_3y, low_5y, reco_type, reco_cause, 
 roce3 sales2 profit5,  roce3 sales2 profit5, 739,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5,  roce3 sales2 profit5, 
 dpr2,  dpr2, 1428,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 profit5,  profit5, 199,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 der roce3,  der roce3, 2103,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
ALL, ALL, 870, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der pledge,  der pledge, 1407,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge,  der pledge, 
 profit5,  profit5, 146,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 dpr2 sales2,  dpr2 sales2, 460,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2,  dpr2 sales2, 
 der dpr2,  der dpr2, 127,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 der sales2,  der sales2, 69,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2,  der sales2, 
ALL, ALL, 1822, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2,  dpr2, 160,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 roce3 dpr2,  roce3 dpr2, 905,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 4663, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3 dpr2,  der roce3 dpr2, 761,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 roce3 dpr2,  roce3 dpr2, 776,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 623, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der dpr2 profit5,  der dpr2 profit5, 598,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5, 
ALL, ALL, 2875, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 448,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der dpr2,  der dpr2, 8476,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 roce3 profit5,  roce3 profit5, 4654,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 der,  der, 2910,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 1276, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 pledge,  pledge, 176,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge, 
 der,  der, 458,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der dpr2 profit5,  der dpr2 profit5, 86,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5,  der dpr2 profit5, 
 roce3 dpr2 profit5,  roce3 dpr2 profit5, 67,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5,  roce3 dpr2 profit5, 
 roce3,  roce3, 1115,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
ALL, ALL, 1362, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 103, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 490, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 373,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 der roce3 dpr2 profit5,  der roce3 dpr2 profit5, 657,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5,  der roce3 dpr2 profit5, 
 roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5, 33,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5,  roce3 dpr2 sales2 profit5, 
 dpr2,  dpr2, 332,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 der dpr2,  der dpr2, 770,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 profit5,  profit5, 2250,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
ALL, ALL, 639, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2,  sales2, 11431,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 der profit5,  der profit5, 447,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
 der profit5,  der profit5, 204,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5,  der profit5, 
ALL, ALL, 3613, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 352,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 dpr2 profit5,  dpr2 profit5, 114,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
 der dpr2,  der dpr2, 456,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
ALL, ALL, 500, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 341, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 360,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
ALL, ALL, 155, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 sales2,  roce3 sales2, 305,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2, 
 profit5,  profit5, 932,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 profit5,  profit5, 181,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 der,  der, 754,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 der,  der, 233,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
, , 624, , , , , , , , , , , , , 
ALL, ALL, 223, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 profit5,  roce3 profit5, 371,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
ALL, ALL, 1424, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 sales2 profit5,  sales2 profit5, 539,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 der roce3,  der roce3, 781,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 der dpr2,  der dpr2, 577,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
ALL, ALL, 2023, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 pledge,  pledge, 260,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge,  pledge, 
 dpr2,  dpr2, 200,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 profit5,  profit5, 460,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
ALL, ALL, 396, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 488, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3,  roce3, 778,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3,  roce3, 
 sales2 profit5,  sales2 profit5, 183,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 der dpr2,  der dpr2, 457,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 roce3 dpr2,  roce3 dpr2, 184,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
 dpr2,  dpr2, 128,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 der roce3,  der roce3, 556,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
ALL, ALL, 254, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 618, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2 profit5 pledge,  dpr2 profit5 pledge, 21,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge,  dpr2 profit5 pledge, 
ALL, ALL, 2059, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 dpr2,  dpr2, 5456,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 dpr2 sales2 profit5,  dpr2 sales2 profit5, 219,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5, 
 dpr2,  dpr2, 2066,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 profit5,  profit5, 3931,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 dpr2 profit5,  dpr2 profit5, 448,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5,  dpr2 profit5, 
ALL, ALL, 19028, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der,  der, 272,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 sales2,  sales2, 90,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2,  sales2, 
 profit5 pledge,  profit5 pledge, 251,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge,  profit5 pledge, 
ALL, ALL, 1099, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 108, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der dpr2,  der dpr2, 95,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2,  der dpr2, 
 roce3 dpr2,  roce3 dpr2, 459,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 1482, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 dpr2,  roce3 dpr2, 942,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2,  roce3 dpr2, 
ALL, ALL, 182, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
, , 200, , , , , , , , , , , , , 
 dpr2,  dpr2, 220,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2,  dpr2, 
 der,  der, 77,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 roce3 profit5,  roce3 profit5, 326,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
ALL, ALL, 2022, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 profit5,  roce3 profit5, 571,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 roce3 dpr2 pledge,  roce3 dpr2 pledge, 420,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge,  roce3 dpr2 pledge, 
ALL, ALL, 38, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 131, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1790, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 1404, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 profit5,  roce3 profit5, 150,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 dpr2 sales2 profit5,  dpr2 sales2 profit5, 157,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5,  dpr2 sales2 profit5, 
 sales2 profit5,  sales2 profit5, 185,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
ALL, ALL, 6373, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 profit5,  profit5, 1391,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5,  profit5, 
 der roce3 dpr2,  der roce3 dpr2, 442,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 sales2 profit5,  sales2 profit5, 74,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
ALL, ALL, 2539, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 452, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 roce3 sales2,  roce3 sales2, 590,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2,  roce3 sales2, 
 der,  der, 500,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
 roce3 profit5,  roce3 profit5, 85,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5,  roce3 profit5, 
 der roce3,  der roce3, 185,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3,  der roce3, 
 sales2 profit5,  sales2 profit5, 200,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5,  sales2 profit5, 
 der,  der, 682,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der,  der, 
ALL, ALL, 95, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 598, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
ALL, ALL, 233, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
 der roce3 dpr2,  der roce3 dpr2, 272,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
 der roce3 dpr2,  der roce3 dpr2, 320,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2,  der roce3 dpr2, 
ALL, ALL, 814, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, ALL, 
