"Stock","ISIN","Broker Average Target Rs","Broker Average Rating","Total Debt to Total Equity Annual","ROCE Annual 3Yr Avg %","Dividend payout ratio 2Yr %","Promoter holding pledge percentage % Qtr"
"HEG Ltd.","INE545A01016","900","1","0.2","57.7","13.9","0"
"Alkem Laboratories L..","INE540L01014","2,147.2","5","0.2","18.7","21.8","0"
"GHCL Ltd.","INE539A01019","272","5","0.6","23.9","13.3","3.2"
"Grindwell Norton Ltd.","INE536A01023","635","5","0","16.4","35.0","0"
"Kansai Nerolac Paint..","INE531A01024","520.3","3","0.0","17.9","27.0","0"
"Coal India Ltd.","INE522F01014","242.7","3","0.1","22.1","61.0","0"
"Zensar Technologies ..","INE520A01027","264.9","4","0.1","19.7","19.2","0"
"Gujarat Pipavav Port..","INE517F01014","90","3","0","13.9","82.4","0"
"Engineers India Ltd.","INE510A01028","129.7","4","0","22.6","68.4","0"
"S H Kelkar & Company..","INE500L01026","185.7","5","0.4","16.6","14.6","0.0"
"Suven Life Sciences ..","INE495B01038","335","5","0.0","21.3","10.1","0"
"TVS Motor Company Ltd.","INE494B01023","421.6","2","0.4","20.6","16.4","0"
"MOIL Ltd.","INE490G01020","219","5","0","20.9","33.5","0"
"Ceat Ltd.","INE482A01020","1,058.5","3","0.5","12.0","19.3","0"
"Blue Star Ltd.","INE472A01039","872.7","4","0.4","27.0","48.8","0"
"Tata Consultancy Ser..","INE467B01029","2,029.1","3","0.0","40.8","60.0","2.9"
"Bharat Forge Ltd.","INE465A01025","471.8","3","0.6","19.4","23.0","0"
"Berger Paints (India..","INE463A01038","362","2","0.2","22.5","32.3","0"
"Bayer Cropscience Ltd.","INE462A01022","4,311.5","2","0","16.1","26.6","0"
"Sun TV Network Ltd.","INE424H01027","602.7","4","0","36.7","32.8","3.5"
"CCL Products India L..","INE421D01022","301.3","5","0.4","24.0","25.0","0"
"Vinati Organics Ltd.","INE410B01029","2,066.3","3","0.0","24.0","10.6","0"
"Suprajit Engineering..","INE399C01030","216","3","0.4","25.2","14.3","0"
"KEC International Ltd.","INE389H01022","359.8","5","0.7","20.6","12.7","0"
"Graphite India Ltd.","INE371A01025","519","5","0.1","43.7","35.4","0"
"Divi's Laboratories ..","INE361B01024","1,699.3","4","0.0","23.4","28.3","0"
"Abbott India Ltd.","INE358A01014","14,600","5","0","25.3","26.5","0"
"MphasiS Ltd.","INE356A01018","1,096","4","0.1","18.1","42.4","0"
"Century Plyboards (I..","INE348B01021","186","4","0.5","25.4","13.0","0"
"Petronet LNG Ltd.","INE347G01014","328.1","4","0.0","24.5","61.6","0"
"Solar Industries Ind..","INE343H01029","1,219.8","4","0.4","26.7","20.9","0"
"The Ramco Cements Ltd.","INE331A01037","828.1","4","0.3","14.1","12.9","2.0"
"Lupin Ltd.","INE326A01037","794.4","3","0.6","12.8","195.2","0"
"Bosch Ltd.","INE323A01026","13,190","2","0","19.0","22.5","0"
"Gillette India Ltd.","INE322A01010","7,750","4","0","53.3","28.6","0"
"Rites Ltd.","INE320J01015","304","5","0","22.8","30.6","0"
"Pidilite Industries ..","INE318A01026","1,318.8","2","0.0","25.7","31.3","0"
"Nilkamal Ltd.","INE310A01015","1,380","4","0.1","15.5","16.0","0"
"Exide Industries Ltd.","INE302A01020","246.6","4","0","18.7","24.7","0"
"Nippon Life Asset Ma..","INE298J01013","334.3","3","0","27.7","70.6","0"
"Cummins India Ltd.","INE298A01020","774.6","4","0.1","20.2","64.2","0"
"Elgi Equipments Ltd.","INE285A01027","270","3","0.3","17.0","21.6","0"
"Titan Company Ltd.","INE280A01028","1,237.5","4","0.4","29.5","29.2","0"
"Sonata Software Ltd.","INE269A01021","408.3","5","0.0","31.9","53.3","0"
"Hindustan Zinc Ltd.","INE267A01025","239.8","3","0.1","32.4","66.4","0"
"Bharat Electronics L..","INE263A01024","130.4","4","0","24.6","39.5","0"
"Persistent Systems L..","INE262H01013","657.9","3","0.0","17.0","23.4","0"
"Colgate-Palmolive (I..","INE259A01022","1,430.4","3","0.1","65.9","96.6","0"
"Essel Propack Ltd.","INE255A01020","121.5","2","0.4","18.1","30.8","0"
"Indian Oil Corporati..","INE242A01010","172.6","4","0.8","21.9","57.2","0"
"Nestle India Ltd.","INE239A01016","13,559.2","3","0.0","34.3","112.1","0"
"Finolex Cables Ltd.","INE235A01022","400","3","0.0","22.0","18.4","0"
"Blue Dart Express Ltd.","INE233B01017","2,500","3","0.2","24.2","31.9","0"
"Voltas Ltd.","INE226A01021","692.2","3","0.1","15.8","22.8","0"
"Symphony Ltd.","INE225D01027","1,452","4","0","39.2","24.0","0"
"Greaves Cotton Ltd.","INE224A01026","145.8","3","0","22.2","63.6","0"
"Kajaria Ceramics Ltd.","INE217B01036","613.1","4","0.1","24.6","19.3","0"
"Britannia Industries..","INE216A01030","3,445.9","4","0.0","33.6","28.3","0"
"Larsen & Toubro Info..","INE214T01019","1,867","4","0","32.9","33.5","0"
"Oil And Natural Gas ..","INE213A01029","190.8","4","0.1","13.6","26.8","0"
"AIA Engineering Ltd.","INE212H01026","1,770","3","0.0","16.6","15.0","0"
"Aegis Logistics Ltd.","INE208C01025","242","5","0.1","18.6","23.0","0"
"Ashok Leyland Ltd.","INE208A01029","87.8","3","0.0","24.6","50.0","9.3"
"Vedanta Ltd.","INE205A01025","150","3","0.9","17.0","64.8","0"
"Indraprastha Gas Ltd.","INE203G01027","400.8","4","0","27.4","17.8","0"
"GE T&D India Ltd.","INE200A01026","165","2","0.1","21.5","39.3","0"
"Jagran Prakashan Ltd.","INE199G01027","115.8","4","0.2","19.6","31.3","0"
"Marico Ltd.","INE196A01026","400.6","3","0.1","35.6","61.2","0"
"Supreme Industries L..","INE195A01028","1,172.6","3","0.1","30.2","36.7","0"
"Finolex Industries L..","INE183A01016","605","3","0.0","19.1","34.7","0.0"
"Pfizer Ltd.","INE182A01018","3,978","4","0.0","19.1","21.9","0"
"Procter & Gamble Hyg..","INE179A01014","11,441","3","0","83.2","51.0","0"
"Havells India Ltd.","INE176B01034","700.1","3","0.0","19.5","33.9","0"
"Bata India Ltd.","INE176A01028","1,673.8","4","0","17.1","21.2","0"
"Castrol India Ltd.","INE172A01027","153.7","4","0","90.2","67.7","0"
"Bharat Dynamics Ltd.","INE171Z01018","343","5","0.0","29.8","24.5","0"
"Coromandel Internati..","INE169A01031","468","3","0.9","31.5","24.8","0.0"
"GlaxoSmithKline Phar..","INE159A01016","1,590","3","0","18.8","51.4","0"
"Hero MotoCorp Ltd.","INE158A01026","2,905.6","4","0","41.2","49.9","0"
"ITC Ltd.","INE154A01025","317.5","4","0.0","31.4","52.1","0"
"Thermax Ltd.","INE152A01029","1,156.3","3","0.1","13.3","25.9","0"
"National Aluminium C..","INE139A01034","43.5","3","0.0","13.6","76.8","0"
"Cyient Ltd.","INE136B01020","554.3","4","0.1","20.0","35.8","0"
"Relaxo Footwears Ltd.","INE131B01039","642.5","5","0.1","27.1","10.6","0"
"GAIL (India) Ltd.","INE129A01019","157.2","4","0.0","15.2","32.1","0"
"HDFC Asset Managemen..","INE127D01025","2,655","3","0","48.8","25.9","0"
"Delta Corp Ltd.","INE124G01033","317","5","0","14.4","15.7","7.3"
"Bharti Infratel Ltd.","INE121J01017","274","2","0.0","13.0","193.8","0"
"Balrampur Chini Mill..","INE119A01028","210","5","0.8","30.2","13.9","0"
"Container Corporatio..","INE111A01025","642","3","0.1","14.4","55.0","0"
"Mangalore Refinery A..","INE103A01014","72","4","0.8","17.3","91.1","0"
"Godrej Consumer Prod..","INE102D01028","740.8","3","0.4","16.7","45.3","0"
"Mahindra & Mahindra ..","INE101A01026","658","4","0.1","16.0","18.0","3.1"
"Atul Ltd.","INE100A01010","4,663","5","0","20.3","12.6","3.9"
"NBCC (India) Ltd.","INE095N01031","46","3","0","28.0","47.0","0"
"Kolte-Patil Develope..","INE094I01018","313","5","0.7","17.3","10.6","0"
"Hindustan Petroleum ..","INE094A01015","325.8","4","0.9","25.2","43.3","0"
"Hexaware Technologie..","INE093A01033","396","3","0","27.0","39.3","0"
"Shree Cements Ltd.","INE070A01015","19,959.6","3","0.3","12.5","16.3","0"
"Eicher Motors Ltd.","INE066A01013","21,987.7","3","0.0","37.8","17.0","0"
"Trident Ltd.","INE064C01014","77","5","0.7","13.1","38.4","0"
"Sanofi India Ltd.","INE058A01010","6,929.2","4","0","21.8","40.7","0"
"VIP Industries Ltd.","INE054A01027","537.3","4","0.1","34.9","31.8","0"
"KPIT Technologies Ltd.","INE04I401011","111","5","0.1","56.7","10.5","18.7"
"Navin Fluorine Inter..","INE048G01026","827.5","5","0","19.5","28.3","4.4"
"Sun Pharmaceutical I..","INE044A01036","476.8","3","0.2","14.9","14.6","10.4"
"Jamna Auto Industrie..","INE039C01032","63","5","0.0","43.5","27.6","0"
"TV Today Network Ltd.","INE038F01029","550","5","0","25.4","27.0","0"
"Ajanta Pharma Ltd.","INE031B01049","1,202.5","5","0.0","30.8","22.4","17.8"
"Hindustan Unilever L..","INE030A01027","2,041.1","3","0","86.9","78.9","0"
"Bharat Petroleum Cor..","INE029A01011","463.9","3","0.7","21.0","53.4","0"
"Asian Paints Ltd.","INE021A01026","1,597.7","3","0.1","32.7","40.6","11.9"
"MindTree Ltd.","INE018I01017","799.1","2","0.0","22.2","54.2","0"
"Dabur India Ltd.","INE016A01026","483.3","3","0.1","27.8","62.5","0"
"ACC Ltd.","INE012A01025","1,736.1","4","0","12.6","29.5","0"
"L&T Technology Servi..","INE010V01017","1,801","4","0.0","32.0","28.8","0"
"Cadila Healthcare Ltd.","INE010B01027","302.6","4","0.7","15.3","21.3","0"
"Infosys Ltd.","INE009A01021","781.9","3","0","30.5","59.2","0"
"Siemens Ltd.","INE003A01024","1,568","4","0","15.5","25.2","0"
"Mahanagar Gas Ltd.","INE002S01010","1,039","3","0","31.3","31.7","0"
