Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,7,459.83,621.00,- 1.76,3218.81,4347.00,0.00,1128.19,35.05,
KAVSEE,KAVERI SEED COMPANY LTD,INE455I01029,4,549.33,467.50,- 0.16,2197.32,1870.00,0.00,-327.32,(14.90),
PIIND,P I INDUSTRIES LTD,INE603J01030,2,902.20,1549.05,+ 0.00,1804.40,3098.10,0.00,1293.70,71.70,
RALIND,RALLIS INDIA LTD,INE613A01020,17,208.37,229.85,- 1.05,3542.29,3907.45,0.00,365.16,10.31,
SOLIN,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,2,1065.83,1282.05,+ 0.21,2131.66,2564.10,0.00,432.44,20.29,
SUMCH,SUMITOMO CHEMICAL INDIA LTD,INE258G01013,25,235.08,230.00,+ 0.07,5877.00,5750.00,0.00,-127.00,(2.16),
TATCHE,TATA CHEMICALS LTD,INE092A01019,4,695.15,737.25,- 0.36,2780.60,2949.00,(89.37),168.40,6.06,
UNIP,UPL LIMITED,INE628A01036,10,520.30,523.15,+ 1.93,5203.00,5231.50,0.00,28.50,0.55,
BRIENT,BRIGADE ENTERPRISES LIMITED,INE791I01019,18,153.51,233.50,+ 1.54,2763.18,4203.00,0.00,1439.82,52.11,
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,INE348B01021,45,183.68,170.10,+ 0.24,8265.60,7654.50,0.00,-611.10,(7.39),
CERSAN,CERA SANITARYWARE LIMITED,INE739E01017,1,3078.11,2635.15,+ 0.77,3078.11,2635.15,0.00,-442.96,(14.39),
DLFLIM,DLF LIMITED,INE271C01023,10,214.27,245.15,+ 6.10,2142.70,2451.50,(6746.96),308.80,14.41,
GREEIN,GREENLAM INDUSTRIES LIMITED,INE544R01013,2,1143.30,1000.00,+ 0.95,2286.60,2000.00,0.00,-286.60,(12.53),
GREIN,GREENPLY INDUSTRIES LIMITED,INE461C01038,5,236.07,156.15,+ 2.76,1180.35,780.75,0.00,-399.60,(33.85),
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,5,605.64,561.20,+ 1.00,3028.20,2806.00,0.00,-222.20,(7.34),
NAGCON,NCC LIMITED,INE868B01028,21,109.90,50.45,+ 3.17,2307.90,1059.45,0.00,-1248.45,(54.09),
NBCC,NBCC (INDIA) LIMITED,INE095N01031,38,84.26,32.85,+ 0.46,3201.88,1248.30,0.00,-1953.58,(61.01),
PREEST,PRESTIGE ESTATES PROJECTS LIMI,INE811K01011,9,271.18,351.30,- 0.27,2440.62,3161.70,0.00,721.08,29.54,
BLUSTA,BLUE STAR LTD,INE472A01039,3,646.98,802.25,- 0.27,1940.94,2406.75,0.00,465.81,24.00,
BORGLA,BOROSIL GLASS WORKS LTD.,INE666D01022,12,177.29,206.50,+ 16.67,2127.48,2478.00,0.00,350.52,16.48,
EVEIND,EVEREADY INDUSTRIES INDIA LTD,INE128A01029,41,128.21,54.75,- 1.97,5256.61,2244.75,0.00,-3011.86,(57.30),
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,17,634.08,608.75,+ 2.46,10779.36,10348.75,0.00,-430.61,(3.99),
HITHOM,JOHNSON CONTROLS HITACHI AIR I,INE782A01015,1,2106.33,2362.15,- 0.01,2106.33,2362.15,0.00,255.82,12.15,
LAOPA,LA OPALA RG LIMITED,INE059D01020,12,185.52,178.00,- 1.55,2226.24,2136.00,0.00,-90.24,(4.05),
SHEFOA,SHEELA FOAM LIMITED,INE916U01025,1,1649.36,1535.95,+ 4.10,1649.36,1535.95,0.00,-113.41,(6.88),
SYMLIM,SYMPHONY LIMITED,INE225D01027,5,1133.08,1216.10,+ 1.20,5665.40,6080.50,0.00,415.10,7.33,
TTKPRE,TTK PRESTIGE LTD,INE690A01010,2,6111.00,5890.05,+ 0.19,12222.00,11780.10,0.00,-441.90,(3.62),
VGUARD,V-GUARD INDUSTRIES LIMITED,INE951I01027,9,240.32,216.00,- 0.89,2162.88,1944.00,0.00,-218.88,(10.12),
VIPIND,VIP INDUSTRIES LTD,INE054A01027,11,303.39,469.95,+ 4.28,3337.29,5169.45,0.00,1832.16,54.90,
VOLTAS,VOLTAS LTD,INE226A01021,6,544.16,701.10,+ 1.59,3264.96,4206.60,0.00,941.64,28.84,
WHIIND,WHIRLPOOL OF INDIA LTD,INE716A01013,2,1386.24,2414.95,+ 0.48,2772.48,4829.90,0.00,2057.42,74.21,
ZEELEA,ZEE LEARN LIMITED,INE565L01011,342,26.83,17.15,- 3.38,9175.86,5865.30,0.00,-3310.56,(36.08),
ABB,ABB INDIA LIMITED,INE117A01022,3,1424.66,1310.30,+ 1.24,4273.98,3930.90,(262.11),-343.08,(8.03),
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,3,362.01,279.25,+ 1.12,1086.03,837.75,0.00,-248.28,(22.86),
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,23,137.08,84.95,+ 1.74,3152.84,1953.85,(5344.85),-1198.99,(38.03),
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,41,83.42,39.95,+ 1.40,3420.22,1637.95,(496.84),-1782.27,(52.11),
CARUNI,CARBORUNDUM UNIVERSAL LTD,INE120A01034,7,351.20,331.25,+ 0.29,2458.40,2318.75,0.00,-139.65,(5.68),
CUMIND,CUMMINS INDIA LTD,INE298A01020,17,633.94,565.60,+ 0.78,10776.98,9615.20,0.00,-1161.78,(10.78),
ENGIND,ENGINEERS INDIA LTD,INE510A01028,93,111.19,92.60,+ 1.70,10340.67,8611.80,0.00,-1728.87,(16.72),
FINCAB,FINOLEX CABLES LTD,INE235A01022,10,355.57,376.50,+ 1.51,3555.70,3765.00,0.00,209.30,5.89,
GRINOR,GRINDWELL NORTON LTD,INE536A01023,5,467.87,640.70,+ 5.01,2339.35,3203.50,0.00,864.15,36.94,
HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,1,934.97,779.65,+ 0.07,934.97,779.65,0.00,-155.32,(16.61),
HONAUT,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,1,22891.60,32463.55,+ 16.84,22891.60,32463.55,2309.32,9571.95,41.81,
KSBPUM,KSB LIMITED,INE999A01015,3,753.41,734.90,+ 1.98,2260.23,2204.70,0.00,-55.53,(2.46),
LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,18,1295.52,1293.00,+ 0.49,23319.36,23274.00,322.53,-45.36,(0.19),
SIEMEN,SIEMENS LTD,INE003A01024,3,1269.46,1476.25,+ 2.76,3808.38,4428.75,(187.10),620.37,16.29,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,9,591.14,669.70,- 0.20,5320.26,6027.30,0.00,707.04,13.29,
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,4,2198.49,3233.10,+ 0.05,8793.96,12932.40,0.00,4138.44,47.06,
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,2,1114.49,1359.75,+ 0.68,2228.98,2719.50,0.00,490.52,22.01,
DABIND,DABUR INDIA LTD,INE016A01026,10,353.08,503.50,+ 1.22,3530.80,5035.00,0.00,1504.20,42.60,
EMALIM,EMAMI LIMITED,INE548C01032,7,518.93,300.00,+ 0.17,3632.51,2100.00,0.00,-1532.51,(42.19),
GILIND,GILLETTE INDIA LTD,INE322A01010,2,5901.77,6443.75,+ 1.08,11803.54,12887.50,0.00,1083.96,9.18,
GLACON,GLAXOSMITHKLINE CONSUMER HEALT,INE264A01014,1,5114.50,9300.00,- 1.18,5114.50,9300.00,0.00,4185.50,81.84,
GODCON,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,3,746.99,654.80,- 1.92,2240.97,1964.40,0.00,-276.57,(12.34),
GODPHI,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,2,747.76,1262.00,+ 12.15,1495.52,2524.00,0.00,1028.48,68.77,
HATAGR,HATSUN AGRO PRODUCTS LTD,INE473B01035,2,762.28,636.35,- 0.16,1524.56,1272.70,0.00,-251.86,(16.52),
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,15,1455.25,2157.15,- 0.98,21828.75,32357.25,3488.20,10528.50,48.23,
ITC,ITC LIMITED,INE154A01025,80,264.86,215.95,+ 3.97,21188.80,17276.00,3948.82,-3912.80,(18.47),
KRBL,KRBL LIMITED,INE001B01026,5,402.98,264.10,+ 0.57,2014.90,1320.50,0.00,-694.40,(34.46),
MARLIM,MARICO LIMITED,INE196A01026,30,352.54,307.50,+ 0.38,10576.20,9225.00,0.00,-1351.20,(12.78),
NESIND,NESTLE INDIA LIMITED,INE239A01016,1,6693.11,16461.50,+ 0.98,6693.11,16461.50,0.00,9768.39,145.95,
PIDIND,PIDILITE INDUSTRIES LTD,INE318A01026,3,866.03,1555.30,- 0.54,2598.09,4665.90,0.00,2067.81,79.59,
PROGAM,PROCTER AND GAMBLE HYGIENE HEA,INE179A01014,2,9806.43,11540.65,- 0.86,19612.86,23081.30,0.00,3468.44,17.68,
TATCO,TATA COFFEE LTD,INE493A01027,26,130.02,97.30,+ 4.91,3380.52,2529.80,0.00,-850.72,(25.17),
TATGLO,TATA GLOBAL BEVERAGES LIMITED,INE192A01025,17,199.45,379.75,+ 0.17,3390.65,6455.75,(179.40),3065.10,90.40,
VARBEV,VARUN BEVERAGES LIMITED,INE200M01013,7,480.31,826.00,+ 3.12,3362.17,5782.00,0.00,2419.83,71.97,
VENIND,VENKYS INDIA LIMITED,INE398A01010,2,2081.10,1605.15,+ 1.67,4162.20,3210.30,0.00,-951.90,(22.87),
VSTIND,VST INDUSTRIES LTD,INE710A01016,1,3001.91,4279.60,+ 2.22,3001.91,4279.60,0.00,1277.69,42.56,
ZYDWEL,ZYDUS WELLNESS LIMITED,INE768C01010,1,1338.42,1503.75,+ 0.49,1338.42,1503.75,0.00,165.33,12.35,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,7000,27.19,35.65,- 0.72,190330.00,249550.00,0.00,59220.00,31.11,
HDFGOL,HDFC GOLD ETF,INF179K01CN1,58,2899.19,3645.00,- 0.83,168153.02,211410.00,0.00,43256.98,25.72,
KOTGOL,KOTAK  GOLD ETF,INF373I01049,580,269.57,357.00,- 0.70,156350.60,207060.00,0.00,50709.40,32.43,
SBIGOL,SBI-ETF GOLD,INF200K01099,70,2894.80,3650.00,- 0.86,202636.00,255500.00,0.00,52864.00,26.09,
UTGOLD,UTI GOLD ETF,INF789F01059,70,2747.70,3578.42,- 0.87,192339.00,250489.40,0.00,58150.40,30.23,
TITIND,TITAN COMPANY LIMITED,INE280A01028,7,692.00,1275.00,+ 7.51,4844.00,8925.00,0.00,4081.00,84.25,
DELCOR,DELTA CORP LIMITED,INE124G01033,4,261.55,174.65,+ 1.57,1046.20,698.60,0.00,-347.60,(33.23),
EIHLIM,EIH LIMITED,INE230A01023,21,158.33,134.05,+ 0.98,3324.93,2815.05,0.00,-509.88,(15.34),
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,64,116.82,140.55,- 0.21,7476.48,8995.20,(3735.83),1518.72,20.31,
JUBFOO,JUBILANT FOODWORKS LIMITED,INE797F01012,4,771.59,1931.45,- 1.26,3086.36,7725.80,0.00,4639.44,150.32,
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,INE998I01010,11,303.41,225.10,+ 0.04,3337.51,2476.10,0.00,-861.41,(25.81),
THOCOO,THOMAS COOK (INDIA) LTD,INE332A01027,14,239.53,54.75,- 1.44,3353.42,766.50,0.00,-2586.92,(77.14),
WESDEV,WESTLIFE DEVELOPMENT LTD,INE274F01020,7,284.76,480.00,+ 4.80,1993.32,3360.00,0.00,1366.68,68.56,
WONHOL,WONDERLA HOLIDAYS LTD,INE066O01014,21,294.22,242.80,- 0.16,6178.62,5098.80,0.00,-1079.82,(17.48),
LEMTRE,LEMON TREE HOTELS LIMITED,INE970X01018,15,72.91,54.70,+ 1.96,1093.65,820.50,0.00,-273.15,(24.98),
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,14,421.62,586.70,+ 1.33,5902.68,8213.80,3330.73,2311.12,39.15,
INFEDG,INFO EDGE (INDIA) LIMITED,INE663F01024,3,1156.62,2991.00,+ 6.50,3469.86,8973.00,0.00,5503.14,158.60,
INFTEC,INFOSYS LTD,INE009A01021,39,563.05,788.00,+ 2.71,21958.95,30732.00,944.68,8773.05,39.95,
LTINFO,LARSEN & TOUBRO INFOTECH LTD,INE214T01019,4,1680.63,1942.55,- 0.56,6722.52,7770.20,0.00,1047.68,15.58,
LTTEC,L&T TECHNOLOGIES LIMITED,INE010V01017,4,1446.53,1700.00,+ 4.08,5786.12,6800.00,0.00,1013.88,17.52,
MINLIM,MINDTREE LIMITED,INE018I01017,10,719.04,907.85,+ 0.62,7190.40,9078.50,0.00,1888.10,26.26,
TATELX,TATA ELXSI LIMITED,INE670A01012,1,993.14,1029.90,+ 7.78,993.14,1029.90,(2464.63),36.76,3.70,
TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,17,1213.42,2107.00,+ 0.18,20628.14,35819.00,1304.38,15190.86,73.64,
TECMAH,TECH MAHINDRA LIMITED,INE669C01036,7,511.10,812.40,+ 2.53,3577.70,5686.80,0.00,2109.10,58.95,
WIPRO,WIPRO LTD,INE075A01022,33,200.58,240.45,+ 1.26,6619.14,7934.85,(1006.96),1315.71,19.88,
DISHTV,DISH TV INDIA LIMITED,INE836F01026,93,44.36,12.30,- 1.20,4125.48,1143.90,0.00,-2981.58,(72.27),
ENTNET,ENTERTAINMENT NETWORK (INDIA),INE265F01028,2,555.95,245.00,+ 0.80,1111.90,490.00,0.00,-621.90,(55.93),
PVRLIM,PVR LIMITED,INE191H01014,3,1518.76,1996.15,+ 0.25,4556.28,5988.45,0.00,1432.17,31.43,
ZEEENT,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,16,472.31,242.00,- 5.36,7556.96,3872.00,(1136.35),-3684.96,(48.76),
COALIN,COAL INDIA LIMITED,INE522F01014,57,268.77,182.40,+ 2.10,15319.89,10396.80,(208.26),-4923.09,(32.14),
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,14,226.47,189.30,+ 4.13,3170.58,2650.20,176.55,-520.38,(16.41),
HINZIN,HINDUSTAN ZINC LTD,INE267A01025,42,244.53,192.85,+ 1.85,10270.26,8099.70,(73.73),-2170.56,(21.13),
JSWSTE,JSW STEEL LIMITED,INE019A01038,13,256.54,258.35,+ 2.58,3335.02,3358.55,0.00,23.53,0.71,
NATALU,NATIONAL ALUMINIUM CO LTD,INE139A01034,208,49.93,42.50,+ 1.92,10385.44,8840.00,(514.62),-1545.44,(14.88),
NATMIN,NMDC LIMITED,INE584A01023,28,122.39,109.00,+ 5.72,3426.92,3052.00,0.00,-374.92,(10.94),
NEYLIG,NLC INDIA LIMITED,INE589A01014,24,89.97,56.75,+ 1.79,2159.28,1362.00,0.00,-797.28,(36.92),
TATSTE,TATA STEEL LIMITED,INE081A01012,14,493.83,452.00,+ 3.54,6913.62,6328.00,619.92,-585.62,(8.47),
VEDLIM,VEDANTA LIMITED,INE205A01025,52,201.70,138.50,+ 3.24,10488.40,7202.00,0.00,-3286.40,(31.33),
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,23,142.25,225.25,+ 1.95,3271.75,5180.75,0.00,1909.00,58.35,
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,3,410.36,361.80,+ 3.14,1231.08,1085.40,0.00,-145.68,(11.83),
GODAGR,GODREJ AGROVET LIMITED,INE850D01014,4,574.13,580.00,+ 1.67,2296.52,2320.00,0.00,23.48,1.02,
GODIND,GODREJ INDUSTRIES LIMITED,INE233A01035,4,558.94,402.25,+ 0.44,2235.76,1609.00,0.00,-626.76,(28.03),
QUECOR,QUESS CORP LIMITED,INE615P01015,8,563.88,624.65,+ 0.08,4511.04,4997.20,0.00,486.16,10.78,
SECINT,SECURITY INTELLIGENCE SER LTD,INE285J01028,2,451.45,508.60,- 1.03,902.90,1017.20,0.00,114.30,12.66,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,9,1076.82,1892.40,+ 1.34,9691.38,17031.60,0.00,7340.22,75.74,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,12,286.74,587.00,+ 2.97,3440.88,7044.00,0.00,3603.12,104.72,
KANNER,KANSAI NEROLAC PAINTS,INE531A01024,7,488.92,510.80,+ 0.71,3422.44,3575.60,0.00,153.16,4.48,
ABBIND,ABBOTT INDIA LIMITED,INE358A01014,1,4130.35,13100.30,+ 2.97,4130.35,13100.30,0.00,8969.95,217.17,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,7,1211.95,1675.30,- 1.25,8483.65,11727.10,0.00,3243.45,38.23,
ASTPHA,ASTRAZENECA PHARMA INDIA LTD,INE203A01020,1,2141.66,2545.00,- 2.52,2141.66,2545.00,0.00,403.34,18.83,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,4,754.79,495.15,+ 4.53,3019.16,1980.60,0.00,-1038.56,(34.40),
BIOCON,BIOCON LIMITED,INE376G01013,4,313.28,289.50,- 3.08,1253.12,1158.00,0.00,-95.12,(7.59),
CADHEA,CADILA HEALTHCARE LIMITED,INE010B01027,5,436.29,263.80,+ 1.31,2181.45,1319.00,0.00,-862.45,(39.54),
