isin_code, industry_name, isin_name_nse, isin_symbol
INE434A01013, FINANCIAL SERVICES, Andhra bank, ANDHRABANK
INE437A01024, HEALTHCARE SERVICES, Apollo hospitals enterprise, APOLLOHOSP
INE438A01022, AUTOMOBILE, Apollo tyres, APOLLOTYRE
INE439A01020, AUTOMOBILE, Asahi glass, ASAHIINDIA
INE442H01029, CONSTRUCTION, Ashoka buildcon, ASHOKA
INE452O01016, CONSUMER GOODS, Future lifestyle fashions, FLFL
INE455F01025, CEMENT & CEMENT PRODUCTS, Jaiprakash associates, JPASSOCIAT
INE455I01029, CONSUMER GOODS, Kaveri seed company, KSCL
INE455T01018, METALS, Jindal stainless, JSLHISAR
INE460H01021, CEMENT & CEMENT PRODUCTS, Star cement, STARCEMENT
INE461C01038, CONSUMER GOODS, Greenply industries, GREENPLY
INE463A01038, CONSUMER GOODS, Berger paints, BERGEPAINT
INE465A01025, INDUSTRIAL MANUFACTURING, Bharat forge, BHARATFORG
INE467B01029, IT, Tata consultancy services, TCS
INE470A01017, SERVICES, 3m, 3MINDIA
INE472A01039, CONSUMER GOODS, Blue star, BLUESTARCO
INE473B01035, CONSUMER GOODS, Hatsun agro product, HATSUN
INE475E01026, PHARMA, Caplin point laboratories, CAPLIPOINT
INE476A01014, FINANCIAL SERVICES, Canara bank, CANBK
INE477A01020, FINANCIAL SERVICES, Can fin homes, CANFINHOME
INE481G01011, CEMENT & CEMENT PRODUCTS, Ultratech cement, ULTRACEMCO
INE481Y01014, FINANCIAL SERVICES, General insurance corporation, GICRE
INE482A01020, AUTOMOBILE, Ceat, CEATLTD
INE483A01010, FINANCIAL SERVICES, Central bank, CENTRALBK
INE483B01026, TEXTILES, Indo count industries, ICIL
INE483S01020, IT, Infibeam avenues, INFIBEAM
INE484J01027, CONSTRUCTION, Godrej properties, GODREJPROP
INE490G01020, METALS, Moil, MOIL
INE491A01021, FINANCIAL SERVICES, City union bank, CUB
INE493A01027, CONSUMER GOODS, Tata coffee, TATACOFFEE
INE494B01023, AUTOMOBILE, Tvs motor company, TVSMOTOR
INE495B01038, PHARMA, Suven life sciences, SUVEN
INE498B01024, CONSUMER GOODS, Shoppers stop, SHOPERSTOP
INE498L01015, FINANCIAL SERVICES, L&t finance holdings, L&TFH
INE499A01024, CONSUMER GOODS, Dcm shriram, DCMSHRIRAM
INE500L01026, CONSUMER GOODS, S h kelkar company, SHK
INE501A01019, CHEMICALS, Deepak fertilisers petrochemicals corp, DEEPAKFERT
INE501W01021, INDUSTRIAL MANUFACTURING, Sintex plastics technology, SPTL
INE503A01015, FINANCIAL SERVICES, Dcb bank, DCBBANK
INE506A01018, SERVICES, Dredging corporation, DREDGECORP
INE508G01029, INDUSTRIAL MANUFACTURING, Time technoplast, TIMETECHNO
INE510A01028, CONSTRUCTION, Engineers, ENGINERSIN
INE511C01022, FINANCIAL SERVICES, Magma fincorp, MAGMA
INE513A01014, INDUSTRIAL MANUFACTURING, Schaeffler, SCHAEFFLER
INE516A01017, INDUSTRIAL MANUFACTURING, Uflex, UFLEX
INE517F01014, SERVICES, Gujarat pipavav port, GPPL
INE522D01027, FINANCIAL SERVICES, Manappuram finance, MANAPPURAM
INE522F01014, METALS, Coal, COALINDIA
INE528G01027, FINANCIAL SERVICES, Yes bank, YESBANK
INE530B01024, FINANCIAL SERVICES, Iifl holdings, IIFL
INE531A01024, CONSUMER GOODS, Kansai nerolac paints, KANSAINER
INE531E01026, METALS, Hindustan copper, HINDCOPPER
INE532F01054, FINANCIAL SERVICES, Edelweiss financial services, EDELWEISS
INE536H01010, INDUSTRIAL MANUFACTURING, Mahindra cie automotive, MAHINDCIE
INE538A01037, INDUSTRIAL MANUFACTURING, Gujarat fluorochemicals, GUJFLUORO
INE539A01019, CHEMICALS, Ghcl, GHCL
INE540L01014, PHARMA, Alkem laboratories, ALKEM
INE542F01012, INDUSTRIAL MANUFACTURING, Reliance naval engineering, RNAVAL
INE545A01016, INDUSTRIAL MANUFACTURING, Heg, HEG
INE548A01028, TELECOM, Himachal fut com, HFCL
INE548C01032, CONSUMER GOODS, Emami, EMAMILTD
INE549A01026, CONSTRUCTION, Hindustan construction co, HCC
INE559A01017, CONSUMER GOODS, Ifb industries, IFBIND
INE560K01014, FINANCIAL SERVICES, Ptc fin serv, PFS
INE562A01011, FINANCIAL SERVICES, Indian bank, INDIANB
INE565A01014, FINANCIAL SERVICES, Indian overseas bank, IOB
INE565L01011, MEDIA & ENTERTAINMENT, Zee learn, ZEELEARN
INE571A01020, PHARMA, Ipca laboratories, IPCALAB
INE572A01028, PHARMA, Jb chemicals pharmaceuticals, JBCHEPHARM
INE572E01012, FINANCIAL SERVICES, Pnb housing finance, PNBHOUSING
INE573A01042, AUTOMOBILE, Jk tyre industries, JKTYRE
INE576I01022, CONSTRUCTION, Jkumar infraprojects, JKIL
INE578A01017, CEMENT & CEMENT PRODUCTS, Heidelbergcement, HEIDELBERG
INE580B01029, FINANCIAL SERVICES, Gruh finance, GRUH
INE584A01023, METALS, Nmdc, NMDC
INE585B01010, AUTOMOBILE, Maruti suzuki, MARUTI
INE589A01014, ENERGY, Nlc, NLCINDIA
INE589G01011, TEXTILES, Bombay rayon fashions, BRFL
INE591G01017, IT, Niit technologies, NIITTECH
INE594H01019, HEALTHCARE SERVICES, Thyrocare technologies, THYROCARE
INE599M01018, IT, Justdial, JUSTDIAL
INE600L01024, HEALTHCARE SERVICES, Dr lal path labs, LALPATHLAB
INE602G01020, TEXTILES, Kitex garments, KITEX
INE603J01030, FERTILISERS & PESTICIDES, Pi industries, PIIND
INE612J01015, FINANCIAL SERVICES, Repco home finance, REPCOHOME
INE613A01020, FERTILISERS & PESTICIDES, Rallis, RALLIS
INE614B01018, FINANCIAL SERVICES, Karnataka bank, KTKBANK
INE614G01033, ENERGY, Reliance power, RPOWER
INE615P01015, SERVICES, Quess corp, QUESS
INE621H01010, FINANCIAL SERVICES, Religare enterprises, RELIGARE
INE621L01012, INDUSTRIAL MANUFACTURING, Texmaco rail eng, TEXRAIL
INE628A01036, FERTILISERS & PESTICIDES, Upl, UPL
INE634I01029, CONSTRUCTION, Knr constructions, KNRCON
INE635Q01029, ENERGY, Gulf oil lubricants, GULFOILLUB
INE640A01023, INDUSTRIAL MANUFACTURING, Skf, SKFINDIA
INE646L01027, SERVICES, Interglobe aviation, INDIGO
INE647A01010, TEXTILES, Srf, SRF
INE647O01011, CONSUMER GOODS, Aditya birla fashion retail, ABFRL
INE650K01021, IT, 8k miles soft services, 8KMILES
INE659A01023, CHEMICALS, Sudarshan chemical industries, SUDARSCHEM
INE661I01014, CONSTRUCTION, Bgr energy systems, BGRENERGY
INE663F01024, IT, Info edge, NAUKRI
INE665A01038, TEXTILES, Swan energy, SWANENERGY
INE667A01018, FINANCIAL SERVICES, Syndicate bank, SYNDIBANK
INE668F01031, CONSUMER GOODS, Jyothy laboratories, JYOTHYLAB
INE669C01036, IT, Tech mahindra, TECHM
INE669E01016, TELECOM, Idea cellular, IDEA
INE670A01012, IT, Tata elxsi, TATAELXSI
INE671A01010, INDUSTRIAL MANUFACTURING, Honeywell automation, HONAUT
INE671H01015, CONSTRUCTION, Sobha, SOBHA
INE672A01018, FINANCIAL SERVICES, Tata investment corporation, TATAINVEST
INE674A01014, METALS, Tata sponge iron, TATASPONGE
INE674K01013, FINANCIAL SERVICES, Aditya birla capital, ABCAPITAL
INE683A01023, FINANCIAL SERVICES, South n bank, SOUTHBANK
INE684F01012, IT, Firstsource solutions, FSL
INE685A01028, PHARMA, Torrent pharmaceuticals, TORNTPHARM
INE686A01026, CONSTRUCTION, Itd cementation, ITDCEM
INE686F01025, CONSUMER GOODS, United breweries, UBL
INE688I01017, FINANCIAL SERVICES, Capital first, CAPF
INE690A01010, CONSUMER GOODS, Ttk prestige, TTKPRESTIG
INE691A01018, FINANCIAL SERVICES, Uco bank, UCOBANK
INE692A01016, FINANCIAL SERVICES, Union bank, UNIONBANK
INE694A01020, CONSTRUCTION, Unitech, UNITECH
INE694C01018, FINANCIAL SERVICES, Lakshmi vilas bank, LAKSHVILAS
INE700A01033, PHARMA, Jubilant life sciences, JUBILANT
INE702C01019, METALS, Apl apollo tubes, APLAPOLLO
INE704P01017, INDUSTRIAL MANUFACTURING, Cochin shipyard, COCHINSHIP
INE705A01016, FINANCIAL SERVICES, Vijaya bank, VIJAYABANK
INE716A01013, CONSUMER GOODS, Whirlpool, WHIRLPOOL
INE721A01013, FINANCIAL SERVICES, Shriram transport finance co, SRTRANSFIN
INE722A01011, FINANCIAL SERVICES, Shriram city union finance, SHRIRAMCIT
INE725A01022, ENERGY, Nava bharat ventures, NBVENTURES
INE726G01019, FINANCIAL SERVICES, Icici prudential life insurance company, ICICIPRULI
INE733E01010, ENERGY, Ntpc, NTPC
INE736A01011, FINANCIAL SERVICES, Central depository services, CDSL
INE738I01010, IT, Eclerx services, ECLERX
INE739E01017, CONSTRUCTION, Cera sanitaryware, CERA
INE742F01042, SERVICES, Adani ports special economic zone, ADANIPORTS
INE749A01030, METALS, Jindal steel power, JINDALSTEL
INE750C01026, PHARMA, Marksans pharma, MARKSANS
INE752E01010, ENERGY, Power grid corporation, POWERGRID
INE752H01013, FINANCIAL SERVICES, Care ratings, CARERATING
INE752P01024, CONSUMER GOODS, Future retail, FRETAIL
INE761H01022, TEXTILES, Page industries, PAGEIND
INE764L01010, CONSTRUCTION, Sadbhav infrastructure project, SADBHIN
INE765G01017, FINANCIAL SERVICES, Icici lombard general insurance company, ICICIGI
INE769A01020, CHEMICALS, Aarti industries, AARTIIND
INE774D01024, FINANCIAL SERVICES, Mahindra mahindra financial services, M&MFIN
INE775A01035, AUTOMOBILE, Motherson sumi systems, MOTHERSUMI
INE775B01025, CONSUMER GOODS, Kwality, KWALITY
INE776C01039, CONSTRUCTION, Gmr infrastructure, GMRINFRA
INE780C01023, FINANCIAL SERVICES, Jm financial, JMFINANCIL
INE782A01015, CONSUMER GOODS, Johnson controls hitachi air conditioning, JCHAC
INE785M01013, CONSUMER GOODS, Pc jeweller, PCJEWELLER
