Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
BOSLIM,BOSCH LIMITED,INE323A01026,2,15082.61,13705.15,- 4.81,30165.22,27410.30,1383.80,1980.80,(4020.09),-2754.92,(9.13),
BRIENT,BRIGADE ENTERPRISES LIMITED,INE791I01019,18,153.51,149.40,+ 0.74,2763.18,2689.20,-19.80,-13581.82,0.00,-73.98,(2.68),
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,5,2447.08,3801.35,- 0.18,12235.40,19006.75,34.50,55092.03,0.00,6771.35,55.34,
BSE,BSE LIMITED,INE118H01025,28,506.01,489.85,- 1.04,14168.28,13715.80,144.20,9511.65,0.00,-452.48,(3.19),
CADHEA,CADILA HEALTHCARE LIMITED,INE010B01027,18,298.85,395.45,+ 2.34,5379.30,7118.10,-162.90,-4369.61,0.00,1738.80,32.32,
CARE,CARE RATINGS LIMITED,INE752H01013,20,720.79,405.85,- 1.06,14415.80,8117.00,87.00,9329.89,0.00,-6298.80,(43.69),
CARUNI,CARBORUNDUM UNIVERSAL LTD,INE120A01034,22,339.46,253.40,- 1.48,7468.12,5574.80,83.60,6668.42,0.00,-1893.32,(25.35),
CASIND,CASTROL INDIA LIMITED,INE172A01027,69,152.93,122.05,+ 0.25,10552.17,8421.45,-20.70,-40683.33,0.00,-2130.72,(20.19),
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,7,309.19,364.65,+ 0.75,2164.33,2552.55,-18.90,-13505.56,0.00,388.22,17.94,
CEAT,CEAT LIMITED,INE482A01020,6,1144.71,878.00,- 1.46,6868.26,5268.00,78.30,6727.97,0.00,-1600.26,(23.30),
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,INE348B01021,65,161.75,131.60,- 3.02,10513.75,8554.00,266.50,3209.76,0.00,-1959.75,(18.64),
CERSAN,CERA SANITARYWARE LIMITED,INE739E01017,3,2808.39,2378.70,+ 0.24,8425.17,7136.10,-17.25,-41368.70,0.00,-1289.07,(15.30),
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,15,193.78,218.10,- 3.13,2906.70,3271.50,105.75,3093.62,0.00,364.80,12.55,
CIPLA,CIPLA LIMITED,INE059A01026,6,566.81,771.80,+ 1.52,3400.86,4630.80,-69.30,-6682.25,1347.93,1229.94,36.17,
COALIN,COAL INDIA LIMITED,INE522F01014,120,212.21,131.85,+ 2.25,25465.20,15822.00,-348.00,-4546.55,(208.26),-9643.20,(37.87),
COCSHI,COCHIN SHIPYARD LIMITED,INE704P01017,15,379.14,338.05,- 1.83,5687.10,5070.75,94.50,5365.87,0.00,-616.35,(10.84),
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,8,1307.67,1411.15,- 1.62,10461.36,11289.20,185.60,6082.54,0.00,827.84,7.91,
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,10,543.36,379.60,+ 0.66,5433.60,3796.00,-25.00,-15184.00,(2098.58),-1637.60,(30.14),
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,10,548.35,752.10,+ 0.56,5483.50,7521.00,-42.00,-17907.14,0.00,2037.50,37.16,
CRISIL,CRISIL LIMITED,INE007A01025,7,1578.45,1722.60,- 1.36,11049.15,12058.20,166.60,7237.82,0.00,1009.05,9.13,
CUMIND,CUMMINS INDIA LTD,INE298A01020,17,633.94,448.80,+ 2.76,10776.98,7629.60,-204.85,-3724.48,0.00,-3147.38,(29.20),
DABIND,DABUR INDIA LTD,INE016A01026,14,378.69,497.10,- 0.15,5301.66,6959.40,10.50,66280.00,0.00,1657.74,31.27,
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,15,376.83,358.95,+ 1.06,5652.45,5384.25,-56.25,-9572.00,0.00,-268.20,(4.74),
DELCOR,DELTA CORP LIMITED,INE124G01033,49,129.96,114.80,- 1.54,6368.04,5625.20,88.20,6377.78,0.00,-742.84,(11.67),
DISHTV,DISH TV INDIA LIMITED,INE836F01026,93,44.36,7.95,- 5.36,4125.48,739.35,41.85,1766.67,0.00,-3386.13,(82.08),
DLFLIM,DLF LIMITED,INE271C01023,65,155.95,142.45,- 3.59,10136.75,9259.25,344.50,2687.74,(6746.96),-877.50,(8.66),
DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,4,1232.96,1862.85,+ 0.45,4931.84,7451.40,-33.40,-22309.58,0.00,2519.56,51.09,
DRREDD,DR REDDYS LABORATORIES LTD,INE089A01023,2,2453.52,4519.40,+ 0.38,4907.04,9038.80,-34.30,-26352.19,493.65,4131.76,84.20,
EICMOT,EICHER MOTORS LTD,INE066A01013,1,22863.59,20144.15,- 7.05,22863.59,20144.15,1528.80,1317.64,(1917.23),-2719.44,(11.89),
EIDPAR,EID PARRY (INDIA) LTD,INE126A01031,31,197.92,281.45,- 3.56,6135.52,8724.95,322.40,2706.25,0.00,2589.43,42.20,
EIHLIM,EIH LIMITED,INE230A01023,51,104.80,75.20,- 1.25,5344.80,3835.20,48.45,7915.79,0.00,-1509.60,(28.24),
EMALIM,EMAMI LIMITED,INE548C01032,39,301.16,327.45,+ 0.78,11745.24,12770.55,-99.45,-12841.18,0.00,1025.31,8.73,
ENGIND,ENGINEERS INDIA LTD,INE510A01028,236,86.12,67.85,+ 0.59,20324.32,16012.60,-94.40,-16962.50,0.00,-4311.72,(21.21),
ENTNET,ENTERTAINMENT NETWORK (INDIA),INE265F01028,17,228.51,140.70,+ 7.40,3884.67,2391.90,-164.90,-1450.52,0.00,-1492.77,(38.43),
ESSPRO,ESSEL PROPACK LIMITED,INE255A01020,14,121.08,268.00,+ 0.88,1695.12,3752.00,-32.90,-11404.26,0.00,2056.88,121.34,
EVEIND,EVEREADY INDUSTRIES INDIA LTD,INE128A01029,41,128.21,142.70,- 3.22,5256.61,5850.70,194.75,3004.21,0.00,594.09,11.30,
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,54,189.05,162.90,- 1.96,10208.70,8796.60,175.50,5012.31,0.00,-1412.10,(13.83),
FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01014,2,4816.78,3497.90,- 0.23,9633.56,6995.80,16.20,43183.95,0.00,-2637.76,(27.38),
FINCAB,FINOLEX CABLES LTD,INE235A01022,10,355.57,279.80,+ 1.25,3555.70,2798.00,-34.50,-8110.14,0.00,-757.70,(21.31),
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,16,211.17,117.05,- 1.97,3378.72,1872.80,37.60,4980.85,0.00,-1505.92,(44.57),
FUTRE,FUTURE RETAIL LIMITED,INE752P01024,40,161.88,103.30,- 1.15,6475.20,4132.00,48.00,8608.33,0.00,-2343.20,(36.19),
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,INE935Q01015,12,221.69,137.30,- 1.79,2660.28,1647.60,30.00,5492.00,0.00,-1012.68,(38.07),
GAIL,GAIL (INDIA) LIMITED,INE129A01019,188,113.61,95.95,- 1.49,21358.68,18038.60,272.60,6617.24,(355.80),-3320.08,(15.54),
GIC,GENERAL INSURANCE CORP INDIA,INE481Y01014,91,164.55,141.90, 0.00,14974.05,12912.90,0.00,0.00,0.00,-2061.15,(13.76),
GILIND,GILLETTE INDIA LTD,INE322A01010,2,5901.77,5050.65,+ 0.49,11803.54,10101.30,-49.10,-20572.91,0.00,-1702.24,(14.42),
GLAPHA,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2,1685.31,1518.10,- 0.39,3370.62,3036.20,12.00,25301.67,0.00,-334.42,(9.92),
GLEPHA,GLENMARK PHARMACEUTICALS LTD,INE935A01035,10,364.54,475.70,+ 2.38,3645.40,4757.00,-110.50,-4304.98,0.00,1111.60,30.49,
GODAGR,GODREJ AGROVET LIMITED,INE850D01014,14,411.16,484.10,- 1.25,5756.24,6777.40,86.10,7871.54,0.00,1021.16,17.74,
GODCON,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,3,746.99,684.60,- 3.47,2240.97,2053.80,73.80,2782.93,0.00,-187.17,(8.35),
GODIND,GODREJ INDUSTRIES LIMITED,INE233A01035,8,415.11,372.75,- 2.50,3320.88,2982.00,76.40,3903.14,0.00,-338.88,(10.20),
GODPHI,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,2,747.76,938.45,- 1.77,1495.52,1876.90,33.80,5552.96,0.00,381.38,25.50,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,7000,27.19,46.32,+ 0.72,190330.00,324240.00,-2310.00,-14036.36,0.00,133910.00,70.36,
GOOIND,GOODYEAR INDIA LTD,INE533A01012,6,1003.89,951.20,- 2.38,6023.34,5707.20,138.90,4108.86,20.50,-316.14,(5.25),
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,4,772.35,628.95,- 0.46,3089.40,2515.80,11.60,21687.93,(659.44),-573.60,(18.57),
GREEIN,GREENLAM INDUSTRIES LIMITED,INE544R01013,4,828.52,716.00,- 0.06,3314.08,2864.00,1.80,159111.11,0.00,-450.08,(13.58),
GREIN,GREENPLY INDUSTRIES LIMITED,INE461C01038,45,110.71,87.85,- 0.23,4981.95,3953.25,9.00,43925.00,0.00,-1028.70,(20.65),
GRINOR,GRINDWELL NORTON LTD,INE536A01023,11,497.51,521.40,+ 0.18,5472.61,5735.40,-10.45,-54884.21,0.00,262.79,4.80,
HATAGR,HATSUN AGRO PRODUCTS LTD,INE473B01035,2,762.28,736.10,- 0.84,1524.56,1472.20,12.40,11872.58,0.00,-52.36,(3.43),
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,17,634.08,611.00,- 0.24,10779.36,10387.00,25.50,40733.33,0.00,-392.36,(3.64),
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,14,421.62,709.10,- 2.14,5902.68,9927.40,217.00,4574.84,3330.73,4024.72,68.18,
HDFAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,13,1100.00,2345.60,+ 0.78,14300.00,30492.80,-235.95,-12923.42,0.00,16192.80,113.24,
HDFBAN,HDFC BANK LIMITED,INE040A01034,48,677.07,1034.45,- 2.32,32499.36,49653.60,1180.80,4205.08,2110.56,17154.24,52.78,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,15,1634.26,1791.70,- 0.73,24513.90,26875.50,197.25,13625.10,0.00,2361.60,9.63,
HDFGOL,HDFC GOLD ETF,INF179K01CN1,65,3043.89,4744.00,+ 0.78,197852.85,308360.00,-2382.25,-12944.07,0.00,110507.15,55.85,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,22,472.68,587.75,- 2.00,10398.96,12930.50,264.00,4897.92,0.00,2531.54,24.34,
HEICEM,HEIDELBERG CEMENT INDIA LTD,INE578A01017,33,169.42,192.15,+ 7.02,5590.86,6340.95,-415.80,-1525.00,0.00,750.09,13.42,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,13,2515.40,2803.80,- 0.21,32700.20,36449.40,76.05,47928.21,(191.79),3749.20,11.47,
HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,21,563.37,1293.60,+ 0.36,11830.77,27165.60,-97.65,-27819.35,0.00,15334.83,129.62,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,34,163.53,184.95,+ 0.76,5560.02,6288.30,-47.60,-13210.71,176.55,728.28,13.10,
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,19,1412.04,2173.90,- 1.13,26828.76,41304.10,470.25,8783.43,3488.20,14475.34,53.95,
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,62,222.28,208.65,- 1.74,13781.36,12936.30,229.40,5639.19,(1002.79),-845.06,(6.13),
HINZIN,HINDUSTAN ZINC LTD,INE267A01025,102,198.81,230.85,- 3.57,20278.62,23546.70,872.10,2700.00,(73.73),3268.08,16.12,
HITHOM,JOHNSON CONTROLS HITACHI AIR I,INE782A01015,1,2106.33,2027.20,+ 0.22,2106.33,2027.20,-4.45,-45555.06,0.00,-79.13,(3.76),
HONAUT,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,1,22891.60,30553.70,- 3.80,22891.60,30553.70,1206.35,2532.74,2309.32,7662.10,33.47,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,132,35.44,35.40,- 1.94,4678.08,4672.80,92.40,5057.14,0.00,-5.28,(0.11),
HUHPPL,HUHTAMAKI PPL LIMITED,INE275B01026,3,325.26,252.90,- 0.82,975.78,758.70,6.30,12042.86,0.00,-217.08,(22.25),
ICIBAN,ICICI BANK LIMITED,INE090A01021,39,308.91,361.40,- 1.81,12047.49,14094.60,259.35,5434.59,(1409.47),2047.11,16.99,
ICILOM,ICICI LOMBARD GEN INSURANCE CO,INE765G01017,10,1107.44,1309.75,- 3.99,11074.40,13097.50,544.00,2407.63,0.00,2023.10,18.27,
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,INE726G01019,27,397.59,458.95,- 2.50,10734.93,12391.65,317.25,3905.96,0.00,1656.72,15.43,
ICISEC,ICICI SECURITIES LTD ISEC,INE763G01038,9,271.80,479.40,- 2.68,2446.20,4314.60,118.80,3631.82,0.00,1868.40,76.38,
ICRLIM,ICRA LIMITED,INE725G01011,3,3404.91,2631.50,+ 0.60,10214.73,7894.50,-46.80,-16868.59,0.00,-2320.23,(22.71),
IIFSEC,IIFL SECURITIES LIMITED,INE489L01022,2,22.00,39.50,- 1.62,44.00,79.00,1.30,6076.92,0.00,35.00,79.55,
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,4,285.08,387.90,- 1.41,1140.32,1551.60,22.20,6989.19,0.00,411.28,36.07,
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,114,94.74,93.75,- 3.99,10800.36,10687.50,444.60,2403.85,(3735.83),-112.86,(1.04),
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,196,114.16,84.80,- 2.36,22375.36,16620.80,401.80,4136.59,249.72,-5754.56,(25.72),
INFEDG,INFO EDGE (INDIA) LIMITED,INE663F01024,4,1575.02,3246.15,- 0.80,6300.08,12984.60,104.40,12437.36,0.00,6684.52,106.10,
INFTEC,INFOSYS LTD,INE009A01021,55,558.52,953.60,+ 0.25,30718.60,52448.00,-132.00,-39733.33,944.68,21729.40,70.74,
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,11,1015.76,1139.15,- 1.88,11173.36,12530.65,240.35,5213.50,0.00,1357.29,12.15,
ITC,ITC LIMITED,INE154A01025,187,224.25,196.40,- 2.51,41934.75,36726.80,944.35,3889.11,3948.82,-5207.95,(12.42),
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,INE175A01038,24,94.01,11.70,- 4.10,2256.24,280.80,12.00,2340.00,0.00,-1975.44,(87.55),
JSWSTE,JSW STEEL LIMITED,INE019A01038,33,197.22,265.35,+ 2.61,6508.26,8756.55,-222.75,-3931.11,0.00,2248.29,34.55,
JUBFOO,JUBILANT FOODWORKS LIMITED,INE797F01012,6,1076.35,1869.65,- 1.24,6458.10,11217.90,141.30,7939.07,0.00,4759.80,73.70,
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,28,486.41,402.75,- 0.41,13619.48,11277.00,46.20,24409.09,0.00,-2342.48,(17.20),
KANNER,KANSAI NEROLAC PAINTS,INE531A01024,12,434.48,474.35,- 0.48,5213.76,5692.20,27.60,20623.91,0.00,478.44,9.18,
KAVSEE,KAVERI SEED COMPANY LTD,INE455I01029,4,549.33,603.75,- 1.13,2197.32,2415.00,27.60,8750.00,0.00,217.68,9.91,
KOTGOL,KOTAK  GOLD ETF,INF373I01049,650,285.53,463.80,+ 0.57,185594.50,301470.00,-1696.50,-17770.11,0.00,115875.50,62.43,
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,5,1190.63,1307.45,- 2.16,5953.15,6537.25,144.00,4539.76,0.00,584.10,9.81,
KRBL,KRBL LIMITED,INE001B01026,35,199.01,286.15,- 2.54,6965.35,10015.25,260.75,3840.94,0.00,3049.90,43.79,
KSBPUM,KSB LIMITED,INE999A01015,10,550.59,520.35,+ 1.08,5505.90,5203.50,-55.50,-9375.68,0.00,-302.40,(5.49),
LAOPA,LA OPALA RG LIMITED,INE059D01020,12,185.52,195.40,- 3.46,2226.24,2344.80,84.00,2791.43,0.00,118.56,5.33,
LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,28,1129.97,982.80,- 0.80,31639.16,27518.40,221.20,12440.51,322.53,-4120.76,(13.02),
LEMTRE,LEMON TREE HOTELS LIMITED,INE970X01018,125,33.04,30.70,- 4.95,4130.00,3837.50,200.00,1918.75,0.00,-292.50,(7.08),
LICHF,LIC HOUSING FINANCE LIMITED,INE115A01026,50,278.18,264.15,- 2.51,13909.00,13207.50,340.00,3884.56,0.00,-701.50,(5.04),
LTFINA,LT FINANCE HOLDINGS LIMITED,INE498L01015,56,92.32,64.20,- 2.51,5169.92,3595.20,92.40,3890.91,0.00,-1574.72,(30.46),
LTINFO,LARSEN & TOUBRO INFOTECH LTD,INE214T01019,4,1680.63,2440.00,- 1.29,6722.52,9760.00,127.40,7660.91,0.00,3037.48,45.18,
LTTEC,L&T TECHNOLOGIES LIMITED,INE010V01017,4,1446.53,1564.90,- 1.87,5786.12,6259.60,119.20,5251.34,0.00,473.48,8.18,
LUPIN,LUPIN LIMITED,INE326A01037,7,1419.15,1018.20,+ 9.43,9934.05,7127.40,-613.90,-1161.00,0.00,-2806.65,(28.25),
MAHCIE,MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,24,127.76,120.10,+ 1.18,3066.24,2882.40,-33.60,-8578.57,0.00,-183.84,(6.00),
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,25,259.12,133.10,- 0.82,6478.00,3327.50,27.50,12100.00,0.00,-3150.50,(48.63),
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,INE998I01010,51,221.24,173.00,- 5.34,11283.24,8823.00,497.25,1774.36,0.00,-2460.24,(21.80),
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,10,328.05,293.55,- 1.53,3280.50,2935.50,45.50,6451.65,0.00,-345.00,(10.52),
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,38,503.82,614.45,- 2.69,19145.16,23349.10,646.00,3614.41,(2035.36),4203.94,21.96,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,18,125.92,154.55,- 0.35,2266.56,2781.90,9.90,28100.00,0.00,515.34,22.74,
MARLIM,MARICO LIMITED,INE196A01026,30,352.54,366.30,+ 0.05,10576.20,10989.00,-6.00,-183150.00,0.00,412.80,3.90,
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,4,6530.10,6588.20,- 2.13,26120.40,26352.80,573.80,4592.68,(4371.96),232.40,0.89,
MCX,MULTI COMMODITY EXCHANGE,INE745G01035,1,842.72,1657.80,- 1.62,842.72,1657.80,27.35,6061.43,0.00,815.08,96.72,
MERLIM,PROCTER AND GAMBLE HEALTH LTD,INE199A01012,1,4741.71,4684.70,- 0.04,4741.71,4684.70,1.70,275570.59,0.00,-57.01,(1.20),
MINLIM,MINDTREE LIMITED,INE018I01017,10,719.04,1135.95,- 1.16,7190.40,11359.50,133.50,8508.99,0.00,4169.10,57.98,
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,INE775A01035,65,103.42,120.00,- 0.58,6722.30,7800.00,45.50,17142.86,0.00,1077.70,16.03,
MUTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,11,482.39,1212.95,+ 2.95,5306.29,13342.45,-382.80,-3485.49,0.00,8036.16,151.45,
NAGCON,NCC LIMITED,INE868B01028,21,109.90,32.10,+ 1.58,2307.90,674.10,-10.50,-6420.00,0.00,-1633.80,(70.79),
NARHRU,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,22,278.37,332.55,- 2.64,6124.14,7316.10,198.00,3695.00,0.00,1191.96,19.46,
NATALU,NATIONAL ALUMINIUM CO LTD,INE139A01034,518,39.10,35.15,- 0.28,20253.80,18207.70,51.80,35150.00,(514.62),-2046.10,(10.10),
NATMIN,NMDC LIMITED,INE584A01023,148,90.64,93.10,- 0.05,13414.72,13778.80,7.40,186200.00,0.00,364.08,2.71,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,688,27.74,26.80,+ 2.88,19085.12,18438.40,-516.00,-3573.33,0.00,-646.72,(3.39),
NESIND,NESTLE INDIA LIMITED,INE239A01016,1,6693.11,16354.70,- 0.73,6693.11,16354.70,119.50,13685.94,0.00,9661.59,144.35,
