Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,7,118.00,23.75,0.03,0.00,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,2,118.00,6.79,0.01,0.00,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,1,118.00,3.39,0.00,0.00,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,7,143.90,29.72,0.03,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,3,165.25,14.63,0.03,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,BSE,
ADAENT,ADANI ENTERPRISES LIMITED,INE423A01024,Buy,3,165.20,14.63,0.03,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,BSE,
ADAGAS,ADANI GAS LIMITED,INE399L01023,Buy,17,72.00,0.00,0.00,0.00,Rolling,STT Paid,demerger,04-Nov-2018,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,3,376.30,33.31,0.04,0.30,Rolling,STT Paid,icicidirect,29-Sep-2017,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,1,362.90,10.71,0.01,0.00,Rolling,STT Paid,icicidirect,03-Jul-2018,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,1,362.90,10.71,0.01,0.90,Rolling,STT Paid,icicidirect,03-Jul-2018,NSE,
ADAPOR,ADANI PORT AND SPECIAL ECONO,INE742F01042,Buy,1,362.90,10.71,0.01,0.00,Rolling,STT Paid,icicidirect,03-Jul-2018,NSE,
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,Buy,4,268.00,31.63,0.03,0.00,Rolling,STT Paid,icicidirect,02-Feb-2018,NSE,
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,Buy,5,203.75,30.06,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jan-2019,BSE,
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,Buy,5,189.75,27.99,0.03,0.00,Rolling,STT Paid,icicidirect,02-Feb-2018,NSE,
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,Buy,10,108.40,31.99,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jan-2019,BSE,
ALLLOG,ALLCARGO LOGISTICS LTD,INE418H01029,Buy,35,88.00,41.31,0.07,0.00,Rolling,STT Paid,icicidirect,16-Mar-2020,NSE,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,Buy,1,879.90,25.30,0.03,0.00,Rolling,STT Paid,icicidirect,05-Jun-2017,NSE,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,Buy,2,752.45,41.31,0.05,0.00,Rolling,STT Paid,icicidirect,03-Jul-2018,NSE,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,Buy,9,607.55,48.42,0.15,0.60,Rolling,STT Paid,icicidirect,25-Jun-2019,BSE,
AMARAJ,AMARA RAJA BATTERIES LTD,INE885A01032,Buy,6,392.20,41.31,0.05,0.00,Rolling,STT Paid,icicidirect,23-Mar-2020,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,25,119.50,28.09,NA,NA,Rolling,STT Paid,icicidirect,04-Mar-2008,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,12,86.45,28.09,NA,NA,Rolling,STT Paid,icicidirect,06-Jun-2008,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,12,80.90,27.27,NA,NA,Rolling,STT Paid,icicidirect,09-Jun-2008,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Sell,39,58.85,28.09,0.08,0.23,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,5,105.95,14.61,0.02,0.05,Rolling,STT Paid,icicidirect,18-Feb-2010,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,5,103.80,14.31,0.02,0.05,Rolling,STT Paid,icicidirect,25-Feb-2010,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Sell,20,202.25,39.33,0.15,0.00,Rolling,STT Paid,icicidirect,01-Jan-2013,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,3,240.30,20.73,0.03,0.00,Rolling,STT Paid,icicidirect,05-Jun-2017,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,1,240.30,6.91,0.01,0.00,Rolling,STT Paid,icicidirect,05-Jun-2017,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,1,240.30,6.91,0.01,0.00,Rolling,STT Paid,icicidirect,05-Jun-2017,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,4,268.60,31.70,0.03,0.00,Rolling,STT Paid,icicidirect,02-Jan-2018,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,5,220.30,32.50,0.03,0.00,Rolling,STT Paid,icicidirect,02-Jan-2019,NSE,
AMBCE,AMBUJA CEMENTS LTD,INE079A01024,Buy,45,186.75,74.41,0.18,0.60,Rolling,STT Paid,icicidirect,07-Oct-2019,NSE,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,Buy,5,1211.00,52.22,0.22,0.00,Rolling,STT Paid,icicidirect,25-Jan-2017,NSE,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,Buy,1,1154.65,34.07,0.04,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,Buy,1,1153.40,34.03,0.03,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,NSE,
APOTYR,APOLLO TYRES LTD,INE438A01022,Buy,5,247.85,35.63,0.05,1.20,Rolling,STT Paid,icicidirect,02-Jun-2017,NSE,
APOTYR,APOLLO TYRES LTD,INE438A01022,Buy,4,255.80,30.19,0.03,0.00,Rolling,STT Paid,icicidirect,01-Feb-2018,NSE,
APOTYR,APOLLO TYRES LTD,INE438A01022,Buy,20,168.85,41.31,0.07,0.60,Rolling,STT Paid,icicidirect,13-Jan-2020,NSE,
APOTYR,APOLLO TYRES LTD,INE438A01022,Buy,96,115.20,97.92,0.24,0.00,Rolling,STT Paid,icicidirect,11-Mar-2020,NSE,
APOTYR,APOLLO TYRES LTD,INE438A01022,Buy,4,115.15,4.08,0.01,0.00,Rolling,STT Paid,icicidirect,11-Mar-2020,NSE,
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,Buy,1,590.00,0.00,0.00,0.00,Rolling,STT Not Paid,demerger,08-Mar-2019,NSE,
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,Buy,10,276.25,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,13-Mar-2020,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,35,84.85,28.09,NA,NA,Rolling,STT Paid,icicidirect,03-Mar-2008,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Sell,35,48.00,28.09,0.06,0.17,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,4,240.95,27.71,0.04,0.00,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,1,362.80,10.70,0.01,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,2,362.85,21.41,0.02,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,3,260.50,23.06,0.04,0.00,Rolling,STT Paid,icicidirect,05-Dec-2018,BSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,2,260.00,15.35,0.03,0.00,Rolling,STT Paid,icicidirect,05-Dec-2018,BSE,
ASAIND,ASAHI INDIA GLASS LIMITED,INE439A01020,Buy,10,170.70,41.31,0.06,0.60,Rolling,STT Paid,icicidirect,16-Jun-2020,NSE,
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,Buy,9,113.60,30.17,0.03,0.00,Rolling,STT Paid,icicidirect,29-Oct-2018,NSE,
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,Buy,70,61.50,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,13-Mar-2020,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1177.00,17.25,0.04,1.00,Rolling,STT Paid,icicidirect,22-Sep-2016,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1135.35,17.25,0.04,0.00,Rolling,STT Paid,icicidirect,24-Oct-2016,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,910.40,17.25,0.03,1.00,Rolling,STT Paid,icicidirect,22-Nov-2016,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,854.35,17.25,0.03,1.00,Rolling,STT Paid,icicidirect,22-Dec-2016,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,966.55,17.25,0.04,1.00,Rolling,STT Paid,icicidirect,23-Jan-2017,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1009.60,17.25,0.04,1.00,Rolling,STT Paid,icicidirect,22-Feb-2017,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1056.05,17.25,0.04,1.00,Rolling,STT Paid,icicidirect,22-Mar-2017,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1108.95,32.72,0.04,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,1,1275.70,37.64,0.06,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,BSE,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,Buy,3,1591.70,42.28,0.11,0.00,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
ASTPHA,ASTRAZENECA PHARMA INDIA LTD,INE203A01020,Buy,1,2100.00,41.31,0.05,0.30,Rolling,STT Paid,icicidirect,23-Sep-2019,NSE,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,Buy,2,737.90,41.31,0.05,0.60,Rolling,STT Paid,icicidirect,18-Jul-2017,NSE,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,Buy,1,671.15,19.80,0.02,0.00,Rolling,STT Paid,icicidirect,02-Jan-2018,NSE,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,Buy,1,786.85,23.22,0.04,0.30,Rolling,STT Paid,icicidirect,22-Apr-2019,BSE,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,Buy,2,710.28,40.25,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jun-2017,NSE,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,Buy,2,1314.85,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,Buy,2,0.00,0.00,0.00,0.00,Rolling,STT Not Paid,icicidirect,06-Jul-2018,NSE,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,Buy,3,384.65,34.05,0.03,0.30,Rolling,STT Paid,icicidirect,29-Oct-2018,NSE,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,Buy,20,304.95,54.00,0.13,0.00,Rolling,STT Paid,icicidirect,13-Mar-2020,NSE,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,Buy,1,1231.45,36.34,0.04,0.00,Rolling,STT Paid,icicidirect,16-Oct-2017,NSE,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,Buy,1,1427.00,41.31,0.04,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,NSE,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,Buy,1,2372.85,41.31,0.08,0.00,Rolling,STT Paid,icicidirect,17-Jun-2020,NSE,
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,Buy,1,2820.00,40.25,0.10,0.00,Rolling,STT Paid,icicidirect,16-Jun-2017,NSE,
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,Buy,1,2774.15,41.32,0.08,0.00,Rolling,STT Paid,icicidirect,04-Apr-2018,NSE,
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,Buy,3,2130.00,56.58,0.14,3.90,Rolling,STT Paid,icicidirect,13-Mar-2020,NSE,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,1,5618.95,49.76,0.18,0.00,Rolling,STT Paid,icicidirect,19-Sep-2017,NSE,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,Buy,1,2932.50,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,24-Aug-2018,NSE,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,Buy,1,2993.30,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,24-Aug-2018,NSE,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,Buy,1,1900.00,41.31,0.04,0.00,Rolling,STT Paid,icicidirect,27-Apr-2020,NSE,
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,Buy,8,159.45,37.64,0.04,0.30,Rolling,STT Paid,icicidirect,13-Nov-2017,NSE,
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,Buy,10,102.40,30.22,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jan-2019,BSE,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,Buy,1,1702.15,41.31,0.05,0.00,Rolling,STT Paid,icicidirect,11-Jul-2017,BSE,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,Buy,1,0.00,0.00,0.00,0.00,Rolling,STT Not Paid,icicidirect,02-Jan-2018,BSE,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,Buy,1,940.90,27.76,0.03,0.00,Rolling,STT Paid,icicidirect,05-Dec-2018,NSE,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,Sell,3,967.00,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,07-Jan-2020,NSE,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,Buy,5,1030.75,45.63,0.11,0.00,Rolling,STT Paid,icicidirect,13-Jan-2020,NSE,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,Buy,2,677.75,39.99,0.04,0.30,Rolling,STT Paid,icicidirect,23-Aug-2018,NSE,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,Sell,2,603.00,35.58,0.03,0.00,Rolling,STT Paid,icicidirect,15-Oct-2019,NSE,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,Buy,10,272.20,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,17-Jun-2020,NSE,
BASF,BASF INDIA LIMITED,INE373A01013,Buy,1,1393.95,40.08,0.05,0.00,Rolling,STT Paid,icicidirect,02-Jun-2017,NSE,
BASF,BASF INDIA LIMITED,INE373A01013,Buy,1,1983.95,41.31,0.06,0.00,Rolling,STT Paid,icicidirect,04-Apr-2018,NSE,
BASF,BASF INDIA LIMITED,INE373A01013,Buy,2,1182.30,41.31,0.08,0.51,Rolling,STT Paid,icicidirect,01-Jul-2020,NSE,
BATIND,BATA INDIA LIMITED,INE176A01028,Buy,2,548.50,31.54,0.04,0.00,Rolling,STT Paid,icicidirect,30-May-2017,NSE,
BATIND,BATA INDIA LIMITED,INE176A01028,Buy,2,732.90,41.31,0.05,0.90,Rolling,STT Paid,icicidirect,06-Dec-2017,NSE,
BATIND,BATA INDIA LIMITED,INE176A01028,Buy,1,1008.00,29.74,0.03,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,NSE,
BATIND,BATA INDIA LIMITED,INE176A01028,Buy,2,1301.95,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,18-Jun-2020,NSE,
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,Buy,1,4716.95,40.68,0.17,0.00,Rolling,STT Paid,icicidirect,09-Jun-2017,NSE,
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,Buy,1,2790.00,0.00,0.00,0.00,Rolling,STT Paid,monsanto merger,15-Nov-2019,NSE,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,Buy,4,253.55,29.92,0.03,0.00,Rolling,STT Paid,icicidirect,17-Jul-2017,NSE,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,Buy,4,255.10,30.11,0.03,0.00,Rolling,STT Paid,icicidirect,01-Feb-2018,NSE,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,Buy,4,326.90,38.58,0.04,0.00,Rolling,STT Paid,icicidirect,02-Jan-2019,NSE,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,Buy,5,502.70,41.32,0.09,0.00,Rolling,STT Paid,icicidirect,17-Jun-2020,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,5,793.00,33.41,NA,NA,Rolling,STT Paid,icicidirect,03-Mar-2008,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,5,765.00,32.23,NA,NA,Rolling,STT Paid,icicidirect,04-Mar-2008,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Sell,8,843.00,56.83,NA,NA,Rolling,STT Paid,icicidirect,05-Aug-2008,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,1,637.80,17.59,0.02,0.06,Rolling,STT Paid,icicidirect,26-Feb-2009,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,4,282.00,27.58,0.04,0.11,Rolling,STT Paid,icicidirect,18-Feb-2010,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,277.15,15.29,0.02,0.06,Rolling,STT Paid,icicidirect,25-Feb-2010,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,3,0.00,0.00,0.00,0.00,Rolling,STT Paid,manual,02-Jan-2013,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Sell,12,317.00,39.33,0.14,0.00,Rolling,STT Paid,icicidirect,11-Feb-2013,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,6,319.95,39.33,0.07,0.00,Rolling,STT Paid,icicidirect,31-Mar-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,3,328.15,16.85,0.04,0.00,Rolling,STT Paid,icicidirect,21-Apr-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,341.45,16.85,0.02,0.00,Rolling,STT Paid,icicidirect,20-May-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,336.10,16.85,0.02,0.00,Rolling,STT Paid,icicidirect,20-Jun-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,337.50,16.85,0.03,0.00,Rolling,STT Paid,icicidirect,21-Jul-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,375.35,16.85,0.03,0.33,Rolling,STT Paid,icicidirect,20-Aug-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,415.70,16.85,0.03,0.00,Rolling,STT Paid,icicidirect,22-Sep-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,400.00,16.85,0.03,0.00,Rolling,STT Paid,icicidirect,20-Oct-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,400.80,16.85,0.03,0.00,Rolling,STT Paid,icicidirect,20-Nov-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,346.80,16.85,0.03,0.00,Rolling,STT Paid,icicidirect,22-Dec-2014,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,2,495.00,29.21,0.03,0.00,Rolling,STT Paid,icicidirect,27-Nov-2017,NSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,4,290.00,34.23,0.05,0.00,Rolling,STT Paid,icicidirect,09-Nov-2018,BSE,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,Buy,10,543.85,48.15,0.12,0.90,Rolling,STT Paid,icicidirect,05-May-2020,NSE,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,Buy,3,351.25,31.22,0.77,0.30,Rolling,STT Paid,icicidirect,17-Sep-2018,BSE,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,Buy,6,279.90,14.87,0.04,0.00,Rolling,STT Paid,icicidirect,04-Feb-2020,NSE,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,Buy,1,279.85,2.48,0.01,0.00,Rolling,STT Paid,icicidirect,04-Feb-2020,NSE,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,Buy,1,279.80,2.48,0.01,0.00,Rolling,STT Paid,icicidirect,04-Feb-2020,NSE,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,Buy,10,279.90,24.78,0.06,0.00,Rolling,STT Paid,icicidirect,04-Feb-2020,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,5,1430.00,60.25,NA,NA,Rolling,STT Paid,icicidirect,25-Feb-2008,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,2,1340.00,28.09,NA,NA,Rolling,STT Paid,icicidirect,04-Mar-2008,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Sell,5,659.00,27.77,0.12,0.33,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Sell,2,659.00,11.11,0.05,0.13,Rolling,STT Paid,icicidirect,11-Nov-2008,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,6,184.90,32.73,0.04,0.00,Rolling,STT Paid,icicidirect,24-Aug-2017,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,7,145.95,30.14,0.03,0.00,Rolling,STT Paid,icicidirect,04-Apr-2018,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,10,93.10,27.47,0.03,0.30,Rolling,STT Paid,icicidirect,18-Apr-2019,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,81,86.60,62.11,0.15,0.00,Rolling,STT Paid,icicidirect,11-Feb-2020,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,139,69.75,85.84,0.21,0.00,Rolling,STT Paid,icicidirect,11-Mar-2020,NSE,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,Buy,3,69.75,1.85,0.00,0.00,Rolling,STT Paid,icicidirect,11-Mar-2020,NSE,
BHAFOR,BHARAT FORGE LIMITED,INE465A01025,Buy,10,495.70,43.89,0.11,0.00,Rolling,STT Paid,icicidirect,30-Jan-2020,NSE,
BHAINF,BHARTI INFRATEL LIMITED,INE121J01017,Buy,3,409.05,36.21,0.04,0.30,Rolling,STT Paid,icicidirect,03-Oct-2017,NSE,
