,Units,10,5,5,,
Group 7,,,,,,
Food Processing,Company,,Nestle,Britannia,GlaxoSmithKline Consumer,Varun Beverages
,Units,20,5,5,5,5
Food Processing,Company,,Coffee Day,KRBL,Venkys India,Future Consumer Limited
,Units,8,2,2,2,2
Food Processing,Company,,Hatsun,,,
,Units,2,2,,,
Glass & Glass Products,Company,,Asahi Glass,La Opala,Saint Gobain,Piramal Glass
,Units,2,2,0,0,0
Hospitals & Medical Services,Company,,Apollo Hospitals,Fortis Healthcare,Narayana Hrudayalaya,Aster DM
,Units,15,10,2,3,0
Hospitals & Medical Services,Company,,HCG,Columbia Asia,Manipal Hospital,
,Units,0,0,0,0,
Hotels,Company,,Indian Hotels,EIH,Mahindra Holidays,Lemon Tree Hotels
,Units,18,10,3,5,0
Hotels,Company,,WestLife Development,ITDC,Barbeque Nation,Yum India
,Units,2,2,0,0,0
Infrastructure - General,Company,,Larsen & Toubro ,Adani Ports,Siemens India,ABB India
,Units,35,20,5,5,5
Infrastructure - General,Company,,BHEL,NBCC,Engineers India,Schneider Electric Infrastructure
,Units,15,5,5,5,0
Infrastructure - General,Company,,BEML,,,
,Units,0,0,,,
,,,,,,
Leather Products,Company,,Bata,Relaxo Footwear,Khadim,Liberty shoes
,Units,10,5,5,0,0
Lubricants,Company,,Castrol,Gulf Oil,Tide Water Oil,
,Units,2,2,0,0,
Machine Tools,,,,,,
Group 8,,,,,,
Media & Entertainment,Company,,ZEE Entertainment,Dish TV,PVR,Sun TV Network
,PEP,,,,,Maran Family (DMK)
,Units,15,5,5,5,0
Metals - Non Ferrous,Company,,Hindustan Zinc,,,
,Units,5,5,,,
Mining & Minerals,Company,,Coal India ,Vedanta,NMDC,
,Units,15,5,5,5,
Oil Drilling And Exploration,Company,,ONGC,GAIL,Petronet LNG,Oil India
,Units,16,5,4,4,3
Oil Drilling And Exploration,Company,,Indraprasath Gas,,,
,Units,5,5,,,
Packaging,Company,,Uflex,Essel Propack,Huhtamaki PPL,
,Units,6,2,2,2,
Paints & Varnishes,Company,,Asian Paints,Kansai Nerolac,Berger Paints,Akzo Nobel
,Units,20,10,5,3,2
Paper,Company,,JK Paper,,,
,Units,0,0,,,
Group 9,,,,,,
Personal Care,Company,,Hindustan Unilever,Colgate Palmolive India,Procter & Gamble,Gillette India
,Units,30,20,2,6,2
Personal Care,Company,,Dabur,Marico,Emami,Godrej Consumer Products
,Units,20,5,5,5,5
Pesticides & Agro Chemicals,Company,,Bayer CropScience,PI Industries,Rallis India,Monsanto India
,Units,15,5,3,2,5
Petrochemicals,,,,,,
Pharmaceuticals,Company,,Cipla,Lupin,Sun Pharma ,Piramal Enterprises
,Units,25,5,5,10,5
Pharmaceuticals,Company,,Dr. Reddy's Laboratories,Aurobindo Pharma,Glenmark Pharma,Cadila Healthcare
,Units,16,5,5,3,3
Pharmaceuticals,Company,,Glaxosmithkline Pharma,Sanofi India,Abbott India,Pfizer
,Units,6,2,2,2,2
Pharmaceuticals,Company,,Biocon,LALPATHLAB,,
,Units,4,2,2,,
Plantations - Tea & Coffee,Company,,Tata Global Beverages,Tata Coffee,McLeod Russel,
,Units,10,5,5,0,
Plastics,Company,,Supreme Industries,Nilkamal,VIP Industries,Jain Irrigation
,Units,11,2,2,5,2
Plastics,Company,,Astral,Finolex Industries,Prince Plastics,
,Units,0,0,0,0,0
Power - Generation & Distribution,Company,,NTPC ,NHPC ,NLC India,Tata Power
,Units,18,10,3,3,2
Power - Generation & Distribution,Company,,Power Grid Corp ,Adani Transmission ,,
,Units,2,5,2,,
Power - Transmission & Equipment,Company,,GE Power India,GE T&D India,,
,Units,,0,0,,
Group 10,,,,,,
Pumps,Company,,KSB Pumps,Kirloskar Brothers ,Shakti Pumps ,
,Units,2,2,0,0,
Refineries,Company,,Reliance Industries,IOC,BPCL,Hindustan Petroleum
,Units,32,20,5,4,3
Retail,Company,,Aditya Birla Fashion & Retail,Trent,Shoppers Stop,Future Retail 
,Units,8,2,2,2,2
Retail,Company,,Future Lifestyle Fashion,Avenue Supermarts,,
,Units,4,2,2,,
Rubber,Company,,Apar Industries,COSCO INDIA,,
,Units,0,0,0,,
Shipping,Company,,Great Eastern Shipping,Shipping Corporation,Cochin Shipyard Ltd,
,Units,3,0,3,0,
Steel - CR & HR Strips,,,,,,
Steel - GP & GC Sheets,,,,,,
Steel - Large,Company,,Tata Steel,JSW Steel,SAIL,
,Units,10,5,5,0,
Steel - Medium & Small,,,,,,
Steel - Pig Iron,,,,,,
Steel - Rolling,,,,,,
Steel - Sponge Iron,,,,,,
Steel - Tubes & Pipes,,,,,,
Group 11,,,,,,
Sugar,Company,,EID Parry,Balrampur Chini Mills,Shree Renuka Sugars,Bajaj Hindustan
,Units,7,3,2,2,0
Telecommunications - Equipment,Company,,Honeywell Automation ,Bharti Infratel ,,
,Units,13,10,3,,
Telecommunications - Service,Company,,Bharti Airtel,Idea,Bharti Infratel,
,Units,15,10,5,0,
Textiles - Composite Mills,,,,,,
Textiles - Cotton Blended,,,,,,
Textiles - Denim,Company,,Arvind Limited ,,,
,Units,3,3,,,
Textiles - General,,,,,,
Textiles - Hosiery & Knitwear,,,,,,
Textiles - Machinery,,,,,,
Textiles - Manmade,,,,,,
Textiles - Processing,,,,,,
Textiles - Readymade Apparels,Company,,Page Industries ,,,
,Units,15,15,,,
Textiles - Spinning - Cotton Blended,,,,,,
Textiles - Spinning - Synthetic Blended,,,,,,
Textiles - Synthetic & Silk,,,,,,
Textiles - Terry Towels,,,,,,
Textiles - Weaving,,,,,,
Textiles - Woollen & Worsted,Company,,Raymond ,,,
,Units,0,0,,,
Trading,Company,,Adani Enterprises ,,,
,Units,2,2,,,
Transport & Logistics,Company,,Interglobe Aviation,Container Corporation,VRL Logistics,Allcargo Logistics
,Units,12,5,3,2,2
Transport & Logistics,Company,,Aegis logistics,Mahindra Logistics,Future Supply Chain,
,Units,6,2,2,2,
Tyres,Company,,MRF,Apollo Tyres,CEAT ,JK Tyre 
,Units,66,60,2,2,2
Tyres,Company,,Balkrishna Industries,Goodyear ,TVS Srichakra,Unlisted players : World View
,Units,6,2,2,2,0
Vanaspati & Oils,,,,,,
Group 12,,,,,,
,,,,,,
Miscellaneous,,,,,,
MIsc : Credit Rating Agencies,Company,,ICRA,CRISIL,CARE Ratings,IndiaRatings
,Units,10,5,3,2,0
Misc: Hospitality,Company,,Thomas Cook,Cox & Kings,Jubilant Food ,Wonderla Holidays Limited
,Units,8,2,2,2,2
Misc: Fitness,Company,,Talwalkars Better Value Fitness,,,
,Units,2,2,,,
Misc: Woodwork,Company,,Century Plyboard,Greenlam,Greenply,
,Units,7,3,2,2,
Misc: Trading,Company,,BSE,MCX,Central Depository,ICICI Securities
,Units,8,2,2,2,2
Misc: Asset Management,Company,,HDFC AMC,,,
,Units,2,2,,,
Misc: Unknown,Company,,Sheela foam,,,
,Units,2,2,,,
Misc: Defense,Company,,HAL,Bharat Dynamics,,
,Units,4,2,2,,
