,Comp #,EQ Collection ,SURI 250,Prepared By : @surinder432,Weight Multiplier,1000,Last Updated : 31-Jul-2018
,3,Ceramics (Tiles) & Granite,,,KAJARIA CERAMICS,SOMANY CERAMICS,Asian Granito
,2,Sanitaryware,,,,CERA SANITARYWARE,HSIL LIMITED
,4,Paints,,ASIAN PAINTS INDIA LTD,KANSAI NEROLAC,BERGER PAINTS,AKZO NOBEL INDIA
,1,Plyboard,,,,,CENTURY PLYBOARDS
,1,Laminate,,,,,GREENLAM INDUSTRIES
,1,Home furnishing (mattress),,,,SHEELA FOAM,
Chemicals & Agro-chemicals,4,Agro Chemicals - Domestic,,COROMANDEL INTERNATIONAL,CHAMBAL FERTILIZERS,RALLIS INDIA,PI INDUSTRIES
,4,Agro Chemicals - MNC,,UPL LIMITED,BAYER CROPSCIENCE,BASF INDIA,MONSANTO INDIA
,1,Salt,,,,,TATA CHEMICALS
,1,Fevicol (Adhesive),,PIDILITE INDUSTRIES,,,
Infrastructure,4,General - Domestic,LARSEN AND TOUBRO,,NBCC,NCC,ENGINEERS INDIA
,4,General - MNC,,ABB INDIA,HONEYWELL AUTOMATION,SIEMENS,CUMMINS INDIA
Consumer Goods,1,Refrigerator,#,,,,
,1,Fan,,,,,Crompton Greaves Consumer
,4,AC,,HAVELLS INDIA,VOLTAS LTD,BLUE STAR,Johnson Control
,2,Washing Machine,,,,WHIRLPOOL OF India,IFB Industries
,1,Kitchen Appliances,,,,,TTK PRESTIGE
,1,Stabilizer & UPS,,,,,V-Guard Industries
Education,1,K-12 and PreSchool,,,,,ZEE LEARN
Tobacco,3,Cigarette,ITC,,,VST INDUSTRIES,GODFREY PHILLIPS
Gold Jewellary,3,Jewellery,,TITAN COMPANY,,RAJESH EXPORTS,PC JEWELLER
Hospitality,3,Hotels & Resorts,,,INDIAN HOTELS,MAHINDRA HOLIDAYS,EIH
,1,Pizza,,,,,JUBILANT FOODWORKS
,1,Burger / Sandwitch,,,,,WESTLIFE DEVELOPMENT
,1,Hangout place,,,,,COFFEE DAY ENTERPRISES
,2,Tours & Travels,,,,COX & KINGS,THOMAS COOK
,1,Amusement Park,,,,Wonderla Resorts,
,1,Facility Management,,,,QUESS Corp,
Media & Entertainment,1,Movies (Theater Screens),,,,PVR LIMITED,
,1,DTH,,,,DISH TV,
,1,TV (General Entertainment),,,,ZEE ENTERTAINMENT,
,0,TV (News & Business),,,,,
Information Technology,4,IT Services  - 1,TCS,INFOSYS,,HCL TECHNOLOGIES,WIPRO
,2,IT Services - 2,,,,TECH MAHINDRA,LTI
,2,IT Products,,,,INFO EDGE,LTTS
Metals,2,Aluminium,,,HINDALCO,,NATIONAL ALUMINIUM
,1,Zinc,,,HINDUSTAN ZINC,,
,2,Steel,,JSW STEEL,TATA STEEL,,
,1,Iron,,,,NMDC,
,1,Diversified,,VEDANTA,,,
,1,Coal,,,,COAL INDIA,
Fitness,2,Gym,,,,TALWALKARS BETTER VALUE,TALWALKARS Lifestyle
Retail,4,Large format,,Avenue Supermarts,TRENT LTD,SHOPPERS STOP,FUTURE RETAIL
Textile -1 ,3,Brand Ownership,,,ADITYA BIRLA FASHION & Retail,FUTURE LIFESTYLE FASHIONS,ARVIND Limited
Textile - 2,1,,,,,,PAGE INDUSTRIES
Footwear,2,Focussed groups only,,,,BATA INDIA,RELAXO FOOTWEARS
Bags / Luggage,1,Luggage & Bags,,,,VIP INDUSTRIES,
Paper,0,paper packaging,,,,,
Plastic & Packaging Products,3,home & retail & agri,,,SUPREME INDUSTRIES,NILKAMAL,JAIN IRRIGATION SYSTEMS
,3,packaging : fmcg,,,ESSEL PROPACK,Huhtamaki PPL,UFLEX
Batteries (Dry cell),1,Toy battery,,,,,EVEREADY INDUSTRIES
Pump,1,water pump,,,,,KSB PUMPS
Hospitals,3,Multi-city players,,,APOLLO HOSPITALS,FORTIS HEALTHCARE,NARAYANA HRUDAYALAYA
Pharma,4,Domestic - 1,,SUN PHARMACEUTICAL,DR REDDY'S LAB,CIPLA,GLENMARK PHARMACEUTICALS
,4,Domestic -2,,LUPIN LIMITED,CADILA HEALTHCARE,AUROBINDO PHARMA,BIOCON
,4,International,,ABBOTT INDIA,SANOFI INDIA,PFIZER,GLAXOSMITHKLINE PHARMACEUTICAL
,1,Diagnostic,,,,DR. LAL PATHLABS,
POWER,4,Power Generation,,NTPC LIMITED,TATA POWER CO,NLC,NHPC
,1,Power Plant (Equipments),,,,BHARAT HEAVY ELECTRICALS,
,2,Transmission & Distribution,,,,POWER GRID CORPORATION,Adani Transmission
Oil & Gas,3,Explorers and Refineries,RELIANCE INDUSTRIES,ONGC,,OIL INDIA,
,1,Gas Terminals,,,,PETRONET LNG,
,2,Piped gas & city gas,,,,GAIL,Indraprasath Gas
,3,Oil & gas marketing companies,,,Bharat Petroleum,HINDUSTAN PETROLEUM,IOCL
,1,Lubricant,,,,CASTROL INDIA,
Logistics,1,Bus,,,,,VRL LOGISTICS
,1,Courier,,,,BLUE DART EXPRESS,
,1,Railway (cargo),,,,CONTAINER CORPORATION,
,2,Ship (Vessels),,,,SHIPPING CORP OF INDIA,AllCargo Logistics
,1,Ports,,,,ADANI PORT AND SEZ,
,1,Liquid Transportation,,,,,Aegis Logistics
,1,Automobile Transportation,,,,,Mahindra Logistics
,1,Retail transportation,,,,,Future Supply Chain Solution
Telecom,2,Telcom,BHARTI AIRTEL,Vodafone Idea,,,
,1,Tower Infrastructure,,,,BHARTI INFRATEL,
Diversified,3,Multiple sectors,,,PIRAMAL ENTERPRISES,ADANI ENTERPRISES,3M INDIA LIMITED
,4,Holding companies,,Tata Investment,Bajaj Holdings & Investment,GRASIM,GODREJ INDUSTRIES
Defense,1,Aerospace,,,,HINDUSTAN AERONAUTICS,
,2,Defense Arms & Equipments,,,,BHARAT ELECTRONICS,Bharat Dynamics
Abrasives,2,Abrasives and related,,,,Carborundum Universal,Grindwell Norton
Sugar,3,Sugar Mills,,,EID PARRY,Balrampur Chinni Mills,Shree Renuka Sugars
Rice,1,Rice mills etc (FMCG),,,,,KRBL
Feed,3,Animal feed and meat (FMCG),,,AVANTI FEEDS,Godrej AgroVet,VENKYS INDIA
FMCG Companies (cover all),3,MNC,HINDUSTAN UNILEVER,,NESTLE INDIA,,GLAXOSMITHKLINE CONSUMER
,3,Domestic - 1,,PROCTER & GAMBLE,COLGATE-PALMOLIVE ,GILLETTE INDIA,
,3,Domestic - 2,,,DABUR INDIA LTD,GODREJ CONSUMER PRODUCTS,Future Consumer
,3,Domestic - 3,,BRITANNIA INDUSTRIES,,MARICO,EMAMI
,4,Domestic - 4,,TATA GLOBAL BEVERAGES,TATA COFFEE,VARUN BEVERAGES,Hatsun Agro
