comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Zee entertainment enterprises,INE256A01028,3,8,-5,-167,28-Jan-2019,98,Buy,Large Cap,411,532,29 %,(11.52),472.31,19,0,20,25,13,15,2,66, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Bharat electronics,INE263A01024,3,3,0,0,18-Apr-2019,18,Buy,Large Cap,88,110,25 %,(35.51),137.08,33,0,17,24,11,10,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Heidelbergcement,INE578A01017,3,1,2,67,26-Oct-2018,192,Buy,Small Cap,182,224,23 %,31.97,137.80,34,1,9,12,16,42,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Godrej agrovet,INE850D01014,3,2,1,33,09-Nov-2018,178,Buy,Mid Cap,519,638,22 %,(8.70),574.13,29,0,21,21,13,18,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Hindustan petroleum corporation,INE094A01015,3,3,0,0,09-Oct-2018,209,Buy,Large Cap,286,350,22 %,(5.90),285.64,40,1,28,21,1,49,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Central depository services,INE736A01011,3,2,1,33,03-Jul-2018,307,Buy,Small Cap,232,283,21 %,(24.80),309.19,34,0,17,23,13,15,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Eih,INE230A01023,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,188,224,19 %,21.71,158.33,42,0,6,9,2,24,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Century plyboards,INE348B01021,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,169,200,18 %,(26.15),246.52,13,1,28,22,12,25,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Wabco,INE342J01019,3,7,-4,-133,07-Sep-2018,241,Buy,Mid Cap,6313,7435,17 %,(9.46),6926.00,6,0,18,26,22,15,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Bosch,INE323A01026,3,19,-16,-533,12-Mar-2019,55,Buy,Large Cap,18023,20306,12 %,(6.68),19279.95,23,0,17,24,6,9,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
Amara raja batteries,INE885A01032,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,659,736,11 %,(17.48),817.16,15,0,20,29,15,10,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge10 
