ticker, comp_name, isin, weight_units, rank, captype, mcap
GLENMARK, Glenmark pharmaceuticals, INE935A01035, 1, 154, Mid Cap, 17093
GODFRYPHLP, Godfrey phillips, INE260B01028, 1, 327, Small Cap, 5129
GODREJAGRO, Godrej agrovet, INE850D01014, 2, 233, Mid Cap, 9615
GODREJCP, Godrej consumer products, INE102D01028, 10, 41, Large Cap, 71031
GODREJIND, Godrej industries, INE233A01035, 1, 156, Mid Cap, 16915
GODREJPROP, Godrej properties, INE484J01027, 5, 143, Mid Cap, 18557
GOODYEAR, Goodyear, INE533A01012, 1, 527, Micro Cap, 2124
GRASIM, Grasim industries, INE047A01021, 2, 51, Large Cap, 54621
GREENLAM, Greenlam industries, INE544R01013, 1, 535, Micro Cap, 2037
GREENPLY, Greenply industries, INE461C01038, 2, 561, Micro Cap, 1840
GRINDWELL, Grindwell norton, INE536A01023, 1, 296, Small Cap, 6318
GSKCONS, Glaxosmithkline consumer healt, INE264A01014, 2, 92, Large Cap, 30781
HAL, Hindustan aeronautics, INE066F01012, 2, 115, Mid Cap, 23346
HATSUN, Hatsun agro product, INE473B01035, 1, 208, Mid Cap, 10673
HAVELLS, Havells, INE176B01034, 10, 58, Large Cap, 46112
HCLTECH, Hcl technologies, INE860A01027, 5, 19, Large Cap, 143798
HDFC, Housing development finance co, INE001A01036, 20, 6, Large Cap, 344992
HDFCAMC, Hdfc asset management company, INE127D01025, 1, 86, Large Cap, 33352
HDFCBANK, Hdfc bank, INE040A01026, 10, 3, Large Cap, 612337
HDFCLIFE, Hdfc life insurance company li, INE795G01014, 5, 35, Large Cap, 79407
HEIDELBERG, Heidelbergcement, INE578A01017, 1, 385, Small Cap, 3915
HEROMOTOCO, Hero motocorp, INE158A01026, 20, 53, Large Cap, 54044
HINDALCO, Hindalco industries, INE038A01020, 5, 61, Large Cap, 45397
HINDPETRO, Hindustan petroleum corporatio, INE094A01015, 2, 72, Large Cap, 40308
HINDUNILVR, Hindustan unilever, INE030A01027, 20, 4, Large Cap, 379019
HINDZINC, Hindustan zinc, INE267A01025, 5, 25, Large Cap, 110726
HONAUT, Honeywell automation, INE671A01010, 5, 133, Mid Cap, 20407
HSIL, Hsil, INE415A01038, 1, 574, Micro Cap, 1757
HUDCO, Housing &urban development cor, INE031A01017, 2, 259, Small Cap, 8431
IBULHSGFIN, Indiabulls housing finance, INE148I01020, 5, 91, Large Cap, 31172
ICICIBANK, Icici bank, INE090A01021, 5, 10, Large Cap, 249330
ICICIGI, Icici lombard general insurance company, INE765G01017, 10, 59, Large Cap, 45798
ICICIPRULI, Icici prudential life insurance company, INE726G01019, 2, 56, Large Cap, 49413
ICRA, Icra, INE725G01011, 2, 453, Small Cap, 2958
IDEA, Vodafone idea, INE669E01016, 5, 81, Large Cap, 34836
IFBIND, Ifb industries, INE559A01017, 1, 414, Small Cap, 3381
IGL, Indraprastha gas, INE203G01027, 2, 129, Mid Cap, 21127
IIFL, Iifl finance, INE530B01024, 1, 192, Mid Cap, 12042
INDHOTEL, Indian hotels co, INE053A01029, 10, 149, Mid Cap, 17403
INDIGO, Interglobe aviation, INE646L01027, 2, 55, Large Cap, 52610
INDUSINDBK, Indusind bank, INE095A01012, 1, 30, Large Cap, 94237
INFRATEL, Bharti infratel, INE121J01017, 2, 54, Large Cap, 53783
INFY, Infosys, INE009A01021, 20, 7, Large Cap, 319125
INOXLEISUR, Inox leisure, INE312H01016, 1, 441, Small Cap, 3069
IOC, Indian oil corporation, INE242A01010, 1, 20, Large Cap, 143112
ISEC, Icici securities, INE763G01038, 1, 275, Small Cap, 7190
ITC, Itc, INE154A01025, 20, 5, Large Cap, 352908
JCHAC, Johnson controls hitachi air c, INE782A01015, 1, 334, Small Cap, 4959
JISLJALEQS, Jain irrigation systems, INE175A01038, 1, 462, Small Cap, 2767
JSWSTEEL, Jsw steel, INE019A01038, 10, 42, Large Cap, 68162
JUBLFOOD, Jubilant foodworks, INE797F01012, 1, 152, Mid Cap, 17258
KAJARIACER, Kajaria ceramics, INE217B01036, 5, 242, Mid Cap, 9094
KANSAINER, Kansai nerolac paints, INE531A01024, 10, 112, Mid Cap, 24140
KOTAKBANK, Kotak mahindra bank, INE237A01028, 5, 9, Large Cap, 257588
KRBL, Krbl, INE001B01026, 1, 267, Small Cap, 7880
KSB, Ksb, INE999A01015, 1, 498, Small Cap, 2408
KSCL, Kaveri seed company, INE455I01029, 2, 436, Small Cap, 3134
L&TFH, L&t finance holdings, INE498L01015, 10, 103, Mid Cap, 26670
LALPATHLAB, Dr lal pathlabs, INE600L01024, 5, 255, Small Cap, 8668
LAOPALA, La opala rg, INE059D01020, 2, 510, Micro Cap, 2274
LEMONTREE, Lemon tree hotels, INE970X01018, 1, 311, Small Cap, 5819
LICHSGFIN, Lic housing finance, INE115A01026, 10, 108, Mid Cap, 25357
LT, Larsen toubro, INE018A01030, 20, 13, Large Cap, 194088
LTI, Larsen toubro infotech, INE214T01019, 1, 96, Large Cap, 29945
LTTS, L&t technology services limite, INE010V01017, 2, 155, Mid Cap, 16984
LUPIN, Lupin, INE326A01037, 10, 77, Large Cap, 35978
M&M, Mahindra mahindra, INE101A01026, 10, 33, Large Cap, 82795
M&MFIN, Mahindra mahindra financial, INE774D01024, 5, 106, Mid Cap, 25559
MAHINDCIE, Mahindra cie automotive limite, INE536H01010, 1, 252, Small Cap, 8788
MAHLOG, Mahindra logistics, INE766P01016, 1, 409, Small Cap, 3511
MANAPPURAM, Manappuram finance, INE522D01027, 1, 227, Mid Cap, 9855
MARICO, Marico, INE196A01026, 2, 57, Large Cap, 46444
MARUTI, Maruti suzuki, INE585B01010, 20, 11, Large Cap, 209413
MCDOWELL-N, United spirits, INE854D01024, 5, 71, Large Cap, 40316
MCX, Multi commodity exchangein, INE745G01035, 1, 384, Small Cap, 3920
MFSL, Max financial services, INE180A01020, 1, 199, Mid Cap, 11389
MHRIL, Mahindra holidays resorts in, INE998I01010, 5, 455, Small Cap, 2950
MOTHERSUMI, Motherson sumi systems, INE775A01035, 5, 63, Large Cap, 44775
MRF, Mrf, INE883A01011, 5, 111, Mid Cap, 24588
MUTHOOTFIN, Muthoot finance, INE414G01012, 2, 117, Mid Cap, 23054
NATIONALUM, National aluminium co, INE139A01034, 1, 218, Mid Cap, 10177
NAUKRI, Info edge, INE663F01024, 5, 118, Mid Cap, 22744
NBCC, Nbcc, INE095N01031, 5, 211, Mid Cap, 10563
NCC, Ncc, INE868B01028, 2, 313, Small Cap, 5774
NESTLEIND, Nestle, INE239A01016, 5, 26, Large Cap, 105857
NH, Narayana hrudayalaya, INE410P01011, 1, 364, Small Cap, 4272
NHPC, Nhpc, INE848E01016, 2, 110, Mid Cap, 24803
NIACL, The new assurance company, INE470Y01017, 5, 99, Large Cap, 29004
NILKAMAL, Nilkamal, INE310A01015, 2, 548, Micro Cap, 1954
NLCINDIA, Nlc, INE589A01014, 5, 236, Mid Cap, 9391
NMDC, Nmdc, INE584A01023, 2, 89, Large Cap, 31485
NOVARTIND, Novartis, INE234A01025, 1, 584, Micro Cap, 1709
NTPC, Ntpc, INE733E01010, 20, 22, Large Cap, 125696
OIL, Oil, INE274J01014, 2, 135, Mid Cap, 20065
ONGC, Oil natural gas corporatio, INE213A01029, 10, 12, Large Cap, 199871
PAGEIND, Page industries, INE761H01022, 1, 109, Mid Cap, 25164
PAPERPROD, Huhtamaki ppl, INE275B01026, 2, 609, Micro Cap, 1606
PCJEWELLER, Pc jeweller, INE785M01013, 1, 424, Small Cap, 3301
PEL, Piramal enterprises, INE140A01024, 10, 67, Large Cap, 43276
PETRONET, Petronet lng, INE347G01014, 2, 82, Large Cap, 34831
PFC, Power finance corporation, INE134E01011, 2, 94, Large Cap, 30231
PFIZER, Pfizer, INE182A01018, 2, 177, Mid Cap, 14086
PGHH, Procter gamble hygiene hea, INE179A01014, 10, 83, Large Cap, 33817
PGHL, Procter gamble health limite, INE199A01012, 5, 310, Small Cap, 5931
PIDILITIND, Pidilite industries, INE318A01026, 10, 47, Large Cap, 60189
PIIND, Piindustries, INE603J01030, 1, 181, Mid Cap, 13713
POWERGRID, Power grid corporationindi, INE752E01010, 2, 28, Large Cap, 100027
PRESTIGE, Prestige estates projects, INE811K01011, 2, 246, Mid Cap, 9025
PURVA, Puravankara, INE323I01011, 2, 572, Micro Cap, 1769
PVR, Pvr, INE191H01014, 2, 269, Small Cap, 7675
QUESS, Quess corp, INE615P01015, 5, 222, Mid Cap, 9960
RAJESHEXPO, Rajesh exports, INE343B01030, 2, 141, Mid Cap, 18713
RALLIS, Rallis, INE613A01020, 2, 444, Small Cap, 3038
RECLTD, Rec, INE020B01018, 1, 101, Mid Cap, 27454
RELAXO, Relaxo footwears, INE131B01039, 1, 228, Mid Cap, 9749
RELIANCE, Reliance industries, INE002A01018, 20, 1, Large Cap, 812261
SANOFI, Sanofi, INE058A01010, 5, 185, Mid Cap, 13429
SBILIFE, Sbi life insurance company, INE123W01016, 10, 45, Large Cap, 62815
SBIN, State bank, INE062A01020, 20, 8, Large Cap, 275319
SCHAEFFLER, Schaeffler, INE513A01014, 1, 251, Small Cap, 8800
SCI, Shipping corporation, INE109A01011, 2, 590, Micro Cap, 1695
SFL, Sheela foam, INE916U01025, 2, 294, Small Cap, 6380
SHREECEM, Shree cement, INE070A01015, 2, 44, Large Cap, 63840
SIEMENS, Siemens, INE003A01024, 2, 73, Large Cap, 39595
SIS, Security intelligence serv, INE285J01010, 2, 305, Small Cap, 6141
SKFINDIA, Skf, INE640A01023, 2, 226, Mid Cap, 9862
SOBHA, Sobha, INE671H01015, 1, 347, Small Cap, 4604
SOMANYCERA, Somany ceramics, INE355A01028, 2, 603, Micro Cap, 1628
SRTRANSFIN, Shriram transport finance col, INE721A01013, 1, 105, Mid Cap, 25642
SUNDARMHLD, Sundaram finance holdings, INE202Z01029, 1, 660, Micro Cap, 1329
SUNPHARMA, Sun pharmaceutical industries, INE044A01036, 10, 27, Large Cap, 104050
SUPREMEIND, Supreme industries, INE195A01028, 5, 183, Mid Cap, 13628
TALWALKARS, UNK_COMP_E, UNK_ISIN, 2, 0, UNK_COMP_E, 0
TALWGYM, UNK_COMP_E, UNK_ISIN, 1, 0, UNK_COMP_E, 0
TATACHEM, Tata chemicals, INE092A01019, 1, 166, Mid Cap, 15678
TATACOFFEE, Tata coffee, INE493A01027, 5, 595, Micro Cap, 1669
TATAELXSI, Tata elxsi, INE670A01012, 1, 314, Small Cap, 5699
TATAGLOBAL, Tata global beverages, INE192A01025, 10, 184, Mid Cap, 13526
TATAINVEST, Tata investment corporation lt, INE672A01018, 10, 348, Small Cap, 4572
TATAMOTORS, Tata motors, INE155A01022, 5, 48, Large Cap, 57049
TATAPOWER, Tata power co, INE245A01021, 10, 139, Mid Cap, 18775
TATASTEEL, Tata steel, INE081A01012, 5, 49, Large Cap, 56791
TCS, Tata consultancy services, INE467B01029, 10, 2, Large Cap, 773446
TECHM, Tech mahindra, INE669C01036, 1, 38, Large Cap, 75279
THOMASCOOK, Thomas cook, INE332A01027, 1, 257, Small Cap, 8516
THYROCARE, Thyrocare technologies, INE594H01019, 2, 470, Small Cap, 2700
TIINDIA, Tube investments, INE974X01010, 2, 279, Small Cap, 6911
TITAN, Titan company, INE280A01028, 10, 29, Large Cap, 98321
TRENT, Trent, INE849A01020, 5, 189, Mid Cap, 12135
TTKPRESTIG, Ttk prestige, INE690A01010, 1, 235, Mid Cap, 9447
TVSMOTOR, Tvs motor company, INE494B01023, 5, 116, Mid Cap, 23264
TVSSRICHAK, Tvs srichakra, INE421C01016, 2, 592, Micro Cap, 1681
UBL, United breweries, INE686F01025, 5, 75, Large Cap, 36577
UFLEX, Uflex, INE516A01017, 1, 583, Micro Cap, 1715
ULTRACEMCO, Ultratech cement, INE481G01011, 5, 24, Large Cap, 112987
UPL, Upl, INE628A01036, 10, 60, Large Cap, 45601
VBL, Varun beverages, INE200M01013, 2, 167, Mid Cap, 15580
VEDL, Vedanta, INE205A01025, 10, 43, Large Cap, 64741
VENKEYS, Venkys, INE398A01010, 1, 456, Small Cap, 2932
VGUARD, V guard industries, INE951I01027, 1, 239, Mid Cap, 9169
VIPIND, Vipindustries, INE054A01027, 2, 292, Small Cap, 6499
VOLTAS, Voltas, INE226A01021, 5, 137, Mid Cap, 19204
VRLLOG, Vrl logistics, INE366I01010, 1, 493, Small Cap, 2446
VSTIND, Vst industries, INE710A01016, 2, 324, Small Cap, 5193
VSTTILLERS, Vsttillers tractors, INE764D01017, 1, 688, Micro Cap, 1186
WABCOINDIA, Wabco, INE342J01019, 1, 194, Mid Cap, 11918
WESTLIFE, Westlife development, INE274F01020, 1, 312, Small Cap, 5817
WHIRLPOOL, Whirlpool, INE716A01013, 2, 144, Mid Cap, 18491
WIPRO, Wipro, INE075A01022, 2, 16, Large Cap, 166132
WONDERLA, Wonderla holidays, INE066O01014, 2, 599, Micro Cap, 1651
ZEEL, Zee entertainment enterprises, INE256A01028, 2, 74, Large Cap, 38856
ZEELEARN, Zee learn, INE565L01011, 1, 763, Nano Cap, 915
ZYDUSWELL, Zydus wellness, INE768C01010, 2, 288, Small Cap, 6720
…, UNK_COMP_E, UNK_ISIN, 20, 0, UNK_COMP_E, 0
Companies, -, -, 265, large 35 %, mid 30 %, small 26 %
Weight, -, -, 1121, large 60 %, mid 24 %, small 12 %
Ideal, -, -, 100, large 65-70 %, mid 20 %, small 10-15 %
