Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
ASHLEY,ASHOK LEYLAND LTD,INE208A01029,79,68.34,113.75,- 1.17,5398.86,8986.25,106.65,8425.93,0.00,3587.39,66.45,
ASIPAI,ASIAN PAINTS INDIA LTD,INE021A01026,12,1209.08,2435.00,- 0.04,14508.96,29220.00,11.40,256315.79,0.00,14711.04,101.39,
ASTPHA,ASTRAZENECA PHARMA INDIA LTD,INE203A01020,1,2141.66,3708.40,- 1.24,2141.66,3708.40,46.45,7983.64,0.00,1566.74,73.16,
AURPHA,AUROBINDO PHARMA LTD,INE406A01037,4,754.79,934.10,- 2.64,3019.16,3736.40,101.40,3684.81,0.00,717.24,23.76,
AVAFEE,AVANTI FEEDS LTD,INE871C01038,29,395.64,508.55,- 0.87,11473.56,14747.95,129.05,11428.09,0.00,3274.39,28.54,
AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,3,1716.81,2850.15,+ 1.23,5150.43,8550.45,-104.10,-8213.69,0.00,3400.02,66.01,
BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,5,2425.31,4184.00,+ 0.79,12126.55,20920.00,-164.75,-12698.03,0.00,8793.45,72.51,
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,1,5668.89,9145.85,+ 0.21,5668.89,9145.85,-19.40,-47143.56,0.00,3476.96,61.33,
BAJFI,BAJAJ FINANCE LIMITED,INE296A01024,1,2973.91,4891.10,+ 0.95,2973.91,4891.10,-46.15,-10598.27,0.00,1917.19,64.47,
BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,2,2488.03,3216.50,- 0.49,4976.06,6433.00,31.70,20293.38,0.00,1456.94,29.28,
BALCHI,BALRAMPUR CHINI MILLS LTD,INE119A01028,18,131.55,175.00,+ 0.63,2367.90,3150.00,-19.80,-15909.09,0.00,782.10,33.03,
BALIND,BALKRISHNA INDUSTRIES LTD,INE787D01026,5,1039.90,1658.30,- 0.59,5199.50,8291.50,49.00,16921.43,147.43,3092.00,59.47,
BANBAN,BANDHAN BANK LIMITED,INE545U01014,10,276.34,310.25,+ 2.09,2763.40,3102.50,-63.50,-4885.83,(225.44),339.10,12.27,
BASF,BASF INDIA LIMITED,INE373A01013,4,1466.48,1605.45,+ 0.32,5865.92,6421.80,-20.80,-30874.04,0.00,555.88,9.48,
BATIND,BATA INDIA LIMITED,INE176A01028,10,1046.46,1517.70,+ 0.29,10464.60,15177.00,-44.50,-34105.62,0.00,4712.40,45.03,
BAYIND,BAYER CROPSCIENCE LIMITED,INE462A01022,2,3773.90,5490.20,- 0.74,7547.80,10980.40,81.70,13439.90,0.00,3432.60,45.48,
BERPAI,BERGER PAINTS INDIA LTD,INE463A01038,17,352.70,739.30,+ 0.91,5995.90,12568.10,-113.90,-11034.33,0.00,6572.20,109.61,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,41,407.42,569.35,- 0.25,16704.22,23343.35,57.40,40667.86,215.19,6639.13,39.75,
BHADYN,BHARAT DYNAMICS LIMITED,INE171Z01018,21,293.75,333.30,- 0.98,6168.75,6999.30,69.30,10100.00,0.00,830.55,13.46,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,246,82.20,132.80,+ 0.38,20221.20,32668.80,-123.00,-26560.00,(5344.85),12447.60,61.56,
BHAFOR,BHARAT FORGE LIMITED,INE465A01025,10,500.10,596.00,- 1.03,5001.00,5960.00,62.00,9612.90,0.00,959.00,19.18,
BHAINF,INDUS TOWERS LIMITED,INE121J01017,22,268.28,238.65,+ 0.04,5902.16,5250.30,-2.20,-238650.00,0.00,-651.86,(11.04),
BHAPET,BHARAT PETROLEUM CORPN LTD,INE029A01011,18,340.71,386.20,+ 1.46,6132.78,6951.60,-99.90,-6958.56,590.72,818.82,13.35,
BHEL,BHARAT HEAVY ELECTRICALS LTD,INE257A01026,516,35.10,35.60,- 0.28,18111.60,18369.60,51.60,35600.00,(496.84),258.00,1.42,
BIOCON,BIOCON LIMITED,INE376G01013,4,313.28,383.60,+ 1.59,1253.12,1534.40,-24.00,-6393.33,0.00,281.28,22.45,
BLUDAR,BLUE DART EXPRESS LTD,INE233B01017,3,3363.08,4241.65,- 1.63,10089.24,12724.95,210.75,6037.94,0.00,2635.71,26.12,
BLUSTA,BLUE STAR LTD,INE472A01039,11,543.58,752.30,- 1.03,5979.38,8275.30,85.80,9644.87,0.00,2295.92,38.40,
BORGLA,BOROSIL RENEWABLES LIMITED,INE666D01022,12,177.29,267.40,+ 2.49,2127.48,3208.80,-78.00,-4113.85,0.00,1081.32,50.83,
BORLIM,BOROSIL LIMITED,INE02PY01013,12,186.00,191.35,+ 0.31,2232.00,2296.20,-7.20,-31891.67,0.00,64.20,2.88,
BOSLIM,BOSCH LIMITED,INE323A01026,2,15082.61,15884.20,+ 2.20,30165.22,31768.40,-683.30,-4649.26,(4020.09),1603.18,5.31,
BRIENT,BRIGADE ENTERPRISES LIMITED,INE791I01019,18,153.51,237.65,+ 0.83,2763.18,4277.70,-35.10,-12187.18,0.00,1514.52,54.81,
BRIIND,BRITANNIA INDUSTRIES LTD,INE216A01030,5,2447.08,3613.00,+ 0.14,12235.40,18065.00,-26.00,-69480.77,0.00,5829.60,47.65,
BSE,BSE LIMITED,INE118H01025,28,506.01,588.95,+ 1.06,14168.28,16490.60,-172.20,-9576.42,0.00,2322.32,16.39,
CADHEA,CADILA HEALTHCARE LIMITED,INE010B01027,18,298.85,461.40,- 0.17,5379.30,8305.20,14.40,57675.00,0.00,2925.90,54.39,
CARE,CARE RATINGS LIMITED,INE752H01013,20,720.79,489.00,+ 2.28,14415.80,9780.00,-218.00,-4486.24,0.00,-4635.80,(32.16),
CARUNI,CARBORUNDUM UNIVERSAL LTD,INE120A01034,22,339.46,421.15,- 2.22,7468.12,9265.30,210.10,4409.95,0.00,1797.18,24.06,
CASIND,CASTROL INDIA LIMITED,INE172A01027,69,152.93,124.60,+ 0.65,10552.17,8597.40,-55.20,-15575.00,0.00,-1954.77,(18.52),
CDSL,CENTRAL DEPOSITORY SER IND LTD,INE736A01011,7,309.19,483.90,- 1.18,2164.33,3387.30,40.60,8343.10,0.00,1222.97,56.51,
CEAT,CEAT LIMITED,INE482A01020,6,1144.71,1478.00,- 0.94,6868.26,8868.00,84.60,10482.27,0.00,1999.74,29.12,
CENPLY,CENTURY PLYBOARDS (INDIA) LTD,INE348B01021,65,161.75,264.70,- 0.36,10513.75,17205.50,61.75,27863.16,0.00,6691.75,63.65,
CERSAN,CERA SANITARYWARE LIMITED,INE739E01017,3,2808.39,3490.85,- 0.66,8425.17,10472.55,69.45,15079.27,0.00,2047.38,24.30,
CHOINV,CHOLAMANDALAM INVESTMENT AND F,INE121A01024,15,193.78,413.50,+ 0.73,2906.70,6202.50,-45.00,-13783.33,0.00,3295.80,113.39,
CIPLA,CIPLA LIMITED,INE059A01026,6,566.81,835.50,- 0.83,3400.86,5013.00,42.00,11935.71,1347.93,1612.14,47.40,
COALIN,COAL INDIA LIMITED,INE522F01014,120,212.21,129.65,+ 0.39,25465.20,15558.00,-60.00,-25930.00,(208.26),-9907.20,(38.90),
COCSHI,COCHIN SHIPYARD LIMITED,INE704P01017,15,379.14,344.30,- 1.25,5687.10,5164.50,65.25,7914.94,0.00,-522.60,(9.19),
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD,INE259A01022,8,1307.67,1550.00,+ 0.35,10461.36,12400.00,-43.20,-28703.70,0.00,1938.64,18.53,
COMAGE,COMPUTER AGE MANAGEMENT SERV,INE596I01012,8,1412.18,1788.05,- 0.54,11297.44,14304.40,77.60,18433.51,0.00,3006.96,26.62,
CONCOR,CONTAINER CORPORATION OF INDIA,INE111A01025,10,543.36,440.25,+ 1.55,5433.60,4402.50,-67.00,-6570.90,(2098.58),-1031.10,(18.98),
CORINT,COROMANDEL INTERNATIONAL LIMIT,INE169A01031,10,548.35,815.75,- 0.73,5483.50,8157.50,60.00,13595.83,0.00,2674.00,48.76,
CRISIL,CRISIL LIMITED,INE007A01025,7,1578.45,1923.60,+ 1.08,11049.15,13465.20,-143.50,-9383.41,0.00,2416.05,21.87,
CUMIND,CUMMINS INDIA LTD,INE298A01020,17,633.94,630.00,+ 0.93,10776.98,10710.00,-98.60,-10862.07,0.00,-66.98,(0.62),
DABIND,DABUR INDIA LTD,INE016A01026,24,437.64,531.50,+ 0.72,10503.36,12756.00,-91.20,-13986.84,0.00,2252.64,21.45,
DCMSHR,DCM SHRIRAM LIMITED,INE499A01024,15,376.83,447.15,- 0.85,5652.45,6707.25,57.75,11614.29,0.00,1054.80,18.66,
DELCOR,DELTA CORP LIMITED,INE124G01033,49,129.96,143.00,+ 1.38,6368.04,7007.00,-95.55,-7333.33,0.00,638.96,10.03,
DISHTV,DISH TV INDIA LIMITED,INE836F01026,93,44.36,12.28,+ 0.90,4125.48,1142.04,-10.23,-11163.64,0.00,-2983.44,(72.32),
DLFLIM,DLF LIMITED,INE271C01023,65,155.95,260.75,+ 0.87,10136.75,16948.75,-146.25,-11588.89,(6746.96),6812.00,67.20,
DRLAL,DR. LAL PATHLABS LIMITED,INE600L01024,4,1232.96,2284.60,- 2.76,4931.84,9138.40,259.60,3520.18,0.00,4206.56,85.29,
DRREDD,DR REDDYS LABORATORIES LTD,INE089A01023,2,2453.52,4821.25,- 1.78,4907.04,9642.50,175.20,5503.71,493.65,4735.46,96.50,
EICMOT,EICHER MOTORS LTD,INE066A01021,10,2286.35,2828.45,+ 1.60,22863.50,28284.50,-444.50,-6363.22,(1917.18),5421.00,23.71,
EIDPAR,EID PARRY (INDIA) LTD,INE126A01031,31,197.92,339.70,- 0.60,6135.52,10530.70,63.55,16570.73,0.00,4395.18,71.64,
EIHLIM,EIH LIMITED,INE230A01023,51,104.80,92.00,- 0.76,5344.80,4692.00,35.70,13142.86,0.00,-652.80,(12.21),
EMALIM,EMAMI LIMITED,INE548C01032,39,301.16,484.80,+ 0.47,11745.24,18907.20,-87.75,-21546.67,0.00,7161.96,60.98,
EMBOFF,EMBASSY OFFICE PARKS REIT,INE041025011,200,364.39,351.00,- 1.08,72878.00,70200.00,766.00,9164.49,0.00,-2678.00,(3.67),
ENGIND,ENGINEERS INDIA LTD,INE510A01028,236,86.12,73.65,- 0.34,20324.32,17381.40,59.00,29460.00,0.00,-2942.92,(14.48),
ENTNET,ENTERTAINMENT NETWORK (INDIA),INE265F01028,17,228.51,141.40,- 1.84,3884.67,2403.80,45.05,5335.85,0.00,-1480.87,(38.12),
ESSPRO,EPL LIMITED,INE255A01020,14,121.08,245.70,- 1.58,1695.12,3439.80,55.30,6220.25,0.00,1744.68,102.92,
EVEIND,EVEREADY INDUSTRIES INDIA LTD,INE128A01029,41,128.21,194.70,- 0.23,5256.61,7982.70,18.45,43266.67,0.00,2726.09,51.86,
EXIIND,EXIDE INDUSTRIES LTD,INE302A01020,54,189.05,197.95,+ 0.64,10208.70,10689.30,-67.50,-15836.00,0.00,480.60,4.71,
FAGBEA,SCHAEFFLER INDIA LIMITED,INE513A01014,2,4816.78,4300.00,- 1.33,9633.56,8600.00,116.10,7407.41,0.00,-1033.56,(10.73),
FINCAB,FINOLEX CABLES LTD,INE235A01022,10,355.57,375.20,+ 0.36,3555.70,3752.00,-13.50,-27792.59,0.00,196.30,5.52,
FUTLIF,FUTURE LIFESTYLE FASHIONS LTD,INE452O01016,16,211.17,87.85,+ 2.27,3378.72,1405.60,-31.20,-4505.13,0.00,-1973.12,(58.40),
FUTRE,FUTURE RETAIL LIMITED,INE752P01024,40,161.88,79.35,+ 2.72,6475.20,3174.00,-84.00,-3778.57,0.00,-3301.20,(50.98),
FUTSUP,FUTURE SUPPLY CHAIN SOL LTD,INE935Q01015,12,221.69,102.90,+ 2.18,2660.28,1234.80,-26.40,-4677.27,0.00,-1425.48,(53.58),
GAIL,GAIL (INDIA) LIMITED,INE129A01019,188,113.61,128.25,+ 0.31,21358.68,24111.00,-75.20,-32062.50,(355.80),2752.32,12.89,
GIC,GENERAL INSURANCE CORP INDIA,INE481Y01014,91,164.55,133.25,+ 0.38,14974.05,12125.75,-45.50,-26650.00,0.00,-2848.30,(19.02),
GILIND,GILLETTE INDIA LTD,INE322A01010,2,5901.77,5688.80,- 0.14,11803.54,11377.60,16.20,70232.10,0.00,-425.94,(3.61),
GLAPHA,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2,1685.31,1472.80,+ 0.26,3370.62,2945.60,-7.50,-39274.67,0.00,-425.02,(12.61),
GLEPHA,GLENMARK PHARMACEUTICALS LTD,INE935A01035,10,364.54,483.85,- 0.34,3645.40,4838.50,16.50,29324.24,0.00,1193.10,32.73,
GODAGR,GODREJ AGROVET LIMITED,INE850D01014,14,411.16,529.65,- 0.54,5756.24,7415.10,39.90,18584.21,0.00,1658.86,28.82,
GODCON,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,3,746.99,774.75,+ 0.08,2240.97,2324.25,-1.80,-129125.00,0.00,83.28,3.72,
GODIND,GODREJ INDUSTRIES LIMITED,INE233A01035,8,415.11,436.45,+ 0.81,3320.88,3491.60,-28.00,-12470.00,0.00,170.72,5.14,
GODPHI,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,8,852.93,919.65,+ 0.20,6823.44,7357.20,-14.40,-51091.67,0.00,533.76,7.82,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,7000,27.19,42.50,- 0.14,190330.00,297500.00,420.00,70833.33,0.00,107170.00,56.31,
GOOIND,GOODYEAR INDIA LTD,INE533A01012,6,1003.89,933.10,- 1.88,6023.34,5598.60,107.40,5212.85,20.50,-424.74,(7.05),
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,4,772.35,1058.70,- 0.26,3089.40,4234.80,11.00,38498.18,(659.44),1145.40,37.08,
GREEIN,GREENLAM INDUSTRIES LIMITED,INE544R01013,4,828.52,793.30,- 1.53,3314.08,3173.20,49.20,6449.59,0.00,-140.88,(4.25),
GREIN,GREENPLY INDUSTRIES LIMITED,INE461C01038,45,110.71,119.30,- 1.16,4981.95,5368.50,63.00,8521.43,0.00,386.55,7.76,
GRINOR,GRINDWELL NORTON LTD,INE536A01023,11,497.51,694.05,+ 0.86,5472.61,7634.55,-64.90,-11763.56,0.00,2161.94,39.50,
HATAGR,HATSUN AGRO PRODUCTS LTD,INE473B01035,2,762.28,696.35,- 1.69,1524.56,1392.70,24.00,5802.92,0.00,-131.86,(8.65),
HAVIND,HAVELLS INDIA LIMITED,INE176B01034,17,634.08,1149.00,+ 2.96,10779.36,19533.00,-561.00,-3481.82,0.00,8753.64,81.21,
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,14,421.62,948.70,- 0.72,5902.68,13281.80,95.90,13849.64,3330.73,7379.12,125.01,
HDFAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,13,1100.00,2911.00,- 0.09,14300.00,37843.00,32.50,116440.00,0.00,23543.00,164.64,
HDFBAN,HDFC BANK LIMITED,INE040A01034,48,677.07,1371.00,- 2.75,32499.36,65808.00,1862.40,3533.51,2110.56,33308.64,102.49,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,19,1654.33,2439.80,- 1.09,31432.27,46356.20,510.15,9086.78,0.00,14923.93,47.48,
HDFGOL,HDFC GOLD ETF,INF179K01CN1,70,3154.10,4369.95,- 0.15,220787.00,305896.50,451.50,67751.16,0.00,85109.50,38.55,
HDFSTA,HDFC LIFE INSURANCE COM LTD,INE795G01014,22,472.68,681.00,- 0.19,10398.96,14982.00,28.60,52384.62,0.00,4583.04,44.07,
HEICEM,HEIDELBERG CEMENT INDIA LTD,INE578A01017,33,169.42,217.60,- 0.18,5590.86,7180.80,13.20,54400.00,0.00,1589.94,28.44,
HERHON,HERO MOTOCORP LIMITED,INE158A01026,13,2515.40,3398.05,+ 1.25,32700.20,44174.65,-543.40,-8129.31,(191.79),11474.45,35.09,
HINAER,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,21,563.37,924.50,+ 0.90,11830.77,19414.50,-173.25,-11206.06,0.00,7583.73,64.10,
HINDAL,HINDALCO INDUSTRIES LIMITED,INE038A01020,34,163.53,228.05,- 1.43,5560.02,7753.70,112.20,6910.61,176.55,2193.68,39.45,
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,23,1534.43,2327.00,- 2.67,35291.89,53521.00,1466.25,3650.20,3488.20,18229.11,51.65,
HINPET,HINDUSTAN PETROLEUM CORP,INE094A01015,62,222.28,219.15,+ 1.15,13781.36,13587.30,-155.00,-8766.00,(1002.79),-194.06,(1.41),
HINZIN,HINDUSTAN ZINC LTD,INE267A01025,102,198.81,263.70,- 0.11,20278.62,26897.40,30.60,87900.00,(73.73),6618.78,32.64,
HITHOM,JOHNSON CONTROLS HITACHI AIR I,INE782A01015,1,2106.33,2455.80,- 0.62,2106.33,2455.80,15.20,16156.58,0.00,349.47,16.59,
HONAUT,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,1,22891.60,38322.80,- 0.27,22891.60,38322.80,105.05,36480.53,2309.32,15431.20,67.41,
HUDCO,HOUSING URBAN DEV CO LTD HUDCO,INE031A01017,132,35.44,41.65,+ 0.12,4678.08,5497.80,-6.60,-83300.00,0.00,819.72,17.52,
HUHPPL,HUHTAMAKI INDIA LTD,INE275B01026,3,325.26,304.00,+ 0.41,975.78,912.00,-3.75,-24320.00,0.00,-63.78,(6.54),
ICIBAN,ICICI BANK LIMITED,INE090A01021,39,308.91,518.40,- 0.75,12047.49,20217.60,152.10,13292.31,(1409.47),8170.11,67.82,
ICILOM,ICICI LOMBARD GEN INSURANCE CO,INE765G01017,10,1107.44,1390.00,+ 0.94,11074.40,13900.00,-130.00,-10692.31,0.00,2825.60,25.51,
ICIPRU,ICICI PRUDENTIAL LIFE INS CO,INE726G01019,27,397.59,500.00,+ 0.19,10734.93,13500.00,-25.65,-52631.58,0.00,2765.07,25.76,
ICISEC,ICICI SECURITIES LTD ISEC,INE763G01038,9,271.80,421.25,+ 1.90,2446.20,3791.25,-70.65,-5366.24,0.00,1345.05,54.99,
ICRLIM,ICRA LIMITED,INE725G01011,3,3404.91,2740.80,+ 1.21,10214.73,8222.40,-98.40,-8356.10,0.00,-1992.33,(19.50),
IIFSEC,IIFL SECURITIES LIMITED,INE489L01022,2,22.00,48.30,- 1.33,44.00,96.60,1.30,7430.77,0.00,52.60,119.55,
INDGAS,INDRAPRASHTHA GAS LTD,INE203G01027,4,285.08,529.60,- 0.72,1140.32,2118.40,15.40,13755.84,0.00,978.08,85.77,
INDHOT,INDIAN HOTELS CO LTD,INE053A01029,114,94.74,123.25,- 1.00,10800.36,14050.50,142.50,9860.00,(3735.83),3250.14,30.09,
INDOIL,INDIAN OIL CORPORATION LIMITED,INE242A01010,196,114.16,91.35,- 0.05,22375.36,17904.60,9.80,182700.00,249.72,-4470.76,(19.98),
INFEDG,INFO EDGE (INDIA) LIMITED,INE663F01024,4,1575.02,4609.55,- 2.04,6300.08,18438.20,384.80,4791.63,0.00,12138.12,192.67,
INFTEC,INFOSYS LTD,INE009A01021,55,558.52,1290.20,- 0.89,30718.60,70961.00,635.25,11170.56,944.68,40242.40,131.00,
INTAVI,INTERGLOBE AVIATION LIMITED,INE646L01027,11,1015.76,1623.45,+ 2.15,11173.36,17857.95,-375.65,-4753.88,0.00,6684.59,59.83,
ITC,ITC LIMITED,INE154A01025,187,224.25,210.10,- 0.28,41934.75,39288.70,112.20,35016.67,3948.82,-2646.05,(6.31),
JAIIRR,JAIN IRRIGATION SYSTEMS LTD,INE175A01038,24,94.01,20.55,+ 3.01,2256.24,493.20,-14.40,-3425.00,0.00,-1763.04,(78.14),
JSWSTE,JSW STEEL LIMITED,INE019A01038,33,197.22,371.75,- 1.24,6508.26,12267.75,153.45,7994.62,0.00,5759.49,88.50,
JUBFOO,JUBILANT FOODWORKS LIMITED,INE797F01012,6,1076.35,2643.80,+ 0.17,6458.10,15862.80,-27.00,-58751.11,0.00,9404.70,145.63,
KAJCER,KAJARIA CERAMICS LTD,INE217B01036,28,486.41,853.10,+ 0.41,13619.48,23886.80,-98.00,-24374.29,0.00,10267.32,75.39,
KANNER,KANSAI NEROLAC PAINTS,INE531A01024,12,434.48,576.00,+ 0.11,5213.76,6912.00,-7.80,-88615.38,0.00,1698.24,32.57,
KAVSEE,KAVERI SEED COMPANY LTD,INE455I01029,4,549.33,537.20,- 0.57,2197.32,2148.80,12.40,17329.03,0.00,-48.52,(2.21),
KOTGOL,KOTAK  GOLD ETF,INF373I01049,700,297.22,427.54,- 0.12,208054.00,299278.00,357.00,83831.37,0.00,91224.00,43.85,
KOTMAH,KOTAK MAHINDRA BANK LTD,INE237A01028,5,1190.63,1725.80,- 2.06,5953.15,8629.00,181.75,4747.73,0.00,2675.85,44.95,
KRBL,KRBL LIMITED,INE001B01026,35,199.01,233.25,+ 0.45,6965.35,8163.75,-36.75,-22214.29,0.00,1198.40,17.21,
KSBPUM,KSB LIMITED,INE999A01015,10,550.59,634.10,- 2.21,5505.90,6341.00,143.00,4434.27,0.00,835.10,15.17,
LAOPA,LA OPALA RG LIMITED,INE059D01020,12,185.52,220.15,+ 0.59,2226.24,2641.80,-15.60,-16934.62,0.00,415.56,18.67,
LARTOU,LARSEN AND TOUBRO LIMITED,INE018A01030,28,1129.97,1363.30,+ 0.26,31639.16,38172.40,-99.40,-38402.82,322.53,6533.24,20.65,
LEMTRE,LEMON TREE HOTELS LIMITED,INE970X01018,125,33.04,40.10,+ 0.25,4130.00,5012.50,-12.50,-40100.00,0.00,882.50,21.37,
LICHF,LIC HOUSING FINANCE LIMITED,INE115A01026,50,278.18,392.15,- 0.60,13909.00,19607.50,117.50,16687.23,0.00,5698.50,40.97,
LTFINA,LT FINANCE HOLDINGS LIMITED,INE498L01015,156,73.12,88.00,+ 0.57,11406.72,13728.00,-78.00,-17600.00,0.00,2321.28,20.35,
LTINFO,LARSEN & TOUBRO INFOTECH LTD,INE214T01019,4,1680.63,3994.00,- 0.79,6722.52,15976.00,127.20,12559.75,0.00,9253.48,137.65,
LTTEC,L&T TECHNOLOGIES LIMITED,INE010V01017,4,1446.53,2491.15,+ 0.73,5786.12,9964.60,-72.40,-13763.26,0.00,4178.48,72.22,
LUPIN,LUPIN LIMITED,INE326A01037,7,1419.15,1062.60,- 1.08,9934.05,7438.20,81.55,9121.03,0.00,-2495.85,(25.12),
MAHCIE,MAHINDRA CIE AUTOMOTIVE LTD,INE536H01010,24,127.76,166.00,- 1.31,3066.24,3984.00,52.80,7545.45,0.00,917.76,29.93,
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,55,186.43,173.35,+ 0.87,10253.65,9534.25,-82.50,-11556.67,0.00,-719.40,(7.02),
MAHHOL,MAHINDRA HOLIDAYS & RESORTS IN,INE998I01010,51,221.24,212.65,+ 2.66,11283.24,10845.15,-280.50,-3866.36,0.00,-438.09,(3.88),
MAHLO,MAHINDRA LOGISTICS LIMITED,INE766P01016,10,328.05,493.50,- 1.74,3280.50,4935.00,87.50,5640.00,0.00,1654.50,50.43,
MAHMAH,MAHINDRA & MAHINDRA LIMITED,INE101A01026,38,503.82,762.75,- 0.92,19145.16,28984.50,269.80,10742.96,(2035.36),9839.34,51.39,
MANAFI,MANAPPURAM FINANCE LIMITED,INE522D01027,18,125.92,156.45,+ 1.23,2266.56,2816.10,-34.20,-8234.21,0.00,549.54,24.25,
MARLIM,MARICO LIMITED,INE196A01026,30,352.54,405.65,- 1.66,10576.20,12169.50,205.50,5921.90,0.00,1593.30,15.06,
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,4,6530.10,7834.60,- 0.40,26120.40,31338.40,125.80,24911.29,(4371.96),5218.00,19.98,
MCX,MULTI COMMODITY EXCHANGE,INE745G01035,1,842.72,1644.40,- 0.51,842.72,1644.40,8.45,19460.36,0.00,801.68,95.13,
MERLIM,PROCTER AND GAMBLE HEALTH LTD,INE199A01012,1,4741.71,7215.00,+ 0.51,4741.71,7215.00,-36.50,-19767.12,0.00,2473.29,52.16,
MINBUS,MINDSPACE BUSINESS PARKS REIT,INE0CCU25019,200,307.76,331.31, 0.00,61552.00,66262.00,0.00,0.00,0.00,4710.00,7.65,
MINLIM,MINDTREE LIMITED,INE018I01017,10,719.04,1716.00,+ 0.69,7190.40,17160.00,-117.50,-14604.26,0.00,9969.60,138.65,
MOTSUM,MOTHERSON SUMI SYSTEMS LIMITED,INE775A01035,65,103.42,152.35,+ 0.79,6722.30,9902.75,-78.00,-12695.83,0.00,3180.45,47.31,
MUTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,11,482.39,1129.65,- 0.30,5306.29,12426.15,36.85,33720.90,0.00,7119.86,134.18,
NAGCON,NCC LIMITED,INE868B01028,21,109.90,59.55,+ 0.68,2307.90,1250.55,-8.40,-14887.50,0.00,-1057.35,(45.81),
