comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
JUBLFOOD,-,-,-,-,-,-,-,-,-,10,-,-,10
KAJARIA CERAMICS,-,-,-,-,-,-,-,-,9,-,-,-,9
KANSAINER,-,-,-,-,-,13,-,-,-,-,-,-,13
KAVERI SEED COMPANY,-,-,-,-,-,-,-,-,-,-,-,6,6
KOTAK MAHINDRA BANK,-,-,-,-,-,-,1,-,-,-,-,-,1
KRBL,-,-,-,-,-,-,-,11,-,-,-,-,11
KSB,-,-,-,-,18,-,-,-,-,-,-,-,18
L&TFH,-,-,-,-,-,-,-,6,-,-,-,-,6
LALPATHLAB,-,-,-,-,-,-,-,6,-,-,5,-,11
LICHSGFIN,-,-,-,-,-,-,-,20,-,-,-,-,20
LT,-,-,-,-,-,-,-,112,-,-,-,-,112
LTI,-,-,-,-,-,-,-,14,-,-,13,-,27
LTTS,-,-,-,-,-,-,-,12,-,-,7,-,19
LUPIN,-,-,-,-,-,-,-,30,-,-,-,-,30
M&M,-,-,-,-,-,-,12,30,-,-,-,-,42
MAHINDRA LOGISTICS,-,-,-,-,-,-,-,3,-,-,-,-,3
MANAPPURAM,-,-,5,-,-,5,-,-,5,-,-,5,20
MARICO,-,-,28,-,-,-,-,-,-,-,14,-,42
MARUTI SUZUKI ,-,-,-,-,-,-,-,80,-,-,-,-,80
MCX,-,-,-,-,-,-,-,-,17,-,-,-,17
MHRIL,-,-,-,-,-,-,-,24,-,-,-,-,24
MONSANTO,-,-,-,-,-,-,-,30,-,-,50,-,80
MOTHERSUMI,-,-,-,-,-,-,-,13,-,-,-,-,13
MRF,-,-,-,-,-,-,-,54,-,-,3,-,57
NATIONALUM,-,-,216,-,-,-,-,-,34,-,-,-,250
NAUKRI,-,4,-,-,-,-,4,-,-,-,7,-,15
NBCC,-,-,-,-,-,-,-,-,-,11,-,-,11
NCC,-,-,-,-,-,-,-,21,-,-,-,-,21
NESTLE,-,-,-,-,-,43,-,20,-,-,-,50,113
NHPC,-,-,56,-,-,-,-,-,-,11,-,-,67
NIACL,-,-,-,-,-,-,-,10,-,-,-,-,10
NILKAMAL,-,-,-,-,-,-,9,-,-,-,8,-,17
NLC,-,-,108,-,-,-,-,3,-,-,-,-,111
NMDC,-,-,-,73,-,-,-,-,-,-,-,-,73
NTPC,-,175,16,-,-,-,-,-,-,100,-,-,291
OIL,-,-,85,-,-,113,-,-,-,10,-,-,208
ONGC,-,-,168,-,-,-,-,-,-,34,-,-,202
PAGE INDUSTRIES,-,-,-,-,-,35,-,41,-,-,151,-,227
PC JEWELLER,-,-,-,-,-,-,-,-,-,7,-,-,7
PETRONET LNG,-,-,-,-,-,-,-,-,40,-,49,-,89
PFIZER,-,-,-,-,-,-,-,-,20,-,-,-,20
PGHH,-,-,40,-,-,-,-,-,-,-,-,40,80
PI INDUSTRIES,-,-,-,-,-,-,-,2,-,-,2,-,4
PIDILITIND,-,-,-,-,-,-,-,-,18,-,-,-,18
PIRAMAL ENTERPRISES,-,-,-,-,-,-,50,-,-,-,-,-,50
POWERGRID,-,-,204,-,-,-,-,-,81,-,-,-,285
PRAXIS,-,-,-,31,-,-,-,-,-,-,-,-,31
PRESTIGE,-,-,-,-,-,-,-,-,10,-,-,-,10
PURVA,-,-,-,-,-,-,-,-,-,36,-,-,36
PVR,-,-,-,-,-,-,-,-,-,4,-,-,4
RAJESHEXPO,-,-,-,-,-,-,-,-,-,4,-,-,4
RALLIS,-,-,-,-,-,-,25,-,-,-,-,-,25
RECLTD,-,-,220,-,-,-,-,-,-,21,-,-,241
RELAXO FOOTWEARS,-,-,-,-,-,-,-,-,6,-,-,-,6
RELIANCE INDUSTRIES,-,-,-,-,-,-,90,-,-,-,-,-,90
SANOFI,-,-,-,-,53,-,-,18,-,-,-,-,71
SBILIFE,-,-,-,4,-,-,-,-,-,-,-,-,4
SHOPPERS STOP,-,-,-,-,-,-,4,-,-,-,-,-,4
SIEMENS,-,21,-,-,-,-,-,-,-,-,-,-,21
SKF,-,-,-,-,-,-,24,-,-,-,-,-,24
SOBHA,-,-,-,-,-,-,-,42,-,-,-,-,42
SOMANY CERAMICS,-,-,-,-,-,-,-,-,2,-,-,-,2
SRTRANSFIN,-,-,-,-,-,-,-,6,-,-,5,-,11
SUNDARMFIN,-,5,-,-,-,-,-,-,-,-,-,-,5
SUNPHARMA,-,-,-,-,-,-,-,-,-,30,-,-,30
SUPREME INDUSTRIES,-,-,-,-,-,-,18,-,-,-,8,-,26
TALWALKARS,-,-,-,-,-,-,-,-,-,4,-,-,4
TALWGYM,-,-,-,-,-,-,-,-,-,11,-,-,11
TATACHEM,-,-,-,-,-,-,88,-,-,-,-,-,88
TATACOFFEE,-,-,-,-,-,-,22,-,-,-,-,-,22
TATACONSUM,-,-,-,-,-,-,30,-,-,-,-,-,30
TATAPOWER,-,-,-,-,-,-,32,-,-,-,-,-,32
TATASTEEL,-,-,-,-,-,-,140,-,-,-,-,-,140
TCS,68,-,-,-,-,232,64,-,-,64,-,-,428
TECH MAHINDRA,-,-,-,-,-,-,-,84,-,-,-,-,84
THOMASCOOK,-,-,-,-,-,-,-,-,-,3,-,-,3
TIINDIA,-,17,-,-,-,-,-,3,-,-,-,-,20
TITAN,-,-,-,-,-,-,-,22,-,-,-,-,22
TRENT,-,-,-,-,-,-,-,8,-,-,-,-,8
TTK PRESTIGE,-,-,-,-,-,-,-,30,-,-,-,-,30
TVS MOTOR COMPANY,-,-,8,-,-,-,-,-,-,-,13,-,21
UBL,-,-,-,-,-,-,-,-,-,4,-,-,4
UFLEX,-,-,-,-,-,-,-,8,-,-,-,-,8
ULTRATECH CEMENT,-,-,-,-,-,-,31,-,-,-,-,-,31
UPL,-,-,-,-,-,-,-,56,-,-,-,-,56
VEDANTA,-,-,59,-,-,-,-,-,-,-,340,-,399
VENKEYS,-,-,-,-,-,-,-,-,-,8,-,-,8
VGUARD INDUSTRIES,-,-,-,-,-,-,-,2,-,-,-,-,2
VIP INDUSTRIES,-,13,-,-,-,-,18,-,-,-,-,-,31
VOLTAS,-,-,-,-,-,-,-,16,-,-,-,-,16
VRLLOG,-,-,-,-,-,-,-,-,-,-,21,-,21
VSTIND,-,-,-,-,-,-,-,-,-,77,-,-,77
VSTTILLERS,-,-,-,-,-,-,-,50,-,-,-,-,50
WHIRLPOOL,-,-,-,-,-,-,-,-,8,-,-,-,8
WIPRO,-,25,87,-,-,-,-,-,-,-,-,-,112
WONDERLA,-,-,-,-,-,-,-,4,-,-,-,-,4
ZEEL,-,-,-,-,-,-,29,-,-,-,-,-,29
ZEELEARN,-,-,-,-,-,-,-,-,-,4,-,-,4
Total,389,807,1926,186,371,894,1797,2025,604,833,1043,230,-
