sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altman, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_score
INE263A01024, Bharat electron, 103, 10322, 1399, 18, 21, 5, 32, 0, 1534, 1, 1, 2, 28, 124, 22643, 25279, 3, 1, 16, 68, 8, 13, 11, 23
INE860A01027, Hcl technologies, 909, 50569, 8722, 14, 24, 62, 39, 0, 160, 2, 0, 3, 45, 506, 125920, 126653, 8, 2, 27, 649, 17, 28, 11, 23
INE129A01019, Gail, 319, 53661, 4618, 15, 16, 20, 54, 0, 26, 2, 65, 1, 38, 21381, 76671, 72060, 4, 0, 9, 295, 3, 0, 10, 23
INE245A01021, Tata power co, 71, 29414, 2679, 12, 23, 9, 48, 4, 1, 1, 0, 1, 68, 0, 67376, 19379, 0, 0, 3, 109, 1, 0, 11, 22
139, Hpcl, 261, 219302, 6357, 6, 5, 41, 49, 1, 17, 7, 0, 1, 39, 93, 62807, 39825, 3, 1, 24, 405, 0, 44, 6, 22
INE917I01010, Bajaj auto, 2716, 25164, 4218, 18, 24, 145, 41, 0, 4530, 2, 2, 3, 39, 6669, 77937, 78592, 12, 0, 26, 1521, 4, 6, 13, 22
INE172A01027, Castrol, 165, 3629, 694, 24, 30, 7, 100, 0, 677, 4, 2, 13, 85, 312, 16124, 16340, 13, 1, 85, 43, 2, 8, 14, 22
INE510A01028, Engineers, 120, 1787, 377, 20, 33, 5, 62, 0, 980, 2, -1, 2, 55, -163, 7479, 7636, 4, 2, 10, 81, -17, -11, 13, 22
INE115A01026, Lic housing fin, 470, 14959, 1989, 11, 94, 39, 16, 11, 1, 1, 0, 1, 16, 466, 145801, 23733, 0, 1, 18, 479, 17, 16, 10, 21
INE669C01036, Tech mahindra, 664, 30772, 3786, 17, 19, 38, 31, 0, 31, 1, 0, 3, 31, 543, 64479, 65117, 8, 2, 21, 423, 39, 19, 12, 21
INE646L01027, Interglobe aviat, 1100, 23020, 2242, 18, 16, 58, 74, 0, 10, 2, 0, 7, 57, 261, 44733, 42290, 5, 1, 92, 453, 27, 67, 12, 21
INE347G01014, Petronet lng, 206, 30598, 2077, 14, 11, 13, 21, 0, 19, 1, 1, 3, 20, 351, 32872, 30975, 7, 1, 17, 145, 1, 9, 10, 21
INE158A01026, Hero motocorp, 3516, 32211, 3697, 18, 18, 185, 50, 0, 840, 2, 2, 5, 48, 6465, 70204, 70219, 12, 0, 37, 1697, 3, 8, 13, 21
INE871C01020, Avanti feeds, 548, 3392, 466, 15, 21, 34, 19, 0, 237, 0, 0, 6, 20, 176, 7445, 7466, 19, 1, 43, 250, 47, 49, 10, 21
INE126A01031, Eid parry, 214, 15372, 517, 6, 10, 29, 13, 1, 3, 1, 0, 1, 25, 340, 7485, 3793, 1, 1, 9, 348, 2, 9, 6, 21
INE628A01036, Upl, 606, 17378, 2029, 14, 22, 39, 20, 0, 4, 1, 0, 3, 20, 363, 34322, 30841, 3, 2, 29, 406, 16, 26, 10, 21
101, L t infotech, 1641, 7306, 1112, 25, 22, 64, 29, 0, 118, 1, 1, 6, 52, 1433, 27869, 28248, 15, 1, 39, 599, 15, 18, 19, 21
INE522F01014, Coal, 260, 85862, 7020, 23, 16, 11, 133, 0, 25, 7, -2, 5, 114, -468, 161230, 161796, 3, 1, 34, 113, 6, -8, 14, 21
INE079A01024, Ambuja cem, 200, 24307, 2062, 19, 18, 10, 47, 0, 17, 1, -25, 1, 49, -4175, 34065, 39891, 3, 1, 6, 157, 20, 0, 10, 21
7, Vst till tract, 2308, 763, 111, 17, 21, 129, 18, 0, 91, 0, 2, 3, 18, 5511, 1958, 1994, 16, 2, 17, 1424, 5, 6, 12, 20
INE271C01023, Dlf, 185, 6706, 4476, 1016, 49, 25, 50, 1, 3, 1, -71, 1, 68, -28890, 58821, 33032, 2, 4, 1, 303, -4, -14, 5, 20
36, Talwalbetter, 47, 186, 49, 3, 62, 15, 6, 0, 4, 3, 0, 0, 7, 30, 478, 148, 1, 3, 15, 249, 19, 25, 5, 20
INE075A01022, Wipro, 257, 54487, 8003, 14, 23, 17, 5, 0, 19, 0, 1, 1, 18, 511, 125481, 116311, 4, 1, 20, 229, 8, 8, 11, 20
INE016A01026, Dabur, 387, 7748, 1357, 49, 24, 7, 31, 0, 32, 0, 3, 11, 31, 439, 69293, 68433, 16, 1, 31, 77, 7, 13, 39, 20
INE548C01032, Emami, 501, 2541, 306, 74, 29, 6, 46, 0, 12, 0, 8, 11, 40, 943, 23211, 22767, 18, 1, 32, 83, 11, 8, 54, 20
INE274B01011, Monsanto, 2857, 672, 164, 29, 27, 95, 35, 0, 127, 1, 1, 7, 46, 1793, 4923, 4932, 21, 1, 28, 928, 11, 25, 28, 20
112, Jk paper, 107, 2846, 260, 7, 22, 14, 14, 1, 3, 1, 0, 1, 13, 61, 3583, 1913, 1, 1, 7, 170, 16, 28, 6, 20
INE725G01011, Icra, 3248, 308, 101, 31, 53, 102, 36, 0, 1426, 0, 3, 5, 35, 5094, 3209, 3216, 20, 2, 14, 1180, 9, 10, 20, 20
132, Hind unilever, 1602, 36238, 5214, 66, 22, 24, 83, 0, 282, 1, 6, 47, 82, 2532, 346287, 346936, 24, 1, 72, 135, 6, 10, 47, 20
INE998I01010, Mahindra holiday, 293, 1070, 134, 29, 24, 10, 33, 0, 4144, 1, 6, 4, 38, 1023, 3670, 3922, 5, 2, 16, 117, 13, 4, 17, 20
151, Glaxosmith c h l, 6449, 4318, 700, 38, 26, 166, 44, 0, 530, 1, 2, 7, 42, 7890, 26434, 27126, 12, 2, 26, 1845, 7, 13, 24, 20
INE019A01038, Jsw steel, 322, 70225, 6113, 12, 21, 25, 15, 1, 3, 0, 0, 2, 18, 189, 120347, 77931, 1, 0, 9, 260, 10, 26, 10, 20
178, Container corpn, 611, 6167, 1049, 28, 28, 21, 38, 0, 15474, 1, -57, 3, 30, -19956, 29382, 29796, 19, 1, 11, 313, 6, 0, 21, 20
INE467B01029, Tcs, 1842, 123104, 25880, 27, 29, 67, 37, 0, 656, 1, 2, 8, 35, 2257, 700855, 705491, 25, 2, 33, 581, 14, 13, 20, 20
INE058A01010, Sanofi, 5138, 2556, 348, 33, 25, 151, 50, 0, 505, 1, 2, 5, 49, 6281, 11112, 11833, 11, 2, 16, 1765, 9, 13, 20, 20
INE007A01025, Crisil, 1789, 1679, 314, 40, 29, 43, 65, 0, 476, 1, 6, 11, 63, 4685, 12763, 12848, 19, 1, 30, 393, 11, 6, 28, 20
INE522D01027, Manappuram fin, 96, 3423, 670, 12, 61, 7, 16, 3, 1, 1, 0, 2, 31, 14, 18741, 8122, 2, 21, 16, 92, 111, 104, 9, 20
INE169A01031, Coromandel inter, 386, 10946, 663, 17, 11, 22, 30, 0, 6, 1, -2, 3, 31, -834, 13387, 11306, 3, 1, 16, 249, 0, -7, 11, 20
INE182A01018, Pfizer, 2580, 1968, 360, 32, 31, 78, 27, 0, 1305, 0, 5, 4, 30, 6323, 0, 11805, 9, 2, 11, 1037, 14, 6, 0, 20
INE008I01026, Cox kings, 205, 6450, 443, 8, 16, 25, 12, 1, 3, 0, 0, 1, 17, 131, 6246, 3619, 1, 2, 5, 311, 53, 24, 6, 20
INE323A01026, Bosch, 17267, 11690, 1370, 36, 22, 449, 28, 0, 619, 0, 9, 5, 22, 67171, 52574, 52703, 14, 2, 16, 5802, 5, 3, 25, 20
INE239A01016, Nestle, 9772, 10274, 1342, 70, 24, 139, 67, 0, 21, 0, 25, 24, 68, 56043, 91420, 94226, 33, 1, 33, 1117, 4, 2, 42, 20
INE010B01027, Cadila health, 378, 11929, 1775, 21, 24, 17, 22, 0, 26, 0, 1, 4, 19, 335, 42317, 38702, 4, 2, 30, 182, 12, 18, 17, 20
INE418H01029, Allcargo logist, 101, 6046, 171, 16, 6, 6, 21, 0, 8, 1, -3, 1, 17, -400, 2910, 2487, 3, 1, 12, 112, 5, -4, 11, 20
INE085A01013, Chambal fert, 157, 7461, 480, 13, 12, 11, 18, 1, 5, 1, 1, 2, 35, 250, 10619, 6555, 2, 3, 9, 137, 2, 10, 12, 20
INE154A01025, Itc, 260, 40627, 11223, 29, 43, 9, 56, 0, 195, 1, 2, 5, 60, 394, 317791, 317921, 23, 1, 26, 97, 2, 10, 18, 20
INE148I01020, Indiabulls hous, 1136, 12214, 3566, 13, 98, 83, 40, 6, 1, 2, 0, 3, 56, 290, 123538, 48490, 1, 2, 27, 824, 70, 62, 10, 20
INE009A01021, Infosys, 1289, 70522, 16028, 17, 31, 73, 58, 0, 0, 3, 1, 4, 47, 1907, 261794, 281665, 14, 3, 23, 700, 11, 10, 12, 20
INE613A01020, Rallis, 188, 1790, 167, 21, 15, 8, 29, 0, 53, 1, 2, 3, 27, 377, 3653, 3657, 4, 1, 16, 108, 4, 7, 15, 19
INE119A01028, Balrampur chini, 65, 4342, 221, 6, 11, 9, 13, 1, 7, 5, 0, 0, 10, 7, 3279, 1499, 2, 3, 22, 129, 8, 144, 8, 19
INE536A01023, Grindwell norton, 505, 1430, 150, 37, 19, 13, 37, 0, 149, 0, 17, 5, 35, 3869, 5364, 5595, 13, 2, 15, 169, 6, 2, 23, 19
70, P g hygiene, 9820, 2433, 408, 78, 28, 125, 291, 0, 111, 3, 4, 37, 123, 8137, 31774, 31877, 32, 1, 31, 863, 12, 19, 50, 19
INE761H01022, Page industries, 27137, 2551, 346, 87, 22, 311, 40, 0, 32, 0, 3, 29, 40, 17943, 30325, 30258, 41, 1, 49, 2521, 25, 24, 56, 19
INE175A01038, Jain irrigation, 79, 7946, 221, 18, 14, 4, 21, 0, 1, 0, -5, 0, 30, -385, 7955, 4033, 2, 2, 3, 91, 6, -3, 10, 19
INE640A01023, Skf, 1721, 2750, 295, 29, 18, 57, 21, 0, 92, 0, 9, 4, 26, 8799, 8639, 8835, 14, 3, 15, 729, 1, 3, 18, 19
INE785M01013, Pc jeweller, 135, 9485, 567, 9, 11, 14, 4, 0, 3, 0, 0, 1, 11, 164, 5775, 5348, 2, 2, 17, 179, 21, 13, 5, 19
INE260B01028, Godfrey phillips, 716, 2270, 160, 25, 13, 30, 30, 0, 156, 1, -3, 2, 25, -1575, 3791, 3725, 7, 2, 10, 484, 3, -7, 16, 19
INE021A01026, Asian paints, 1268, 16824, 2097, 58, 20, 21, 40, 0, 90, 0, 4, 14, 44, 1588, 121352, 121664, 16, 1, 27, 207, 9, 12, 38, 19
INE230A01023, Eih, 156, 1349, 112, 79, 22, 1, 53, 0, 9, 0, -399, 3, 58, -12525, 9256, 8967, 9, 0, 4, 45, 2, 0, 47, 19
INE216A01022, Britannia, 6129, 9913, 1003, 73, 16, 83, 29, 0, 201, 0, 1, 19, 29, 2619, 73668, 73590, 34, 1, 45, 761, 10, 37, 48, 19
INE322A01010, Gillette, 6404, 1674, 232, 89, 23, 71, 211, 0, 58, 2, 3, 30, 113, 3744, 20759, 20873, 27, 1, 25, 584, 7, 27, 58, 19
INE081A01012, Tata steel, 548, 131700, 17762, 7, 17, 157, -22, 2, 4, 1, 0, 1, 29, -891, 139971, 61788, 1, 1, -4, 1295, -2, -22, 5, 19
INE102D01028, Godrej consumer, 1217, 9843, 1634, 55, 22, 23, 39, 0, 13, 0, 3, 11, 29, 1200, 86089, 82982, 8, 1, 24, 234, 13, 17, 39, 19
INE121J01017, Bharti infra, 297, 6621, 2493, 21, 68, 13, 107, 0, -18, 5, 1, 3, 80, 255, 53416, 55109, 8, 0, 10, 171, -8, 18, 15, 19
INE585B01010, Maruti suzuki, 8771, 79762, 7721, 34, 17, 255, 30, 0, 32, 0, 1, 6, 24, 4446, 265434, 264963, 13, 0, 16, 2890, 13, 31, 23, 19
INE318A01026, Pidilite, 1028, 6078, 966, 54, 24, 19, 28, 0, 88, 0, 2, 11, 27, 737, 52260, 52219, 30, 1, 28, 193, 12, 22, 38, 19
INE001A01036, Hdfc, 1878, 69117, 16245, 23, 54, 96, 25, 4, 1, 0, 1, 4, 26, 2415, 604623, 316186, 1, 1, 20, 991, 15, 15, 14, 19
INE787D01026, Balkrishna, 1018, 4460, 735, 28, 25, 38, 21, 0, 76, 0, 1, 4, 15, 1161, 20536, 19695, 8, 1, 18, 425, 5, 14, 18, 19
INE298A01020, Cummins, 647, 5082, 708, 27, 18, 25, 52, 0, 62, 2, 4, 4, 51, 1730, 18074, 17947, 10, 1, 23, 303, 4, 6, 19, 19
INE255A01020, Essel propack, 118, 2423, 173, 21, 20, 5, 21, 0, 5, 1, 1, 2, 20, 105, 4335, 3717, 3, 2, 16, 70, 5, 17, 13, 19
INE070A01015, Shree cement, 15499, 9786, 1384, 39, 29, 397, 36, 0, 14, 0, 2, 5, 22, 15260, 55269, 53999, 15, 2, 15, 4827, 7, 16, 28, 19
3, Wonderla holiday, 318, 270, 38, 46, 35, 6, 17, 0, 49, 0, 20, 3, 17, 2287, 1817, 1800, 14, 0, 13, 113, 19, 2, 30, 18
INE066A01013, Eicher motors, 28425, 8964, 1959, 39, 34, 717, 16, 0, 543, 0, 0, 10, 18, 10839, 77533, 77505, 32, 0, 36, 6573, 4, 41, 26, 18
INE690A01010, Ttk prestige, 5846, 1746, 256, 43, 13, 222, 22, 0, 202, 0, 9, 6, 25, 33759, 6716, 6753, 16, 1, 16, 2194, 7, 4, 19, 18
INE010V01017, L&t technology, 1176, 3747, 506, 23, 20, 49, 16, 0, 283, 0, 0, 6, 29, 0, 12092, 12058, 12, 2, 0, 464, 0, 0, 17, 18
INE226A01021, Voltas, 511, 6404, 577, 29, 13, 17, 22, 0, 68, 0, 2, 4, 21, 563, 16782, 16924, 4, 1, 14, 214, 3, 14, 20, 18
INE710A01016, Vst, 2932, 947, 181, 24, 33, 117, 69, 0, 0, 2, 20, 6, 70, 37832, 4515, 4527, 12, 1, 37, 1108, 5, 1, 16, 18
INE003A01024, Siemens, 955, 11505, 1196, 42, 12, 33, 22, 0, 237, 0, 3, 4, 34, 1936, 31181, 34016, 5, 2, 11, 415, -3, 11, 17, 18
INE366I01010, Vrl logistics, 320, 1922, 92, 31, 12, 10, 51, 0, 13, 1, -20, 4, 43, -3286, 3066, 2893, 7, 0, 20, 127, 9, -1, 20, 18
INE463A01038, Berger paints, 281, 5165, 460, 59, 16, 4, 35, 0, 29, 0, 3, 11, 33, 239, 27651, 27290, 13, 1, 24, 50, 9, 18, 37, 18
INE018A01030, Larsen toubro, 1234, 119683, 8004, 21, 17, 57, 33, 1, 2, 1, 4, 2, 34, 4014, 263271, 173106, 1, 1, 11, 730, 11, 4, 13, 18
INE302A01020, Exide, 248, 9197, 668, 30, 14, 7, 29, 0, 193, 0, 3, 3, 31, 448, 21281, 21131, 9, 1, 14, 108, 8, 8, 21, 18
168, Dr reddys labs, 2295, 14281, 946, 40, 17, 57, 25, 0, 18, 0, -19, 2, 17, -17575, 42644, 38103, 4, 2, 17, 1010, 7, -2, 29, 18
INE195A01028, Supreme, 1131, 4966, 431, 33, 15, 33, 35, 0, 28, 1, 4, 7, 40, 2217, 14583, 14367, 11, 1, 23, 337, 8, 8, 23, 18
INE196A01026, Marico, 332, 6322, 827, 51, 19, 6, 56, 0, 70, 1, 2, 13, 55, 278, 43138, 42934, 23, 1, 35, 59, 8, 19, 38, 18
INE012A01025, Acc, 1291, 13688, 963, 25, 15, 51, 53, 0, 16, 2, -4, 2, 57, -3735, 21690, 24249, 4, 1, 8, 768, 4, -5, 14, 18
INE176B01034, Havells, 522, 8269, 662, 48, 13, 10, 37, 0, 39, 0, 4, 8, 34, 763, 32484, 32705, 8, 1, 19, 119, 2, 10, 32, 18
INE133A01011, Akzo nobel, 1840, 2785, 400, 40, 12, 85, 41, 0, 137, 1, 3, 6, 80, 4695, 8574, 8588, 8, 1, 18, 763, 7, 11, 17, 18
INE752H01013, Care ratings, 1254, 321, 161, 22, 72, 54, 54, 0, 0, 2, 2, 5, 96, 2548, 3685, 3696, 44, 0, 29, 524, 9, 7, 15, 18
INE176A01028, Bata, 828, 2629, 223, 47, 15, 17, 23, 0, 81, 0, 8, 7, 23, 2440, 0, 10646, 14, 2, 15, 212, 7, 5, 0, 18
59, Puravankara, 105, 1414, 91, 27, 27, 3, 41, 0, 1, 2, -12, 1, 31, -796, 0, 2493, 1, 3, 4, 95, 11, -2, 0, 18
INE358A01014, Abbott, 7305, 3306, 401, 38, 19, 188, 30, 0, 163, 0, 2, 8, 29, 6447, 15322, 15525, 17, 2, 23, 1890, 14, 18, 24, 18
INE001B01026, Krbl, 323, 3246, 434, 17, 24, 18, 12, 0, 10, 0, 0, 3, 13, 154, 8692, 7606, 5, 5, 23, 203, 14, 33, 12, 18
INE516A01017, Uflex, 249, 6697, 310, 5, 13, 43, 7, 0, 2, 1, 0, 0, 7, 649, 3609, 1803, 2, 2, 9, 726, 7, 6, 6, 18
INE054A01027, Vip, 430, 1409, 126, 48, 14, 8, 40, 0, 632, 0, 11, 11, 42, 1603, 6081, 6089, 22, 2, 19, 87, 8, 4, 32, 18
INE031A01017, Hudco, 55, 4075, 799, 13, 82, 3, 13, 3, 1, 0, 2, 1, 12, 164, 39255, 11120, 0, 2, 9, 66, 5, 5, 11, 18
102, Ksb pumps, 765, 951, 65, 40, 14, 18, 30, 0, 54, 0, 12, 3, 29, 3778, 2658, 2663, 6, 2, 11, 286, 5, 3, 25, 18
INE671H01015, Sobha, 445, 2783, 216, 19, 20, 22, 14, 0, 2, 0, -4, 1, 20, -1476, 6325, 4227, 1, 1, 7, 394, 9, -4, 12, 17
INE472A01039, Blue star, 637, 4746, 149, 42, 6, 15, 58, 0, 8, 1, 0, 6, 62, 0, 6308, 6127, 3, 1, 21, 181, 9, 0, 26, 17
INE259A01022, Colgate palm, 1155, 4187, 673, 46, 27, 24, 47, 0, 0, 0, 8, 16, 50, 3453, 31230, 31429, 20, 0, 63, 199, 8, 5, 31, 17
94, M m fin serv, 456, 8533, 1023, 28, 59, 16, 26, 5, 1, 0, -6, 3, 26, -1672, 68593, 28219, 1, 5, 11, 219, 19, -4, 13, 17
INE280A01028, Titan company, 836, 15952, 1101, 66, 10, 12, 32, 0, 29, 0, 12, 13, 28, 2407, 73572, 74250, 13, 1, 22, 129, 7, 5, 46, 17
INE850D01014, Godrej agrovet, 612, 3674, 190, 61, 9, 9, 40, 0, 9, 0, 3, 10, 64, 624, 12209, 11763, 6, 1, 23, 112, 10, 15, 38, 17
127, Huhtamaki ppl, 278, 2172, 65, 32, 10, 8, 35, 0, 4, 1, 4, 3, 33, 622, 2461, 2100, 3, 1, 11, 120, 20, 7, 16, 17
INE455I01029, Kaveri seed co, 537, 772, 210, 16, 31, 31, 0, 0, 532, 0, 1, 2, 12, 556, 3539, 3555, 5, 1, 25, 365, 12, 15, 16, 17
186, Central dep ser, 272, 190, 103, 27, 77, 9, 36, 0, 0, 1, 3, 4, 34, 525, 2820, 2852, 28, 1, 15, 116, 6, 8, 19, 17
202, Bayer crop sci, 4577, 2709, 300, 52, 16, 87, 20, 0, 36, 0, 5, 6, 19, 7117, 14878, 15716, 15, 3, 17, 1161, 4, 10, 35, 17
INE192A01025, Tata global, 263, 6815, 556, 29, 13, 8, 31, 0, 18, 0, 6, 2, 50, 879, 17028, 16658, 5, 2, 4, 148, -1, 4, 21, 17
INE721A01013, Shriram trans, 1303, 12213, 1568, 20, 62, 69, 18, 4, 1, 0, 0, 2, 18, 0, 81545, 29577, 1, 5, 12, 939, 12, 0, 10, 17
INE095N01031, Nbcc, 72, 5905, 333, 39, 8, 1, 41, 0, 2394, 1, 2, 6, 36, 83, 11932, 13023, 2, 1, 21, 21, 12, 13, 23, 17
INE233B01017, Blue dart exp, 3555, 2790, 142, 59, 10, 59, 25, 0, 9, 0, 22, 12, 106, 21307, 8515, 8437, 9, 1, 35, 613, 12, 2, 35, 17
INE257A01026, Bhel, 69, 28742, 806, 31, 9, 2, 77, 0, 7, 1, 0, 0, 29, -27, 15266, 25608, 2, 2, 1, 66, -9, -41, 8, 17
INE120A01034, Carborundum uni, 319, 2367, 216, 27, 18, 11, 18, 0, 38, 0, -6, 3, 18, -1179, 6069, 6042, 10, 3, 11, 147, 1, -4, 18, 17
INE090A01021, Icici bank, 271, 62185, 7729, 22, 71, 12, 14, 6, 1, 0, 3, 1, 22, 734, 794939, 174556, 0, 2, 12, 209, 9, 5, 17, 17
INE415A01038, Hsil, 329, 2253, 74, 29, 12, 10, 28, 0, 2, 1, -39, 1, 25, -6550, 3175, 2381, 2, 1, 7, 221, 9, 0, 19, 17
INE406A01037, Aurobindo pharma, 600, 16499, 2423, 14, 23, 41, 6, 0, 42, 0, 0, 2, 7, 147, 0, 35192, 5, 2, 31, 432, 26, 65, 0, 17
INE437A01024, Apollo hospitals, 1012, 7255, 233, 60, 11, 16, 29, 0, 2, 0, 17, 3, 25, 4627, 16569, 14084, 3, 1, 9, 321, 18, 3, 29, 17
INE217B01036, Kajaria ceramics, 483, 2710, 237, 32, 17, 14, 18, 0, 15, 0, 1, 5, 18, 303, 7841, 7678, 8, 1, 26, 172, 12, 25, 20, 17
INE494B01023, Tvs motor co, 557, 15129, 662, 39, 8, 13, 21, 0, 16, 0, 2, 8, 23, 601, 27832, 26496, 6, 0, 23, 142, 11, 14, 29, 17
INE123F01029, Mm, 907, 48683, 4356, 28, 14, 35, 20, 0, 55, 0, 6, 3, 21, 3878, 115129, 112850, 7, 0, 15, 436, 6, 4, 18, 17
INE600L01024, Dr lal pathlabs, 934, 1056, 171, 45, 27, 20, 16, 0, 327, 0, 1, 9, 14, 532, 7769, 7784, 66, 5, 30, 215, 21, 28, 29, 17
INE438A01022, Apollo tyres, 254, 14840, 723, 20, 11, 12, 13, 0, 7, 1, 0, 1, 11, 197, 17984, 14567, 2, 1, 18, 199, 1, 20, 15, 17
INE775A01035, Motherson sumi, 281, 56322, 2259, 25, 9, 10, 18, 1, 8, 0, 0, 5, 23, 98, 64675, 59263, 3, 1, 28, 109, 23, 43, 17, 16
INE482A01020, Ceat, 1249, 6230, 233, 19, 10, 57, 12, 0, 4, 0, 0, 1, 11, 232, 5955, 5055, 2, 1, 21, 920, 4, 78, 12, 16
INE140A01024, Pi, 759, 2277, 366, 28, 24, 26, 12, 0, 79, 0, 0, 5, 13, 290, 10511, 10474, 10, 2, 31, 292, 21, 41, 22, 16
INE208C01025, Aegis logistics, 207, 4790, 204, 34, 5, 6, 29, 0, 15, 0, 0, 8, 26, 76, 7190, 6940, 6, 1, 22, 57, -2, 43, 29, 16
174, Crompton gr con, 220, 4079, 323, 42, 13, 5, 32, 1, 8, 0, 0, 15, 23, 0, 14373, 13792, 7, 1, 0, 40, 0, 0, 26, 16
INE059A01026, Cipla, 600, 15219, 1416, 33, 20, 17, 16, 0, 15, 0, -6, 3, 13, -1841, 51886, 48383, 5, 2, 10, 261, 15, -5, 29, 16
INE002A01018, Reliance, 944, 391677, 36080, 17, 18, 56, 9, 0, 7, 0, 1, 2, 10, 1183, 834346, 598758, 1, 0, 12, 770, 0, 13, 14, 16
INE256A01028, Zee entertainmen, 539, 6685, 1446, 38, 37, 15, 10, 0, 17, 0, 2, 6, 16, 553, 51166, 51768, 12, 5, 23, 169, 16, 16, 20, 16
INE326A01037, Lupin, 897, 15830, 257, 25, 20, 5, 13, 0, 3, 0, 1, 2, 14, 97, 45757, 40590, 3, 2, 23, 197, 19, 23, 60, 16
INE849A01020, Trent, 300, 2066, 116, 85, 11, 3, 31, 0, 6, 0, 5, 6, 32, 295, 10334, 9974, 11, 1, 4, 62, 16, 16, 51, 16
INE332A01027, Thomas cook, 277, 11139, 6124, 32, 4, 165, 36, 0, 41, 0, -3, 1, 19, -8965, 10559, 10293, 5, 1, -166, 876, 85, -9, 1, 16
INE117A01022, Abb, 1157, 9451, 432, 56, 9, 20, 22, 0, 9, 0, 2, 6, 23, 726, 23648, 24533, 4, 1, 11, 283, 4, 25, 32, 16
INE481G01011, Ultratech cem, 3721, 31410, 2222, 41, 21, 80, 12, 0, 3, 0, -39, 3, 11, -50736, 121599, 102196, 3, 0, 10, 1322, 8, -1, 26, 16
INE811K01011, Prestige estates, 269, 5498, 399, 25, 21, 10, 16, 1, 2, 0, 0, 2, 12, 159, 15499, 10087, 1, 1, 9, 176, 35, 27, 15, 16
