sc_isin, sc_name, sc_cmp, sc_sales, sc_np, sc_pe, sc_opm, sc_eps, sc_dp3, sc_d2e, sc_ic, sc_dy, sc_peg, sc_cmp2bv, sc_dp3, sc_iv, sc_ev, sc_mcap, sc_altmanz, sc_cr, sc_roe3, sc_graham, sc_sales_var5, sc_profit_var5, sc_ev2ebit, sc_pledge, sc_crank, sc_prank
INE010B01027, Cadila health, 409, 12625, 2098, 20, 25, 20, 20, 1, 27, 1, 1, 5, 20, 297, 45932, 41840, 4, 2, 27, 204, 13, 22, 16, 0, 28, 0
INE010V01017, L&t technology, 1633, 4077, 607, 28, 16, 59, 65, 0, 312, 1, 0, 8, 41, 0, 16842, 16926, 14, 2, 38, 521, 0, 0, 21, 0, 30, 1
INE012A01025, Acc, 1554, 14084, 966, 30, 14, 51, 53, 0, 16, 2, -5, 3, 52, -4498, 26461, 29190, 5, 1, 9, 783, 3, -6, 17, 0, 28, 3
INE016A01026, Dabur, 454, 8039, 1423, 56, 21, 8, 81, 0, 33, 2, 4, 13, 49, 579, 80855, 80224, 19, 1, 29, 79, 5, 13, 44, 0, 30, 0
INE018A01030, Larsen toubro, 1352, 124156, 8448, 23, 17, 60, 30, 2, 3, 1, 2, 3, 30, 1567, 289075, 189584, 2, 2, 13, 742, 10, 14, 14, 0, 20, 2
INE019A01038, Jsw steel, 400, 76564, 7828, 12, 22, 32, 12, 1, 4, 1, 0, 3, 15, 148, 134958, 96628, 2, 1, 18, 302, 13, 42, 10, 41, 14, 3
INE020B01018, Rural electrification, 109, 22249, 4647, 5, 92, 24, 39, 6, 1, 8, 1, 1, 33, 434, 218485, 21467, 1, 5, 18, 308, 11, 4, 11, 0, 19, 24
INE021A01026, Asian paints, 1291, 17400, 2228, 56, 20, 23, 41, 0, 94, 1, 4, 14, 44, 1553, 123961, 123832, 17, 1, 28, 221, 10, 13, 37, 13, 27, -1
INE029A01011, Bpcl, 334, 250878, 9468, 8, 6, 44, 58, 1, 15, 6, 0, 2, 50, 226, 95748, 72486, 3, 1, 27, 409, 0, 24, 7, 0, 22, 14
INE030A01027, Hindustan unilever, 1627, 35483, 5482, 63, 21, 25, 83, 0, 348, 1, 6, 41, 83, 2440, 348782, 352155, 26, 1, 76, 151, 6, 11, 46, 0, 30, 0
INE031A01017, Hudco, 56, 4707, 922, 12, 80, 5, 14, 4, 2, 1, 4, 1, 13, 291, 47160, 11191, 1, 2, 9, 72, 7, 3, 12, 0, 15, 14
INE034A01011, Arvind, 386, 11293, 323, 30, 8, 13, 20, 1, 3, 1, 4, 3, 20, 730, 13244, 9987, 3, 2, 10, 205, 15, 8, 20, 11, 19, 2
INE038A01020, Hindalco, 238, 115172, 6083, 11, 12, 27, 4, 1, 3, 1, 1, 1, 9, 407, 97433, 53417, 2, 1, 5, 386, 8, 12, 9, 0, 11, 18
INE040A01026, Hdfc bank, 2012, 84122, 18194, 30, 65, 67, 19, 9, 2, 1, 1, 5, 19, 1529, 1335165, 546205, 1, 3, 18, 785, 18, 21, 19, 0, 17, -1
INE044A01036, Sun pharma, 650, 27505, 4042, 39, 22, 17, 22, 0, 10, 0, -12, 4, 11, -3366, 156388, 155932, 6, 3, 15, 249, 19, -3, 29, 3, 28, 0
INE047A01021, Grasim, 1020, 63187, 3839, 16, 20, 58, 15, 1, 2, 1, 3, 1, 11, 3248, 132803, 67048, 1, 1, 8, 1083, 15, 5, 12, 0, 14, 11
INE053A01029, Indian hotels, 127, 4172, 141, 117, 16, 1, 47, 1, 2, 0, 0, 4, 28, 0, 17314, 15157, 3, 1, -2, 31, 2, 0, 38, 0, 22, 0
INE054A01027, Vip, 522, 1528, 149, 49, 15, 11, 33, 0, 771, 1, 2, 13, 38, 262, 7356, 7380, 19, 2, 24, 96, 12, 32, 33, 0, 29, -7
INE058A01010, Sanofi, 6586, 2639, 374, 41, 23, 163, 50, 0, 543, 1, 3, 7, 49, 8050, 14439, 15169, 15, 2, 17, 1873, 9, 13, 24, 0, 31, -1
INE059A01026, Cipla, 656, 15633, 1437, 36, 18, 18, 17, 0, 15, 0, -15, 4, 15, -4149, 55992, 52859, 6, 3, 10, 271, 13, -2, 30, 0, 27, 0
INE061F01013, Fortis health, 144, 4446, -1010, 0, -16, -19, 0, 0, -3, 0, 0, 2, 0, 0, 9206, 7464, 2, 1, 2, 0, 8, 0, -12, 14, 2, 10
INE066A01013, Eicher motors, 28812, 9512, 2076, 38, 29, 761, 15, 0, 537, 0, 1, 10, 17, 10173, 77503, 78564, 22, 1, 36, 6905, 7, 45, 25, 0, 27, -4
INE070A01015, Shree cement, 16879, 10321, 1224, 48, 23, 351, 13, 0, 11, 0, 6, 6, 19, 32773, 62089, 58806, 9, 2, 18, 4562, 13, 8, 36, 0, 28, -1
INE075A01022, Wipro, 329, 55092, 8014, 19, 19, 18, 6, 0, 19, 0, 3, 3, 10, 873, 158137, 148728, 5, 2, 18, 210, 8, 6, 15, 0, 24, 4
INE079A01024, Ambuja cem, 227, 24845, 2028, 22, 16, 10, 47, 0, 16, 2, -29, 2, 50, -4710, 38787, 44995, 4, 1, 7, 159, 19, -1, 12, 0, 28, 6
INE081A01012, Tata steel, 606, 139876, 18776, 8, 14, 167, 9, 2, 5, 2, 0, 1, 16, 0, 152431, 68222, 1, 1, 2, 1418, 0, 0, 5, 4, 12, 17
INE085A01013, Chambal fert, 159, 7685, 495, 13, 11, 12, 16, 2, 6, 1, 1, 2, 26, 233, 12151, 6611, 2, 4, 12, 140, 0, 11, 14, 1, 15, 11
INE087H01022, Shree renuka sugars, 13, 5222, -3018, 0, -56, -16, 0, -11, -6, 0, 0, 0, 0, 0, 4803, 2473, 0, 1, -23, 27, -2, 0, -2, 1, -3, 16
INE089A01023, Dr reddy, 2529, 14684, 1356, 31, 19, 82, 35, 0, 24, 1, -3, 3, 23, -4030, 46799, 41991, 4, 2, 12, 1202, 4, -10, 25, 1, 26, 2
INE090A01021, Icici bank, 323, 56229, 4609, 45, 35, 7, 14, 7, 1, 0, -11, 2, 20, -1298, 867424, 207759, 1, 5, 10, 160, 7, -4, 23, 0, 16, 2
INE092A01019, Tata chemicals, 748, 11360, 2722, 7, 20, 107, 23, 1, 9, 3, 0, 2, 26, 613, 20688, 19062, 3, 2, 13, 1035, -7, 20, 6, 0, 25, 14
INE095A01012, Indusind bank, 1828, 18213, 3805, 29, 62, 63, 12, 8, 2, 0, 1, 4, 12, 1052, 286598, 109886, 1, 3, 16, 762, 20, 28, 18, 27, 12, -3
INE095N01031, Nbcc, 67, 6272, 345, 35, 6, 2, 30, 0, 2163, 1, 4, 6, 38, 112, 10319, 12033, 2, 1, 20, 21, 13, 10, 20, 0, 19, 0
INE101A01026, Mahindra mahindra, 938, 92094, 7510, 20, 14, 60, 12, 2, 3, 1, 2, 3, 17, 2231, 165980, 116630, 2, 2, 14, 635, 6, 9, 14, 6, 15, 5
INE102D01028, Godrej consumer, 865, 10142, 1814, 35, 21, 27, 42, 1, 14, 1, 2, 9, 37, 895, 61502, 58969, 7, 1, 26, 242, 9, 17, 27, 0, 29, -2
INE109A01011, Sci, 51, 3499, 54, 43, 13, 1, 0, 1, 0, 0, 0, 0, 0, 0, 6822, 2366, 1, 2, 6, 62, -4, 0, 272, 0, 8, 10
INE111A01025, Container, 631, 6270, 1056, 29, 25, 22, 40, 0, 15715, 1, 13, 3, 35, 4589, 28773, 30755, 17, 3, 11, 311, 7, 2, 20, 0, 31, 2
INE115A01026, Lic housing fin, 477, 15345, 2087, 12, 94, 41, 17, 11, 1, 1, 1, 2, 17, 537, 166447, 24072, 1, 1, 18, 494, 15, 14, 11, 0, 15, 14
INE117A01022, Abb, 1464, 9941, 460, 67, 8, 22, 22, 0, 10, 0, 3, 8, 23, 919, 30128, 31016, 5, 1, 11, 296, 4, 25, 39, 0, 27, -7
INE118A01012, Bajaj holdings, 3067, 795, 3172, 11, 92, 285, 14, 0, 0, 1, 1, 2, 15, 4300, 34044, 34129, 357, 5, 16, 3568, 23, 11, 17, 0, 25, 16
INE118H01025, Bse, 731, 666, 239, 16, 41, 44, 27, 0, 300, 5, 1, 1, 40, 383, 1965, 3934, 3, 1, 14, 769, 5, 30, 7, 0, 26, 12
INE119A01028, Balrampur chini, 78, 4267, 175, 10, 9, 8, 26, 1, 7, 3, 2, 1, 15, 209, 2763, 1782, 2, 2, 26, 112, 6, 6, 9, 0, 17, 17
INE120A01034, Carborundum uni, 388, 2483, 243, 30, 17, 13, 20, 0, 43, 1, 2, 5, 19, 323, 7331, 7330, 12, 3, 14, 158, 4, 19, 20, 0, 28, -5
INE121J01017, Bharti infra, 271, 6725, 2468, 20, 46, 13, 104, 0, -20, 5, 1, 3, 82, 192, 50056, 50087, 16, 1, 14, 169, -8, 22, 15, 0, 27, 6
INE123W01016, Sbi, 285, 233352, -11819, 0, 20, -13, 0, 15, 1, 0, 0, 1, 24, 0, 3150587, 254618, 0, 1, 1, 0, 6, 0, 25, 0, 9, 11
INE123W01016, Sbi, 285, 233352, -11819, 0, 20, -13, 0, 15, 1, 0, 0, 1, 24, 0, 3150587, 254618, 0, 1, 1, 0, 6, 0, 25, 0, 9, 11
INE126A01031, Eid parry, 213, 15422, 338, 10, 8, 19, 21, 2, 3, 1, 1, 1, 15, 381, 7572, 3766, 2, 2, 11, 261, 6, 8, 7, 0, 16, 17
INE128A01029, Eveready, 235, 1501, 60, 29, 7, 8, 20, 1, 4, 1, 1, 5, 18, 67, 1947, 1705, 3, 1, 24, 96, 7, 56, 17, 45, 17, -3
INE129A01019, Gail, 370, 59553, 4852, 17, 13, 22, 44, 0, 35, 2, 6, 2, 45, 2169, 83011, 83460, 5, 1, 10, 299, 3, 3, 11, 0, 28, 8
INE131B01039, Relaxo footwear, 836, 2040, 170, 59, 15, 14, 11, 0, 32, 0, 2, 12, 9, 460, 10207, 10058, 14, 2, 24, 146, 15, 29, 38, 0, 24, -7
INE133A01011, Akzo nobel, 1723, 2787, 403, 19, 11, 88, 26, 0, 124, 1, 1, 6, 62, 1016, 7764, 7845, 7, 1, 24, 763, 5, 27, 16, 0, 28, 0
INE134E01011, Power finance, 82, 26467, 5800, 4, 98, 22, 35, 6, 1, 9, 1, 1, 37, 226, 250726, 21741, 1, 5, 13, 278, 9, 6, 10, 0, 19, 24
INE139A01034, National aluminium, 70, 10680, 1901, 10, 20, 10, 82, 0, 1388, 8, 2, 1, 77, 302, 10749, 13473, 4, 1, 6, 113, 7, 5, 4, 0, 28, 19
INE140A01024, Piramal enterp, 2927, 11288, 4748, 11, 46, 263, 9, 2, 2, 1, 0, 2, 15, 0, 94571, 52877, 2, 5, 17, 2684, 25, 0, 19, 0, 16, 10
INE148I01020, Indiabulls hous, 1145, 13996, 4114, 12, 86, 96, 45, 8, 2, 4, 0, 3, 53, 732, 154371, 48861, 1, 2, 28, 858, 25, 25, 11, 18, 17, 7
INE149A01033, Ti financial, 561, 3345, 599, 18, 11, 32, 4, 0, 42, 0, 1, 3, 6, 561, 10380, 10532, 2, 0, 18, 357, -15, 16, 29, 0, 12, 5
INE154A01025, Itc, 307, 41380, 11481, 33, 39, 9, 56, 0, 207, 2, 4, 7, 61, 584, 372681, 375258, 22, 1, 24, 97, 6, 9, 22, 0, 30, 1
INE158A01026, Hero motocorp, 3164, 33050, 3692, 17, 16, 185, 51, 0, 782, 3, 1, 5, 49, 3772, 63042, 63184, 11, 1, 35, 1625, 6, 13, 12, 0, 29, 8
INE169A01031, Coromandel inter, 398, 11282, 694, 17, 11, 24, 29, 1, 6, 2, 2, 4, 30, 709, 13817, 11640, 3, 2, 18, 242, 4, 9, 11, 0, 24, 4
INE172A01027, Castrol, 155, 3776, 721, 22, 29, 7, 100, 0, 626, 5, 3, 11, 85, 294, 14572, 15356, 13, 2, 85, 48, 3, 9, 13, 0, 31, 5
INE175A01038, Jain irrigation, 87, 8358, 259, 17, 13, 5, 21, 1, 2, 1, -5, 1, 30, -422, 8184, 4416, 2, 3, 3, 100, 6, -3, 10, 27, 15, 12
INE176A01028, Bata, 1038, 2690, 246, 54, 15, 19, 23, 0, 90, 0, 10, 9, 24, 3058, 12747, 13335, 17, 3, 15, 229, 7, 5, 34, 0, 29, 0
INE176B01034, Havells, 647, 8874, 802, 51, 13, 13, 35, 0, 51, 1, 4, 10, 43, 797, 39031, 40449, 11, 1, 20, 135, 14, 13, 33, 0, 28, -1
INE179A01014, Pghh, 10154, 2455, 375, 88, 25, 115, 292, 0, 110, 4, 5, 37, 123, 8414, 32843, 32960, 34, 1, 32, 849, 12, 19, 56, 0, 30, -2
INE182A01018, Pfizer, 3577, 2060, 395, 41, 27, 86, 27, 0, 1468, 1, 6, 6, 31, 8764, 14843, 16363, 13, 2, 11, 1093, 12, 7, 25, 0, 31, 1
INE191H01014, Pvr, 1392, 2394, 132, 49, 18, 28, 8, 1, 3, 0, 2, 6, 9, 963, 7302, 6504, 5, 1, 13, 392, 24, 23, 25, 0, 22, -7
INE192A01025, Tata global, 223, 6914, 543, 24, 12, 9, 32, 0, 18, 1, 5, 2, 50, 722, 13882, 14052, 5, 3, 5, 148, -2, 5, 18, 4, 27, 5
INE192R01011, Avenue super, 1523, 15972, 860, 110, 9, 14, 0, 0, 30, 0, 2, 19, 0, 461, 94906, 95023, 63, 4, 19, 156, 36, 53, 70, 0, 21, -8
INE195A01028, Supreme, 1144, 5150, 490, 32, 16, 39, 35, 0, 31, 1, 4, 7, 40, 2428, 14746, 14534, 11, 2, 24, 373, 8, 8, 21, 0, 30, 1
INE196A01026, Marico, 344, 6668, 852, 52, 18, 7, 67, 0, 65, 1, 3, 16, 67, 340, 44564, 44451, 20, 2, 34, 57, 7, 16, 38, 0, 30, -4
INE200M01013, Varun beverages, 815, 4645, 288, 52, 21, 16, 22, 2, 3, 0, 1, 7, 12, 246, 17439, 14880, 4, 1, 11, 202, 17, 53, 29, 0, 26, -4
INE203G01027, Indraprastha gas, 270, 4830, 685, 28, 23, 10, 4, 0, 559, 0, 2, 5, 14, 341, 18321, 18879, 10, 1, 20, 108, 6, 13, 17, 0, 24, -2
INE205A01025, Vedanta, 224, 95787, 13868, 7, 23, 37, 76, 1, 5, 9, 0, 1, 50, 152, 136059, 83116, 1, 1, 1, 385, 102, 27, 5, 0, 20, 16
INE208C01025, Aegis logistics, 208, 4952, 222, 31, 6, 7, 21, 0, 14, 1, 1, 5, 25, 78, 7093, 6951, 7, 1, 20, 75, 4, 42, 27, 0, 27, -3
INE213A01029, Oil, 203, 11715, 2921, 8, 38, 26, 43, 0, 11, 5, -1, 1, 50, -563, 28916, 23005, 2, 1, 10, 382, 1, -6, 6, 0, 22, 19
INE213A01029, Oil, 203, 11715, 2921, 8, 38, 26, 43, 0, 11, 5, -1, 1, 50, -563, 28916, 23005, 2, 1, 10, 382, 1, -6, 6, 0, 22, 19
INE214T01019, Lti, 1880, 7792, 1206, 27, 17, 70, 33, 0, 101, 1, 2, 8, 43, 2227, 32161, 32524, 16, 2, 35, 619, 14, 14, 20, 0, 30, -1
INE216A01022, Britannia, 6016, 10194, 1046, 69, 15, 87, 30, 0, 182, 0, 2, 20, 30, 2939, 72296, 72282, 27, 1, 39, 773, 10, 33, 45, 0, 28, -8
INE217B01036, Kajaria ceramics, 418, 2739, 232, 29, 16, 15, 20, 0, 18, 1, 2, 5, 19, 386, 6735, 6647, 8, 2, 23, 170, 11, 17, 18, 0, 28, -4
INE220J01025, Future consumer, 50, 3183, -25, 0, 1, 0, 0, 1, 1, 0, 0, 10, 0, 0, 10132, 9559, 8, 3, -9, 0, 27, 0, 322, 52, 9, 8
INE226A01021, Voltas, 586, 6608, 577, 34, 11, 17, 23, 0, 74, 1, 1, 5, 23, 391, 19248, 19390, 5, 1, 16, 220, 3, 24, 24, 0, 28, -2
INE230A01023, Eih, 167, 1599, 179, 53, 19, 3, 29, 0, 13, 1, 2, 3, 40, 110, 9888, 9562, 7, 1, 6, 60, 2, 24, 32, 0, 28, -5
INE233A01035, Godrej industries, 591, 9959, 585, 34, 4, 17, 14, 2, 3, 0, -15, 5, 21, -4099, 26301, 19877, 2, 2, 6, 217, 6, -2, 22, 0, 14, 0
INE233B01017, Blue dart exp, 3193, 2857, 143, 53, 9, 60, 21, 0, 11, 0, -9, 12, 29, -8200, 7515, 7576, 10, 2, 33, 606, 5, -6, 32, 0, 28, 0
INE237A01028, Kotak mahindra, 1230, 26099, 6429, 37, 34, 34, 2, 5, 2, 0, 2, 5, 2, 878, 460025, 234586, 1, 3, 13, 455, 18, 23, 20, 0, 11, -7
INE238A01034, Axis bank, 635, 46614, 456, 393, 36, 2, 0, 10, 1, 0, -10, 3, 19, -280, 730751, 163237, 1, 3, 8, 100, 11, -40, 26, 0, 12, 1
INE239A01016, Nestle, 10354, 10571, 1474, 68, 23, 153, 68, 0, 22, 1, 24, 24, 68, 59381, 98411, 99833, 36, 2, 34, 1230, 4, 3, 42, 0, 31, 1
INE242A01010, Indian oil, 149, 421492, 22189, 7, 10, 23, 92, 1, 10, 14, 0, 1, 61, 63, 209959, 144803, 2, 1, 19, 253, -2, 38, 5, 0, 18, 15
INE245A01021, Tata power co, 74, 29095, 4017, 14, 19, 15, 15, 3, 2, 2, 0, 1, 27, 0, 67419, 20015, 1, 1, 5, 145, -2, 0, 9, 4, 13, 15
INE255A01020, Essel propack, 113, 2499, 181, 19, 19, 6, 22, 1, 6, 1, 1, 3, 21, 101, 4114, 3554, 4, 3, 17, 73, 6, 18, 13, 0, 29, 3
INE256A01028, Zee entertainmen, 464, 6917, 1521, 31, 32, 16, 19, 0, 18, 1, 2, 6, 16, 542, 44466, 44551, 10, 4, 21, 171, 13, 15, 18, 52, 26, -1
INE257A01026, Bhel, 75, 29173, 881, 31, 6, 2, 83, 0, 8, 2, -1, 1, 57, -35, 16380, 27572, 2, 2, 1, 69, -10, -35, 8, 0, 19, 8
INE259A01022, Colgate palm, 1107, 4251, 727, 42, 27, 27, 97, 0, 0, 2, 7, 18, 65, 2798, 29665, 30121, 21, 1, 54, 195, 6, 6, 28, 0, 27, 2
INE260B01028, Godfrey phillips, 950, 2348, 221, 24, 15, 42, 26, 0, 248, 1, -40, 3, 27, -26924, 4928, 4938, 7, 1, 9, 569, 2, -1, 15, 0, 28, 4
INE263A01024, Bharat electron, 88, 10700, 1454, 15, 20, 6, 35, 0, 1578, 2, 1, 3, 33, 140, 20685, 21357, 2, 1, 17, 66, 11, 10, 10, 0, 21, 10
INE264A01014, Gskcons, 7398, 4440, 768, 41, 21, 183, 45, 0, 709, 1, 4, 8, 44, 11945, 27533, 31118, 13, 3, 24, 1898, 6, 10, 23, 0, 31, 0
INE267A01025, Hindzinc, 286, 22818, 9266, 13, 55, 22, 36, 0, 79, 3, 2, 3, 107, 596, 118986, 120950, 11, 1, 22, 210, 12, 8, 9, 0, 30, 8
INE271C01023, Dlf, 202, 6166, 4540, 377, 29, 25, 8, 1, 4, 1, -193, 1, 20, -78638, 51337, 36124, 2, 3, 1, 334, -3, -2, 5, 0, 17, 11
INE274B01011, Monsanto, 2782, 697, 176, 27, 26, 102, 31, 0, 136, 1, 1, 7, 37, 2268, 4787, 4802, 17, 1, 29, 969, 9, 20, 26, 0, 30, -1
INE280A01028, Titan company, 826, 16418, 1192, 61, 11, 13, 29, 0, 32, 0, 6, 14, 30, 1388, 74444, 73371, 13, 3, 22, 136, 10, 9, 44, 0, 29, -1
INE296A01024, Bajaj fin, 2594, 13861, 2900, 52, 67, 50, 9, 4, 2, 0, 1, 9, 10, 1187, 211263, 149925, 3, 9, 21, 582, 34, 35, 23, 0, 18, -4
INE298A01020, Cummins, 777, 5070, 669, 32, 15, 24, 59, 0, 63, 2, 358, 5, 54, 138159, 21316, 21536, 10, 2, 20, 286, 2, 0, 24, 0, 29, 2
INE299U01018, Crompton greaves, 217, 4228, 348, 39, 13, 6, 34, 1, 9, 1, 0, 15, 15, 0, 14076, 13605, 7, 1, 66, 42, 0, 0, 24, 42, 22, 1
INE302A01020, Exide, 270, 9867, 689, 32, 13, 8, 31, 0, 219, 1, 5, 4, 31, 702, 22837, 22925, 9, 2, 14, 110, 9, 6, 22, 0, 29, 1
INE310A01015, Nilkamal, 1768, 2155, 125, 21, 11, 84, 17, 0, 15, 1, 1, 3, 14, 980, 2719, 2638, 8, 3, 18, 1025, 5, 29, 14, 0, 26, 1
INE318A01026, Pidilite, 1101, 6392, 980, 57, 22, 19, 32, 0, 75, 1, 3, 15, 29, 938, 55871, 55910, 28, 2, 29, 181, 11, 19, 39, 0, 31, -5
INE322A01010, Gillette, 6752, 1677, 229, 96, 23, 70, 211, 0, 47, 2, 4, 30, 114, 3947, 21890, 22006, 29, 1, 28, 595, 7, 27, 62, 0, 30, -5
INE323A01026, Bosch, 21050, 12254, 1499, 41, 18, 491, 22, 0, 797, 0, 4, 6, 23, 34227, 62358, 64246, 13, 2, 17, 6140, 6, 9, 28, 0, 30, -1
INE326A01037, Lupin, 959, 15817, 103, 30, 8, 2, 90, 1, 3, 1, -1, 3, 18, -41, 49112, 43377, 4, 3, 15, 125, 10, -27, 74, 0, 26, 2
INE332A01027, Thomas cook, 243, 10460, 6126, 28, 3, 165, 0, 0, 47, 0, 0, 1, 1, 472, 8330, 8998, 5, 1, 28, 937, 92, 159, 1, 0, 18, 14
