comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Vip industries,INE054A01027,3,3,0,0,02-Jan-2019,121,Buy,Small Cap,467,340,-27 %,39,0,24,36,12,32,1,0,no comments
Blue star,INE472A01039,3,2,1,33,09-Nov-2018,175,Buy,Small Cap,649,663,2 %,59,0,20,21,10,32,1,0,no comments
Siemens,INE003A01024,3,4,-1,-33,02-Jan-2019,121,Buy,Large Cap,1178,1239,5 %,30,0,11,17,2,38,1,0,no comments
Bajaj finance,INE296A01024,3,3,0,0,24-Aug-2018,252,Buy,Large Cap,3093,1513,-51 %,10,4,21,13,34,35,1,0,no comments
Sheela foam,INE916U01025,6,2,4,67,02-Feb-2018,455,Buy,Small Cap,1354,1288,-4 %,0,0,30,37,12,35,1,0,no comments
Johnson controls hitachi air conditioning,INE782A01015,3,2,1,33,17-Oct-2017,563,Buy,Small Cap,1897,1714,-9 %,6,0,19,23,19,46,1,0,no comments
Infosys,INE009A01021,15,11,4,27,11-Sep-2018,234,Buy,Large Cap,736,689,-6 %,54,0,23,31,11,7,3,0,no comments
Tata investment corporation,INE672A01018,3,2,1,33,24-Aug-2018,252,Buy,Small Cap,845,518,-38 %,47,0,9,11,8,7,3,0,no comments
Castrol,INE172A01027,3,3,0,0,09-Nov-2018,175,Buy,Mid Cap,157,275,75 %,85,0,85,131,3,9,3,0,no comments
Larsen toubro infotech,INE214T01019,3,2,1,33,28-May-2018,340,Buy,Mid Cap,1698,1433,-15 %,45,0,35,44,14,14,2,0,no comments
Reliance industries,INE002A01018,15,8,7,47,09-Nov-2018,175,Buy,Large Cap,1390,805,-42 %,10,1,13,11,0,13,2,0,no comments
Glenmark pharmaceuticals,INE935A01035,3,2,1,33,03-Jul-2018,304,Buy,Mid Cap,636,1223,92 %,7,1,23,18,13,5,4,0,no comments
Larsen toubro,INE018A01030,15,8,7,47,05-Dec-2018,149,Buy,Large Cap,1361,1577,15 %,31,2,13,12,10,14,2,0,no comments
