+---------------+---------------+-------------+---------------+----------------+
| security_name | corpact_score | bonus_score | buyback_score | dividend_score |
|   SWARAJENG   |       6       |      0      |       1       |       5        |
|    SYMPHONY   |       6       |      1      |       0       |       5        |
|   TATAELXSI   |       6       |      1      |       0       |       5        |
|   TATAINVEST  |       6       |      0      |       1       |       5        |
|     TECHM     |       6       |      0      |       1       |       5        |
|   TIDEWATER   |       6       |      1      |       0       |       5        |
|   UNICHEMLAB  |       6       |      0      |       1       |       5        |
|      UPL      |       6       |      1      |       0       |       5        |
|     VENKYS    |       6       |      1      |       0       |       5        |
|     VGUARD    |       6       |      1      |       0       |       5        |
|   VINATIORGA  |       6       |      0      |       1       |       5        |
|      VTL      |       6       |      0      |       1       |       5        |
|     WHEELS    |       6       |      1      |       0       |       5        |
|    WIMPLAST   |       6       |      1      |       0       |       5        |
|     YUKEN     |       6       |      1      |       0       |       5        |
|    ZENIFIB    |       6       |      0      |       1       |       5        |
|      AAIL     |       5       |      0      |       0       |       5        |
|      ABB      |       5       |      0      |       0       |       5        |
|   ABBOTINDIA  |       5       |      0      |       0       |       5        |
|     ABMKNO    |       5       |      0      |       0       |       5        |
|      ACC      |       5       |      0      |       0       |       5        |
|    ACRYSIL    |       5       |      0      |       0       |       5        |
|    ADANIENT   |       5       |      0      |       0       |       5        |
|    ADORWELD   |       5       |      0      |       0       |       5        |
|   ADVANIHOTR  |       5       |      0      |       0       |       5        |
|    AEGISLOG   |       5       |      0      |       0       |       5        |
|    AHLEAST    |       5       |      0      |       0       |       5        |
|    AHLWEST    |       5       |      0      |       0       |       5        |
|     AIAENG    |       5       |      0      |       0       |       5        |
|   AJANTPHARM  |       5       |      0      |       1       |       4        |
|    AKCAPIT    |       5       |      0      |       0       |       5        |
|    ALBERTDA   |       5       |      0      |       0       |       5        |
|    ALFREDHE   |       5       |      0      |       0       |       5        |
|     ALICON    |       5       |      0      |       0       |       5        |
|   ALKYLAMINE  |       5       |      0      |       0       |       5        |
|    ALPHAGEO   |       5       |      0      |       0       |       5        |
|   ALPINEHOU   |       5       |      2      |       0       |       3        |
|   AMARAJABAT  |       5       |      0      |       0       |       5        |
|    AMBIKCO    |       5       |      0      |       0       |       5        |
|   AMBUJACEM   |       5       |      0      |       0       |       5        |
|    AMJLAND    |       5       |      0      |       0       |       5        |
|   AMRUTANJAN  |       5       |      0      |       0       |       5        |
|    ANANTRAJ   |       5       |      0      |       0       |       5        |
|   ANDHRSUGAR  |       5       |      0      |       0       |       5        |
|   APLAPOLLO   |       5       |      0      |       0       |       5        |
|     APLLTD    |       5       |      0      |       0       |       5        |
|     APMIN     |       5       |      0      |       0       |       5        |
|   APOLLOHOSP  |       5       |      0      |       0       |       5        |
|   APOLLOTYRE  |       5       |      0      |       0       |       5        |
|    APTECHT    |       5       |      0      |       0       |       5        |
|     ARIES     |       5       |      0      |       0       |       5        |
|    ARIHCAPM   |       5       |      0      |       0       |       5        |
|   ARROWGREEN  |       5       |      0      |       0       |       5        |
|     ARVIND    |       5       |      0      |       0       |       5        |
|   ASAHISONG   |       5       |      0      |       0       |       5        |
|    ASHIANA    |       5       |      0      |       0       |       5        |
|     ASHOKA    |       5       |      1      |       0       |       4        |
|    ASHOKLEY   |       5       |      0      |       0       |       5        |
|   ASIANPAINT  |       5       |      0      |       0       |       5        |
|      ASL      |       5       |      0      |       0       |       5        |
|     ASMTEC    |       5       |      0      |       0       |       5        |
|     ASTAR     |       5       |      0      |       0       |       5        |
|   ASTRAMICRO  |       5       |      0      |       0       |       5        |
|      ATFL     |       5       |      0      |       0       |       5        |
|      ATUL     |       5       |      0      |       0       |       5        |
|    ATULAUTO   |       5       |      0      |       0       |       5        |
|   AUTOAXLES   |       5       |      0      |       0       |       5        |
|    AVANTEL    |       5       |      0      |       0       |       5        |
|     AVTNPL    |       5       |      0      |       0       |       5        |
|   BAJAJ-AUTO  |       5       |      0      |       0       |       5        |
|   BAJAJELEC   |       5       |      0      |       0       |       5        |
|   BAJAJFINSV  |       5       |      0      |       0       |       5        |
|   BAJAJHLDNG  |       5       |      0      |       0       |       5        |
|   BALAJITELE  |       5       |      0      |       0       |       5        |
|   BALAMINES   |       5       |      0      |       0       |       5        |
|    BALASORE   |       5       |      0      |       0       |       5        |
|   BALPHARMA   |       5       |      0      |       0       |       5        |
|    BAMBINO    |       5       |      0      |       0       |       5        |
|   BANARISUG   |       5       |      0      |       0       |       5        |
|   BANCOINDIA  |       5       |      0      |       0       |       5        |
|    BANSWRAS   |       5       |      0      |       0       |       5        |
|     BAPACK    |       5       |      0      |       0       |       5        |
|      BASF     |       5       |      0      |       0       |       5        |
|     BASML     |       5       |      0      |       0       |       5        |
|   BATAINDIA   |       5       |      0      |       0       |       5        |
|      BBTC     |       5       |      0      |       0       |       5        |
|      BDH      |       5       |      0      |       0       |       5        |
|   BEARDSELL   |       5       |      1      |       0       |       4        |
|     BEEKAY    |       5       |      0      |       0       |       5        |
|      BEML     |       5       |      0      |       0       |       5        |
|    BENARAS    |       5       |      0      |       0       |       5        |
|   BENGALASM   |       5       |      0      |       0       |       5        |
|      BEPL     |       5       |      0      |       0       |       5        |
|     BHARAT    |       5       |      0      |       0       |       5        |
|   BHARATRAS   |       5       |      0      |       0       |       5        |
|    BHARATSE   |       5       |      0      |       0       |       5        |
|      BIL      |       5       |      0      |       0       |       5        |
|    BIMETAL    |       5       |      0      |       0       |       5        |
|   BIRLACORPN  |       5       |      0      |       0       |       5        |
|      BLIL     |       5       |      0      |       0       |       5        |
|    BLISSGVS   |       5       |      0      |       0       |       5        |
|   BLUECHIPT   |       5       |      0      |       0       |       5        |
|    BLUEDART   |       5       |      0      |       0       |       5        |
|   BLUESTARCO  |       5       |      0      |       0       |       5        |
|     BNKCAP    |       5       |      0      |       0       |       5        |
|     BNRSEC    |       5       |      0      |       0       |       5        |
|   BODALCHEM   |       5       |      0      |       0       |       5        |
|   BOMDYEING   |       5       |      0      |       0       |       5        |
|   BOMOXY-B1   |       5       |      0      |       0       |       5        |
|    BRIGHTBR   |       5       |      0      |       0       |       5        |
|   BRITANNIA   |       5       |      0      |       0       |       5        |
|    CADILAHC   |       5       |      0      |       0       |       5        |
|   CANFINHOME  |       5       |      0      |       0       |       5        |
|    CAPITALT   |       5       |      0      |       0       |       5        |
|     CAPPL     |       5       |      0      |       0       |       5        |
|   CAPRIHANS   |       5       |      0      |       0       |       5        |
|   CARBORUNIV  |       5       |      0      |       0       |       5        |
|   CARERATING  |       5       |      0      |       0       |       5        |
|      CCL      |       5       |      0      |       0       |       5        |
|    CEATLTD    |       5       |      0      |       0       |       5        |
|     CEEJAY    |       5       |      0      |       0       |       5        |
|    CENTENKA   |       5       |      0      |       0       |       5        |
|     CENTUM    |       5       |      0      |       0       |       5        |
|   CENTURYPLY  |       5       |      0      |       0       |       5        |
|   CENTURYTEX  |       5       |      0      |       0       |       5        |
|      CERA     |       5       |      0      |       0       |       5        |
|      CESC     |       5       |      0      |       0       |       5        |
|     CGVAK     |       5       |      0      |       0       |       5        |
|   CHAMBLFERT  |       5       |      0      |       0       |       5        |
|    CHEMBOND   |       5       |      0      |       0       |       5        |
|     CHOKSI    |       5       |      0      |       0       |       5        |
|     CILSEC    |       5       |      0      |       0       |       5        |
|     CIPLA     |       5       |      0      |       0       |       5        |
|    CLNINDIA   |       5       |      0      |       1       |       4        |
|    COMPEAU    |       5       |      0      |       0       |       5        |
|   COMPUSOFT   |       5       |      0      |       0       |       5        |
|    CONTROLP   |       5       |      1      |       0       |       4        |
|    CORALAB    |       5       |      0      |       0       |       5        |
|   CORALFINAC  |       5       |      0      |       0       |       5        |
|   COROMANDEL  |       5       |      0      |       0       |       5        |
|   COSMOFILMS  |       5       |      0      |       0       |       5        |
|     CREST     |       5       |      0      |       0       |       5        |
|     CRISIL    |       5       |      0      |       0       |       5        |
|   CUMMINSIND  |       5       |      0      |       0       |       5        |
|   CYBERTECH   |       5       |      0      |       0       |       5        |
|     CYIENT    |       5       |      0      |       0       |       5        |
|     DAAWAT    |       5       |      0      |       0       |       5        |
|     DABUR     |       5       |      0      |       0       |       5        |
|   DATAMATICS  |       5       |      0      |       0       |       5        |
|   DCMSHRIRAM  |       5       |      0      |       0       |       5        |
|   DCMSRMIND   |       5       |      0      |       0       |       5        |
|    DECCANCE   |       5       |      0      |       0       |       5        |
|   DEEPAKFERT  |       5       |      0      |       0       |       5        |
|    DEEPAKNI   |       5       |      0      |       0       |       5        |
|    DEEPIND    |       5       |      0      |       0       |       5        |
|   DELTACORP   |       5       |      0      |       0       |       5        |
|      DFM      |       5       |      0      |       0       |       5        |
|      DHFL     |       5       |      1      |       0       |       4        |
|     DHPIND    |       5       |      0      |       0       |       5        |
|    DHUNINV    |       5       |      0      |       0       |       5        |
|   DHUNTEAIND  |       5       |      0      |       0       |       5        |
|    DIVSHKT    |       5       |      0      |       0       |       5        |
|      DLF      |       5       |      0      |       0       |       5        |
|   DLINKINDIA  |       5       |      0      |       0       |       5        |
|     DONEAR    |       5       |      0      |       0       |       5        |
|    DRREDDY    |       5       |      0      |       0       |       5        |
|    DYNAMIND   |       5       |      0      |       0       |       5        |
|    ECOPLAST   |       5       |      0      |       0       |       5        |
|   EDELWEISS   |       5       |      0      |       0       |       5        |
|   EIHAHOTELS  |       5       |      0      |       0       |       5        |
|    EIHOTEL    |       5       |      0      |       0       |       5        |
|   EIMCOELECO  |       5       |      0      |       0       |       5        |
|    ELANTAS    |       5       |      0      |       0       |       5        |
|    ELCIDIN    |       5       |      0      |       0       |       5        |
|    ELDEHSG    |       5       |      0      |       0       |       5        |
|     ELECON    |       5       |      0      |       0       |       5        |
|   ELGIEQUIP   |       5       |      0      |       0       |       5        |
|     ELIXIR    |       5       |      0      |       0       |       5        |
|     ELNET     |       5       |      0      |       0       |       5        |
|    EMAMIPAP   |       5       |      0      |       0       |       5        |
|     EMMBI     |       5       |      0      |       0       |       5        |
|     EMPIND    |       5       |      0      |       0       |       5        |
|   ENERGYDEV   |       5       |      0      |       0       |       5        |
|      ENIL     |       5       |      0      |       0       |       5        |
|    ESCORTS    |       5       |      0      |       0       |       5        |
|   EVERESTIND  |       5       |      0      |       0       |       5        |
|   EXCELINDUS  |       5       |      0      |       0       |       5        |
|    EXIDEIND   |       5       |      0      |       0       |       5        |
|    FAIRCHEM   |       5       |      0      |       0       |       5        |
|      FCL      |       5       |      0      |       0       |       5        |
|      FDC      |       5       |      0      |       2       |       3        |
|    FIEMIND    |       5       |      0      |       0       |       5        |
|   FINCABLES   |       5       |      0      |       0       |       5        |
|   FINOLEXIND  |       5       |      0      |       0       |       5        |
|      FLFL     |       5       |      0      |       0       |       5        |
|    FLUIDOM    |       5       |      0      |       0       |       5        |
|    FOMEHOT    |       5       |      0      |       0       |       5        |
|    FORCEMOT   |       5       |      0      |       0       |       5        |
|   FOSECOIND   |       5       |      0      |       0       |       5        |
|    GABRIEL    |       5       |      0      |       0       |       5        |
|      GAEL     |       5       |      0      |       1       |       4        |
|    GANECOS    |       5       |      0      |       0       |       5        |
|   GARNETINT   |       5       |      1      |       0       |       4        |
|      GATI     |       5       |      0      |       0       |       5        |
|      GDL      |       5       |      0      |       0       |       5        |
|    GENESYS    |       5       |      0      |       0       |       5        |
|   GENUSPOWER  |       5       |      0      |       0       |       5        |
|   GEOJITFSL   |       5       |      0      |       0       |       5        |
|     GET&D     |       5       |      0      |       0       |       5        |
|      GHCL     |       5       |      0      |       0       |       5        |
|   GICHSGFIN   |       5       |      0      |       0       |       5        |
|    GILLETTE   |       5       |      0      |       0       |       5        |
|    GINISILK   |       5       |      0      |       0       |       5        |
|     GIPCL     |       5       |      0      |       0       |       5        |
|    GLENMARK   |       5       |      0      |       0       |       5        |
|    GMDCLTD    |       5       |      0      |       0       |       5        |
|      GMM      |       5       |      0      |       0       |       5        |
|    GOCLCORP   |       5       |      0      |       0       |       5        |
|   GODFRYPHLP  |       5       |      0      |       0       |       5        |
|   GODREJIND   |       5       |      0      |       0       |       5        |
|    GOLDIAM    |       5       |      0      |       0       |       5        |
|    GOODYEAR   |       5       |      0      |       0       |       5        |
|    GOWRALE    |       5       |      0      |       0       |       5        |
|    GPTINFRA   |       5       |      1      |       0       |       4        |
|    GRANULES   |       5       |      0      |       0       |       5        |
|    GRAPHITE   |       5       |      0      |       0       |       5        |
|     GRASIM    |       5       |      0      |       0       |       5        |
|    GRAUWEIL   |       5       |      0      |       0       |       5        |
|    GRAVITA    |       5       |      0      |       0       |       5        |
|    GREENPLY   |       5       |      0      |       0       |       5        |
|   GRNLAMIND   |       5       |      0      |       0       |       5        |
|     GRPLTD    |       5       |      0      |       0       |       5        |
|      GSFC     |       5       |      0      |       0       |       5        |
|    GSKCONS    |       5       |      0      |       0       |       5        |
|      GSPL     |       5       |      0      |       0       |       5        |
|    GUFICBIO   |       5       |      0      |       0       |       5        |
|   GUJALKALI   |       5       |      0      |       0       |       5        |
|   GUJAPOLLO   |       5       |      0      |       0       |       5        |
|     GUJGAS    |       5       |      0      |       0       |       5        |
|    GUJHOTE    |       5       |      0      |       0       |       5        |
|   GULFOILLUB  |       5       |      0      |       0       |       5        |
|   GULFPETRO   |       5       |      0      |       0       |       5        |
|    GULPOLY    |       5       |      0      |       0       |       5        |
|    HALDYNGL   |       5       |      0      |       0       |       5        |
|   HARITASEAT  |       5       |      0      |       0       |       5        |
|    HAVELLS    |       5       |      0      |       0       |       5        |
|   HAWKINCOOK  |       5       |      0      |       0       |       5        |
|    HBLPOWER   |       5       |      0      |       0       |       5        |
|      HDFC     |       5       |      0      |       0       |       5        |
|    HDFCBANK   |       5       |      0      |       0       |       5        |
|    HERCULES   |       5       |      0      |       0       |       5        |
|   HERITGFOOD  |       5       |      0      |       0       |       5        |
|   HEROMOTOCO  |       5       |      0      |       0       |       5        |
|      HGS      |       5       |      0      |       0       |       5        |
|   HIGHGROUND  |       5       |      1      |       0       |       4        |
|   HIMATSEIDE  |       5       |      0      |       0       |       5        |
|    HINDALCO   |       5       |      0      |       0       |       5        |
|   HINDALUMI   |       5       |      0      |       0       |       5        |
|    HINDTIN    |       5       |      0      |       0       |       5        |
|   HINDUJAVEN  |       5       |      0      |       0       |       5        |
|   HINDUNILVR  |       5       |      0      |       0       |       5        |
|   HITECHCORP  |       5       |      0      |       0       |       5        |
|   HITECHGEAR  |       5       |      0      |       0       |       5        |
|      HMVL     |       5       |      0      |       0       |       5        |
|     HONAUT    |       5       |      0      |       0       |       5        |
|   HONDAPOWER  |       5       |      0      |       0       |       5        |
|      HSIL     |       5       |      0      |       0       |       5        |
|    HTMEDIA    |       5       |      0      |       0       |       5        |
|   IBULHSGFIN  |       5       |      0      |       0       |       5        |
|   IBVENTURES  |       5       |      0      |       0       |       5        |
|      ICIL     |       5       |      0      |       0       |       5        |
|      ICRA     |       5       |      0      |       0       |       5        |
|      IFSL     |       5       |      0      |       0       |       5        |
|      IGL      |       5       |      0      |       0       |       5        |
|      IGPL     |       5       |      0      |       0       |       5        |
|     IMPAL     |       5       |      0      |       0       |       5        |
|     INANI     |       5       |      0      |       0       |       5        |
|     INDAG     |       5       |      0      |       0       |       5        |
|   INDNIPPON   |       5       |      0      |       0       |       5        |
|    INDOAMIN   |       5       |      0      |       0       |       5        |
|   INDOBORAX   |       5       |      0      |       0       |       5        |
|     INDOCO    |       5       |      0      |       0       |       5        |
|    INDOTHAI   |       5       |      0      |       0       |       5        |
|   INDRAMEDCO  |       5       |      0      |       0       |       5        |
|   INDUSINDBK  |       5       |      0      |       0       |       5        |
|   INEOSSTYRO  |       5       |      0      |       0       |       5        |
|   INGERRAND   |       5       |      0      |       0       |       5        |
|    INTLCONV   |       5       |      0      |       0       |       5        |
|   IONEXCHANG  |       5       |      0      |       0       |       5        |
|      ISFT     |       5       |      0      |       0       |       5        |
|     ISGEC     |       5       |      0      |       0       |       5        |
|      ITDC     |       5       |      0      |       0       |       5        |
|      ITHL     |       5       |      0      |       0       |       5        |
|      IVC      |       5       |      0      |       0       |       5        |
|      IVP      |       5       |      0      |       0       |       5        |
|   JAICORPLTD  |       5       |      0      |       0       |       5        |
|   JAMNAAUTO   |       5       |      0      |       0       |       5        |
|   JAYBARMARU  |       5       |      0      |       0       |       5        |
|  JAYSHREETEA  |       5       |      0      |       0       |       5        |
|     JAYSYN    |       5       |      0      |       0       |       5        |
|      JBMA     |       5       |      0      |       0       |       5        |
|     JCHAC     |       5       |      0      |       0       |       5        |
|   JINDALPOLY  |       5       |      0      |       0       |       5        |
|   JINDALSAW   |       5       |      0      |       0       |       5        |
|    JINDRILL   |       5       |      0      |       0       |       5        |
|   JINDWORLD   |       5       |      0      |       0       |       5        |
|   JISLDVREQS  |       5       |      0      |       0       |       5        |
|   JISLJALEQS  |       5       |      0      |       0       |       5        |
|    JK AGRI    |       5       |      0      |       0       |       5        |
|    JKCEMENT   |       5       |      0      |       0       |       5        |
|      JKIL     |       5       |      0      |       0       |       5        |
|   JKLAKSHMI   |       5       |      0      |       0       |       5        |
|     JKTYRE    |       5       |      0      |       0       |       5        |
|     JLMORI    |       5       |      0      |       0       |       5        |
|   JMCPROJECT  |       5       |      0      |       0       |       5        |
|   JMFINANCIL  |       5       |      0      |       0       |       5        |
|    JOINDRE    |       5       |      0      |       0       |       5        |
|     JOSTS     |       5       |      0      |       0       |       5        |
|    JSWSTEEL   |       5       |      0      |       0       |       5        |
|   JTEKTINDIA  |       5       |      0      |       0       |       5        |
|     KAIRA     |       5       |      0      |       0       |       5        |
|   KAJARIACER  |       5       |      0      |       0       |       5        |
|    KAKATCEM   |       5       |      0      |       0       |       5        |
|   KALPATPOWR  |       5       |      0      |       0       |       5        |
|    KAMDHENU   |       5       |      0      |       0       |       5        |
|     KANCHI    |       5       |      0      |       0       |       5        |
|   KANORICHEM  |       5       |      0      |       0       |       5        |
|   KANSAINER   |       5       |      0      |       0       |       5        |
|      KCP      |       5       |      0      |       0       |       5        |
|   KCPSUGIND   |       5       |      0      |       0       |       5        |
|      KDDL     |       5       |      0      |       0       |       5        |
|      KEC      |       5       |      0      |       0       |       5        |
|      KEI      |       5       |      0      |       0       |       5        |
|    KHAICHEM   |       5       |      0      |       0       |       5        |
|      KIFS     |       5       |      0      |       0       |       5        |
|   KIRANVYPAR  |       5       |      0      |       0       |       5        |
|    KIRLFER    |       5       |      0      |       0       |       5        |
|   KIRLOSBROS  |       5       |      0      |       0       |       5        |
|   KIRLOSENG   |       5       |      0      |       0       |       5        |
|   KIRLOSIND   |       5       |      0      |       0       |       5        |
|    KIRLPNU    |       5       |      0      |       0       |       5        |
|      KKCL     |       5       |      0      |       0       |       5        |
|     KNRCON    |       5       |      0      |       0       |       5        |
|   KOLTEPATIL  |       5       |      0      |       0       |       5        |
|     KOVAI     |       5       |      0      |       0       |       5        |
|      KRBL     |       5       |      0      |       0       |       5        |
|    KRITINUT   |       5       |      0      |       0       |       5        |
|      KSE      |       5       |      0      |       0       |       5        |
|    KTKBANK    |       5       |      0      |       0       |       5        |
|    KUANTUM    |       5       |      0      |       0       |       5        |
|     L&TFH     |       5       |      0      |       0       |       5        |
|    LAHOTIOV   |       5       |      0      |       0       |       5        |
|    LAKSELEC   |       5       |      0      |       0       |       5        |
|   LAKSHMIMIL  |       5       |      0      |       0       |       5        |
|   LAMBODHARA  |       5       |      0      |       0       |       5        |
